House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Lyne																										
				STANFIELD			SARA			VAILE			ISHERWOOD			JIRMAN			MULDOON			STEVENS				
		TOTAL		188	18.78		22	2.20		383	38.26		32	3.20		28	2.80					348	34.77		1001	
	THIRD			12	54.55			Excluded		4	18.18		1	4.55		4	18.18					1	4.55		22	
		TOTAL		200	19.98					387	38.66		33	3.30		32	3.20					349	34.87		1001	
	FOURTH			5	15.63					6	18.75		6	18.75			Excluded					15	46.88		32	
		TOTAL		205	20.48					393	39.26		39	3.90								364	36.36		1001	
	FIFTH			6	15.38					5	12.82			Excluded								28	71.79		39	
		TOTAL		211	21.08					398	39.76											392	39.16		1001	
	SIXTH				Excluded					91	43.13											120	56.87		211	
		TOTAL								489	48.85											512	51.15		1001	
										Elected																
																										
Kempsey West                                                   																										
	FIRST			122	14.17		7	0.81		373	43.32		35	4.07		29	3.37		2	0.23		293	34.03		861	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		122	14.17		7	0.81		373	43.32		35	4.07		29	3.37					295	34.26		861	
	THIRD			0	0.00			Excluded		4	57.14		1	14.29		1	14.29					1	14.29		7	
		TOTAL		122	14.17					377	43.79		36	4.18		30	3.48					296	34.38		861	
	FOURTH			5	16.67					6	20.00		10	33.33			Excluded					9	30.00		30	
		TOTAL		127	14.75					383	44.48		46	5.34								305	35.42		861	
	FIFTH			7	15.22					14	30.43			Excluded								25	54.35		46	
		TOTAL		134	15.56					397	46.11											330	38.33		861	
	SIXTH				Excluded					57	42.54											77	57.46		134	
		TOTAL								454	52.73											407	47.27		861	
										Elected																
																										
Kendall                                                        																										
	FIRST			59	8.04		10	1.36		381	51.91		34	4.63		36	4.90		3	0.41		211	28.75		734	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		59	8.04		11	1.50		381	51.91		35	4.77		37	5.04					211	28.75		734	
	THIRD			5	45.45			Excluded		0	0.00		0	0.00		4	36.36					2	18.18		11	
		TOTAL		64	8.72					381	51.91		35	4.77		41	5.59					213	29.02		734	
	FOURTH			3	7.32					4	9.76		26	63.41			Excluded					8	19.51		41	
		TOTAL		67	9.13					385	52.45		61	8.31								221	30.11		734	
	FIFTH			5	8.20					11	18.03			Excluded								45	73.77		61	
		TOTAL		72	9.81					396	53.95											266	36.24		734	
	SIXTH				Excluded					40	55.56											32	44.44		72	
		TOTAL								436	59.40											298	40.60		734	
										Elected																
																										
Kew                                                            																										
	FIRST			35	9.56		7	1.91		200	54.64		14	3.83		10	2.73		1	0.27		99	27.05		366	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		35	9.56		7	1.91		201	54.92		14	3.83		10	2.73					99	27.05		366	
	THIRD			2	28.57			Excluded		2	28.57		0	0.00		1	14.29					2	28.57		7	
		TOTAL		37	10.11					203	55.46		14	3.83		11	3.01					101	27.60		366	
	FOURTH			2	18.18					0	0.00		3	27.27			Excluded					6	54.55		11	
		TOTAL		39	10.66					203	55.46		17	4.64								107	29.23		366	
	FIFTH			2	11.76					5	29.41			Excluded								10	58.82		17	
		TOTAL		41	11.20					208	56.83											117	31.97		366	
	SIXTH				Excluded					24	58.54											17	41.46		41	
		TOTAL								232	63.39											134	36.61		366	
										Elected																
																										
Killabakh                                                      																										
	FIRST			8	6.56		1	0.82		65	53.28		11	9.02		3	2.46		0	0.00		34	27.87		122	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		8	6.56		1	0.82		65	53.28		11	9.02		3	2.46					34	27.87		122	
	THIRD			0	0.00			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		8	6.56					65	53.28		12	9.84		3	2.46					34	27.87		122	
	FOURTH			0	0.00					0	0.00		2	66.67			Excluded					1	33.33		3	
		TOTAL		8	6.56					65	53.28		14	11.48								35	28.69		122	
	FIFTH			2	14.29					3	21.43			Excluded								9	64.29		14	
		TOTAL		10	8.20					68	55.74											44	36.07		122	
	SIXTH				Excluded					4	40.00											6	60.00		10	
		TOTAL								72	59.02											50	40.98		122	
										Elected																
																										
Kings Creek                                                    																										
	FIRST			36	12.16		3	1.01		186	62.84		4	1.35		8	2.70		0	0.00		59	19.93		296	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		36	12.16		3	1.01		186	62.84		4	1.35		8	2.70					59	19.93		296	
	THIRD			0	0.00			Excluded		1	33.33		1	33.33		0	0.00					1	33.33		3	
		TOTAL		36	12.16					187	63.18		5	1.69		8	2.70					60	20.27		296	
	FOURTH			0	0.00					5	62.50		1	12.50			Excluded					2	25.00		8	
		TOTAL		36	12.16					192	64.86		6	2.03								62	20.95		296	
	FIFTH			1	16.67					2	33.33			Excluded								3	50.00		6	
		TOTAL		37	12.50					194	65.54											65	21.96		296	
	SIXTH				Excluded					22	59.46											15	40.54		37	
		TOTAL								216	72.97											80	27.03		296	
										Elected																
																										
Krambach                                                       																										
	FIRST			72	19.94		6	1.66		170	47.09		10	2.77		10	2.77		6	1.66		87	24.10		361	
	SECOND			2	33.33		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		0	0.00		6	
		TOTAL		74	20.50		6	1.66		171	47.37		11	3.05		12	3.32					87	24.10		361	
	THIRD			3	50.00			Excluded		1	16.67		1	16.67		1	16.67					0	0.00		6	
		TOTAL		77	21.33					172	47.65		12	3.32		13	3.60					87	24.10		361	
	FOURTH			2	15.38					1	7.69		5	38.46			Excluded					5	38.46		13	
		TOTAL		79	21.88					173	47.92		17	4.71								92	25.48		361	
	FIFTH			0	0.00					6	35.29			Excluded								11	64.71		17	
		TOTAL		79	21.88					179	49.58											103	28.53		361	
	SIXTH				Excluded					34	43.04											45	56.96		79	
		TOTAL								213	59.00											148	41.00		361	
										Elected																
																										
Kundabung                                                      																										
	FIRST			50	25.64		6	3.08		80	41.03		8	4.10		7	3.59		0	0.00		44	22.56		195	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		50	25.64		6	3.08		80	41.03		8	4.10		7	3.59					44	22.56		195	
	THIRD			0	0.00			Excluded		4	66.67		1	16.67		1	16.67					0	0.00		6	
		TOTAL		50	25.64					84	43.08		9	4.62		8	4.10					44	22.56		195	
	FOURTH			0	0.00					2	25.00		4	50.00			Excluded					2	25.00		8	
		TOTAL		50	25.64					86	44.10		13	6.67								46	23.59		195	
	FIFTH			3	23.08					1	7.69			Excluded								9	69.23		13	
		TOTAL		53	27.18					87	44.62											55	28.21		195	
	SIXTH				Excluded					16	30.19											37	69.81		53	
		TOTAL								103	52.82											92	47.18		195	
										Elected																
																										
Lake Cathie                                                    																										
	FIRST			98	7.95		9	0.73		570	46.23		58	4.70		43	3.49		3	0.24		452	36.66		1233	
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		98	7.95		9	0.73		570	46.23		59	4.79		44	3.57					453	36.74		1233	
	THIRD			3	33.33			Excluded		2	22.22		3	33.33		1	11.11					0	0.00		9	
		TOTAL		101	8.19					572	46.39		62	5.03		45	3.65					453	36.74		1233	
	FOURTH			4	8.89					11	24.44		23	51.11			Excluded					7	15.56		45	
		TOTAL		105	8.52					583	47.28		85	6.89								460	37.31		1233	
	FIFTH			8	9.41					25	29.41			Excluded								52	61.18		85	
		TOTAL		113	9.16					608	49.31											512	41.52		1233	
	SIXTH				Excluded					54	47.79											59	52.21		113	
		TOTAL								662	53.69											571	46.31		1233	
										Elected																
																										
Lansdowne                                                      																										
	FIRST			93	17.35		6	1.12		250	46.64		10	1.87		12	2.24		0	0.00		165	30.78		536	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		93	17.35		6	1.12		250	46.64		10	1.87		12	2.24					165	30.78		536	
	THIRD			1	16.67			Excluded		3	50.00		1	16.67		1	16.67					0	0.00		6	
		TOTAL		94	17.54					253	47.20		11	2.05		13	2.43					165	30.78		536	
	FOURTH			2	15.38					0	0.00		8	61.54			Excluded					3	23.08		13	
		TOTAL		96	17.91					253	47.20		19	3.54								168	31.34		536	
	FIFTH			4	21.05					5	26.32			Excluded								10	52.63		19	
		TOTAL		100	18.66					258	48.13											178	33.21		536	
	SIXTH				Excluded					38	38.00											62	62.00		100	
		TOTAL								296	55.22											240	44.78		536	
										Elected																
																										
Laurieton                                                      																										
	FIRST			141	8.03		29	1.65		894	50.94		38	2.17		40	2.28		1	0.06		612	34.87		1755	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		141	8.03		29	1.65		895	51.00		38	2.17		40	2.28					612	34.87		1755	
	THIRD			11	37.93			Excluded		9	31.03		4	13.79		2	6.90					3	10.34		29	
		TOTAL		152	8.66					904	51.51		42	2.39		42	2.39					615	35.04		1755	
	FOURTH			2	4.76					5	11.90		21	50.00			Excluded					14	33.33		42	
		TOTAL		154	8.77					909	51.79		63	3.59								629	35.84		1755	
	FIFTH			8	12.70					15	23.81			Excluded								40	63.49		63	
		TOTAL		162	9.23					924	52.65											669	38.12		1755	
	SIXTH				Excluded					80	49.38											82	50.62		162	
		TOTAL								1004	57.21											751	42.79		1755	
										Elected																
																										
Long Flat                                                      																										
	FIRST			21	9.55		0	0.00		136	61.82		7	3.18		4	1.82		0	0.00		52	23.64		220	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		21	9.55		0	0.00		136	61.82		7	3.18		4	1.82					52	23.64		220	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		21	9.55					136	61.82		7	3.18		4	1.82					52	23.64		220	
	FOURTH			0	0.00					2	50.00		1	25.00			Excluded					1	25.00		4	
		TOTAL		21	9.55					138	62.73		8	3.64								53	24.09		220	
	FIFTH			1	12.50					0	0.00			Excluded								7	87.50		8	
		TOTAL		22	10.00					138	62.73											60	27.27		220	
	SIXTH				Excluded					16	72.73											6	27.27		22	
		TOTAL								154	70.00											66	30.00		220	
										Elected																
																										
Lorne                                                          																										
	FIRST			8	7.02		2	1.75		74	64.91		5	4.39		3	2.63		1	0.88		21	18.42		114	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		8	7.02		2	1.75		74	64.91		5	4.39		4	3.51					21	18.42		114	
	THIRD			1	50.00			Excluded		1	50.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		9	7.89					75	65.79		5	4.39		4	3.51					21	18.42		114	
	FOURTH			2	50.00					1	25.00		1	25.00			Excluded					0	0.00		4	
		TOTAL		11	9.65					76	66.67		6	5.26								21	18.42		114	
	FIFTH			1	16.67					4	66.67			Excluded								1	16.67		6	
		TOTAL		12	10.53					80	70.18											22	19.30		114	
	SIXTH				Excluded					12	100.00											0	0.00		12	
		TOTAL								92	80.70											22	19.30		114	
										Elected																
																										
Manning Point                                                  																										
	FIRST			20	10.70		1	0.53		76	40.64		2	1.07		3	1.60		2	1.07		83	44.39		187	
	SECOND			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		21	11.23		1	0.53		76	40.64		3	1.60		3	1.60					83	44.39		187	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		22	11.76					76	40.64		3	1.60		3	1.60					83	44.39		187	
	FOURTH			1	33.33					1	33.33		1	33.33			Excluded					0	0.00		3	
		TOTAL		23	12.30					77	41.18		4	2.14								83	44.39		187	
	FIFTH			0	0.00					3	75.00			Excluded								1	25.00		4	
		TOTAL		23	12.30					80	42.78											84	44.92		187	
	SIXTH				Excluded					12	52.17											11	47.83		23	
		TOTAL								92	49.20											95	50.80		187	
										Elected																
																										
Marlee                                                         																										
	FIRST			22	10.73		3	1.46		74	36.10		24	11.71		8	3.90		0	0.00		74	36.10		205	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		22	10.73		3	1.46		74	36.10		24	11.71		8	3.90					74	36.10		205	
	THIRD			0	0.00			Excluded		2	66.67		0	0.00		0	0.00					1	33.33		3	
		TOTAL		22	10.73					76	37.07		24	11.71		8	3.90					75	36.59		205	
	FOURTH			0	0.00					0	0.00		4	50.00			Excluded					4	50.00		8	
		TOTAL		22	10.73					76	37.07		28	13.66								79	38.54		205	
	FIFTH			0	0.00					1	3.57			Excluded								27	96.43		28	
		TOTAL		22	10.73					77	37.56											106	51.71		205	
	SIXTH				Excluded					14	63.64											8	36.36		22	
		TOTAL								91	44.39											114	55.61		205	
										Elected																
																										
Mitchells Island                                               																										
	FIRST			19	8.44		2	0.89		121	53.78		9	4.00		6	2.67		0	0.00		68	30.22		225	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		19	8.44		2	0.89		121	53.78		9	4.00		6	2.67					68	30.22		225	
	THIRD			1	50.00			Excluded		0	0.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		20	8.89					121	53.78		10	4.44		6	2.67					68	30.22		225	
	FOURTH			0	0.00					3	50.00		2	33.33			Excluded					1	16.67		6	
		TOTAL		20	8.89					124	55.11		12	5.33								69	30.67		225	
	FIFTH			1	8.33					3	25.00			Excluded								8	66.67		12	
		TOTAL		21	9.33					127	56.44											77	34.22		225	
	SIXTH				Excluded					12	57.14											9	42.86		21	
		TOTAL								139	61.78											86	38.22		225	
										Elected																
																										
Moorland                                                       																										
	FIRST			40	13.33		3	1.00		159	53.00		10	3.33		12	4.00		1	0.33		75	25.00		300	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		40	13.33		3	1.00		159	53.00		10	3.33		13	4.33					75	25.00		300	
	THIRD			2	66.67			Excluded		0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		42	14.00					159	53.00		11	3.67		13	4.33					75	25.00		300	
	FOURTH			0	0.00					4	30.77		6	46.15			Excluded					3	23.08		13	
		TOTAL		42	14.00					163	54.33		17	5.67								78	26.00		300	
	FIFTH			2	11.76					5	29.41			Excluded								10	58.82		17	
		TOTAL		44	14.67					168	56.00											88	29.33		300	
	SIXTH				Excluded					27	61.36											17	38.64		44	
		TOTAL								195	65.00											105	35.00		300	
										Elected																
																										
Mount George                                                   																										
	FIRST			34	15.67		6	2.76		111	51.15		7	3.23		4	1.84		2	0.92		53	24.42		217	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		34	15.67		6	2.76		111	51.15		7	3.23		5	2.30					54	24.88		217	
	THIRD			1	16.67			Excluded		4	66.67		0	0.00		1	16.67					0	0.00		6	
		TOTAL		35	16.13					115	53.00		7	3.23		6	2.76					54	24.88		217	
	FOURTH			1	16.67					0	0.00		1	16.67			Excluded					4	66.67		6	
		TOTAL		36	16.59					115	53.00		8	3.69								58	26.73		217	
	FIFTH			2	25.00					2	25.00			Excluded								4	50.00		8	
		TOTAL		38	17.51					117	53.92											62	28.57		217	
	SIXTH				Excluded					23	60.53											15	39.47		38	
		TOTAL								140	64.52											77	35.48		217	
										Elected																
																										
North Haven                                                    																										
	FIRST			124	9.97		12	0.96		619	49.76		19	1.53		20	1.61		1	0.08		449	36.09		1244	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		124	9.97		12	0.96		619	49.76		19	1.53		20	1.61					450	36.17		1244	
	THIRD			4	33.33			Excluded		3	25.00		4	33.33		0	0.00					1	8.33		12	
		TOTAL		128	10.29					622	50.00		23	1.85		20	1.61					451	36.25		1244	
	FOURTH			2	10.00					4	20.00		9	45.00			Excluded					5	25.00		20	
		TOTAL		130	10.45					626	50.32		32	2.57								456	36.66		1244	
	FIFTH			4	12.50					9	28.13			Excluded								19	59.38		32	
		TOTAL		134	10.77					635	51.05											475	38.18		1244	
	SIXTH				Excluded					74	55.22											60	44.78		134	
		TOTAL								709	56.99											535	43.01		1244	
										Elected																
																										
Old Bar                                                        																										
	FIRST			154	7.25		14	0.66		967	45.53		50	2.35		80	3.77		1	0.05		858	40.40		2124	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		154	7.25		14	0.66		967	45.53		51	2.40		80	3.77					858	40.40		2124	
	THIRD			5	35.71			Excluded		4	28.57		1	7.14		1	7.14					3	21.43		14	
		TOTAL		159	7.49					971	45.72		52	2.45		81	3.81					861	40.54		2124	
	FOURTH			7	8.64					14	17.28		33	40.74			Excluded					27	33.33		81	
		TOTAL		166	7.82					985	46.37		85	4.00								888	41.81		2124	
	FIFTH			9	10.59					26	30.59			Excluded								50	58.82		85	
		TOTAL		175	8.24					1011	47.60											938	44.16		2124	
	SIXTH				Excluded					86	49.14											89	50.86		175	
		TOTAL								1097	51.65											1027	48.35		2124	
										Elected																
																										
Oxley Island                                                   																										
	FIRST			22	12.36		0	0.00		93	52.25		4	2.25		10	5.62		1	0.56		48	26.97		178	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		22	12.36		1	0.56		93	52.25		4	2.25		10	5.62					48	26.97		178	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		23	12.92					93	52.25		4	2.25		10	5.62					48	26.97		178	
	FOURTH			0	0.00					2	20.00		6	60.00			Excluded					2	20.00		10	
		TOTAL		23	12.92					95	53.37		10	5.62								50	28.09		178	
	FIFTH			0	0.00					2	20.00			Excluded								8	80.00		10	
		TOTAL		23	12.92					97	54.49											58	32.58		178	
	SIXTH				Excluded					13	56.52											10	43.48		23	
		TOTAL								110	61.80											68	38.20		178	
										Elected																
																										
Pembrooke                                                      																										
	FIRST			20	13.25		4	2.65		80	52.98		7	4.64		6	3.97		0	0.00		34	22.52		151	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		20	13.25		4	2.65		80	52.98		7	4.64		6	3.97					34	22.52		151	
	THIRD			2	50.00			Excluded		1	25.00		0	0.00		1	25.00					0	0.00		4	
		TOTAL		22	14.57					81	53.64		7	4.64		7	4.64					34	22.52		151	
	FOURTH			0	0.00					1	14.29		3	42.86			Excluded					3	42.86		7	
		TOTAL		22	14.57					82	54.30		10	6.62								37	24.50		151	
	FIFTH			0	0.00					3	30.00			Excluded								7	70.00		10	
		TOTAL		22	14.57					85	56.29											44	29.14		151	
	SIXTH				Excluded					20	90.91											2	9.09		22	
		TOTAL								105	69.54											46	30.46		151	
										Elected																
																										
Port Macquarie Central                                         																										
	FIRST			68	5.49		16	1.29		733	59.21		51	4.12		30	2.42		1	0.08		339	27.38		1238	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		68	5.49		16	1.29		733	59.21		51	4.12		31	2.50					339	27.38		1238	
	THIRD			2	12.50			Excluded		6	37.50		4	25.00		0	0.00					4	25.00		16	
		TOTAL		70	5.65					739	59.69		55	4.44		31	2.50					343	27.71		1238	
	FOURTH			3	9.68					8	25.81		15	48.39			Excluded					5	16.13		31	
		TOTAL		73	5.90					747	60.34		70	5.65								348	28.11		1238	
	FIFTH			7	10.00					20	28.57			Excluded								43	61.43		70	
		TOTAL		80	6.46					767	61.95											391	31.58		1238	
	SIXTH				Excluded					47	58.75											33	41.25		80	
		TOTAL								814	65.75											424	34.25		1238	
										Elected																
																										
Port Macquarie Civic                                           																										
	FIRST			133	7.38		22	1.22		1018	56.46		61	3.38		50	2.77		4	0.22		515	28.56		1803	
	SECOND			1	25.00		0	0.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		134	7.43		22	1.22		1018	56.46		62	3.44		51	2.83					516	28.62		1803	
	THIRD			5	22.73			Excluded		9	40.91		4	18.18		1	4.55					3	13.64		22	
		TOTAL		139	7.71					1027	56.96		66	3.66		52	2.88					519	28.79		1803	
	FOURTH			1	1.92					13	25.00		27	51.92			Excluded					11	21.15		52	
		TOTAL		140	7.76					1040	57.68		93	5.16								530	29.40		1803	
	FIFTH			16	17.20					25	26.88			Excluded								52	55.91		93	
		TOTAL		156	8.65					1065	59.07											582	32.28		1803	
	SIXTH				Excluded					96	61.54											60	38.46		156	
		TOTAL								1161	64.39											642	35.61		1803	
										Elected																
																										
Port Macquarie East                                            																										
	FIRST			287	7.08		34	0.84		2306	56.90		124	3.06		110	2.71		6	0.15		1186	29.26		4053	
	SECOND			0	0.00		2	33.33		1	16.67		0	0.00		2	33.33			Excluded		1	16.67		6	
		TOTAL		287	7.08		36	0.89		2307	56.92		124	3.06		112	2.76					1187	29.29		4053	
	THIRD			7	19.44			Excluded		6	16.67		11	30.56		9	25.00					3	8.33		36	
		TOTAL		294	7.25					2313	57.07		135	3.33		121	2.99					1190	29.36		4053	
	FOURTH			2	1.65					30	24.79		55	45.45			Excluded					34	28.10		121	
		TOTAL		296	7.30					2343	57.81		190	4.69								1224	30.20		4053	
	FIFTH			22	11.58					60	31.58			Excluded								108	56.84		190	
		TOTAL		318	7.85					2403	59.29											1332	32.86		4053	
	SIXTH				Excluded					142	44.65											176	55.35		318	
		TOTAL								2545	62.79											1508	37.21		4053	
										Elected																
																										
Port Macquarie Hospital                                        																										
	FIRST			35	8.43		7	1.69		237	57.11		8	1.93		11	2.65		0	0.00		117	28.19		415	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		35	8.43		7	1.69		237	57.11		8	1.93		11	2.65					117	28.19		415	
	THIRD			0	0.00			Excluded		2	28.57		2	28.57		0	0.00					3	42.86		7	
		TOTAL		35	8.43					239	57.59		10	2.41		11	2.65					120	28.92		415	
	FOURTH			0	0.00					0	0.00		7	63.64			Excluded					4	36.36		11	
		TOTAL		35	8.43					239	57.59		17	4.10								124	29.88		415	
	FIFTH			1	5.88					5	29.41			Excluded								11	64.71		17	
		TOTAL		36	8.67					244	58.80											135	32.53		415	
	SIXTH				Excluded					19	52.78											17	47.22		36	
		TOTAL								263	63.37											152	36.63		415	
										Elected																
																										
Port Macquarie North Shore                                     																										
	FIRST			34	10.40		4	1.22		169	51.68		9	2.75		13	3.98		0	0.00		98	29.97		327	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		34	10.40		4	1.22		169	51.68		9	2.75		13	3.98					98	29.97		327	
	THIRD			1	25.00			Excluded		1	25.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL		35	10.70					170	51.99		10	3.06		13	3.98					99	30.28		327	
	FOURTH			3	23.08					2	15.38		5	38.46			Excluded					3	23.08		13	
		TOTAL		38	11.62					172	52.60		15	4.59								102	31.19		327	
	FIFTH			2	13.33					4	26.67			Excluded								9	60.00		15	
		TOTAL		40	12.23					176	53.82											111	33.94		327	
	SIXTH				Excluded					23	57.50											17	42.50		40	
		TOTAL								199	60.86											128	39.14		327	
										Elected																
																										
Port Macquarie South                                           																										
	FIRST			143	5.82		21	0.86		1480	60.26		70	2.85		80	3.26		8	0.33		654	26.63		2456	
	SECOND			2	25.00		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		3	37.50		8	
		TOTAL		145	5.90		22	0.90		1481	60.30		70	2.85		81	3.30					657	26.75		2456	
	THIRD			5	22.73			Excluded		4	18.18		3	13.64		4	18.18					6	27.27		22	
		TOTAL		150	6.11					1485	60.46		73	2.97		85	3.46					663	27.00		2456	
	FOURTH			6	7.06					18	21.18		39	45.88			Excluded					22	25.88		85	
		TOTAL		156	6.35					1503	61.20		112	4.56								685	27.89		2456	
	FIFTH			15	13.39					39	34.82			Excluded								58	51.79		112	
		TOTAL		171	6.96					1542	62.79											743	30.25		2456	
	SIXTH				Excluded					81	47.37											90	52.63		171	
		TOTAL								1623	66.08											833	33.92		2456	
										Elected																
																										
Port Macquarie West                                            																										
	FIRST			319	8.13		36	0.92		2271	57.86		78	1.99		94	2.39		6	0.15		1121	28.56		3925	
	SECOND			0	0.00		3	50.00		0	0.00		1	16.67		1	16.67			Excluded		1	16.67		6	
		TOTAL		319	8.13		39	0.99		2271	57.86		79	2.01		95	2.42					1122	28.59		3925	
	THIRD			7	17.95			Excluded		10	25.64		9	23.08		6	15.38					7	17.95		39	
		TOTAL		326	8.31					2281	58.11		88	2.24		101	2.57					1129	28.76		3925	
	FOURTH			10	9.90					24	23.76		49	48.51			Excluded					18	17.82		101	
		TOTAL		336	8.56					2305	58.73		137	3.49								1147	29.22		3925	
	FIFTH			22	16.06					49	35.77			Excluded								66	48.18		137	
		TOTAL		358	9.12					2354	59.97											1213	30.90		3925	
	SIXTH				Excluded					169	47.21											189	52.79		358	
		TOTAL								2523	64.28											1402	35.72		3925	
										Elected																
																										
Purfleet                                                       																										
	FIRST			12	8.45		2	1.41		44	30.99		1	0.70		1	0.70		0	0.00		82	57.75		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		12	8.45		2	1.41		44	30.99		1	0.70		1	0.70					82	57.75		142	
	THIRD			0	0.00			Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL		12	8.45					45	31.69		2	1.41		1	0.70					82	57.75		142	
	FOURTH			0	0.00					0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL		12	8.45					45	31.69		2	1.41								83	58.45		142	
	FIFTH			0	0.00					0	0.00			Excluded								2	100.00		2	
		TOTAL		12	8.45					45	31.69											85	59.86		142	
	SIXTH				Excluded					5	41.67											7	58.33		12	
		TOTAL								50	35.21											92	64.79		142	
										Elected																
																										
Rollands Plains                                                																										
	FIRST			18	10.23		1	0.57		108	61.36		10	5.68		10	5.68		3	1.70		26	14.77		176	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		18	10.23		1	0.57		108	61.36		10	5.68		10	5.68					29	16.48		176	
	THIRD			0	0.00			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		18	10.23					108	61.36		11	6.25		10	5.68					29	16.48		176	
	FOURTH			0	0.00					4	40.00		5	50.00			Excluded					1	10.00		10	
		TOTAL		18	10.23					112	63.64		16	9.09								30	17.05		176	
	FIFTH			0	0.00					3	18.75			Excluded								13	81.25		16	
		TOTAL		18	10.23					115	65.34											43	24.43		176	
	SIXTH				Excluded					10	55.56											8	44.44		18	
		TOTAL								125	71.02											51	28.98		176	
										Elected																
																										
Settlement Shores                                              																										
	FIRST			100	7.63		10	0.76		772	58.93		27	2.06		27	2.06		2	0.15		372	28.40		1310	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		100	7.63		10	0.76		772	58.93		28	2.14		28	2.14					372	28.40		1310	
	THIRD			3	30.00			Excluded		4	40.00		2	20.00		1	10.00					0	0.00		10	
		TOTAL		103	7.86					776	59.24		30	2.29		29	2.21					372	28.40		1310	
	FOURTH			2	6.90					6	20.69		13	44.83			Excluded					8	27.59		29	
		TOTAL		105	8.02					782	59.69		43	3.28								380	29.01		1310	
	FIFTH			10	23.26					20	46.51			Excluded								13	30.23		43	
		TOTAL		115	8.78					802	61.22											393	30.00		1310	
