House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Charlton																									
				HOARE			BLYTH			KENDALL			PATERSON			BELL			JOHNSON			THORPE			
		TOTAL		236	62.77								114	30.32					26	6.91					376
	SIXTH			12	46.15								14	53.85						Excluded					26
		TOTAL		248	65.96								128	34.04											376
				Elected																					
																									
Martindale St                                                  																									
	FIRST			919	52.33		94	5.35		30	1.71		533	30.35		79	4.50		88	5.01		13	0.74		1756
	SECOND			4	30.77		1	7.69		2	15.38		0	0.00		1	7.69		5	38.46			Excluded		13
		TOTAL		923	52.56		95	5.41		32	1.82		533	30.35		80	4.56		93	5.30					1756
	THIRD			8	25.00		3	9.38			Excluded		16	50.00		0	0.00		5	15.63					32
		TOTAL		931	53.02		98	5.58					549	31.26		80	4.56		98	5.58					1756
	FOURTH			34	34.69			Excluded					11	11.22		44	44.90		9	9.18					98
		TOTAL		965	54.95								560	31.89		124	7.06		107	6.09					1756
	FIFTH			79	63.71								30	24.19			Excluded		15	12.10					124
		TOTAL		1044	59.45								590	33.60					122	6.95					1756
	SIXTH			58	47.54								64	52.46						Excluded					122
		TOTAL		1102	62.76								654	37.24											1756
				Elected																					
																									
Martinsville                                                   																									
	FIRST			54	30.51		11	6.21		2	1.13		83	46.89		9	5.08		18	10.17		0	0.00		177
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		54	30.51		11	6.21		2	1.13		83	46.89		9	5.08		18	10.17					177
	THIRD			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00					2
		TOTAL		54	30.51		12	6.78					84	47.46		9	5.08		18	10.17					177
	FOURTH			4	33.33			Excluded					1	8.33		6	50.00		1	8.33					12
		TOTAL		58	32.77								85	48.02		15	8.47		19	10.73					177
	FIFTH			6	40.00								7	46.67			Excluded		2	13.33					15
		TOTAL		64	36.16								92	51.98					21	11.86					177
	SIXTH			10	47.62								11	52.38						Excluded					21
		TOTAL		74	41.81								103	58.19											177
				Elected																					
																									
Morisset                                                       																									
	FIRST			678	43.46		71	4.55		34	2.18		553	35.45		77	4.94		135	8.65		12	0.77		1560
	SECOND			0	0.00		2	16.67		1	8.33		1	8.33		4	33.33		4	33.33			Excluded		12
		TOTAL		678	43.46		73	4.68		35	2.24		554	35.51		81	5.19		139	8.91					1560
	THIRD			4	11.43		4	11.43			Excluded		16	45.71		5	14.29		6	17.14					35
		TOTAL		682	43.72		77	4.94					570	36.54		86	5.51		145	9.29					1560
	FOURTH			26	33.77			Excluded					14	18.18		29	37.66		8	10.39					77
		TOTAL		708	45.38								584	37.44		115	7.37		153	9.81					1560
	FIFTH			78	67.83								26	22.61			Excluded		11	9.57					115
		TOTAL		786	50.38								610	39.10					164	10.51					1560
	SIXTH			55	33.54								109	66.46						Excluded					164
		TOTAL		841	53.91								719	46.09											1560
				Elected																					
																									
Mount Hutton (Charlton)                                        																									
	FIRST			173	41.09		25	5.94		19	4.51		161	38.24		22	5.23		19	4.51		2	0.48		421
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		2
		TOTAL		173	41.09		26	6.18		20	4.75		161	38.24		22	5.23		19	4.51					421
	THIRD			0	0.00		2	10.00			Excluded		5	25.00		2	10.00		11	55.00					20
		TOTAL		173	41.09		28	6.65					166	39.43		24	5.70		30	7.13					421
	FOURTH			14	50.00			Excluded					5	17.86		9	32.14		0	0.00					28
		TOTAL		187	44.42								171	40.62		33	7.84		30	7.13					421
	FIFTH			22	66.67								7	21.21			Excluded		4	12.12					33
		TOTAL		209	49.64								178	42.28					34	8.08					421
	SIXTH			12	35.29								22	64.71						Excluded					34
		TOTAL		221	52.49								200	47.51											421
				Elected																					
																									
New Lambton Heights                                            																									
	FIRST			157	29.90		57	10.86		19	3.62		229	43.62		53	10.10		8	1.52		2	0.38		525
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		157	29.90		58	11.05		19	3.62		229	43.62		53	10.10		9	1.71					525
	THIRD			0	0.00		0	0.00			Excluded		17	89.47		2	10.53		0	0.00					19
		TOTAL		157	29.90		58	11.05					246	46.86		55	10.48		9	1.71					525
	FOURTH			17	29.31			Excluded					9	15.52		30	51.72		2	3.45					58
		TOTAL		174	33.14								255	48.57		85	16.19		11	2.10					525
	FIFTH			60	70.59								22	25.88			Excluded		3	3.53					85
		TOTAL		234	44.57								277	52.76					14	2.67					525
	SIXTH			6	42.86								8	57.14						Excluded					14
		TOTAL		240	45.71								285	54.29											525
				Elected																					
																									
Rathmines                                                      																									
	FIRST			978	42.16		112	4.83		47	2.03		832	35.86		152	6.55		185	7.97		14	0.60		2320
	SECOND			1	7.14		0	0.00		1	7.14		0	0.00		1	7.14		11	78.57			Excluded		14
		TOTAL		979	42.20		112	4.83		48	2.07		832	35.86		153	6.59		196	8.45					2320
	THIRD			3	6.25		4	8.33			Excluded		30	62.50		4	8.33		7	14.58					48
		TOTAL		982	42.33		116	5.00					862	37.16		157	6.77		203	8.75					2320
	FOURTH			31	26.72			Excluded					20	17.24		52	44.83		13	11.21					116
		TOTAL		1013	43.66								882	38.02		209	9.01		216	9.31					2320
	FIFTH			133	63.64								59	28.23			Excluded		17	8.13					209
		TOTAL		1146	49.40								941	40.56					233	10.04					2320
	SIXTH			98	42.06								135	57.94						Excluded					233
		TOTAL		1244	53.62								1076	46.38											2320
				Elected																					
																									
Silver Ridge                                                   																									
	FIRST			314	45.57		26	3.77		14	2.03		271	39.33		36	5.22		26	3.77		2	0.29		689
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2
		TOTAL		314	45.57		26	3.77		14	2.03		271	39.33		36	5.22		28	4.06					689
	THIRD			1	7.14		3	21.43			Excluded		9	64.29		0	0.00		1	7.14					14
		TOTAL		315	45.72		29	4.21					280	40.64		36	5.22		29	4.21					689
	FOURTH			11	37.93			Excluded					2	6.90		16	55.17		0	0.00					29
		TOTAL		326	47.31								282	40.93		52	7.55		29	4.21					689
	FIFTH			30	57.69								17	32.69			Excluded		5	9.62					52
		TOTAL		356	51.67								299	43.40					34	4.93					689
	SIXTH			14	41.18								20	58.82						Excluded					34
		TOTAL		370	53.70								319	46.30											689
				Elected																					
																									
Speers Point                                                   																									
	FIRST			1017	47.86		82	3.86		35	1.65		625	29.41		84	3.95		274	12.89		8	0.38		2125
	SECOND			0	0.00		1	12.50		1	12.50		2	25.00		2	25.00		2	25.00			Excluded		8
		TOTAL		1017	47.86		83	3.91		36	1.69		627	29.51		86	4.05		276	12.99					2125
	THIRD			6	16.67		2	5.56			Excluded		22	61.11		4	11.11		2	5.56					36
		TOTAL		1023	48.14		85	4.00					649	30.54		90	4.24		278	13.08					2125
	FOURTH			27	31.76			Excluded					9	10.59		36	42.35		13	15.29					85
		TOTAL		1050	49.41								658	30.96		126	5.93		291	13.69					2125
	FIFTH			73	57.94								37	29.37			Excluded		16	12.70					126
		TOTAL		1123	52.85								695	32.71					307	14.45					2125
	SIXTH			99	32.25								208	67.75						Excluded					307
		TOTAL		1222	57.51								903	42.49											2125
				Elected																					
																									
Sunshine                                                       																									
	FIRST			303	42.38		26	3.64		12	1.68		273	38.18		41	5.73		57	7.97		3	0.42		715
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00		1	33.33			Excluded		3
		TOTAL		304	42.52		26	3.64		12	1.68		274	38.32		41	5.73		58	8.11					715
	THIRD			3	25.00		0	0.00			Excluded		4	33.33		4	33.33		1	8.33					12
		TOTAL		307	42.94		26	3.64					278	38.88		45	6.29		59	8.25					715
	FOURTH			9	34.62			Excluded					5	19.23		9	34.62		3	11.54					26
		TOTAL		316	44.20								283	39.58		54	7.55		62	8.67					715
	FIFTH			30	55.56								15	27.78			Excluded		9	16.67					54
		TOTAL		346	48.39								298	41.68					71	9.93					715
	SIXTH			33	46.48								38	53.52						Excluded					71
		TOTAL		379	53.01								336	46.99											715
				Elected																					
																									
Sydney (Charlton)                                              																									
	FIRST			11	32.35		3	8.82		2	5.88		14	41.18		3	8.82		1	2.94		0	0.00		34
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		11	32.35		3	8.82		2	5.88		14	41.18		3	8.82		1	2.94					34
	THIRD			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00					2
		TOTAL		12	35.29		3	8.82					15	44.12		3	8.82		1	2.94					34
	FOURTH			2	66.67			Excluded					0	0.00		1	33.33		0	0.00					3
		TOTAL		14	41.18								15	44.12		4	11.76		1	2.94					34
	FIFTH			1	25.00								3	75.00			Excluded		0	0.00					4
		TOTAL		15	44.12								18	52.94					1	2.94					34
	SIXTH			0	0.00								1	100.00						Excluded					1
		TOTAL		15	44.12								19	55.88											34
				Elected																					
																									
Teralba                                                        																									
	FIRST			443	50.92		41	4.71		20	2.30		224	25.75		29	3.33		110	12.64		3	0.34		870
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33		2	66.67		0	0.00			Excluded		3
		TOTAL		443	50.92		41	4.71		20	2.30		225	25.86		31	3.56		110	12.64					870
	THIRD			3	15.00		1	5.00			Excluded		15	75.00		1	5.00		0	0.00					20
		TOTAL		446	51.26		42	4.83					240	27.59		32	3.68		110	12.64					870
	FOURTH			16	38.10			Excluded					9	21.43		12	28.57		5	11.90					42
		TOTAL		462	53.10								249	28.62		44	5.06		115	13.22					870
	FIFTH			24	54.55								9	20.45			Excluded		11	25.00					44
		TOTAL		486	55.86								258	29.66					126	14.48					870
	SIXTH			53	42.06								73	57.94						Excluded					126
		TOTAL		539	61.95								331	38.05											870
				Elected																					
																									
Toronto                                                        																									
	FIRST			253	58.43		24	5.54		8	1.85		88	20.32		24	5.54		34	7.85		2	0.46		433
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2
		TOTAL		254	58.66		24	5.54		8	1.85		88	20.32		25	5.77		34	7.85					433
	THIRD			3	37.50		1	12.50			Excluded		2	25.00		0	0.00		2	25.00					8
		TOTAL		257	59.35		25	5.77					90	20.79		25	5.77		36	8.31					433
	FOURTH			7	28.00			Excluded					3	12.00		10	40.00		5	20.00					25
		TOTAL		264	60.97								93	21.48		35	8.08		41	9.47					433
	FIFTH			16	45.71								13	37.14			Excluded		6	17.14					35
		TOTAL		280	64.67								106	24.48					47	10.85					433
	SIXTH			16	34.04								31	65.96						Excluded					47
		TOTAL		296	68.36								137	31.64											433
				Elected																					
																									
Toronto North                                                  																									
	FIRST			486	43.82		58	5.23		21	1.89		405	36.52		53	4.78		82	7.39		4	0.36		1109
	SECOND			0	0.00		0	0.00		0	0.00		1	25.00		1	25.00		2	50.00			Excluded		4
		TOTAL		486	43.82		58	5.23		21	1.89		406	36.61		54	4.87		84	7.57					1109
	THIRD			4	19.05		1	4.76			Excluded		9	42.86		2	9.52		5	23.81					21
		TOTAL		490	44.18		59	5.32					415	37.42		56	5.05		89	8.03					1109
	FOURTH			20	33.90			Excluded					10	16.95		24	40.68		5	8.47					59
		TOTAL		510	45.99								425	38.32		80	7.21		94	8.48					1109
	FIFTH			52	65.00								19	23.75			Excluded		9	11.25					80
		TOTAL		562	50.68								444	40.04					103	9.29					1109
	SIXTH			47	45.63								56	54.37						Excluded					103
		TOTAL		609	54.91								500	45.09											1109
				Elected																					
																									
Wallsend South                                                 																									
	FIRST			1217	41.58		149	5.09		48	1.64		1092	37.31		298	10.18		113	3.86		10	0.34		2927
	SECOND			0	0.00		2	20.00		0	0.00		1	10.00		3	30.00		4	40.00			Excluded		10
		TOTAL		1217	41.58		151	5.16		48	1.64		1093	37.34		301	10.28		117	4.00					2927
	THIRD			4	8.33		6	12.50			Excluded		25	52.08		9	18.75		4	8.33					48
		TOTAL		1221	41.72		157	5.36					1118	38.20		310	10.59		121	4.13					2927
	FOURTH			50	31.85			Excluded					17	10.83		84	53.50		6	3.82					157
		TOTAL		1271	43.42								1135	38.78		394	13.46		127	4.34					2927
	FIFTH			249	63.20								118	29.95			Excluded		27	6.85					394
		TOTAL		1520	51.93								1253	42.81					154	5.26					2927
	SIXTH			71	46.10								83	53.90						Excluded					154
		TOTAL		1591	54.36								1336	45.64											2927
				Elected																					
																									
Wangi Wangi                                                    																									
	FIRST			735	44.68		71	4.32		40	2.43		513	31.19		114	6.93		166	10.09		6	0.36		1645
	SECOND			2	33.33		2	33.33		0	0.00		0	0.00		1	16.67		1	16.67			Excluded		6
		TOTAL		737	44.80		73	4.44		40	2.43		513	31.19		115	6.99		167	10.15					1645
	THIRD			7	17.50		3	7.50			Excluded		20	50.00		4	10.00		6	15.00					40
		TOTAL		744	45.23		76	4.62					533	32.40		119	7.23		173	10.52					1645
	FOURTH			27	35.53			Excluded					7	9.21		40	52.63		2	2.63					76
		TOTAL		771	46.87								540	32.83		159	9.67		175	10.64					1645
	FIFTH			106	66.67								41	25.79			Excluded		12	7.55					159
		TOTAL		877	53.31								581	35.32					187	11.37					1645
	SIXTH			63	33.69								124	66.31						Excluded					187
		TOTAL		940	57.14								705	42.86											1645
				Elected																					
																									
Warners Bay                                                    																									
	FIRST			1168	44.34		127	4.82		64	2.43		883	33.52		151	5.73		230	8.73		11	0.42		2634
	SECOND			2	18.18		1	9.09		0	0.00		1	9.09		1	9.09		6	54.55			Excluded		11
		TOTAL		1170	44.42		128	4.86		64	2.43		884	33.56		152	5.77		236	8.96					2634
	THIRD			7	10.94		9	14.06			Excluded		30	46.88		9	14.06		9	14.06					64
		TOTAL		1177	44.68		137	5.20					914	34.70		161	6.11		245	9.30					2634
	FOURTH			53	38.69			Excluded					10	7.30		67	48.91		7	5.11					137
		TOTAL		1230	46.70								924	35.08		228	8.66		252	9.57					2634
	FIFTH			131	57.46								84	36.84			Excluded		13	5.70					228
		TOTAL		1361	51.67								1008	38.27					265	10.06					2634
	SIXTH			78	29.43								187	70.57						Excluded					265
		TOTAL		1439	54.63								1195	45.37											2634
				Elected																					
																									
Warners Bay Central                                            																									
	FIRST			254	44.10		33	5.73		14	2.43		215	37.33		30	5.21		27	4.69		3	0.52		576
	SECOND			0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		3
		TOTAL		254	44.10		34	5.90		15	2.60		215	37.33		30	5.21		28	4.86					576
	THIRD			2	13.33		1	6.67			Excluded		9	60.00		2	13.33		1	6.67					15
		TOTAL		256	44.44		35	6.08					224	38.89		32	5.56		29	5.03					576
	FOURTH			10	28.57			Excluded					4	11.43		17	48.57		4	11.43					35
		TOTAL		266	46.18								228	39.58		49	8.51		33	5.73					576
	FIFTH			24	48.98								17	34.69			Excluded		8	16.33					49
		TOTAL		290	50.35								245	42.53					41	7.12					576
	SIXTH			18	43.90								23	56.10						Excluded					41
		TOTAL		308	53.47								268	46.53											576
				Elected																					
																									
West Wallsend                                                  																									
	FIRST			1185	61.37		124	6.42		49	2.54		342	17.71		59	3.06		166	8.60		6	0.31		1931
	SECOND			0	0.00		4	66.67		1	16.67		0	0.00		0	0.00		1	16.67			Excluded		6
		TOTAL		1185	61.37		128	6.63		50	2.59		342	17.71		59	3.06		167	8.65					1931
	THIRD			7	14.00		8	16.00			Excluded		24	48.00		6	12.00		5	10.00					50
		TOTAL		1192	61.73		136	7.04					366	18.95		65	3.37		172	8.91					1931
	FOURTH			38	27.94			Excluded					17	12.50		59	43.38		22	16.18					136
		TOTAL		1230	63.70								383	19.83		124	6.42		194	10.05					1931
	FIFTH			69	55.65								29	23.39			Excluded		26	20.97					124
		TOTAL		1299	67.27								412	21.34					220	11.39					1931
	SIXTH			97	44.09								123	55.91						Excluded					220
		TOTAL		1396	72.29								535	27.71											1931
				Elected																					
																									
Woodrising                                                     																									
	FIRST			190	59.94		11	3.47		6	1.89		79	24.92		16	5.05		14	4.42		1	0.32		317
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		191	60.25		11	3.47		6	1.89		79	24.92		16	5.05		14	4.42					317
	THIRD			2	33.33		1	16.67			Excluded		0	0.00		3	50.00		0	0.00					6
		TOTAL		193	60.88		12	3.79					79	24.92		19	5.99		14	4.42					317
	FOURTH			5	41.67			Excluded					0	0.00		6	50.00		1	8.33					12
		TOTAL		198	62.46								79	24.92		25	7.89		15	4.73					317
	FIFTH			13	52.00								9	36.00			Excluded		3	12.00					25
		TOTAL		211	66.56								88	27.76					18	5.68					317
	SIXTH			7	38.89								11	61.11						Excluded					18
		TOTAL		218	68.77								99	31.23											317
				Elected																					
																									
Wyee                                                           																									
	FIRST			459	39.03		47	4.00		91	7.74		431	36.65		53	4.51		92	7.82		3	0.26		1176
	SECOND			2	66.67		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00			Excluded		3
		TOTAL		461	39.20		47	4.00		91	7.74		432	36.73		53	4.51		92	7.82					1176
	THIRD			1	1.10		6	6.59			Excluded		75	82.42		4	4.40		5	5.49					91
		TOTAL		462	39.29		53	4.51					507	43.11		57	4.85		97	8.25					1176
	FOURTH			18	33.96			Excluded					8	15.09		24	45.28		3	5.66					53
		TOTAL		480	40.82								515	43.79		81	6.89		100	8.50					1176
	FIFTH			53	65.43								16	19.75			Excluded		12	14.81					81
		TOTAL		533	45.32								531	45.15					112	9.52					1176
	SIXTH			61	54.46								51	45.54						Excluded					112
		TOTAL		594	50.51								582	49.49											1176
				Elected																					
																									
Wyee Point                                                     																									
	FIRST			138	57.26		7	2.90		1	0.41		72	29.88		8	3.32		15	6.22		0	0.00		241
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		138	57.26		7	2.90		1	0.41		72	29.88		8	3.32		15	6.22					241
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00					1
		TOTAL		138	57.26		7	2.90					72	29.88		9	3.73		15	6.22					241
	FOURTH			2	28.57			Excluded					2	28.57		3	42.86		0	0.00					7
		TOTAL		140	58.09								74	30.71		12	4.98		15	6.22					241
	FIFTH			6	50.00								5	41.67			Excluded		1	8.33					12
		TOTAL		146	60.58								79	32.78					16	6.64					241
	SIXTH			9	56.25								7	43.75						Excluded					16
		TOTAL		155	64.32								86	35.68											241
				Elected																					
																									
Special Hospital Team 1                                        																									
	FIRST			127	53.59		2	0.84		3	1.27		91	38.40		7	2.95		5	2.11		2	0.84		237
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		2
		TOTAL		128	54.01		2	0.84		3	1.27		91	38.40		7	2.95		6	2.53					237
	THIRD			1	33.33		0	0.00			Excluded		2	66.67		0	0.00		0	0.00					3
		TOTAL		129	54.43		2	0.84					93	39.24		7	2.95		6	2.53					237
	FOURTH			2	100.00			Excluded					0	0.00		0	0.00		0	0.00					2
		TOTAL		131	55.27								93	39.24		7	2.95		6	2.53					237
	FIFTH			3	42.86								4	57.14			Excluded		0	0.00					7
		TOTAL		134	56.54								97	40.93					6	2.53					237
	SIXTH			3	50.00								3	50.00						Excluded					6
		TOTAL		137	57.81								100	42.19											237
				Elected																					
																									
Special Hospital Team 2                                        																									
	FIRST			47	37.60		1	0.80		4	3.20		66	52.80		1	0.80		5	4.00		1	0.80		125
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		1
		TOTAL		47	37.60		1	0.80		5	4.00		66	52.80		1	0.80		5	4.00					125
	THIRD			0	0.00		0	0.00			Excluded		1	20.00		3	60.00		1	20.00					5
		TOTAL		47	37.60		1	0.80					67	53.60		4	3.20		6	4.80					125
	FOURTH			0	0.00			Excluded					1	100.00		0	0.00		0	0.00					1
		TOTAL		47	37.60								68	54.40		4	3.20		6	4.80					125
	FIFTH			1	25.00								3	75.00			Excluded		0	0.00					4
		TOTAL		48	38.40								71	56.80					6	4.80					125
	SIXTH			2	33.33								4	66.67						Excluded					6
		TOTAL		50	40.00								75	60.00											125
				Elected																					
																									
ABSENT																									
	FIRST			2118	42.15		372	7.40		168	3.34		1681	33.45		294	5.85		362	7.20		30	0.60		5025
	SECOND			6	20.00		2	6.67		2	6.67		3	10.00		9	30.00		8	26.67			Excluded		30
		TOTAL		2124	42.27		374	7.44		170	3.38		1684	33.51		303	6.03		370	7.36					5025
	THIRD			19	11.18		23	13.53			Excluded		67	39.41		17	10.00		44	25.88					170
		TOTAL		2143	42.65		397	7.90					1751	34.85		320	6.37		414	8.24					5025
	FOURTH			153	38.54			Excluded					72	18.14		131	33.00		41	10.33					397
		TOTAL		2296	45.69								1823	36.28		451	8.98		455	9.05					5025
	FIFTH			271	60.09								133	29.49			Excluded		47	10.42					451
		TOTAL		2567	51.08								1956	38.93					502	9.99					5025
	SIXTH			227	45.22								275	54.78						Excluded					502
		TOTAL		2794	55.60								2231	44.40											5025
				Elected																					
																									
POSTAL																									
	FIRST			1178	40.43		60	2.06		60	2.06		1317	45.20		108	3.71		184	6.31		7	0.24		2914
	SECOND			2	28.57		0	0.00		2	28.57		1	14.29		1	14.29		1	14.29			Excluded		7
		TOTAL		1180	40.49		60	2.06		62	2.13		1318	45.23		109	3.74		185	6.35					2914
	THIRD			3	4.84		10	16.13			Excluded		42	67.74		3	4.84		4	6.45					62
		TOTAL		1183	40.60		70	2.40					1360	46.67		112	3.84		189	6.49					2914
	FOURTH			28	40.00			Excluded					9	12.86		26	37.14		7	10.00					70
		TOTAL		1211	41.56								1369	46.98		138	4.74		196	6.73					2914
	FIFTH			71	51.45								43	31.16			Excluded		24	17.39					138
		TOTAL		1282	43.99								1412	48.46					220	7.55					2914
	SIXTH			118	53.64								102	46.36						Excluded					220
		TOTAL		1400	48.04								1514	51.96											2914
				Elected																					
																									
PRE POLL																									
	FIRST			1345	32.37		165	3.97		105	2.53		1965	47.29		212	5.10		348	8.38		15	0.36		4155
	SECOND			1	6.67		3	20.00		0	0.00		2	13.33		1	6.67		8	53.33			Excluded		15
		TOTAL		1346	32.39		168	4.04		105	2.53		1967	47.34		213	5.13		356	8.57					4155
	THIRD			10	9.52		10	9.52			Excluded		51	48.57		15	14.29		19	18.10					105
		TOTAL		1356	32.64		178	4.28					2018	48.57		228	5.49		375	9.03					4155
	FOURTH			53	29.78			Excluded					22	12.36		89	50.00		14	7.87					178
		TOTAL		1409	33.91								2040	49.10		317	7.63		389	9.36					4155
	FIFTH			181	57.10								106	33.44			Excluded		30	9.46					317
		TOTAL		1590	38.27								2146	51.65					419	10.08					4155
	SIXTH			152	36.28								267	63.72						Excluded					419
		TOTAL		1742	41.93								2413	58.07											4155
				Elected																					
																									
PROVISIONAL																									
	FIRST			233	51.55		35	7.74		13	2.88		113	25.00		24	5.31		32	7.08		2	0.44		452
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		2
		TOTAL		233	51.55		35	7.74		13	2.88		113	25.00		25	5.53		33	7.30					452
	THIRD			1	7.69		3	23.08			Excluded		7	53.85		2	15.38		0	0.00					13
		TOTAL		234	51.77		38	8.41					120	26.55		27	5.97		33	7.30					452
	FOURTH			16	42.11			Excluded					3	7.89		8	21.05		11	28.95					38
		TOTAL		250	55.31								123	27.21		35	7.74		44	9.73					452
	FIFTH			21	60.00								10	28.57			Excluded		4	11.43					35
		TOTAL		271	59.96								133	29.42					48	10.62					452
	SIXTH			23	47.92								25	52.08						Excluded					48
		TOTAL		294	65.04								158	34.96											452
				Elected																					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
