House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Fowler																																		
				JOHNSON			GRANT			POULARAS			WATSON			BRAZENALL			CHUNG			ROSSO			GASKELL			MENDELSSOHN			IRWIN			
	FIFTH			1	2.22		6	13.33					5	11.11					3	6.67		4	8.89			Excluded					26	57.78		45
		TOTAL		66	3.82		68	3.94					378	21.90					35	2.03		118	6.84								1061	61.47		1726
	SIXTH			22	32.35			Excluded					10	14.71					13	19.12		3	4.41								20	29.41		68
		TOTAL		88	5.10								388	22.48					48	2.78		121	7.01								1081	62.63		1726
	SEVENTH			32	26.45								31	25.62					21	17.36			Excluded								37	30.58		121
		TOTAL		120	6.95								419	24.28					69	4.00											1118	64.77		1726
	EIGHTH				Excluded								85	70.83					18	15.00											17	14.17		120
		TOTAL											504	29.20					87	5.04											1135	65.76		1726
	NINTH												55	63.22						Excluded											32	36.78		87
		TOTAL											559	32.39																	1167	67.61		1726
																															Elected			
																																		
Lansvale                                                       																																		
	FIRST			65	3.68		40	2.27		23	1.30		223	12.64		12	0.68		142	8.05		69	3.91		37	2.10		28	1.59		1125	63.78		1764
	SECOND			0	0.00		0	0.00		2	16.67		8	66.67			Excluded		0	0.00		2	16.67		0	0.00		0	0.00		0	0.00		12
		TOTAL		65	3.68		40	2.27		25	1.42		231	13.10					142	8.05		71	4.02		37	2.10		28	1.59		1125	63.78		1764
	THIRD			2	8.00		3	12.00			Excluded		15	60.00					0	0.00		1	4.00		0	0.00		1	4.00		3	12.00		25
		TOTAL		67	3.80		43	2.44					246	13.95					142	8.05		72	4.08		37	2.10		29	1.64		1128	63.95		1764
	FOURTH			2	6.90		8	27.59					2	6.90					2	6.90		2	6.90		4	13.79			Excluded		9	31.03		29
		TOTAL		69	3.91		51	2.89					248	14.06					144	8.16		74	4.20		41	2.32					1137	64.46		1764
	FIFTH			2	4.88		2	4.88					5	12.20					5	12.20		4	9.76			Excluded					23	56.10		41
		TOTAL		71	4.02		53	3.00					253	14.34					149	8.45		78	4.42								1160	65.76		1764
	SIXTH			16	30.19			Excluded					6	11.32					11	20.75		5	9.43								15	28.30		53
		TOTAL		87	4.93								259	14.68					160	9.07		83	4.71								1175	66.61		1764
	SEVENTH			35	42.17								14	16.87					11	13.25			Excluded								23	27.71		83
		TOTAL		122	6.92								273	15.48					171	9.69											1198	67.91		1764
	EIGHTH				Excluded								88	72.13					17	13.93											17	13.93		122
		TOTAL											361	20.46					188	10.66											1215	68.88		1764
	NINTH												61	32.45						Excluded											127	67.55		188
		TOTAL											422	23.92																	1342	76.08		1764
																															Elected			
																																		
Lansvale East                                                  																																		
	FIRST			28	2.31		18	1.48		15	1.24		398	32.81		16	1.32		35	2.89		72	5.94		25	2.06		18	1.48		588	48.47		1213
	SECOND			0	0.00		1	6.25		1	6.25		2	12.50			Excluded		0	0.00		7	43.75		1	6.25		2	12.50		2	12.50		16
		TOTAL		28	2.31		19	1.57		16	1.32		400	32.98					35	2.89		79	6.51		26	2.14		20	1.65		590	48.64		1213
	THIRD			1	6.25		0	0.00			Excluded		8	50.00					0	0.00		0	0.00		0	0.00		1	6.25		6	37.50		16
		TOTAL		29	2.39		19	1.57					408	33.64					35	2.89		79	6.51		26	2.14		21	1.73		596	49.13		1213
	FOURTH			0	0.00		4	19.05					7	33.33					0	0.00		1	4.76		0	0.00			Excluded		9	42.86		21
		TOTAL		29	2.39		23	1.90					415	34.21					35	2.89		80	6.60		26	2.14					605	49.88		1213
	FIFTH			2	7.69		2	7.69					1	3.85					2	7.69		5	19.23			Excluded					14	53.85		26
		TOTAL		31	2.56		25	2.06					416	34.30					37	3.05		85	7.01								619	51.03		1213
	SIXTH			1	4.00			Excluded					8	32.00					5	20.00		4	16.00								7	28.00		25
		TOTAL		32	2.64								424	34.95					42	3.46		89	7.34								626	51.61		1213
	SEVENTH			20	22.47								40	44.94					4	4.49			Excluded								25	28.09		89
		TOTAL		52	4.29								464	38.25					46	3.79											651	53.67		1213
	EIGHTH				Excluded								35	67.31					10	19.23											7	13.46		52
		TOTAL											499	41.14					56	4.62											658	54.25		1213
	NINTH												23	41.07						Excluded											33	58.93		56
		TOTAL											522	43.03																	691	56.97		1213
																															Elected			
																																		
Liverpool                                                      																																		
	FIRST			57	2.39		73	3.06		40	1.68		402	16.86		34	1.43		32	1.34		99	4.15		46	1.93		57	2.39		1545	64.78		2385
	SECOND			2	5.88		1	2.94		4	11.76		14	41.18			Excluded		0	0.00		6	17.65		5	14.71		0	0.00		2	5.88		34
		TOTAL		59	2.47		74	3.10		44	1.84		416	17.44					32	1.34		105	4.40		51	2.14		57	2.39		1547	64.86		2385
	THIRD			2	4.55		10	22.73			Excluded		9	20.45					2	4.55		8	18.18		2	4.55		4	9.09		7	15.91		44
		TOTAL		61	2.56		84	3.52					425	17.82					34	1.43		113	4.74		53	2.22		61	2.56		1554	65.16		2385
	FOURTH			3	4.92		17	27.87					3	4.92					2	3.28		2	3.28		9	14.75			Excluded		25	40.98		61
		TOTAL		64	2.68		101	4.23					428	17.95					36	1.51		115	4.82		62	2.60					1579	66.21		2385
	FIFTH			4	6.45		12	19.35					8	12.90					3	4.84		6	9.68			Excluded					29	46.77		62
		TOTAL		68	2.85		113	4.74					436	18.28					39	1.64		121	5.07								1608	67.42		2385
	SIXTH			19	16.81			Excluded					16	14.16					12	10.62		3	2.65								63	55.75		113
		TOTAL		87	3.65								452	18.95					51	2.14		124	5.20								1671	70.06		2385
	SEVENTH			56	45.16								24	19.35					13	10.48			Excluded								31	25.00		124
		TOTAL		143	6.00								476	19.96					64	2.68											1702	71.36		2385
	EIGHTH				Excluded								98	68.53					32	22.38											13	9.09		143
		TOTAL											574	24.07					96	4.03											1715	71.91		2385
	NINTH												46	47.92						Excluded											50	52.08		96
		TOTAL											620	26.00																	1765	74.00		2385
																															Elected			
																																		
Liverpool North                                                																																		
	FIRST			11	2.37		14	3.01		3	0.65		86	18.49		2	0.43		8	1.72		16	3.44		18	3.87		14	3.01		293	63.01		465
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		11	2.37		14	3.01		3	0.65		86	18.49					8	1.72		17	3.66		19	4.09		14	3.01		293	63.01		465
	THIRD			1	33.33		0	0.00			Excluded		1	33.33					0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		12	2.58		14	3.01					87	18.71					8	1.72		17	3.66		20	4.30		14	3.01		293	63.01		465
	FOURTH			0	0.00		0	0.00					2	14.29					1	7.14		2	14.29		0	0.00			Excluded		9	64.29		14
		TOTAL		12	2.58		14	3.01					89	19.14					9	1.94		19	4.09		20	4.30					302	64.95		465
	FIFTH			3	15.00		3	15.00					1	5.00					0	0.00		4	20.00			Excluded					9	45.00		20
		TOTAL		15	3.23		17	3.66					90	19.35					9	1.94		23	4.95								311	66.88		465
	SIXTH			3	17.65			Excluded					5	29.41					1	5.88		1	5.88								7	41.18		17
		TOTAL		18	3.87								95	20.43					10	2.15		24	5.16								318	68.39		465
	SEVENTH			1	4.17								10	41.67					7	29.17			Excluded								6	25.00		24
		TOTAL		19	4.09								105	22.58					17	3.66											324	69.68		465
	EIGHTH				Excluded								13	68.42					4	21.05											2	10.53		19
		TOTAL											118	25.38					21	4.52											326	70.11		465
	NINTH												10	47.62						Excluded											11	52.38		21
		TOTAL											128	27.53																	337	72.47		465
																															Elected			
																																		
Liverpool South                                                																																		
	FIRST			15	1.99		24	3.18		18	2.39		131	17.37		10	1.33		12	1.59		28	3.71		10	1.33		23	3.05		483	64.06		754
	SECOND			0	0.00		1	10.00		0	0.00		2	20.00			Excluded		1	10.00		2	20.00		3	30.00		0	0.00		1	10.00		10
		TOTAL		15	1.99		25	3.32		18	2.39		133	17.64					13	1.72		30	3.98		13	1.72		23	3.05		484	64.19		754
	THIRD			3	16.67		3	16.67			Excluded		4	22.22					2	11.11		0	0.00		1	5.56		2	11.11		3	16.67		18
		TOTAL		18	2.39		28	3.71					137	18.17					15	1.99		30	3.98		14	1.86		25	3.32		487	64.59		754
	FOURTH			0	0.00		4	16.00					8	32.00					2	8.00		2	8.00		4	16.00			Excluded		5	20.00		25
		TOTAL		18	2.39		32	4.24					145	19.23					17	2.25		32	4.24		18	2.39					492	65.25		754
	FIFTH			4	22.22		3	16.67					0	0.00					1	5.56		2	11.11			Excluded					8	44.44		18
		TOTAL		22	2.92		35	4.64					145	19.23					18	2.39		34	4.51								500	66.31		754
	SIXTH			9	25.71			Excluded					8	22.86					5	14.29		1	2.86								12	34.29		35
		TOTAL		31	4.11								153	20.29					23	3.05		35	4.64								512	67.90		754
	SEVENTH			10	28.57								7	20.00					5	14.29			Excluded								13	37.14		35
		TOTAL		41	5.44								160	21.22					28	3.71											525	69.63		754
	EIGHTH				Excluded								23	56.10					9	21.95											9	21.95		41
		TOTAL											183	24.27					37	4.91											534	70.82		754
	NINTH												13	35.14						Excluded											24	64.86		37
		TOTAL											196	25.99																	558	74.01		754
																															Elected			
																																		
Liverpool West (Fowler)                                        																																		
	FIRST			79	3.23		59	2.41		66	2.70		691	28.27		34	1.39		20	0.82		134	5.48		51	2.09		58	2.37		1252	51.23		2444
	SECOND			2	5.88		4	11.76		1	2.94		2	5.88			Excluded		1	2.94		12	35.29		7	20.59		2	5.88		3	8.82		34
		TOTAL		81	3.31		63	2.58		67	2.74		693	28.36					21	0.86		146	5.97		58	2.37		60	2.45		1255	51.35		2444
	THIRD			5	7.46		9	13.43			Excluded		30	44.78					1	1.49		10	14.93		3	4.48		3	4.48		6	8.96		67
		TOTAL		86	3.52		72	2.95					723	29.58					22	0.90		156	6.38		61	2.50		63	2.58		1261	51.60		2444
	FOURTH			2	3.17		13	20.63					13	20.63					2	3.17		5	7.94		1	1.59			Excluded		27	42.86		63
		TOTAL		88	3.60		85	3.48					736	30.11					24	0.98		161	6.59		62	2.54					1288	52.70		2444
	FIFTH			5	8.06		8	12.90					4	6.45					5	8.06		6	9.68			Excluded					34	54.84		62
		TOTAL		93	3.81		93	3.81					740	30.28					29	1.19		167	6.83								1322	54.09		2444
	SIXTH			28	30.11			Excluded					15	16.13					3	3.23		9	9.68								38	40.86		93
		TOTAL		121	4.95								755	30.89					32	1.31		176	7.20								1360	55.65		2444
	SEVENTH			70	39.77								35	19.89					18	10.23			Excluded								53	30.11		176
		TOTAL		191	7.82								790	32.32					50	2.05											1413	57.82		2444
	EIGHTH				Excluded								141	73.82					23	12.04											27	14.14		191
		TOTAL											931	38.09					73	2.99											1440	58.92		2444
	NINTH												44	60.27						Excluded											29	39.73		73
		TOTAL											975	39.89																	1469	60.11		2444
																															Elected			
																																		
Marsden Road                                                   																																		
	FIRST			53	2.77		45	2.35		33	1.73		475	24.83		25	1.31		44	2.30		106	5.54		30	1.57		48	2.51		1054	55.10		1913
	SECOND			1	4.00		2	8.00		1	4.00		3	12.00			Excluded		2	8.00		5	20.00		5	20.00		0	0.00		6	24.00		25
		TOTAL		54	2.82		47	2.46		34	1.78		478	24.99					46	2.40		111	5.80		35	1.83		48	2.51		1060	55.41		1913
	THIRD			1	2.94		9	26.47			Excluded		14	41.18					0	0.00		2	5.88		0	0.00		4	11.76		4	11.76		34
		TOTAL		55	2.88		56	2.93					492	25.72					46	2.40		113	5.91		35	1.83		52	2.72		1064	55.62		1913
	FOURTH			2	3.85		12	23.08					6	11.54					2	3.85		6	11.54		4	7.69			Excluded		20	38.46		52
		TOTAL		57	2.98		68	3.55					498	26.03					48	2.51		119	6.22		39	2.04					1084	56.66		1913
	FIFTH			2	5.13		5	12.82					7	17.95					4	10.26		6	15.38			Excluded					15	38.46		39
		TOTAL		59	3.08		73	3.82					505	26.40					52	2.72		125	6.53								1099	57.45		1913
	SIXTH			16	21.92			Excluded					18	24.66					10	13.70		7	9.59								22	30.14		73
		TOTAL		75	3.92								523	27.34					62	3.24		132	6.90								1121	58.60		1913
	SEVENTH			42	31.82								37	28.03					11	8.33			Excluded								42	31.82		132
		TOTAL		117	6.12								560	29.27					73	3.82											1163	60.79		1913
	EIGHTH				Excluded								82	70.09					25	21.37											10	8.55		117
		TOTAL											642	33.56					98	5.12											1173	61.32		1913
	NINTH												34	34.69						Excluded											64	65.31		98
		TOTAL											676	35.34																	1237	64.66		1913
																															Elected			
																																		
Miller (Fowler)                                                																																		
	FIRST			7	3.65		2	1.04		3	1.56		27	14.06		5	2.60		5	2.60		12	6.25		6	3.13		1	0.52		124	64.58		192
	SECOND			1	20.00		0	0.00		0	0.00		1	20.00			Excluded		0	0.00		0	0.00		0	0.00		1	20.00		2	40.00		5
		TOTAL		8	4.17		2	1.04		3	1.56		28	14.58					5	2.60		12	6.25		6	3.13		2	1.04		126	65.63		192
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		2	66.67		1	33.33		3
		TOTAL		8	4.17		2	1.04					28	14.58					5	2.60		12	6.25		6	3.13		4	2.08		127	66.15		192
	FOURTH			0	0.00		0	0.00					1	25.00					0	0.00		0	0.00		1	25.00			Excluded		2	50.00		4
		TOTAL		8	4.17		2	1.04					29	15.10					5	2.60		12	6.25		7	3.65					129	67.19		192
	FIFTH			1	14.29		1	14.29					0	0.00					1	14.29		0	0.00			Excluded					4	57.14		7
		TOTAL		9	4.69		3	1.56					29	15.10					6	3.13		12	6.25								133	69.27		192
	SIXTH			2	66.67			Excluded					0	0.00					0	0.00		0	0.00								1	33.33		3
		TOTAL		11	5.73								29	15.10					6	3.13		12	6.25								134	69.79		192
	SEVENTH			2	16.67								4	33.33					3	25.00			Excluded								3	25.00		12
		TOTAL		13	6.77								33	17.19					9	4.69											137	71.35		192
	EIGHTH				Excluded								12	92.31					0	0.00											1	7.69		13
		TOTAL											45	23.44					9	4.69											138	71.88		192
	NINTH												5	55.56						Excluded											4	44.44		9
		TOTAL											50	26.04																	142	73.96		192
																															Elected			
																																		
Mount Pritchard                                                																																		
	FIRST			89	3.26		70	2.56		47	1.72		714	26.14		54	1.98		121	4.43		132	4.83		47	1.72		55	2.01		1402	51.34		2731
	SECOND			3	5.56		12	22.22		3	5.56		11	20.37			Excluded		1	1.85		15	27.78		4	7.41		1	1.85		4	7.41		54
		TOTAL		92	3.37		82	3.00		50	1.83		725	26.55					122	4.47		147	5.38		51	1.87		56	2.05		1406	51.48		2731
	THIRD			5	10.00		9	18.00			Excluded		20	40.00					3	6.00		7	14.00		1	2.00		0	0.00		5	10.00		50
		TOTAL		97	3.55		91	3.33					745	27.28					125	4.58		154	5.64		52	1.90		56	2.05		1411	51.67		2731
	FOURTH			2	3.57		16	28.57					6	10.71					3	5.36		3	5.36		3	5.36			Excluded		23	41.07		56
		TOTAL		99	3.63		107	3.92					751	27.50					128	4.69		157	5.75		55	2.01					1434	52.51		2731
	FIFTH			2	3.64		9	16.36					4	7.27					4	7.27		8	14.55			Excluded					28	50.91		55
		TOTAL		101	3.70		116	4.25					755	27.65					132	4.83		165	6.04								1462	53.53		2731
	SIXTH			23	19.83			Excluded					23	19.83					16	13.79		12	10.34								42	36.21		116
		TOTAL		124	4.54								778	28.49					148	5.42		177	6.48								1504	55.07		2731
	SEVENTH			38	21.47								64	36.16					21	11.86			Excluded								54	30.51		177
		TOTAL		162	5.93								842	30.83					169	6.19											1558	57.05		2731
	EIGHTH				Excluded								108	66.67					24	14.81											30	18.52		162
		TOTAL											950	34.79					193	7.07											1588	58.15		2731
	NINTH												71	36.79						Excluded											122	63.21		193
		TOTAL											1021	37.39																	1710	62.61		2731
																															Elected			
																																		
Mount Pritchard East                                           																																		
	FIRST			50	3.09		45	2.78		34	2.10		309	19.07		24	1.48		51	3.15		84	5.19		31	1.91		24	1.48		968	59.75		1620
	SECOND			2	8.33		4	16.67		0	0.00		5	20.83			Excluded		1	4.17		7	29.17		5	20.83		0	0.00		0	0.00		24
		TOTAL		52	3.21		49	3.02		34	2.10		314	19.38					52	3.21		91	5.62		36	2.22		24	1.48		968	59.75		1620
	THIRD			1	2.94		1	2.94			Excluded		20	58.82					2	5.88		4	11.76		1	2.94		0	0.00		5	14.71		34
		TOTAL		53	3.27		50	3.09					334	20.62					54	3.33		95	5.86		37	2.28		24	1.48		973	60.06		1620
	FOURTH			1	4.17		3	12.50					4	16.67					2	8.33		3	12.50		1	4.17			Excluded		10	41.67		24
		TOTAL		54	3.33		53	3.27					338	20.86					56	3.46		98	6.05		38	2.35					983	60.68		1620
	FIFTH			3	7.89		1	2.63					5	13.16					2	5.26		6	15.79			Excluded					21	55.26		38
		TOTAL		57	3.52		54	3.33					343	21.17					58	3.58		104	6.42								1004	61.98		1620
	SIXTH			15	27.78			Excluded					6	11.11					6	11.11		7	12.96								20	37.04		54
		TOTAL		72	4.44								349	21.54					64	3.95		111	6.85								1024	63.21		1620
	SEVENTH			36	32.43								30	27.03					8	7.21			Excluded								37	33.33		111
		TOTAL		108	6.67								379	23.40					72	4.44											1061	65.49		1620
	EIGHTH				Excluded								74	68.52					18	16.67											16	14.81		108
		TOTAL											453	27.96					90	5.56											1077	66.48		1620
	NINTH												35	38.89						Excluded											55	61.11		90
		TOTAL											488	30.12																	1132	69.88		1620
																															Elected			
																																		
Sadleir                                                        																																		
	FIRST			36	2.91		29	2.34		13	1.05		173	13.97		19	1.53		33	2.67		79	6.38		17	1.37		28	2.26		811	65.51		1238
	SECOND			2	10.53		3	15.79		1	5.26		2	10.53			Excluded		1	5.26		6	31.58		4	21.05		0	0.00		0	0.00		19
		TOTAL		38	3.07		32	2.58		14	1.13		175	14.14					34	2.75		85	6.87		21	1.70		28	2.26		811	65.51		1238
	THIRD			0	0.00		5	35.71			Excluded		4	28.57					1	7.14		1	7.14		0	0.00		0	0.00		3	21.43		14
		TOTAL		38	3.07		37	2.99					179	14.46					35	2.83		86	6.95		21	1.70		28	2.26		814	65.75		1238
	FOURTH			3	10.71		1	3.57					3	10.71					2	7.14		2	7.14		6	21.43			Excluded		11	39.29		28
		TOTAL		41	3.31		38	3.07					182	14.70					37	2.99		88	7.11		27	2.18					825	66.64		1238
	FIFTH			1	3.70		8	29.63					2	7.41					5	18.52		2	7.41			Excluded					9	33.33		27
		TOTAL		42	3.39		46	3.72					184	14.86					42	3.39		90	7.27								834	67.37		1238
	SIXTH			14	30.43			Excluded					9	19.57					6	13.04		8	17.39								9	19.57		46
		TOTAL		56	4.52								193	15.59					48	3.88		98	7.92								843	68.09		1238
	SEVENTH			34	34.69								21	21.43					11	11.22			Excluded								32	32.65		98
		TOTAL		90	7.27								214	17.29					59	4.77											875	70.68		1238
	EIGHTH				Excluded								64	71.11					15	16.67											11	12.22		90
		TOTAL											278	22.46					74	5.98											886	71.57		1238
	NINTH												20	27.03						Excluded											54	72.97		74
		TOTAL											298	24.07																	940	75.93		1238
																															Elected			
																																		
St Johns Park                                                  																																		
	FIRST			94	3.09		47	1.54		42	1.38		595	19.55		25	0.82		170	5.58		47	1.54		46	1.51		53	1.74		1925	63.24		3044
	SECOND			1	4.00		2	8.00		2	8.00		5	20.00			Excluded		2	8.00		4	16.00		6	24.00		0	0.00		3	12.00		25
		TOTAL		95	3.12		49	1.61		44	1.45		600	19.71					172	5.65		51	1.68		52	1.71		53	1.74		1928	63.34		3044
	THIRD			1	2.27		6	13.64			Excluded		17	38.64					1	2.27		2	4.55		2	4.55		5	11.36		10	22.73		44
		TOTAL		96	3.15		55	1.81					617	20.27					173	5.68		53	1.74		54	1.77		58	1.91		1938	63.67		3044
	FOURTH			1	1.72		9	15.52					8	13.79					3	5.17		3	5.17		6	10.34			Excluded		28	48.28		58
		TOTAL		97	3.19		64	2.10					625	20.53					176	5.78		56	1.84		60	1.97					1966	64.59		3044
	FIFTH			5	8.33		8	13.33					6	10.00					5	8.33		3	5.00			Excluded					33	55.00		60
		TOTAL		102	3.35		72	2.37					631	20.73					181	5.95		59	1.94								1999	65.67		3044
	SIXTH			17	23.61			Excluded					16	22.22					10	13.89		4	5.56								25	34.72		72
		TOTAL		119	3.91								647	21.25					191	6.27		63	2.07								2024	66.49		3044
	SEVENTH			14	22.22								17	26.98					12	19.05			Excluded								20	31.75		63
		TOTAL		133	4.37								664	21.81					203	6.67											2044	67.15		3044
	EIGHTH				Excluded								100	75.19					17	12.78											16	12.03		133
		TOTAL											764	25.10					220	7.23											2060	67.67		3044
	NINTH												74	33.64						Excluded											146	66.36		220
		TOTAL											838	27.53																	2206	72.47		3044
																															Elected			
																																		
Sydney (Fowler)                                                																																		
	FIRST			1	1.23		6	7.41		1	1.23		17	20.99		1	1.23		6	7.41		0	0.00		6	7.41		3	3.70		40	49.38		81
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		1	1.23		6	7.41		1	1.23		17	20.99					6	7.41		0	0.00		7	8.64		3	3.70		40	49.38		81
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		1	1.23		6	7.41					17	20.99					6	7.41		0	0.00		7	8.64		4	4.94		40	49.38		81
	FOURTH			0	0.00		1	25.00					1	25.00					0	0.00		0	0.00		0	0.00			Excluded		2	50.00		4
		TOTAL		1	1.23		7	8.64					18	22.22					6	7.41		0	0.00		7	8.64					42	51.85		81
	FIFTH			0	0.00		0	0.00					0	0.00					1	14.29		1	14.29			Excluded					5	71.43		7
		TOTAL		1	1.23		7	8.64					18	22.22					7	8.64		1	1.23								47	58.02		81
	SIXTH			1	14.29			Excluded					0	0.00					2	28.57		1	14.29								3	42.86		7
		TOTAL		2	2.47								18	22.22					9	11.11		2	2.47								50	61.73		81
	SEVENTH			0	0.00								1	50.00					1	50.00			Excluded								0	0.00		2
		TOTAL		2	2.47								19	23.46					10	12.35											50	61.73		81
	EIGHTH				Excluded								1	50.00					1	50.00											0	0.00		2
		TOTAL											20	24.69					11	13.58											50	61.73		81
	NINTH												2	18.18						Excluded											9	81.82		11
		TOTAL											22	27.16																	59	72.84		81
																															Elected			
																																		
Villawood                                                      																																		
	FIRST			70	3.60		43	2.21		45	2.31		289	14.87		25	1.29		77	3.96		69	3.55		24	1.23		48	2.47		1254	64.51		1944
	SECOND			3	12.00		3	12.00		2	8.00		6	24.00			Excluded		0	0.00		6	24.00		1	4.00		0	0.00		4	16.00		25
		TOTAL		73	3.76		46	2.37		47	2.42		295	15.17					77	3.96		75	3.86		25	1.29		48	2.47		1258	64.71		1944
	THIRD			3	6.38		3	6.38			Excluded		25	53.19					1	2.13		2	4.26		4	8.51		2	4.26		7	14.89		47
		TOTAL		76	3.91		49	2.52					320	16.46					78	4.01		77	3.96		29	1.49		50	2.57		1265	65.07		1944
	FOURTH			0	0.00		9	18.00					10	20.00					4	8.00		2	4.00		3	6.00			Excluded		22	44.00		50
		TOTAL		76	3.91		58	2.98					330	16.98					82	4.22		79	4.06		32	1.65					1287	66.20		1944
	FIFTH			1	3.13		3	9.38					3	9.38					1	3.13		5	15.63			Excluded					19	59.38		32
		TOTAL		77	3.96		61	3.14					333	17.13					83	4.27		84	4.32								1306	67.18		1944
	SIXTH			17	27.87			Excluded					11	18.03					4	6.56		2	3.28								27	44.26		61
		TOTAL		94	4.84								344	17.70					87	4.48		86	4.42								1333	68.57		1944
	SEVENTH			17	19.77								30	34.88					9	10.47			Excluded								30	34.88		86
		TOTAL		111	5.71								374	19.24					96	4.94											1363	70.11		1944
	EIGHTH				Excluded								75	67.57					25	22.52											11	9.91		111
		TOTAL											449	23.10					121	6.22											1374	70.68		1944
	NINTH												40	33.06						Excluded											81	66.94		121
		TOTAL											489	25.15																	1455	74.85		1944
																															Elected			
																																		
Villawood North                                                																																		
	FIRST			54	3.69		34	2.33		12	0.82		212	14.50		15	1.03		104	7.11		41	2.80		30	2.05		27	1.85		933	63.82		1462
	SECOND			4	26.67		1	6.67		0	0.00		3	20.00			Excluded		0	0.00		3	20.00		1	6.67		2	13.33		1	6.67		15
		TOTAL		58	3.97		35	2.39		12	0.82		215	14.71					104	7.11		44	3.01		31	2.12		29	1.98		934	63.89		1462
	THIRD			0	0.00		4	33.33			Excluded		6	50.00					0	0.00		1	8.33		0	0.00		0	0.00		1	8.33		12
		TOTAL		58	3.97		39	2.67					221	15.12					104	7.11		45	3.08		31	2.12		29	1.98		935	63.95		1462
	FOURTH			2	6.90		5	17.24					4	13.79					1	3.45		1	3.45		4	13.79			Excluded		12	41.38		29
		TOTAL		60	4.10		44	3.01					225	15.39					105	7.18		46	3.15		35	2.39					947	64.77		1462
	FIFTH			1	2.86		4	11.43					3	8.57					1	2.86		6	17.14			Excluded					20	57.14		35
		TOTAL		61	4.17		48	3.28					228	15.60					106	7.25		52	3.56								967	66.14		1462
	SIXTH			13	27.08			Excluded					6	12.50					7	14.58		2	4.17								20	41.67		48
		TOTAL		74	5.06								234	16.01					113	7.73		54	3.69								987	67.51		1462
	SEVENTH			20	37.04								11	20.37					9	16.67			Excluded								14	25.93		54
		TOTAL		94	6.43								245	16.76					122	8.34											1001	68.47		1462
	EIGHTH				Excluded								72	76.60					13	13.83											9	9.57		94
		TOTAL											317	21.68					135	9.23											1010	69.08		1462
	NINTH												50	37.04						Excluded											85	62.96		135
		TOTAL											367	25.10																	1095	74.90		1462
																															Elected			
																																		
Wakeley (Fowler)                                               																																		
	FIRST			41	4.19		22	2.25		34	3.47		169	17.26		3	0.31		72	7.35		30	3.06		33	3.37		19	1.94		556	56.79		979
	SECOND			0	0.00		0	0.00		0	0.00		2	66.67			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		41	4.19		22	2.25		34	3.47		171	17.47					72	7.35		30	3.06		34	3.47		19	1.94		556	56.79		979
	THIRD			2	5.88		3	8.82			Excluded		13	38.24					1	2.94		5	14.71		2	5.88		0	0.00		8	23.53		34
		TOTAL		43	4.39		25	2.55					184	18.79					73	7.46		35	3.58		36	3.68		19	1.94		564	57.61		979
	FOURTH			1	5.26		1	5.26					5	26.32					0	0.00		3	15.79		2	10.53			Excluded		7	36.84		19
		TOTAL		44	4.49		26	2.66					189	19.31					73	7.46		38	3.88		38	3.88					571	58.32		979
	FIFTH			1	2.63		0	0.00					8	21.05					6	15.79		6	15.79			Excluded					17	44.74		38
		TOTAL		45	4.60		26	2.66					197	20.12					79	8.07		44	4.49								588	60.06		979
	SIXTH			5	19.23			Excluded					2	7.69					3	11.54		0	0.00								16	61.54		26
		TOTAL		50	5.11								199	20.33					82	8.38		44	4.49								604	61.70		979
	SEVENTH			7	15.91								8	18.18					8	18.18			Excluded								21	47.73		44
		TOTAL		57	5.82								207	21.14					90	9.19											625	63.84		979
	EIGHTH				Excluded								46	80.70					7	12.28											4	7.02		57
		TOTAL											253	25.84					97	9.91											629	64.25		979
	NINTH												49	50.52						Excluded											48	49.48		97
		TOTAL											302	30.85																	677	69.15		979
																															Elected			
																																		
Warwick Farm                                                   																																		
	FIRST			40	3.13		25	1.96		23	1.80		178	13.93		15	1.17		32	2.50		64	5.01		23	1.80		23	1.80		855	66.90		1278
	SECOND			3	20.00		2	13.33		0	0.00		3	20.00			Excluded		0	0.00		4	26.67		1	6.67		2	13.33		0	0.00		15
		TOTAL		43	3.36		27	2.11		23	1.80		181	14.16					32	2.50		68	5.32		24	1.88		25	1.96		855	66.90		1278
	THIRD			1	4.35		5	21.74			Excluded		6	26.09					2	8.70		0	0.00		5	21.74		2	8.70		2	8.70		23
		TOTAL		44	3.44		32	2.50					187	14.63					34	2.66		68	5.32		29	2.27		27	2.11		857	67.06		1278
	FOURTH			3	11.11		4	14.81					4	14.81					4	14.81		1	3.70		2	7.41			Excluded		9	33.33		27
