House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Grayndler																													
				BAIRD			O'CONNOR			JOHNSON			ALBANESE			KENWORTHY			HALE			WAN			HERDEN				
	THIRD			3	60.00		0	0.00			Excluded		1	20.00		0	0.00		1	20.00		0	0.00					5	
		TOTAL		67	11.00		5	0.82					320	52.55		112	18.39		101	16.58		4	0.66					609	
	FOURTH			1	25.00		0	0.00					0	0.00		0	0.00		3	75.00			Excluded					4	
		TOTAL		68	11.17		5	0.82					320	52.55		112	18.39		104	17.08								609	
	FIFTH			1	20.00			Excluded					3	60.00		0	0.00		1	20.00								5	
		TOTAL		69	11.33								323	53.04		112	18.39		105	17.24								609	
	SIXTH				Excluded								30	43.48		11	15.94		28	40.58								69	
		TOTAL											353	57.96		123	20.20		133	21.84								609	
	SEVENTH												109	81.95		24	18.05			Excluded								133	
		TOTAL											462	75.86		147	24.14											609	
													Elected																
																													
Newtown North (Grayndler)                                      																													
	FIRST			118	15.65		9	1.19		17	2.25		294	38.99		89	11.80		218	28.91		4	0.53		5	0.66		754	
	SECOND			1	20.00		1	20.00		0	0.00		0	0.00		2	40.00		0	0.00		1	20.00			Excluded		5	
		TOTAL		119	15.78		10	1.33		17	2.25		294	38.99		91	12.07		218	28.91		5	0.66					754	
	THIRD			1	5.88		0	0.00			Excluded		3	17.65		0	0.00		11	64.71		2	11.76					17	
		TOTAL		120	15.92		10	1.33					297	39.39		91	12.07		229	30.37		7	0.93					754	
	FOURTH			1	14.29		0	0.00					1	14.29		0	0.00		5	71.43			Excluded					7	
		TOTAL		121	16.05		10	1.33					298	39.52		91	12.07		234	31.03								754	
	FIFTH			1	10.00			Excluded					3	30.00		4	40.00		2	20.00								10	
		TOTAL		122	16.18								301	39.92		95	12.60		236	31.30								754	
	SIXTH				Excluded								44	36.07		13	10.66		65	53.28								122	
		TOTAL											345	45.76		108	14.32		301	39.92								754	
	SEVENTH												272	90.37		29	9.63			Excluded								301	
		TOTAL											617	81.83		137	18.17											754	
													Elected																
																													
Petersham                                                      																													
	FIRST			184	9.71		34	1.79		21	1.11		880	46.44		430	22.69		298	15.73		15	0.79		33	1.74		1895	
	SECOND			2	6.06		2	6.06		0	0.00		7	21.21		14	42.42		6	18.18		2	6.06			Excluded		33	
		TOTAL		186	9.82		36	1.90		21	1.11		887	46.81		444	23.43		304	16.04		17	0.90					1895	
	THIRD			1	4.76		2	9.52			Excluded		2	9.52		1	4.76		14	66.67		1	4.76					21	
		TOTAL		187	9.87		38	2.01					889	46.91		445	23.48		318	16.78		18	0.95					1895	
	FOURTH			8	44.44		0	0.00					5	27.78		0	0.00		5	27.78			Excluded					18	
		TOTAL		195	10.29		38	2.01					894	47.18		445	23.48		323	17.04								1895	
	FIFTH			6	15.79			Excluded					4	10.53		17	44.74		11	28.95								38	
		TOTAL		201	10.61								898	47.39		462	24.38		334	17.63								1895	
	SIXTH				Excluded								82	40.80		15	7.46		104	51.74								201	
		TOTAL											980	51.72		477	25.17		438	23.11								1895	
	SEVENTH												368	84.02		70	15.98			Excluded								438	
		TOTAL											1348	71.13		547	28.87											1895	
													Elected																
																													
Petersham East                                                 																													
	FIRST			67	9.84		18	2.64		3	0.44		340	49.93		159	23.35		87	12.78		1	0.15		6	0.88		681	
	SECOND			1	16.67		1	16.67		0	0.00		2	33.33		2	33.33		0	0.00		0	0.00			Excluded		6	
		TOTAL		68	9.99		19	2.79		3	0.44		342	50.22		161	23.64		87	12.78		1	0.15					681	
	THIRD			0	0.00		0	0.00			Excluded		2	66.67		0	0.00		1	33.33		0	0.00					3	
		TOTAL		68	9.99		19	2.79					344	50.51		161	23.64		88	12.92		1	0.15					681	
	FOURTH			0	0.00		0	0.00					0	0.00		1	100.00		0	0.00			Excluded					1	
		TOTAL		68	9.99		19	2.79					344	50.51		162	23.79		88	12.92								681	
	FIFTH			2	10.53			Excluded					5	26.32		9	47.37		3	15.79								19	
		TOTAL		70	10.28								349	51.25		171	25.11		91	13.36								681	
	SIXTH				Excluded								35	50.00		8	11.43		27	38.57								70	
		TOTAL											384	56.39		179	26.28		118	17.33								681	
	SEVENTH												105	88.98		13	11.02			Excluded								118	
		TOTAL											489	71.81		192	28.19											681	
													Elected																
																													
Petersham North                                                																													
	FIRST			40	10.47		5	1.31		2	0.52		183	47.91		63	16.49		77	20.16		2	0.52		10	2.62		382	
	SECOND			0	0.00		0	0.00		0	0.00		1	10.00		7	70.00		1	10.00		1	10.00			Excluded		10	
		TOTAL		40	10.47		5	1.31		2	0.52		184	48.17		70	18.32		78	20.42		3	0.79					382	
	THIRD			0	0.00		0	0.00			Excluded		1	50.00		0	0.00		1	50.00		0	0.00					2	
		TOTAL		40	10.47		5	1.31					185	48.43		70	18.32		79	20.68		3	0.79					382	
	FOURTH			0	0.00		1	33.33					0	0.00		0	0.00		2	66.67			Excluded					3	
		TOTAL		40	10.47		6	1.57					185	48.43		70	18.32		81	21.20								382	
	FIFTH			1	16.67			Excluded					2	33.33		3	50.00		0	0.00								6	
		TOTAL		41	10.73								187	48.95		73	19.11		81	21.20								382	
	SIXTH				Excluded								15	36.59		7	17.07		19	46.34								41	
		TOTAL											202	52.88		80	20.94		100	26.18								382	
	SEVENTH												89	89.00		11	11.00			Excluded								100	
		TOTAL											291	76.18		91	23.82											382	
													Elected																
																													
Riverside                                                      																													
	FIRST			134	5.67		39	1.65		30	1.27		1469	62.17		386	16.34		242	10.24		38	1.61		25	1.06		2363	
	SECOND			2	8.00		2	8.00		0	0.00		7	28.00		9	36.00		2	8.00		3	12.00			Excluded		25	
		TOTAL		136	5.76		41	1.74		30	1.27		1476	62.46		395	16.72		244	10.33		41	1.74					2363	
	THIRD			6	20.00		2	6.67			Excluded		5	16.67		0	0.00		16	53.33		1	3.33					30	
		TOTAL		142	6.01		43	1.82					1481	62.67		395	16.72		260	11.00		42	1.78					2363	
	FOURTH			13	30.95		1	2.38					16	38.10		2	4.76		10	23.81			Excluded					42	
		TOTAL		155	6.56		44	1.86					1497	63.35		397	16.80		270	11.43								2363	
	FIFTH			8	18.18			Excluded					7	15.91		20	45.45		9	20.45								44	
		TOTAL		163	6.90								1504	63.65		417	17.65		279	11.81								2363	
	SIXTH				Excluded								69	42.33		19	11.66		75	46.01								163	
		TOTAL											1573	66.57		436	18.45		354	14.98								2363	
	SEVENTH												311	87.85		43	12.15			Excluded								354	
		TOTAL											1884	79.73		479	20.27											2363	
													Elected																
																													
Riverside North                                                																													
	FIRST			104	8.32		16	1.28		14	1.12		711	56.88		246	19.68		137	10.96		12	0.96		10	0.80		1250	
	SECOND			2	20.00		0	0.00		0	0.00		2	20.00		3	30.00		2	20.00		1	10.00			Excluded		10	
		TOTAL		106	8.48		16	1.28		14	1.12		713	57.04		249	19.92		139	11.12		13	1.04					1250	
	THIRD			4	28.57		0	0.00			Excluded		2	14.29		1	7.14		7	50.00		0	0.00					14	
		TOTAL		110	8.80		16	1.28					715	57.20		250	20.00		146	11.68		13	1.04					1250	
	FOURTH			2	15.38		0	0.00					6	46.15		2	15.38		3	23.08			Excluded					13	
		TOTAL		112	8.96		16	1.28					721	57.68		252	20.16		149	11.92								1250	
	FIFTH			6	37.50			Excluded					4	25.00		4	25.00		2	12.50								16	
		TOTAL		118	9.44								725	58.00		256	20.48		151	12.08								1250	
	SIXTH				Excluded								51	43.22		12	10.17		55	46.61								118	
		TOTAL											776	62.08		268	21.44		206	16.48								1250	
	SEVENTH												181	87.86		25	12.14			Excluded								206	
		TOTAL											957	76.56		293	23.44											1250	
													Elected																
																													
St Clements                                                    																													
	FIRST			60	7.26		17	2.06		21	2.54		471	56.95		135	16.32		100	12.09		13	1.57		10	1.21		827	
	SECOND			0	0.00		0	0.00		0	0.00		3	30.00		5	50.00		2	20.00		0	0.00			Excluded		10	
		TOTAL		60	7.26		17	2.06		21	2.54		474	57.32		140	16.93		102	12.33		13	1.57					827	
	THIRD			1	4.76		0	0.00			Excluded		4	19.05		1	4.76		14	66.67		1	4.76					21	
		TOTAL		61	7.38		17	2.06					478	57.80		141	17.05		116	14.03		14	1.69					827	
	FOURTH			4	28.57		0	0.00					6	42.86		1	7.14		3	21.43			Excluded					14	
		TOTAL		65	7.86		17	2.06					484	58.52		142	17.17		119	14.39								827	
	FIFTH			1	5.88			Excluded					7	41.18		6	35.29		3	17.65								17	
		TOTAL		66	7.98								491	59.37		148	17.90		122	14.75								827	
	SIXTH				Excluded								32	48.48		9	13.64		25	37.88								66	
		TOTAL											523	63.24		157	18.98		147	17.78								827	
	SEVENTH												128	87.07		19	12.93			Excluded								147	
		TOTAL											651	78.72		176	21.28											827	
													Elected																
																													
St Peters                                                      																													
	FIRST			54	7.51		39	5.42		12	1.67		360	50.07		127	17.66		118	16.41		5	0.70		4	0.56		719	
	SECOND			2	50.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		4	
		TOTAL		56	7.79		40	5.56		12	1.67		360	50.07		127	17.66		119	16.55		5	0.70					719	
	THIRD			1	8.33		2	16.67			Excluded		3	25.00		0	0.00		5	41.67		1	8.33					12	
		TOTAL		57	7.93		42	5.84					363	50.49		127	17.66		124	17.25		6	0.83					719	
	FOURTH			1	16.67		1	16.67					2	33.33		1	16.67		1	16.67			Excluded					6	
		TOTAL		58	8.07		43	5.98					365	50.76		128	17.80		125	17.39								719	
	FIFTH			11	25.58			Excluded					7	16.28		20	46.51		5	11.63								43	
		TOTAL		69	9.60								372	51.74		148	20.58		130	18.08								719	
	SIXTH				Excluded								30	43.48		13	18.84		26	37.68								69	
		TOTAL											402	55.91		161	22.39		156	21.70								719	
	SEVENTH												137	87.82		19	12.18			Excluded								156	
		TOTAL											539	74.97		180	25.03											719	
													Elected																
																													
Stanmore                                                       																													
	FIRST			208	11.05		33	1.75		32	1.70		863	45.83		395	20.98		303	16.09		29	1.54		20	1.06		1883	
	SECOND			2	10.00		0	0.00		0	0.00		3	15.00		8	40.00		3	15.00		4	20.00			Excluded		20	
		TOTAL		210	11.15		33	1.75		32	1.70		866	45.99		403	21.40		306	16.25		33	1.75					1883	
	THIRD			2	6.25		1	3.13			Excluded		5	15.63		0	0.00		22	68.75		2	6.25					32	
		TOTAL		212	11.26		34	1.81					871	46.26		403	21.40		328	17.42		35	1.86					1883	
	FOURTH			12	34.29		1	2.86					6	17.14		5	14.29		11	31.43			Excluded					35	
		TOTAL		224	11.90		35	1.86					877	46.57		408	21.67		339	18.00								1883	
	FIFTH			8	22.86			Excluded					7	20.00		10	28.57		10	28.57								35	
		TOTAL		232	12.32								884	46.95		418	22.20		349	18.53								1883	
	SIXTH				Excluded								75	32.33		26	11.21		131	56.47								232	
		TOTAL											959	50.93		444	23.58		480	25.49								1883	
	SEVENTH												402	83.75		78	16.25			Excluded								480	
		TOTAL											1361	72.28		522	27.72											1883	
													Elected																
																													
Stanmore North                                                 																													
	FIRST			184	10.54		25	1.43		22	1.26		762	43.64		460	26.35		264	15.12		12	0.69		17	0.97		1746	
	SECOND			0	0.00		1	5.88		0	0.00		0	0.00		9	52.94		2	11.76		5	29.41			Excluded		17	
		TOTAL		184	10.54		26	1.49		22	1.26		762	43.64		469	26.86		266	15.23		17	0.97					1746	
	THIRD			2	9.09		3	13.64			Excluded		5	22.73		1	4.55		10	45.45		1	4.55					22	
		TOTAL		186	10.65		29	1.66					767	43.93		470	26.92		276	15.81		18	1.03					1746	
	FOURTH			4	22.22		0	0.00					5	27.78		0	0.00		9	50.00			Excluded					18	
		TOTAL		190	10.88		29	1.66					772	44.22		470	26.92		285	16.32								1746	
	FIFTH			4	13.79			Excluded					8	27.59		10	34.48		7	24.14								29	
		TOTAL		194	11.11								780	44.67		480	27.49		292	16.72								1746	
	SIXTH				Excluded								64	32.99		29	14.95		101	52.06								194	
		TOTAL											844	48.34		509	29.15		393	22.51								1746	
	SEVENTH												337	85.75		56	14.25			Excluded								393	
		TOTAL											1181	67.64		565	32.36											1746	
													Elected																
																													
Summer Hill                                                    																													
	FIRST			144	9.11		33	2.09		29	1.83		705	44.59		425	26.88		195	12.33		27	1.71		23	1.45		1581	
	SECOND			2	8.70		1	4.35		0	0.00		6	26.09		10	43.48		2	8.70		2	8.70			Excluded		23	
		TOTAL		146	9.23		34	2.15		29	1.83		711	44.97		435	27.51		197	12.46		29	1.83					1581	
	THIRD			3	10.34		2	6.90			Excluded		3	10.34		1	3.45		19	65.52		1	3.45					29	
		TOTAL		149	9.42		36	2.28					714	45.16		436	27.58		216	13.66		30	1.90					1581	
	FOURTH			11	36.67		0	0.00					10	33.33		3	10.00		6	20.00			Excluded					30	
		TOTAL		160	10.12		36	2.28					724	45.79		439	27.77		222	14.04								1581	
	FIFTH			11	30.56			Excluded					8	22.22		8	22.22		9	25.00								36	
		TOTAL		171	10.82								732	46.30		447	28.27		231	14.61								1581	
	SIXTH				Excluded								41	23.98		27	15.79		103	60.23								171	
		TOTAL											773	48.89		474	29.98		334	21.13								1581	
	SEVENTH												288	86.23		46	13.77			Excluded								334	
		TOTAL											1061	67.11		520	32.89											1581	
													Elected																
																													
Summer Hill North                                              																													
	FIRST			59	7.86		19	2.53		6	0.80		368	49.00		191	25.43		91	12.12		10	1.33		7	0.93		751	
	SECOND			1	14.29		1	14.29		0	0.00		0	0.00		4	57.14		0	0.00		1	14.29			Excluded		7	
		TOTAL		60	7.99		20	2.66		6	0.80		368	49.00		195	25.97		91	12.12		11	1.46					751	
	THIRD			1	16.67		0	0.00			Excluded		2	33.33		0	0.00		3	50.00		0	0.00					6	
		TOTAL		61	8.12		20	2.66					370	49.27		195	25.97		94	12.52		11	1.46					751	
	FOURTH			2	18.18		0	0.00					6	54.55		1	9.09		2	18.18			Excluded					11	
		TOTAL		63	8.39		20	2.66					376	50.07		196	26.10		96	12.78								751	
	FIFTH			3	15.00			Excluded					5	25.00		7	35.00		5	25.00								20	
		TOTAL		66	8.79								381	50.73		203	27.03		101	13.45								751	
	SIXTH				Excluded								29	43.94		13	19.70		24	36.36								66	
		TOTAL											410	54.59		216	28.76		125	16.64								751	
	SEVENTH												101	80.80		24	19.20			Excluded								125	
		TOTAL											511	68.04		240	31.96											751	
													Elected																
																													
Summer Hill South                                              																													
	FIRST			177	10.54		40	2.38		22	1.31		739	43.99		336	20.00		324	19.29		16	0.95		26	1.55		1680	
	SECOND			2	7.69		2	7.69		2	7.69		4	15.38		6	23.08		4	15.38		6	23.08			Excluded		26	
		TOTAL		179	10.65		42	2.50		24	1.43		743	44.23		342	20.36		328	19.52		22	1.31					1680	
	THIRD			2	8.33		1	4.17			Excluded		6	25.00		1	4.17		13	54.17		1	4.17					24	
		TOTAL		181	10.77		43	2.56					749	44.58		343	20.42		341	20.30		23	1.37					1680	
	FOURTH			1	4.35		1	4.35					6	26.09		2	8.70		13	56.52			Excluded					23	
		TOTAL		182	10.83		44	2.62					755	44.94		345	20.54		354	21.07								1680	
	FIFTH			8	18.18			Excluded					8	18.18		18	40.91		10	22.73								44	
		TOTAL		190	11.31								763	45.42		363	21.61		364	21.67								1680	
	SIXTH				Excluded								54	28.42		28	14.74		108	56.84								190	
		TOTAL											817	48.63		391	23.27		472	28.10								1680	
	SEVENTH												398	84.32		74	15.68			Excluded								472	
		TOTAL											1215	72.32		465	27.68											1680	
													Elected																
																													
Sydenham                                                       																													
	FIRST			59	6.39		32	3.46		13	1.41		529	57.25		156	16.88		115	12.45		7	0.76		13	1.41		924	
	SECOND			4	30.77		1	7.69		0	0.00		1	7.69		7	53.85		0	0.00		0	0.00			Excluded		13	
		TOTAL		63	6.82		33	3.57		13	1.41		530	57.36		163	17.64		115	12.45		7	0.76					924	
	THIRD			1	7.69		1	7.69			Excluded		1	7.69		0	0.00		9	69.23		1	7.69					13	
		TOTAL		64	6.93		34	3.68					531	57.47		163	17.64		124	13.42		8	0.87					924	
	FOURTH			1	12.50		0	0.00					2	25.00		3	37.50		2	25.00			Excluded					8	
		TOTAL		65	7.03		34	3.68					533	57.68		166	17.97		126	13.64								924	
	FIFTH			11	32.35			Excluded					2	5.88		18	52.94		3	8.82								34	
		TOTAL		76	8.23								535	57.90		184	19.91		129	13.96								924	
	SIXTH				Excluded								38	50.00		14	18.42		24	31.58								76	
		TOTAL											573	62.01		198	21.43		153	16.56								924	
	SEVENTH												120	78.43		33	21.57			Excluded								153	
		TOTAL											693	75.00		231	25.00											924	
													Elected																
																													
Sydney (Grayndler)                                             																													
	FIRST			49	14.63		3	0.90		5	1.49		147	43.88		65	19.40		58	17.31		2	0.60		6	1.79		335	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	33.33		3	50.00		1	16.67			Excluded		6	
		TOTAL		49	14.63		3	0.90		5	1.49		147	43.88		67	20.00		61	18.21		3	0.90					335	
	THIRD			1	20.00		1	20.00			Excluded		1	20.00		1	20.00		1	20.00		0	0.00					5	
		TOTAL		50	14.93		4	1.19					148	44.18		68	20.30		62	18.51		3	0.90					335	
	FOURTH			2	66.67		0	0.00					0	0.00		1	33.33		0	0.00			Excluded					3	
		TOTAL		52	15.52		4	1.19					148	44.18		69	20.60		62	18.51								335	
	FIFTH			0	0.00			Excluded					2	50.00		0	0.00		2	50.00								4	
		TOTAL		52	15.52								150	44.78		69	20.60		64	19.10								335	
	SIXTH				Excluded								19	36.54		6	11.54		27	51.92								52	
		TOTAL											169	50.45		75	22.39		91	27.16								335	
	SEVENTH												70	76.92		21	23.08			Excluded								91	
		TOTAL											239	71.34		96	28.66											335	
													Elected																
																													
Tempe                                                          																													
	FIRST			64	5.06		44	3.48		11	0.87		764	60.40		193	15.26		156	12.33		16	1.26		17	1.34		1265	
	SECOND			1	5.88		2	11.76		1	5.88		3	17.65		5	29.41		0	0.00		5	29.41			Excluded		17	
		TOTAL		65	5.14		46	3.64		12	0.95		767	60.63		198	15.65		156	12.33		21	1.66					1265	
	THIRD			2	16.67		2	16.67			Excluded		5	41.67		0	0.00		2	16.67		1	8.33					12	
		TOTAL		67	5.30		48	3.79					772	61.03		198	15.65		158	12.49		22	1.74					1265	
	FOURTH			2	9.09		0	0.00					6	27.27		3	13.64		11	50.00			Excluded					22	
		TOTAL		69	5.45		48	3.79					778	61.50		201	15.89		169	13.36								1265	
	FIFTH			13	27.08			Excluded					16	33.33		14	29.17		5	10.42								48	
		TOTAL		82	6.48								794	62.77		215	17.00		174	13.75								1265	
	SIXTH				Excluded								39	47.56		13	15.85		30	36.59								82	
		TOTAL											833	65.85		228	18.02		204	16.13								1265	
	SEVENTH												166	81.37		38	18.63			Excluded								204	
		TOTAL											999	78.97		266	21.03											1265	
													Elected																
																													
The Warren                                                     																													
	FIRST			99	5.72		30	1.73		34	1.96		1077	62.22		299	17.27		139	8.03		36	2.08		17	0.98		1731	
	SECOND			5	29.41		1	5.88		1	5.88		3	17.65		5	29.41		0	0.00		2	11.76			Excluded		17	
		TOTAL		104	6.01		31	1.79		35	2.02		1080	62.39		304	17.56		139	8.03		38	2.20					1731	
	THIRD			3	8.57		5	14.29			Excluded		7	20.00		1	2.86		18	51.43		1	2.86					35	
		TOTAL		107	6.18		36	2.08					1087	62.80		305	17.62		157	9.07		39	2.25					1731	
	FOURTH			9	23.08		0	0.00					19	48.72		3	7.69		8	20.51			Excluded					39	
		TOTAL		116	6.70		36	2.08					1106	63.89		308	17.79		165	9.53								1731	
	FIFTH			11	30.56			Excluded					11	30.56		9	25.00		5	13.89								36	
		TOTAL		127	7.34								1117	64.53		317	18.31		170	9.82								1731	
	SIXTH				Excluded								73	57.48		16	12.60		38	29.92								127	
		TOTAL											1190	68.75		333	19.24		208	12.02								1731	
	SEVENTH												165	79.33		43	20.67			Excluded								208	
		TOTAL											1355	78.28		376	21.72											1731	
													Elected																
																													
Yeo Park                                                       																													
	FIRST			90	6.21		33	2.28		12	0.83		651	44.93		466	32.16		150	10.35		24	1.66		23	1.59		1449	
	SECOND			3	13.04		2	8.70		1	4.35		3	13.04		9	39.13		4	17.39		1	4.35			Excluded		23	
		TOTAL		93	6.42		35	2.42		13	0.90		654	45.13		475	32.78		154	10.63		25	1.73					1449	
	THIRD			4	30.77		4	30.77			Excluded		1	7.69		2	15.38		1	7.69		1	7.69					13	
		TOTAL		97	6.69		39	2.69					655	45.20		477	32.92		155	10.70		26	1.79					1449	
	FOURTH			2	7.69		0	0.00					16	61.54		3	11.54		5	19.23			Excluded					26	
		TOTAL		99	6.83		39	2.69					671	46.31		480	33.13		160	11.04								1449	
	FIFTH			12	30.77			Excluded					8	20.51		11	28.21		8	20.51								39	
		TOTAL		111	7.66								679	46.86		491	33.89		168	11.59								1449	
	SIXTH				Excluded								44	39.64		13	11.71		54	48.65								111	
		TOTAL											723	49.90		504	34.78		222	15.32								1449	
	SEVENTH												175	78.83		47	21.17			Excluded								222	
		TOTAL											898	61.97		551	38.03											1449	
													Elected																
																													
Special Hospital Team 1                                        																													
	FIRST			13	5.96		3	1.38		0	0.00		81	37.16		117	53.67		4	1.83		0	0.00		0	0.00		218	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		13	5.96		3	1.38		0	0.00		81	37.16		117	53.67		4	1.83		0	0.00					218	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		13	5.96		3	1.38					81	37.16		117	53.67		4	1.83		0	0.00					218	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		13	5.96		3	1.38					81	37.16		117	53.67		4	1.83								218	
	FIFTH			0	0.00			Excluded					1	33.33		2	66.67		0	0.00								3	
		TOTAL		13	5.96								82	37.61		119	54.59		4	1.83								218	
	SIXTH				Excluded								11	84.62		2	15.38		0	0.00								13	
		TOTAL											93	42.66		121	55.50		4	1.83								218	
	SEVENTH												3	75.00		1	25.00			Excluded								4	
		TOTAL											96	44.04		122	55.96											218	
													Elected																
																													
Special Hospital Team 2                                        																													
	FIRST			5	3.36		2	1.34		3	2.01		83	55.70		52	34.90		2	1.34		0	0.00		2	1.34		149	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		6	4.03		2	1.34		3	2.01		83	55.70		52	34.90		3	2.01		0	0.00					149	
	THIRD			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00					3	
		TOTAL		6	4.03		4	2.68					84	56.38		52	34.90		3	2.01		0	0.00					149	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		6	4.03		4	2.68					84	56.38		52	34.90		3	2.01								149	
	FIFTH			2	50.00			Excluded					1	25.00		1	25.00		0	0.00								4	
		TOTAL		8	5.37								85	57.05		53	35.57		3	2.01								149	
	SIXTH				Excluded								8	100.00		0	0.00		0	0.00								8	
		TOTAL											93	62.42		53	35.57		3	2.01								149	
	SEVENTH												2	66.67		1	33.33			Excluded								3	
		TOTAL											95	63.76		54	36.24											149	
													Elected																
																													
Special Hospital Team 3                                        																													
	FIRST			0	0.00		3	3.23		0	0.00		52	55.91		38	40.86		0	0.00		0	0.00		0	0.00		93	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		3	3.23		0	0.00		52	55.91		38	40.86		0	0.00		0	0.00					93	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		0	0.00		3	3.23					52	55.91		38	40.86		0	0.00		0	0.00					93	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		3	3.23					52	55.91		38	40.86		0	0.00								93	
	FIFTH			1	33.33			Excluded					2	66.67		0	0.00		0	0.00								3	
		TOTAL		1	1.08								54	58.06		38	40.86		0	0.00								93	
	SIXTH				Excluded								1	100.00		0	0.00		0	0.00								1	
		TOTAL											55	59.14		38	40.86		0	0.00								93	
	SEVENTH												0	0.00		0	0.00			Excluded								0	
		TOTAL											55	59.14		38	40.86											93	
													Elected																
																													
ABSENT																													
	FIRST			791	12.26		159	2.46		92	1.43		2577	39.95		1582	24.52		1037	16.08		92	1.43		121	1.88		6451	
	SECOND			24	19.83		7	5.79		2	1.65		13	10.74		40	33.06		15	12.40		20	16.53			Excluded		121	
		TOTAL		815	12.63		166	2.57		94	1.46		2590	40.15		1622	25.14		1052	16.31		112	1.74					6451	
	THIRD			20	21.28		12	12.77			Excluded		21	22.34		13	13.83		25	26.60		3	3.19					94	
		TOTAL		835	12.94		178	2.76					2611	40.47		1635	25.34		1077	16.70		115	1.78					6451	
	FOURTH			13	11.30		3	2.61					41	35.65		10	8.70		48	41.74			Excluded					115	
		TOTAL		848	13.15		181	2.81					2652	41.11		1645	25.50		1125	17.44								6451	
	FIFTH			57	31.49			Excluded					45	24.86		49	27.07		30	16.57								181	
		TOTAL		905	14.03								2697	41.81		1694	26.26		1155	17.90								6451	
	SIXTH				Excluded								389	42.98		128	14.14		388	42.87								905	
		TOTAL											3086	47.84		1822	28.24		1543	23.92								6451	
	SEVENTH												1242	80.49		301	19.51			Excluded								1543	
		TOTAL											4328	67.09		2123	32.91											6451	
													Elected																
																													
POSTAL																													
	FIRST			133	6.99		64	3.36		13	0.68		920	48.34		617	32.42		113	5.94		25	1.31		18	0.95		1903	
	SECOND			1	5.56		3	16.67		1	5.56		2	11.11		10	55.56		0	0.00		1	5.56			Excluded		18	
		TOTAL		134	7.04		67	3.52		14	0.74		922	48.45		627	32.95		113	5.94		26	1.37					1903	
	THIRD			2	14.29		1	7.14			Excluded		5	35.71		2	14.29		2	14.29		2	14.29					14	
		TOTAL		136	7.15		68	3.57					927	48.71		629	33.05		115	6.04		28	1.47					1903	
	FOURTH			2	7.14		0	0.00					15	53.57		4	14.29		7	25.00			Excluded					28	
		TOTAL		138	7.25		68	3.57					942	49.50		633	33.26		122	6.41								1903	
	FIFTH			7	10.29			Excluded					21	30.88		34	50.00		6	8.82								68	
		TOTAL		145	7.62								963	50.60		667	35.05		128	6.73								1903	
	SIXTH				Excluded								64	44.14		21	14.48		60	41.38								145	
		TOTAL											1027	53.97		688	36.15		188	9.88								1903	
	SEVENTH												159	84.57		29	15.43			Excluded								188	
		TOTAL											1186	62.32		717	37.68											1903	
													Elected																
																													
PRE POLL																													
	FIRST			365	10.43		66	1.89		33	0.94		1671	47.76		836	23.89		433	12.37		72	2.06		23	0.66		3499	
	SECOND			7	30.43		1	4.35		1	4.35		4	17.39		5	21.74		4	17.39		1	4.35			Excluded		23	
		TOTAL		372	10.63		67	1.91		34	0.97		1675	47.87		841	24.04		437	12.49		73	2.09					3499	
	THIRD			5	14.71		7	20.59			Excluded		5	14.71		3	8.82		12	35.29		2	5.88					34	
		TOTAL		377	10.77		74	2.11					1680	48.01		844	24.12		449	12.83		75	2.14					3499	
	FOURTH			8	10.67		1	1.33					34	45.33		9	12.00		23	30.67			Excluded					75	
		TOTAL		385	11.00		75	2.14					1714	48.99		853	24.38		472	13.49								3499	
	FIFTH			11	14.67			Excluded					23	30.67		29	38.67		12	16.00								75	
		TOTAL		396	11.32								1737	49.64		882	25.21		484	13.83								3499	
	SIXTH				Excluded								163	41.16		56	14.14		177	44.70								396	
		TOTAL											1900	54.30		938	26.81		661	18.89								3499	
	SEVENTH												548	82.90		113	17.10			Excluded								661	
		TOTAL											2448	69.96		1051	30.04											3499	
													Elected																
																													
PROVISIONAL																													
	FIRST			70	9.64		11	1.52		19	2.62		413	56.89		116	15.98		83	11.43		6	0.83		8	1.10		726	
	SECOND			1	12.50		1	12.50		0	0.00		0	0.00		3	37.50		0	0.00		3	37.50			Excluded		8	
