House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
New England (84941)											
		Candidate		"WINDSOR, Tony"		              	"ST. CLAIR, Stuart"		          	Total	
		"REARDON, Chris (DEM)"	33	27	81.82		6	18.18		33	
		Total	335	2109	60.87		1356	39.13		3465	

	Tamworth West										
			1st Prefs	1127	64.25		627	35.75		1754	
		"REINER, Michelle (GRN)"	13	11	84.62		2	15.38		13	
		"MCCARTHY, Annette (CLR)"	137	123	89.78		14	10.22		137	
		"BOUNDS, Kayleen (HAN)"	23	13	56.52		10	43.48		23	
		"REARDON, Chris (DEM)"	10	8	80.00		2	20.00		10	
		Total	183	1282	66.18		655	33.82		1937	

	Tenterfield										
			1st Prefs	483	30.76		1087	69.24		1570	
		"REINER, Michelle (GRN)"	63	57	90.48		6	9.52		63	
		"MCCARTHY, Annette (CLR)"	404	342	84.65		62	15.35		404	
		"BOUNDS, Kayleen (HAN)"	100	60	60.00		40	40.00		100	
		"REARDON, Chris (DEM)"	30	19	63.33		11	36.67		30	
		Total	597	961	44.35		1206	55.65		2167	

	Timbumburi										
			1st Prefs	209	51.60		196	48.40		405	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	12	12	100.00		0	0.00		12	
		"BOUNDS, Kayleen (HAN)"	13	10	76.92		3	23.08		13	
		"REARDON, Chris (DEM)"	2	1	50.00		1	50.00		2	
		Total	27	232	53.70		200	46.30		432	

	Tingha										
			1st Prefs	191	52.47		173	47.53		364	
		"REINER, Michelle (GRN)"	6	5	83.33		1	16.67		6	
		"MCCARTHY, Annette (CLR)"	67	55	82.09		12	17.91		67	
		"BOUNDS, Kayleen (HAN)"	50	32	64.00		18	36.00		50	
		"REARDON, Chris (DEM)"	3	2	66.67		1	33.33		3	
		Total	126	285	58.16		205	41.84		490	

	Upper Horton										
			1st Prefs	30	32.26		63	67.74		93	
		"REINER, Michelle (GRN)"	0	0	0.00		0	0.00		0	
		"MCCARTHY, Annette (CLR)"	6	3	50.00		3	50.00		6	
		"BOUNDS, Kayleen (HAN)"	8	3	37.50		5	62.50		8	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	14	36	33.64		71	66.36		107	

	Uralla										
			1st Prefs	783	57.96		568	42.04		1351	
		"REINER, Michelle (GRN)"	51	45	88.24		6	11.76		51	
		"MCCARTHY, Annette (CLR)"	277	249	89.89		28	10.11		277	
		"BOUNDS, Kayleen (HAN)"	28	18	64.29		10	35.71		28	
		"REARDON, Chris (DEM)"	19	15	78.95		4	21.05		19	
		Total	375	1110	64.31		616	35.69		1726	

	Urbenville										
			1st Prefs	12	10.91		98	89.09		110	
		"REINER, Michelle (GRN)"	8	8	100.00		0	0.00		8	
		"MCCARTHY, Annette (CLR)"	32	26	81.25		6	18.75		32	
		"BOUNDS, Kayleen (HAN)"	8	3	37.50		5	62.50		8	
		"REARDON, Chris (DEM)"	1	1	100.00		0	0.00		1	
		Total	49	50	31.45		109	68.55		159	

	Walcha										
			1st Prefs	738	54.19		624	45.81		1362	
		"REINER, Michelle (GRN)"	15	13	86.67		2	13.33		15	
		"MCCARTHY, Annette (CLR)"	115	105	91.30		10	8.70		115	
		"BOUNDS, Kayleen (HAN)"	32	25	78.13		7	21.88		32	
		"REARDON, Chris (DEM)"	3	1	33.33		2	66.67		3	
		Total	165	882	57.76		645	42.24		1527	

	Werris Creek										
			1st Prefs	732	90.48		77	9.52		809	
		"REINER, Michelle (GRN)"	3	3	100.00		0	0.00		3	
		"MCCARTHY, Annette (CLR)"	92	80	86.96		12	13.04		92	
		"BOUNDS, Kayleen (HAN)"	35	24	68.57		11	31.43		35	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	130	839	89.35		100	10.65		939	

	Westdale										
			1st Prefs	589	61.29		372	38.71		961	
		"REINER, Michelle (GRN)"	6	5	83.33		1	16.67		6	
		"MCCARTHY, Annette (CLR)"	45	38	84.44		7	15.56		45	
		"BOUNDS, Kayleen (HAN)"	26	22	84.62		4	15.38		26	
		"REARDON, Chris (DEM)"	4	3	75.00		1	25.00		4	
		Total	81	657	63.05		385	36.95		1042	

	Wollomombi										
			1st Prefs	36	37.89		59	62.11		95	
		"REINER, Michelle (GRN)"	2	1	50.00		1	50.00		2	
		"MCCARTHY, Annette (CLR)"	6	3	50.00		3	50.00		6	
		"BOUNDS, Kayleen (HAN)"	1	0	0.00		1	100.00		1	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	9	40	38.46		64	61.54		104	

	Woolbrook										
			1st Prefs	54	49.09		56	50.91		110	
		"REINER, Michelle (GRN)"	2	2	100.00		0	0.00		2	
		"MCCARTHY, Annette (CLR)"	5	4	80.00		1	20.00		5	
		"BOUNDS, Kayleen (HAN)"	5	3	60.00		2	40.00		5	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	12	63	51.64		59	48.36		122	

	Woolomin										
			1st Prefs	97	62.99		57	37.01		154	
		"REINER, Michelle (GRN)"	2	0	0.00		2	100.00		2	
		"MCCARTHY, Annette (CLR)"	25	22	88.00		3	12.00		25	
		"BOUNDS, Kayleen (HAN)"	3	2	66.67		1	33.33		3	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	30	121	65.76		63	34.24		184	

	Yarrowitch										
			1st Prefs	24	25.26		71	74.74		95	
		"REINER, Michelle (GRN)"	1	0	0.00		1	100.00		1	
		"MCCARTHY, Annette (CLR)"	3	2	66.67		1	33.33		3	
		"BOUNDS, Kayleen (HAN)"	5	3	60.00		2	40.00		5	
		"REARDON, Chris (DEM)"	0	0	0.00		0	0.00		0	
		Total	9	29	27.88		75	72.12		104	

	Yetman										
			1st Prefs	44	45.83		52	54.17		96	
		"REINER, Michelle (GRN)"	2	2	100.00		0	0.00		2	
		"MCCARTHY, Annette (CLR)"	22	16	72.73		6	27.27		22	
		"BOUNDS, Kayleen (HAN)"	14	12	85.71		2	14.29		14	
		"REARDON, Chris (DEM)"	2	1	50.00		1	50.00		2	
		Total	40	75	55.15		61	44.85		136	

	Special Hospitals										
			1st Prefs	148	53.24		130	46.76		278	
		"REINER, Michelle (GRN)"	6	4	66.67		2	33.33		6	
		"MCCARTHY, Annette (CLR)"	39	33	84.62		6	15.38		39	
		"BOUNDS, Kayleen (HAN)"	4	2	50.00		2	50.00		4	
		"REARDON, Chris (DEM)"	8	4	50.00		4	50.00		8	
		Total	57	191	57.01		144	42.99		335	

	Total Ordinary										
			1st Prefs	30270	54.15		25631	45.85		55901	
		"REINER, Michelle (GRN)"	1374	1192	86.75		182	13.25		1374	
		"MCCARTHY, Annette (CLR)"	6552	5761	87.93		791	12.07		6552	
		"BOUNDS, Kayleen (HAN)"	1745	1206	69.11		539	30.89		1745	
		"REARDON, Chris (DEM)"	653	512	78.41		141	21.59		653	
		Total	10324	38941	58.80		27284	41.20		66225	

	ABSENT										
			1st Prefs	1722	53.38		1504	46.62		3226	
		"REINER, Michelle (GRN)"	199	161	80.90		38	19.10		199	
		"MCCARTHY, Annette (CLR)"	540	427	79.07		113	20.93		540	
		"BOUNDS, Kayleen (HAN)"	146	87	59.59		59	40.41		146	
		"REARDON, Chris (DEM)"	110	70	63.64		40	36.36		110	
		Total	995	2467	58.45		1754	41.55		4221	

	POSTAL										
			1st Prefs	1151	45.95		1354	54.05		2505	
		"REINER, Michelle (GRN)"	59	48	81.36		11	18.64		59	
		"MCCARTHY, Annette (CLR)"	257	221	85.99		36	14.01		257	
		"BOUNDS, Kayleen (HAN)"	128	85	66.41		43	33.59		128	
		"REARDON, Chris (DEM)"	27	19	70.37		8	29.63		27	
		Total	471	1524	51.21		1452	48.79		2976	

	PRE_POLL										
			1st Prefs	2496	51.33		2367	48.67		4863	
		"REINER, Michelle (GRN)"	145	119	82.07		26	17.93		145	
		"MCCARTHY, Annette (CLR)"	476	375	78.78		101	21.22		476	
		"BOUNDS, Kayleen (HAN)"	155	99	63.87		56	36.13		155	
		"REARDON, Chris (DEM)"	73	55	75.34		18	24.66		73	
		Total	849	3144	55.04		2568	44.96		5712	

	PROVISIONAL										
			1st Prefs	353	61.28		223	38.72		576	
		"REINER, Michelle (GRN)"	30	21	70.00		9	30.00		30	
		"MCCARTHY, Annette (CLR)"	122	100	81.97		22	18.03		122	
		"BOUNDS, Kayleen (HAN)"	28	21	75.00		7	25.00		28	
		"REARDON, Chris (DEM)"	13	9	69.23		4	30.77		13	
		Total	193	504	65.54		265	34.46		769	

	Division Summary										
			1st Prefs	35992	53.66		31079	46.34		67071	
		"REINER, Michelle (GRN)"	1807	1541	85.28		266	14.72		1807	
		"MCCARTHY, Annette (CLR)"	7947	6884	86.62		1063	13.38		7947	
		"BOUNDS, Kayleen (HAN)"	2202	1498	68.03		704	31.97		2202	
		"REARDON, Chris (DEM)"	876	665	75.91		211	24.09		876	
		Total	12832	46580	58.30		33323	41.70		79903	
