House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences 																						
By Polling Place																						
																						
Bradfield																						
				BELL			BLUNT			WEBECK			NELSON			WISZNIEWSKI			BYRNE			
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					1	100.00		1
		TOTAL		6	2.14		29	10.32					241	85.77					5	1.78		281
	FOURTH			1	20.00		2	40.00					2	40.00						Excluded		5
		TOTAL		7	2.49		31	11.03					243	86.48								281
	FIFTH				Excluded		6	85.71					1	14.29								7
		TOTAL					37	13.17					244	86.83								281
													Elected									
																						
Special Hospital Team 2                                        																						
	FIRST			7	3.20		15	6.85		3	1.37		189	86.30		1	0.46		4	1.83		219
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1
		TOTAL		7	3.20		15	6.85		3	1.37		190	86.76					4	1.83		219
	THIRD			1	33.33		0	0.00			Excluded		1	33.33					1	33.33		3
		TOTAL		8	3.65		15	6.85					191	87.21					5	2.28		219
	FOURTH			4	80.00		1	20.00					0	0.00						Excluded		5
		TOTAL		12	5.48		16	7.31					191	87.21								219
	FIFTH				Excluded		10	83.33					2	16.67								12
		TOTAL					26	11.87					193	88.13								219
													Elected									
																						
Special Hospital Team 3                                        																						
	FIRST			2	1.94		17	16.50		0	0.00		80	77.67		3	2.91		1	0.97		103
	SECOND			0	0.00		0	0.00		0	0.00		1	33.33			Excluded		2	66.67		3
		TOTAL		2	1.94		17	16.50		0	0.00		81	78.64					3	2.91		103
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0
		TOTAL		2	1.94		17	16.50					81	78.64					3	2.91		103
	FOURTH			1	33.33		0	0.00					2	66.67						Excluded		3
		TOTAL		3	2.91		17	16.50					83	80.58								103
	FIFTH				Excluded		2	66.67					1	33.33								3
		TOTAL					19	18.45					84	81.55								103
													Elected									
																						
Special Hospital Team 4                                        																						
	FIRST			4	1.92		23	11.06		0	0.00		170	81.73		5	2.40		6	2.88		208
	SECOND			0	0.00		1	20.00		0	0.00		3	60.00			Excluded		1	20.00		5
		TOTAL		4	1.92		24	11.54		0	0.00		173	83.17					7	3.37		208
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0
		TOTAL		4	1.92		24	11.54					173	83.17					7	3.37		208
	FOURTH			1	14.29		2	28.57					4	57.14						Excluded		7
		TOTAL		5	2.40		26	12.50					177	85.10								208
	FIFTH				Excluded		5	100.00					0	0.00								5
		TOTAL					31	14.90					177	85.10								208
													Elected									
																						
Special Hospital Team 5                                        																						
	FIRST			6	2.61		25	10.87		2	0.87		193	83.91		1	0.43		3	1.30		230
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		6	2.61		25	10.87		2	0.87		193	83.91					4	1.74		230
	THIRD			0	0.00		0	0.00			Excluded		1	50.00					1	50.00		2
		TOTAL		6	2.61		25	10.87					194	84.35					5	2.17		230
	FOURTH			1	20.00		2	40.00					2	40.00						Excluded		5
		TOTAL		7	3.04		27	11.74					196	85.22								230
	FIFTH				Excluded		6	85.71					1	14.29								7
		TOTAL					33	14.35					197	85.65								230
													Elected									
																						
Special Hospital Team 6                                        																						
	FIRST			8	4.30		37	19.89		6	3.23		130	69.89		3	1.61		2	1.08		186
	SECOND			0	0.00		0	0.00		2	66.67		1	33.33			Excluded		0	0.00		3
		TOTAL		8	4.30		37	19.89		8	4.30		131	70.43					2	1.08		186
	THIRD			5	62.50		1	12.50			Excluded		1	12.50					1	12.50		8
		TOTAL		13	6.99		38	20.43					132	70.97					3	1.61		186
	FOURTH			0	0.00		1	33.33					2	66.67						Excluded		3
		TOTAL		13	6.99		39	20.97					134	72.04								186
	FIFTH				Excluded		11	84.62					2	15.38								13
		TOTAL					50	26.88					136	73.12								186
													Elected									
																						
ABSENT																						
	FIRST			545	10.56		871	16.88		78	1.51		3130	60.65		93	1.80		444	8.60		5161
	SECOND			10	10.75		16	17.20		1	1.08		58	62.37			Excluded		8	8.60		93
		TOTAL		555	10.75		887	17.19		79	1.53		3188	61.77					452	8.76		5161
	THIRD			20	25.32		11	13.92			Excluded		38	48.10					10	12.66		79
		TOTAL		575	11.14		898	17.40					3226	62.51					462	8.95		5161
	FOURTH			221	47.84		125	27.06					116	25.11						Excluded		462
		TOTAL		796	15.42		1023	19.82					3342	64.75								5161
	FIFTH				Excluded		548	68.84					248	31.16								796
		TOTAL					1571	30.44					3590	69.56								5161
													Elected									
																						
POSTAL																						
	FIRST			140	3.78		532	14.35		79	2.13		2741	73.92		44	1.19		172	4.64		3708
	SECOND			6	13.64		4	9.09		2	4.55		29	65.91			Excluded		3	6.82		44
		TOTAL		146	3.94		536	14.46		81	2.18		2770	74.70					175	4.72		3708
	THIRD			14	17.28		18	22.22			Excluded		48	59.26					1	1.23		81
		TOTAL		160	4.31		554	14.94					2818	76.00					176	4.75		3708
	FOURTH			65	36.93		51	28.98					60	34.09						Excluded		176
		TOTAL		225	6.07		605	16.32					2878	77.62								3708
	FIFTH				Excluded		157	69.78					68	30.22								225
		TOTAL					762	20.55					2946	79.45								3708
													Elected									
																						
PRE POLL																						
	FIRST			285	6.11		1073	22.99		71	1.52		2801	60.00		78	1.67		360	7.71		4668
	SECOND			6	7.69		19	24.36		3	3.85		38	48.72			Excluded		12	15.38		78
		TOTAL		291	6.23		1092	23.39		74	1.59		2839	60.82					372	7.97		4668
	THIRD			16	21.62		14	18.92			Excluded		39	52.70					5	6.76		74
		TOTAL		307	6.58		1106	23.69					2878	61.65					377	8.08		4668
	FOURTH			162	42.97		104	27.59					111	29.44						Excluded		377
		TOTAL		469	10.05		1210	25.92					2989	64.03								4668
	FIFTH				Excluded		306	65.25					163	34.75								469
		TOTAL					1516	32.48					3152	67.52								4668
													Elected									
																						
PROVISIONAL																						
	FIRST			25	8.17		92	30.07		6	1.96		157	51.31		9	2.94		17	5.56		306
	SECOND			0	0.00		1	11.11		0	0.00		5	55.56			Excluded		3	33.33		9
		TOTAL		25	8.17		93	30.39		6	1.96		162	52.94					20	6.54		306
	THIRD			1	16.67		1	16.67			Excluded		4	66.67					0	0.00		6
		TOTAL		26	8.50		94	30.72					166	54.25					20	6.54		306
	FOURTH			9	45.00		4	20.00					7	35.00						Excluded		20
		TOTAL		35	11.44		98	32.03					173	56.54								306
	FIFTH				Excluded		22	62.86					13	37.14								35
		TOTAL					120	39.22					186	60.78								306
													Elected									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
