House of Representatives - 2001 Election: New South Wales																																									
Distribution of Preferences																																									
By Polling Place																																									
																																									
Robertson																																									
				KENISCIEHAD			BOYLE			HENNIG			MORAN			MUNN			LLOYD			LACEY			WILLS			LAING-PEACH			BAKER			PHILLIPS			MARTIN				
		TOTAL					85	6.93		32	2.61		453	36.95					582	47.47		42	3.43								32	2.61								1226	
	EIGHTH						5	15.63			Excluded		5	15.63					17	53.13		4	12.50								1	3.13								32	
		TOTAL					90	7.34					458	37.36					599	48.86		46	3.75								33	2.69								1226	
	NINTH						2	6.06					7	21.21					11	33.33		13	39.39									Excluded								33	
		TOTAL					92	7.50					465	37.93					610	49.76		59	4.81																	1226	
	TENTH						29	49.15					16	27.12					14	23.73			Excluded																	59	
		TOTAL					121	9.87					481	39.23					624	50.90																				1226	
	ELEVENTH							Excluded					88	72.73					33	27.27																				121	
		TOTAL											569	46.41					657	53.59																				1226	
																			Elected																						
																																									
Gosford East                                                   																																									
	FIRST			23	0.90		78	3.06		59	2.31		778	30.50		13	0.51		1423	55.78		72	2.82		16	0.63		5	0.20		65	2.55		14	0.55		5	0.20		2551	
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00		3	60.00			Excluded		5	
		TOTAL		23	0.90		78	3.06		59	2.31		779	30.54		13	0.51		1423	55.78		72	2.82		16	0.63		5	0.20		66	2.59		17	0.67					2551	
	THIRD			2	15.38		1	7.69		1	7.69		4	30.77			Excluded		0	0.00		0	0.00		0	0.00		1	7.69		0	0.00		4	30.77					13	
		TOTAL		25	0.98		79	3.10		60	2.35		783	30.69					1423	55.78		72	2.82		16	0.63		6	0.24		66	2.59		21	0.82					2551	
	FOURTH			2	9.52		0	0.00		4	19.05		4	19.05					1	4.76		1	4.76		2	9.52		0	0.00		7	33.33			Excluded					21	
		TOTAL		27	1.06		79	3.10		64	2.51		787	30.85					1424	55.82		73	2.86		18	0.71		6	0.24		73	2.86								2551	
	FIFTH			0	0.00		1	16.67		0	0.00		1	16.67					2	33.33		0	0.00		2	33.33			Excluded		0	0.00								6	
		TOTAL		27	1.06		80	3.14		64	2.51		788	30.89					1426	55.90		73	2.86		20	0.78					73	2.86								2551	
	SIXTH				Excluded		19	70.37		1	3.70		2	7.41					1	3.70		0	0.00		2	7.41					2	7.41								27	
		TOTAL					99	3.88		65	2.55		790	30.97					1427	55.94		73	2.86		22	0.86					75	2.94								2551	
	SEVENTH						4	18.18		2	9.09		1	4.55					4	18.18		3	13.64			Excluded					8	36.36								22	
		TOTAL					103	4.04		67	2.63		791	31.01					1431	56.10		76	2.98								83	3.25								2551	
	EIGHTH						9	13.43			Excluded		8	11.94					41	61.19		5	7.46								4	5.97								67	
		TOTAL					112	4.39					799	31.32					1472	57.70		81	3.18								87	3.41								2551	
	NINTH						9	10.34					16	18.39					41	47.13		21	24.14									Excluded								87	
		TOTAL					121	4.74					815	31.95					1513	59.31		102	4.00																	2551	
	TENTH						41	40.20					39	38.24					22	21.57			Excluded																	102	
		TOTAL					162	6.35					854	33.48					1535	60.17																				2551	
	ELEVENTH							Excluded					124	76.54					38	23.46																				162	
		TOTAL											978	38.34					1573	61.66																				2551	
																			Elected																						
																																									
Gosford West                                                   																																									
	FIRST			12	1.05		34	2.97		14	1.22		358	31.32		8	0.70		635	55.56		25	2.19		11	0.96		11	0.96		31	2.71		4	0.35		0	0.00		1143	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		12	1.05		34	2.97		14	1.22		358	31.32		8	0.70		635	55.56		25	2.19		11	0.96		11	0.96		31	2.71		4	0.35					1143	
	THIRD			1	12.50		1	12.50		1	12.50		1	12.50			Excluded		3	37.50		0	0.00		0	0.00		0	0.00		1	12.50		0	0.00					8	
		TOTAL		13	1.14		35	3.06		15	1.31		359	31.41					638	55.82		25	2.19		11	0.96		11	0.96		32	2.80		4	0.35					1143	
	FOURTH			0	0.00		0	0.00		1	25.00		1	25.00					0	0.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded					4	
		TOTAL		13	1.14		35	3.06		16	1.40		360	31.50					638	55.82		26	2.27		11	0.96		12	1.05		32	2.80								1143	
	FIFTH			2	16.67		0	0.00		0	0.00		1	8.33					4	33.33		2	16.67		3	25.00			Excluded		0	0.00								12	
		TOTAL		15	1.31		35	3.06		16	1.40		361	31.58					642	56.17		28	2.45		14	1.22					32	2.80								1143	
	SIXTH				Excluded		10	66.67		1	6.67		0	0.00					0	0.00		1	6.67		2	13.33					1	6.67								15	
		TOTAL					45	3.94		17	1.49		361	31.58					642	56.17		29	2.54		16	1.40					33	2.89								1143	
	SEVENTH						2	12.50		1	6.25		1	6.25					3	18.75		2	12.50			Excluded					7	43.75								16	
		TOTAL					47	4.11		18	1.57		362	31.67					645	56.43		31	2.71								40	3.50								1143	
	EIGHTH						4	22.22			Excluded		3	16.67					7	38.89		2	11.11								2	11.11								18	
		TOTAL					51	4.46					365	31.93					652	57.04		33	2.89								42	3.67								1143	
	NINTH						6	14.29					6	14.29					17	40.48		13	30.95									Excluded								42	
		TOTAL					57	4.99					371	32.46					669	58.53		46	4.02																	1143	
	TENTH						17	36.96					11	23.91					18	39.13			Excluded																	46	
		TOTAL					74	6.47					382	33.42					687	60.10																				1143	
	ELEVENTH							Excluded					61	82.43					13	17.57																				74	
		TOTAL											443	38.76					700	61.24																				1143	
																			Elected																						
																																									
Green Point                                                    																																									
	FIRST			6	0.61		30	3.07		45	4.60		231	23.62		1	0.10		612	62.58		26	2.66		5	0.51		5	0.51		15	1.53		2	0.20		0	0.00		978	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		6	0.61		30	3.07		45	4.60		231	23.62		1	0.10		612	62.58		26	2.66		5	0.51		5	0.51		15	1.53		2	0.20					978	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		6	0.61		30	3.07		45	4.60		232	23.72					612	62.58		26	2.66		5	0.51		5	0.51		15	1.53		2	0.20					978	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded					2	
		TOTAL		6	0.61		30	3.07		45	4.60		232	23.72					613	62.68		26	2.66		5	0.51		6	0.61		15	1.53								978	
	FIFTH			0	0.00		1	16.67		0	0.00		1	16.67					1	16.67		1	16.67		1	16.67			Excluded		1	16.67								6	
		TOTAL		6	0.61		31	3.17		45	4.60		233	23.82					614	62.78		27	2.76		6	0.61					16	1.64								978	
	SIXTH				Excluded		4	66.67		1	16.67		0	0.00					0	0.00		0	0.00		1	16.67					0	0.00								6	
		TOTAL					35	3.58		46	4.70		233	23.82					614	62.78		27	2.76		7	0.72					16	1.64								978	
	SEVENTH						0	0.00		0	0.00		4	57.14					1	14.29		2	28.57			Excluded					0	0.00								7	
		TOTAL					35	3.58		46	4.70		237	24.23					615	62.88		29	2.97								16	1.64								978	
	EIGHTH						3	6.52			Excluded		3	6.52					37	80.43		2	4.35								1	2.17								46	
		TOTAL					38	3.89					240	24.54					652	66.67		31	3.17								17	1.74								978	
	NINTH						4	23.53					4	23.53					8	47.06		1	5.88									Excluded								17	
		TOTAL					42	4.29					244	24.95					660	67.48		32	3.27																	978	
	TENTH						14	43.75					11	34.38					7	21.88			Excluded																	32	
		TOTAL					56	5.73					255	26.07					667	68.20																				978	
	ELEVENTH							Excluded					42	75.00					14	25.00																				56	
		TOTAL											297	30.37					681	69.63																				978	
																			Elected																						
																																									
Hardys Bay                                                     																																									
	FIRST			1	0.33		14	4.64		1	0.33		104	34.44		0	0.00		143	47.35		28	9.27		1	0.33		2	0.66		8	2.65		0	0.00		0	0.00		302	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		1	0.33		14	4.64		1	0.33		104	34.44		0	0.00		143	47.35		28	9.27		1	0.33		2	0.66		8	2.65		0	0.00					302	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		1	0.33		14	4.64		1	0.33		104	34.44					143	47.35		28	9.27		1	0.33		2	0.66		8	2.65		0	0.00					302	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		1	0.33		14	4.64		1	0.33		104	34.44					143	47.35		28	9.27		1	0.33		2	0.66		8	2.65								302	
	FIFTH			0	0.00		1	50.00		0	0.00		0	0.00					0	0.00		1	50.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		1	0.33		15	4.97		1	0.33		104	34.44					143	47.35		29	9.60		1	0.33					8	2.65								302	
	SIXTH				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00					0	0.00								1	
		TOTAL					15	4.97		1	0.33		104	34.44					143	47.35		29	9.60		2	0.66					8	2.65								302	
	SEVENTH						0	0.00		0	0.00		0	0.00					1	50.00		1	50.00			Excluded					0	0.00								2	
		TOTAL					15	4.97		1	0.33		104	34.44					144	47.68		30	9.93								8	2.65								302	
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		1	100.00								0	0.00								1	
		TOTAL					15	4.97					104	34.44					144	47.68		31	10.26								8	2.65								302	
	NINTH						0	0.00					5	62.50					2	25.00		1	12.50									Excluded								8	
		TOTAL					15	4.97					109	36.09					146	48.34		32	10.60																	302	
	TENTH						16	50.00					11	34.38					5	15.63			Excluded																	32	
		TOTAL					31	10.26					120	39.74					151	50.00																				302	
	ELEVENTH							Excluded					23	74.19					8	25.81																				31	
		TOTAL											143	47.35					159	52.65																				302	
																			Elected																						
																																									
Henry Kendall                                                  																																									
	FIRST			3	0.50		29	4.82		7	1.16		213	35.38		3	0.50		290	48.17		19	3.16		4	0.66		3	0.50		28	4.65		2	0.33		1	0.17		602	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		3	0.50		29	4.82		7	1.16		213	35.38		3	0.50		291	48.34		19	3.16		4	0.66		3	0.50		28	4.65		2	0.33					602	
	THIRD			0	0.00		0	0.00		0	0.00		3	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					3	
		TOTAL		3	0.50		29	4.82		7	1.16		216	35.88					291	48.34		19	3.16		4	0.66		3	0.50		28	4.65		2	0.33					602	
	FOURTH			0	0.00		0	0.00		0	0.00		1	50.00					1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					2	
		TOTAL		3	0.50		29	4.82		7	1.16		217	36.05					292	48.50		19	3.16		4	0.66		3	0.50		28	4.65								602	
	FIFTH			2	66.67		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33			Excluded		0	0.00								3	
		TOTAL		5	0.83		29	4.82		7	1.16		217	36.05					292	48.50		19	3.16		5	0.83					28	4.65								602	
	SIXTH				Excluded		3	60.00		1	20.00		0	0.00					0	0.00		0	0.00		1	20.00					0	0.00								5	
		TOTAL					32	5.32		8	1.33		217	36.05					292	48.50		19	3.16		6	1.00					28	4.65								602	
	SEVENTH						1	16.67		1	16.67		0	0.00					1	16.67		2	33.33			Excluded					1	16.67								6	
		TOTAL					33	5.48		9	1.50		217	36.05					293	48.67		21	3.49								29	4.82								602	
	EIGHTH						1	11.11			Excluded		1	11.11					4	44.44		1	11.11								2	22.22								9	
		TOTAL					34	5.65					218	36.21					297	49.34		22	3.65								31	5.15								602	
	NINTH						5	16.13					6	19.35					10	32.26		10	32.26									Excluded								31	
		TOTAL					39	6.48					224	37.21					307	51.00		32	5.32																	602	
	TENTH						18	56.25					8	25.00					6	18.75			Excluded																	32	
		TOTAL					57	9.47					232	38.54					313	51.99																				602	
	ELEVENTH							Excluded					42	73.68					15	26.32																				57	
		TOTAL											274	45.51					328	54.49																				602	
																			Elected																						
																																									
Kariong                                                        																																									
	FIRST			18	0.64		119	4.22		30	1.06		782	27.76		26	0.92		1654	58.71		50	1.77		12	0.43		36	1.28		68	2.41		16	0.57		6	0.21		2817	
	SECOND			0	0.00		1	16.67		0	0.00		1	16.67		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00		0	0.00		2	33.33			Excluded		6	
		TOTAL		18	0.64		120	4.26		30	1.06		783	27.80		26	0.92		1654	58.71		51	1.81		13	0.46		36	1.28		68	2.41		18	0.64					2817	
	THIRD			2	7.69		4	15.38		0	0.00		4	15.38			Excluded		7	26.92		5	19.23		1	3.85		0	0.00		0	0.00		3	11.54					26	
		TOTAL		20	0.71		124	4.40		30	1.06		787	27.94					1661	58.96		56	1.99		14	0.50		36	1.28		68	2.41		21	0.75					2817	
	FOURTH			0	0.00		2	9.52		3	14.29		5	23.81					3	14.29		1	4.76		0	0.00		3	14.29		4	19.05			Excluded					21	
		TOTAL		20	0.71		126	4.47		33	1.17		792	28.12					1664	59.07		57	2.02		14	0.50		39	1.38		72	2.56								2817	
	FIFTH			4	10.26		2	5.13		0	0.00		7	17.95					7	17.95		2	5.13		10	25.64			Excluded		7	17.95								39	
		TOTAL		24	0.85		128	4.54		33	1.17		799	28.36					1671	59.32		59	2.09		24	0.85					79	2.80								2817	
	SIXTH				Excluded		13	54.17		1	4.17		3	12.50					2	8.33		0	0.00		5	20.83					0	0.00								24	
		TOTAL					141	5.01		34	1.21		802	28.47					1673	59.39		59	2.09		29	1.03					79	2.80								2817	
	SEVENTH						6	20.69		2	6.90		5	17.24					2	6.90		5	17.24			Excluded					9	31.03								29	
		TOTAL					147	5.22		36	1.28		807	28.65					1675	59.46		64	2.27								88	3.12								2817	
	EIGHTH						7	19.44			Excluded		4	11.11					13	36.11		10	27.78								2	5.56								36	
		TOTAL					154	5.47					811	28.79					1688	59.92		74	2.63								90	3.19								2817	
	NINTH						17	18.89					18	20.00					29	32.22		26	28.89									Excluded								90	
		TOTAL					171	6.07					829	29.43					1717	60.95		100	3.55																	2817	
	TENTH						43	43.00					32	32.00					25	25.00			Excluded																	100	
		TOTAL					214	7.60					861	30.56					1742	61.84																				2817	
	ELEVENTH							Excluded					156	72.90					58	27.10																				214	
		TOTAL											1017	36.10					1800	63.90																				2817	
																			Elected																						
																																									
Kincumber                                                      																																									
	FIRST			21	0.82		92	3.61		40	1.57		889	34.90		9	0.35		1245	48.88		83	3.26		65	2.55		16	0.63		79	3.10		6	0.24		2	0.08		2547	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		2	
		TOTAL		21	0.82		92	3.61		40	1.57		889	34.90		9	0.35		1245	48.88		83	3.26		65	2.55		17	0.67		79	3.10		7	0.27					2547	
	THIRD			2	22.22		0	0.00		0	0.00		2	22.22			Excluded		0	0.00		2	22.22		3	33.33		0	0.00		0	0.00		0	0.00					9	
		TOTAL		23	0.90		92	3.61		40	1.57		891	34.98					1245	48.88		85	3.34		68	2.67		17	0.67		79	3.10		7	0.27					2547	
	FOURTH			0	0.00		1	14.29		0	0.00		0	0.00					2	28.57		1	14.29		0	0.00		1	14.29		2	28.57			Excluded					7	
		TOTAL		23	0.90		93	3.65		40	1.57		891	34.98					1247	48.96		86	3.38		68	2.67		18	0.71		81	3.18								2547	
	FIFTH			1	5.56		0	0.00		1	5.56		1	5.56					2	11.11		3	16.67		8	44.44			Excluded		2	11.11								18	
		TOTAL		24	0.94		93	3.65		41	1.61		892	35.02					1249	49.04		89	3.49		76	2.98					83	3.26								2547	
	SIXTH				Excluded		14	58.33		3	12.50		4	16.67					1	4.17		1	4.17		1	4.17					0	0.00								24	
		TOTAL					107	4.20		44	1.73		896	35.18					1250	49.08		90	3.53		77	3.02					83	3.26								2547	
	SEVENTH						9	11.69		5	6.49		8	10.39					15	19.48		11	14.29			Excluded					29	37.66								77	
		TOTAL					116	4.55		49	1.92		904	35.49					1265	49.67		101	3.97								112	4.40								2547	
	EIGHTH						8	16.33			Excluded		4	8.16					28	57.14		5	10.20								4	8.16								49	
		TOTAL					124	4.87					908	35.65					1293	50.77		106	4.16								116	4.55								2547	
	NINTH						24	20.69					14	12.07					47	40.52		31	26.72									Excluded								116	
		TOTAL					148	5.81					922	36.20					1340	52.61		137	5.38																	2547	
	TENTH						59	43.07					38	27.74					40	29.20			Excluded																	137	
		TOTAL					207	8.13					960	37.69					1380	54.18																				2547	
	ELEVENTH							Excluded					154	74.40					53	25.60																				207	
		TOTAL											1114	43.74					1433	56.26																				2547	
																			Elected																						
																																									
Kincumber Central                                              																																									
	FIRST			14	1.07		42	3.20		15	1.14		454	34.58		4	0.30		654	49.81		18	1.37		59	4.49		10	0.76		38	2.89		3	0.23		2	0.15		1313	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		15	1.14		42	3.20		16	1.22		454	34.58		4	0.30		654	49.81		18	1.37		59	4.49		10	0.76		38	2.89		3	0.23					1313	
	THIRD			0	0.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00					4	
		TOTAL		15	1.14		42	3.20		16	1.22		456	34.73					655	49.89		18	1.37		60	4.57		10	0.76		38	2.89		3	0.23					1313	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33		1	33.33		1	33.33			Excluded					3	
		TOTAL		15	1.14		42	3.20		16	1.22		456	34.73					655	49.89		18	1.37		61	4.65		11	0.84		39	2.97								1313	
	FIFTH			0	0.00		0	0.00		1	9.09		1	9.09					1	9.09		1	9.09		6	54.55			Excluded		1	9.09								11	
		TOTAL		15	1.14		42	3.20		17	1.29		457	34.81					656	49.96		19	1.45		67	5.10					40	3.05								1313	
	SIXTH				Excluded		11	73.33		2	13.33		0	0.00					0	0.00		1	6.67		0	0.00					1	6.67								15	
		TOTAL					53	4.04		19	1.45		457	34.81					656	49.96		20	1.52		67	5.10					41	3.12								1313	
	SEVENTH						3	4.48		2	2.99		10	14.93					14	20.90		5	7.46			Excluded					33	49.25								67	
		TOTAL					56	4.27		21	1.60		467	35.57					670	51.03		25	1.90								74	5.64								1313	
	EIGHTH						5	23.81			Excluded		4	19.05					10	47.62		0	0.00								2	9.52								21	
		TOTAL					61	4.65					471	35.87					680	51.79		25	1.90								76	5.79								1313	
	NINTH						27	35.53					18	23.68					17	22.37		14	18.42									Excluded								76	
		TOTAL					88	6.70					489	37.24					697	53.08		39	2.97																	1313	
	TENTH						15	38.46					9	23.08					15	38.46			Excluded																	39	
		TOTAL					103	7.84					498	37.93					712	54.23																				1313	
	ELEVENTH							Excluded					81	78.64					22	21.36																				103	
		TOTAL											579	44.10					734	55.90																				1313	
																			Elected																						
																																									
Macmasters Beach                                               																																									
	FIRST			3	0.57		26	4.91		16	3.02		173	32.70		0	0.00		231	43.67		36	6.81		28	5.29		5	0.95		11	2.08		0	0.00		0	0.00		529	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	0.57		26	4.91		16	3.02		173	32.70		0	0.00		231	43.67		36	6.81		28	5.29		5	0.95		11	2.08		0	0.00					529	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
		TOTAL		3	0.57		26	4.91		16	3.02		173	32.70					231	43.67		36	6.81		28	5.29		5	0.95		11	2.08		0	0.00					529	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		3	0.57		26	4.91		16	3.02		173	32.70					231	43.67		36	6.81		28	5.29		5	0.95		11	2.08								529	
	FIFTH			1	20.00		1	20.00		0	0.00		1	20.00					0	0.00		0	0.00		2	40.00			Excluded		0	0.00								5	
		TOTAL		4	0.76		27	5.10		16	3.02		174	32.89					231	43.67		36	6.81		30	5.67					11	2.08								529	
	SIXTH				Excluded		1	25.00		0	0.00		2	50.00					0	0.00		0	0.00		0	0.00					1	25.00								4	
		TOTAL					28	5.29		16	3.02		176	33.27					231	43.67		36	6.81		30	5.67					12	2.27								529	
	SEVENTH						4	13.33		4	13.33		8	26.67					3	10.00		6	20.00			Excluded					5	16.67								30	
		TOTAL					32	6.05		20	3.78		184	34.78					234	44.23		42	7.94								17	3.21								529	
	EIGHTH						1	5.00			Excluded		4	20.00					12	60.00		1	5.00								2	10.00								20	
		TOTAL					33	6.24					188	35.54					246	46.50		43	8.13								19	3.59								529	
	NINTH						0	0.00					2	10.53					8	42.11		9	47.37									Excluded								19	
		TOTAL					33	6.24					190	35.92					254	48.02		52	9.83																	529	
	TENTH						29	55.77					11	21.15					12	23.08			Excluded																	52	
		TOTAL					62	11.72					201	38.00					266	50.28																				529	
	ELEVENTH							Excluded					48	77.42					14	22.58																				62	
		TOTAL											249	47.07					280	52.93																				529	
																			Elected																						
																																									
Mangrove Mountain                                              																																									
	FIRST			5	1.05		17	3.56		12	2.51		100	20.92		3	0.63		294	61.51		11	2.30		6	1.26		5	1.05		25	5.23		0	0.00		0	0.00		478	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		5	1.05		17	3.56		12	2.51		100	20.92		3	0.63		294	61.51		11	2.30		6	1.26		5	1.05		25	5.23		0	0.00					478	
	THIRD			1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00					3	
		TOTAL		6	1.26		17	3.56		12	2.51		101	21.13					294	61.51		12	2.51		6	1.26		5	1.05		25	5.23		0	0.00					478	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		6	1.26		17	3.56		12	2.51		101	21.13					294	61.51		12	2.51		6	1.26		5	1.05		25	5.23								478	
	FIFTH			0	0.00		0	0.00		0	0.00		1	20.00					3	60.00		0	0.00		1	20.00			Excluded		0	0.00								5	
		TOTAL		6	1.26		17	3.56		12	2.51		102	21.34					297	62.13		12	2.51		7	1.46					25	5.23								478	
	SIXTH				Excluded		3	50.00		0	0.00		1	16.67					0	0.00		0	0.00		2	33.33					0	0.00								6	
		TOTAL					20	4.18		12	2.51		103	21.55					297	62.13		12	2.51		9	1.88					25	5.23								478	
	SEVENTH						3	33.33		0	0.00		0	0.00					3	33.33		2	22.22			Excluded					1	11.11								9	
		TOTAL					23	4.81		12	2.51		103	21.55					300	62.76		14	2.93								26	5.44								478	
	EIGHTH						1	8.33			Excluded		0	0.00					10	83.33		0	0.00								1	8.33								12	
		TOTAL					24	5.02					103	21.55					310	64.85		14	2.93								27	5.65								478	
	NINTH						4	14.81					7	25.93					15	55.56		1	3.70									Excluded								27	
		TOTAL					28	5.86					110	23.01					325	67.99		15	3.14																	478	
	TENTH						7	46.67					7	46.67					1	6.67			Excluded																	15	
		TOTAL					35	7.32					117	24.48					326	68.20																				478	
	ELEVENTH							Excluded					23	65.71					12	34.29																				35	
		TOTAL											140	29.29					338	70.71																				478	
																			Elected																						
																																									
Mooney Mooney                                                  																																									
	FIRST			2	0.75		9	3.40		1	0.38		74	27.92		1	0.38		158	59.62		9	3.40		0	0.00		0	0.00		11	4.15		0	0.00		0	0.00		265	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		2	0.75		9	3.40		1	0.38		74	27.92		1	0.38		158	59.62		9	3.40		0	0.00		0	0.00		11	4.15		0	0.00					265	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		2	0.75		9	3.40		1	0.38		75	28.30					158	59.62		9	3.40		0	0.00		0	0.00		11	4.15		0	0.00					265	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		2	0.75		9	3.40		1	0.38		75	28.30					158	59.62		9	3.40		0	0.00		0	0.00		11	4.15								265	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		2	0.75		9	3.40		1	0.38		75	28.30					158	59.62		9	3.40		0	0.00					11	4.15								265	
	SIXTH				Excluded		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00		1	50.00					0	0.00								2	
		TOTAL					9	3.40		2	0.75		75	28.30					158	59.62		9	3.40		1	0.38					11	4.15								265	
	SEVENTH						1	100.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded					0	0.00								1	
		TOTAL					10	3.77		2	0.75		75	28.30					158	59.62		9	3.40								11	4.15								265	
	EIGHTH						0	0.00			Excluded		0	0.00					0	0.00		1	50.00								1	50.00								2	
		TOTAL					10	3.77					75	28.30					158	59.62		10	3.77								12	4.53								265	
	NINTH						0	0.00					3	25.00					8	66.67		1	8.33									Excluded								12	
		TOTAL					10	3.77					78	29.43					166	62.64		11	4.15																	265	
	TENTH						2	18.18					6	54.55					3	27.27			Excluded																	11	
		TOTAL					12	4.53					84	31.70					169	63.77																				265	
	ELEVENTH							Excluded					8	66.67					4	33.33																				12	
		TOTAL											92	34.72					173	65.28																				265	
																			Elected																						
																																									
Mount White                                                    																																									
	FIRST			0	0.00		5	4.76		0	0.00		32	30.48		1	0.95		62	59.05		2	1.90		0	0.00		0	0.00		2	1.90		1	0.95		0	0.00		105	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		5	4.76		0	0.00		32	30.48		1	0.95		62	59.05		2	1.90		0	0.00		0	0.00		2	1.90		1	0.95					105	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					1	
		TOTAL		0	0.00		5	4.76		0	0.00		33	31.43					62	59.05		2	1.90		0	0.00		0	0.00		2	1.90		1	0.95					105	
	FOURTH			0	0.00		0	0.00		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					1	
		TOTAL		0	0.00		5	4.76		0	0.00		34	32.38					62	59.05		2	1.90		0	0.00		0	0.00		2	1.90								105	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		5	4.76		0	0.00		34	32.38					62	59.05		2	1.90		0	0.00					2	1.90								105	
	SIXTH				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00								0	
		TOTAL					5	4.76		0	0.00		34	32.38					62	59.05		2	1.90		0	0.00					2	1.90								105	
	SEVENTH						0	0.00		0	0.00		0	0.00					0	0.00		0	0.00			Excluded					0	0.00								0	
		TOTAL					5	4.76		0	0.00		34	32.38					62	59.05		2	1.90								2	1.90								105	
