House of Representatives - 2001 Election: New South Wales																																						
Distribution of Preferences																																						
By Polling Place																																						
																																						
Richmond																																						
				NATHAN			ANTHONY			PENHALIGON			MCALLISTER			FAULKNER			BARHAM			PENIAZEV			BALK			JEFFERYS			ROLFE			SIMPSON				
		TOTAL					52	45.22					45	39.13					7	6.09					2	1.74					9	7.83					115	
	EIGHTH						1	50.00					0	0.00					1	50.00						Excluded					0	0.00					2	
		TOTAL					53	46.09					45	39.13					8	6.96											9	7.83					115	
	NINTH						4	44.44					2	22.22					3	33.33												Excluded					9	
		TOTAL					57	49.57					47	40.87					11	9.57																	115	
	TENTH						1	9.09					10	90.91						Excluded																	11	
		TOTAL					58	50.43					57	49.57																							115	
							Elected																															
																																						
Chillingham                                                    																																						
	FIRST			2	0.83		106	44.17		5	2.08		69	28.75		1	0.42		41	17.08		0	0.00		1	0.42		1	0.42		12	5.00		2	0.83		240	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	0.83		106	44.17		5	2.08		69	28.75		1	0.42		41	17.08					1	0.42		1	0.42		12	5.00		2	0.83		240	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	0.83		106	44.17		6	2.50		69	28.75					41	17.08					1	0.42		1	0.42		12	5.00		2	0.83		240	
	FOURTH			1	50.00		0	0.00		1	50.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		3	1.25		106	44.17		7	2.92		69	28.75					41	17.08					1	0.42		1	0.42		12	5.00					240	
	FIFTH			3	42.86		0	0.00			Excluded		3	42.86					0	0.00					0	0.00		0	0.00		1	14.29					7	
		TOTAL		6	2.50		106	44.17					72	30.00					41	17.08					1	0.42		1	0.42		13	5.42					240	
	SIXTH			1	100.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		7	2.92		106	44.17					72	30.00					41	17.08					1	0.42					13	5.42					240	
	SEVENTH				Excluded		3	42.86					2	28.57					1	14.29					0	0.00					1	14.29					7	
		TOTAL					109	45.42					74	30.83					42	17.50					1	0.42					14	5.83					240	
	EIGHTH						0	0.00					0	0.00					1	100.00						Excluded					0	0.00					1	
		TOTAL					109	45.42					74	30.83					43	17.92											14	5.83					240	
	NINTH						8	57.14					3	21.43					3	21.43												Excluded					14	
		TOTAL					117	48.75					77	32.08					46	19.17																	240	
	TENTH						9	19.57					37	80.43						Excluded																	46	
		TOTAL					126	52.50					114	47.50																							240	
							Elected																															
																																						
Chinderah                                                      																																						
	FIRST			16	1.56		359	35.06		9	0.88		496	48.44		3	0.29		45	4.39		0	0.00		21	2.05		14	1.37		59	5.76		2	0.20		1024	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		16	1.56		359	35.06		9	0.88		496	48.44		3	0.29		45	4.39					21	2.05		14	1.37		59	5.76		2	0.20		1024	
	THIRD			0	0.00		0	0.00		1	33.33		2	66.67			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		16	1.56		359	35.06		10	0.98		498	48.63					45	4.39					21	2.05		14	1.37		59	5.76		2	0.20		1024	
	FOURTH			1	50.00		0	0.00		1	50.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		17	1.66		359	35.06		11	1.07		498	48.63					45	4.39					21	2.05		14	1.37		59	5.76					1024	
	FIFTH			3	27.27		3	27.27			Excluded		2	18.18					0	0.00					0	0.00		1	9.09		2	18.18					11	
		TOTAL		20	1.95		362	35.35					500	48.83					45	4.39					21	2.05		15	1.46		61	5.96					1024	
	SIXTH			2	13.33		4	26.67					0	0.00					6	40.00					0	0.00			Excluded		3	20.00					15	
		TOTAL		22	2.15		366	35.74					500	48.83					51	4.98					21	2.05					64	6.25					1024	
	SEVENTH				Excluded		9	40.91					6	27.27					1	4.55					3	13.64					3	13.64					22	
		TOTAL					375	36.62					506	49.41					52	5.08					24	2.34					67	6.54					1024	
	EIGHTH						3	12.50					7	29.17					11	45.83						Excluded					3	12.50					24	
		TOTAL					378	36.91					513	50.10					63	6.15											70	6.84					1024	
	NINTH						45	64.29					13	18.57					12	17.14												Excluded					70	
		TOTAL					423	41.31					526	51.37					75	7.32																	1024	
	TENTH						18	24.00					57	76.00						Excluded																	75	
		TOTAL					441	43.07					583	56.93																							1024	
							Elected																															
																																						
Condong                                                        																																						
	FIRST			11	1.30		429	50.77		10	1.18		286	33.85		2	0.24		43	5.09		1	0.12		16	1.89		3	0.36		43	5.09		1	0.12		845	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1	
		TOTAL		11	1.30		429	50.77		10	1.18		286	33.85		2	0.24		43	5.09					16	1.89		3	0.36		44	5.21		1	0.12		845	
	THIRD			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		13	1.54		429	50.77		10	1.18		286	33.85					43	5.09					16	1.89		3	0.36		44	5.21		1	0.12		845	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		14	1.66		429	50.77		10	1.18		286	33.85					43	5.09					16	1.89		3	0.36		44	5.21					845	
	FIFTH			0	0.00		2	20.00			Excluded		2	20.00					0	0.00					0	0.00		1	10.00		5	50.00					10	
		TOTAL		14	1.66		431	51.01					288	34.08					43	5.09					16	1.89		4	0.47		49	5.80					845	
	SIXTH			0	0.00		0	0.00					0	0.00					2	50.00					0	0.00			Excluded		2	50.00					4	
		TOTAL		14	1.66		431	51.01					288	34.08					45	5.33					16	1.89					51	6.04					845	
	SEVENTH				Excluded		4	28.57					3	21.43					2	14.29					1	7.14					4	28.57					14	
		TOTAL					435	51.48					291	34.44					47	5.56					17	2.01					55	6.51					845	
	EIGHTH						5	29.41					2	11.76					9	52.94						Excluded					1	5.88					17	
		TOTAL					440	52.07					293	34.67					56	6.63											56	6.63					845	
	NINTH						33	58.93					8	14.29					15	26.79												Excluded					56	
		TOTAL					473	55.98					301	35.62					71	8.40																	845	
	TENTH						21	29.58					50	70.42						Excluded																	71	
		TOTAL					494	58.46					351	41.54																							845	
							Elected																															
																																						
Coorabell                                                      																																						
	FIRST			3	1.95		59	38.31		2	1.30		41	26.62		1	0.65		34	22.08		1	0.65		6	3.90		3	1.95		4	2.60		0	0.00		154	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	1.95		59	38.31		3	1.95		41	26.62		1	0.65		34	22.08					6	3.90		3	1.95		4	2.60		0	0.00		154	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	1.95		59	38.31		3	1.95		41	26.62					35	22.73					6	3.90		3	1.95		4	2.60		0	0.00		154	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	1.95		59	38.31		3	1.95		41	26.62					35	22.73					6	3.90		3	1.95		4	2.60					154	
	FIFTH			1	33.33		1	33.33			Excluded		0	0.00					1	33.33					0	0.00		0	0.00		0	0.00					3	
		TOTAL		4	2.60		60	38.96					41	26.62					36	23.38					6	3.90		3	1.95		4	2.60					154	
	SIXTH			0	0.00		0	0.00					1	33.33					2	66.67					0	0.00			Excluded		0	0.00					3	
		TOTAL		4	2.60		60	38.96					42	27.27					38	24.68					6	3.90					4	2.60					154	
	SEVENTH				Excluded		1	25.00					1	25.00					2	50.00					0	0.00					0	0.00					4	
		TOTAL					61	39.61					43	27.92					40	25.97					6	3.90					4	2.60					154	
	EIGHTH						1	16.67					0	0.00					5	83.33						Excluded					0	0.00					6	
		TOTAL					62	40.26					43	27.92					45	29.22											4	2.60					154	
	NINTH						2	50.00					1	25.00					1	25.00												Excluded					4	
		TOTAL					64	41.56					44	28.57					46	29.87																	154	
	TENTH						3	6.52					43	93.48						Excluded																	46	
		TOTAL					67	43.51					87	56.49																							154	
							Elected																															
																																						
Crabbes Creek                                                  																																						
	FIRST			3	2.31		53	40.77		3	2.31		36	27.69		0	0.00		26	20.00		0	0.00		2	1.54		2	1.54		5	3.85		0	0.00		130	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.31		53	40.77		3	2.31		36	27.69		0	0.00		26	20.00					2	1.54		2	1.54		5	3.85		0	0.00		130	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.31		53	40.77		3	2.31		36	27.69					26	20.00					2	1.54		2	1.54		5	3.85		0	0.00		130	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		3	2.31		53	40.77		3	2.31		36	27.69					26	20.00					2	1.54		2	1.54		5	3.85					130	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					1	33.33					0	0.00		0	0.00		2	66.67					3	
		TOTAL		3	2.31		53	40.77					36	27.69					27	20.77					2	1.54		2	1.54		7	5.38					130	
	SIXTH			0	0.00		0	0.00					0	0.00					2	100.00					0	0.00			Excluded		0	0.00					2	
		TOTAL		3	2.31		53	40.77					36	27.69					29	22.31					2	1.54					7	5.38					130	
	SEVENTH				Excluded		2	66.67					0	0.00					1	33.33					0	0.00					0	0.00					3	
		TOTAL					55	42.31					36	27.69					30	23.08					2	1.54					7	5.38					130	
	EIGHTH						1	50.00					1	50.00					0	0.00						Excluded					0	0.00					2	
		TOTAL					56	43.08					37	28.46					30	23.08											7	5.38					130	
	NINTH						4	57.14					0	0.00					3	42.86												Excluded					7	
		TOTAL					60	46.15					37	28.46					33	25.38																	130	
	TENTH						5	15.15					28	84.85						Excluded																	33	
		TOTAL					65	50.00					65	50.00																							130	
							Elected																															
																																						
Crystal Creek                                                  																																						
	FIRST			4	1.42		136	48.40		5	1.78		83	29.54		1	0.36		33	11.74		1	0.36		4	1.42		1	0.36		11	3.91		2	0.71		281	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	1.42		136	48.40		6	2.14		83	29.54		1	0.36		33	11.74					4	1.42		1	0.36		11	3.91		2	0.71		281	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	1.42		137	48.75		6	2.14		83	29.54					33	11.74					4	1.42		1	0.36		11	3.91		2	0.71		281	
	FOURTH			0	0.00		0	0.00		1	50.00		0	0.00					0	0.00					1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		4	1.42		137	48.75		7	2.49		83	29.54					33	11.74					5	1.78		1	0.36		11	3.91					281	
	FIFTH			4	57.14		1	14.29			Excluded		0	0.00					2	28.57					0	0.00		0	0.00		0	0.00					7	
		TOTAL		8	2.85		138	49.11					83	29.54					35	12.46					5	1.78		1	0.36		11	3.91					281	
	SIXTH			0	0.00		0	0.00					0	0.00					1	100.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		8	2.85		138	49.11					83	29.54					36	12.81					5	1.78					11	3.91					281	
	SEVENTH				Excluded		2	25.00					2	25.00					0	0.00					1	12.50					3	37.50					8	
		TOTAL					140	49.82					85	30.25					36	12.81					6	2.14					14	4.98					281	
	EIGHTH						1	16.67					1	16.67					3	50.00						Excluded					1	16.67					6	
		TOTAL					141	50.18					86	30.60					39	13.88											15	5.34					281	
	NINTH						12	80.00					0	0.00					3	20.00												Excluded					15	
		TOTAL					153	54.45					86	30.60					42	14.95																	281	
	TENTH						7	16.67					35	83.33						Excluded																	42	
		TOTAL					160	56.94					121	43.06																							281	
							Elected																															
																																						
Cudgen                                                         																																						
	FIRST			2	0.35		254	44.33		3	0.52		262	45.72		0	0.00		16	2.79		0	0.00		9	1.57		3	0.52		22	3.84		2	0.35		573	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	0.35		254	44.33		3	0.52		262	45.72		0	0.00		16	2.79					9	1.57		3	0.52		22	3.84		2	0.35		573	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	0.35		254	44.33		3	0.52		262	45.72					16	2.79					9	1.57		3	0.52		22	3.84		2	0.35		573	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		2	100.00			Excluded		2	
		TOTAL		2	0.35		254	44.33		3	0.52		262	45.72					16	2.79					9	1.57		3	0.52		24	4.19					573	
	FIFTH			0	0.00		1	33.33			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		2	66.67					3	
		TOTAL		2	0.35		255	44.50					262	45.72					16	2.79					9	1.57		3	0.52		26	4.54					573	
	SIXTH			0	0.00		0	0.00					0	0.00					3	100.00					0	0.00			Excluded		0	0.00					3	
		TOTAL		2	0.35		255	44.50					262	45.72					19	3.32					9	1.57					26	4.54					573	
	SEVENTH				Excluded		2	100.00					0	0.00					0	0.00					0	0.00					0	0.00					2	
		TOTAL					257	44.85					262	45.72					19	3.32					9	1.57					26	4.54					573	
	EIGHTH						3	33.33					2	22.22					2	22.22						Excluded					2	22.22					9	
		TOTAL					260	45.38					264	46.07					21	3.66											28	4.89					573	
	NINTH						16	57.14					4	14.29					8	28.57												Excluded					28	
		TOTAL					276	48.17					268	46.77					29	5.06																	573	
	TENTH						4	13.79					25	86.21						Excluded																	29	
		TOTAL					280	48.87					293	51.13																							573	
							Elected																															
																																						
Dungay                                                         																																						
	FIRST			3	1.02		164	55.78		11	3.74		69	23.47		0	0.00		20	6.80		1	0.34		13	4.42		2	0.68		11	3.74		0	0.00		294	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		3	1.02		164	55.78		11	3.74		69	23.47		0	0.00		20	6.80					13	4.42		2	0.68		11	3.74		1	0.34		294	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.02		164	55.78		11	3.74		69	23.47					20	6.80					13	4.42		2	0.68		11	3.74		1	0.34		294	
	FOURTH			0	0.00		1	100.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		3	1.02		165	56.12		11	3.74		69	23.47					20	6.80					13	4.42		2	0.68		11	3.74					294	
	FIFTH			2	18.18		4	36.36			Excluded		1	9.09					0	0.00					0	0.00		0	0.00		4	36.36					11	
		TOTAL		5	1.70		169	57.48					70	23.81					20	6.80					13	4.42		2	0.68		15	5.10					294	
	SIXTH			1	50.00		0	0.00					0	0.00					1	50.00					0	0.00			Excluded		0	0.00					2	
		TOTAL		6	2.04		169	57.48					70	23.81					21	7.14					13	4.42					15	5.10					294	
	SEVENTH				Excluded		3	50.00					0	0.00					0	0.00					1	16.67					2	33.33					6	
		TOTAL					172	58.50					70	23.81					21	7.14					14	4.76					17	5.78					294	
	EIGHTH						1	7.14					3	21.43					9	64.29						Excluded					1	7.14					14	
		TOTAL					173	58.84					73	24.83					30	10.20											18	6.12					294	
	NINTH						5	27.78					5	27.78					8	44.44												Excluded					18	
		TOTAL					178	60.54					78	26.53					38	12.93																	294	
	TENTH						10	26.32					28	73.68						Excluded																	38	
		TOTAL					188	63.95					106	36.05																							294	
							Elected																															
																																						
Duranbah                                                       																																						
	FIRST			0	0.00		67	51.94		1	0.78		42	32.56		0	0.00		6	4.65		0	0.00		6	4.65		1	0.78		6	4.65		0	0.00		129	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		67	51.94		1	0.78		42	32.56		0	0.00		6	4.65					6	4.65		1	0.78		6	4.65		0	0.00		129	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		67	51.94		1	0.78		42	32.56					6	4.65					6	4.65		1	0.78		6	4.65		0	0.00		129	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		67	51.94		1	0.78		42	32.56					6	4.65					6	4.65		1	0.78		6	4.65					129	
	FIFTH			0	0.00		1	100.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00					1	
		TOTAL		0	0.00		68	52.71					42	32.56					6	4.65					6	4.65		1	0.78		6	4.65					129	
	SIXTH			0	0.00		0	0.00					0	0.00					1	100.00					0	0.00			Excluded		0	0.00					1	
		TOTAL		0	0.00		68	52.71					42	32.56					7	5.43					6	4.65					6	4.65					129	
	SEVENTH				Excluded		0	0.00					0	0.00					0	0.00					0	0.00					0	0.00					0	
		TOTAL					68	52.71					42	32.56					7	5.43					6	4.65					6	4.65					129	
	EIGHTH						1	16.67					0	0.00					3	50.00						Excluded					2	33.33					6	
		TOTAL					69	53.49					42	32.56					10	7.75											8	6.20					129	
	NINTH						6	75.00					0	0.00					2	25.00												Excluded					8	
		TOTAL					75	58.14					42	32.56					12	9.30																	129	
	TENTH						0	0.00					12	100.00						Excluded																	12	
		TOTAL					75	58.14					54	41.86																							129	
							Elected																															
																																						
Durrumbul                                                      																																						
	FIRST			4	2.56		57	36.54		0	0.00		48	30.77		4	2.56		29	18.59		0	0.00		5	3.21		5	3.21		4	2.56		0	0.00		156	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	2.56		57	36.54		0	0.00		48	30.77		4	2.56		29	18.59					5	3.21		5	3.21		4	2.56		0	0.00		156	
	THIRD			0	0.00		0	0.00		2	50.00		0	0.00			Excluded		2	50.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL		4	2.56		57	36.54		2	1.28		48	30.77					31	19.87					5	3.21		5	3.21		4	2.56		0	0.00		156	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		4	2.56		57	36.54		2	1.28		48	30.77					31	19.87					5	3.21		5	3.21		4	2.56					156	
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					0	0.00		2	100.00		0	0.00					2	
		TOTAL		4	2.56		57	36.54					48	30.77					31	19.87					5	3.21		7	4.49		4	2.56					156	
	SIXTH			2	28.57		0	0.00					1	14.29					4	57.14					0	0.00			Excluded		0	0.00					7	
		TOTAL		6	3.85		57	36.54					49	31.41					35	22.44					5	3.21					4	2.56					156	
	SEVENTH				Excluded		2	33.33					2	33.33					1	16.67					0	0.00					1	16.67					6	
		TOTAL					59	37.82					51	32.69					36	23.08					5	3.21					5	3.21					156	
	EIGHTH						0	0.00					2	40.00					3	60.00						Excluded					0	0.00					5	
		TOTAL					59	37.82					53	33.97					39	25.00											5	3.21					156	
	NINTH						4	80.00					0	0.00					1	20.00												Excluded					5	
		TOTAL					63	40.38					53	33.97					40	25.64																	156	
	TENTH						3	7.50					37	92.50						Excluded																	40	
		TOTAL					66	42.31					90	57.69																							156	
							Elected																															
																																						
Eureka                                                         																																						
	FIRST			3	1.52		90	45.45		2	1.01		60	30.30		0	0.00		24	12.12		0	0.00		6	3.03		8	4.04		4	2.02		1	0.51		198	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.52		90	45.45		2	1.01		60	30.30		0	0.00		24	12.12					6	3.03		8	4.04		4	2.02		1	0.51		198	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.52		90	45.45		2	1.01		60	30.30					24	12.12					6	3.03		8	4.04		4	2.02		1	0.51		198	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		4	2.02		90	45.45		2	1.01		60	30.30					24	12.12					6	3.03		8	4.04		4	2.02					198	
	FIFTH			0	0.00		1	50.00			Excluded		0	0.00					0	0.00					0	0.00		1	50.00		0	0.00					2	
		TOTAL		4	2.02		91	45.96					60	30.30					24	12.12					6	3.03		9	4.55		4	2.02					198	
	SIXTH			0	0.00		1	11.11					2	22.22					4	44.44					0	0.00			Excluded		2	22.22					9	
		TOTAL		4	2.02		92	46.46					62	31.31					28	14.14					6	3.03					6	3.03					198	
	SEVENTH				Excluded		0	0.00					0	0.00					4	100.00					0	0.00					0	0.00					4	
		TOTAL					92	46.46					62	31.31					32	16.16					6	3.03					6	3.03					198	
	EIGHTH						1	16.67					1	16.67					4	66.67						Excluded					0	0.00					6	
		TOTAL					93	46.97					63	31.82					36	18.18											6	3.03					198	
	NINTH						2	33.33					2	33.33					2	33.33												Excluded					6	
		TOTAL					95	47.98					65	32.83					38	19.19																	198	
	TENTH						4	10.53					34	89.47						Excluded																	38	
		TOTAL					99	50.00					99	50.00																							198	
							Elected																															
																																						
Ewingsdale                                                     																																						
	FIRST			7	1.99		159	45.30		3	0.85		90	25.64		1	0.28		70	19.94		0	0.00		6	1.71		3	0.85		10	2.85		2	0.57		351	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		7	1.99		159	45.30		3	0.85		90	25.64		1	0.28		70	19.94					6	1.71		3	0.85		10	2.85		2	0.57		351	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		7	1.99		160	45.58		3	0.85		90	25.64					70	19.94					6	1.71		3	0.85		10	2.85		2	0.57		351	
	FOURTH			1	50.00		0	0.00		0	0.00		0	0.00					0	0.00					1	50.00		0	0.00		0	0.00			Excluded		2	
		TOTAL		8	2.28		160	45.58		3	0.85		90	25.64					70	19.94					7	1.99		3	0.85		10	2.85					351	
	FIFTH			2	66.67		0	0.00			Excluded		0	0.00					0	0.00					1	33.33		0	0.00		0	0.00					3	
		TOTAL		10	2.85		160	45.58					90	25.64					70	19.94					8	2.28		3	0.85		10	2.85					351	
	SIXTH			0	0.00		0	0.00					0	0.00					3	100.00					0	0.00			Excluded		0	0.00					3	
		TOTAL		10	2.85		160	45.58					90	25.64					73	20.80					8	2.28					10	2.85					351	
	SEVENTH				Excluded		5	50.00					3	30.00					0	0.00					1	10.00					1	10.00					10	
		TOTAL					165	47.01					93	26.50					73	20.80					9	2.56					11	3.13					351	
	EIGHTH						3	33.33					2	22.22					4	44.44						Excluded					0	0.00					9	
		TOTAL					168	47.86					95	27.07					77	21.94											11	3.13					351	
	NINTH						5	45.45					4	36.36					2	18.18												Excluded					11	
		TOTAL					173	49.29					99	28.21					79	22.51																	351	
	TENTH						9	11.39					70	88.61						Excluded																	79	
		TOTAL					183	52.14					168	47.86																							351	
							Elected																															
																																						
Federal                                                        																																						
	FIRST			10	2.62		87	22.77		5	1.31		106	27.75		2	0.52		129	33.77		0	0.00		23	6.02		11	2.88		8	2.09		1	0.26		382	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		10	2.62		87	22.77		5	1.31		106	27.75		2	0.52		129	33.77					23	6.02		11	2.88		8	2.09		1	0.26		382	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		10	2.62		87	22.77		5	1.31		107	28.01					130	34.03					23	6.02		11	2.88		8	2.09		1	0.26		382	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		1	100.00		0	0.00			Excluded		1	
		TOTAL		10	2.62		87	22.77		5	1.31		107	28.01					130	34.03					23	6.02		12	3.14		8	2.09					382	
	FIFTH			1	20.00		1	20.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		3	60.00					5	
		TOTAL		11	2.88		88	23.04					107	28.01					130	34.03					23	6.02		12	3.14		11	2.88					382	
	SIXTH			3	25.00		1	8.33					1	8.33					5	41.67					1	8.33			Excluded		1	8.33					12	
		TOTAL		14	3.66		89	23.30					108	28.27					135	35.34					24	6.28					12	3.14					382	
	SEVENTH				Excluded		4	28.57					2	14.29					4	28.57					1	7.14					3	21.43					14	
		TOTAL					93	24.35					110	28.80					139	36.39					25	6.54					15	3.93					382	
	EIGHTH						3	12.00					6	24.00					16	64.00						Excluded					0	0.00					25	
		TOTAL					96	25.13					116	30.37					155	40.58											15	3.93					382	
	NINTH						6	40.00					2	13.33					7	46.67												Excluded					15	
		TOTAL					102	26.70					118	30.89					162	42.41																	382	
	TENTH						17	10.49					145	89.51						Excluded																	162	
		TOTAL					119	31.15					263	68.85																							382	
							Elected																															
																																						
Fernleigh                                                      																																						
	FIRST			0	0.00		115	47.72		2	0.83		69	28.63		0	0.00		32	13.28		0	0.00		8	3.32		0	0.00		15	6.22		0	0.00		241	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		115	47.72		2	0.83		69	28.63		0	0.00		32	13.28					8	3.32		0	0.00		15	6.22		0	0.00		241	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		115	47.72		2	0.83		69	28.63					32	13.28					8	3.32		0	0.00		15	6.22		0	0.00		241	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		115	47.72		2	0.83		69	28.63					32	13.28					8	3.32		0	0.00		15	6.22					241	
	FIFTH			0	0.00		1	50.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00		1	50.00					2	
		TOTAL		0	0.00		116	48.13					69	28.63					32	13.28					8	3.32		0	0.00		16	6.64					241	
	SIXTH			0	0.00		0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	0.00					0	
		TOTAL		0	0.00		116	48.13					69	28.63					32	13.28					8	3.32					16	6.64					241	
	SEVENTH				Excluded		0	0.00					0	0.00					0	0.00					0	0.00					0	0.00					0	
		TOTAL					116	48.13					69	28.63					32	13.28					8	3.32					16	6.64					241	
	EIGHTH						4	50.00					1	12.50					2	25.00						Excluded					1	12.50					8	
		TOTAL					120	49.79					70	29.05					34	14.11											17	7.05					241	
	NINTH						13	76.47					2	11.76					2	11.76												Excluded					17	
		TOTAL					133	55.19					72	29.88					36	14.94																	241	
	TENTH						8	22.22					28	77.78						Excluded																	36	
		TOTAL					141	58.51					100	41.49																							241	
