House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gilmore (83909)											
		Candidate		"KNOTT, Peter"		               	"GASH, Joanna"		               	Total	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	10	1	10.00		9	90.00		10	
		Total	40	67	25.09		200	74.91		267	

	Sydney (Gilmore)										
			1st Prefs	5	13.89		31	86.11		36	
		"RYAN, Steve (CTA)"	2	0	0.00		2	100.00		2	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	8	6	75.00		2	25.00		8	
		"HAYES, Michael (DEM)"	8	5	62.50		3	37.50		8	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	3	3	100.00		0	0.00		3	
		Total	21	19	33.33		38	66.67		57	

	Terara										
			1st Prefs	90	17.31		430	82.69		520	
		"RYAN, Steve (CTA)"	17	3	17.65		14	82.35		17	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	18	13	72.22		5	27.78		18	
		"HAYES, Michael (DEM)"	14	8	57.14		6	42.86		14	
		"MCLEOD, Paul (UNI)"	1	1	100.00		0	0.00		1	
		"CROCKER, Geoff (HAN)"	22	6	27.27		16	72.73		22	
		Total	73	121	20.40		472	79.60		593	

	Tomerong										
			1st Prefs	133	33.17		268	66.83		401	
		"RYAN, Steve (CTA)"	2	1	50.00		1	50.00		2	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	43	32	74.42		11	25.58		43	
		"HAYES, Michael (DEM)"	14	7	50.00		7	50.00		14	
		"MCLEOD, Paul (UNI)"	4	3	75.00		1	25.00		4	
		"CROCKER, Geoff (HAN)"	41	10	24.39		31	75.61		41	
		Total	104	186	36.83		319	63.17		505	

	Ulladulla										
			1st Prefs	967	33.30		1937	66.70		2904	
		"RYAN, Steve (CTA)"	37	8	21.62		29	78.38		37	
		"MCCLUNG, Jean (CEC)"	3	2	66.67		1	33.33		3	
		"BANGE, Jane (GRN)"	133	111	83.46		22	16.54		133	
		"HAYES, Michael (DEM)"	123	77	62.60		46	37.40		123	
		"MCLEOD, Paul (UNI)"	5	3	60.00		2	40.00		5	
		"CROCKER, Geoff (HAN)"	187	48	25.67		139	74.33		187	
		Total	488	1216	35.85		2176	64.15		3392	

	Vincentia										
			1st Prefs	442	32.52		917	67.48		1359	
		"RYAN, Steve (CTA)"	22	3	13.64		19	86.36		22	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	92	66	71.74		26	28.26		92	
		"HAYES, Michael (DEM)"	79	55	69.62		24	30.38		79	
		"MCLEOD, Paul (UNI)"	6	3	50.00		3	50.00		6	
		"CROCKER, Geoff (HAN)"	85	20	23.53		65	76.47		85	
		Total	285	590	35.89		1054	64.11		1644	

	Werri Beach										
			1st Prefs	200	31.50		435	68.50		635	
		"RYAN, Steve (CTA)"	16	3	18.75		13	81.25		16	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	89	72	80.90		17	19.10		89	
		"HAYES, Michael (DEM)"	79	47	59.49		32	40.51		79	
		"MCLEOD, Paul (UNI)"	4	0	0.00		4	100.00		4	
		"CROCKER, Geoff (HAN)"	38	12	31.58		26	68.42		38	
		Total	226	334	38.79		527	61.21		861	

	Wingello										
			1st Prefs	67	44.67		83	55.33		150	
		"RYAN, Steve (CTA)"	8	2	25.00		6	75.00		8	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	18	15	83.33		3	16.67		18	
		"HAYES, Michael (DEM)"	10	6	60.00		4	40.00		10	
		"MCLEOD, Paul (UNI)"	1	1	100.00		0	0.00		1	
		"CROCKER, Geoff (HAN)"	8	2	25.00		6	75.00		8	
		Total	45	93	47.69		102	52.31		195	

	Special Hospitals										
			1st Prefs	78	29.77		184	70.23		262	
		"RYAN, Steve (CTA)"	4	1	25.00		3	75.00		4	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	2	1	50.00		1	50.00		2	
		"HAYES, Michael (DEM)"	5	1	20.00		4	80.00		5	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	3	1	33.33		2	66.67		3	
		Total	15	82	29.60		195	70.40		277	

	Total Ordinary										
			1st Prefs	16195	32.03		34372	67.97		50567	
		"RYAN, Steve (CTA)"	1037	187	18.03		850	81.97		1037	
		"MCCLUNG, Jean (CEC)"	90	46	51.11		44	48.89		90	
		"BANGE, Jane (GRN)"	3409	2698	79.14		711	20.86		3409	
		"HAYES, Michael (DEM)"	2640	1655	62.69		985	37.31		2640	
		"MCLEOD, Paul (UNI)"	283	187	66.08		96	33.92		283	
		"CROCKER, Geoff (HAN)"	3579	972	27.16		2607	72.84		3579	
		Total	11038	21940	35.61		39665	64.39		61605	

	ABSENT										
			1st Prefs	1171	34.74		2200	65.26		3371	
		"RYAN, Steve (CTA)"	82	27	32.93		55	67.07		82	
		"MCCLUNG, Jean (CEC)"	5	2	40.00		3	60.00		5	
		"BANGE, Jane (GRN)"	392	284	72.45		108	27.55		392	
		"HAYES, Michael (DEM)"	267	151	56.55		116	43.45		267	
		"MCLEOD, Paul (UNI)"	23	14	60.87		9	39.13		23	
		"CROCKER, Geoff (HAN)"	229	100	43.67		129	56.33		229	
		Total	998	1749	40.03		2620	59.97		4369	

	POSTAL										
			1st Prefs	716	26.82		1954	73.18		2670	
		"RYAN, Steve (CTA)"	22	7	31.82		15	68.18		22	
		"MCCLUNG, Jean (CEC)"	6	3	50.00		3	50.00		6	
		"BANGE, Jane (GRN)"	93	73	78.49		20	21.51		93	
		"HAYES, Michael (DEM)"	113	58	51.33		55	48.67		113	
		"MCLEOD, Paul (UNI)"	6	4	66.67		2	33.33		6	
		"CROCKER, Geoff (HAN)"	203	72	35.47		131	64.53		203	
		Total	443	933	29.97		2180	70.03		3113	

	PRE_POLL										
			1st Prefs	1745	28.94		4285	71.06		6030	
		"RYAN, Steve (CTA)"	90	14	15.56		76	84.44		90	
		"MCCLUNG, Jean (CEC)"	9	5	55.56		4	44.44		9	
		"BANGE, Jane (GRN)"	301	217	72.09		84	27.91		301	
		"HAYES, Michael (DEM)"	279	170	60.93		109	39.07		279	
		"MCLEOD, Paul (UNI)"	19	11	57.89		8	42.11		19	
		"CROCKER, Geoff (HAN)"	411	144	35.04		267	64.96		411	
		Total	1109	2306	32.30		4833	67.70		7139	

	PROVISIONAL										
			1st Prefs	184	39.83		278	60.17		462	
		"RYAN, Steve (CTA)"	22	4	18.18		18	81.82		22	
		"MCCLUNG, Jean (CEC)"	3	1	33.33		2	66.67		3	
		"BANGE, Jane (GRN)"	23	18	78.26		5	21.74		23	
		"HAYES, Michael (DEM)"	24	13	54.17		11	45.83		24	
		"MCLEOD, Paul (UNI)"	8	6	75.00		2	25.00		8	
		"CROCKER, Geoff (HAN)"	32	12	37.50		20	62.50		32	
		Total	112	238	41.46		336	58.54		574	

	Division Summary										
			1st Prefs	20011	31.71		43089	68.29		63100	
		"RYAN, Steve (CTA)"	1253	239	19.07		1014	80.93		1253	
		"MCCLUNG, Jean (CEC)"	113	57	50.44		56	49.56		113	
		"BANGE, Jane (GRN)"	4218	3290	78.00		928	22.00		4218	
		"HAYES, Michael (DEM)"	3323	2047	61.60		1276	38.40		3323	
		"MCLEOD, Paul (UNI)"	339	222	65.49		117	34.51		339	
		"CROCKER, Geoff (HAN)"	4454	1300	29.19		3154	70.81		4454	
		Total	13700	27166	35.37		49634	64.63		76800	
