House of Representatives - 2001 Election: New South Wales																																
Distribution of Preferences																																
By Polling Place																																
																																
Newcastle																																
				WILLIAMS			WILLIAMS			CRITICOS			GRIERSON			SUTTON			KILLION-DELCASTILLO			BATTERSBY			KAVANAGH			LAWN				
	SEVENTH						38	28.15					22	16.30		75	55.56												Excluded		135	
		TOTAL					530	34.24					736	47.55		282	18.22														1548	
	EIGHTH						129	45.74					153	54.26			Excluded														282	
		TOTAL					659	42.57					889	57.43																	1548	
													Elected																			
																																
Kotara                                                         																																
	FIRST			11	1.83		231	38.44		14	2.33		239	39.77		34	5.66		1	0.17		15	2.50		26	4.33		30	4.99		601	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		11	1.83		231	38.44		14	2.33		240	39.93		34	5.66					15	2.50		26	4.33		30	4.99		601	
	THIRD			0	0.00		10	66.67		1	6.67		2	13.33		0	0.00						Excluded		1	6.67		1	6.67		15	
		TOTAL		11	1.83		241	40.10		15	2.50		242	40.27		34	5.66								27	4.49		31	5.16		601	
	FOURTH			1	6.67		8	53.33			Excluded		1	6.67		2	13.33								1	6.67		2	13.33		15	
		TOTAL		12	2.00		249	41.43					243	40.43		36	5.99								28	4.66		33	5.49		601	
	FIFTH				Excluded		4	33.33					6	50.00		0	0.00								0	0.00		2	16.67		12	
		TOTAL					253	42.10					249	41.43		36	5.99								28	4.66		35	5.82		601	
	SIXTH						7	25.00					10	35.71		9	32.14									Excluded		2	7.14		28	
		TOTAL					260	43.26					259	43.09		45	7.49											37	6.16		601	
	SEVENTH						23	62.16					4	10.81		10	27.03												Excluded		37	
		TOTAL					283	47.09					263	43.76		55	9.15														601	
	EIGHTH						20	36.36					35	63.64			Excluded														55	
		TOTAL					303	50.42					298	49.58																	601	
													Elected																			
																																
Kotara East                                                    																																
	FIRST			12	1.58		321	42.29		24	3.16		259	34.12		53	6.98		0	0.00		11	1.45		44	5.80		35	4.61		759	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	1.58		321	42.29		24	3.16		259	34.12		53	6.98					11	1.45		44	5.80		35	4.61		759	
	THIRD			0	0.00		3	27.27		3	27.27		2	18.18		0	0.00						Excluded		2	18.18		1	9.09		11	
		TOTAL		12	1.58		324	42.69		27	3.56		261	34.39		53	6.98								46	6.06		36	4.74		759	
	FOURTH			1	3.70		12	44.44			Excluded		5	18.52		0	0.00								3	11.11		6	22.22		27	
		TOTAL		13	1.71		336	44.27					266	35.05		53	6.98								49	6.46		42	5.53		759	
	FIFTH				Excluded		4	30.77					5	38.46		2	15.38								1	7.69		1	7.69		13	
		TOTAL					340	44.80					271	35.70		55	7.25								50	6.59		43	5.67		759	
	SIXTH						10	20.00					13	26.00		26	52.00									Excluded		1	2.00		50	
		TOTAL					350	46.11					284	37.42		81	10.67											44	5.80		759	
	SEVENTH						24	54.55					4	9.09		16	36.36												Excluded		44	
		TOTAL					374	49.28					288	37.94		97	12.78														759	
	EIGHTH						26	26.80					71	73.20			Excluded														97	
		TOTAL					400	52.70					359	47.30																	759	
													Elected																			
																																
Kotara South                                                   																																
	FIRST			53	2.98		675	37.99		35	1.97		706	39.73		102	5.74		1	0.06		24	1.35		100	5.63		81	4.56		1777	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		54	3.04		675	37.99		35	1.97		706	39.73		102	5.74					24	1.35		100	5.63		81	4.56		1777	
	THIRD			0	0.00		15	62.50		3	12.50		1	4.17		2	8.33						Excluded		2	8.33		1	4.17		24	
		TOTAL		54	3.04		690	38.83		38	2.14		707	39.79		104	5.85								102	5.74		82	4.61		1777	
	FOURTH			3	7.89		14	36.84			Excluded		5	13.16		9	23.68								2	5.26		5	13.16		38	
		TOTAL		57	3.21		704	39.62					712	40.07		113	6.36								104	5.85		87	4.90		1777	
	FIFTH				Excluded		17	29.82					31	54.39		6	10.53								3	5.26		0	0.00		57	
		TOTAL					721	40.57					743	41.81		119	6.70								107	6.02		87	4.90		1777	
	SIXTH						18	16.82					27	25.23		59	55.14									Excluded		3	2.80		107	
		TOTAL					739	41.59					770	43.33		178	10.02											90	5.06		1777	
	SEVENTH						26	28.89					18	20.00		46	51.11												Excluded		90	
		TOTAL					765	43.05					788	44.34		224	12.61														1777	
	EIGHTH						111	49.55					113	50.45			Excluded														224	
		TOTAL					876	49.30					901	50.70																	1777	
													Elected																			
																																
Lambton                                                        																																
	FIRST			111	5.36		620	29.94		58	2.80		894	43.17		144	6.95		10	0.48		30	1.45		105	5.07		99	4.78		2071	
	SECOND			3	30.00		0	0.00		1	10.00		1	10.00		3	30.00			Excluded		0	0.00		1	10.00		1	10.00		10	
		TOTAL		114	5.50		620	29.94		59	2.85		895	43.22		147	7.10					30	1.45		106	5.12		100	4.83		2071	
	THIRD			2	6.67		13	43.33		2	6.67		4	13.33		2	6.67						Excluded		4	13.33		3	10.00		30	
		TOTAL		116	5.60		633	30.56		61	2.95		899	43.41		149	7.19								110	5.31		103	4.97		2071	
	FOURTH			6	9.84		19	31.15			Excluded		7	11.48		8	13.11								15	24.59		6	9.84		61	
		TOTAL		122	5.89		652	31.48					906	43.75		157	7.58								125	6.04		109	5.26		2071	
	FIFTH				Excluded		39	31.97					46	37.70		19	15.57								9	7.38		9	7.38		122	
		TOTAL					691	33.37					952	45.97		176	8.50								134	6.47		118	5.70		2071	
	SIXTH						27	20.15					33	24.63		64	47.76									Excluded		10	7.46		134	
		TOTAL					718	34.67					985	47.56		240	11.59											128	6.18		2071	
	SEVENTH						40	31.25					27	21.09		61	47.66												Excluded		128	
		TOTAL					758	36.60					1012	48.87		301	14.53														2071	
	EIGHTH						119	39.53					182	60.47			Excluded														301	
		TOTAL					877	42.35					1194	57.65																	2071	
													Elected																			
																																
Lambton East                                                   																																
	FIRST			44	4.57		254	26.40		28	2.91		444	46.15		67	6.96		1	0.10		16	1.66		37	3.85		71	7.38		962	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		44	4.57		254	26.40		29	3.01		444	46.15		67	6.96					16	1.66		37	3.85		71	7.38		962	
	THIRD			2	12.50		8	50.00		0	0.00		2	12.50		3	18.75						Excluded		1	6.25		0	0.00		16	
		TOTAL		46	4.78		262	27.23		29	3.01		446	46.36		70	7.28								38	3.95		71	7.38		962	
	FOURTH			2	6.90		8	27.59			Excluded		7	24.14		5	17.24								7	24.14		0	0.00		29	
		TOTAL		48	4.99		270	28.07					453	47.09		75	7.80								45	4.68		71	7.38		962	
	FIFTH				Excluded		22	45.83					14	29.17		4	8.33								2	4.17		6	12.50		48	
		TOTAL					292	30.35					467	48.54		79	8.21								47	4.89		77	8.00		962	
	SIXTH						13	27.66					16	34.04		14	29.79									Excluded		4	8.51		47	
		TOTAL					305	31.70					483	50.21		93	9.67											81	8.42		962	
	SEVENTH						26	32.10					10	12.35		45	55.56												Excluded		81	
		TOTAL					331	34.41					493	51.25		138	14.35														962	
	EIGHTH						55	39.86					83	60.14			Excluded														138	
		TOTAL					386	40.12					576	59.88																	962	
													Elected																			
																																
Maryland                                                       																																
	FIRST			237	7.79		945	31.08		58	1.91		1268	41.70		117	3.85		7	0.23		49	1.61		103	3.39		257	8.45		3041	
	SECOND			0	0.00		0	0.00		0	0.00		3	42.86		1	14.29			Excluded		1	14.29		0	0.00		2	28.57		7	
		TOTAL		237	7.79		945	31.08		58	1.91		1271	41.80		118	3.88					50	1.64		103	3.39		259	8.52		3041	
	THIRD			2	4.00		33	66.00		3	6.00		5	10.00		0	0.00						Excluded		3	6.00		4	8.00		50	
		TOTAL		239	7.86		978	32.16		61	2.01		1276	41.96		118	3.88								106	3.49		263	8.65		3041	
	FOURTH			6	9.84		16	26.23			Excluded		14	22.95		16	26.23								5	8.20		4	6.56		61	
		TOTAL		245	8.06		994	32.69					1290	42.42		134	4.41								111	3.65		267	8.78		3041	
	FIFTH				Excluded		110	44.90					71	28.98		44	17.96								10	4.08		10	4.08		245	
		TOTAL					1104	36.30					1361	44.76		178	5.85								121	3.98		277	9.11		3041	
	SIXTH						21	17.36					43	35.54		45	37.19									Excluded		12	9.92		121	
		TOTAL					1125	36.99					1404	46.17		223	7.33											289	9.50		3041	
	SEVENTH						66	22.84					62	21.45		161	55.71												Excluded		289	
		TOTAL					1191	39.16					1466	48.21		384	12.63														3041	
	EIGHTH						163	42.45					221	57.55			Excluded														384	
		TOTAL					1354	44.52					1687	55.48																	3041	
													Elected																			
																																
Maryville Wickham                                              																																
	FIRST			51	6.60		124	16.04		14	1.81		425	54.98		74	9.57		4	0.52		14	1.81		34	4.40		33	4.27		773	
	SECOND			2	50.00		1	25.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	25.00		4	
		TOTAL		53	6.86		125	16.17		14	1.81		425	54.98		74	9.57					14	1.81		34	4.40		34	4.40		773	
	THIRD			0	0.00		7	50.00		2	14.29		0	0.00		3	21.43						Excluded		1	7.14		1	7.14		14	
		TOTAL		53	6.86		132	17.08		16	2.07		425	54.98		77	9.96								35	4.53		35	4.53		773	
	FOURTH			2	12.50		6	37.50			Excluded		1	6.25		3	18.75								1	6.25		3	18.75		16	
		TOTAL		55	7.12		138	17.85					426	55.11		80	10.35								36	4.66		38	4.92		773	
	FIFTH				Excluded		26	47.27					20	36.36		6	10.91								1	1.82		2	3.64		55	
		TOTAL					164	21.22					446	57.70		86	11.13								37	4.79		40	5.17		773	
	SIXTH						4	10.81					10	27.03		20	54.05									Excluded		3	8.11		37	
		TOTAL					168	21.73					456	58.99		106	13.71											43	5.56		773	
	SEVENTH						11	25.58					10	23.26		22	51.16												Excluded		43	
		TOTAL					179	23.16					466	60.28		128	16.56														773	
	EIGHTH						37	28.91					91	71.09			Excluded														128	
		TOTAL					216	27.94					557	72.06																	773	
													Elected																			
																																
Mayfield                                                       																																
	FIRST			100	5.76		354	20.38		30	1.73		881	50.72		124	7.14		8	0.46		35	2.01		66	3.80		139	8.00		1737	
	SECOND			2	25.00		0	0.00		1	12.50		0	0.00		4	50.00			Excluded		1	12.50		0	0.00		0	0.00		8	
		TOTAL		102	5.87		354	20.38		31	1.78		881	50.72		128	7.37					36	2.07		66	3.80		139	8.00		1737	
	THIRD			1	2.78		19	52.78		2	5.56		1	2.78		2	5.56						Excluded		7	19.44		4	11.11		36	
		TOTAL		103	5.93		373	21.47		33	1.90		882	50.78		130	7.48								73	4.20		143	8.23		1737	
	FOURTH			3	9.09		11	33.33			Excluded		3	9.09		7	21.21								6	18.18		3	9.09		33	
		TOTAL		106	6.10		384	22.11					885	50.95		137	7.89								79	4.55		146	8.41		1737	
	FIFTH				Excluded		43	40.57					37	34.91		17	16.04								3	2.83		6	5.66		106	
		TOTAL					427	24.58					922	53.08		154	8.87								82	4.72		152	8.75		1737	
	SIXTH						19	23.17					18	21.95		40	48.78									Excluded		5	6.10		82	
		TOTAL					446	25.68					940	54.12		194	11.17											157	9.04		1737	
	SEVENTH						46	29.30					29	18.47		82	52.23												Excluded		157	
		TOTAL					492	28.32					969	55.79		276	15.89														1737	
	EIGHTH						130	47.10					146	52.90			Excluded														276	
		TOTAL					622	35.81					1115	64.19																	1737	
													Elected																			
																																
Mayfield East                                                  																																
	FIRST			95	6.91		300	21.82		23	1.67		648	47.13		121	8.80		8	0.58		26	1.89		58	4.22		96	6.98		1375	
	SECOND			0	0.00		0	0.00		2	25.00		2	25.00		2	25.00			Excluded		1	12.50		1	12.50		0	0.00		8	
		TOTAL		95	6.91		300	21.82		25	1.82		650	47.27		123	8.95					27	1.96		59	4.29		96	6.98		1375	
	THIRD			1	3.70		16	59.26		0	0.00		2	7.41		2	7.41						Excluded		4	14.81		2	7.41		27	
		TOTAL		96	6.98		316	22.98		25	1.82		652	47.42		125	9.09								63	4.58		98	7.13		1375	
	FOURTH			6	24.00		4	16.00			Excluded		3	12.00		4	16.00								3	12.00		5	20.00		25	
		TOTAL		102	7.42		320	23.27					655	47.64		129	9.38								66	4.80		103	7.49		1375	
	FIFTH				Excluded		37	36.27					41	40.20		15	14.71								4	3.92		5	4.90		102	
		TOTAL					357	25.96					696	50.62		144	10.47								70	5.09		108	7.85		1375	
	SIXTH						10	14.29					23	32.86		30	42.86									Excluded		7	10.00		70	
		TOTAL					367	26.69					719	52.29		174	12.65											115	8.36		1375	
	SEVENTH						25	21.74					25	21.74		65	56.52												Excluded		115	
		TOTAL					392	28.51					744	54.11		239	17.38														1375	
	EIGHTH						96	40.17					143	59.83			Excluded														239	
		TOTAL					488	35.49					887	64.51																	1375	
													Elected																			
																																
Mayfield South                                                 																																
	FIRST			170	9.48		394	21.96		24	1.34		854	47.60		124	6.91		13	0.72		37	2.06		67	3.73		111	6.19		1794	
	SECOND			3	23.08		2	15.38		0	0.00		3	23.08		4	30.77			Excluded		0	0.00		1	7.69		0	0.00		13	
		TOTAL		173	9.64		396	22.07		24	1.34		857	47.77		128	7.13					37	2.06		68	3.79		111	6.19		1794	
	THIRD			2	5.41		21	56.76		1	2.70		2	5.41		3	8.11						Excluded		1	2.70		7	18.92		37	
		TOTAL		175	9.75		417	23.24		25	1.39		859	47.88		131	7.30								69	3.85		118	6.58		1794	
	FOURTH			2	8.00		10	40.00			Excluded		6	24.00		3	12.00								3	12.00		1	4.00		25	
		TOTAL		177	9.87		427	23.80					865	48.22		134	7.47								72	4.01		119	6.63		1794	
	FIFTH				Excluded		55	31.07					74	41.81		33	18.64								9	5.08		6	3.39		177	
		TOTAL					482	26.87					939	52.34		167	9.31								81	4.52		125	6.97		1794	
	SIXTH						12	14.81					24	29.63		36	44.44									Excluded		9	11.11		81	
		TOTAL					494	27.54					963	53.68		203	11.32											134	7.47		1794	
	SEVENTH						31	23.13					23	17.16		80	59.70												Excluded		134	
		TOTAL					525	29.26					986	54.96		283	15.77														1794	
	EIGHTH						129	45.58					154	54.42			Excluded														283	
		TOTAL					654	36.45					1140	63.55																	1794	
													Elected																			
																																
Mayfield West                                                  																																
	FIRST			162	6.35		649	25.42		41	1.61		1179	46.18		129	5.05		19	0.74		70	2.74		139	5.44		165	6.46		2553	
	SECOND			5	26.32		0	0.00		1	5.26		5	26.32		6	31.58			Excluded		0	0.00		2	10.53		0	0.00		19	
		TOTAL		167	6.54		649	25.42		42	1.65		1184	46.38		135	5.29					70	2.74		141	5.52		165	6.46		2553	
	THIRD			4	5.71		40	57.14		4	5.71		6	8.57		3	4.29						Excluded		6	8.57		7	10.00		70	
		TOTAL		171	6.70		689	26.99		46	1.80		1190	46.61		138	5.41								147	5.76		172	6.74		2553	
	FOURTH			2	4.35		14	30.43			Excluded		9	19.57		8	17.39								3	6.52		10	21.74		46	
		TOTAL		173	6.78		703	27.54					1199	46.96		146	5.72								150	5.88		182	7.13		2553	
	FIFTH				Excluded		42	24.28					77	44.51		35	20.23								9	5.20		10	5.78		173	
		TOTAL					745	29.18					1276	49.98		181	7.09								159	6.23		192	7.52		2553	
	SIXTH						18	11.32					39	24.53		88	55.35									Excluded		14	8.81		159	
		TOTAL					763	29.89					1315	51.51		269	10.54											206	8.07		2553	
	SEVENTH						43	20.87					44	21.36		119	57.77												Excluded		206	
		TOTAL					806	31.57					1359	53.23		388	15.20														2553	
	EIGHTH						170	43.81					218	56.19			Excluded														388	
		TOTAL					976	38.23					1577	61.77																	2553	
													Elected																			
																																
Merewether                                                     																																
	FIRST			31	2.98		369	35.48		27	2.60		388	37.31		78	7.50		5	0.48		19	1.83		85	8.17		38	3.65		1040	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		3	60.00			Excluded		2	40.00		0	0.00		0	0.00		5	
		TOTAL		31	2.98		369	35.48		27	2.60		388	37.31		81	7.79					21	2.02		85	8.17		38	3.65		1040	
	THIRD			1	4.76		9	42.86		2	9.52		3	14.29		1	4.76						Excluded		5	23.81		0	0.00		21	
		TOTAL		32	3.08		378	36.35		29	2.79		391	37.60		82	7.88								90	8.65		38	3.65		1040	
	FOURTH			2	6.90		11	37.93			Excluded		5	17.24		4	13.79								6	20.69		1	3.45		29	
		TOTAL		34	3.27		389	37.40					396	38.08		86	8.27								96	9.23		39	3.75		1040	
	FIFTH				Excluded		16	47.06					11	32.35		2	5.88								1	2.94		4	11.76		34	
		TOTAL					405	38.94					407	39.13		88	8.46								97	9.33		43	4.13		1040	
	SIXTH						14	14.43					29	29.90		49	50.52									Excluded		5	5.15		97	
		TOTAL					419	40.29					436	41.92		137	13.17											48	4.62		1040	
	SEVENTH						13	27.08					27	56.25		8	16.67												Excluded		48	
		TOTAL					432	41.54					463	44.52		145	13.94														1040	
	EIGHTH						52	35.86					93	64.14			Excluded														145	
		TOTAL					484	46.54					556	53.46																	1040	
													Elected																			
																																
Merewether Heights                                             																																
	FIRST			24	1.85		682	52.66		49	3.78		320	24.71		81	6.25		6	0.46		10	0.77		76	5.87		47	3.63		1295	
	SECOND			0	0.00		1	16.67		0	0.00		0	0.00		4	66.67			Excluded		0	0.00		1	16.67		0	0.00		6	
		TOTAL		24	1.85		683	52.74		49	3.78		320	24.71		85	6.56					10	0.77		77	5.95		47	3.63		1295	
	THIRD			0	0.00		4	40.00		0	0.00		1	10.00		2	20.00						Excluded		2	20.00		1	10.00		10	
		TOTAL		24	1.85		687	53.05		49	3.78		321	24.79		87	6.72								79	6.10		48	3.71		1295	
	FOURTH			2	4.08		15	30.61			Excluded		7	14.29		9	18.37								10	20.41		6	12.24		49	
		TOTAL		26	2.01		702	54.21					328	25.33		96	7.41								89	6.87		54	4.17		1295	
	FIFTH				Excluded		7	26.92					11	42.31		4	15.38								4	15.38		0	0.00		26	
		TOTAL					709	54.75					339	26.18		100	7.72								93	7.18		54	4.17		1295	
	SIXTH						22	23.66					28	30.11		35	37.63									Excluded		8	8.60		93	
		TOTAL					731	56.45					367	28.34		135	10.42											62	4.79		1295	
	SEVENTH						21	33.87					7	11.29		34	54.84												Excluded		62	
		TOTAL					752	58.07					374	28.88		169	13.05														1295	
	EIGHTH						72	42.60					97	57.40			Excluded														169	
		TOTAL					824	63.63					471	36.37																	1295	
													Elected																			
																																
Merewether South                                               																																
	FIRST			75	3.14		1080	45.15		78	3.26		662	27.68		210	8.78		19	0.79		18	0.75		160	6.69		90	3.76		2392	
	SECOND			11	57.89		0	0.00		2	10.53		2	10.53		0	0.00			Excluded		2	10.53		2	10.53		0	0.00		19	
		TOTAL		86	3.60		1080	45.15		80	3.34		664	27.76		210	8.78					20	0.84		162	6.77		90	3.76		2392	
	THIRD			0	0.00		11	55.00		2	10.00		0	0.00		4	20.00						Excluded		3	15.00		0	0.00		20	
		TOTAL		86	3.60		1091	45.61		82	3.43		664	27.76		214	8.95								165	6.90		90	3.76		2392	
	FOURTH			10	12.20		27	32.93			Excluded		13	15.85		9	10.98								14	17.07		9	10.98		82	
		TOTAL		96	4.01		1118	46.74					677	28.30		223	9.32								179	7.48		99	4.14		2392	
	FIFTH				Excluded		27	28.13					33	34.38		25	26.04								7	7.29		4	4.17		96	
		TOTAL					1145	47.87					710	29.68		248	10.37								186	7.78		103	4.31		2392	
	SIXTH						44	23.66					51	27.42		78	41.94									Excluded		13	6.99		186	
		TOTAL					1189	49.71					761	31.81		326	13.63											116	4.85		2392	
	SEVENTH						42	36.21					20	17.24		54	46.55												Excluded		116	
		TOTAL					1231	51.46					781	32.65		380	15.89														2392	
	EIGHTH						140	36.84					240	63.16			Excluded														380	
		TOTAL					1371	57.32					1021	42.68																	2392	
													Elected																			
																																
Merewether West                                                																																
	FIRST			27	2.86		381	40.36		28	2.97		338	35.81		47	4.98		2	0.21		9	0.95		58	6.14		54	5.72		944	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		27	2.86		381	40.36		29	3.07		338	35.81		48	5.08					9	0.95		58	6.14		54	5.72		944	
	THIRD			0	0.00		3	33.33		0	0.00		1	11.11		1	11.11						Excluded		3	33.33		1	11.11		9	
		TOTAL		27	2.86		384	40.68		29	3.07		339	35.91		49	5.19								61	6.46		55	5.83		944	
	FOURTH			5	17.24		7	24.14			Excluded		3	10.34		5	17.24								7	24.14		2	6.90		29	
		TOTAL		32	3.39		391	41.42					342	36.23		54	5.72								68	7.20		57	6.04		944	
	FIFTH				Excluded		11	34.38					12	37.50		4	12.50								3	9.38		2	6.25		32	
		TOTAL					402	42.58					354	37.50		58	6.14								71	7.52		59	6.25		944	
	SIXTH						15	21.13					19	26.76		35	49.30									Excluded		2	2.82		71	
		TOTAL					417	44.17					373	39.51		93	9.85											61	6.46		944	
	SEVENTH						19	31.15					12	19.67		30	49.18												Excluded		61	
		TOTAL					436	46.19					385	40.78		123	13.03														944	
	EIGHTH						55	44.72					68	55.28			Excluded														123	
		TOTAL					491	52.01					453	47.99																	944	
													Elected																			
																																
Minmi                                                          																																
	FIRST			29	5.77		143	28.43		10	1.99		220	43.74		25	4.97		2	0.40		9	1.79		13	2.58		52	10.34		503	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		30	5.96		143	28.43		10	1.99		220	43.74		25	4.97					10	1.99		13	2.58		52	10.34		503	
	THIRD			0	0.00		5	50.00		0	0.00		1	10.00		1	10.00						Excluded		2	20.00		1	10.00		10	
		TOTAL		30	5.96		148	29.42		10	1.99		221	43.94		26	5.17								15	2.98		53	10.54		503	
	FOURTH			0	0.00		3	30.00			Excluded		1	10.00		5	50.00								0	0.00		1	10.00		10	
		TOTAL		30	5.96		151	30.02					222	44.14		31	6.16								15	2.98		54	10.74		503	
	FIFTH				Excluded		8	26.67					11	36.67		5	16.67								2	6.67		4	13.33		30	
		TOTAL					159	31.61					233	46.32		36	7.16								17	3.38		58	11.53		503	
	SIXTH						4	23.53					3	17.65		8	47.06									Excluded		2	11.76		17	
		TOTAL					163	32.41					236	46.92		44	8.75											60	11.93		503	
	SEVENTH						27	45.00					12	20.00		21	35.00												Excluded		60	
		TOTAL					190	37.77					248	49.30		65	12.92														503	
	EIGHTH						26	40.00					39	60.00			Excluded														65	
		TOTAL					216	42.94					287	57.06																	503	
													Elected																			
																																
New Lambton                                                    																																
	FIRST			114	3.66		1083	34.74		96	3.08		1109	35.58		290	9.30		17	0.55		41	1.32		237	7.60		130	4.17		3117	
	SECOND			8	47.06		1	5.88		0	0.00		2	11.76		5	29.41			Excluded		0	0.00		1	5.88		0	0.00		17	
		TOTAL		122	3.91		1084	34.78		96	3.08		1111	35.64		295	9.46					41	1.32		238	7.64		130	4.17		3117	
	THIRD			0	0.00		23	56.10		4	9.76		2	4.88		3	7.32						Excluded		7	17.07		2	4.88		41	
		TOTAL		122	3.91		1107	35.51		100	3.21		1113	35.71		298	9.56								245	7.86		132	4.23		3117	
	FOURTH			11	11.00		25	25.00			Excluded		15	15.00		15	15.00								18	18.00		16	16.00		100	
		TOTAL		133	4.27		1132	36.32					1128	36.19		313	10.04								263	8.44		148	4.75		3117	
	FIFTH				Excluded		42	31.58					45	33.83		29	21.80								6	4.51		11	8.27		133	
		TOTAL					1174	37.66					1173	37.63		342	10.97								269	8.63		159	5.10		3117	
	SIXTH						42	15.61					62	23.05		150	55.76									Excluded		15	5.58		269	
		TOTAL					1216	39.01					1235	39.62		492	15.78											174	5.58		3117	
	SEVENTH						44	25.29					31	17.82		99	56.90												Excluded		174	
		TOTAL					1260	40.42					1266	40.62		591	18.96														3117	
	EIGHTH						221	37.39					370	62.61			Excluded														591	
		TOTAL					1481	47.51					1636	52.49																	3117	
													Elected																			
																																
New Lambton Central                                            																																
	FIRST			28	2.90		362	37.47		30	3.11		396	40.99		60	6.21		1	0.10		13	1.35		37	3.83		39	4.04		966	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		28	2.90		362	37.47		30	3.11		396	40.99		61	6.31					13	1.35		37	3.83		39	4.04		966	
	THIRD			1	7.69		8	61.54		0	0.00		3	23.08		1	7.69						Excluded		0	0.00		0	0.00		13	
		TOTAL		29	3.00		370	38.30		30	3.11		399	41.30		62	6.42								37	3.83		39	4.04		966	
	FOURTH			2	6.67		9	30.00			Excluded		4	13.33		3	10.00								10	33.33		2	6.67		30	
		TOTAL		31	3.21		379	39.23					403	41.72		65	6.73								47	4.87		41	4.24		966	
	FIFTH				Excluded		8	25.81					12	38.71		6	19.35								4	12.90		1	3.23		31	
		TOTAL					387	40.06					415	42.96		71	7.35								51	5.28		42	4.35		966	
	SIXTH						8	15.69					12	23.53		27	52.94									Excluded		4	7.84		51	
		TOTAL					395	40.89					427	44.20		98	10.14											46	4.76		966	
	SEVENTH						22	47.83					13	28.26		11	23.91												Excluded		46	
		TOTAL					417	43.17					440	45.55		109	11.28														966	
	EIGHTH						45	41.28					64	58.72			Excluded														109	
		TOTAL					462	47.83					504	52.17																	966	
													Elected																			
																																
New Lambton South                                              																																
	FIRST			56	3.51		448	28.09		42	2.63		748	46.90		119	7.46		3	0.19		24	1.50		86	5.39		69	4.33		1595	
	SECOND			1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		57	3.57		449	28.15		42	2.63		748	46.90		120	7.52					24	1.50		86	5.39		69	4.33		1595	
	THIRD			0	0.00		15	62.50		1	4.17		4	16.67		1	4.17						Excluded		0	0.00		3	12.50		24	
		TOTAL		57	3.57		464	29.09		43	2.70		752	47.15		121	7.59								86	5.39		72	4.51		1595	
	FOURTH			3	6.98		11	25.58			Excluded		8	18.60		8	18.60								7	16.28		6	13.95		43	
		TOTAL		60	3.76		475	29.78					760	47.65		129	8.09								93	5.83		78	4.89		1595	
	FIFTH				Excluded		28	46.67					16	26.67		6	10.00								2	3.33		8	13.33		60	
		TOTAL					503	31.54					776	48.65		135	8.46								95	5.96		86	5.39		1595	
	SIXTH						9	9.47					27	28.42		46	48.42									Excluded		13	13.68		95	
		TOTAL					512	32.10					803	50.34		181	11.35											99	6.21		1595	
	SEVENTH						44	44.44					25	25.25		30	30.30												Excluded		99	
		TOTAL					556	34.86					828	51.91		211	13.23														1595	
	EIGHTH						74	35.07					137	64.93			Excluded														211	
		TOTAL					630	39.50					965	60.50																	1595	
													Elected																			
																																
Newcastle                                                      																																
	FIRST			46	4.06		346	30.51		26	2.29		376	33.16		194	17.11		17	1.50		11	0.97		77	6.79		41	3.62		1134	
	SECOND			11	64.71		0	0.00		1	5.88		1	5.88		3	17.65			Excluded		1	5.88		0	0.00		0	0.00		17	
		TOTAL		57	5.03		346	30.51		27	2.38		377	33.25		197	17.37					12	1.06		77	6.79		41	3.62		1134	
	THIRD			1	8.33		6	50.00		0	0.00		1	8.33		0	0.00						Excluded		4	33.33		0	0.00		12	
		TOTAL		58	5.11		352	31.04		27	2.38		378	33.33		197	17.37								81	7.14		41	3.62		1134	
	FOURTH			5	18.52		9	33.33			Excluded		3	11.11		6	22.22								4	14.81		0	0.00		27	
		TOTAL		63	5.56		361	31.83					381	33.60		203	17.90								85	7.50		41	3.62		1134	
	FIFTH				Excluded		15	23.81					27	42.86		19	30.16								1	1.59		1	1.59		63	
		TOTAL					376	33.16					408	35.98		222	19.58								86	7.58		42	3.70		1134	
	SIXTH						26	30.23					19	22.09		41	47.67									Excluded		0	0.00		86	
		TOTAL					402	35.45					427	37.65		263	23.19											42	3.70		1134	
	SEVENTH						10	23.81					11	26.19		21	50.00												Excluded		42	
		TOTAL					412	36.33					438	38.62		284	25.04														1134	
	EIGHTH						74	26.06					210	73.94			Excluded														284	
