House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Robertson (84366)											
		Candidate		"MORAN, Trish"		               	"LLOYD, Jim"		                 	Total	
		"BOYLE, Harry Ovens (DEM)"	13	12	92.31		1	7.69		13	
		"HENNIG, Christine (CTA)"	13	1	7.69		12	92.31		13	
		"MUNN, Alasdair (IND)"	2	0	0.00		2	100.00		2	
		"LACEY, Stephen (GRN)"	5	2	40.00		3	60.00		5	
		"WILLS, Kevin (IND)"	4	1	25.00		3	75.00		4	
		"LAING-PEACH, James (IND)"	2	1	50.00		1	50.00		2	
		"BAKER, Errol (HAN)"	12	2	16.67		10	83.33		12	
		"PHILLIPS, Barry (PLP)"	3	3	100.00		0	0.00		3	
		"MARTIN, Ken (CEC)"	0	0	0.00		0	0.00		0	
		Total	59	210	30.17		486	69.83		696	

	Somersby										
			1st Prefs	96	23.19		318	76.81		414	
		"KENISCIEHAD, Kaijin (IND)"	3	2	66.67		1	33.33		3	
		"BOYLE, Harry Ovens (DEM)"	20	12	60.00		8	40.00		20	
		"HENNIG, Christine (CTA)"	5	1	20.00		4	80.00		5	
		"MUNN, Alasdair (IND)"	1	0	0.00		1	100.00		1	
		"LACEY, Stephen (GRN)"	15	12	80.00		3	20.00		15	
		"WILLS, Kevin (IND)"	3	1	33.33		2	66.67		3	
		"LAING-PEACH, James (IND)"	25	7	28.00		18	72.00		25	
		"BAKER, Errol (HAN)"	12	7	58.33		5	41.67		12	
		"PHILLIPS, Barry (PLP)"	4	2	50.00		2	50.00		4	
		"MARTIN, Ken (CEC)"	0	0	0.00		0	0.00		0	
		Total	88	140	27.89		362	72.11		502	

	Spencer										
			1st Prefs	66	52.38		60	47.62		126	
		"KENISCIEHAD, Kaijin (IND)"	2	2	100.00		0	0.00		2	
		"BOYLE, Harry Ovens (DEM)"	8	7	87.50		1	12.50		8	
		"HENNIG, Christine (CTA)"	1	0	0.00		1	100.00		1	
		"MUNN, Alasdair (IND)"	0	0	0.00		0	0.00		0	
		"LACEY, Stephen (GRN)"	6	3	50.00		3	50.00		6	
		"WILLS, Kevin (IND)"	0	0	0.00		0	0.00		0	
		"LAING-PEACH, James (IND)"	0	0	0.00		0	0.00		0	
		"BAKER, Errol (HAN)"	9	1	11.11		8	88.89		9	
		"PHILLIPS, Barry (PLP)"	0	0	0.00		0	0.00		0	
		"MARTIN, Ken (CEC)"	1	0	0.00		1	100.00		1	
		Total	27	79	51.63		74	48.37		153	

	Springfield										
			1st Prefs	657	45.34		792	54.66		1449	
		"KENISCIEHAD, Kaijin (IND)"	15	12	80.00		3	20.00		15	
		"BOYLE, Harry Ovens (DEM)"	65	47	72.31		18	27.69		65	
		"HENNIG, Christine (CTA)"	29	11	37.93		18	62.07		29	
		"MUNN, Alasdair (IND)"	9	4	44.44		5	55.56		9	
		"LACEY, Stephen (GRN)"	46	31	67.39		15	32.61		46	
		"WILLS, Kevin (IND)"	11	5	45.45		6	54.55		11	
		"LAING-PEACH, James (IND)"	14	7	50.00		7	50.00		14	
		"BAKER, Errol (HAN)"	40	23	57.50		17	42.50		40	
		"PHILLIPS, Barry (PLP)"	17	14	82.35		3	17.65		17	
		"MARTIN, Ken (CEC)"	4	2	50.00		2	50.00		4	
		Total	250	813	47.85		886	52.15		1699	

	Sydney (Robertson)										
			1st Prefs	23	35.94		41	64.06		64	
		"KENISCIEHAD, Kaijin (IND)"	1	1	100.00		0	0.00		1	
		"BOYLE, Harry Ovens (DEM)"	2	1	50.00		1	50.00		2	
		"HENNIG, Christine (CTA)"	1	1	100.00		0	0.00		1	
		"MUNN, Alasdair (IND)"	1	0	0.00		1	100.00		1	
		"LACEY, Stephen (GRN)"	7	6	85.71		1	14.29		7	
		"WILLS, Kevin (IND)"	0	0	0.00		0	0.00		0	
		"LAING-PEACH, James (IND)"	1	1	100.00		0	0.00		1	
		"BAKER, Errol (HAN)"	4	3	75.00		1	25.00		4	
		"PHILLIPS, Barry (PLP)"	0	0	0.00		0	0.00		0	
		"MARTIN, Ken (CEC)"	1	1	100.00		0	0.00		1	
		Total	18	37	45.12		45	54.88		82	

	Terrigal (Robertson)										
			1st Prefs	611	31.29		1342	68.71		1953	
		"KENISCIEHAD, Kaijin (IND)"	16	12	75.00		4	25.00		16	
		"BOYLE, Harry Ovens (DEM)"	112	73	65.18		39	34.82		112	
		"HENNIG, Christine (CTA)"	38	11	28.95		27	71.05		38	
		"MUNN, Alasdair (IND)"	16	14	87.50		2	12.50		16	
		"LACEY, Stephen (GRN)"	118	91	77.12		27	22.88		118	
		"WILLS, Kevin (IND)"	21	9	42.86		12	57.14		21	
		"LAING-PEACH, James (IND)"	14	8	57.14		6	42.86		14	
		"BAKER, Errol (HAN)"	33	14	42.42		19	57.58		33	
		"PHILLIPS, Barry (PLP)"	6	3	50.00		3	50.00		6	
		"MARTIN, Ken (CEC)"	3	2	66.67		1	33.33		3	
		Total	377	848	36.39		1482	63.61		2330	

	Terrigal Central										
			1st Prefs	155	28.70		385	71.30		540	
		"KENISCIEHAD, Kaijin (IND)"	7	5	71.43		2	28.57		7	
		"BOYLE, Harry Ovens (DEM)"	32	25	78.13		7	21.88		32	
		"HENNIG, Christine (CTA)"	5	1	20.00		4	80.00		5	
		"MUNN, Alasdair (IND)"	0	0	0.00		0	0.00		0	
		"LACEY, Stephen (GRN)"	19	14	73.68		5	26.32		19	
		"WILLS, Kevin (IND)"	5	1	20.00		4	80.00		5	
		"LAING-PEACH, James (IND)"	3	1	33.33		2	66.67		3	
		"BAKER, Errol (HAN)"	4	2	50.00		2	50.00		4	
		"PHILLIPS, Barry (PLP)"	2	2	100.00		0	0.00		2	
		"MARTIN, Ken (CEC)"	0	0	0.00		0	0.00		0	
		Total	77	206	33.39		411	66.61		617	

	Terrigal West										
			1st Prefs	248	28.21		631	71.79		879	
		"KENISCIEHAD, Kaijin (IND)"	7	7	100.00		0	0.00		7	
		"BOYLE, Harry Ovens (DEM)"	29	19	65.52		10	34.48		29	
		"HENNIG, Christine (CTA)"	12	5	41.67		7	58.33		12	
		"MUNN, Alasdair (IND)"	3	1	33.33		2	66.67		3	
		"LACEY, Stephen (GRN)"	28	23	82.14		5	17.86		28	
		"WILLS, Kevin (IND)"	2	0	0.00		2	100.00		2	
		"LAING-PEACH, James (IND)"	6	5	83.33		1	16.67		6	
		"BAKER, Errol (HAN)"	11	2	18.18		9	81.82		11	
		"PHILLIPS, Barry (PLP)"	0	0	0.00		0	0.00		0	
		"MARTIN, Ken (CEC)"	2	2	100.00		0	0.00		2	
		Total	100	312	31.87		667	68.13		979	

	Umina Bullion St.										
			1st Prefs	700	50.14		696	49.86		1396	
		"KENISCIEHAD, Kaijin (IND)"	13	12	92.31		1	7.69		13	
		"BOYLE, Harry Ovens (DEM)"	27	15	55.56		12	44.44		27	
		"HENNIG, Christine (CTA)"	16	3	18.75		13	81.25		16	
		"MUNN, Alasdair (IND)"	4	4	100.00		0	0.00		4	
		"LACEY, Stephen (GRN)"	34	28	82.35		6	17.65		34	
		"WILLS, Kevin (IND)"	12	4	33.33		8	66.67		12	
		"LAING-PEACH, James (IND)"	13	10	76.92		3	23.08		13	
		"BAKER, Errol (HAN)"	49	19	38.78		30	61.22		49	
		"PHILLIPS, Barry (PLP)"	5	5	100.00		0	0.00		5	
		"MARTIN, Ken (CEC)"	2	0	0.00		2	100.00		2	
		Total	175	800	50.92		771	49.08		1571	

	Umina Central										
			1st Prefs	854	48.58		904	51.42		1758	
		"KENISCIEHAD, Kaijin (IND)"	15	12	80.00		3	20.00		15	
		"BOYLE, Harry Ovens (DEM)"	64	55	85.94		9	14.06		64	
		"HENNIG, Christine (CTA)"	24	4	16.67		20	83.33		24	
		"MUNN, Alasdair (IND)"	5	1	20.00		4	80.00		5	
		"LACEY, Stephen (GRN)"	63	43	68.25		20	31.75		63	
		"WILLS, Kevin (IND)"	14	10	71.43		4	28.57		14	
		"LAING-PEACH, James (IND)"	27	18	66.67		9	33.33		27	
		"BAKER, Errol (HAN)"	88	42	47.73		46	52.27		88	
		"PHILLIPS, Barry (PLP)"	9	8	88.89		1	11.11		9	
		"MARTIN, Ken (CEC)"	2	0	0.00		2	100.00		2	
		Total	311	1047	50.60		1022	49.40		2069	

	Umina Mall										
			1st Prefs	756	49.06		785	50.94		1541	
		"KENISCIEHAD, Kaijin (IND)"	22	18	81.82		4	18.18		22	
		"BOYLE, Harry Ovens (DEM)"	58	47	81.03		11	18.97		58	
		"HENNIG, Christine (CTA)"	12	3	25.00		9	75.00		12	
		"MUNN, Alasdair (IND)"	8	7	87.50		1	12.50		8	
		"LACEY, Stephen (GRN)"	52	36	69.23		16	30.77		52	
		"WILLS, Kevin (IND)"	9	7	77.78		2	22.22		9	
		"LAING-PEACH, James (IND)"	15	10	66.67		5	33.33		15	
		"BAKER, Errol (HAN)"	89	26	29.21		63	70.79		89	
		"PHILLIPS, Barry (PLP)"	10	8	80.00		2	20.00		10	
		"MARTIN, Ken (CEC)"	6	1	16.67		5	83.33		6	
		Total	281	919	50.44		903	49.56		1822	

	Woy Woy										
			1st Prefs	1140	46.84		1294	53.16		2434	
		"KENISCIEHAD, Kaijin (IND)"	21	17	80.95		4	19.05		21	
		"BOYLE, Harry Ovens (DEM)"	78	55	70.51		23	29.49		78	
		"HENNIG, Christine (CTA)"	38	15	39.47		23	60.53		38	
		"MUNN, Alasdair (IND)"	27	21	77.78		6	22.22		27	
		"LACEY, Stephen (GRN)"	75	60	80.00		15	20.00		75	
		"WILLS, Kevin (IND)"	17	10	58.82		7	41.18		17	
		"LAING-PEACH, James (IND)"	25	16	64.00		9	36.00		25	
		"BAKER, Errol (HAN)"	168	50	29.76		118	70.24		168	
		"PHILLIPS, Barry (PLP)"	24	18	75.00		6	25.00		24	
		"MARTIN, Ken (CEC)"	3	2	66.67		1	33.33		3	
		Total	476	1404	48.25		1506	51.75		2910	

	Woy Woy Bay										
			1st Prefs	74	37.76		122	62.24		196	
		"KENISCIEHAD, Kaijin (IND)"	1	1	100.00		0	0.00		1	
		"BOYLE, Harry Ovens (DEM)"	15	6	40.00		9	60.00		15	
		"HENNIG, Christine (CTA)"	2	2	100.00		0	0.00		2	
		"MUNN, Alasdair (IND)"	2	1	50.00		1	50.00		2	
		"LACEY, Stephen (GRN)"	18	13	72.22		5	27.78		18	
		"WILLS, Kevin (IND)"	3	1	33.33		2	66.67		3	
		"LAING-PEACH, James (IND)"	2	1	50.00		1	50.00		2	
		"BAKER, Errol (HAN)"	5	1	20.00		4	80.00		5	
		"PHILLIPS, Barry (PLP)"	1	1	100.00		0	0.00		1	
		"MARTIN, Ken (CEC)"	1	0	0.00		1	100.00		1	
		Total	50	101	41.06		145	58.94		246	

	Woy Woy South										
			1st Prefs	449	49.45		459	50.55		908	
		"KENISCIEHAD, Kaijin (IND)"	11	10	90.91		1	9.09		11	
		"BOYLE, Harry Ovens (DEM)"	40	30	75.00		10	25.00		40	
		"HENNIG, Christine (CTA)"	12	5	41.67		7	58.33		12	
		"MUNN, Alasdair (IND)"	6	5	83.33		1	16.67		6	
		"LACEY, Stephen (GRN)"	28	19	67.86		9	32.14		28	
		"WILLS, Kevin (IND)"	16	11	68.75		5	31.25		16	
		"LAING-PEACH, James (IND)"	3	1	33.33		2	66.67		3	
		"BAKER, Errol (HAN)"	51	24	47.06		27	52.94		51	
		"PHILLIPS, Barry (PLP)"	3	2	66.67		1	33.33		3	
		"MARTIN, Ken (CEC)"	3	0	0.00		3	100.00		3	
		Total	173	556	51.43		525	48.57		1081	

	Wyoming (Robertson)										
			1st Prefs	442	44.24		557	55.76		999	
		"KENISCIEHAD, Kaijin (IND)"	13	8	61.54		5	38.46		13	
		"BOYLE, Harry Ovens (DEM)"	71	53	74.65		18	25.35		71	
		"HENNIG, Christine (CTA)"	26	6	23.08		20	76.92		26	
		"MUNN, Alasdair (IND)"	6	1	16.67		5	83.33		6	
		"LACEY, Stephen (GRN)"	40	30	75.00		10	25.00		40	
		"WILLS, Kevin (IND)"	9	4	44.44		5	55.56		9	
		"LAING-PEACH, James (IND)"	10	4	40.00		6	60.00		10	
		"BAKER, Errol (HAN)"	35	16	45.71		19	54.29		35	
		"PHILLIPS, Barry (PLP)"	10	9	90.00		1	10.00		10	
		"MARTIN, Ken (CEC)"	4	2	50.00		2	50.00		4	
		Total	224	575	47.02		648	52.98		1223	

	Special Hospitals										
			1st Prefs	200	46.40		231	53.60		431	
		"KENISCIEHAD, Kaijin (IND)"	9	9	100.00		0	0.00		9	
		"BOYLE, Harry Ovens (DEM)"	4	4	100.00		0	0.00		4	
		"HENNIG, Christine (CTA)"	1	0	0.00		1	100.00		1	
		"MUNN, Alasdair (IND)"	2	1	50.00		1	50.00		2	
		"LACEY, Stephen (GRN)"	2	1	50.00		1	50.00		2	
		"WILLS, Kevin (IND)"	3	1	33.33		2	66.67		3	
		"LAING-PEACH, James (IND)"	0	0	0.00		0	0.00		0	
		"BAKER, Errol (HAN)"	2	1	50.00		1	50.00		2	
		"PHILLIPS, Barry (PLP)"	0	0	0.00		0	0.00		0	
		"MARTIN, Ken (CEC)"	0	0	0.00		0	0.00		0	
		Total	23	217	47.80		237	52.20		454	

	Total Ordinary										
			1st Prefs	21485	40.52		31539	59.48		53024	
		"KENISCIEHAD, Kaijin (IND)"	509	422	82.91		87	17.09		509	
		"BOYLE, Harry Ovens (DEM)"	2188	1546	70.66		642	29.34		2188	
		"HENNIG, Christine (CTA)"	898	223	24.83		675	75.17		898	
		"MUNN, Alasdair (IND)"	296	193	65.20		103	34.80		296	
		"LACEY, Stephen (GRN)"	1989	1468	73.81		521	26.19		1989	
		"WILLS, Kevin (IND)"	649	327	50.39		322	49.61		649	
		"LAING-PEACH, James (IND)"	438	233	53.20		205	46.80		438	
		"BAKER, Errol (HAN)"	1867	766	41.03		1101	58.97		1867	
		"PHILLIPS, Barry (PLP)"	270	212	78.52		58	21.48		270	
		"MARTIN, Ken (CEC)"	93	41	44.09		52	55.91		93	
		Total	9197	26916	43.26		35305	56.74		62221	

	ABSENT										
			1st Prefs	1473	39.34		2271	60.66		3744	
		"KENISCIEHAD, Kaijin (IND)"	76	55	72.37		21	27.63		76	
		"BOYLE, Harry Ovens (DEM)"	294	206	70.07		88	29.93		294	
		"HENNIG, Christine (CTA)"	105	25	23.81		80	76.19		105	
		"MUNN, Alasdair (IND)"	23	16	69.57		7	30.43		23	
		"LACEY, Stephen (GRN)"	308	221	71.75		87	28.25		308	
		"WILLS, Kevin (IND)"	33	15	45.45		18	54.55		33	
		"LAING-PEACH, James (IND)"	37	22	59.46		15	40.54		37	
		"BAKER, Errol (HAN)"	170	74	43.53		96	56.47		170	
		"PHILLIPS, Barry (PLP)"	62	49	79.03		13	20.97		62	
		"MARTIN, Ken (CEC)"	17	6	35.29		11	64.71		17	
		Total	1125	2162	44.40		2707	55.60		4869	

	POSTAL										
			1st Prefs	1073	34.36		2050	65.64		3123	
		"KENISCIEHAD, Kaijin (IND)"	17	10	58.82		7	41.18		17	
		"BOYLE, Harry Ovens (DEM)"	86	65	75.58		21	24.42		86	
		"HENNIG, Christine (CTA)"	34	7	20.59		27	79.41		34	
		"MUNN, Alasdair (IND)"	6	4	66.67		2	33.33		6	
		"LACEY, Stephen (GRN)"	55	29	52.73		26	47.27		55	
		"WILLS, Kevin (IND)"	11	1	9.09		10	90.91		11	
		"LAING-PEACH, James (IND)"	16	12	75.00		4	25.00		16	
		"BAKER, Errol (HAN)"	107	46	42.99		61	57.01		107	
		"PHILLIPS, Barry (PLP)"	10	7	70.00		3	30.00		10	
		"MARTIN, Ken (CEC)"	4	1	25.00		3	75.00		4	
		Total	346	1255	36.18		2214	63.82		3469	

	PRE_POLL										
			1st Prefs	1522	39.35		2346	60.65		3868	
		"KENISCIEHAD, Kaijin (IND)"	45	36	80.00		9	20.00		45	
		"BOYLE, Harry Ovens (DEM)"	137	109	79.56		28	20.44		137	
		"HENNIG, Christine (CTA)"	45	15	33.33		30	66.67		45	
		"MUNN, Alasdair (IND)"	20	12	60.00		8	40.00		20	
		"LACEY, Stephen (GRN)"	128	94	73.44		34	26.56		128	
		"WILLS, Kevin (IND)"	47	17	36.17		30	63.83		47	
		"LAING-PEACH, James (IND)"	28	12	42.86		16	57.14		28	
		"BAKER, Errol (HAN)"	169	75	44.38		94	55.62		169	
		"PHILLIPS, Barry (PLP)"	20	18	90.00		2	10.00		20	
		"MARTIN, Ken (CEC)"	10	3	30.00		7	70.00		10	
		Total	649	1913	42.35		2604	57.65		4517	

	PROVISIONAL										
			1st Prefs	236	49.37		242	50.63		478	
		"KENISCIEHAD, Kaijin (IND)"	10	8	80.00		2	20.00		10	
		"BOYLE, Harry Ovens (DEM)"	31	15	48.39		16	51.61		31	
		"HENNIG, Christine (CTA)"	10	4	40.00		6	60.00		10	
		"MUNN, Alasdair (IND)"	3	1	33.33		2	66.67		3	
		"LACEY, Stephen (GRN)"	32	25	78.13		7	21.88		32	
		"WILLS, Kevin (IND)"	4	3	75.00		1	25.00		4	
		"LAING-PEACH, James (IND)"	6	3	50.00		3	50.00		6	
		"BAKER, Errol (HAN)"	20	11	55.00		9	45.00		20	
		"PHILLIPS, Barry (PLP)"	12	10	83.33		2	16.67		12	
		"MARTIN, Ken (CEC)"	1	0	0.00		1	100.00		1	
		Total	129	316	52.06		291	47.94		607	

	Division Summary										
			1st Prefs	25789	40.15		38448	59.85		64237	
		"KENISCIEHAD, Kaijin (IND)"	657	531	80.82		126	19.18		657	
		"BOYLE, Harry Ovens (DEM)"	2736	1941	70.94		795	29.06		2736	
		"HENNIG, Christine (CTA)"	1092	274	25.09		818	74.91		1092	
		"MUNN, Alasdair (IND)"	348	226	64.94		122	35.06		348	
		"LACEY, Stephen (GRN)"	2512	1837	73.13		675	26.87		2512	
		"WILLS, Kevin (IND)"	744	363	48.79		381	51.21		744	
		"LAING-PEACH, James (IND)"	525	282	53.71		243	46.29		525	
		"BAKER, Errol (HAN)"	2333	972	41.66		1361	58.34		2333	
		"PHILLIPS, Barry (PLP)"	374	296	79.14		78	20.86		374	
		"MARTIN, Ken (CEC)"	125	51	40.80		74	59.20		125	
		Total	11446	32562	43.02		43121	56.98		75683	
