House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Parramatta																													
				BORGER			TONGSUMRITH			CAMERON			JONSSON			CLARK			WATSON			GEORGE			SATCHWELL				
		TOTAL		162	50.31		3	0.93		131	40.68		3	0.93		9	2.80					5	1.55		9	2.80		322	
	THIRD			0	0.00			Excluded		0	0.00		1	33.33		0	0.00					1	33.33		1	33.33		3	
		TOTAL		162	50.31					131	40.68		4	1.24		9	2.80					6	1.86		10	3.11		322	
	FOURTH			1	25.00					1	25.00			Excluded		0	0.00					2	50.00		0	0.00		4	
		TOTAL		163	50.62					132	40.99					9	2.80					8	2.48		10	3.11		322	
	FIFTH			5	50.00					3	30.00					0	0.00					2	20.00			Excluded		10	
		TOTAL		168	52.17					135	41.93					9	2.80					10	3.11					322	
	SIXTH			2	22.22					3	33.33						Excluded					4	44.44					9	
		TOTAL		170	52.80					138	42.86											14	4.35					322	
	SEVENTH			6	42.86					8	57.14												Excluded					14	
		TOTAL		176	54.66					146	45.34																	322	
										Elected																			
																													
Pendle Hill North                                              																													
	FIRST			333	40.86		2	0.25		374	45.89		25	3.07		21	2.58		1	0.12		30	3.68		29	3.56		815	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		333	40.86		2	0.25		374	45.89		25	3.07		21	2.58					30	3.68		30	3.68		815	
	THIRD			1	50.00			Excluded		1	50.00		0	0.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL		334	40.98					375	46.01		25	3.07		21	2.58					30	3.68		30	3.68		815	
	FOURTH			4	16.00					19	76.00			Excluded		0	0.00					2	8.00		0	0.00		25	
		TOTAL		338	41.47					394	48.34					21	2.58					32	3.93		30	3.68		815	
	FIFTH			11	36.67					7	23.33					2	6.67					10	33.33			Excluded		30	
		TOTAL		349	42.82					401	49.20					23	2.82					42	5.15					815	
	SIXTH			5	21.74					4	17.39						Excluded					14	60.87					23	
		TOTAL		354	43.44					405	49.69											56	6.87					815	
	SEVENTH			40	71.43					16	28.57												Excluded					56	
		TOTAL		394	48.34					421	51.66																	815	
										Elected																			
																													
Pitt Row                                                       																													
	FIRST			468	49.16		9	0.95		403	42.33		7	0.74		19	2.00		0	0.00		21	2.21		25	2.63		952	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		468	49.16		9	0.95		403	42.33		7	0.74		19	2.00					21	2.21		25	2.63		952	
	THIRD			5	55.56			Excluded		2	22.22		1	11.11		0	0.00					1	11.11		0	0.00		9	
		TOTAL		473	49.68					405	42.54		8	0.84		19	2.00					22	2.31		25	2.63		952	
	FOURTH			2	25.00					4	50.00			Excluded		1	12.50					0	0.00		1	12.50		8	
		TOTAL		475	49.89					409	42.96					20	2.10					22	2.31		26	2.73		952	
	FIFTH			0	0.00					15	57.69					3	11.54					8	30.77			Excluded		26	
		TOTAL		475	49.89					424	44.54					23	2.42					30	3.15					952	
	SIXTH			9	39.13					4	17.39						Excluded					10	43.48					23	
		TOTAL		484	50.84					428	44.96											40	4.20					952	
	SEVENTH			30	75.00					10	25.00												Excluded					40	
		TOTAL		514	53.99					438	46.01																	952	
										Elected																			
																													
Rosehill                                                       																													
	FIRST			719	51.25		30	2.14		521	37.13		14	1.00		31	2.21		4	0.29		45	3.21		39	2.78		1403	
	SECOND			0	0.00		2	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	25.00		1	25.00		4	
		TOTAL		719	51.25		32	2.28		521	37.13		14	1.00		31	2.21					46	3.28		40	2.85		1403	
	THIRD			15	46.88			Excluded		3	9.38		2	6.25		10	31.25					2	6.25		0	0.00		32	
		TOTAL		734	52.32					524	37.35		16	1.14		41	2.92					48	3.42		40	2.85		1403	
	FOURTH			1	6.25					8	50.00			Excluded		1	6.25					6	37.50		0	0.00		16	
		TOTAL		735	52.39					532	37.92					42	2.99					54	3.85		40	2.85		1403	
	FIFTH			9	22.50					11	27.50					6	15.00					14	35.00			Excluded		40	
		TOTAL		744	53.03					543	38.70					48	3.42					68	4.85					1403	
	SIXTH			17	35.42					10	20.83						Excluded					21	43.75					48	
		TOTAL		761	54.24					553	39.42											89	6.34					1403	
	SEVENTH			69	77.53					20	22.47												Excluded					89	
		TOTAL		830	59.16					573	40.84																	1403	
										Elected																			
																													
Rowland Hassall                                                																													
	FIRST			503	51.96		17	1.76		364	37.60		16	1.65		29	3.00		1	0.10		19	1.96		19	1.96		968	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		504	52.07		17	1.76		364	37.60		16	1.65		29	3.00					19	1.96		19	1.96		968	
	THIRD			13	76.47			Excluded		0	0.00		0	0.00		2	11.76					2	11.76		0	0.00		17	
		TOTAL		517	53.41					364	37.60		16	1.65		31	3.20					21	2.17		19	1.96		968	
	FOURTH			4	25.00					6	37.50			Excluded		5	31.25					0	0.00		1	6.25		16	
		TOTAL		521	53.82					370	38.22					36	3.72					21	2.17		20	2.07		968	
	FIFTH			3	15.00					6	30.00					1	5.00					10	50.00			Excluded		20	
		TOTAL		524	54.13					376	38.84					37	3.82					31	3.20					968	
	SIXTH			10	27.03					12	32.43						Excluded					15	40.54					37	
		TOTAL		534	55.17					388	40.08											46	4.75					968	
	SEVENTH			35	76.09					11	23.91												Excluded					46	
		TOTAL		569	58.78					399	41.22																	968	
										Elected																			
																													
Rydalmere                                                      																													
	FIRST			610	45.05		17	1.26		597	44.09		11	0.81		33	2.44		2	0.15		41	3.03		43	3.18		1354	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		610	45.05		17	1.26		598	44.17		11	0.81		33	2.44					42	3.10		43	3.18		1354	
	THIRD			7	41.18			Excluded		1	5.88		1	5.88		7	41.18					1	5.88		0	0.00		17	
		TOTAL		617	45.57					599	44.24		12	0.89		40	2.95					43	3.18		43	3.18		1354	
	FOURTH			0	0.00					10	83.33			Excluded		2	16.67					0	0.00		0	0.00		12	
		TOTAL		617	45.57					609	44.98					42	3.10					43	3.18		43	3.18		1354	
	FIFTH			11	25.58					20	46.51					2	4.65					10	23.26			Excluded		43	
		TOTAL		628	46.38					629	46.45					44	3.25					53	3.91					1354	
	SIXTH			13	29.55					8	18.18						Excluded					23	52.27					44	
		TOTAL		641	47.34					637	47.05											76	5.61					1354	
	SEVENTH			52	68.42					24	31.58												Excluded					76	
		TOTAL		693	51.18					661	48.82																	1354	
										Elected																			
																													
Sydney (Parramatta)                                            																													
	FIRST			53	39.26		6	4.44		53	39.26		3	2.22		10	7.41		0	0.00		6	4.44		4	2.96		135	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		53	39.26		6	4.44		53	39.26		3	2.22		10	7.41					6	4.44		4	2.96		135	
	THIRD			2	33.33			Excluded		1	16.67		0	0.00		2	33.33					1	16.67		0	0.00		6	
		TOTAL		55	40.74					54	40.00		3	2.22		12	8.89					7	5.19		4	2.96		135	
	FOURTH			0	0.00					2	66.67			Excluded		1	33.33					0	0.00		0	0.00		3	
		TOTAL		55	40.74					56	41.48					13	9.63					7	5.19		4	2.96		135	
	FIFTH			1	25.00					2	50.00					0	0.00					1	25.00			Excluded		4	
		TOTAL		56	41.48					58	42.96					13	9.63					8	5.93					135	
	SIXTH			2	15.38					4	30.77						Excluded					7	53.85					13	
		TOTAL		58	42.96					62	45.93											15	11.11					135	
	SEVENTH			14	93.33					1	6.67												Excluded					15	
		TOTAL		72	53.33					63	46.67																	135	
										Elected																			
																													
Telopea                                                        																													
	FIRST			952	41.52		48	2.09		1036	45.18		38	1.66		68	2.97		5	0.22		78	3.40		68	2.97		2293	
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00		1	20.00			Excluded		2	40.00		0	0.00		5	
		TOTAL		952	41.52		48	2.09		1038	45.27		38	1.66		69	3.01					80	3.49		68	2.97		2293	
	THIRD			12	25.00			Excluded		3	6.25		1	2.08		29	60.42					3	6.25		0	0.00		48	
		TOTAL		964	42.04					1041	45.40		39	1.70		98	4.27					83	3.62		68	2.97		2293	
	FOURTH			9	23.08					25	64.10			Excluded		1	2.56					2	5.13		2	5.13		39	
		TOTAL		973	42.43					1066	46.49					99	4.32					85	3.71		70	3.05		2293	
	FIFTH			20	28.57					22	31.43					5	7.14					23	32.86			Excluded		70	
		TOTAL		993	43.31					1088	47.45					104	4.54					108	4.71					2293	
	SIXTH			18	17.31					15	14.42						Excluded					71	68.27					104	
		TOTAL		1011	44.09					1103	48.10											179	7.81					2293	
	SEVENTH			125	69.83					54	30.17												Excluded					179	
		TOTAL		1136	49.54					1157	50.46																	2293	
										Elected																			
																													
Toongabbie East                                                																													
	FIRST			446	53.22		9	1.07		329	39.26		8	0.95		11	1.31		2	0.24		15	1.79		18	2.15		838	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		446	53.22		9	1.07		329	39.26		9	1.07		12	1.43					15	1.79		18	2.15		838	
	THIRD			4	44.44			Excluded		3	33.33		0	0.00		1	11.11					0	0.00		1	11.11		9	
		TOTAL		450	53.70					332	39.62		9	1.07		13	1.55					15	1.79		19	2.27		838	
	FOURTH			0	0.00					6	66.67			Excluded		0	0.00					2	22.22		1	11.11		9	
		TOTAL		450	53.70					338	40.33					13	1.55					17	2.03		20	2.39		838	
	FIFTH			4	20.00					7	35.00					2	10.00					7	35.00			Excluded		20	
		TOTAL		454	54.18					345	41.17					15	1.79					24	2.86					838	
	SIXTH			4	26.67					2	13.33						Excluded					9	60.00					15	
		TOTAL		458	54.65					347	41.41											33	3.94					838	
	SEVENTH			23	69.70					10	30.30												Excluded					33	
		TOTAL		481	57.40					357	42.60																	838	
										Elected																			
																													
Wentworthville                                                 																													
	FIRST			1133	53.09		23	1.08		810	37.96		21	0.98		61	2.86		0	0.00		43	2.01		43	2.01		2134	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		1133	53.09		23	1.08		810	37.96		21	0.98		61	2.86					43	2.01		43	2.01		2134	
	THIRD			13	56.52			Excluded		3	13.04		0	0.00		2	8.70					5	21.74		0	0.00		23	
		TOTAL		1146	53.70					813	38.10		21	0.98		63	2.95					48	2.25		43	2.01		2134	
	FOURTH			6	28.57					7	33.33			Excluded		5	23.81					1	4.76		2	9.52		21	
		TOTAL		1152	53.98					820	38.43					68	3.19					49	2.30		45	2.11		2134	
	FIFTH			12	26.67					19	42.22					5	11.11					9	20.00			Excluded		45	
		TOTAL		1164	54.55					839	39.32					73	3.42					58	2.72					2134	
	SIXTH			25	34.25					15	20.55						Excluded					33	45.21					73	
		TOTAL		1189	55.72					854	40.02											91	4.26					2134	
	SEVENTH			64	70.33					27	29.67												Excluded					91	
		TOTAL		1253	58.72					881	41.28																	2134	
										Elected																			
																													
Wentworthville Central                                         																													
	FIRST			339	53.64		12	1.90		231	36.55		6	0.95		14	2.22		1	0.16		14	2.22		15	2.37		632	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		339	53.64		12	1.90		231	36.55		6	0.95		15	2.37					14	2.22		15	2.37		632	
	THIRD			6	50.00			Excluded		1	8.33		0	0.00		5	41.67					0	0.00		0	0.00		12	
		TOTAL		345	54.59					232	36.71		6	0.95		20	3.16					14	2.22		15	2.37		632	
	FOURTH			2	33.33					2	33.33			Excluded		0	0.00					1	16.67		1	16.67		6	
		TOTAL		347	54.91					234	37.03					20	3.16					15	2.37		16	2.53		632	
	FIFTH			6	37.50					5	31.25					1	6.25					4	25.00			Excluded		16	
		TOTAL		353	55.85					239	37.82					21	3.32					19	3.01					632	
	SIXTH			6	28.57					3	14.29						Excluded					12	57.14					21	
		TOTAL		359	56.80					242	38.29											31	4.91					632	
	SEVENTH			23	74.19					8	25.81												Excluded					31	
		TOTAL		382	60.44					250	39.56																	632	
										Elected																			
																													
Westmead                                                       																													
	FIRST			1345	52.54		38	1.48		903	35.27		30	1.17		83	3.24		7	0.27		108	4.22		46	1.80		2560	
	SECOND			2	28.57		1	14.29		2	28.57		1	14.29		0	0.00			Excluded		0	0.00		1	14.29		7	
		TOTAL		1347	52.62		39	1.52		905	35.35		31	1.21		83	3.24					108	4.22		47	1.84		2560	
	THIRD			21	53.85			Excluded		2	5.13		0	0.00		10	25.64					6	15.38		0	0.00		39	
		TOTAL		1368	53.44					907	35.43		31	1.21		93	3.63					114	4.45		47	1.84		2560	
	FOURTH			8	25.81					11	35.48			Excluded		8	25.81					3	9.68		1	3.23		31	
		TOTAL		1376	53.75					918	35.86					101	3.95					117	4.57		48	1.88		2560	
	FIFTH			7	14.58					20	41.67					3	6.25					18	37.50			Excluded		48	
		TOTAL		1383	54.02					938	36.64					104	4.06					135	5.27					2560	
	SIXTH			36	34.62					19	18.27						Excluded					49	47.12					104	
		TOTAL		1419	55.43					957	37.38											184	7.19					2560	
	SEVENTH			135	73.37					49	26.63												Excluded					184	
		TOTAL		1554	60.70					1006	39.30																	2560	
										Elected																			
																													
Westmead Hospital                                              																													
	FIRST			124	43.97		3	1.06		129	45.74		4	1.42		15	5.32		0	0.00		4	1.42		3	1.06		282	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		124	43.97		3	1.06		129	45.74		4	1.42		15	5.32					4	1.42		3	1.06		282	
	THIRD			2	66.67			Excluded		0	0.00		1	33.33		0	0.00					0	0.00		0	0.00		3	
		TOTAL		126	44.68					129	45.74		5	1.77		15	5.32					4	1.42		3	1.06		282	
	FOURTH			4	80.00					0	0.00			Excluded		1	20.00					0	0.00		0	0.00		5	
		TOTAL		130	46.10					129	45.74					16	5.67					4	1.42		3	1.06		282	
	FIFTH			1	33.33					1	33.33					0	0.00					1	33.33			Excluded		3	
		TOTAL		131	46.45					130	46.10					16	5.67					5	1.77					282	
	SIXTH			7	43.75					2	12.50						Excluded					7	43.75					16	
		TOTAL		138	48.94					132	46.81											12	4.26					282	
	SEVENTH			10	83.33					2	16.67												Excluded					12	
		TOTAL		148	52.48					134	47.52																	282	
										Elected																			
																													
Westmead North                                                 																													
	FIRST			291	43.76		15	2.26		272	40.90		14	2.11		31	4.66		1	0.15		37	5.56		4	0.60		665	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1	
		TOTAL		291	43.76		15	2.26		272	40.90		14	2.11		31	4.66					38	5.71		4	0.60		665	
	THIRD			5	33.33			Excluded		1	6.67		1	6.67		5	33.33					3	20.00		0	0.00		15	
		TOTAL		296	44.51					273	41.05		15	2.26		36	5.41					41	6.17		4	0.60		665	
	FOURTH			5	33.33					8	53.33			Excluded		1	6.67					1	6.67		0	0.00		15	
		TOTAL		301	45.26					281	42.26					37	5.56					42	6.32		4	0.60		665	
	FIFTH			2	50.00					2	50.00					0	0.00					0	0.00			Excluded		4	
		TOTAL		303	45.56					283	42.56					37	5.56					42	6.32					665	
	SIXTH			18	48.65					5	13.51						Excluded					14	37.84					37	
		TOTAL		321	48.27					288	43.31											56	8.42					665	
	SEVENTH			40	71.43					16	28.57												Excluded					56	
		TOTAL		361	54.29					304	45.71																	665	
										Elected																			
																													
Winston Heights                                                																													
	FIRST			475	30.14		8	0.51		910	57.74		27	1.71		66	4.19		2	0.13		52	3.30		36	2.28		1576	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		2	
		TOTAL		475	30.14		8	0.51		910	57.74		27	1.71		66	4.19					53	3.36		37	2.35		1576	
	THIRD			3	37.50			Excluded		0	0.00		0	0.00		5	62.50					0	0.00		0	0.00		8	
		TOTAL		478	30.33					910	57.74		27	1.71		71	4.51					53	3.36		37	2.35		1576	
	FOURTH			0	0.00					24	88.89			Excluded		1	3.70					2	7.41		0	0.00		27	
		TOTAL		478	30.33					934	59.26					72	4.57					55	3.49		37	2.35		1576	
	FIFTH			7	18.92					14	37.84					5	13.51					11	29.73			Excluded		37	
		TOTAL		485	30.77					948	60.15					77	4.89					66	4.19					1576	
	SIXTH			27	35.06					17	22.08						Excluded					33	42.86					77	
		TOTAL		512	32.49					965	61.23											99	6.28					1576	
	SEVENTH			69	69.70					30	30.30												Excluded					99	
		TOTAL		581	36.87					995	63.13																	1576	
										Elected																			
																													
Winston Hills                                                  																													
	FIRST			942	28.47		17	0.51		1985	59.99		47	1.42		125	3.78		8	0.24		99	2.99		86	2.60		3309	
	SECOND			1	12.50		0	0.00		2	25.00		2	25.00		0	0.00			Excluded		2	25.00		1	12.50		8	
		TOTAL		943	28.50		17	0.51		1987	60.05		49	1.48		125	3.78					101	3.05		87	2.63		3309	
	THIRD			7	41.18			Excluded		5	29.41		0	0.00		5	29.41					0	0.00		0	0.00		17	
		TOTAL		950	28.71					1992	60.20		49	1.48		130	3.93					101	3.05		87	2.63		3309	
	FOURTH			6	12.24					36	73.47			Excluded		4	8.16					3	6.12		0	0.00		49	
		TOTAL		956	28.89					2028	61.29					134	4.05					104	3.14		87	2.63		3309	
	FIFTH			14	16.09					42	48.28					4	4.60					27	31.03			Excluded		87	
		TOTAL		970	29.31					2070	62.56					138	4.17					131	3.96					3309	
	SIXTH			43	31.16					18	13.04						Excluded					77	55.80					138	
		TOTAL		1013	30.61					2088	63.10											208	6.29					3309	
	SEVENTH			144	69.23					64	30.77												Excluded					208	
		TOTAL		1157	34.97					2152	65.03																	3309	
										Elected																			
																													
Winston Hills South                                            																													
	FIRST			132	35.58		0	0.00		192	51.75		5	1.35		12	3.23		1	0.27		20	5.39		9	2.43		371	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		133	35.85		0	0.00		192	51.75		5	1.35		12	3.23					20	5.39		9	2.43		371	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		133	35.85					192	51.75		5	1.35		12	3.23					20	5.39		9	2.43		371	
	FOURTH			0	0.00					2	40.00			Excluded		2	40.00					1	20.00		0	0.00		5	
		TOTAL		133	35.85					194	52.29					14	3.77					21	5.66		9	2.43		371	
	FIFTH			1	11.11					6	66.67					0	0.00					2	22.22			Excluded		9	
		TOTAL		134	36.12					200	53.91					14	3.77					23	6.20					371	
	SIXTH			6	42.86					1	7.14						Excluded					7	50.00					14	
		TOTAL		140	37.74					201	54.18											30	8.09					371	
	SEVENTH			23	76.67					7	23.33												Excluded					30	
		TOTAL		163	43.94					208	56.06																	371	
										Elected																			
																													
Woodberry Village                                              																													
	FIRST			85	23.68		2	0.56		237	66.02		4	1.11		7	1.95		0	0.00		11	3.06		13	3.62		359	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		85	23.68		2	0.56		237	66.02		4	1.11		7	1.95					11	3.06		13	3.62		359	
	THIRD			2	100.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		2	
		TOTAL		87	24.23					237	66.02		4	1.11		7	1.95					11	3.06		13	3.62		359	
	FOURTH			1	25.00					3	75.00			Excluded		0	0.00					0	0.00		0	0.00		4	
		TOTAL		88	24.51					240	66.85					7	1.95					11	3.06		13	3.62		359	
	FIFTH			4	30.77					4	30.77					0	0.00					5	38.46			Excluded		13	
		TOTAL		92	25.63					244	67.97					7	1.95					16	4.46					359	
	SIXTH			3	42.86					4	57.14						Excluded					0	0.00					7	
		TOTAL		95	26.46					248	69.08											16	4.46					359	
	SEVENTH			9	56.25					7	43.75												Excluded					16	
		TOTAL		104	28.97					255	71.03																	359	
										Elected																			
																													
Yates Avenue                                                   																													
	FIRST			800	41.09		14	0.72		876	44.99		12	0.62		71	3.65		2	0.10		59	3.03		113	5.80		1947	
	SECOND			1	50.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		801	41.14		14	0.72		877	45.04		12	0.62		71	3.65					59	3.03		113	5.80		1947	
	THIRD			4	28.57			Excluded		3	21.43		0	0.00		6	42.86					1	7.14		0	0.00		14	
		TOTAL		805	41.35					880	45.20		12	0.62		77	3.95					60	3.08		113	5.80		1947	
	FOURTH			2	16.67					7	58.33			Excluded		2	16.67					0	0.00		1	8.33		12	
		TOTAL		807	41.45					887	45.56					79	4.06					60	3.08		114	5.86		1947	
	FIFTH			16	14.04					29	25.44					2	1.75					67	58.77			Excluded		114	
		TOTAL		823	42.27					916	47.05					81	4.16					127	6.52					1947	
	SIXTH			15	18.52					17	20.99						Excluded					49	60.49					81	
		TOTAL		838	43.04					933	47.92											176	9.04					1947	
	SEVENTH			93	52.84					83	47.16												Excluded					176	
		TOTAL		931	47.82					1016	52.18																	1947	
										Elected																			
																													
Special Hospital Team 1                                        																													
	FIRST			35	48.61		0	0.00		36	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.39		72	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		35	48.61		0	0.00		36	50.00		0	0.00		0	0.00					0	0.00		1	1.39		72	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		35	48.61					36	50.00		0	0.00		0	0.00					0	0.00		1	1.39		72	
	FOURTH			0	0.00					0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	
		TOTAL		35	48.61					36	50.00					0	0.00					0	0.00		1	1.39		72	
	FIFTH			0	0.00					1	100.00					0	0.00					0	0.00			Excluded		1	
		TOTAL		35	48.61					37	51.39					0	0.00					0	0.00					72	
	SIXTH			0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL		35	48.61					37	51.39											0	0.00					72	
	SEVENTH			0	0.00					0	0.00												Excluded					0	
		TOTAL		35	48.61					37	51.39																	72	
										Elected																			
																													
Special Hospital Team 2                                        																													
	FIRST			30	30.30		0	0.00		63	63.64		4	4.04		1	1.01		0	0.00		0	0.00		1	1.01		99	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		30	30.30		0	0.00		63	63.64		4	4.04		1	1.01					0	0.00		1	1.01		99	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		30	30.30					63	63.64		4	4.04		1	1.01					0	0.00		1	1.01		99	
	FOURTH			1	25.00					2	50.00			Excluded		1	25.00					0	0.00		0	0.00		4	
		TOTAL		31	31.31					65	65.66					2	2.02					0	0.00		1	1.01		99	
	FIFTH			0	0.00					1	100.00					0	0.00					0	0.00			Excluded		1	
		TOTAL		31	31.31					66	66.67					2	2.02					0	0.00					99	
	SIXTH			0	0.00					1	50.00						Excluded					1	50.00					2	
		TOTAL		31	31.31					67	67.68											1	1.01					99	
	SEVENTH			1	100.00					0	0.00												Excluded					1	
		TOTAL		32	32.32					67	67.68																	99	
										Elected																			
																													
Special Hospital Team 3                                        																													
	FIRST			48	38.40		0	0.00		76	60.80		0	0.00		0	0.00		0	0.00		0	0.00		1	0.80		125	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		48	38.40		0	0.00		76	60.80		0	0.00		0	0.00					0	0.00		1	0.80		125	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		48	38.40					76	60.80		0	0.00		0	0.00					0	0.00		1	0.80		125	
	FOURTH			0	0.00					0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	
		TOTAL		48	38.40					76	60.80					0	0.00					0	0.00		1	0.80		125	
	FIFTH			0	0.00					1	100.00					0	0.00					0	0.00			Excluded		1	
		TOTAL		48	38.40					77	61.60					0	0.00					0	0.00					125	
	SIXTH			0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL		48	38.40					77	61.60											0	0.00					125	
	SEVENTH			0	0.00					0	0.00												Excluded					0	
		TOTAL		48	38.40					77	61.60																	125	
										Elected																			
																													
Prison Mobile Team 1                                           																													
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	
	FOURTH			0	0.00					0	0.00			Excluded		0	0.00					0	0.00		0	0.00		0	
		TOTAL		0	0.00					0	0.00					0	0.00					0	0.00		0	0.00		0	
	FIFTH			0	0.00					0	0.00					0	0.00					0	0.00			Excluded		0	
		TOTAL		0	0.00					0	0.00					0	0.00					0	0.00					0	
	SIXTH			0	0.00					0	0.00						Excluded					0	0.00					0	
		TOTAL		0	0.00					0	0.00											0	0.00					0	
	SEVENTH			0	0.00					0	0.00												Excluded					0	
		TOTAL		0	0.00					0	0.00																	0	
										Elected																			
																													
ABSENT																													
	FIRST			2220	36.25		92	1.50		2706	44.19		144	2.35		340	5.55		25	0.41		316	5.16		281	4.59		6124	
	SECOND			6	24.00		4	16.00		7	28.00		0	0.00		4	16.00			Excluded		2	8.00		2	8.00		25	
		TOTAL		2226	36.35		96	1.57		2713	44.30		144	2.35		344	5.62					318	5.19		283	4.62		6124	
	THIRD			47	48.96			Excluded		25	26.04		10	10.42		8	8.33					4	4.17		2	2.08		96	
		TOTAL		2273	37.12					2738	44.71		154	2.51		352	5.75					322	5.26		285	4.65		6124	
	FOURTH			30	19.48					68	44.16			Excluded		32	20.78					16	10.39		8	5.19		154	
		TOTAL		2303	37.61					2806	45.82					384	6.27					338	5.52		293	4.78		6124	
	FIFTH			79	26.96					93	31.74					26	8.87					95	32.42			Excluded		293	
		TOTAL		2382	38.90					2899	47.34					410	6.69					433	7.07					6124	
	SIXTH			121	29.51					100	24.39						Excluded					189	46.10					410	
		TOTAL		2503	40.87					2999	48.97											622	10.16					6124	
	SEVENTH			375	60.29					247	39.71												Excluded					622	
		TOTAL		2878	47.00					3246	53.00																	6124	
										Elected																			
																													
POSTAL																													
	FIRST			1634	41.46		43	1.09		1955	49.61		45	1.14		84	2.13		7	0.18		46	1.17		127	3.22		3941	
	SECOND			2	28.57		0	0.00		3	42.86		0	0.00		2	28.57			Excluded		0	0.00		0	0.00		7	
		TOTAL		1636	41.51		43	1.09		1958	49.68		45	1.14		86	2.18					46	1.17		127	3.22		3941	
	THIRD			26	60.47			Excluded		5	11.63		3	6.98		5	11.63					3	6.98		1	2.33		43	
		TOTAL		1662	42.17					1963	49.81		48	1.22		91	2.31					49	1.24		128	3.25		3941	
	FOURTH			9	18.75					23	47.92			Excluded		4	8.33					8	16.67		4	8.33		48	
		TOTAL		1671	42.40					1986	50.39					95	2.41					57	1.45		132	3.35		3941	
	FIFTH			31	23.48					67	50.76					13	9.85					21	15.91			Excluded		132	
		TOTAL		1702	43.19					2053	52.09					108	2.74					78	1.98					3941	
	SIXTH			38	35.19					27	25.00						Excluded					43	39.81					108	
		TOTAL		1740	44.15					2080	52.78											121	3.07					3941	
	SEVENTH			91	75.21					30	24.79												Excluded					121	
		TOTAL		1831	46.46					2110	53.54																	3941	
										Elected																			
																													
PRE POLL																													
