House of Representatives - 2001 Election: New South Wales																										
Distribution of Preferences																										
By Polling Place																										
																										
Shortland																										
				PERREM			CANDLISH			HALL			CRAIG			ADAMS			LAMBERT			GARDNIR				
		TOTAL		216	29.51					516	70.49														732	
										Elected																
																										
Redhead                                                        																										
	FIRST			566	30.03		97	5.15		934	49.55		52	2.76		86	4.56		140	7.43		10	0.53		1885	
	SECOND			0	0.00		1	10.00		2	20.00		3	30.00		0	0.00		4	40.00			Excluded		10	
		TOTAL		566	30.03		98	5.20		936	49.66		55	2.92		86	4.56		144	7.64					1885	
	THIRD			33	60.00		2	3.64		7	12.73			Excluded		7	12.73		6	10.91					55	
		TOTAL		599	31.78		100	5.31		943	50.03					93	4.93		150	7.96					1885	
	FOURTH			13	13.98		4	4.30		24	25.81						Excluded		52	55.91					93	
		TOTAL		612	32.47		104	5.52		967	51.30								202	10.72					1885	
	FIFTH			33	31.73			Excluded		41	39.42								30	28.85					104	
		TOTAL		645	34.22					1008	53.47								232	12.31					1885	
	SIXTH			57	24.57					175	75.43									Excluded					232	
		TOTAL		702	37.24					1183	62.76														1885	
										Elected																
																										
San Remo                                                       																										
	FIRST			595	30.39		117	5.98		1062	54.24		72	3.68		40	2.04		53	2.71		19	0.97		1958	
	SECOND			2	10.53		1	5.26		2	10.53		5	26.32		3	15.79		6	31.58			Excluded		19	
		TOTAL		597	30.49		118	6.03		1064	54.34		77	3.93		43	2.20		59	3.01					1958	
	THIRD			49	63.64		9	11.69		4	5.19			Excluded		4	5.19		11	14.29					77	
		TOTAL		646	32.99		127	6.49		1068	54.55					47	2.40		70	3.58					1958	
	FOURTH			4	8.51		4	8.51		17	36.17						Excluded		22	46.81					47	
		TOTAL		650	33.20		131	6.69		1085	55.41								92	4.70					1958	
	FIFTH			35	26.72			Excluded		53	40.46								43	32.82					131	
		TOTAL		685	34.98					1138	58.12								135	6.89					1958	
	SIXTH			42	31.11					93	68.89									Excluded					135	
		TOTAL		727	37.13					1231	62.87														1958	
										Elected																
																										
Summerland Point                                               																										
	FIRST			436	42.62		54	5.28		455	44.48		26	2.54		18	1.76		27	2.64		7	0.68		1023	
	SECOND			1	14.29		0	0.00		3	42.86		2	28.57		0	0.00		1	14.29			Excluded		7	
		TOTAL		437	42.72		54	5.28		458	44.77		28	2.74		18	1.76		28	2.74					1023	
	THIRD			13	46.43		1	3.57		6	21.43			Excluded		4	14.29		4	14.29					28	
		TOTAL		450	43.99		55	5.38		464	45.36					22	2.15		32	3.13					1023	
	FOURTH			5	22.73		2	9.09		7	31.82						Excluded		8	36.36					22	
		TOTAL		455	44.48		57	5.57		471	46.04								40	3.91					1023	
	FIFTH			25	43.86			Excluded		19	33.33								13	22.81					57	
		TOTAL		480	46.92					490	47.90								53	5.18					1023	
	SIXTH			14	26.42					39	73.58									Excluded					53	
		TOTAL		494	48.29					529	51.71														1023	
										Elected																
																										
Swansea                                                        																										
	FIRST			488	22.09		100	4.53		1424	64.46		71	3.21		24	1.09		75	3.40		27	1.22		2209	
	SECOND			0	0.00		6	22.22		3	11.11		5	18.52		4	14.81		9	33.33			Excluded		27	
		TOTAL		488	22.09		106	4.80		1427	64.60		76	3.44		28	1.27		84	3.80					2209	
	THIRD			51	67.11		6	7.89		8	10.53			Excluded		3	3.95		8	10.53					76	
		TOTAL		539	24.40		112	5.07		1435	64.96					31	1.40		92	4.16					2209	
	FOURTH			3	9.68		1	3.23		15	48.39						Excluded		12	38.71					31	
		TOTAL		542	24.54		113	5.12		1450	65.64								104	4.71					2209	
	FIFTH			41	36.28			Excluded		52	46.02								20	17.70					113	
		TOTAL		583	26.39					1502	67.99								124	5.61					2209	
	SIXTH			33	26.61					91	73.39									Excluded					124	
		TOTAL		616	27.89					1593	72.11														2209	
										Elected																
																										
Swansea Central                                                																										
	FIRST			132	24.26		17	3.13		350	64.34		19	3.49		11	2.02		9	1.65		6	1.10		544	
	SECOND			1	16.67		1	16.67		1	16.67		3	50.00		0	0.00		0	0.00			Excluded		6	
		TOTAL		133	24.45		18	3.31		351	64.52		22	4.04		11	2.02		9	1.65					544	
	THIRD			15	68.18		3	13.64		0	0.00			Excluded		1	4.55		3	13.64					22	
		TOTAL		148	27.21		21	3.86		351	64.52					12	2.21		12	2.21					544	
	FOURTH			1	8.33		0	0.00		5	41.67						Excluded		6	50.00					12	
		TOTAL		149	27.39		21	3.86		356	65.44								18	3.31					544	
	FIFTH			7	33.33			Excluded		7	33.33								7	33.33					21	
		TOTAL		156	28.68					363	66.73								25	4.60					544	
	SIXTH			8	32.00					17	68.00									Excluded					25	
		TOTAL		164	30.15					380	69.85														544	
										Elected																
																										
Sydney (Shortland)                                             																										
	FIRST			18	42.86		1	2.38		18	42.86		0	0.00		2	4.76		3	7.14		0	0.00		42	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		18	42.86		1	2.38		18	42.86		0	0.00		2	4.76		3	7.14					42	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	
		TOTAL		18	42.86		1	2.38		18	42.86					2	4.76		3	7.14					42	
	FOURTH			2	100.00		0	0.00		0	0.00						Excluded		0	0.00					2	
		TOTAL		20	47.62		1	2.38		18	42.86								3	7.14					42	
	FIFTH			0	0.00			Excluded		1	100.00								0	0.00					1	
		TOTAL		20	47.62					19	45.24								3	7.14					42	
	SIXTH			1	33.33					2	66.67									Excluded					3	
		TOTAL		21	50.00					21	50.00														42	
										Elected																
																										
Tingira Heights                                                																										
	FIRST			441	45.05		47	4.80		387	39.53		37	3.78		28	2.86		31	3.17		8	0.82		979	
	SECOND			1	12.50		0	0.00		2	25.00		2	25.00		0	0.00		3	37.50			Excluded		8	
		TOTAL		442	45.15		47	4.80		389	39.73		39	3.98		28	2.86		34	3.47					979	
	THIRD			27	69.23		2	5.13		3	7.69			Excluded		3	7.69		4	10.26					39	
		TOTAL		469	47.91		49	5.01		392	40.04					31	3.17		38	3.88					979	
	FOURTH			5	16.13		1	3.23		11	35.48						Excluded		14	45.16					31	
		TOTAL		474	48.42		50	5.11		403	41.16								52	5.31					979	
	FIFTH			21	42.00			Excluded		16	32.00								13	26.00					50	
		TOTAL		495	50.56					419	42.80								65	6.64					979	
	SIXTH			18	27.69					47	72.31									Excluded					65	
		TOTAL		513	52.40					466	47.60														979	
										Elected																
																										
Toukley                                                        																										
	FIRST			567	41.88		58	4.28		655	48.38		23	1.70		14	1.03		19	1.40		18	1.33		1354	
	SECOND			3	16.67		0	0.00		3	16.67		6	33.33		0	0.00		6	33.33			Excluded		18	
		TOTAL		570	42.10		58	4.28		658	48.60		29	2.14		14	1.03		25	1.85					1354	
	THIRD			14	48.28		2	6.90		9	31.03			Excluded		3	10.34		1	3.45					29	
		TOTAL		584	43.13		60	4.43		667	49.26					17	1.26		26	1.92					1354	
	FOURTH			3	17.65		0	0.00		6	35.29						Excluded		8	47.06					17	
		TOTAL		587	43.35		60	4.43		673	49.70								34	2.51					1354	
	FIFTH			34	56.67			Excluded		13	21.67								13	21.67					60	
		TOTAL		621	45.86					686	50.66								47	3.47					1354	
	SIXTH			10	21.28					37	78.72									Excluded					47	
		TOTAL		631	46.60					723	53.40														1354	
										Elected																
																										
Toukley East                                                   																										
	FIRST			791	36.28		91	4.17		1068	48.99		36	1.65		71	3.26		105	4.82		18	0.83		2180	
	SECOND			1	5.56		0	0.00		5	27.78		3	16.67		5	27.78		4	22.22			Excluded		18	
		TOTAL		792	36.33		91	4.17		1073	49.22		39	1.79		76	3.49		109	5.00					2180	
	THIRD			18	46.15		4	10.26		6	15.38			Excluded		5	12.82		6	15.38					39	
		TOTAL		810	37.16		95	4.36		1079	49.50					81	3.72		115	5.28					2180	
	FOURTH			8	9.88		4	4.94		25	30.86						Excluded		44	54.32					81	
		TOTAL		818	37.52		99	4.54		1104	50.64								159	7.29					2180	
	FIFTH			27	27.27			Excluded		38	38.38								34	34.34					99	
		TOTAL		845	38.76					1142	52.39								193	8.85					2180	
	SIXTH			52	26.94					141	73.06									Excluded					193	
		TOTAL		897	41.15					1283	58.85														2180	
										Elected																
																										
Valentine                                                      																										
	FIRST			1518	47.03		89	2.76		1155	35.78		175	5.42		141	4.37		132	4.09		18	0.56		3228	
	SECOND			4	22.22		3	16.67		4	22.22		6	33.33		0	0.00		1	5.56			Excluded		18	
		TOTAL		1522	47.15		92	2.85		1159	35.90		181	5.61		141	4.37		133	4.12					3228	
	THIRD			112	61.88		10	5.52		26	14.36			Excluded		16	8.84		17	9.39					181	
		TOTAL		1634	50.62		102	3.16		1185	36.71					157	4.86		150	4.65					3228	
	FOURTH			25	15.92		8	5.10		47	29.94						Excluded		77	49.04					157	
		TOTAL		1659	51.39		110	3.41		1232	38.17								227	7.03					3228	
	FIFTH			48	43.64			Excluded		35	31.82								27	24.55					110	
		TOTAL		1707	52.88					1267	39.25								254	7.87					3228	
	SIXTH			78	30.71					176	69.29									Excluded					254	
		TOTAL		1785	55.30					1443	44.70														3228	
										Elected																
																										
Whitebridge                                                    																										
	FIRST			338	31.86		71	6.69		498	46.94		56	5.28		43	4.05		50	4.71		5	0.47		1061	
	SECOND			1	20.00		0	0.00		1	20.00		1	20.00		1	20.00		1	20.00			Excluded		5	
		TOTAL		339	31.95		71	6.69		499	47.03		57	5.37		44	4.15		51	4.81					1061	
	THIRD			41	71.93		2	3.51		6	10.53			Excluded		3	5.26		5	8.77					57	
		TOTAL		380	35.82		73	6.88		505	47.60					47	4.43		56	5.28					1061	
	FOURTH			8	17.02		3	6.38		16	34.04						Excluded		20	42.55					47	
		TOTAL		388	36.57		76	7.16		521	49.10								76	7.16					1061	
	FIFTH			45	59.21			Excluded		21	27.63								10	13.16					76	
		TOTAL		433	40.81					542	51.08								86	8.11					1061	
	SIXTH			20	23.26					66	76.74									Excluded					86	
		TOTAL		453	42.70					608	57.30														1061	
										Elected																
																										
Windale                                                        																										
	FIRST			312	14.36		79	3.64		1592	73.30		60	2.76		34	1.57		84	3.87		11	0.51		2172	
	SECOND			1	9.09		1	9.09		1	9.09		4	36.36		0	0.00		4	36.36			Excluded		11	
		TOTAL		313	14.41		80	3.68		1593	73.34		64	2.95		34	1.57		88	4.05					2172	
	THIRD			22	34.38		8	12.50		16	25.00			Excluded		6	9.38		12	18.75					64	
		TOTAL		335	15.42		88	4.05		1609	74.08					40	1.84		100	4.60					2172	
	FOURTH			3	7.50		5	12.50		15	37.50						Excluded		17	42.50					40	
		TOTAL		338	15.56		93	4.28		1624	74.77								117	5.39					2172	
	FIFTH			22	23.66			Excluded		38	40.86								33	35.48					93	
		TOTAL		360	16.57					1662	76.52								150	6.91					2172	
	SIXTH			34	22.67					116	77.33									Excluded					150	
		TOTAL		394	18.14					1778	81.86														2172	
										Elected																
																										
Special Hospital Team 1                                        																										
	FIRST			10	41.67		2	8.33		10	41.67		0	0.00		1	4.17		1	4.17		0	0.00		24	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		10	41.67		2	8.33		10	41.67		0	0.00		1	4.17		1	4.17					24	
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00					0	
		TOTAL		10	41.67		2	8.33		10	41.67					1	4.17		1	4.17					24	
	FOURTH			0	0.00		0	0.00		1	100.00						Excluded		0	0.00					1	
		TOTAL		10	41.67		2	8.33		11	45.83								1	4.17					24	
	FIFTH			0	0.00			Excluded		2	100.00								0	0.00					2	
		TOTAL		10	41.67					13	54.17								1	4.17					24	
	SIXTH			0	0.00					1	100.00									Excluded					1	
		TOTAL		10	41.67					14	58.33														24	
										Elected																
																										
ABSENT																										
	FIRST			1683	34.44		311	6.36		2129	43.56		111	2.27		264	5.40		326	6.67		63	1.29		4887	
	SECOND			8	12.70		5	7.94		2	3.17		20	31.75		9	14.29		19	30.16			Excluded		63	
		TOTAL		1691	34.60		316	6.47		2131	43.61		131	2.68		273	5.59		345	7.06					4887	
	THIRD			23	17.56		25	19.08		37	28.24			Excluded		17	12.98		29	22.14					131	
		TOTAL		1714	35.07		341	6.98		2168	44.36					290	5.93		374	7.65					4887	
	FOURTH			54	18.62		16	5.52		90	31.03						Excluded		130	44.83					290	
		TOTAL		1768	36.18		357	7.31		2258	46.20								504	10.31					4887	
	FIFTH			136	38.10			Excluded		126	35.29								95	26.61					357	
		TOTAL		1904	38.96					2384	48.78								599	12.26					4887	
	SIXTH			201	33.56					398	66.44									Excluded					599	
		TOTAL		2105	43.07					2782	56.93														4887	
										Elected																
																										
POSTAL																										
	FIRST			1312	40.23		158	4.85		1607	49.28		27	0.83		86	2.64		56	1.72		15	0.46		3261	
	SECOND			4	26.67		0	0.00		1	6.67		8	53.33		1	6.67		1	6.67			Excluded		15	
		TOTAL		1316	40.36		158	4.85		1608	49.31		35	1.07		87	2.67		57	1.75					3261	
	THIRD			10	28.57		0	0.00		10	28.57			Excluded		8	22.86		7	20.00					35	
		TOTAL		1326	40.66		158	4.85		1618	49.62					95	2.91		64	1.96					3261	
	FOURTH			19	20.00		5	5.26		30	31.58						Excluded		41	43.16					95	
		TOTAL		1345	41.25		163	5.00		1648	50.54								105	3.22					3261	
	FIFTH			66	40.49			Excluded		51	31.29								46	28.22					163	
		TOTAL		1411	43.27					1699	52.10								151	4.63					3261	
	SIXTH			53	35.10					98	64.90									Excluded					151	
		TOTAL		1464	44.89					1797	55.11														3261	
										Elected																
																										
PRE POLL																										
	FIRST			1580	38.56		203	4.95		1902	46.42		106	2.59		144	3.51		133	3.25		29	0.71		4097	
	SECOND			4	13.79		4	13.79		4	13.79		5	17.24		5	17.24		7	24.14			Excluded		29	
		TOTAL		1584	38.66		207	5.05		1906	46.52		111	2.71		149	3.64		140	3.42					4097	
	THIRD			50	45.05		13	11.71		24	21.62			Excluded		11	9.91		13	11.71					111	
		TOTAL		1634	39.88		220	5.37		1930	47.11					160	3.91		153	3.73					4097	
	FOURTH			25	15.63		11	6.88		60	37.50						Excluded		64	40.00					160	
		TOTAL		1659	40.49		231	5.64		1990	48.57								217	5.30					4097	
	FIFTH			96	41.56			Excluded		85	36.80								50	21.65					231	
		TOTAL		1755	42.84					2075	50.65								267	6.52					4097	
	SIXTH			88	32.96					179	67.04									Excluded					267	
		TOTAL		1843	44.98					2254	55.02														4097	
										Elected																
																										
PROVISIONAL																										
	FIRST			144	26.33		20	3.66		311	56.86		10	1.83		20	3.66		37	6.76		5	0.91		547	
	SECOND			0	0.00		0	0.00		0	0.00		2	40.00		0	0.00		3	60.00			Excluded		5	
		TOTAL		144	26.33		20	3.66		311	56.86		12	2.19		20	3.66		40	7.31					547	
	THIRD			2	16.67		2	16.67		3	25.00			Excluded		1	8.33		4	33.33					12	
		TOTAL		146	26.69		22	4.02		314	57.40					21	3.84		44	8.04					547	
	FOURTH			2	9.52		0	0.00		8	38.10						Excluded		11	52.38					21	
		TOTAL		148	27.06		22	4.02		322	58.87								55	10.05					547	
	FIFTH			8	36.36			Excluded		6	27.27								8	36.36					22	
		TOTAL		156	28.52					328	59.96								63	11.52					547	
	SIXTH			16	25.40					47	74.60									Excluded					63	
		TOTAL		172	31.44					375	68.56														547	
										Elected																
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
