House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Calare (85310)											
		Candidate		"ANDREN, Peter"		              	"SHEARING, Dave"		             	Total	
		"SIMPSON, David (CEC)"	12	9	75.00		3	25.00		12	
		"NIXON, Terry (HAN)"	101	73	72.28		28	27.72		101	
		"KNOWLES, Kath (CLR)"	396	329	83.08		67	16.92		396	
		Total	576	1329	69.69		578	30.31		1907	

	Orange										
			1st Prefs	1173	64.70		640	35.30		1813	
		"MARSHALL, Don (DEM)"	26	23	88.46		3	11.54		26	
		"WATTS, Ian (GRN)"	42	37	88.10		5	11.90		42	
		"SIMPSON, David (CEC)"	12	9	75.00		3	25.00		12	
		"NIXON, Terry (HAN)"	63	37	58.73		26	41.27		63	
		"KNOWLES, Kath (CLR)"	348	297	85.34		51	14.66		348	
		Total	491	1576	68.40		728	31.60		2304	

	Orange East										
			1st Prefs	933	74.17		325	25.83		1258	
		"MARSHALL, Don (DEM)"	33	26	78.79		7	21.21		33	
		"WATTS, Ian (GRN)"	40	36	90.00		4	10.00		40	
		"SIMPSON, David (CEC)"	9	6	66.67		3	33.33		9	
		"NIXON, Terry (HAN)"	67	48	71.64		19	28.36		67	
		"KNOWLES, Kath (CLR)"	317	280	88.33		37	11.67		317	
		Total	466	1329	77.09		395	22.91		1724	

	Orange Hospital										
			1st Prefs	272	67.83		129	32.17		401	
		"MARSHALL, Don (DEM)"	6	5	83.33		1	16.67		6	
		"WATTS, Ian (GRN)"	18	15	83.33		3	16.67		18	
		"SIMPSON, David (CEC)"	4	2	50.00		2	50.00		4	
		"NIXON, Terry (HAN)"	17	10	58.82		7	41.18		17	
		"KNOWLES, Kath (CLR)"	106	97	91.51		9	8.49		106	
		Total	151	401	72.64		151	27.36		552	

	Orange North										
			1st Prefs	449	65.84		233	34.16		682	
		"MARSHALL, Don (DEM)"	17	13	76.47		4	23.53		17	
		"WATTS, Ian (GRN)"	23	19	82.61		4	17.39		23	
		"SIMPSON, David (CEC)"	5	2	40.00		3	60.00		5	
		"NIXON, Terry (HAN)"	27	16	59.26		11	40.74		27	
		"KNOWLES, Kath (CLR)"	130	112	86.15		18	13.85		130	
		Total	202	611	69.12		273	30.88		884	

	Orange South										
			1st Prefs	959	71.57		381	28.43		1340	
		"MARSHALL, Don (DEM)"	18	15	83.33		3	16.67		18	
		"WATTS, Ian (GRN)"	30	27	90.00		3	10.00		30	
		"SIMPSON, David (CEC)"	4	2	50.00		2	50.00		4	
		"NIXON, Terry (HAN)"	64	38	59.38		26	40.63		64	
		"KNOWLES, Kath (CLR)"	253	220	86.96		33	13.04		253	
		Total	369	1261	73.79		448	26.21		1709	

	Orange West										
			1st Prefs	1429	61.25		904	38.75		2333	
		"MARSHALL, Don (DEM)"	34	23	67.65		11	32.35		34	
		"WATTS, Ian (GRN)"	71	63	88.73		8	11.27		71	
		"SIMPSON, David (CEC)"	5	3	60.00		2	40.00		5	
		"NIXON, Terry (HAN)"	83	53	63.86		30	36.14		83	
		"KNOWLES, Kath (CLR)"	346	298	86.13		48	13.87		346	
		Total	539	1869	65.08		1003	34.92		2872	

	Peel										
			1st Prefs	66	71.74		26	28.26		92	
		"MARSHALL, Don (DEM)"	1	1	100.00		0	0.00		1	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	7	6	85.71		1	14.29		7	
		"KNOWLES, Kath (CLR)"	8	8	100.00		0	0.00		8	
		Total	20	85	75.89		27	24.11		112	

	Perthville										
			1st Prefs	275	70.51		115	29.49		390	
		"MARSHALL, Don (DEM)"	4	3	75.00		1	25.00		4	
		"WATTS, Ian (GRN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	36	27	75.00		9	25.00		36	
		"KNOWLES, Kath (CLR)"	61	54	88.52		7	11.48		61	
		Total	105	363	73.33		132	26.67		495	

	Portland										
			1st Prefs	612	88.70		78	11.30		690	
		"MARSHALL, Don (DEM)"	9	7	77.78		2	22.22		9	
		"WATTS, Ian (GRN)"	8	6	75.00		2	25.00		8	
		"SIMPSON, David (CEC)"	10	9	90.00		1	10.00		10	
		"NIXON, Terry (HAN)"	33	26	78.79		7	21.21		33	
		"KNOWLES, Kath (CLR)"	474	440	92.83		34	7.17		474	
		Total	534	1100	89.87		124	10.13		1224	

	Raglan										
			1st Prefs	459	79.14		121	20.86		580	
		"MARSHALL, Don (DEM)"	15	12	80.00		3	20.00		15	
		"WATTS, Ian (GRN)"	8	7	87.50		1	12.50		8	
		"SIMPSON, David (CEC)"	6	6	100.00		0	0.00		6	
		"NIXON, Terry (HAN)"	33	25	75.76		8	24.24		33	
		"KNOWLES, Kath (CLR)"	176	161	91.48		15	8.52		176	
		Total	238	670	81.91		148	18.09		818	

	Rockley										
			1st Prefs	118	70.24		50	29.76		168	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	20	15	75.00		5	25.00		20	
		"KNOWLES, Kath (CLR)"	51	46	90.20		5	9.80		51	
		Total	75	183	75.31		60	24.69		243	

	Rydal										
			1st Prefs	77	65.25		41	34.75		118	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	3	3	100.00		0	0.00		3	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	10	4	40.00		6	60.00		10	
		"KNOWLES, Kath (CLR)"	28	27	96.43		1	3.57		28	
		Total	43	113	70.19		48	29.81		161	

	Sofala										
			1st Prefs	55	77.46		16	22.54		71	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	4	3	75.00		1	25.00		4	
		"KNOWLES, Kath (CLR)"	13	13	100.00		0	0.00		13	
		Total	17	71	80.68		17	19.32		88	

	Spring Hill										
			1st Prefs	118	63.44		68	36.56		186	
		"MARSHALL, Don (DEM)"	3	3	100.00		0	0.00		3	
		"WATTS, Ian (GRN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	8	5	62.50		3	37.50		8	
		"KNOWLES, Kath (CLR)"	22	19	86.36		3	13.64		22	
		Total	36	147	66.22		75	33.78		222	

	Spring Terrace										
			1st Prefs	124	59.90		83	40.10		207	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	3	2	66.67		1	33.33		3	
		"SIMPSON, David (CEC)"	2	2	100.00		0	0.00		2	
		"NIXON, Terry (HAN)"	19	14	73.68		5	26.32		19	
		"KNOWLES, Kath (CLR)"	22	18	81.82		4	18.18		22	
		Total	48	162	63.53		93	36.47		255	

	Sydney (Calare)										
			1st Prefs	17	68.00		8	32.00		25	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	2	1	50.00		1	50.00		2	
		"KNOWLES, Kath (CLR)"	5	5	100.00		0	0.00		5	
		Total	8	24	72.73		9	27.27		33	

	The Lagoon										
			1st Prefs	48	57.14		36	42.86		84	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	6	2	33.33		4	66.67		6	
		"KNOWLES, Kath (CLR)"	15	12	80.00		3	20.00		15	
		Total	23	63	58.88		44	41.12		107	

	Trunkey										
			1st Prefs	68	57.63		50	42.37		118	
		"MARSHALL, Don (DEM)"	1	0	0.00		1	100.00		1	
		"WATTS, Ian (GRN)"	2	1	50.00		1	50.00		2	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	5	5	100.00		0	0.00		5	
		"KNOWLES, Kath (CLR)"	15	14	93.33		1	6.67		15	
		Total	24	88	61.97		54	38.03		142	

	Tweed Mills										
			1st Prefs	382	87.02		57	12.98		439	
		"MARSHALL, Don (DEM)"	15	12	80.00		3	20.00		15	
		"WATTS, Ian (GRN)"	10	7	70.00		3	30.00		10	
		"SIMPSON, David (CEC)"	3	2	66.67		1	33.33		3	
		"NIXON, Terry (HAN)"	26	12	46.15		14	53.85		26	
		"KNOWLES, Kath (CLR)"	312	283	90.71		29	9.29		312	
		Total	366	698	86.71		107	13.29		805	

	Vale Of Clwydd										
			1st Prefs	353	86.73		54	13.27		407	
		"MARSHALL, Don (DEM)"	4	4	100.00		0	0.00		4	
		"WATTS, Ian (GRN)"	8	6	75.00		2	25.00		8	
		"SIMPSON, David (CEC)"	2	2	100.00		0	0.00		2	
		"NIXON, Terry (HAN)"	28	15	53.57		13	46.43		28	
		"KNOWLES, Kath (CLR)"	181	171	94.48		10	5.52		181	
		Total	223	551	87.46		79	12.54		630	

	Wallerawang										
			1st Prefs	644	85.19		112	14.81		756	
		"MARSHALL, Don (DEM)"	16	15	93.75		1	6.25		16	
		"WATTS, Ian (GRN)"	7	7	100.00		0	0.00		7	
		"SIMPSON, David (CEC)"	2	0	0.00		2	100.00		2	
		"NIXON, Terry (HAN)"	35	25	71.43		10	28.57		35	
		"KNOWLES, Kath (CLR)"	391	366	93.61		25	6.39		391	
		Total	451	1057	87.57		150	12.43		1207	

	Wattle Flat										
			1st Prefs	100	81.97		22	18.03		122	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	2	2	100.00		0	0.00		2	
		"SIMPSON, David (CEC)"	1	1	100.00		0	0.00		1	
		"NIXON, Terry (HAN)"	8	5	62.50		3	37.50		8	
		"KNOWLES, Kath (CLR)"	30	26	86.67		4	13.33		30	
		Total	41	134	82.21		29	17.79		163	

	Woodstock										
			1st Prefs	133	56.36		103	43.64		236	
		"MARSHALL, Don (DEM)"	5	5	100.00		0	0.00		5	
		"WATTS, Ian (GRN)"	1	1	100.00		0	0.00		1	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	26	23	88.46		3	11.54		26	
		"KNOWLES, Kath (CLR)"	69	58	84.06		11	15.94		69	
		Total	101	220	65.28		117	34.72		337	

	Wyangala Dam										
			1st Prefs	81	72.32		31	27.68		112	
		"MARSHALL, Don (DEM)"	3	3	100.00		0	0.00		3	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	7	5	71.43		2	28.57		7	
		"KNOWLES, Kath (CLR)"	32	28	87.50		4	12.50		32	
		Total	42	117	75.97		37	24.03		154	

	Yeoval										
			1st Prefs	142	54.20		120	45.80		262	
		"MARSHALL, Don (DEM)"	2	2	100.00		0	0.00		2	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	12	6	50.00		6	50.00		12	
		"KNOWLES, Kath (CLR)"	60	58	96.67		2	3.33		60	
		Total	75	208	61.72		129	38.28		337	

	Prison Mobiles										
			1st Prefs	0	0.00		1	100.00		1	
		"MARSHALL, Don (DEM)"	0	0	0.00		0	0.00		0	
		"WATTS, Ian (GRN)"	0	0	0.00		0	0.00		0	
		"SIMPSON, David (CEC)"	0	0	0.00		0	0.00		0	
		"NIXON, Terry (HAN)"	0	0	0.00		0	0.00		0	
		"KNOWLES, Kath (CLR)"	4	4	100.00		0	0.00		4	
		Total	4	4	80.00		1	20.00		5	

	Special Hospitals										
			1st Prefs	293	71.64		116	28.36		409	
		"MARSHALL, Don (DEM)"	27	26	96.30		1	3.70		27	
		"WATTS, Ian (GRN)"	5	4	80.00		1	20.00		5	
		"SIMPSON, David (CEC)"	5	3	60.00		2	40.00		5	
		"NIXON, Terry (HAN)"	5	2	40.00		3	60.00		5	
		"KNOWLES, Kath (CLR)"	105	80	76.19		25	23.81		105	
		Total	147	408	73.38		148	26.62		556	

	Total Ordinary										
			1st Prefs	34504	71.59		13695	28.41		48199	
		"MARSHALL, Don (DEM)"	902	740	82.04		162	17.96		902	
		"WATTS, Ian (GRN)"	947	792	83.63		155	16.37		947	
		"SIMPSON, David (CEC)"	256	162	63.28		94	36.72		256	
		"NIXON, Terry (HAN)"	2702	1809	66.95		893	33.05		2702	
		"KNOWLES, Kath (CLR)"	13935	12433	89.22		1502	10.78		13935	
		Total	18742	50440	75.35		16501	24.65		66941	

	ABSENT										
			1st Prefs	2099	69.43		924	30.57		3023	
		"MARSHALL, Don (DEM)"	153	118	77.12		35	22.88		153	
		"WATTS, Ian (GRN)"	141	116	82.27		25	17.73		141	
		"SIMPSON, David (CEC)"	33	18	54.55		15	45.45		33	
		"NIXON, Terry (HAN)"	199	126	63.32		73	36.68		199	
		"KNOWLES, Kath (CLR)"	742	575	77.49		167	22.51		742	
		Total	1268	3052	71.13		1239	28.87		4291	

	POSTAL										
			1st Prefs	1226	70.30		518	29.70		1744	
		"MARSHALL, Don (DEM)"	20	16	80.00		4	20.00		20	
		"WATTS, Ian (GRN)"	34	29	85.29		5	14.71		34	
		"SIMPSON, David (CEC)"	1	0	0.00		1	100.00		1	
		"NIXON, Terry (HAN)"	105	67	63.81		38	36.19		105	
		"KNOWLES, Kath (CLR)"	497	451	90.74		46	9.26		497	
		Total	657	1789	74.51		612	25.49		2401	

	PRE_POLL										
			1st Prefs	2605	70.90		1069	29.10		3674	
		"MARSHALL, Don (DEM)"	96	69	71.88		27	28.13		96	
		"WATTS, Ian (GRN)"	80	66	82.50		14	17.50		80	
		"SIMPSON, David (CEC)"	16	6	37.50		10	62.50		16	
		"NIXON, Terry (HAN)"	221	146	66.06		75	33.94		221	
		"KNOWLES, Kath (CLR)"	938	822	87.63		116	12.37		938	
		Total	1351	3714	73.91		1311	26.09		5025	

	PROVISIONAL										
			1st Prefs	352	80.92		83	19.08		435	
		"MARSHALL, Don (DEM)"	20	16	80.00		4	20.00		20	
		"WATTS, Ian (GRN)"	15	11	73.33		4	26.67		15	
		"SIMPSON, David (CEC)"	5	3	60.00		2	40.00		5	
		"NIXON, Terry (HAN)"	22	14	63.64		8	36.36		22	
		"KNOWLES, Kath (CLR)"	202	157	77.72		45	22.28		202	
		Total	264	553	79.11		146	20.89		699	

	Division Summary										
			1st Prefs	40786	71.46		16289	28.54		57075	
		"MARSHALL, Don (DEM)"	1191	959	80.52		232	19.48		1191	
		"WATTS, Ian (GRN)"	1217	1014	83.32		203	16.68		1217	
		"SIMPSON, David (CEC)"	311	189	60.77		122	39.23		311	
		"NIXON, Terry (HAN)"	3249	2162	66.54		1087	33.46		3249	
		"KNOWLES, Kath (CLR)"	16314	14438	88.50		1876	11.50		16314	
		Total	22282	59548	75.04		19809	24.96		79357	
