House of Representatives - 2001 Election: New South Wales																									
Distribution of Preferences 																									
By Polling Place																									
																									
Calare																									
				MARSHALL			WATTS			ANDREN			SIMPSON			SHEARING			NIXON			KNOWLES			
		TOTAL								1129	73.60					405	26.40								1534
										Elected															
																									
Eugowra                                                        																									
	FIRST			1	0.21		9	1.91		253	53.72		3	0.64		116	24.63		24	5.10		65	13.80		471
	SECOND			2	66.67		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		3
		TOTAL		3	0.64		9	1.91		253	53.72					116	24.63		24	5.10		66	14.01		471
	THIRD				Excluded		0	0.00		2	66.67					1	33.33		0	0.00		0	0.00		3
		TOTAL					9	1.91		255	54.14					117	24.84		24	5.10		66	14.01		471
	FOURTH							Excluded		6	66.67					2	22.22		0	0.00		1	11.11		9
		TOTAL								261	55.41					119	25.27		24	5.10		67	14.23		471
	FIFTH									13	54.17					6	25.00			Excluded		5	20.83		24
		TOTAL								274	58.17					125	26.54					72	15.29		471
	SIXTH									58	80.56					14	19.44						Excluded		72
		TOTAL								332	70.49					139	29.51								471
										Elected															
																									
Glenroi                                                        																									
	FIRST			24	1.38		27	1.55		869	49.89		12	0.69		210	12.06		82	4.71		518	29.74		1742
	SECOND			3	25.00		4	33.33		2	16.67			Excluded		3	25.00		0	0.00		0	0.00		12
		TOTAL		27	1.55		31	1.78		871	50.00					213	12.23		82	4.71		518	29.74		1742
	THIRD				Excluded		9	33.33		7	25.93					4	14.81		1	3.70		6	22.22		27
		TOTAL					40	2.30		878	50.40					217	12.46		83	4.76		524	30.08		1742
	FOURTH							Excluded		25	62.50					3	7.50		5	12.50		7	17.50		40
		TOTAL								903	51.84					220	12.63		88	5.05		531	30.48		1742
	FIFTH									41	46.59					14	15.91			Excluded		33	37.50		88
		TOTAL								944	54.19					234	13.43					564	32.38		1742
	SIXTH									475	84.22					89	15.78						Excluded		564
		TOTAL								1419	81.46					323	18.54								1742
										Elected															
																									
Gooloogong                                                     																									
	FIRST			3	1.31		2	0.87		98	42.79		0	0.00		81	35.37		20	8.73		25	10.92		229
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.31		2	0.87		98	42.79					81	35.37		20	8.73		25	10.92		229
	THIRD				Excluded		3	100.00		0	0.00					0	0.00		0	0.00		0	0.00		3
		TOTAL					5	2.18		98	42.79					81	35.37		20	8.73		25	10.92		229
	FOURTH							Excluded		3	60.00					0	0.00		1	20.00		1	20.00		5
		TOTAL								101	44.10					81	35.37		21	9.17		26	11.35		229
	FIFTH									15	71.43					3	14.29			Excluded		3	14.29		21
		TOTAL								116	50.66					84	36.68					29	12.66		229
	SIXTH									25	86.21					4	13.79						Excluded		29
		TOTAL								141	61.57					88	38.43								229
										Elected															
																									
Hampton                                                        																									
	FIRST			1	0.70		4	2.82		73	51.41		0	0.00		34	23.94		8	5.63		22	15.49		142
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.70		4	2.82		73	51.41					34	23.94		8	5.63		22	15.49		142
	THIRD				Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					4	2.82		74	52.11					34	23.94		8	5.63		22	15.49		142
	FOURTH							Excluded		4	100.00					0	0.00		0	0.00		0	0.00		4
		TOTAL								78	54.93					34	23.94		8	5.63		22	15.49		142
	FIFTH									3	37.50					5	62.50			Excluded		0	0.00		8
		TOTAL								81	57.04					39	27.46					22	15.49		142
	SIXTH									18	81.82					4	18.18						Excluded		22
		TOTAL								99	69.72					43	30.28								142
										Elected															
																									
Hartley                                                        																									
	FIRST			9	2.48		5	1.38		147	40.50		3	0.83		107	29.48		26	7.16		66	18.18		363
	SECOND			0	0.00		0	0.00		2	66.67			Excluded		0	0.00		1	33.33		0	0.00		3
		TOTAL		9	2.48		5	1.38		149	41.05					107	29.48		27	7.44		66	18.18		363
	THIRD				Excluded		3	33.33		4	44.44					2	22.22		0	0.00		0	0.00		9
		TOTAL					8	2.20		153	42.15					109	30.03		27	7.44		66	18.18		363
	FOURTH							Excluded		5	62.50					1	12.50		0	0.00		2	25.00		8
		TOTAL								158	43.53					110	30.30		27	7.44		68	18.73		363
	FIFTH									13	48.15					10	37.04			Excluded		4	14.81		27
		TOTAL								171	47.11					120	33.06					72	19.83		363
	SIXTH									65	90.28					7	9.72						Excluded		72
		TOTAL								236	65.01					127	34.99								363
										Elected															
																									
Hermitage                                                      																									
	FIRST			11	1.70		2	0.31		374	57.81		4	0.62		33	5.10		18	2.78		205	31.68		647
	SECOND			1	25.00		0	0.00		0	0.00			Excluded		1	25.00		1	25.00		1	25.00		4
		TOTAL		12	1.85		2	0.31		374	57.81					34	5.26		19	2.94		206	31.84		647
	THIRD				Excluded		7	58.33		3	25.00					0	0.00		0	0.00		2	16.67		12
		TOTAL					9	1.39		377	58.27					34	5.26		19	2.94		208	32.15		647
	FOURTH							Excluded		8	88.89					0	0.00		0	0.00		1	11.11		9
		TOTAL								385	59.51					34	5.26		19	2.94		209	32.30		647
	FIFTH									7	36.84					5	26.32			Excluded		7	36.84		19
		TOTAL								392	60.59					39	6.03					216	33.38		647
	SIXTH									194	89.81					22	10.19						Excluded		216
		TOTAL								586	90.57					61	9.43								647
										Elected															
																									
Hill End                                                       																									
	FIRST			0	0.00		0	0.00		59	67.82		0	0.00		6	6.90		5	5.75		17	19.54		87
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		0	0.00		59	67.82					6	6.90		5	5.75		17	19.54		87
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					0	0.00		59	67.82					6	6.90		5	5.75		17	19.54		87
	FOURTH							Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL								59	67.82					6	6.90		5	5.75		17	19.54		87
	FIFTH									4	80.00					0	0.00			Excluded		1	20.00		5
		TOTAL								63	72.41					6	6.90					18	20.69		87
	SIXTH									18	100.00					0	0.00						Excluded		18
		TOTAL								81	93.10					6	6.90								87
										Elected															
																									
Jenolan Caves                                                  																									
	FIRST			0	0.00		1	2.86		19	54.29		0	0.00		8	22.86		1	2.86		6	17.14		35
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		1	2.86		19	54.29					8	22.86		1	2.86		6	17.14		35
	THIRD				Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0
		TOTAL					1	2.86		19	54.29					8	22.86		1	2.86		6	17.14		35
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								20	57.14					8	22.86		1	2.86		6	17.14		35
	FIFTH									0	0.00					1	100.00			Excluded		0	0.00		1
		TOTAL								20	57.14					9	25.71					6	17.14		35
	SIXTH									4	66.67					2	33.33						Excluded		6
		TOTAL								24	68.57					11	31.43								35
										Elected															
																									
Kelso                                                          																									
	FIRST			27	1.02		29	1.09		1324	49.92		14	0.53		532	20.06		91	3.43		635	23.94		2652
	SECOND			2	14.29		1	7.14		5	35.71			Excluded		2	14.29		1	7.14		3	21.43		14
		TOTAL		29	1.09		30	1.13		1329	50.11					534	20.14		92	3.47		638	24.06		2652
	THIRD				Excluded		10	34.48		8	27.59					4	13.79		2	6.90		5	17.24		29
		TOTAL					40	1.51		1337	50.41					538	20.29		94	3.54		643	24.25		2652
	FOURTH							Excluded		28	70.00					2	5.00		4	10.00		6	15.00		40
		TOTAL								1365	51.47					540	20.36		98	3.70		649	24.47		2652
	FIFTH									66	67.35					18	18.37			Excluded		14	14.29		98
		TOTAL								1431	53.96					558	21.04					663	25.00		2652
	SIXTH									594	89.59					69	10.41						Excluded		663
		TOTAL								2025	76.36					627	23.64								2652
										Elected															
																									
Kirkconnell                                                    																									
	FIRST			2	1.83		2	1.83		61	55.96		1	0.92		24	22.02		3	2.75		16	14.68		109
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		2	1.83		2	1.83		61	55.96					25	22.94		3	2.75		16	14.68		109
	THIRD				Excluded		2	100.00		0	0.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	3.67		61	55.96					25	22.94		3	2.75		16	14.68		109
	FOURTH							Excluded		3	75.00					0	0.00		0	0.00		1	25.00		4
		TOTAL								64	58.72					25	22.94		3	2.75		17	15.60		109
	FIFTH									1	33.33					2	66.67			Excluded		0	0.00		3
		TOTAL								65	59.63					27	24.77					17	15.60		109
	SIXTH									15	88.24					2	11.76						Excluded		17
		TOTAL								80	73.39					29	26.61								109
										Elected															
																									
Lithgow                                                        																									
	FIRST			37	2.09		19	1.07		883	49.83		4	0.23		157	8.86		64	3.61		608	34.31		1772
	SECOND			0	0.00		0	0.00		2	50.00			Excluded		1	25.00		1	25.00		0	0.00		4
		TOTAL		37	2.09		19	1.07		885	49.94					158	8.92		65	3.67		608	34.31		1772
	THIRD				Excluded		20	54.05		11	29.73					1	2.70		0	0.00		5	13.51		37
		TOTAL					39	2.20		896	50.56					159	8.97		65	3.67		613	34.59		1772
	FOURTH							Excluded		27	69.23					2	5.13		2	5.13		8	20.51		39
		TOTAL								923	52.09					161	9.09		67	3.78		621	35.05		1772
	FIFTH									43	64.18					11	16.42			Excluded		13	19.40		67
		TOTAL								966	54.51					172	9.71					634	35.78		1772
	SIXTH									568	89.59					66	10.41						Excluded		634
		TOTAL								1534	86.57					238	13.43								1772
										Elected															
																									
Lithgow Hospital                                               																									
	FIRST			2	1.69		1	0.85		66	55.93		0	0.00		6	5.08		4	3.39		39	33.05		118
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.69		1	0.85		66	55.93					6	5.08		4	3.39		39	33.05		118
	THIRD				Excluded		1	50.00		0	0.00					1	50.00		0	0.00		0	0.00		2
		TOTAL					2	1.69		66	55.93					7	5.93		4	3.39		39	33.05		118
	FOURTH							Excluded		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL								68	57.63					7	5.93		4	3.39		39	33.05		118
	FIFTH									1	25.00					1	25.00			Excluded		2	50.00		4
		TOTAL								69	58.47					8	6.78					41	34.75		118
	SIXTH									36	87.80					5	12.20						Excluded		41
		TOTAL								105	88.98					13	11.02								118
										Elected															
																									
Littleton                                                      																									
	FIRST			5	0.88		5	0.88		308	54.04		1	0.18		53	9.30		12	2.11		186	32.63		570
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		6	1.05		5	0.88		308	54.04					53	9.30		12	2.11		186	32.63		570
	THIRD				Excluded		4	66.67		1	16.67					0	0.00		1	16.67		0	0.00		6
		TOTAL					9	1.58		309	54.21					53	9.30		13	2.28		186	32.63		570
	FOURTH							Excluded		6	66.67					0	0.00		1	11.11		2	22.22		9
		TOTAL								315	55.26					53	9.30		14	2.46		188	32.98		570
	FIFTH									8	57.14					2	14.29			Excluded		4	28.57		14
		TOTAL								323	56.67					55	9.65					192	33.68		570
	SIXTH									180	93.75					12	6.25						Excluded		192
		TOTAL								503	88.25					67	11.75								570
										Elected															
																									
Lucknow                                                        																									
	FIRST			3	1.15		6	2.29		150	57.25		0	0.00		65	24.81		14	5.34		24	9.16		262
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	1.15		6	2.29		150	57.25					65	24.81		14	5.34		24	9.16		262
	THIRD				Excluded		2	66.67		1	33.33					0	0.00		0	0.00		0	0.00		3
		TOTAL					8	3.05		151	57.63					65	24.81		14	5.34		24	9.16		262
	FOURTH							Excluded		6	75.00					0	0.00		1	12.50		1	12.50		8
		TOTAL								157	59.92					65	24.81		15	5.73		25	9.54		262
	FIFTH									8	53.33					5	33.33			Excluded		2	13.33		15
		TOTAL								165	62.98					70	26.72					27	10.31		262
	SIXTH									26	96.30					1	3.70						Excluded		27
		TOTAL								191	72.90					71	27.10								262
										Elected															
																									
Lyndhurst                                                      																									
	FIRST			2	0.88		2	0.88		116	50.88		1	0.44		48	21.05		22	9.65		37	16.23		228
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	0.88		3	1.32		116	50.88					48	21.05		22	9.65		37	16.23		228
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	1.75		117	51.32					48	21.05		22	9.65		37	16.23		228
	FOURTH							Excluded		2	50.00					0	0.00		1	25.00		1	25.00		4
		TOTAL								119	52.19					48	21.05		23	10.09		38	16.67		228
	FIFTH									17	73.91					4	17.39			Excluded		2	8.70		23
		TOTAL								136	59.65					52	22.81					40	17.54		228
	SIXTH									31	77.50					9	22.50						Excluded		40
		TOTAL								167	73.25					61	26.75								228
										Elected															
																									
Mandurama                                                      																									
	FIRST			2	0.94		5	2.36		91	42.92		1	0.47		64	30.19		15	7.08		34	16.04		212
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	0.94		5	2.36		92	43.40					64	30.19		15	7.08		34	16.04		212
	THIRD				Excluded		1	50.00		1	50.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					6	2.83		93	43.87					64	30.19		15	7.08		34	16.04		212
	FOURTH							Excluded		2	33.33					1	16.67		1	16.67		2	33.33		6
		TOTAL								95	44.81					65	30.66		16	7.55		36	16.98		212
	FIFTH									11	68.75					4	25.00			Excluded		1	6.25		16
		TOTAL								106	50.00					69	32.55					37	17.45		212
	SIXTH									32	86.49					5	13.51						Excluded		37
		TOTAL								138	65.09					74	34.91								212
										Elected															
																									
Manildra                                                       																									
	FIRST			3	0.59		1	0.20		256	50.69		2	0.40		115	22.77		28	5.54		100	19.80		505
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		0	0.00		2
		TOTAL		3	0.59		1	0.20		256	50.69					115	22.77		30	5.94		100	19.80		505
	THIRD				Excluded		2	66.67		1	33.33					0	0.00		0	0.00		0	0.00		3
		TOTAL					3	0.59		257	50.89					115	22.77		30	5.94		100	19.80		505
	FOURTH							Excluded		1	33.33					1	33.33		0	0.00		1	33.33		3
		TOTAL								258	51.09					116	22.97		30	5.94		101	20.00		505
	FIFTH									14	46.67					9	30.00			Excluded		7	23.33		30
		TOTAL								272	53.86					125	24.75					108	21.39		505
	SIXTH									95	87.96					13	12.04						Excluded		108
		TOTAL								367	72.67					138	27.33								505
										Elected															
																									
Meadow Flat                                                    																									
	FIRST			7	3.78		1	0.54		109	58.92		0	0.00		32	17.30		4	2.16		32	17.30		185
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	3.78		1	0.54		109	58.92					32	17.30		4	2.16		32	17.30		185
	THIRD				Excluded		4	57.14		2	28.57					0	0.00		0	0.00		1	14.29		7
		TOTAL					5	2.70		111	60.00					32	17.30		4	2.16		33	17.84		185
	FOURTH							Excluded		5	100.00					0	0.00		0	0.00		0	0.00		5
		TOTAL								116	62.70					32	17.30		4	2.16		33	17.84		185
	FIFTH									1	25.00					3	75.00			Excluded		0	0.00		4
		TOTAL								117	63.24					35	18.92					33	17.84		185
	SIXTH									30	90.91					3	9.09						Excluded		33
		TOTAL								147	79.46					38	20.54								185
										Elected															
																									
Millthorpe                                                     																									
	FIRST			8	1.14		9	1.29		377	53.86		4	0.57		174	24.86		41	5.86		87	12.43		700
	SECOND			1	25.00		1	25.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		4
		TOTAL		9	1.29		10	1.43		379	54.14					174	24.86		41	5.86		87	12.43		700
	THIRD				Excluded		4	44.44		2	22.22					2	22.22		1	11.11		0	0.00		9
		TOTAL					14	2.00		381	54.43					176	25.14		42	6.00		87	12.43		700
	FOURTH							Excluded		12	85.71					0	0.00		0	0.00		2	14.29		14
		TOTAL								393	56.14					176	25.14		42	6.00		89	12.71		700
	FIFTH									27	64.29					10	23.81			Excluded		5	11.90		42
		TOTAL								420	60.00					186	26.57					94	13.43		700
	SIXTH									84	89.36					10	10.64						Excluded		94
		TOTAL								504	72.00					196	28.00								700
										Elected															
																									
Mitchell Campus                                                																									
	FIRST			7	5.83		4	3.33		67	55.83		1	0.83		15	12.50		2	1.67		24	20.00		120
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		7	5.83		4	3.33		67	55.83					16	13.33		2	1.67		24	20.00		120
	THIRD				Excluded		2	28.57		3	42.86					1	14.29		1	14.29		0	0.00		7
		TOTAL					6	5.00		70	58.33					17	14.17		3	2.50		24	20.00		120
	FOURTH							Excluded		3	50.00					1	16.67		0	0.00		2	33.33		6
		TOTAL								73	60.83					18	15.00		3	2.50		26	21.67		120
	FIFTH									3	100.00					0	0.00			Excluded		0	0.00		3
		TOTAL								76	63.33					18	15.00					26	21.67		120
	SIXTH									25	96.15					1	3.85						Excluded		26
		TOTAL								101	84.17					19	15.83								120
										Elected															
																									
Molong                                                         																									
	FIRST			18	1.40		11	0.85		709	55.05		3	0.23		319	24.77		66	5.12		162	12.58		1288
	SECOND			0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		1	33.33		3
		TOTAL		18	1.40		11	0.85		710	55.12					320	24.84		66	5.12		163	12.66		1288
	THIRD				Excluded		12	66.67		2	11.11					1	5.56		0	0.00		3	16.67		18
		TOTAL					23	1.79		712	55.28					321	24.92		66	5.12		166	12.89		1288
	FOURTH							Excluded		18	78.26					2	8.70		1	4.35		2	8.70		23
		TOTAL								730	56.68					323	25.08		67	5.20		168	13.04		1288
	FIFTH									41	61.19					18	26.87			Excluded		8	11.94		67
		TOTAL								771	59.86					341	26.48					176	13.66		1288
	SIXTH									148	84.09					28	15.91						Excluded		176
		TOTAL								919	71.35					369	28.65								1288
										Elected															
																									
Morongla Creek                                                 																									
	FIRST			1	0.48		0	0.00		78	37.68		1	0.48		105	50.72		10	4.83		12	5.80		207
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		1	0.48		0	0.00		78	37.68					106	51.21		10	4.83		12	5.80		207
	THIRD				Excluded		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					1	0.48		78	37.68					106	51.21		10	4.83		12	5.80		207
	FOURTH							Excluded		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL								79	38.16					106	51.21		10	4.83		12	5.80		207
	FIFTH									3	30.00					5	50.00			Excluded		2	20.00		10
		TOTAL								82	39.61					111	53.62					14	6.76		207
	SIXTH									13	92.86					1	7.14						Excluded		14
		TOTAL								95	45.89					112	54.11								207
										Elected															
																									
Mullion Creek                                                  																									
	FIRST			3	1.03		4	1.37		159	54.45		1	0.34		76	26.03		26	8.90		23	7.88		292
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		3	1.03		4	1.37		159	54.45					77	26.37		26	8.90		23	7.88		292
	THIRD				Excluded		1	33.33		2	66.67					0	0.00		0	0.00		0	0.00		3
		TOTAL					5	1.71		161	55.14					77	26.37		26	8.90		23	7.88		292
	FOURTH							Excluded		3	60.00					1	20.00		0	0.00		1	20.00		5
		TOTAL								164	56.16					78	26.71		26	8.90		24	8.22		292
	FIFTH									14	53.85					11	42.31			Excluded		1	3.85		26
		TOTAL								178	60.96					89	30.48					25	8.56		292
	SIXTH									23	92.00					2	8.00						Excluded		25
		TOTAL								201	68.84					91	31.16								292
										Elected															
																									
Nashdale                                                       																									
	FIRST			1	0.30		10	2.99		176	52.54		0	0.00		111	33.13		14	4.18		23	6.87		335
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.30		10	2.99		176	52.54					111	33.13		14	4.18		23	6.87		335
	THIRD				Excluded		0	0.00		1	100.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					10	2.99		177	52.84					111	33.13		14	4.18		23	6.87		335
	FOURTH							Excluded		6	60.00					1	10.00		2	20.00		1	10.00		10
		TOTAL								183	54.63					112	33.43		16	4.78		24	7.16		335
	FIFTH									8	50.00					4	25.00			Excluded		4	25.00		16
		TOTAL								191	57.01					116	34.63					28	8.36		335
	SIXTH									27	96.43					1	3.57						Excluded		28
		TOTAL								218	65.07					117	34.93								335
										Elected															
																									
Neville                                                        																									
	FIRST			4	2.96		0	0.00		68	50.37		0	0.00		45	33.33		10	7.41		8	5.93		135
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		4	2.96		0	0.00		68	50.37					45	33.33		10	7.41		8	5.93		135
	THIRD				Excluded		2	50.00		1	25.00					1	25.00		0	0.00		0	0.00		4
		TOTAL					2	1.48		69	51.11					46	34.07		10	7.41		8	5.93		135
	FOURTH							Excluded		1	50.00					1	50.00		0	0.00		0	0.00		2
		TOTAL								70	51.85					47	34.81		10	7.41		8	5.93		135
	FIFTH									4	40.00					4	40.00			Excluded		2	20.00		10
		TOTAL								74	54.81					51	37.78					10	7.41		135
	SIXTH									7	70.00					3	30.00						Excluded		10
		TOTAL								81	60.00					54	40.00								135
										Elected															
																									
Newbridge                                                      																									
	FIRST			2	1.32		2	1.32		72	47.37		1	0.66		41	26.97		6	3.95		28	18.42		152
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		2	1.32		2	1.32		73	48.03					41	26.97		6	3.95		28	18.42		152
	THIRD				Excluded		2	100.00		0	0.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	2.63		73	48.03					41	26.97		6	3.95		28	18.42		152
	FOURTH							Excluded		3	75.00					1	25.00		0	0.00		0	0.00		4
		TOTAL								76	50.00					42	27.63		6	3.95		28	18.42		152
	FIFTH									2	33.33					4	66.67			Excluded		0	0.00		6
		TOTAL								78	51.32					46	30.26					28	18.42		152
	SIXTH									23	82.14					5	17.86						Excluded		28
		TOTAL								101	66.45					51	33.55								152
										Elected															
																									
O'Connell                                                      																									
	FIRST			2	0.67		4	1.35		176	59.26		1	0.34		58	19.53		13	4.38		43	14.48		297
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		2	0.67		4	1.35		176	59.26					58	19.53		13	4.38		44	14.81		297
	THIRD				Excluded		0	0.00		2	100.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					4	1.35		178	59.93					58	19.53		13	4.38		44	14.81		297
	FOURTH							Excluded		4	100.00					0	0.00		0	0.00		0	0.00		4
		TOTAL								182	61.28					58	19.53		13	4.38		44	14.81		297
	FIFTH									7	53.85					4	30.77			Excluded		2	15.38		13
		TOTAL								189	63.64					62	20.88					46	15.49		297
	SIXTH									39	84.78					7	15.22						Excluded		46
		TOTAL								228	76.77					69	23.23								297
										Elected															
																									
Oakey Park                                                     																									
	FIRST			2	0.55		3	0.83		222	61.50		0	0.00		14	3.88		15	4.16		105	29.09		361
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	0.55		3	0.83		222	61.50					14	3.88		15	4.16		105	29.09		361
	THIRD				Excluded		1	50.00		0	0.00					0	0.00		1	50.00		0	0.00		2
		TOTAL					4	1.11		222	61.50					14	3.88		16	4.43		105	29.09		361
	FOURTH							Excluded		3	75.00					1	25.00		0	0.00		0	0.00		4
		TOTAL								225	62.33					15	4.16		16	4.43		105	29.09		361
	FIFTH									11	68.75					2	12.50			Excluded		3	18.75		16
		TOTAL								236	65.37					17	4.71					108	29.92		361
	SIXTH									99	91.67					9	8.33						Excluded		108
		TOTAL								335	92.80					26	7.20								361
										Elected															
																									
Oberon                                                         																									
	FIRST			41	2.15		26	1.36		865	45.36		12	0.63		466	24.44		101	5.30		396	20.77		1907
	SECOND			2	16.67		0	0.00		6	50.00			Excluded		2	16.67		1	8.33		1	8.33		12
		TOTAL		43	2.25		26	1.36		871	45.67					468	24.54		102	5.35		397	20.82		1907
	THIRD				Excluded		20	46.51		11	25.58					3	6.98		3	6.98		6	13.95		43
		TOTAL					46	2.41		882	46.25					471	24.70		105	5.51		403	21.13		1907
	FOURTH							Excluded		36	78.26					3	6.52		2	4.35		5	10.87		46
		TOTAL								918	48.14					474	24.86		107	5.61		408	21.39		1907
	FIFTH									72	67.29					20	18.69			Excluded		15	14.02		107
		TOTAL								990	51.91					494	25.90					423	22.18		1907
	SIXTH									339	80.14					84	19.86						Excluded		423
		TOTAL								1329	69.69					578	30.31								1907
										Elected															
																									
Orange                                                         																									
	FIRST			26	1.13		42	1.82		1173	50.91		12	0.52		640	27.78		63	2.73		348	15.10		2304
	SECOND			2	16.67		0	0.00		6	50.00			Excluded		3	25.00		1	8.33		0	0.00		12
		TOTAL		28	1.22		42	1.82		1179	51.17					643	27.91		64	2.78		348	15.10		2304
	THIRD				Excluded		13	46.43		10	35.71					1	3.57		3	10.71		1	3.57		28
		TOTAL					55	2.39		1189	51.61					644	27.95		67	2.91		349	15.15		2304
	FOURTH							Excluded		40	72.73					3	5.45		4	7.27		8	14.55		55
		TOTAL								1229	53.34					647	28.08		71	3.08		357	15.49		2304
	FIFTH									36	50.70					24	33.80			Excluded		11	15.49		71
		TOTAL								1265	54.90					671	29.12					368	15.97		2304
	SIXTH									311	84.51					57	15.49						Excluded		368
		TOTAL								1576	68.40					728	31.60								2304
										Elected															
																									
Orange East                                                    																									
	FIRST			33	1.91		40	2.32		933	54.12		9	0.52		325	18.85		67	3.89		317	18.39		1724
	SECOND			2	22.22		0	0.00		3	33.33			Excluded		2	22.22		0	0.00		2	22.22		9
		TOTAL		35	2.03		40	2.32		936	54.29					327	18.97		67	3.89		319	18.50		1724
	THIRD				Excluded		21	60.00		8	22.86					2	5.71		0	0.00		4	11.43		35
		TOTAL					61	3.54		944	54.76					329	19.08		67	3.89		323	18.74		1724
	FOURTH							Excluded		45	73.77					6	9.84		5	8.20		5	8.20		61
		TOTAL								989	57.37					335	19.43		72	4.18		328	19.03		1724
	FIFTH									45	62.50					14	19.44			Excluded		13	18.06		72
		TOTAL								1034	59.98					349	20.24					341	19.78		1724
	SIXTH									295	86.51					46	13.49						Excluded		341
		TOTAL								1329	77.09					395	22.91								1724
										Elected															
																									
Orange Hospital                                                																									
	FIRST			6	1.09		18	3.26		272	49.28		4	0.72		129	23.37		17	3.08		106	19.20		552
	SECOND			0	0.00		0	0.00		2	50.00			Excluded		1	25.00		1	25.00		0	0.00		4
		TOTAL		6	1.09		18	3.26		274	49.64					130	23.55		18	3.26		106	19.20		552
	THIRD				Excluded		2	33.33		1	16.67					1	16.67		0	0.00		2	33.33		6
		TOTAL					20	3.62		275	49.82					131	23.73		18	3.26		108	19.57		552
	FOURTH							Excluded		10	50.00					1	5.00		1	5.00		8	40.00		20
		TOTAL								285	51.63					132	23.91		19	3.44		116	21.01		552
	FIFTH									9	47.37					6	31.58			Excluded		4	21.05		19
		TOTAL								294	53.26					138	25.00					120	21.74		552
	SIXTH									107	89.17					13	10.83						Excluded		120
		TOTAL								401	72.64					151	27.36								552
										Elected															
																									
Orange North                                                   																									
	FIRST			17	1.92		23	2.60		449	50.79		5	0.57		233	26.36		27	3.05		130	14.71		884
	SECOND			1	20.00		0	0.00		2	40.00			Excluded		1	20.00		1	20.00		0	0.00		5
		TOTAL		18	2.04		23	2.60		451	51.02					234	26.47		28	3.17		130	14.71		884
	THIRD				Excluded		9	50.00		3	16.67					3	16.67		0	0.00		3	16.67		18
