House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Eden-Monaro																																		
				WHAN			CHAPMAN			PHILLIPS			BEAUMONT			SWIFT			VLUG			URQUHART			COCHRAN			NAIRN			BRIDGES			
	SEVENTH			8	29.63								3	11.11											14	51.85		2	7.41			Excluded		27
		TOTAL		338	42.89								135	17.13											43	5.46		272	34.52					788
	EIGHTH			104	77.04									Excluded											16	11.85		15	11.11					135
		TOTAL		442	56.09																				59	7.49		287	36.42					788
	NINTH			21	35.59																					Excluded		38	64.41					59
		TOTAL		463	58.76																							325	41.24					788
																												Elected						
																																		
Bungendore                                                     																																		
	FIRST			688	37.55		120	6.55		11	0.60		136	7.42		4	0.22		1	0.05		2	0.11		183	9.99		643	35.10		44	2.40		1832
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		688	37.55		120	6.55		11	0.60		136	7.42		4	0.22					2	0.11		184	10.04		643	35.10		44	2.40		1832
	THIRD			1	25.00		1	25.00		0	0.00		0	0.00			Excluded					1	25.00		1	25.00		0	0.00		0	0.00		4
		TOTAL		689	37.61		121	6.60		11	0.60		136	7.42								3	0.16		185	10.10		643	35.10		44	2.40		1832
	FOURTH			1	33.33		0	0.00		0	0.00		1	33.33									Excluded		1	33.33		0	0.00		0	0.00		3
		TOTAL		690	37.66		121	6.60		11	0.60		137	7.48											186	10.15		643	35.10		44	2.40		1832
	FIFTH			4	36.36		2	18.18			Excluded		1	9.09											1	9.09		3	27.27		0	0.00		11
		TOTAL		694	37.88		123	6.71					138	7.53											187	10.21		646	35.26		44	2.40		1832
	SIXTH			31	25.20			Excluded					70	56.91											13	10.57		9	7.32		0	0.00		123
		TOTAL		725	39.57								208	11.35											200	10.92		655	35.75		44	2.40		1832
	SEVENTH			4	9.09								4	9.09											25	56.82		11	25.00			Excluded		44
		TOTAL		729	39.79								212	11.57											225	12.28		666	36.35					1832
	EIGHTH			165	77.83									Excluded											41	19.34		6	2.83					212
		TOTAL		894	48.80																				266	14.52		672	36.68					1832
	NINTH			89	33.46																					Excluded		177	66.54					266
		TOTAL		983	53.66																							849	46.34					1832
																												Elected						
																																		
Candelo                                                        																																		
	FIRST			186	35.56		11	2.10		9	1.72		64	12.24		1	0.19		1	0.19		0	0.00		31	5.93		203	38.81		17	3.25		523
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		187	35.76		11	2.10		9	1.72		64	12.24		1	0.19					0	0.00		31	5.93		203	38.81		17	3.25		523
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		187	35.76		11	2.10		9	1.72		64	12.24								0	0.00		32	6.12		203	38.81		17	3.25		523
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		187	35.76		11	2.10		9	1.72		64	12.24											32	6.12		203	38.81		17	3.25		523
	FIFTH			0	0.00		4	44.44			Excluded		2	22.22											0	0.00		1	11.11		2	22.22		9
		TOTAL		187	35.76		15	2.87					66	12.62											32	6.12		204	39.01		19	3.63		523
	SIXTH			6	40.00			Excluded					5	33.33											1	6.67		2	13.33		1	6.67		15
		TOTAL		193	36.90								71	13.58											33	6.31		206	39.39		20	3.82		523
	SEVENTH			4	20.00								1	5.00											10	50.00		5	25.00			Excluded		20
		TOTAL		197	37.67								72	13.77											43	8.22		211	40.34					523
	EIGHTH			61	84.72									Excluded											2	2.78		9	12.50					72
		TOTAL		258	49.33																				45	8.60		220	42.07					523
	NINTH			15	33.33																					Excluded		30	66.67					45
		TOTAL		273	52.20																							250	47.80					523
																												Elected						
																																		
Captains Flat                                                  																																		
	FIRST			162	48.21		16	4.76		0	0.00		19	5.65		2	0.60		0	0.00		2	0.60		33	9.82		72	21.43		30	8.93		336
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		162	48.21		16	4.76		0	0.00		19	5.65		2	0.60					2	0.60		33	9.82		72	21.43		30	8.93		336
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		162	48.21		16	4.76		0	0.00		20	5.95								3	0.89		33	9.82		72	21.43		30	8.93		336
	FOURTH			1	33.33		0	0.00		0	0.00		0	0.00									Excluded		1	33.33		0	0.00		1	33.33		3
		TOTAL		163	48.51		16	4.76		0	0.00		20	5.95											34	10.12		72	21.43		31	9.23		336
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		163	48.51		16	4.76					20	5.95											34	10.12		72	21.43		31	9.23		336
	SIXTH			8	50.00			Excluded					7	43.75											1	6.25		0	0.00		0	0.00		16
		TOTAL		171	50.89								27	8.04											35	10.42		72	21.43		31	9.23		336
	SEVENTH			4	12.90								2	6.45											18	58.06		7	22.58			Excluded		31
		TOTAL		175	52.08								29	8.63											53	15.77		79	23.51					336
	EIGHTH			20	68.97									Excluded											7	24.14		2	6.90					29
		TOTAL		195	58.04																				60	17.86		81	24.11					336
	NINTH			26	43.33																					Excluded		34	56.67					60
		TOTAL		221	65.77																							115	34.23					336
																												Elected						
																																		
Central Tilba                                                  																																		
	FIRST			103	35.76		11	3.82		7	2.43		50	17.36		0	0.00		2	0.69		2	0.69		26	9.03		81	28.13		6	2.08		288
	SECOND			0	0.00		2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		103	35.76		13	4.51		7	2.43		50	17.36		0	0.00					2	0.69		26	9.03		81	28.13		6	2.08		288
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		103	35.76		13	4.51		7	2.43		50	17.36								2	0.69		26	9.03		81	28.13		6	2.08		288
	FOURTH			0	0.00		0	0.00		2	100.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		103	35.76		13	4.51		9	3.13		50	17.36											26	9.03		81	28.13		6	2.08		288
	FIFTH			2	22.22		0	0.00			Excluded		2	22.22											1	11.11		4	44.44		0	0.00		9
		TOTAL		105	36.46		13	4.51					52	18.06											27	9.38		85	29.51		6	2.08		288
	SIXTH			5	38.46			Excluded					7	53.85											1	7.69		0	0.00		0	0.00		13
		TOTAL		110	38.19								59	20.49											28	9.72		85	29.51		6	2.08		288
	SEVENTH			4	66.67								0	0.00											1	16.67		1	16.67			Excluded		6
		TOTAL		114	39.58								59	20.49											29	10.07		86	29.86					288
	EIGHTH			53	89.83									Excluded											2	3.39		4	6.78					59
		TOTAL		167	57.99																				31	10.76		90	31.25					288
	NINTH			6	19.35																					Excluded		25	80.65					31
		TOTAL		173	60.07																							115	39.93					288
																												Elected						
																																		
Cobargo                                                        																																		
	FIRST			208	32.50		16	2.50		12	1.88		66	10.31		6	0.94		1	0.16		3	0.47		39	6.09		246	38.44		43	6.72		640
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		208	32.50		16	2.50		12	1.88		66	10.31		6	0.94					3	0.47		39	6.09		246	38.44		44	6.88		640
	THIRD			0	0.00		1	16.67		0	0.00		0	0.00			Excluded					4	66.67		0	0.00		0	0.00		1	16.67		6
		TOTAL		208	32.50		17	2.66		12	1.88		66	10.31								7	1.09		39	6.09		246	38.44		45	7.03		640
	FOURTH			0	0.00		0	0.00		0	0.00		2	28.57									Excluded		2	28.57		2	28.57		1	14.29		7
		TOTAL		208	32.50		17	2.66		12	1.88		68	10.63											41	6.41		248	38.75		46	7.19		640
	FIFTH			2	16.67		0	0.00			Excluded		1	8.33											1	8.33		6	50.00		2	16.67		12
		TOTAL		210	32.81		17	2.66					69	10.78											42	6.56		254	39.69		48	7.50		640
	SIXTH			6	35.29			Excluded					8	47.06											1	5.88		0	0.00		2	11.76		17
		TOTAL		216	33.75								77	12.03											43	6.72		254	39.69		50	7.81		640
	SEVENTH			16	32.00								3	6.00											23	46.00		8	16.00			Excluded		50
		TOTAL		232	36.25								80	12.50											66	10.31		262	40.94					640
	EIGHTH			65	81.25									Excluded											11	13.75		4	5.00					80
		TOTAL		297	46.41																				77	12.03		266	41.56					640
	NINTH			25	32.47																					Excluded		52	67.53					77
		TOTAL		322	50.31																							318	49.69					640
																												Elected						
																																		
Cooma                                                          																																		
	FIRST			598	34.61		58	3.36		38	2.20		54	3.13		4	0.23		3	0.17		7	0.41		171	9.90		716	41.44		79	4.57		1728
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		0	0.00		3
		TOTAL		598	34.61		59	3.41		38	2.20		54	3.13		4	0.23					7	0.41		172	9.95		717	41.49		79	4.57		1728
	THIRD			0	0.00		0	0.00		0	0.00		1	25.00			Excluded					0	0.00		1	25.00		1	25.00		1	25.00		4
		TOTAL		598	34.61		59	3.41		38	2.20		55	3.18								7	0.41		173	10.01		718	41.55		80	4.63		1728
	FOURTH			3	42.86		0	0.00		0	0.00		1	14.29									Excluded		0	0.00		0	0.00		3	42.86		7
		TOTAL		601	34.78		59	3.41		38	2.20		56	3.24											173	10.01		718	41.55		83	4.80		1728
	FIFTH			7	18.42		2	5.26			Excluded		1	2.63											5	13.16		22	57.89		1	2.63		38
		TOTAL		608	35.19		61	3.53					57	3.30											178	10.30		740	42.82		84	4.86		1728
	SIXTH			20	32.79			Excluded					27	44.26											5	8.20		8	13.11		1	1.64		61
		TOTAL		628	36.34								84	4.86											183	10.59		748	43.29		85	4.92		1728
	SEVENTH			17	20.00								7	8.24											46	54.12		15	17.65			Excluded		85
		TOTAL		645	37.33								91	5.27											229	13.25		763	44.16					1728
	EIGHTH			63	69.23									Excluded											18	19.78		10	10.99					91
		TOTAL		708	40.97																				247	14.29		773	44.73					1728
	NINTH			63	25.51																					Excluded		184	74.49					247
		TOTAL		771	44.62																							957	55.38					1728
																												Elected						
																																		
Cooma Hospital                                                 																																		
	FIRST			123	40.20		7	2.29		1	0.33		11	3.59		2	0.65		0	0.00		1	0.33		26	8.50		130	42.48		5	1.63		306
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		123	40.20		7	2.29		1	0.33		11	3.59		2	0.65					1	0.33		26	8.50		130	42.48		5	1.63		306
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	50.00		0	0.00		1	50.00		2
		TOTAL		123	40.20		7	2.29		1	0.33		11	3.59								1	0.33		27	8.82		130	42.48		6	1.96		306
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		123	40.20		7	2.29		1	0.33		11	3.59											27	8.82		130	42.48		7	2.29		306
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											1	100.00		0	0.00		0	0.00		1
		TOTAL		123	40.20		7	2.29					11	3.59											28	9.15		130	42.48		7	2.29		306
	SIXTH			2	28.57			Excluded					1	14.29											2	28.57		1	14.29		1	14.29		7
		TOTAL		125	40.85								12	3.92											30	9.80		131	42.81		8	2.61		306
	SEVENTH			1	12.50								1	12.50											2	25.00		4	50.00			Excluded		8
		TOTAL		126	41.18								13	4.25											32	10.46		135	44.12					306
	EIGHTH			9	69.23									Excluded											4	30.77		0	0.00					13
		TOTAL		135	44.12																				36	11.76		135	44.12					306
	NINTH			11	30.56																					Excluded		25	69.44					36
		TOTAL		146	47.71																							160	52.29					306
																												Elected						
																																		
Cooma North                                                    																																		
	FIRST			434	34.83		40	3.21		48	3.85		53	4.25		5	0.40		0	0.00		6	0.48		123	9.87		477	38.28		60	4.82		1246
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		434	34.83		40	3.21		48	3.85		53	4.25		5	0.40					6	0.48		123	9.87		477	38.28		60	4.82		1246
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					4	80.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		434	34.83		40	3.21		48	3.85		53	4.25								10	0.80		124	9.95		477	38.28		60	4.82		1246
	FOURTH			2	20.00		0	0.00		2	20.00		3	30.00									Excluded		3	30.00		0	0.00		0	0.00		10
		TOTAL		436	34.99		40	3.21		50	4.01		56	4.49											127	10.19		477	38.28		60	4.82		1246
	FIFTH			11	22.00		2	4.00			Excluded		0	0.00											5	10.00		29	58.00		3	6.00		50
		TOTAL		447	35.87		42	3.37					56	4.49											132	10.59		506	40.61		63	5.06		1246
	SIXTH			10	23.81			Excluded					23	54.76											2	4.76		5	11.90		2	4.76		42
		TOTAL		457	36.68								79	6.34											134	10.75		511	41.01		65	5.22		1246
	SEVENTH			18	27.69								2	3.08											29	44.62		16	24.62			Excluded		65
		TOTAL		475	38.12								81	6.50											163	13.08		527	42.30					1246
	EIGHTH			63	77.78									Excluded											15	18.52		3	3.70					81
		TOTAL		538	43.18																				178	14.29		530	42.54					1246
	NINTH			53	29.78																					Excluded		125	70.22					178
		TOTAL		591	47.43																							655	52.57					1246
																												Elected						
																																		
Cooma South                                                    																																		
	FIRST			208	34.55		8	1.33		9	1.50		19	3.16		1	0.17		0	0.00		1	0.17		68	11.30		256	42.52		32	5.32		602
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		208	34.55		8	1.33		9	1.50		19	3.16		1	0.17					1	0.17		68	11.30		256	42.52		32	5.32		602
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	100.00		0	0.00		0	0.00		1
		TOTAL		208	34.55		8	1.33		9	1.50		19	3.16								1	0.17		69	11.46		256	42.52		32	5.32		602
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		208	34.55		8	1.33		9	1.50		19	3.16											69	11.46		256	42.52		33	5.48		602
	FIFTH			2	22.22		1	11.11			Excluded		1	11.11											1	11.11		4	44.44		0	0.00		9
		TOTAL		210	34.88		9	1.50					20	3.32											70	11.63		260	43.19		33	5.48		602
	SIXTH			3	33.33			Excluded					5	55.56											0	0.00		1	11.11		0	0.00		9
		TOTAL		213	35.38								25	4.15											70	11.63		261	43.36		33	5.48		602
	SEVENTH			11	33.33								2	6.06											11	33.33		9	27.27			Excluded		33
		TOTAL		224	37.21								27	4.49											81	13.46		270	44.85					602
	EIGHTH			20	74.07									Excluded											2	7.41		5	18.52					27
		TOTAL		244	40.53																				83	13.79		275	45.68					602
	NINTH			22	26.51																					Excluded		61	73.49					83
		TOTAL		266	44.19																							336	55.81					602
																												Elected						
																																		
Dalgety                                                        																																		
	FIRST			48	28.92		1	0.60		0	0.00		2	1.20		1	0.60		0	0.00		1	0.60		36	21.69		68	40.96		9	5.42		166
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		48	28.92		1	0.60		0	0.00		2	1.20		1	0.60					1	0.60		36	21.69		68	40.96		9	5.42		166
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		49	29.52		1	0.60		0	0.00		2	1.20								1	0.60		36	21.69		68	40.96		9	5.42		166
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		49	29.52		1	0.60		0	0.00		2	1.20											36	21.69		69	41.57		9	5.42		166
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		0
		TOTAL		49	29.52		1	0.60					2	1.20											36	21.69		69	41.57		9	5.42		166
	SIXTH			1	100.00			Excluded					0	0.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		50	30.12								2	1.20											36	21.69		69	41.57		9	5.42		166
	SEVENTH			0	0.00								0	0.00											9	100.00		0	0.00			Excluded		9
		TOTAL		50	30.12								2	1.20											45	27.11		69	41.57					166
	EIGHTH			2	100.00									Excluded											0	0.00		0	0.00					2
		TOTAL		52	31.33																				45	27.11		69	41.57					166
	NINTH			3	6.67																					Excluded		42	93.33					45
		TOTAL		55	33.13																							111	66.87					166
																												Elected						
																																		
Dalmeny                                                        																																		
	FIRST			457	38.60		20	1.69		35	2.96		35	2.96		2	0.17		0	0.00		26	2.20		50	4.22		497	41.98		62	5.24		1184
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		457	38.60		20	1.69		35	2.96		35	2.96		2	0.17					26	2.20		50	4.22		497	41.98		62	5.24		1184
	THIRD			1	50.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		458	38.68		20	1.69		35	2.96		36	3.04								26	2.20		50	4.22		497	41.98		62	5.24		1184
	FOURTH			5	19.23		1	3.85		6	23.08		0	0.00									Excluded		3	11.54		4	15.38		7	26.92		26
		TOTAL		463	39.10		21	1.77		41	3.46		36	3.04											53	4.48		501	42.31		69	5.83		1184
	FIFTH			14	34.15		2	4.88			Excluded		0	0.00											1	2.44		23	56.10		1	2.44		41
		TOTAL		477	40.29		23	1.94					36	3.04											54	4.56		524	44.26		70	5.91		1184
	SIXTH			9	39.13			Excluded					9	39.13											2	8.70		2	8.70		1	4.35		23
		TOTAL		486	41.05								45	3.80											56	4.73		526	44.43		71	6.00		1184
	SEVENTH			19	26.76								1	1.41											33	46.48		18	25.35			Excluded		71
		TOTAL		505	42.65								46	3.89											89	7.52		544	45.95					1184
	EIGHTH			30	65.22									Excluded											7	15.22		9	19.57					46
		TOTAL		535	45.19																				96	8.11		553	46.71					1184
	NINTH			33	34.38																					Excluded		63	65.63					96
		TOTAL		568	47.97																							616	52.03					1184
																												Elected						
																																		
Delegate                                                       																																		
	FIRST			73	26.84		4	1.47		1	0.37		3	1.10		0	0.00		0	0.00		0	0.00		67	24.63		115	42.28		9	3.31		272
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		73	26.84		4	1.47		1	0.37		3	1.10		0	0.00					0	0.00		67	24.63		115	42.28		9	3.31		272
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		73	26.84		4	1.47		1	0.37		3	1.10								0	0.00		67	24.63		115	42.28		9	3.31		272
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		73	26.84		4	1.47		1	0.37		3	1.10											67	24.63		115	42.28		9	3.31		272
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											0	0.00		1	100.00		0	0.00		1
		TOTAL		73	26.84		4	1.47					3	1.10											67	24.63		116	42.65		9	3.31		272
	SIXTH			2	50.00			Excluded					1	25.00											0	0.00		1	25.00		0	0.00		4
		TOTAL		75	27.57								4	1.47											67	24.63		117	43.01		9	3.31		272
	SEVENTH			1	11.11								0	0.00											5	55.56		3	33.33			Excluded		9
		TOTAL		76	27.94								4	1.47											72	26.47		120	44.12					272
	EIGHTH			1	25.00									Excluded											2	50.00		1	25.00					4
		TOTAL		77	28.31																				74	27.21		121	44.49					272
	NINTH			10	13.51																					Excluded		64	86.49					74
		TOTAL		87	31.99																							185	68.01					272
																												Elected						
																																		
Eden                                                           																																		
	FIRST			565	29.34		23	1.19		29	1.51		46	2.39		5	0.26		0	0.00		13	0.67		208	10.80		956	49.64		81	4.21		1926
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		565	29.34		23	1.19		29	1.51		46	2.39		5	0.26					13	0.67		208	10.80		956	49.64		81	4.21		1926
	THIRD			0	0.00		1	20.00		0	0.00		1	20.00			Excluded					0	0.00		2	40.00		1	20.00		0	0.00		5
		TOTAL		565	29.34		24	1.25		29	1.51		47	2.44								13	0.67		210	10.90		957	49.69		81	4.21		1926
	FOURTH			2	15.38		0	0.00		3	23.08		1	7.69									Excluded		3	23.08		3	23.08		1	7.69		13
		TOTAL		567	29.44		24	1.25		32	1.66		48	2.49											213	11.06		960	49.84		82	4.26		1926
	FIFTH			11	34.38		3	9.38			Excluded		1	3.13											2	6.25		10	31.25		5	15.63		32
		TOTAL		578	30.01		27	1.40					49	2.54											215	11.16		970	50.36		87	4.52		1926
	SIXTH			7	25.93			Excluded					14	51.85											1	3.70		4	14.81		1	3.70		27
		TOTAL		585	30.37								63	3.27											216	11.21		974	50.57		88	4.57		1926
	SEVENTH			16	18.18								3	3.41											41	46.59		28	31.82			Excluded		88
		TOTAL		601	31.20								66	3.43											257	13.34		1002	52.02					1926
	EIGHTH			54	81.82									Excluded											7	10.61		5	7.58					66
		TOTAL		655	34.01																				264	13.71		1007	52.28					1926
	NINTH			66	25.00																					Excluded		198	75.00					264
		TOTAL		721	37.44																							1205	62.56					1926
																												Elected						
																																		
Jerangle                                                       																																		
	FIRST			13	18.57		2	2.86		1	1.43		0	0.00		0	0.00		0	0.00		0	0.00		22	31.43		29	41.43		3	4.29		70
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		13	18.57		2	2.86		1	1.43		0	0.00		0	0.00					0	0.00		22	31.43		29	41.43		3	4.29		70
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		13	18.57		2	2.86		1	1.43		0	0.00								0	0.00		22	31.43		29	41.43		3	4.29		70
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		13	18.57		2	2.86		1	1.43		0	0.00											22	31.43		29	41.43		3	4.29		70
	FIFTH			1	100.00		0	0.00			Excluded		0	0.00											0	0.00		0	0.00		0	0.00		1
		TOTAL		14	20.00		2	2.86					0	0.00											22	31.43		29	41.43		3	4.29		70
	SIXTH			0	0.00			Excluded					2	100.00											0	0.00		0	0.00		0	0.00		2
		TOTAL		14	20.00								2	2.86											22	31.43		29	41.43		3	4.29		70
	SEVENTH			0	0.00								0	0.00											2	66.67		1	33.33			Excluded		3
		TOTAL		14	20.00								2	2.86											24	34.29		30	42.86					70
	EIGHTH			2	100.00									Excluded											0	0.00		0	0.00					2
		TOTAL		16	22.86																				24	34.29		30	42.86					70
	NINTH			7	29.17																					Excluded		17	70.83					24
		TOTAL		23	32.86																							47	67.14					70
																												Elected						
																																		
Jerrabomberra                                                  																																		
	FIRST			935	34.21		125	4.57		25	0.91		81	2.96		4	0.15		7	0.26		2	0.07		172	6.29		1356	49.62		26	0.95		2733
	SECOND			2	28.57		0	0.00		0	0.00		1	14.29		1	14.29			Excluded		1	14.29		1	14.29		1	14.29		0	0.00		7
		TOTAL		937	34.28		125	4.57		25	0.91		82	3.00		5	0.18					3	0.11		173	6.33		1357	49.65		26	0.95		2733
	THIRD			0	0.00		0	0.00		1	20.00		0	0.00			Excluded					1	20.00		2	40.00		0	0.00		1	20.00		5
		TOTAL		937	34.28		125	4.57		26	0.95		82	3.00								4	0.15		175	6.40		1357	49.65		27	0.99		2733
	FOURTH			0	0.00		0	0.00		0	0.00		2	50.00									Excluded		2	50.00		0	0.00		0	0.00		4
		TOTAL		937	34.28		125	4.57		26	0.95		84	3.07											177	6.48		1357	49.65		27	0.99		2733
	FIFTH			5	19.23		2	7.69			Excluded		2	7.69											2	7.69		12	46.15		3	11.54		26
		TOTAL		942	34.47		127	4.65					86	3.15											179	6.55		1369	50.09		30	1.10		2733
	SIXTH			54	42.52			Excluded					47	37.01											10	7.87		15	11.81		1	0.79		127
		TOTAL		996	36.44								133	4.87											189	6.92		1384	50.64		31	1.13		2733
	SEVENTH			7	22.58								2	6.45											13	41.94		9	29.03			Excluded		31
		TOTAL		1003	36.70								135	4.94											202	7.39		1393	50.97					2733
	EIGHTH			100	74.07									Excluded											22	16.30		13	9.63					135
		TOTAL		1103	40.36																				224	8.20		1406	51.45					2733
	NINTH			80	35.71																					Excluded		144	64.29					224
		TOTAL		1183	43.29																							1550	56.71					2733
																												Elected						
																																		
Jindabyne                                                      																																		
	FIRST			329	28.02		45	3.83		14	1.19		69	5.88		2	0.17		1	0.09		1	0.09		164	13.97		514	43.78		35	2.98		1174
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		329	28.02		45	3.83		14	1.19		69	5.88		2	0.17					1	0.09		164	13.97		515	43.87		35	2.98		1174
	THIRD			0	0.00		1	50.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		329	28.02		46	3.92		14	1.19		69	5.88								1	0.09		164	13.97		516	43.95		35	2.98		1174
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		329	28.02		46	3.92		14	1.19		69	5.88											164	13.97		516	43.95		36	3.07		1174
	FIFTH			0	0.00		0	0.00			Excluded		0	0.00											1	7.14		10	71.43		3	21.43		14
		TOTAL		329	28.02		46	3.92					69	5.88											165	14.05		526	44.80		39	3.32		1174
	SIXTH			15	32.61			Excluded					14	30.43											8	17.39		7	15.22		2	4.35		46
		TOTAL		344	29.30								83	7.07											173	14.74		533	45.40		41	3.49		1174
	SEVENTH			2	4.88								1	2.44											26	63.41		12	29.27			Excluded		41
		TOTAL		346	29.47								84	7.16											199	16.95		545	46.42					1174
	EIGHTH			55	65.48									Excluded											20	23.81		9	10.71					84
		TOTAL		401	34.16																				219	18.65		554	47.19					1174
	NINTH			59	26.94																					Excluded		160	73.06					219
		TOTAL		460	39.18																							714	60.82					1174
																												Elected						
																																		
Letchworth                                                     																																		
	FIRST			146	54.28		9	3.35		6	2.23		5	1.86		1	0.37		0	0.00		0	0.00		23	8.55		74	27.51		5	1.86		269
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		146	54.28		9	3.35		6	2.23		5	1.86		1	0.37					0	0.00		23	8.55		74	27.51		5	1.86		269
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		146	54.28		9	3.35		6	2.23		5	1.86								0	0.00		23	8.55		74	27.51		6	2.23		269
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00									Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		146	54.28		9	3.35		6	2.23		5	1.86											23	8.55		74	27.51		6	2.23		269
	FIFTH			1	16.67		0	0.00			Excluded		1	16.67											0	0.00		4	66.67		0	0.00		6
		TOTAL		147	54.65		9	3.35					6	2.23											23	8.55		78	29.00		6	2.23		269
	SIXTH			5	55.56			Excluded					3	33.33											1	11.11		0	0.00		0	0.00		9
		TOTAL		152	56.51								9	3.35											24	8.92		78	29.00		6	2.23		269
	SEVENTH			2	33.33								0	0.00											3	50.00		1	16.67			Excluded		6
		TOTAL		154	57.25								9	3.35											27	10.04		79	29.37					269
