House of Representatives - 2001 Election: New South Wales																						
Distribution of Preferences																						
By Polling Place																						
																						
Wentworth																						
				GOLDEN			LYSSA			COLLINGS			KING			JACOBS			NEILSON			
		TOTAL					609	9.26		460	6.99		3463	52.63					2048	31.12		6580
	FOURTH						203	44.13			Excluded		100	21.74					157	34.13		460
		TOTAL					812	12.34					3563	54.15					2205	33.51		6580
	FIFTH							Excluded					216	26.60					596	73.40		812
		TOTAL											3779	57.43					2801	42.57		6580
													Elected									
																						
PROVISIONAL																						
	FIRST			12	1.99		101	16.75		46	7.63		263	43.62		2	0.33		179	29.68		603
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2
		TOTAL		12	1.99		102	16.92		46	7.63		263	43.62					180	29.85		603
	THIRD				Excluded		10	83.33		0	0.00		1	8.33					1	8.33		12
		TOTAL					112	18.57		46	7.63		264	43.78					181	30.02		603
	FOURTH						31	67.39			Excluded		6	13.04					9	19.57		46
		TOTAL					143	23.71					270	44.78					190	31.51		603
	FIFTH							Excluded					45	31.47					98	68.53		143
		TOTAL											315	52.24					288	47.76		603
													Elected									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
