House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Cunningham (81540)											
		Candidate		"FIELDS, Jeremy"		             	"MARTIN, Stephen"		            	Total	
		"CURTIS, John (HAN)"	16	10	62.50		6	37.50		16	
		"PINK, J Edwin (NGST)"	14	7	50.00		7	50.00		14	
		"BERRY, Carol (GRN)"	31	4	12.90		27	87.10		31	
		"MOTT, Trevor (IND)"	10	7	70.00		3	30.00		10	
		"NEWMAN, Michael (DEM)"	24	5	20.83		19	79.17		24	
		"SKINNER, Paul (CTA)"	10	9	90.00		1	10.00		10	
		Total	105	106	32.52		220	67.48		326	

	Division Summary										
			1st Prefs	20760	38.82		32722	61.18		53482	
		"CURTIS, John (HAN)"	3425	2183	63.74		1242	36.26		3425	
		"PINK, J Edwin (NGST)"	840	371	44.17		469	55.83		840	
		"BERRY, Carol (GRN)"	4914	972	19.78		3942	80.22		4914	
		"MOTT, Trevor (IND)"	4235	2018	47.65		2217	52.35		4235	
		"NEWMAN, Michael (DEM)"	5307	1550	29.21		3757	70.79		5307	
		"SKINNER, Paul (CTA)"	1841	1286	69.85		555	30.15		1841	
		Total	20562	29140	39.35		44904	60.65		74044	
