House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Prospect																													
				FILIPCZYK			HUTCHINSON			OATES			HAROON			PERKINS			PEACOCK			TAI			CROSIO				
	SECOND			2	9.52		0	0.00		0	0.00		0	0.00		2	9.52		4	19.05			Excluded		13	61.90		21	
		TOTAL		88	4.43		79	3.98		28	1.41		41	2.07		450	22.67		39	1.96					1260	63.48		1985	
	THIRD			7	25.00		11	39.29			Excluded		2	7.14		4	14.29		1	3.57					3	10.71		28	
		TOTAL		95	4.79		90	4.53					43	2.17		454	22.87		40	2.02					1263	63.63		1985	
	FOURTH			8	20.00		3	7.50					2	5.00		11	27.50			Excluded					16	40.00		40	
		TOTAL		103	5.19		93	4.69					45	2.27		465	23.43								1279	64.43		1985	
	FIFTH			3	6.67		6	13.33						Excluded		23	51.11								13	28.89		45	
		TOTAL		106	5.34		99	4.99								488	24.58								1292	65.09		1985	
	SIXTH			38	38.38			Excluded								42	42.42								19	19.19		99	
		TOTAL		144	7.25											530	26.70								1311	66.05		1985	
	SEVENTH				Excluded											82	56.94								62	43.06		144	
		TOTAL														612	30.83								1373	69.17		1985	
																									Elected				
																													
Smithfield East                                                																													
	FIRST			54	3.28		65	3.95		28	1.70		26	1.58		376	22.84		31	1.88		5	0.30		1061	64.46		1646	
	SECOND			0	0.00		0	0.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		2	40.00		5	
		TOTAL		54	3.28		65	3.95		29	1.76		26	1.58		377	22.90		32	1.94					1063	64.58		1646	
	THIRD			3	10.34		11	37.93			Excluded		0	0.00		7	24.14		1	3.45					7	24.14		29	
		TOTAL		57	3.46		76	4.62					26	1.58		384	23.33		33	2.00					1070	65.01		1646	
	FOURTH			10	30.30		3	9.09					4	12.12		5	15.15			Excluded					11	33.33		33	
		TOTAL		67	4.07		79	4.80					30	1.82		389	23.63								1081	65.67		1646	
	FIFTH			4	13.33		5	16.67						Excluded		9	30.00								12	40.00		30	
		TOTAL		71	4.31		84	5.10								398	24.18								1093	66.40		1646	
	SIXTH			24	28.57			Excluded								32	38.10								28	33.33		84	
		TOTAL		95	5.77											430	26.12								1121	68.10		1646	
	SEVENTH				Excluded											53	55.79								42	44.21		95	
		TOTAL														483	29.34								1163	70.66		1646	
																									Elected				
																													
Smithfield West                                                																													
	FIRST			171	4.91		195	5.60		53	1.52		92	2.64		827	23.74		63	1.81		41	1.18		2042	58.61		3484	
	SECOND			5	12.20		0	0.00		3	7.32		2	4.88		4	9.76		8	19.51			Excluded		19	46.34		41	
		TOTAL		176	5.05		195	5.60		56	1.61		94	2.70		831	23.85		71	2.04					2061	59.16		3484	
	THIRD			7	12.50		23	41.07			Excluded		7	12.50		10	17.86		2	3.57					7	12.50		56	
		TOTAL		183	5.25		218	6.26					101	2.90		841	24.14		73	2.10					2068	59.36		3484	
	FOURTH			20	27.40		6	8.22					4	5.48		14	19.18			Excluded					29	39.73		73	
		TOTAL		203	5.83		224	6.43					105	3.01		855	24.54								2097	60.19		3484	
	FIFTH			21	20.00		8	7.62						Excluded		54	51.43								22	20.95		105	
		TOTAL		224	6.43		232	6.66								909	26.09								2119	60.82		3484	
	SIXTH			62	26.72			Excluded								133	57.33								37	15.95		232	
		TOTAL		286	8.21											1042	29.91								2156	61.88		3484	
	SEVENTH				Excluded											150	52.45								136	47.55		286	
		TOTAL														1192	34.21								2292	65.79		3484	
																									Elected				
																													
St Clair                                                       																													
	FIRST			58	3.78		97	6.32		49	3.19		29	1.89		532	34.68		45	2.93		2	0.13		722	47.07		1534	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		58	3.78		97	6.32		49	3.19		29	1.89		533	34.75		45	2.93					723	47.13		1534	
	THIRD			8	16.33		18	36.73			Excluded		1	2.04		13	26.53		0	0.00					9	18.37		49	
		TOTAL		66	4.30		115	7.50					30	1.96		546	35.59		45	2.93					732	47.72		1534	
	FOURTH			10	22.22		3	6.67					1	2.22		9	20.00			Excluded					22	48.89		45	
		TOTAL		76	4.95		118	7.69					31	2.02		555	36.18								754	49.15		1534	
	FIFTH			3	9.68		2	6.45						Excluded		17	54.84								9	29.03		31	
		TOTAL		79	5.15		120	7.82								572	37.29								763	49.74		1534	
	SIXTH			33	27.50			Excluded								63	52.50								24	20.00		120	
		TOTAL		112	7.30											635	41.40								787	51.30		1534	
	SEVENTH				Excluded											66	58.93								46	41.07		112	
		TOTAL														701	45.70								833	54.30		1534	
																									Elected				
																													
St Johns Park High                                             																													
	FIRST			98	4.02		53	2.18		24	0.99		91	3.74		444	18.23		57	2.34		79	3.24		1589	65.26		2435	
	SECOND			6	7.59		1	1.27		0	0.00		0	0.00		9	11.39		21	26.58			Excluded		42	53.16		79	
		TOTAL		104	4.27		54	2.22		24	0.99		91	3.74		453	18.60		78	3.20					1631	66.98		2435	
	THIRD			3	12.50		8	33.33			Excluded		7	29.17		1	4.17		1	4.17					4	16.67		24	
		TOTAL		107	4.39		62	2.55					98	4.02		454	18.64		79	3.24					1635	67.15		2435	
	FOURTH			36	45.57		2	2.53					6	7.59		8	10.13			Excluded					27	34.18		79	
		TOTAL		143	5.87		64	2.63					104	4.27		462	18.97								1662	68.25		2435	
	FIFTH			18	17.31		10	9.62						Excluded		48	46.15								28	26.92		104	
		TOTAL		161	6.61		74	3.04								510	20.94								1690	69.40		2435	
	SIXTH			32	43.24			Excluded								30	40.54								12	16.22		74	
		TOTAL		193	7.93											540	22.18								1702	69.90		2435	
	SEVENTH				Excluded											91	47.15								102	52.85		193	
		TOTAL														631	25.91								1804	74.09		2435	
																									Elected				
																													
Sydney (Prospect)                                              																													
	FIRST			3	3.09		3	3.09		1	1.03		1	1.03		27	27.84		5	5.15		2	2.06		55	56.70		97	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		3	3.09		3	3.09		1	1.03		1	1.03		27	27.84		5	5.15					57	58.76		97	
	THIRD			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL		4	4.12		3	3.09					1	1.03		27	27.84		5	5.15					57	58.76		97	
	FOURTH			4	80.00		0	0.00					0	0.00		0	0.00			Excluded					1	20.00		5	
		TOTAL		8	8.25		3	3.09					1	1.03		27	27.84								58	59.79		97	
	FIFTH			0	0.00		0	0.00						Excluded		1	100.00								0	0.00		1	
		TOTAL		8	8.25		3	3.09								28	28.87								58	59.79		97	
	SIXTH			1	33.33			Excluded								1	33.33								1	33.33		3	
		TOTAL		9	9.28											29	29.90								59	60.82		97	
	SEVENTH				Excluded											5	55.56								4	44.44		9	
		TOTAL														34	35.05								63	64.95		97	
																									Elected				
																													
Wakeley (Prospect)                                             																													
	FIRST			83	4.86		45	2.63		21	1.23		80	4.68		347	20.30		25	1.46		37	2.17		1071	62.67		1709	
	SECOND			1	2.70		1	2.70		2	5.41		2	5.41		6	16.22		5	13.51			Excluded		20	54.05		37	
		TOTAL		84	4.92		46	2.69		23	1.35		82	4.80		353	20.66		30	1.76					1091	63.84		1709	
	THIRD			3	13.04		7	30.43			Excluded		4	17.39		4	17.39		1	4.35					4	17.39		23	
		TOTAL		87	5.09		53	3.10					86	5.03		357	20.89		31	1.81					1095	64.07		1709	
	FOURTH			9	29.03		2	6.45					0	0.00		9	29.03			Excluded					11	35.48		31	
		TOTAL		96	5.62		55	3.22					86	5.03		366	21.42								1106	64.72		1709	
	FIFTH			6	6.98		8	9.30						Excluded		35	40.70								37	43.02		86	
		TOTAL		102	5.97		63	3.69								401	23.46								1143	66.88		1709	
	SIXTH			28	44.44			Excluded								21	33.33								14	22.22		63	
		TOTAL		130	7.61											422	24.69								1157	67.70		1709	
	SEVENTH				Excluded											88	67.69								42	32.31		130	
		TOTAL														510	29.84								1199	70.16		1709	
																									Elected				
																													
Widemere                                                       																													
	FIRST			73	4.59		91	5.72		31	1.95		21	1.32		603	37.90		44	2.77		3	0.19		725	45.57		1591	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		73	4.59		91	5.72		31	1.95		21	1.32		603	37.90		44	2.77					728	45.76		1591	
	THIRD			9	29.03		12	38.71			Excluded		2	6.45		5	16.13		1	3.23					2	6.45		31	
		TOTAL		82	5.15		103	6.47					23	1.45		608	38.21		45	2.83					730	45.88		1591	
	FOURTH			11	24.44		1	2.22					2	4.44		16	35.56			Excluded					15	33.33		45	
		TOTAL		93	5.85		104	6.54					25	1.57		624	39.22								745	46.83		1591	
	FIFTH			4	16.00		1	4.00						Excluded		15	60.00								5	20.00		25	
		TOTAL		97	6.10		105	6.60								639	40.16								750	47.14		1591	
	SIXTH			35	33.33			Excluded								50	47.62								20	19.05		105	
		TOTAL		132	8.30											689	43.31								770	48.40		1591	
	SEVENTH				Excluded											75	56.82								57	43.18		132	
		TOTAL														764	48.02								827	51.98		1591	
																									Elected				
																													
William Stimson                                                																													
	FIRST			113	3.92		85	2.95		37	1.28		73	2.53		737	25.59		62	2.15		37	1.28		1736	60.28		2880	
	SECOND			0	0.00		0	0.00		1	2.70		1	2.70		0	0.00		14	37.84			Excluded		21	56.76		37	
		TOTAL		113	3.92		85	2.95		38	1.32		74	2.57		737	25.59		76	2.64					1757	61.01		2880	
	THIRD			11	28.95		10	26.32			Excluded		3	7.89		8	21.05		0	0.00					6	15.79		38	
		TOTAL		124	4.31		95	3.30					77	2.67		745	25.87		76	2.64					1763	61.22		2880	
	FOURTH			29	38.16		5	6.58					5	6.58		11	14.47			Excluded					26	34.21		76	
		TOTAL		153	5.31		100	3.47					82	2.85		756	26.25								1789	62.12		2880	
	FIFTH			14	17.07		9	10.98						Excluded		42	51.22								17	20.73		82	
		TOTAL		167	5.80		109	3.78								798	27.71								1806	62.71		2880	
	SIXTH			43	39.45			Excluded								36	33.03								30	27.52		109	
		TOTAL		210	7.29											834	28.96								1836	63.75		2880	
	SEVENTH				Excluded											113	53.81								97	46.19		210	
		TOTAL														947	32.88								1933	67.12		2880	
																									Elected				
																													
Special Hospital Team 1                                        																													
	FIRST			1	7.69		1	7.69		0	0.00		0	0.00		1	7.69		0	0.00		1	7.69		9	69.23		13	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		1	7.69		1	7.69		0	0.00		1	7.69		1	7.69		0	0.00					9	69.23		13	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	7.69		1	7.69					1	7.69		1	7.69		0	0.00					9	69.23		13	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00			Excluded					0	0.00		0	
		TOTAL		1	7.69		1	7.69					1	7.69		1	7.69								9	69.23		13	
	FIFTH			0	0.00		0	0.00						Excluded		0	0.00								1	100.00		1	
		TOTAL		1	7.69		1	7.69								1	7.69								10	76.92		13	
	SIXTH			1	100.00			Excluded								0	0.00								0	0.00		1	
		TOTAL		2	15.38											1	7.69								10	76.92		13	
	SEVENTH				Excluded											1	50.00								1	50.00		2	
		TOTAL														2	15.38								11	84.62		13	
																									Elected				
																													
ABSENT																													
	FIRST			366	7.70		277	5.82		123	2.59		111	2.33		1415	29.75		164	3.45		83	1.75		2217	46.61		4756	
	SECOND			17	20.48		0	0.00		1	1.20		3	3.61		9	10.84		16	19.28			Excluded		37	44.58		83	
		TOTAL		383	8.05		277	5.82		124	2.61		114	2.40		1424	29.94		180	3.78					2254	47.39		4756	
	THIRD			21	16.94		46	37.10			Excluded		4	3.23		19	15.32		10	8.06					24	19.35		124	
		TOTAL		404	8.49		323	6.79					118	2.48		1443	30.34		190	3.99					2278	47.90		4756	
	FOURTH			56	29.47		10	5.26					16	8.42		33	17.37			Excluded					75	39.47		190	
		TOTAL		460	9.67		333	7.00					134	2.82		1476	31.03								2353	49.47		4756	
	FIFTH			29	21.64		19	14.18						Excluded		53	39.55								33	24.63		134	
		TOTAL		489	10.28		352	7.40								1529	32.15								2386	50.17		4756	
	SIXTH			138	39.20			Excluded								125	35.51								89	25.28		352	
		TOTAL		627	13.18											1654	34.78								2475	52.04		4756	
	SEVENTH				Excluded											349	55.66								278	44.34		627	
		TOTAL														2003	42.12								2753	57.88		4756	
																									Elected				
																													
POSTAL																													
	FIRST			34	2.04		123	7.37		32	1.92		26	1.56		554	33.21		24	1.44		18	1.08		857	51.38		1668	
	SECOND			1	5.56		0	0.00		2	11.11		1	5.56		4	22.22		1	5.56			Excluded		9	50.00		18	
		TOTAL		35	2.10		123	7.37		34	2.04		27	1.62		558	33.45		25	1.50					866	51.92		1668	
	THIRD			9	26.47		13	38.24			Excluded		0	0.00		5	14.71		2	5.88					5	14.71		34	
		TOTAL		44	2.64		136	8.15					27	1.62		563	33.75		27	1.62					871	52.22		1668	
	FOURTH			8	29.63		3	11.11					3	11.11		5	18.52			Excluded					8	29.63		27	
		TOTAL		52	3.12		139	8.33					30	1.80		568	34.05								879	52.70		1668	
	FIFTH			4	13.33		5	16.67						Excluded		17	56.67								4	13.33		30	
		TOTAL		56	3.36		144	8.63								585	35.07								883	52.94		1668	
	SIXTH			34	23.61			Excluded								52	36.11								58	40.28		144	
		TOTAL		90	5.40											637	38.19								941	56.41		1668	
	SEVENTH				Excluded											46	51.11								44	48.89		90	
		TOTAL														683	40.95								985	59.05		1668	
																									Elected				
																													
PRE POLL																													
	FIRST			70	3.99		68	3.87		44	2.51		37	2.11		533	30.37		64	3.65		36	2.05		903	51.45		1755	
	SECOND			2	5.56		1	2.78		1	2.78		1	2.78		6	16.67		5	13.89			Excluded		20	55.56		36	
		TOTAL		72	4.10		69	3.93		45	2.56		38	2.17		539	30.71		69	3.93					923	52.59		1755	
	THIRD			8	17.78		15	33.33			Excluded		3	6.67		11	24.44		3	6.67					5	11.11		45	
		TOTAL		80	4.56		84	4.79					41	2.34		550	31.34		72	4.10					928	52.88		1755	
	FOURTH			15	20.83		3	4.17					3	4.17		17	23.61			Excluded					34	47.22		72	
		TOTAL		95	5.41		87	4.96					44	2.51		567	32.31								962	54.81		1755	
	FIFTH			8	18.18		7	15.91						Excluded		19	43.18								10	22.73		44	
		TOTAL		103	5.87		94	5.36								586	33.39								972	55.38		1755	
	SIXTH			34	36.17			Excluded								38	40.43								22	23.40		94	
		TOTAL		137	7.81											624	35.56								994	56.64		1755	
	SEVENTH				Excluded											78	56.93								59	43.07		137	
		TOTAL														702	40.00								1053	60.00		1755	
																									Elected				
																													
PROVISIONAL																													
	FIRST			20	5.59		13	3.63		7	1.96		24	6.70		62	17.32		6	1.68		8	2.23		218	60.89		358	
	SECOND			0	0.00		0	0.00		1	12.50		0	0.00		1	12.50		2	25.00			Excluded		4	50.00		8	
		TOTAL		20	5.59		13	3.63		8	2.23		24	6.70		63	17.60		8	2.23					222	62.01		358	
	THIRD			1	12.50		2	25.00			Excluded		0	0.00		4	50.00		0	0.00					1	12.50		8	
		TOTAL		21	5.87		15	4.19					24	6.70		67	18.72		8	2.23					223	62.29		358	
	FOURTH			4	50.00		0	0.00					0	0.00		3	37.50			Excluded					1	12.50		8	
		TOTAL		25	6.98		15	4.19					24	6.70		70	19.55								224	62.57		358	
	FIFTH			4	16.67		5	20.83						Excluded		9	37.50								6	25.00		24	
		TOTAL		29	8.10		20	5.59								79	22.07								230	64.25		358	
	SIXTH			9	45.00			Excluded								10	50.00								1	5.00		20	
		TOTAL		38	10.61											89	24.86								231	64.53		358	
	SEVENTH				Excluded											28	73.68								10	26.32		38	
		TOTAL														117	32.68								241	67.32		358	
																									Elected				
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
