House of Representatives - 2001 Election: New South Wales																													
Distribution of Preferences																													
By Polling Place																													
																													
Macarthur																													
				WATKINS			OATES			SANDERS			FARMER			LANTRY			KNOWLES			SHEPPARD			HUNT				
		TOTAL		72	3.97		879	48.43					773	42.59		24	1.32					32	1.76		35	1.93		1815	
	FOURTH			4	12.50		4	12.50					11	34.38		5	15.63						Excluded		8	25.00		32	
		TOTAL		76	4.19		883	48.65					784	43.20		29	1.60								43	2.37		1815	
	FIFTH			0	0.00		14	48.28					6	20.69			Excluded								9	31.03		29	
		TOTAL		76	4.19		897	49.42					790	43.53											52	2.87		1815	
	SIXTH			2	3.85		35	67.31					15	28.85												Excluded		52	
		TOTAL		78	4.30		932	51.35					805	44.35														1815	
	SEVENTH				Excluded		41	52.56					37	47.44														78	
		TOTAL					973	53.61					842	46.39														1815	
													Elected																
																													
Eschol Park                                                    																													
	FIRST			98	4.16		933	39.58		7	0.30		1185	50.28		54	2.29		17	0.72		21	0.89		42	1.78		2357	
	SECOND			1	14.29		3	42.86			Excluded		1	14.29		1	14.29		1	14.29		0	0.00		0	0.00		7	
		TOTAL		99	4.20		936	39.71					1186	50.32		55	2.33		18	0.76		21	0.89		42	1.78		2357	
	THIRD			3	16.67		4	22.22					4	22.22		3	16.67			Excluded		2	11.11		2	11.11		18	
		TOTAL		102	4.33		940	39.88					1190	50.49		58	2.46					23	0.98		44	1.87		2357	
	FOURTH			4	17.39		3	13.04					8	34.78		5	21.74						Excluded		3	13.04		23	
		TOTAL		106	4.50		943	40.01					1198	50.83		63	2.67								47	1.99		2357	
	FIFTH			6	9.52		23	36.51					9	14.29			Excluded								25	39.68		63	
		TOTAL		112	4.75		966	40.98					1207	51.21											72	3.05		2357	
	SIXTH			9	12.50		37	51.39					26	36.11												Excluded		72	
		TOTAL		121	5.13		1003	42.55					1233	52.31														2357	
	SEVENTH				Excluded		66	54.55					55	45.45														121	
		TOTAL					1069	45.35					1288	54.65														2357	
													Elected																
																													
Harrington Park                                                																													
	FIRST			22	1.83		294	24.46		1	0.08		819	68.14		19	1.58		13	1.08		4	0.33		30	2.50		1202	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		22	1.83		294	24.46					819	68.14		19	1.58		13	1.08		4	0.33		31	2.58		1202	
	THIRD			2	15.38		2	15.38					3	23.08		1	7.69			Excluded		3	23.08		2	15.38		13	
		TOTAL		24	2.00		296	24.63					822	68.39		20	1.66					7	0.58		33	2.75		1202	
	FOURTH			1	14.29		0	0.00					2	28.57		2	28.57						Excluded		2	28.57		7	
		TOTAL		25	2.08		296	24.63					824	68.55		22	1.83								35	2.91		1202	
	FIFTH			1	4.55		7	31.82					3	13.64			Excluded								11	50.00		22	
		TOTAL		26	2.16		303	25.21					827	68.80											46	3.83		1202	
	SIXTH			6	13.04		29	63.04					11	23.91												Excluded		46	
		TOTAL		32	2.66		332	27.62					838	69.72														1202	
	SEVENTH				Excluded		19	59.38					13	40.63														32	
		TOTAL					351	29.20					851	70.80														1202	
													Elected																
																													
Kentlyn                                                        																													
	FIRST			52	6.36		192	23.50		0	0.00		517	63.28		18	2.20		4	0.49		11	1.35		23	2.82		817	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		52	6.36		192	23.50					517	63.28		18	2.20		4	0.49		11	1.35		23	2.82		817	
	THIRD			0	0.00		3	75.00					0	0.00		1	25.00			Excluded		0	0.00		0	0.00		4	
		TOTAL		52	6.36		195	23.87					517	63.28		19	2.33					11	1.35		23	2.82		817	
	FOURTH			0	0.00		1	9.09					8	72.73		1	9.09						Excluded		1	9.09		11	
		TOTAL		52	6.36		196	23.99					525	64.26		20	2.45								24	2.94		817	
	FIFTH			3	15.00		4	20.00					7	35.00			Excluded								6	30.00		20	
		TOTAL		55	6.73		200	24.48					532	65.12											30	3.67		817	
	SIXTH			6	20.00		15	50.00					9	30.00												Excluded		30	
		TOTAL		61	7.47		215	26.32					541	66.22														817	
	SEVENTH				Excluded		25	40.98					36	59.02														61	
		TOTAL					240	29.38					577	70.62														817	
													Elected																
																													
Leppington                                                     																													
	FIRST			53	5.01		322	30.46		3	0.28		606	57.33		16	1.51		7	0.66		8	0.76		42	3.97		1057	
	SECOND			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		53	5.01		324	30.65					607	57.43		16	1.51		7	0.66		8	0.76		42	3.97		1057	
	THIRD			0	0.00		0	0.00					1	14.29		1	14.29			Excluded		1	14.29		4	57.14		7	
		TOTAL		53	5.01		324	30.65					608	57.52		17	1.61					9	0.85		46	4.35		1057	
	FOURTH			1	11.11		3	33.33					4	44.44		0	0.00						Excluded		1	11.11		9	
		TOTAL		54	5.11		327	30.94					612	57.90		17	1.61								47	4.45		1057	
	FIFTH			3	17.65		5	29.41					3	17.65			Excluded								6	35.29		17	
		TOTAL		57	5.39		332	31.41					615	58.18											53	5.01		1057	
	SIXTH			4	7.55		30	56.60					19	35.85												Excluded		53	
		TOTAL		61	5.77		362	34.25					634	59.98														1057	
	SEVENTH				Excluded		38	62.30					23	37.70														61	
		TOTAL					400	37.84					657	62.16														1057	
													Elected																
																													
Leumeah (Macarthur)                                            																													
	FIRST			141	8.24		757	44.24		7	0.41		654	38.22		30	1.75		31	1.81		25	1.46		66	3.86		1711	
	SECOND			1	14.29		2	28.57			Excluded		3	42.86		1	14.29		0	0.00		0	0.00		0	0.00		7	
		TOTAL		142	8.30		759	44.36					657	38.40		31	1.81		31	1.81		25	1.46		66	3.86		1711	
	THIRD			5	16.13		17	54.84					2	6.45		1	3.23			Excluded		2	6.45		4	12.90		31	
		TOTAL		147	8.59		776	45.35					659	38.52		32	1.87					27	1.58		70	4.09		1711	
	FOURTH			4	14.81		5	18.52					11	40.74		2	7.41						Excluded		5	18.52		27	
		TOTAL		151	8.83		781	45.65					670	39.16		34	1.99								75	4.38		1711	
	FIFTH			3	8.82		12	35.29					7	20.59			Excluded								12	35.29		34	
		TOTAL		154	9.00		793	46.35					677	39.57											87	5.08		1711	
	SIXTH			12	13.79		54	62.07					21	24.14												Excluded		87	
		TOTAL		166	9.70		847	49.50					698	40.79														1711	
	SEVENTH				Excluded		74	44.58					92	55.42														166	
		TOTAL					921	53.83					790	46.17														1711	
													Elected																
																													
Leumeah North (Macarthur)                                      																													
	FIRST			38	5.97		233	36.64		1	0.16		319	50.16		13	2.04		1	0.16		20	3.14		11	1.73		636	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		38	5.97		233	36.64					319	50.16		13	2.04		1	0.16		20	3.14		12	1.89		636	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		38	5.97		233	36.64					319	50.16		14	2.20					20	3.14		12	1.89		636	
	FOURTH			2	10.00		3	15.00					10	50.00		5	25.00						Excluded		0	0.00		20	
		TOTAL		40	6.29		236	37.11					329	51.73		19	2.99								12	1.89		636	
	FIFTH			1	5.26		5	26.32					6	31.58			Excluded								7	36.84		19	
		TOTAL		41	6.45		241	37.89					335	52.67											19	2.99		636	
	SIXTH			2	10.53		12	63.16					5	26.32												Excluded		19	
		TOTAL		43	6.76		253	39.78					340	53.46														636	
	SEVENTH				Excluded		29	67.44					14	32.56														43	
		TOTAL					282	44.34					354	55.66														636	
													Elected																
																													
Luddenham                                                      																													
	FIRST			24	7.08		60	17.70		0	0.00		233	68.73		5	1.47		5	1.47		5	1.47		7	2.06		339	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		24	7.08		60	17.70					233	68.73		5	1.47		5	1.47		5	1.47		7	2.06		339	
	THIRD			0	0.00		2	40.00					0	0.00		2	40.00			Excluded		0	0.00		1	20.00		5	
		TOTAL		24	7.08		62	18.29					233	68.73		7	2.06					5	1.47		8	2.36		339	
	FOURTH			3	60.00		0	0.00					2	40.00		0	0.00						Excluded		0	0.00		5	
		TOTAL		27	7.96		62	18.29					235	69.32		7	2.06								8	2.36		339	
	FIFTH			1	14.29		0	0.00					3	42.86			Excluded								3	42.86		7	
		TOTAL		28	8.26		62	18.29					238	70.21											11	3.24		339	
	SIXTH			2	18.18		3	27.27					6	54.55												Excluded		11	
		TOTAL		30	8.85		65	19.17					244	71.98														339	
	SEVENTH				Excluded		12	40.00					18	60.00														30	
		TOTAL					77	22.71					262	77.29														339	
													Elected																
																													
Menangle (Macarthur)                                           																													
	FIRST			12	4.84		59	23.79		0	0.00		170	68.55		2	0.81		1	0.40		0	0.00		4	1.61		248	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		12	4.84		59	23.79					170	68.55		2	0.81		1	0.40		0	0.00		4	1.61		248	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		12	4.84		59	23.79					170	68.55		2	0.81					0	0.00		5	2.02		248	
	FOURTH			0	0.00		0	0.00					0	0.00		0	0.00						Excluded		0	0.00		0	
		TOTAL		12	4.84		59	23.79					170	68.55		2	0.81								5	2.02		248	
	FIFTH			0	0.00		1	50.00					0	0.00			Excluded								1	50.00		2	
		TOTAL		12	4.84		60	24.19					170	68.55											6	2.42		248	
	SIXTH			1	16.67		2	33.33					3	50.00												Excluded		6	
		TOTAL		13	5.24		62	25.00					173	69.76														248	
	SEVENTH				Excluded		5	38.46					8	61.54														13	
		TOTAL					67	27.02					181	72.98														248	
													Elected																
																													
Mount Annan                                                    																													
	FIRST			107	3.99		798	29.74		6	0.22		1549	57.73		59	2.20		36	1.34		40	1.49		88	3.28		2683	
	SECOND			1	16.67		0	0.00			Excluded		2	33.33		2	33.33		0	0.00		1	16.67		0	0.00		6	
		TOTAL		108	4.03		798	29.74					1551	57.81		61	2.27		36	1.34		41	1.53		88	3.28		2683	
	THIRD			7	19.44		15	41.67					8	22.22		4	11.11			Excluded		0	0.00		2	5.56		36	
		TOTAL		115	4.29		813	30.30					1559	58.11		65	2.42					41	1.53		90	3.35		2683	
	FOURTH			2	4.88		6	14.63					29	70.73		1	2.44						Excluded		3	7.32		41	
		TOTAL		117	4.36		819	30.53					1588	59.19		66	2.46								93	3.47		2683	
	FIFTH			2	3.03		15	22.73					14	21.21			Excluded								35	53.03		66	
		TOTAL		119	4.44		834	31.08					1602	59.71											128	4.77		2683	
	SIXTH			18	14.06		83	64.84					27	21.09												Excluded		128	
		TOTAL		137	5.11		917	34.18					1629	60.72														2683	
	SEVENTH				Excluded		76	55.47					61	44.53														137	
		TOTAL					993	37.01					1690	62.99														2683	
													Elected																
																													
Narellan                                                       																													
	FIRST			90	4.19		642	29.89		3	0.14		1255	58.43		39	1.82		24	1.12		23	1.07		72	3.35		2148	
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		2	66.67		0	0.00		0	0.00		0	0.00		3	
		TOTAL		91	4.24		642	29.89					1255	58.43		41	1.91		24	1.12		23	1.07		72	3.35		2148	
	THIRD			1	4.17		8	33.33					5	20.83		4	16.67			Excluded		0	0.00		6	25.00		24	
		TOTAL		92	4.28		650	30.26					1260	58.66		45	2.09					23	1.07		78	3.63		2148	
	FOURTH			0	0.00		3	13.04					17	73.91		0	0.00						Excluded		3	13.04		23	
		TOTAL		92	4.28		653	30.40					1277	59.45		45	2.09								81	3.77		2148	
	FIFTH			3	6.67		13	28.89					14	31.11			Excluded								15	33.33		45	
		TOTAL		95	4.42		666	31.01					1291	60.10											96	4.47		2148	
	SIXTH			9	9.38		58	60.42					29	30.21												Excluded		96	
		TOTAL		104	4.84		724	33.71					1320	61.45														2148	
	SEVENTH				Excluded		51	49.04					53	50.96														104	
		TOTAL					775	36.08					1373	63.92														2148	
													Elected																
																													
Narellan Vale                                                  																													
	FIRST			192	5.29		1106	30.46		5	0.14		2113	58.19		71	1.96		29	0.80		32	0.88		83	2.29		3631	
	SECOND			0	0.00		2	40.00			Excluded		0	0.00		1	20.00		0	0.00		1	20.00		1	20.00		5	
		TOTAL		192	5.29		1108	30.52					2113	58.19		72	1.98		29	0.80		33	0.91		84	2.31		3631	
	THIRD			3	10.34		5	17.24					10	34.48		5	17.24			Excluded		1	3.45		5	17.24		29	
		TOTAL		195	5.37		1113	30.65					2123	58.47		77	2.12					34	0.94		89	2.45		3631	
	FOURTH			3	8.82		8	23.53					21	61.76		2	5.88						Excluded		0	0.00		34	
		TOTAL		198	5.45		1121	30.87					2144	59.05		79	2.18								89	2.45		3631	
	FIFTH			3	3.80		26	32.91					20	25.32			Excluded								30	37.97		79	
		TOTAL		201	5.54		1147	31.59					2164	59.60											119	3.28		3631	
	SIXTH			16	13.45		81	68.07					22	18.49												Excluded		119	
		TOTAL		217	5.98		1228	33.82					2186	60.20														3631	
	SEVENTH				Excluded		83	38.25					134	61.75														217	
		TOTAL					1311	36.11					2320	63.89														3631	
													Elected																
																													
Robert Townson (Macarthur)                                     																													
	FIRST			25	5.98		166	39.71		1	0.24		189	45.22		11	2.63		4	0.96		12	2.87		10	2.39		418	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		25	5.98		166	39.71					190	45.45		11	2.63		4	0.96		12	2.87		10	2.39		418	
	THIRD			1	25.00		0	0.00					1	25.00		1	25.00			Excluded		0	0.00		1	25.00		4	
		TOTAL		26	6.22		166	39.71					191	45.69		12	2.87					12	2.87		11	2.63		418	
	FOURTH			1	8.33		0	0.00					0	0.00		11	91.67						Excluded		0	0.00		12	
		TOTAL		27	6.46		166	39.71					191	45.69		23	5.50								11	2.63		418	
	FIFTH			1	4.35		3	13.04					13	56.52			Excluded								6	26.09		23	
		TOTAL		28	6.70		169	40.43					204	48.80											17	4.07		418	
	SIXTH			1	5.88		10	58.82					6	35.29												Excluded		17	
		TOTAL		29	6.94		179	42.82					210	50.24														418	
	SEVENTH				Excluded		21	72.41					8	27.59														29	
		TOTAL					200	47.85					218	52.15														418	
													Elected																
																													
Rosemeadow                                                     																													
	FIRST			137	4.55		1449	48.09		13	0.43		1192	39.56		73	2.42		36	1.19		36	1.19		77	2.56		3013	
	SECOND			1	7.69		2	15.38			Excluded		4	30.77		1	7.69		0	0.00		1	7.69		4	30.77		13	
		TOTAL		138	4.58		1451	48.16					1196	39.69		74	2.46		36	1.19		37	1.23		81	2.69		3013	
	THIRD			0	0.00		18	50.00					5	13.89		5	13.89			Excluded		3	8.33		5	13.89		36	
		TOTAL		138	4.58		1469	48.76					1201	39.86		79	2.62					40	1.33		86	2.85		3013	
	FOURTH			3	7.50		6	15.00					18	45.00		3	7.50						Excluded		10	25.00		40	
		TOTAL		141	4.68		1475	48.95					1219	40.46		82	2.72								96	3.19		3013	
	FIFTH			1	1.22		22	26.83					20	24.39			Excluded								39	47.56		82	
		TOTAL		142	4.71		1497	49.68					1239	41.12											135	4.48		3013	
	SIXTH			19	14.07		68	50.37					48	35.56												Excluded		135	
		TOTAL		161	5.34		1565	51.94					1287	42.71														3013	
	SEVENTH				Excluded		106	65.84					55	34.16														161	
		TOTAL					1671	55.46					1342	44.54														3013	
													Elected																
																													
Rossmore                                                       																													
	FIRST			58	5.10		310	27.24		5	0.44		689	60.54		17	1.49		13	1.14		6	0.53		40	3.51		1138	
	SECOND			0	0.00		2	40.00			Excluded		0	0.00		2	40.00		0	0.00		0	0.00		1	20.00		5	
		TOTAL		58	5.10		312	27.42					689	60.54		19	1.67		13	1.14		6	0.53		41	3.60		1138	
	THIRD			1	7.69		5	38.46					3	23.08		1	7.69			Excluded		1	7.69		2	15.38		13	
		TOTAL		59	5.18		317	27.86					692	60.81		20	1.76					7	0.62		43	3.78		1138	
	FOURTH			3	42.86		1	14.29					2	28.57		0	0.00						Excluded		1	14.29		7	
		TOTAL		62	5.45		318	27.94					694	60.98		20	1.76								44	3.87		1138	
	FIFTH			2	10.00		6	30.00					6	30.00			Excluded								6	30.00		20	
		TOTAL		64	5.62		324	28.47					700	61.51											50	4.39		1138	
	SIXTH			8	16.00		26	52.00					16	32.00												Excluded		50	
		TOTAL		72	6.33		350	30.76					716	62.92														1138	
	SEVENTH				Excluded		38	52.78					34	47.22														72	
		TOTAL					388	34.09					750	65.91														1138	
													Elected																
																													
Ruse                                                           																													
	FIRST			178	6.05		1094	37.19		6	0.20		1412	47.99		79	2.69		39	1.33		59	2.01		75	2.55		2942	
	SECOND			2	33.33		0	0.00			Excluded		1	16.67		0	0.00		1	16.67		2	33.33		0	0.00		6	
		TOTAL		180	6.12		1094	37.19					1413	48.03		79	2.69		40	1.36		61	2.07		75	2.55		2942	
	THIRD			5	12.50		16	40.00					2	5.00		8	20.00			Excluded		4	10.00		5	12.50		40	
		TOTAL		185	6.29		1110	37.73					1415	48.10		87	2.96					65	2.21		80	2.72		2942	
	FOURTH			7	10.77		9	13.85					39	60.00		4	6.15						Excluded		6	9.23		65	
		TOTAL		192	6.53		1119	38.04					1454	49.42		91	3.09								86	2.92		2942	
	FIFTH			7	7.69		32	35.16					22	24.18			Excluded								30	32.97		91	
		TOTAL		199	6.76		1151	39.12					1476	50.17											116	3.94		2942	
	SIXTH			19	16.38		56	48.28					41	35.34												Excluded		116	
		TOTAL		218	7.41		1207	41.03					1517	51.56														2942	
	SEVENTH				Excluded		101	46.33					117	53.67														218	
		TOTAL					1308	44.46					1634	55.54														2942	
													Elected																
																													
St Helens Park                                                 																													
	FIRST			47	3.99		528	44.82		2	0.17		501	42.53		21	1.78		13	1.10		22	1.87		44	3.74		1178	
	SECOND			1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL		48	4.07		528	44.82					501	42.53		21	1.78		13	1.10		22	1.87		45	3.82		1178	
	THIRD			2	15.38		3	23.08					3	23.08		1	7.69			Excluded		2	15.38		2	15.38		13	
		TOTAL		50	4.24		531	45.08					504	42.78		22	1.87					24	2.04		47	3.99		1178	
	FOURTH			1	4.17		6	25.00					8	33.33		3	12.50						Excluded		6	25.00		24	
		TOTAL		51	4.33		537	45.59					512	43.46		25	2.12								53	4.50		1178	
	FIFTH			3	12.00		8	32.00					5	20.00			Excluded								9	36.00		25	
		TOTAL		54	4.58		545	46.26					517	43.89											62	5.26		1178	
	SIXTH			11	17.74		33	53.23					18	29.03												Excluded		62	
		TOTAL		65	5.52		578	49.07					535	45.42														1178	
	SEVENTH				Excluded		40	61.54					25	38.46														65	
		TOTAL					618	52.46					560	47.54														1178	
													Elected																
																													
Sydney (Macarthur)                                             																													
	FIRST			2	2.38		25	29.76		0	0.00		41	48.81		10	11.90		2	2.38		1	1.19		3	3.57		84	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	2.38		25	29.76					41	48.81		10	11.90		2	2.38		1	1.19		3	3.57		84	
	THIRD			0	0.00		0	0.00					0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2	
		TOTAL		2	2.38		25	29.76					41	48.81		11	13.10					1	1.19		4	4.76		84	
	FOURTH			0	0.00		0	0.00					0	0.00		1	100.00						Excluded		0	0.00		1	
		TOTAL		2	2.38		25	29.76					41	48.81		12	14.29								4	4.76		84	
	FIFTH			1	8.33		4	33.33					2	16.67			Excluded								5	41.67		12	
		TOTAL		3	3.57		29	34.52					43	51.19											9	10.71		84	
	SIXTH			1	11.11		6	66.67					2	22.22												Excluded		9	
		TOTAL		4	4.76		35	41.67					45	53.57														84	
	SEVENTH				Excluded		3	75.00					1	25.00														4	
		TOTAL					38	45.24					46	54.76														84	
													Elected																
																													
Wedderburn                                                     																													
	FIRST			21	6.86		55	17.97		0	0.00		205	66.99		2	0.65		1	0.33		4	1.31		18	5.88		306	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		21	6.86		55	17.97					205	66.99		2	0.65		1	0.33		4	1.31		18	5.88		306	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1	
		TOTAL		21	6.86		55	17.97					205	66.99		2	0.65					4	1.31		19	6.21		306	
	FOURTH			0	0.00		0	0.00					3	75.00		0	0.00						Excluded		1	25.00		4	
		TOTAL		21	6.86		55	17.97					208	67.97		2	0.65								20	6.54		306	
	FIFTH			0	0.00		0	0.00					0	0.00			Excluded								2	100.00		2	
		TOTAL		21	6.86		55	17.97					208	67.97											22	7.19		306	
	SIXTH			1	4.55		14	63.64					7	31.82												Excluded		22	
		TOTAL		22	7.19		69	22.55					215	70.26														306	
	SEVENTH				Excluded		8	36.36					14	63.64														22	
		TOTAL					77	25.16					229	74.84														306	
													Elected																
																													
Woodbine                                                       																													
	FIRST			74	4.87		584	38.40		9	0.59		741	48.72		20	1.31		23	1.51		28	1.84		42	2.76		1521	
	SECOND			2	22.22		2	22.22			Excluded		3	33.33		0	0.00		1	11.11		1	11.11		0	0.00		9	
		TOTAL		76	5.00		586	38.53					744	48.92		20	1.31		24	1.58		29	1.91		42	2.76		1521	
	THIRD			0	0.00		14	58.33					0	0.00		4	16.67			Excluded		3	12.50		3	12.50		24	
		TOTAL		76	5.00		600	39.45					744	48.92		24	1.58					32	2.10		45	2.96		1521	
	FOURTH			1	3.13		5	15.63					20	62.50		3	9.38						Excluded		3	9.38		32	
		TOTAL		77	5.06		605	39.78					764	50.23		27	1.78								48	3.16		1521	
	FIFTH			2	7.41		5	18.52					10	37.04			Excluded								10	37.04		27	
		TOTAL		79	5.19		610	40.11					774	50.89											58	3.81		1521	
	SIXTH			7	12.07		29	50.00					22	37.93												Excluded		58	
		TOTAL		86	5.65		639	42.01					796	52.33														1521	
	SEVENTH				Excluded		54	62.79					32	37.21														86	
		TOTAL					693	45.56					828	54.44														1521	
													Elected																
																													
Special Hospital Team 1                                        																													
	FIRST			4	13.79		12	41.38		0	0.00		9	31.03		1	3.45		0	0.00		2	6.90		1	3.45		29	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	13.79		12	41.38					9	31.03		1	3.45		0	0.00		2	6.90		1	3.45		29	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		4	13.79		12	41.38					9	31.03		1	3.45					2	6.90		1	3.45		29	
	FOURTH			0	0.00		1	50.00					0	0.00		1	50.00						Excluded		0	0.00		2	
		TOTAL		4	13.79		13	44.83					9	31.03		2	6.90								1	3.45		29	
	FIFTH			0	0.00		1	50.00					0	0.00			Excluded								1	50.00		2	
		TOTAL		4	13.79		14	48.28					9	31.03											2	6.90		29	
	SIXTH			0	0.00		1	50.00					1	50.00												Excluded		2	
		TOTAL		4	13.79		15	51.72					10	34.48														29	
	SEVENTH				Excluded		3	75.00					1	25.00														4	
		TOTAL					18	62.07					11	37.93														29	
													Elected																
																													
ABSENT																													
	FIRST			361	7.90		1539	33.69		42	0.92		2054	44.96		145	3.17		80	1.75		98	2.15		249	5.45		4568	
	SECOND			8	19.05		11	26.19			Excluded		9	21.43		6	14.29		4	9.52		2	4.76		2	4.76		42	
		TOTAL		369	8.08		1550	33.93					2063	45.16		151	3.31		84	1.84		100	2.19		251	5.49		4568	
	THIRD			17	20.24		12	14.29					11	13.10		16	19.05			Excluded		7	8.33		21	25.00		84	
		TOTAL		386	8.45		1562	34.19					2074	45.40		167	3.66					107	2.34		272	5.95		4568	
	FOURTH			8	7.48		18	16.82					37	34.58		33	30.84						Excluded		11	10.28		107	
		TOTAL		394	8.63		1580	34.59					2111	46.21		200	4.38								283	6.20		4568	
	FIFTH			13	6.50		46	23.00					64	32.00			Excluded								77	38.50		200	
		TOTAL		407	8.91		1626	35.60					2175	47.61											360	7.88		4568	
	SIXTH			70	19.44		175	48.61					115	31.94												Excluded		360	
		TOTAL		477	10.44		1801	39.43					2290	50.13														4568	
	SEVENTH				Excluded		285	59.75					192	40.25														477	
		TOTAL					2086	45.67					2482	54.33														4568	
													Elected																
																													
POSTAL																													
	FIRST			100	4.78		659	31.53		6	0.29		1186	56.75		52	2.49		14	0.67		35	1.67		38	1.82		2090	
	SECOND			4	66.67		1	16.67			Excluded		0	0.00		0	0.00		1	16.67		0	0.00		0	0.00		6	
		TOTAL		104	4.98		660	31.58					1186	56.75		52	2.49		15	0.72		35	1.67		38	1.82		2090	
	THIRD			2	13.33		4	26.67					3	20.00		3	20.00			Excluded		1	6.67		2	13.33		15	
		TOTAL		106	5.07		664	31.77					1189	56.89		55	2.63					36	1.72		40	1.91		2090	
	FOURTH			0	0.00		7	19.44					20	55.56		4	11.11						Excluded		5	13.89		36	
		TOTAL		106	5.07		671	32.11					1209	57.85		59	2.82								45	2.15		2090	
	FIFTH			4	6.78		21	35.59					16	27.12			Excluded								18	30.51		59	
		TOTAL		110	5.26		692	33.11					1225	58.61											63	3.01		2090	
	SIXTH			12	19.05		27	42.86					24	38.10												Excluded		63	
		TOTAL		122	5.84		719	34.40					1249	59.76														2090	
	SEVENTH				Excluded		62	50.82					60	49.18														122	
		TOTAL					781	37.37					1309	62.63														2090	
													Elected																
																													
PRE POLL																													
	FIRST			221	7.08		1046	33.51		12	0.38		1631	52.26		58	1.86		39	1.25		46	1.47		68	2.18		3121	
	SECOND			5	41.67		4	33.33			Excluded		0	0.00		1	8.33		1	8.33		1	8.33		0	0.00		12	
		TOTAL		226	7.24		1050	33.64					1631	52.26		59	1.89		40	1.28		47	1.51		68	2.18		3121	
	THIRD			5	12.50		5	12.50					5	12.50		10	25.00			Excluded		2	5.00		13	32.50		40	
		TOTAL		231	7.40		1055	33.80					1636	52.42		69	2.21					49	1.57		81	2.60		3121	
	FOURTH			6	12.24		10	20.41					25	51.02		1	2.04						Excluded		7	14.29		49	
		TOTAL		237	7.59		1065	34.12					1661	53.22		70	2.24								88	2.82		3121	
	FIFTH			0	0.00		21	30.00					25	35.71			Excluded								24	34.29		70	
		TOTAL		237	7.59		1086	34.80					1686	54.02											112	3.59		3121	
	SIXTH			12	10.71		56	50.00					44	39.29												Excluded		112	
		TOTAL		249	7.98		1142	36.59					1730	55.43														3121	
	SEVENTH				Excluded		113	45.38					136	54.62														249	
		TOTAL					1255	40.21					1866	59.79														3121	
													Elected																
																													
PROVISIONAL																													
	FIRST			31	6.58		174	36.94		4	0.85		229	48.62		8	1.70		3	0.64		3	0.64		19	4.03		471	
	SECOND			0	0.00		1	25.00			Excluded		2	50.00		0	0.00		1	25.00		0	0.00		0	0.00		4	
		TOTAL		31	6.58		175	37.15					231	49.04		8	1.70		4	0.85		3	0.64		19	4.03		471	
	THIRD			1	25.00		0	0.00					1	25.00		1	25.00			Excluded		1	25.00		0	0.00		4	
		TOTAL		32	6.79		175	37.15					232	49.26		9	1.91					4	0.85		19	4.03		471	
	FOURTH			0	0.00		2	50.00					0	0.00		1	25.00						Excluded		1	25.00		4	
		TOTAL		32	6.79		177	37.58					232	49.26		10	2.12								20	4.25		471	
	FIFTH			0	0.00		2	20.00					5	50.00			Excluded								3	30.00		10	
		TOTAL		32	6.79		179	38.00					237	50.32											23	4.88		471	
	SIXTH			3	13.04		9	39.13					11	47.83												Excluded		23	
		TOTAL		35	7.43		188	39.92					248	52.65														471	
	SEVENTH				Excluded		24	68.57					11	31.43														35	
		TOTAL					212	45.01					259	54.99														471	
													Elected																
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
