House of Representatives - 2001 Election: New South Wales																							
Distribution of Preferences																							
By Polling Place																							
																							
North Sydney																							
				WARD			HOCKEY			MCGUIRE			STEEL			LAM			TEIRNEY				
		TOTAL		42	1.63		1414	54.85		282	10.94		188	7.29					652	25.29		2578	
	THIRD				Excluded		23	54.76		3	7.14		8	19.05					8	19.05		42	
		TOTAL					1437	55.74		285	11.06		196	7.60					660	25.60		2578	
	FOURTH						25	12.76		115	58.67			Excluded					56	28.57		196	
		TOTAL					1462	56.71		400	15.52								716	27.77		2578	
	FIFTH						126	31.50			Excluded								274	68.50		400	
		TOTAL					1588	61.60											990	38.40		2578	
							Elected																
																							
Woolwich                                                       																							
	FIRST			8	1.18		444	65.29		53	7.79		45	6.62		4	0.59		126	18.53		680	
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		4	
		TOTAL		9	1.32		444	65.29		53	7.79		47	6.91					127	18.68		680	
	THIRD				Excluded		7	77.78		0	0.00		1	11.11					1	11.11		9	
		TOTAL					451	66.32		53	7.79		48	7.06					128	18.82		680	
	FOURTH						5	10.42		33	68.75			Excluded					10	20.83		48	
		TOTAL					456	67.06		86	12.65								138	20.29		680	
	FIFTH						19	22.09			Excluded								67	77.91		86	
		TOTAL					475	69.85											205	30.15		680	
							Elected																
																							
Special Hospital Team 1                                        																							
	FIRST			1	0.60		129	76.79		6	3.57		1	0.60		0	0.00		31	18.45		168	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.60		129	76.79		6	3.57		1	0.60					31	18.45		168	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					130	77.38		6	3.57		1	0.60					31	18.45		168	
	FOURTH						0	0.00		1	100.00			Excluded					0	0.00		1	
		TOTAL					130	77.38		7	4.17								31	18.45		168	
	FIFTH						1	14.29			Excluded								6	85.71		7	
		TOTAL					131	77.98											37	22.02		168	
							Elected																
																							
Special Hospital Team 2                                        																							
	FIRST			3	1.97		116	76.32		5	3.29		2	1.32		0	0.00		26	17.11		152	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.97		116	76.32		5	3.29		2	1.32					26	17.11		152	
	THIRD				Excluded		2	66.67		1	33.33		0	0.00					0	0.00		3	
		TOTAL					118	77.63		6	3.95		2	1.32					26	17.11		152	
	FOURTH						0	0.00		1	50.00			Excluded					1	50.00		2	
		TOTAL					118	77.63		7	4.61								27	17.76		152	
	FIFTH						3	42.86			Excluded								4	57.14		7	
		TOTAL					121	79.61											31	20.39		152	
							Elected																
																							
Special Hospital Team 3                                        																							
	FIRST			2	1.47		95	69.85		7	5.15		3	2.21		0	0.00		29	21.32		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	1.47		95	69.85		7	5.15		3	2.21					29	21.32		136	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					97	71.32		7	5.15		3	2.21					29	21.32		136	
	FOURTH						0	0.00		2	66.67			Excluded					1	33.33		3	
		TOTAL					97	71.32		9	6.62								30	22.06		136	
	FIFTH						5	55.56			Excluded								4	44.44		9	
		TOTAL					102	75.00											34	25.00		136	
							Elected																
																							
Special Hospital Team 4                                        																							
	FIRST			4	2.33		107	62.21		1	0.58		1	0.58		0	0.00		59	34.30		172	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.33		107	62.21		1	0.58		1	0.58					59	34.30		172	
	THIRD				Excluded		4	100.00		0	0.00		0	0.00					0	0.00		4	
		TOTAL					111	64.53		1	0.58		1	0.58					59	34.30		172	
	FOURTH						0	0.00		0	0.00			Excluded					1	100.00		1	
		TOTAL					111	64.53		1	0.58								60	34.88		172	
	FIFTH						1	100.00			Excluded								0	0.00		1	
		TOTAL					112	65.12											60	34.88		172	
							Elected																
																							
ABSENT																							
	FIRST			142	2.22		3544	55.40		638	9.97		656	10.25		66	1.03		1351	21.12		6397	
	SECOND			6	9.09		8	12.12		12	18.18		19	28.79			Excluded		21	31.82		66	
		TOTAL		148	2.31		3552	55.53		650	10.16		675	10.55					1372	21.45		6397	
	THIRD				Excluded		96	64.86		18	12.16		20	13.51					14	9.46		148	
		TOTAL					3648	57.03		668	10.44		695	10.86					1386	21.67		6397	
	FOURTH						116	16.69		371	53.38			Excluded					208	29.93		695	
		TOTAL					3764	58.84		1039	16.24								1594	24.92		6397	
	FIFTH						364	35.03			Excluded								675	64.97		1039	
		TOTAL					4128	64.53											2269	35.47		6397	
							Elected																
																							
POSTAL																							
	FIRST			69	1.95		2367	66.94		203	5.74		159	4.50		37	1.05		701	19.82		3536	
	SECOND			1	2.70		10	27.03		4	10.81		5	13.51			Excluded		17	45.95		37	
		TOTAL		70	1.98		2377	67.22		207	5.85		164	4.64					718	20.31		3536	
	THIRD				Excluded		43	61.43		12	17.14		7	10.00					8	11.43		70	
		TOTAL					2420	68.44		219	6.19		171	4.84					726	20.53		3536	
	FOURTH						19	11.11		110	64.33			Excluded					42	24.56		171	
		TOTAL					2439	68.98		329	9.30								768	21.72		3536	
	FIFTH						110	33.43			Excluded								219	66.57		329	
		TOTAL					2549	72.09											987	27.91		3536	
							Elected																
																							
PRE POLL																							
	FIRST			63	1.28		2846	57.62		416	8.42		315	6.38		92	1.86		1207	24.44		4939	
	SECOND			5	5.43		23	25.00		9	9.78		22	23.91			Excluded		33	35.87		92	
		TOTAL		68	1.38		2869	58.09		425	8.60		337	6.82					1240	25.11		4939	
	THIRD				Excluded		39	57.35		16	23.53		10	14.71					3	4.41		68	
		TOTAL					2908	58.88		441	8.93		347	7.03					1243	25.17		4939	
	FOURTH						53	15.27		211	60.81			Excluded					83	23.92		347	
		TOTAL					2961	59.95		652	13.20								1326	26.85		4939	
	FIFTH						232	35.58			Excluded								420	64.42		652	
		TOTAL					3193	64.65											1746	35.35		4939	
							Elected																
																							
PROVISIONAL																							
	FIRST			9	2.13		224	53.08		35	8.29		42	9.95		4	0.95		108	25.59		422	
	SECOND			1	25.00		1	25.00		0	0.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		10	2.37		225	53.32		35	8.29		43	10.19					109	25.83		422	
	THIRD				Excluded		6	60.00		0	0.00		2	20.00					2	20.00		10	
		TOTAL					231	54.74		35	8.29		45	10.66					111	26.30		422	
	FOURTH						6	13.33		27	60.00			Excluded					12	26.67		45	
		TOTAL					237	56.16		62	14.69								123	29.15		422	
	FIFTH						22	35.48			Excluded								40	64.52		62	
		TOTAL					259	61.37											163	38.63		422	
							Elected																
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
