House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences																															
By Polling Place																															
																															
Banks																															
				O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			MELHAM			BAISSARI			
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		13	2.51		12	2.32		39	7.54					181	35.01		1	0.19		14	2.71		248	47.97		9	1.74		517
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1
		TOTAL		13	2.51		12	2.32		39	7.54					181	35.01					15	2.90		248	47.97		9	1.74		517
	FOURTH			0	0.00		1	11.11		0	0.00					6	66.67					1	11.11		1	11.11			Excluded		9
		TOTAL		13	2.51		13	2.51		39	7.54					187	36.17					16	3.09		249	48.16					517
	FIFTH			2	15.38			Excluded		2	15.38					1	7.69					4	30.77		4	30.77					13
		TOTAL		15	2.90					41	7.93					188	36.36					20	3.87		253	48.94					517
	SIXTH				Excluded					10	66.67					1	6.67					4	26.67		0	0.00					15
		TOTAL								51	9.86					189	36.56					24	4.64		253	48.94					517
	SEVENTH									1	4.17					5	20.83						Excluded		18	75.00					24
		TOTAL								52	10.06					194	37.52								271	52.42					517
	EIGHTH										Excluded					38	73.08								14	26.92					52
		TOTAL														232	44.87								285	55.13					517
																									Elected						
																															
Peakhurst East                                                 																															
	FIRST			58	3.54		40	2.44		86	5.25		5	0.31		566	34.58		24	1.47		60	3.67		742	45.33		56	3.42		1637
	SECOND			0	0.00		0	0.00		2	40.00			Excluded		0	0.00		0	0.00		0	0.00		3	60.00		0	0.00		5
		TOTAL		58	3.54		40	2.44		88	5.38					566	34.58		24	1.47		60	3.67		745	45.51		56	3.42		1637
	THIRD			0	0.00		4	16.67		1	4.17					3	12.50			Excluded		8	33.33		7	29.17		1	4.17		24
		TOTAL		58	3.54		44	2.69		89	5.44					569	34.76					68	4.15		752	45.94		57	3.48		1637
	FOURTH			5	8.77		5	8.77		2	3.51					25	43.86					8	14.04		12	21.05			Excluded		57
		TOTAL		63	3.85		49	2.99		91	5.56					594	36.29					76	4.64		764	46.67					1637
	FIFTH			7	14.29			Excluded		4	8.16					3	6.12					22	44.90		13	26.53					49
		TOTAL		70	4.28					95	5.80					597	36.47					98	5.99		777	47.46					1637
	SIXTH				Excluded					41	58.57					13	18.57					6	8.57		10	14.29					70
		TOTAL								136	8.31					610	37.26					104	6.35		787	48.08					1637
	SEVENTH									10	9.62					32	30.77						Excluded		62	59.62					104
		TOTAL								146	8.92					642	39.22								849	51.86					1637
	EIGHTH										Excluded					115	78.77								31	21.23					146
		TOTAL														757	46.24								880	53.76					1637
																									Elected						
																															
Peakhurst South                                                																															
	FIRST			45	2.61		51	2.96		129	7.49		1	0.06		863	50.12		3	0.17		84	4.88		511	29.67		35	2.03		1722
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		45	2.61		51	2.96		129	7.49					864	50.17		3	0.17		84	4.88		511	29.67		35	2.03		1722
	THIRD			0	0.00		1	33.33		0	0.00					0	0.00			Excluded		0	0.00		2	66.67		0	0.00		3
		TOTAL		45	2.61		52	3.02		129	7.49					864	50.17					84	4.88		513	29.79		35	2.03		1722
	FOURTH			3	8.57		4	11.43		1	2.86					19	54.29					4	11.43		4	11.43			Excluded		35
		TOTAL		48	2.79		56	3.25		130	7.55					883	51.28					88	5.11		517	30.02					1722
	FIFTH			3	5.36			Excluded		3	5.36					5	8.93					36	64.29		9	16.07					56
		TOTAL		51	2.96					133	7.72					888	51.57					124	7.20		526	30.55					1722
	SIXTH				Excluded					25	49.02					11	21.57					9	17.65		6	11.76					51
		TOTAL								158	9.18					899	52.21					133	7.72		532	30.89					1722
	SEVENTH									11	8.27					43	32.33						Excluded		79	59.40					133
		TOTAL								169	9.81					942	54.70								611	35.48					1722
	EIGHTH										Excluded					124	73.37								45	26.63					169
		TOTAL														1066	61.90								656	38.10					1722
																									Elected						
																															
Peakhurst West                                                 																															
	FIRST			87	3.39		58	2.26		152	5.92		6	0.23		1112	43.32		7	0.27		100	3.90		986	38.41		59	2.30		2567
	SECOND			0	0.00		0	0.00		1	16.67			Excluded		3	50.00		0	0.00		1	16.67		1	16.67		0	0.00		6
		TOTAL		87	3.39		58	2.26		153	5.96					1115	43.44		7	0.27		101	3.93		987	38.45		59	2.30		2567
	THIRD			0	0.00		0	0.00		0	0.00					2	28.57			Excluded		3	42.86		1	14.29		1	14.29		7
		TOTAL		87	3.39		58	2.26		153	5.96					1117	43.51					104	4.05		988	38.49		60	2.34		2567
	FOURTH			3	5.00		4	6.67		5	8.33					31	51.67					7	11.67		10	16.67			Excluded		60
		TOTAL		90	3.51		62	2.42		158	6.16					1148	44.72					111	4.32		998	38.88					2567
	FIFTH			9	14.52			Excluded		5	8.06					6	9.68					26	41.94		16	25.81					62
		TOTAL		99	3.86					163	6.35					1154	44.96					137	5.34		1014	39.50					2567
	SIXTH				Excluded					57	57.58					20	20.20					5	5.05		17	17.17					99
		TOTAL								220	8.57					1174	45.73					142	5.53		1031	40.16					2567
	SEVENTH									13	9.15					41	28.87						Excluded		88	61.97					142
		TOTAL								233	9.08					1215	47.33								1119	43.59					2567
	EIGHTH										Excluded					188	80.69								45	19.31					233
		TOTAL														1403	54.66								1164	45.34					2567
																									Elected						
																															
Penshurst                                                      																															
	FIRST			40	2.52		40	2.52		77	4.85		5	0.31		541	34.07		30	1.89		51	3.21		757	47.67		47	2.96		1588
	SECOND			1	20.00		0	0.00		1	20.00			Excluded		3	60.00		0	0.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		41	2.58		40	2.52		78	4.91					544	34.26		30	1.89		51	3.21		757	47.67		47	2.96		1588
	THIRD			1	3.33		4	13.33		0	0.00					1	3.33			Excluded		3	10.00		19	63.33		2	6.67		30
		TOTAL		42	2.64		44	2.77		78	4.91					545	34.32					54	3.40		776	48.87		49	3.09		1588
	FOURTH			1	2.04		1	2.04		0	0.00					29	59.18					4	8.16		14	28.57			Excluded		49
		TOTAL		43	2.71		45	2.83		78	4.91					574	36.15					58	3.65		790	49.75					1588
	FIFTH			4	8.89			Excluded		2	4.44					5	11.11					15	33.33		19	42.22					45
		TOTAL		47	2.96					80	5.04					579	36.46					73	4.60		809	50.94					1588
	SIXTH				Excluded					21	44.68					6	12.77					8	17.02		12	25.53					47
		TOTAL								101	6.36					585	36.84					81	5.10		821	51.70					1588
	SEVENTH									5	6.17					27	33.33						Excluded		49	60.49					81
		TOTAL								106	6.68					612	38.54								870	54.79					1588
	EIGHTH										Excluded					81	76.42								25	23.58					106
		TOTAL														693	43.64								895	56.36					1588
																									Elected						
																															
Penshurst Central                                              																															
	FIRST			49	2.53		67	3.46		76	3.92		20	1.03		594	30.63		22	1.13		95	4.90		946	48.79		70	3.61		1939
	SECOND			1	5.00		3	15.00		2	10.00			Excluded		9	45.00		1	5.00		2	10.00		1	5.00		1	5.00		20
		TOTAL		50	2.58		70	3.61		78	4.02					603	31.10		23	1.19		97	5.00		947	48.84		71	3.66		1939
	THIRD			0	0.00		2	8.70		0	0.00					2	8.70			Excluded		3	13.04		15	65.22		1	4.35		23
		TOTAL		50	2.58		72	3.71		78	4.02					605	31.20					100	5.16		962	49.61		72	3.71		1939
	FOURTH			5	6.94		3	4.17		3	4.17					37	51.39					6	8.33		18	25.00			Excluded		72
		TOTAL		55	2.84		75	3.87		81	4.18					642	33.11					106	5.47		980	50.54					1939
	FIFTH			9	12.00			Excluded		6	8.00					5	6.67					31	41.33		24	32.00					75
		TOTAL		64	3.30					87	4.49					647	33.37					137	7.07		1004	51.78					1939
	SIXTH				Excluded					39	60.94					7	10.94					10	15.63		8	12.50					64
		TOTAL								126	6.50					654	33.73					147	7.58		1012	52.19					1939
	SEVENTH									14	9.52					34	23.13						Excluded		99	67.35					147
		TOTAL								140	7.22					688	35.48								1111	57.30					1939
	EIGHTH										Excluded					106	75.71								34	24.29					140
		TOTAL														794	40.95								1145	59.05					1939
																									Elected						
																															
Picnic Point North                                             																															
	FIRST			57	2.76		53	2.57		179	8.67		8	0.39		882	42.73		7	0.34		71	3.44		741	35.90		66	3.20		2064
	SECOND			0	0.00		0	0.00		2	25.00			Excluded		1	12.50		1	12.50		1	12.50		3	37.50		0	0.00		8
		TOTAL		57	2.76		53	2.57		181	8.77					883	42.78		8	0.39		72	3.49		744	36.05		66	3.20		2064
	THIRD			0	0.00		2	25.00		0	0.00					0	0.00			Excluded		2	25.00		4	50.00		0	0.00		8
		TOTAL		57	2.76		55	2.66		181	8.77					883	42.78					74	3.59		748	36.24		66	3.20		2064
	FOURTH			6	9.09		1	1.52		4	6.06					36	54.55					5	7.58		14	21.21			Excluded		66
		TOTAL		63	3.05		56	2.71		185	8.96					919	44.53					79	3.83		762	36.92					2064
	FIFTH			5	8.93			Excluded		8	14.29					9	16.07					19	33.93		15	26.79					56
		TOTAL		68	3.29					193	9.35					928	44.96					98	4.75		777	37.65					2064
	SIXTH				Excluded					38	55.88					12	17.65					8	11.76		10	14.71					68
		TOTAL								231	11.19					940	45.54					106	5.14		787	38.13					2064
	SEVENTH									11	10.38					36	33.96						Excluded		59	55.66					106
		TOTAL								242	11.72					976	47.29								846	40.99					2064
	EIGHTH										Excluded					190	78.51								52	21.49					242
		TOTAL														1166	56.49								898	43.51					2064
																									Elected						
																															
Punchbowl (Banks)                                              																															
	FIRST			61	3.11		38	1.94		54	2.75		58	2.96		355	18.09		38	1.94		24	1.22		1289	65.70		45	2.29		1962
	SECOND			4	6.90		3	5.17		4	6.90			Excluded		26	44.83		1	1.72		2	3.45		11	18.97		7	12.07		58
		TOTAL		65	3.31		41	2.09		58	2.96					381	19.42		39	1.99		26	1.33		1300	66.26		52	2.65		1962
	THIRD			0	0.00		3	7.69		2	5.13					2	5.13			Excluded		9	23.08		22	56.41		1	2.56		39
		TOTAL		65	3.31		44	2.24		60	3.06					383	19.52					35	1.78		1322	67.38		53	2.70		1962
	FOURTH			9	16.98		2	3.77		3	5.66					14	26.42					4	7.55		21	39.62			Excluded		53
		TOTAL		74	3.77		46	2.34		63	3.21					397	20.23					39	1.99		1343	68.45					1962
	FIFTH			5	10.87			Excluded		9	19.57					3	6.52					16	34.78		13	28.26					46
		TOTAL		79	4.03					72	3.67					400	20.39					55	2.80		1356	69.11					1962
	SIXTH				Excluded					44	55.70					15	18.99					6	7.59		14	17.72					79
		TOTAL								116	5.91					415	21.15					61	3.11		1370	69.83					1962
	SEVENTH									10	16.39					8	13.11						Excluded		43	70.49					61
		TOTAL								126	6.42					423	21.56								1413	72.02					1962
	EIGHTH										Excluded					89	70.63								37	29.37					126
		TOTAL														512	26.10								1450	73.90					1962
																									Elected						
																															
Revesby                                                        																															
	FIRST			54	3.44		29	1.84		101	6.42		10	0.64		387	24.62		25	1.59		38	2.42		887	56.42		41	2.61		1572
	SECOND			0	0.00		0	0.00		2	20.00			Excluded		1	10.00		2	20.00		2	20.00		2	20.00		1	10.00		10
		TOTAL		54	3.44		29	1.84		103	6.55					388	24.68		27	1.72		40	2.54		889	56.55		42	2.67		1572
	THIRD			0	0.00		4	14.81		1	3.70					0	0.00			Excluded		3	11.11		17	62.96		2	7.41		27
		TOTAL		54	3.44		33	2.10		104	6.62					388	24.68					43	2.74		906	57.63		44	2.80		1572
	FOURTH			2	4.55		2	4.55		0	0.00					17	38.64					6	13.64		17	38.64			Excluded		44
		TOTAL		56	3.56		35	2.23		104	6.62					405	25.76					49	3.12		923	58.72					1572
	FIFTH			2	5.71			Excluded		2	5.71					2	5.71					16	45.71		13	37.14					35
		TOTAL		58	3.69					106	6.74					407	25.89					65	4.13		936	59.54					1572
	SIXTH				Excluded					34	58.62					4	6.90					8	13.79		12	20.69					58
		TOTAL								140	8.91					411	26.15					73	4.64		948	60.31					1572
	SEVENTH									8	10.96					21	28.77						Excluded		44	60.27					73
		TOTAL								148	9.41					432	27.48								992	63.10					1572
	EIGHTH										Excluded					108	72.97								40	27.03					148
		TOTAL														540	34.35								1032	65.65					1572
																									Elected						
																															
Revesby North                                                  																															
	FIRST			154	5.41		77	2.70		192	6.74		18	0.63		822	28.85		16	0.56		58	2.04		1461	51.28		51	1.79		2849
	SECOND			1	5.56		1	5.56		2	11.11			Excluded		4	22.22		2	11.11		5	27.78		3	16.67		0	0.00		18
		TOTAL		155	5.44		78	2.74		194	6.81					826	28.99		18	0.63		63	2.21		1464	51.39		51	1.79		2849
	THIRD			0	0.00		1	5.56		0	0.00					3	16.67			Excluded		1	5.56		12	66.67		1	5.56		18
		TOTAL		155	5.44		79	2.77		194	6.81					829	29.10					64	2.25		1476	51.81		52	1.83		2849
	FOURTH			7	13.46		2	3.85		2	3.85					21	40.38					5	9.62		15	28.85			Excluded		52
		TOTAL		162	5.69		81	2.84		196	6.88					850	29.84					69	2.42		1491	52.33					2849
	FIFTH			17	20.99			Excluded		6	7.41					5	6.17					29	35.80		24	29.63					81
		TOTAL		179	6.28					202	7.09					855	30.01					98	3.44		1515	53.18					2849
	SIXTH				Excluded					125	69.83					17	9.50					11	6.15		26	14.53					179
		TOTAL								327	11.48					872	30.61					109	3.83		1541	54.09					2849
	SEVENTH									18	16.51					22	20.18						Excluded		69	63.30					109
		TOTAL								345	12.11					894	31.38								1610	56.51					2849
	EIGHTH										Excluded					254	73.62								91	26.38					345
		TOTAL														1148	40.29								1701	59.71					2849
																									Elected						
																															
Revesby South                                                  																															
	FIRST			93	3.77		79	3.20		233	9.43		2	0.08		877	35.51		16	0.65		71	2.87		1044	42.27		55	2.23		2470
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00		2
		TOTAL		93	3.77		80	3.24		233	9.43					877	35.51		16	0.65		72	2.91		1044	42.27		55	2.23		2470
	THIRD			0	0.00		2	12.50		5	31.25					0	0.00			Excluded		1	6.25		6	37.50		2	12.50		16
		TOTAL		93	3.77		82	3.32		238	9.64					877	35.51					73	2.96		1050	42.51		57	2.31		2470
	FOURTH			3	5.26		3	5.26		2	3.51					27	47.37					4	7.02		18	31.58			Excluded		57
		TOTAL		96	3.89		85	3.44		240	9.72					904	36.60					77	3.12		1068	43.24					2470
	FIFTH			17	20.00			Excluded		9	10.59					8	9.41					31	36.47		20	23.53					85
		TOTAL		113	4.57					249	10.08					912	36.92					108	4.37		1088	44.05					2470
	SIXTH				Excluded					62	54.87					18	15.93					17	15.04		16	14.16					113
		TOTAL								311	12.59					930	37.65					125	5.06		1104	44.70					2470
	SEVENTH									16	12.80					26	20.80						Excluded		83	66.40					125
		TOTAL								327	13.24					956	38.70								1187	48.06					2470
	EIGHTH										Excluded					233	71.25								94	28.75					327
		TOTAL														1189	48.14								1281	51.86					2470
																									Elected						
																															
Riverwood North                                                																															
	FIRST			35	2.50		24	1.71		76	5.43		15	1.07		265	18.93		37	2.64		14	1.00		905	64.64		29	2.07		1400
	SECOND			2	13.33		0	0.00		1	6.67			Excluded		5	33.33		0	0.00		2	13.33		5	33.33		0	0.00		15
		TOTAL		37	2.64		24	1.71		77	5.50					270	19.29		37	2.64		16	1.14		910	65.00		29	2.07		1400
	THIRD			1	2.70		3	8.11		1	2.70					5	13.51			Excluded		9	24.32		18	48.65		0	0.00		37
		TOTAL		38	2.71		27	1.93		78	5.57					275	19.64					25	1.79		928	66.29		29	2.07		1400
	FOURTH			0	0.00		1	3.45		1	3.45					13	44.83					2	6.90		12	41.38			Excluded		29
		TOTAL		38	2.71		28	2.00		79	5.64					288	20.57					27	1.93		940	67.14					1400
	FIFTH			4	14.29			Excluded		5	17.86					1	3.57					12	42.86		6	21.43					28
		TOTAL		42	3.00					84	6.00					289	20.64					39	2.79		946	67.57					1400
	SIXTH				Excluded					27	64.29					6	14.29					3	7.14		6	14.29					42
		TOTAL								111	7.93					295	21.07					42	3.00		952	68.00					1400
	SEVENTH									1	2.38					6	14.29						Excluded		35	83.33					42
		TOTAL								112	8.00					301	21.50								987	70.50					1400
	EIGHTH										Excluded					89	79.46								23	20.54					112
		TOTAL														390	27.86								1010	72.14					1400
																									Elected						
																															
Riverwood South                                                																															
	FIRST			42	2.86		40	2.72		71	4.84		7	0.48		496	33.79		28	1.91		34	2.32		721	49.11		29	1.98		1468
	SECOND			1	14.29		1	14.29		0	0.00			Excluded		2	28.57		0	0.00		2	28.57		1	14.29		0	0.00		7
		TOTAL		43	2.93		41	2.79		71	4.84					498	33.92		28	1.91		36	2.45		722	49.18		29	1.98		1468
	THIRD			1	3.57		2	7.14		0	0.00					3	10.71			Excluded		5	17.86		15	53.57		2	7.14		28
		TOTAL		44	3.00		43	2.93		71	4.84					501	34.13					41	2.79		737	50.20		31	2.11		1468
	FOURTH			0	0.00		0	0.00		4	12.90					16	51.61					0	0.00		11	35.48			Excluded		31
		TOTAL		44	3.00		43	2.93		75	5.11					517	35.22					41	2.79		748	50.95					1468
	FIFTH			2	4.65			Excluded		0	0.00					5	11.63					12	27.91		24	55.81					43
		TOTAL		46	3.13					75	5.11					522	35.56					53	3.61		772	52.59					1468
	SIXTH				Excluded					26	56.52					8	17.39					3	6.52		9	19.57					46
		TOTAL								101	6.88					530	36.10					56	3.81		781	53.20					1468
	SEVENTH									7	12.50					5	8.93						Excluded		44	78.57					56
		TOTAL								108	7.36					535	36.44								825	56.20					1468
	EIGHTH										Excluded					85	78.70								23	21.30					108
		TOTAL														620	42.23								848	57.77					1468
																									Elected						
																															
Sydney (Banks)                                                 																															
	FIRST			5	4.07		9	7.32		2	1.63		1	0.81		33	26.83		2	1.63		10	8.13		58	47.15		3	2.44		123
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		5	4.07		9	7.32		2	1.63					33	26.83		2	1.63		10	8.13		59	47.97		3	2.44		123
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		2	100.00		0	0.00		2
		TOTAL		5	4.07		9	7.32		2	1.63					33	26.83					10	8.13		61	49.59		3	2.44		123
	FOURTH			0	0.00		1	33.33		0	0.00					2	66.67					0	0.00		0	0.00			Excluded		3
		TOTAL		5	4.07		10	8.13		2	1.63					35	28.46					10	8.13		61	49.59					123
	FIFTH			2	20.00			Excluded		0	0.00					1	10.00					7	70.00		0	0.00					10
		TOTAL		7	5.69					2	1.63					36	29.27					17	13.82		61	49.59					123
	SIXTH				Excluded					3	42.86					2	28.57					1	14.29		1	14.29					7
		TOTAL								5	4.07					38	30.89					18	14.63		62	50.41					123
	SEVENTH									1	5.56					4	22.22						Excluded		13	72.22					18
		TOTAL								6	4.88					42	34.15								75	60.98					123
	EIGHTH										Excluded					5	83.33								1	16.67					6
		TOTAL														47	38.21								76	61.79					123
																									Elected						
																															
Special Hospital Team 1                                        																															
	FIRST			1	0.74		0	0.00		3	2.22		0	0.00		65	48.15		0	0.00		0	0.00		64	47.41		2	1.48		135
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.74		0	0.00		3	2.22					65	48.15		0	0.00		0	0.00		64	47.41		2	1.48		135
	THIRD			0	0.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.74		0	0.00		3	2.22					65	48.15					0	0.00		64	47.41		2	1.48		135
	FOURTH			0	0.00		0	0.00		0	0.00					0	0.00					0	0.00		2	100.00			Excluded		2
		TOTAL		1	0.74		0	0.00		3	2.22					65	48.15					0	0.00		66	48.89					135
	FIFTH			0	0.00			Excluded		0	0.00					0	0.00					0	0.00		0	0.00					0
		TOTAL		1	0.74					3	2.22					65	48.15					0	0.00		66	48.89					135
	SIXTH				Excluded					1	100.00					0	0.00					0	0.00		0	0.00					1
		TOTAL								4	2.96					65	48.15					0	0.00		66	48.89					135
	SEVENTH									0	0.00					0	0.00						Excluded		0	0.00					0
		TOTAL								4	2.96					65	48.15								66	48.89					135
	EIGHTH										Excluded					3	75.00								1	25.00					4
		TOTAL														68	50.37								67	49.63					135
																									Elected						
																															
ABSENT																															
	FIRST			266	5.49		269	5.56		246	5.08		77	1.59		1633	33.73		66	1.36		214	4.42		1915	39.56		155	3.20		4841
	SECOND			6	7.79		10	12.99		9	11.69			Excluded		22	28.57		5	6.49		8	10.39		11	14.29		6	7.79		77
		TOTAL		272	5.62		279	5.76		255	5.27					1655	34.19		71	1.47		222	4.59		1926	39.79		161	3.33		4841
	THIRD			8	11.27		5	7.04		6	8.45					11	15.49			Excluded		18	25.35		22	30.99		1	1.41		71
		TOTAL		280	5.78		284	5.87		261	5.39					1666	34.41					240	4.96		1948	40.24		162	3.35		4841
	FOURTH			11	6.79		15	9.26		7	4.32					67	41.36					20	12.35		42	25.93			Excluded		162
		TOTAL		291	6.01		299	6.18		268	5.54					1733	35.80					260	5.37		1990	41.11					4841
	FIFTH			58	19.40			Excluded		33	11.04					31	10.37					102	34.11		75	25.08					299
		TOTAL		349	7.21					301	6.22					1764	36.44					362	7.48		2065	42.66					4841
	SIXTH				Excluded					178	51.00					77	22.06					36	10.32		58	16.62					349
		TOTAL								479	9.89					1841	38.03					398	8.22		2123	43.85					4841
	SEVENTH									45	11.31					122	30.65						Excluded		231	58.04					398
		TOTAL								524	10.82					1963	40.55								2354	48.63					4841
	EIGHTH										Excluded					364	69.47								160	30.53					524
		TOTAL														2327	48.07								2514	51.93					4841
																									Elected						
																															
POSTAL																															
	FIRST			88	3.09		33	1.16		177	6.21		5	0.18		1150	40.37		15	0.53		57	2.00		1265	44.40		59	2.07		2849
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		4	80.00		0	0.00		0	0.00		1	20.00		0	0.00		5
		TOTAL		88	3.09		33	1.16		177	6.21					1154	40.51		15	0.53		57	2.00		1266	44.44		59	2.07		2849
	THIRD			1	6.67		1	6.67		0	0.00					4	26.67			Excluded		0	0.00		8	53.33		1	6.67		15
		TOTAL		89	3.12		34	1.19		177	6.21					1158	40.65					57	2.00		1274	44.72		60	2.11		2849
	FOURTH			3	5.00		3	5.00		8	13.33					28	46.67					4	6.67		14	23.33			Excluded		60
		TOTAL		92	3.23		37	1.30		185	6.49					1186	41.63					61	2.14		1288	45.21					2849
	FIFTH			8	21.62			Excluded		4	10.81					7	18.92					7	18.92		11	29.73					37
		TOTAL		100	3.51					189	6.63					1193	41.87					68	2.39		1299	45.59					2849
	SIXTH				Excluded					59	59.00					19	19.00					9	9.00		13	13.00					100
		TOTAL								248	8.70					1212	42.54					77	2.70		1312	46.05					2849
	SEVENTH									10	12.99					15	19.48						Excluded		52	67.53					77
		TOTAL								258	9.06					1227	43.07								1364	47.88					2849
	EIGHTH										Excluded					143	55.43								115	44.57					258
		TOTAL														1370	48.09								1479	51.91					2849
																									Elected						
																															
PRE POLL																															
	FIRST			123	4.16		98	3.31		192	6.49		20	0.68		1073	36.25		44	1.49		95	3.21		1223	41.32		92	3.11		2960
	SECOND			1	5.00		3	15.00		1	5.00			Excluded		5	25.00		1	5.00		3	15.00		3	15.00		3	15.00		20
		TOTAL		124	4.19		101	3.41		193	6.52					1078	36.42		45	1.52		98	3.31		1226	41.42		95	3.21		2960
	THIRD			2	4.44		3	6.67		2	4.44					3	6.67			Excluded		6	13.33		28	62.22		1	2.22		45
		TOTAL		126	4.26		104	3.51		195	6.59					1081	36.52					104	3.51		1254	42.36		96	3.24		2960
	FOURTH			4	4.17		4	4.17		5	5.21					53	55.21					10	10.42		20	20.83			Excluded		96
		TOTAL		130	4.39		108	3.65		200	6.76					1134	38.31					114	3.85		1274	43.04					2960
	FIFTH			25	23.15			Excluded		7	6.48					12	11.11					47	43.52		17	15.74					108
		TOTAL		155	5.24					207	6.99					1146	38.72					161	5.44		1291	43.61					2960
	SIXTH				Excluded					83	53.55					34	21.94					11	7.10		27	17.42					155
		TOTAL								290	9.80					1180	39.86					172	5.81		1318	44.53					2960
	SEVENTH									15	8.72					47	27.33						Excluded		110	63.95					172
		TOTAL								305	10.30					1227	41.45								1428	48.24					2960
	EIGHTH										Excluded					215	70.49								90	29.51					305
		TOTAL														1442	48.72								1518	51.28					2960
																									Elected						
																															
PROVISIONAL																															
	FIRST			27	7.44		13	3.58		19	5.23		1	0.28		98	27.00		2	0.55		10	2.75		185	50.96		8	2.20		363
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		28	7.71		13	3.58		19	5.23					98	27.00		2	0.55		10	2.75		185	50.96		8	2.20		363
	THIRD			1	50.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		29	7.99		13	3.58		19	5.23					98	27.00					10	2.75		186	51.24		8	2.20		363
	FOURTH			0	0.00		0	0.00		0	0.00					3	37.50					1	12.50		4	50.00			Excluded		8
		TOTAL		29	7.99		13	3.58		19	5.23					101	27.82					11	3.03		190	52.34					363
	FIFTH			2	15.38			Excluded		1	7.69					1	7.69					3	23.08		6	46.15					13
		TOTAL		31	8.54					20	5.51					102	28.10					14	3.86		196	53.99					363
	SIXTH				Excluded					17	54.84					4	12.90					3	9.68		7	22.58					31
		TOTAL								37	10.19					106	29.20					17	4.68		203	55.92					363
	SEVENTH									3	17.65					2	11.76						Excluded		12	70.59					17
		TOTAL								40	11.02					108	29.75								215	59.23					363
	EIGHTH										Excluded					24	60.00								16	40.00					40
		TOTAL														132	36.36								231	63.64					363
																									Elected						
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
