House of Representatives - 2001 Election: New South Wales																															
Distribution of Preferences 																															
By Polling Place																															
																															
Chifley																															
				ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			PRICE			WYNESS			
	FIRST			716	28.94		37	1.50		14	0.57		177	7.15		166	6.71		41	1.66		37	1.50		1224	49.47		62	2.51		2474
	SECOND			3	21.43		1	7.14			Excluded		2	14.29		2	14.29		1	7.14		1	7.14		4	28.57		0	0.00		14
		TOTAL		719	29.06		38	1.54					179	7.24		168	6.79		42	1.70		38	1.54		1228	49.64		62	2.51		2474
	THIRD			3	7.89		3	7.89					3	7.89		9	23.68		9	23.68			Excluded		11	28.95		0	0.00		38
		TOTAL		722	29.18		41	1.66					182	7.36		177	7.15		51	2.06					1239	50.08		62	2.51		2474
	FOURTH			10	24.39			Excluded					9	21.95		10	24.39		3	7.32					8	19.51		1	2.44		41
		TOTAL		732	29.59								191	7.72		187	7.56		54	2.18					1247	50.40		63	2.55		2474
	FIFTH			8	14.81								5	9.26		12	22.22			Excluded					23	42.59		6	11.11		54
		TOTAL		740	29.91								196	7.92		199	8.04								1270	51.33		69	2.79		2474
	SIXTH			23	33.33								5	7.25		18	26.09								23	33.33			Excluded		69
		TOTAL		763	30.84								201	8.12		217	8.77								1293	52.26					2474
	SEVENTH			64	29.49								67	30.88			Excluded								86	39.63					217
		TOTAL		827	33.43								268	10.83											1379	55.74					2474
	EIGHTH			170	63.43									Excluded											98	36.57					268
		TOTAL		997	40.30																				1477	59.70					2474
																									Elected						
																															
O.L.C. Home                                                    																															
	FIRST			198	33.39		9	1.52		6	1.01		42	7.08		9	1.52		10	1.69		11	1.85		287	48.40		21	3.54		593
	SECOND			3	50.00		3	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6
		TOTAL		201	33.90		12	2.02					42	7.08		9	1.52		10	1.69		11	1.85		287	48.40		21	3.54		593
	THIRD			4	36.36		0	0.00					0	0.00		0	0.00		7	63.64			Excluded		0	0.00		0	0.00		11
		TOTAL		205	34.57		12	2.02					42	7.08		9	1.52		17	2.87					287	48.40		21	3.54		593
	FOURTH			3	25.00			Excluded					4	33.33		1	8.33		0	0.00					2	16.67		2	16.67		12
		TOTAL		208	35.08								46	7.76		10	1.69		17	2.87					289	48.74		23	3.88		593
	FIFTH			2	11.76								1	5.88		4	23.53			Excluded					8	47.06		2	11.76		17
		TOTAL		210	35.41								47	7.93		14	2.36								297	50.08		25	4.22		593
	SIXTH			15	60.00								0	0.00		2	8.00								8	32.00			Excluded		25
		TOTAL		225	37.94								47	7.93		16	2.70								305	51.43					593
	SEVENTH			3	18.75								2	12.50			Excluded								11	68.75					16
		TOTAL		228	38.45								49	8.26											316	53.29					593
	EIGHTH			36	73.47									Excluded											13	26.53					49
		TOTAL		264	44.52																				329	55.48					593
																									Elected						
																															
Oxley Park                                                     																															
	FIRST			727	32.81		58	2.62		17	0.77		158	7.13		108	4.87		58	2.62		37	1.67		1019	45.98		34	1.53		2216
	SECOND			5	29.41		2	11.76			Excluded		0	0.00		4	23.53		4	23.53		0	0.00		1	5.88		1	5.88		17
		TOTAL		732	33.03		60	2.71					158	7.13		112	5.05		62	2.80		37	1.67		1020	46.03		35	1.58		2216
	THIRD			5	13.51		5	13.51					0	0.00		5	13.51		11	29.73			Excluded		8	21.62		3	8.11		37
		TOTAL		737	33.26		65	2.93					158	7.13		117	5.28		73	3.29					1028	46.39		38	1.71		2216
	FOURTH			24	36.92			Excluded					19	29.23		9	13.85		6	9.23					5	7.69		2	3.08		65
		TOTAL		761	34.34								177	7.99		126	5.69		79	3.56					1033	46.62		40	1.81		2216
	FIFTH			13	16.46								9	11.39		21	26.58			Excluded					31	39.24		5	6.33		79
		TOTAL		774	34.93								186	8.39		147	6.63								1064	48.01		45	2.03		2216
	SIXTH			15	33.33								5	11.11		6	13.33								19	42.22			Excluded		45
		TOTAL		789	35.60								191	8.62		153	6.90								1083	48.87					2216
	SEVENTH			33	21.57								44	28.76			Excluded								76	49.67					153
		TOTAL		822	37.09								235	10.60											1159	52.30					2216
	EIGHTH			129	54.89									Excluded											106	45.11					235
		TOTAL		951	42.92																				1265	57.08					2216
																									Elected						
																															
Plumpton                                                       																															
	FIRST			771	21.13		54	1.48		28	0.77		154	4.22		74	2.03		65	1.78		73	2.00		2292	62.83		137	3.76		3648
	SECOND			7	25.00		3	10.71			Excluded		1	3.57		3	10.71		8	28.57		2	7.14		3	10.71		1	3.57		28
		TOTAL		778	21.33		57	1.56					155	4.25		77	2.11		73	2.00		75	2.06		2295	62.91		138	3.78		3648
	THIRD			9	12.00		3	4.00					2	2.67		11	14.67		11	14.67			Excluded		30	40.00		9	12.00		75
		TOTAL		787	21.57		60	1.64					157	4.30		88	2.41		84	2.30					2325	63.73		147	4.03		3648
	FOURTH			23	38.33			Excluded					14	23.33		10	16.67		2	3.33					9	15.00		2	3.33		60
		TOTAL		810	22.20								171	4.69		98	2.69		86	2.36					2334	63.98		149	4.08		3648
	FIFTH			19	22.09								12	13.95		8	9.30			Excluded					39	45.35		8	9.30		86
		TOTAL		829	22.72								183	5.02		106	2.91								2373	65.05		157	4.30		3648
	SIXTH			75	47.77								10	6.37		17	10.83								55	35.03			Excluded		157
		TOTAL		904	24.78								193	5.29		123	3.37								2428	66.56					3648
	SEVENTH			31	25.20								41	33.33			Excluded								51	41.46					123
		TOTAL		935	25.63								234	6.41											2479	67.96					3648
	EIGHTH			143	61.11									Excluded											91	38.89					234
		TOTAL		1078	29.55																				2570	70.45					3648
																									Elected						
																															
Rooty Hill North                                               																															
	FIRST			821	27.09		34	1.12		19	0.63		190	6.27		59	1.95		56	1.85		45	1.48		1782	58.79		25	0.82		3031
	SECOND			4	21.05		3	15.79			Excluded		4	21.05		2	10.53		2	10.53		1	5.26		3	15.79		0	0.00		19
		TOTAL		825	27.22		37	1.22					194	6.40		61	2.01		58	1.91		46	1.52		1785	58.89		25	0.82		3031
	THIRD			2	4.35		0	0.00					2	4.35		6	13.04		15	32.61			Excluded		15	32.61		6	13.04		46
		TOTAL		827	27.28		37	1.22					196	6.47		67	2.21		73	2.41					1800	59.39		31	1.02		3031
	FOURTH			7	18.92			Excluded					13	35.14		5	13.51		4	10.81					8	21.62		0	0.00		37
		TOTAL		834	27.52								209	6.90		72	2.38		77	2.54					1808	59.65		31	1.02		3031
	FIFTH			22	28.57								2	2.60		15	19.48			Excluded					31	40.26		7	9.09		77
		TOTAL		856	28.24								211	6.96		87	2.87								1839	60.67		38	1.25		3031
	SIXTH			14	36.84								4	10.53		3	7.89								17	44.74			Excluded		38
		TOTAL		870	28.70								215	7.09		90	2.97								1856	61.23					3031
	SEVENTH			26	28.89								27	30.00			Excluded								37	41.11					90
		TOTAL		896	29.56								242	7.98											1893	62.45					3031
	EIGHTH			171	70.66									Excluded											71	29.34					242
		TOTAL		1067	35.20																				1964	64.80					3031
																									Elected						
																															
Rooty Hill South                                               																															
	FIRST			379	23.28		19	1.17		8	0.49		120	7.37		26	1.60		28	1.72		21	1.29		968	59.46		59	3.62		1628
	SECOND			2	25.00		2	25.00			Excluded		2	25.00		0	0.00		1	12.50		0	0.00		1	12.50		0	0.00		8
		TOTAL		381	23.40		21	1.29					122	7.49		26	1.60		29	1.78		21	1.29		969	59.52		59	3.62		1628
	THIRD			5	23.81		2	9.52					0	0.00		5	23.81		3	14.29			Excluded		6	28.57		0	0.00		21
		TOTAL		386	23.71		23	1.41					122	7.49		31	1.90		32	1.97					975	59.89		59	3.62		1628
	FOURTH			1	4.35			Excluded					9	39.13		5	21.74		0	0.00					6	26.09		2	8.70		23
		TOTAL		387	23.77								131	8.05		36	2.21		32	1.97					981	60.26		61	3.75		1628
	FIFTH			8	25.00								4	12.50		4	12.50			Excluded					16	50.00		0	0.00		32
		TOTAL		395	24.26								135	8.29		40	2.46								997	61.24		61	3.75		1628
	SIXTH			29	47.54								2	3.28		3	4.92								27	44.26			Excluded		61
		TOTAL		424	26.04								137	8.42		43	2.64								1024	62.90					1628
	SEVENTH			11	25.58								15	34.88			Excluded								17	39.53					43
		TOTAL		435	26.72								152	9.34											1041	63.94					1628
	EIGHTH			91	59.87									Excluded											61	40.13					152
		TOTAL		526	32.31																				1102	67.69					1628
																									Elected						
																															
Shalvey                                                        																															
	FIRST			319	21.60		22	1.49		6	0.41		84	5.69		69	4.67		24	1.62		53	3.59		870	58.90		30	2.03		1477
	SECOND			0	0.00		2	33.33			Excluded		2	33.33		0	0.00		0	0.00		0	0.00		2	33.33		0	0.00		6
		TOTAL		319	21.60		24	1.62					86	5.82		69	4.67		24	1.62		53	3.59		872	59.04		30	2.03		1477
	THIRD			5	9.43		1	1.89					2	3.77		26	49.06		6	11.32			Excluded		13	24.53		0	0.00		53
		TOTAL		324	21.94		25	1.69					88	5.96		95	6.43		30	2.03					885	59.92		30	2.03		1477
	FOURTH			4	16.00			Excluded					9	36.00		5	20.00		2	8.00					4	16.00		1	4.00		25
		TOTAL		328	22.21								97	6.57		100	6.77		32	2.17					889	60.19		31	2.10		1477
	FIFTH			5	15.63								2	6.25		11	34.38			Excluded					12	37.50		2	6.25		32
		TOTAL		333	22.55								99	6.70		111	7.52								901	61.00		33	2.23		1477
	SIXTH			19	57.58								3	9.09		3	9.09								8	24.24			Excluded		33
		TOTAL		352	23.83								102	6.91		114	7.72								909	61.54					1477
	SEVENTH			21	18.42								30	26.32			Excluded								63	55.26					114
		TOTAL		373	25.25								132	8.94											972	65.81					1477
	EIGHTH			76	57.58									Excluded											56	42.42					132
		TOTAL		449	30.40																				1028	69.60					1477
																									Elected						
																															
St Marys                                                       																															
	FIRST			365	30.02		24	1.97		15	1.23		73	6.00		48	3.95		20	1.64		20	1.64		631	51.89		20	1.64		1216
	SECOND			3	20.00		2	13.33			Excluded		3	20.00		3	20.00		1	6.67		1	6.67		2	13.33		0	0.00		15
		TOTAL		368	30.26		26	2.14					76	6.25		51	4.19		21	1.73		21	1.73		633	52.06		20	1.64		1216
	THIRD			5	23.81		2	9.52					0	0.00		3	14.29		8	38.10			Excluded		2	9.52		1	4.76		21
		TOTAL		373	30.67		28	2.30					76	6.25		54	4.44		29	2.38					635	52.22		21	1.73		1216
	FOURTH			10	35.71			Excluded					8	28.57		5	17.86		2	7.14					3	10.71		0	0.00		28
		TOTAL		383	31.50								84	6.91		59	4.85		31	2.55					638	52.47		21	1.73		1216
	FIFTH			8	25.81								2	6.45		7	22.58			Excluded					12	38.71		2	6.45		31
		TOTAL		391	32.15								86	7.07		66	5.43								650	53.45		23	1.89		1216
	SIXTH			7	30.43								4	17.39		2	8.70								10	43.48			Excluded		23
		TOTAL		398	32.73								90	7.40		68	5.59								660	54.28					1216
	SEVENTH			17	25.00								21	30.88			Excluded								30	44.12					68
		TOTAL		415	34.13								111	9.13											690	56.74					1216
	EIGHTH			66	59.46									Excluded											45	40.54					111
		TOTAL		481	39.56																				735	60.44					1216
																									Elected						
																															
St Marys North                                                 																															
	FIRST			450	24.08		38	2.03		17	0.91		175	9.36		113	6.05		23	1.23		19	1.02		1004	53.72		30	1.61		1869
	SECOND			3	17.65		2	11.76			Excluded		3	17.65		2	11.76		1	5.88		2	11.76		4	23.53		0	0.00		17
		TOTAL		453	24.24		40	2.14					178	9.52		115	6.15		24	1.28		21	1.12		1008	53.93		30	1.61		1869
	THIRD			4	19.05		0	0.00					1	4.76		6	28.57		3	14.29			Excluded		6	28.57		1	4.76		21
		TOTAL		457	24.45		40	2.14					179	9.58		121	6.47		27	1.44					1014	54.25		31	1.66		1869
	FOURTH			12	30.00			Excluded					16	40.00		6	15.00		3	7.50					3	7.50		0	0.00		40
		TOTAL		469	25.09								195	10.43		127	6.80		30	1.61					1017	54.41		31	1.66		1869
	FIFTH			4	13.33								3	10.00		4	13.33			Excluded					15	50.00		4	13.33		30
		TOTAL		473	25.31								198	10.59		131	7.01								1032	55.22		35	1.87		1869
	SIXTH			15	42.86								2	5.71		4	11.43								14	40.00			Excluded		35
		TOTAL		488	26.11								200	10.70		135	7.22								1046	55.97					1869
	SEVENTH			32	23.70								39	28.89			Excluded								64	47.41					135
		TOTAL		520	27.82								239	12.79											1110	59.39					1869
	EIGHTH			148	61.92									Excluded											91	38.08					239
		TOTAL		668	35.74																				1201	64.26					1869
																									Elected						
																															
St Marys South                                                 																															
	FIRST			705	30.89		55	2.41		13	0.57		156	6.84		124	5.43		39	1.71		26	1.14		1114	48.82		50	2.19		2282
	SECOND			4	30.77		3	23.08			Excluded		2	15.38		2	15.38		2	15.38		0	0.00		0	0.00		0	0.00		13
		TOTAL		709	31.07		58	2.54					158	6.92		126	5.52		41	1.80		26	1.14		1114	48.82		50	2.19		2282
	THIRD			2	7.69		2	7.69					1	3.85		5	19.23		5	19.23			Excluded		10	38.46		1	3.85		26
		TOTAL		711	31.16		60	2.63					159	6.97		131	5.74		46	2.02					1124	49.26		51	2.23		2282
	FOURTH			22	36.67			Excluded					15	25.00		9	15.00		4	6.67					7	11.67		3	5.00		60
		TOTAL		733	32.12								174	7.62		140	6.13		50	2.19					1131	49.56		54	2.37		2282
	FIFTH			5	10.00								6	12.00		10	20.00			Excluded					20	40.00		9	18.00		50
		TOTAL		738	32.34								180	7.89		150	6.57								1151	50.44		63	2.76		2282
	SIXTH			20	31.75								4	6.35		19	30.16								20	31.75			Excluded		63
		TOTAL		758	33.22								184	8.06		169	7.41								1171	51.31					2282
	SEVENTH			46	27.22								48	28.40			Excluded								75	44.38					169
		TOTAL		804	35.23								232	10.17											1246	54.60					2282
	EIGHTH			140	60.34									Excluded											92	39.66					232
		TOTAL		944	41.37																				1338	58.63					2282
																									Elected						
																															
Sydney (Chifley)                                               																															
	FIRST			20	27.03		0	0.00		0	0.00		2	2.70		1	1.35		2	2.70		1	1.35		45	60.81		3	4.05		74
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		20	27.03		0	0.00					2	2.70		1	1.35		2	2.70		1	1.35		45	60.81		3	4.05		74
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		1
		TOTAL		20	27.03		0	0.00					2	2.70		1	1.35		2	2.70					46	62.16		3	4.05		74
	FOURTH			0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		20	27.03								2	2.70		1	1.35		2	2.70					46	62.16		3	4.05		74
	FIFTH			1	50.00								0	0.00		0	0.00			Excluded					1	50.00		0	0.00		2
		TOTAL		21	28.38								2	2.70		1	1.35								47	63.51		3	4.05		74
	SIXTH			2	66.67								0	0.00		1	33.33								0	0.00			Excluded		3
		TOTAL		23	31.08								2	2.70		2	2.70								47	63.51					74
	SEVENTH			2	100.00								0	0.00			Excluded								0	0.00					2
		TOTAL		25	33.78								2	2.70											47	63.51					74
	EIGHTH			0	0.00									Excluded											2	100.00					2
		TOTAL		25	33.78																				49	66.22					74
																									Elected						
																															
Tregear                                                        																															
	FIRST			332	20.12		29	1.76		9	0.55		136	8.24		120	7.27		16	0.97		17	1.03		956	57.94		35	2.12		1650
	SECOND			3	33.33		0	0.00			Excluded		2	22.22		1	11.11		0	0.00		0	0.00		3	33.33		0	0.00		9
		TOTAL		335	20.30		29	1.76					138	8.36		121	7.33		16	0.97		17	1.03		959	58.12		35	2.12		1650
	THIRD			3	17.65		0	0.00					0	0.00		2	11.76		3	17.65			Excluded		8	47.06		1	5.88		17
		TOTAL		338	20.48		29	1.76					138	8.36		123	7.45		19	1.15					967	58.61		36	2.18		1650
	FOURTH			9	31.03			Excluded					7	24.14		7	24.14		0	0.00					3	10.34		3	10.34		29
		TOTAL		347	21.03								145	8.79		130	7.88		19	1.15					970	58.79		39	2.36		1650
	FIFTH			3	15.79								0	0.00		6	31.58			Excluded					8	42.11		2	10.53		19
		TOTAL		350	21.21								145	8.79		136	8.24								978	59.27		41	2.48		1650
	SIXTH			16	39.02								2	4.88		8	19.51								15	36.59			Excluded		41
		TOTAL		366	22.18								147	8.91		144	8.73								993	60.18					1650
	SEVENTH			31	21.53								44	30.56			Excluded								69	47.92					144
		TOTAL		397	24.06								191	11.58											1062	64.36					1650
	EIGHTH			120	62.83									Excluded											71	37.17					191
		TOTAL		517	31.33																				1133	68.67					1650
																									Elected						
																															
Walters Road (Chifley)                                         																															
	FIRST			679	28.41		49	2.05		13	0.54		110	4.60		44	1.84		54	2.26		47	1.97		1291	54.02		103	4.31		2390
	SECOND			0	0.00		2	15.38			Excluded		0	0.00		4	30.77		4	30.77		1	7.69		1	7.69		1	7.69		13
		TOTAL		679	28.41		51	2.13					110	4.60		48	2.01		58	2.43		48	2.01		1292	54.06		104	4.35		2390
	THIRD			5	10.42		4	8.33					3	6.25		5	10.42		13	27.08			Excluded		15	31.25		3	6.25		48
		TOTAL		684	28.62		55	2.30					113	4.73		53	2.22		71	2.97					1307	54.69		107	4.48		2390
	FOURTH			10	18.18			Excluded					22	40.00		11	20.00		3	5.45					8	14.55		1	1.82		55
		TOTAL		694	29.04								135	5.65		64	2.68		74	3.10					1315	55.02		108	4.52		2390
	FIFTH			22	29.73								2	2.70		11	14.86			Excluded					31	41.89		8	10.81		74
		TOTAL		716	29.96								137	5.73		75	3.14								1346	56.32		116	4.85		2390
	SIXTH			63	54.31								4	3.45		5	4.31								44	37.93			Excluded		116
		TOTAL		779	32.59								141	5.90		80	3.35								1390	58.16					2390
	SEVENTH			22	27.50								14	17.50			Excluded								44	55.00					80
		TOTAL		801	33.51								155	6.49											1434	60.00					2390
	EIGHTH			83	53.55									Excluded											72	46.45					155
		TOTAL		884	36.99																				1506	63.01					2390
																									Elected						
																															
Whalan                                                         																															
	FIRST			303	18.68		24	1.48		11	0.68		120	7.40		77	4.75		25	1.54		18	1.11		1028	63.38		16	0.99		1622
	SECOND			3	27.27		0	0.00			Excluded		2	18.18		1	9.09		1	9.09		1	9.09		3	27.27		0	0.00		11
		TOTAL		306	18.87		24	1.48					122	7.52		78	4.81		26	1.60		19	1.17		1031	63.56		16	0.99		1622
	THIRD			2	10.53		1	5.26					0	0.00		4	21.05		2	10.53			Excluded		10	52.63		0	0.00		19
		TOTAL		308	18.99		25	1.54					122	7.52		82	5.06		28	1.73					1041	64.18		16	0.99		1622
	FOURTH			8	32.00			Excluded					6	24.00		3	12.00		1	4.00					5	20.00		2	8.00		25
		TOTAL		316	19.48								128	7.89		85	5.24		29	1.79					1046	64.49		18	1.11		1622
	FIFTH			4	13.79								1	3.45		8	27.59			Excluded					16	55.17		0	0.00		29
		TOTAL		320	19.73								129	7.95		93	5.73								1062	65.47		18	1.11		1622
	SIXTH			5	27.78								4	22.22		5	27.78								4	22.22			Excluded		18
		TOTAL		325	20.04								133	8.20		98	6.04								1066	65.72					1622
	SEVENTH			21	21.43								25	25.51			Excluded								52	53.06					98
		TOTAL		346	21.33								158	9.74											1118	68.93					1622
	EIGHTH			102	64.56									Excluded											56	35.44					158
		TOTAL		448	27.62																				1174	72.38					1622
																									Elected						
																															
Willmot                                                        																															
	FIRST			208	19.92		11	1.05		7	0.67		78	7.47		120	11.49		18	1.72		13	1.25		571	54.69		18	1.72		1044
	SECOND			2	28.57		2	28.57			Excluded		1	14.29		1	14.29		1	14.29		0	0.00		0	0.00		0	0.00		7
		TOTAL		210	20.11		13	1.25					79	7.57		121	11.59		19	1.82		13	1.25		571	54.69		18	1.72		1044
	THIRD			0	0.00		1	7.69					0	0.00		5	38.46		2	15.38			Excluded		5	38.46		0	0.00		13
		TOTAL		210	20.11		14	1.34					79	7.57		126	12.07		21	2.01					576	55.17		18	1.72		1044
	FOURTH			3	21.43			Excluded					6	42.86		5	35.71		0	0.00					0	0.00		0	0.00		14
		TOTAL		213	20.40								85	8.14		131	12.55		21	2.01					576	55.17		18	1.72		1044
	FIFTH			2	9.52								2	9.52		6	28.57			Excluded					9	42.86		2	9.52		21
		TOTAL		215	20.59								87	8.33		137	13.12								585	56.03		20	1.92		1044
	SIXTH			3	15.00								2	10.00		5	25.00								10	50.00			Excluded		20
		TOTAL		218	20.88								89	8.52		142	13.60								595	56.99					1044
	SEVENTH			29	20.42								38	26.76			Excluded								75	52.82					142
		TOTAL		247	23.66								127	12.16											670	64.18					1044
	EIGHTH			71	55.91									Excluded											56	44.09					127
		TOTAL		318	30.46																				726	69.54					1044
																									Elected						
																															
Woodcroft                                                      																															
	FIRST			182	25.45		8	1.12		5	0.70		26	3.64		5	0.70		12	1.68		11	1.54		445	62.24		21	2.94		715
	SECOND			1	20.00		0	0.00			Excluded		0	0.00		1	20.00		2	40.00		0	0.00		1	20.00		0	0.00		5
		TOTAL		183	25.59		8	1.12					26	3.64		6	0.84		14	1.96		11	1.54		446	62.38		21	2.94		715
	THIRD			3	27.27		0	0.00					0	0.00		1	9.09		3	27.27			Excluded		4	36.36		0	0.00		11
		TOTAL		186	26.01		8	1.12					26	3.64		7	0.98		17	2.38					450	62.94		21	2.94		715
	FOURTH			1	12.50			Excluded					6	75.00		1	12.50		0	0.00					0	0.00		0	0.00		8
		TOTAL		187	26.15								32	4.48		8	1.12		17	2.38					450	62.94		21	2.94		715
	FIFTH			2	11.76								0	0.00		1	5.88			Excluded					13	76.47		1	5.88		17
		TOTAL		189	26.43								32	4.48		9	1.26								463	64.76		22	3.08		715
	SIXTH			13	59.09								0	0.00		2	9.09								7	31.82			Excluded		22
		TOTAL		202	28.25								32	4.48		11	1.54								470	65.73					715
	SEVENTH			6	54.55								2	18.18			Excluded								3	27.27					11
		TOTAL		208	29.09								34	4.76											473	66.15					715
	EIGHTH			21	61.76									Excluded											13	38.24					34
		TOTAL		229	32.03																				486	67.97					715
																									Elected						
																															
Special Hospital Team 1                                        																															
	FIRST			1	12.50		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	75.00		0	0.00		8
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	12.50		1	12.50					0	0.00		0	0.00		0	0.00		0	0.00		6	75.00		0	0.00		8
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		1	12.50		1	12.50					0	0.00		0	0.00		0	0.00					6	75.00		0	0.00		8
	FOURTH			1	100.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		2	25.00								0	0.00		0	0.00		0	0.00					6	75.00		0	0.00		8
	FIFTH			0	0.00								0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0
		TOTAL		2	25.00								0	0.00		0	0.00								6	75.00		0	0.00		8
	SIXTH			0	0.00								0	0.00		0	0.00								0	0.00			Excluded		0
		TOTAL		2	25.00								0	0.00		0	0.00								6	75.00					8
	SEVENTH			0	0.00								0	0.00			Excluded								0	0.00					0
		TOTAL		2	25.00								0	0.00											6	75.00					8
	EIGHTH			0	0.00									Excluded											0	0.00					0
		TOTAL		2	25.00																				6	75.00					8
																									Elected						
																															
ABSENT																															
	FIRST			1380	29.41		164	3.49		69	1.47		267	5.69		124	2.64		132	2.81		164	3.49		2263	48.22		130	2.77		4693
	SECOND			14	20.29		10	14.49			Excluded		9	13.04		9	13.04		9	13.04		7	10.14		9	13.04		2	2.90		69
		TOTAL		1394	29.70		174	3.71					276	5.88		133	2.83		141	3.00		171	3.64		2272	48.41		132	2.81		4693
	THIRD			12	7.02		13	7.60					8	4.68		27	15.79		50	29.24			Excluded		55	32.16		6	3.51		171
		TOTAL		1406	29.96		187	3.98					284	6.05		160	3.41		191	4.07					2327	49.58		138	2.94		4693
	FOURTH			60	32.09			Excluded					48	25.67		31	16.58		9	4.81					36	19.25		3	1.60		187
		TOTAL		1466	31.24								332	7.07		191	4.07		200	4.26					2363	50.35		141	3.00		4693
	FIFTH			47	23.50								13	6.50		40	20.00			Excluded					82	41.00		18	9.00		200
		TOTAL		1513	32.24								345	7.35		231	4.92								2445	52.10		159	3.39		4693
	SIXTH			73	45.91								13	8.18		15	9.43								58	36.48			Excluded		159
		TOTAL		1586	33.80								358	7.63		246	5.24								2503	53.33					4693
	SEVENTH			75	30.49								76	30.89			Excluded								95	38.62					246
		TOTAL		1661	35.39								434	9.25											2598	55.36					4693
	EIGHTH			224	51.61									Excluded											210	48.39					434
		TOTAL		1885	40.17																				2808	59.83					4693
																									Elected						
																															
POSTAL																															
	FIRST			486	29.24		33	1.99		18	1.08		101	6.08		27	1.62		31	1.87		23	1.38		908	54.63		35	2.11		1662
	SECOND			4	22.22		4	22.22			Excluded		3	16.67		1	5.56		3	16.67		0	0.00		3	16.67		0	0.00		18
		TOTAL		490	29.48		37	2.23					104	6.26		28	1.68		34	2.05		23	1.38		911	54.81		35	2.11		1662
	THIRD			0	0.00		5	21.74					1	4.35		4	17.39		4	17.39			Excluded		6	26.09		3	13.04		23
		TOTAL		490	29.48		42	2.53					105	6.32		32	1.93		38	2.29					917	55.17		38	2.29		1662
	FOURTH			5	11.90			Excluded					17	40.48		7	16.67		3	7.14					10	23.81		0	0.00		42
		TOTAL		495	29.78								122	7.34		39	2.35		41	2.47					927	55.78		38	2.29		1662
	FIFTH			6	14.63								2	4.88		4	9.76			Excluded					24	58.54		5	12.20		41
		TOTAL		501	30.14								124	7.46		43	2.59								951	57.22		43	2.59		1662
	SIXTH			17	39.53								7	16.28		5	11.63								14	32.56			Excluded		43
		TOTAL		518	31.17								131	7.88		48	2.89								965	58.06					1662
	SEVENTH			14	29.17								8	16.67			Excluded								26	54.17					48
		TOTAL		532	32.01								139	8.36											991	59.63					1662
	EIGHTH			60	43.17									Excluded											79	56.83					139
		TOTAL		592	35.62																				1070	64.38					1662
																									Elected						
																															
PRE POLL																															
	FIRST			642	23.90		57	2.12		36	1.34		178	6.63		60	2.23		56	2.08		45	1.68		1532	57.04		80	2.98		2686
	SECOND			11	30.56		8	22.22			Excluded		1	2.78		4	11.11		4	11.11		1	2.78		3	8.33		4	11.11		36
		TOTAL		653	24.31		65	2.42					179	6.66		64	2.38		60	2.23		46	1.71		1535	57.15		84	3.13		2686
	THIRD			4	8.70		9	19.57					2	4.35		7	15.22		6	13.04			Excluded		14	30.43		4	8.70		46
		TOTAL		657	24.46		74	2.76					181	6.74		71	2.64		66	2.46					1549	57.67		88	3.28		2686
	FOURTH			19	25.68			Excluded					24	32.43		9	12.16		6	8.11					12	16.22		4	5.41		74
		TOTAL		676	25.17								205	7.63		80	2.98		72	2.68					1561	58.12		92	3.43		2686
	FIFTH			25	34.72								9	12.50		7	9.72			Excluded					24	33.33		7	9.72		72
		TOTAL		701	26.10								214	7.97		87	3.24								1585	59.01		99	3.69		2686
	SIXTH			34	34.34								15	15.15		11	11.11								39	39.39			Excluded		99
		TOTAL		735	27.36								229	8.53		98	3.65								1624	60.46					2686
	SEVENTH			31	31.63								26	26.53			Excluded								41	41.84					98
		TOTAL		766	28.52								255	9.49											1665	61.99					2686
	EIGHTH			146	57.25									Excluded											109	42.75					255
		TOTAL		912	33.95																				1774	66.05					2686
																									Elected						
																															
PROVISIONAL																															
	FIRST			146	21.04		16	2.31		7	1.01		44	6.34		28	4.03		10	1.44		16	2.31		408	58.79		19	2.74		694
	SECOND			1	14.29		2	28.57			Excluded		2	28.57		1	14.29		0	0.00		1	14.29		0	0.00		0	0.00		7
		TOTAL		147	21.18		18	2.59					46	6.63		29	4.18		10	1.44		17	2.45		408	58.79		19	2.74		694
	THIRD			1	5.88		2	11.76					2	11.76		1	5.88		2	11.76			Excluded		9	52.94		0	0.00		17
		TOTAL		148	21.33		20	2.88					48	6.92		30	4.32		12	1.73					417	60.09		19	2.74		694
