House of Representatives - 2001 Election: New South Wales																																		
Distribution of Preferences 																																		
By Polling Place																																		
																																		
Bennelong																																		
				WEBECK			CAMPBELL			HARKNESS			PLUMB			DAWSON			SHAW			GOLDFINCH			MARSH			LAW			HOWARD			
		TOTAL		19	2.87		194	29.31											42	6.34		40	6.04					4	0.60		363	54.83		662
	SIXTH			0	0.00		2	50.00											1	25.00		0	0.00						Excluded		1	25.00		4
		TOTAL		19	2.87		196	29.61											43	6.50		40	6.04								364	54.98		662
	SEVENTH				Excluded		8	42.11											6	31.58		1	5.26								4	21.05		19
		TOTAL					204	30.82											49	7.40		41	6.19								368	55.59		662
	EIGHTH						10	20.41												Excluded		35	71.43								4	8.16		49
		TOTAL					214	32.33														76	11.48								372	56.19		662
	NINTH						60	78.95															Excluded								16	21.05		76
		TOTAL					274	41.39																							388	58.61		662
																															Elected			
																																		
Gladesville East                                               																																		
	FIRST			6	1.95		93	30.29		2	0.65		0	0.00		3	0.98		21	6.84		16	5.21		0	0.00		1	0.33		165	53.75		307
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		6	1.95		93	30.29		2	0.65		0	0.00		3	0.98		21	6.84		16	5.21					1	0.33		165	53.75		307
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		6	1.95		93	30.29		2	0.65					3	0.98		21	6.84		16	5.21					1	0.33		165	53.75		307
	FOURTH			0	0.00		0	0.00		1	33.33						Excluded		2	66.67		0	0.00					0	0.00		0	0.00		3
		TOTAL		6	1.95		93	30.29		3	0.98								23	7.49		16	5.21					1	0.33		165	53.75		307
	FIFTH			0	0.00		1	33.33			Excluded								1	33.33		1	33.33					0	0.00		0	0.00		3
		TOTAL		6	1.95		94	30.62											24	7.82		17	5.54					1	0.33		165	53.75		307
	SIXTH			0	0.00		1	100.00											0	0.00		0	0.00						Excluded		0	0.00		1
		TOTAL		6	1.95		95	30.94											24	7.82		17	5.54								165	53.75		307
	SEVENTH				Excluded		2	33.33											2	33.33		1	16.67								1	16.67		6
		TOTAL					97	31.60											26	8.47		18	5.86								166	54.07		307
	EIGHTH						5	19.23												Excluded		20	76.92								1	3.85		26
		TOTAL					102	33.22														38	12.38								167	54.40		307
	NINTH						23	60.53															Excluded								15	39.47		38
		TOTAL					125	40.72																							182	59.28		307
																															Elected			
																																		
Gladesville North                                              																																		
	FIRST			44	2.81		532	33.97		13	0.83		6	0.38		12	0.77		65	4.15		97	6.19		2	0.13		12	0.77		783	50.00		1566
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2
		TOTAL		44	2.81		533	34.04		13	0.83		6	0.38		12	0.77		65	4.15		97	6.19					13	0.83		783	50.00		1566
	THIRD			0	0.00		2	33.33		1	16.67			Excluded		0	0.00		1	16.67		1	16.67					1	16.67		0	0.00		6
		TOTAL		44	2.81		535	34.16		14	0.89					12	0.77		66	4.21		98	6.26					14	0.89		783	50.00		1566
	FOURTH			1	8.33		2	16.67		3	25.00						Excluded		4	33.33		2	16.67					0	0.00		0	0.00		12
		TOTAL		45	2.87		537	34.29		17	1.09								70	4.47		100	6.39					14	0.89		783	50.00		1566
	FIFTH			2	11.76		8	47.06			Excluded								3	17.65		2	11.76					1	5.88		1	5.88		17
		TOTAL		47	3.00		545	34.80											73	4.66		102	6.51					15	0.96		784	50.06		1566
	SIXTH			0	0.00		5	33.33											0	0.00		8	53.33						Excluded		2	13.33		15
		TOTAL		47	3.00		550	35.12											73	4.66		110	7.02								786	50.19		1566
	SEVENTH				Excluded		22	46.81											8	17.02		3	6.38								14	29.79		47
		TOTAL					572	36.53											81	5.17		113	7.22								800	51.09		1566
	EIGHTH						23	28.40												Excluded		51	62.96								7	8.64		81
		TOTAL					595	37.99														164	10.47								807	51.53		1566
	NINTH						120	73.17															Excluded								44	26.83		164
		TOTAL					715	45.66																							851	54.34		1566
																															Elected			
																																		
Gladesville West                                               																																		
	FIRST			14	4.20		101	30.33		0	0.00		0	0.00		3	0.90		11	3.30		16	4.80		0	0.00		0	0.00		188	56.46		333
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		14	4.20		101	30.33		0	0.00		0	0.00		3	0.90		11	3.30		16	4.80					0	0.00		188	56.46		333
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		14	4.20		101	30.33		0	0.00					3	0.90		11	3.30		16	4.80					0	0.00		188	56.46		333
	FOURTH			0	0.00		2	66.67		0	0.00						Excluded		1	33.33		0	0.00					0	0.00		0	0.00		3
		TOTAL		14	4.20		103	30.93		0	0.00								12	3.60		16	4.80					0	0.00		188	56.46		333
	FIFTH			0	0.00		0	0.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		14	4.20		103	30.93											12	3.60		16	4.80					0	0.00		188	56.46		333
	SIXTH			0	0.00		0	0.00											0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL		14	4.20		103	30.93											12	3.60		16	4.80								188	56.46		333
	SEVENTH				Excluded		7	50.00											1	7.14		2	14.29								4	28.57		14
		TOTAL					110	33.03											13	3.90		18	5.41								192	57.66		333
	EIGHTH						3	23.08												Excluded		7	53.85								3	23.08		13
		TOTAL					113	33.93														25	7.51								195	58.56		333
	NINTH						19	76.00															Excluded								6	24.00		25
		TOTAL					132	39.64																							201	60.36		333
																															Elected			
																																		
Holy Cross Ryde                                                																																		
	FIRST			7	1.89		134	36.22		4	1.08		0	0.00		3	0.81		23	6.22		18	4.86		1	0.27		4	1.08		176	47.57		370
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		8	2.16		134	36.22		4	1.08		0	0.00		3	0.81		23	6.22		18	4.86					4	1.08		176	47.57		370
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		8	2.16		134	36.22		4	1.08					3	0.81		23	6.22		18	4.86					4	1.08		176	47.57		370
	FOURTH			0	0.00		1	33.33		1	33.33						Excluded		0	0.00		0	0.00					0	0.00		1	33.33		3
		TOTAL		8	2.16		135	36.49		5	1.35								23	6.22		18	4.86					4	1.08		177	47.84		370
	FIFTH			2	40.00		2	40.00			Excluded								1	20.00		0	0.00					0	0.00		0	0.00		5
		TOTAL		10	2.70		137	37.03											24	6.49		18	4.86					4	1.08		177	47.84		370
	SIXTH			0	0.00		3	75.00											0	0.00		0	0.00						Excluded		1	25.00		4
		TOTAL		10	2.70		140	37.84											24	6.49		18	4.86								178	48.11		370
	SEVENTH				Excluded		3	30.00											3	30.00		0	0.00								4	40.00		10
		TOTAL					143	38.65											27	7.30		18	4.86								182	49.19		370
	EIGHTH						13	48.15												Excluded		10	37.04								4	14.81		27
		TOTAL					156	42.16														28	7.57								186	50.27		370
	NINTH						22	78.57															Excluded								6	21.43		28
		TOTAL					178	48.11																							192	51.89		370
																															Elected			
																																		
Kent Road                                                      																																		
	FIRST			60	2.75		725	33.23		13	0.60		5	0.23		12	0.55		80	3.67		135	6.19		2	0.09		42	1.92		1108	50.78		2182
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		2
		TOTAL		60	2.75		725	33.23		13	0.60		5	0.23		12	0.55		80	3.67		136	6.23					43	1.97		1108	50.78		2182
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		5	100.00		0	0.00					0	0.00		0	0.00		5
		TOTAL		60	2.75		725	33.23		13	0.60					12	0.55		85	3.90		136	6.23					43	1.97		1108	50.78		2182
	FOURTH			1	8.33		2	16.67		3	25.00						Excluded		2	16.67		2	16.67					0	0.00		2	16.67		12
		TOTAL		61	2.80		727	33.32		16	0.73								87	3.99		138	6.32					43	1.97		1110	50.87		2182
	FIFTH			3	18.75		3	18.75			Excluded								6	37.50		2	12.50					0	0.00		2	12.50		16
		TOTAL		64	2.93		730	33.46											93	4.26		140	6.42					43	1.97		1112	50.96		2182
	SIXTH			0	0.00		23	53.49											4	9.30		8	18.60						Excluded		8	18.60		43
		TOTAL		64	2.93		753	34.51											97	4.45		148	6.78								1120	51.33		2182
	SEVENTH				Excluded		38	59.38											5	7.81		3	4.69								18	28.13		64
		TOTAL					791	36.25											102	4.67		151	6.92								1138	52.15		2182
	EIGHTH						42	41.18												Excluded		47	46.08								13	12.75		102
		TOTAL					833	38.18														198	9.07								1151	52.75		2182
	NINTH						144	72.73															Excluded								54	27.27		198
		TOTAL					977	44.78																							1205	55.22		2182
																															Elected			
																																		
Kittys Creek                                                   																																		
	FIRST			13	3.68		98	27.76		1	0.28		3	0.85		0	0.00		13	3.68		13	3.68		0	0.00		3	0.85		209	59.21		353
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		13	3.68		98	27.76		1	0.28		3	0.85		0	0.00		13	3.68		13	3.68					3	0.85		209	59.21		353
	THIRD			0	0.00		1	33.33		0	0.00			Excluded		0	0.00		1	33.33		0	0.00					1	33.33		0	0.00		3
		TOTAL		13	3.68		99	28.05		1	0.28					0	0.00		14	3.97		13	3.68					4	1.13		209	59.21		353
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0
		TOTAL		13	3.68		99	28.05		1	0.28								14	3.97		13	3.68					4	1.13		209	59.21		353
	FIFTH			1	100.00		0	0.00			Excluded								0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		14	3.97		99	28.05											14	3.97		13	3.68					4	1.13		209	59.21		353
	SIXTH			0	0.00		3	75.00											1	25.00		0	0.00						Excluded		0	0.00		4
		TOTAL		14	3.97		102	28.90											15	4.25		13	3.68								209	59.21		353
	SEVENTH				Excluded		6	42.86											0	0.00		1	7.14								7	50.00		14
		TOTAL					108	30.59											15	4.25		14	3.97								216	61.19		353
	EIGHTH						5	33.33												Excluded		8	53.33								2	13.33		15
		TOTAL					113	32.01														22	6.23								218	61.76		353
	NINTH						14	63.64															Excluded								8	36.36		22
		TOTAL					127	35.98																							226	64.02		353
																															Elected			
																																		
Lyon Park                                                      																																		
	FIRST			29	2.05		472	33.29		13	0.92		8	0.56		9	0.63		97	6.84		109	7.69		4	0.28		28	1.97		649	45.77		1418
	SECOND			1	25.00		1	25.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded		0	0.00		1	25.00		4
		TOTAL		30	2.12		473	33.36		13	0.92		8	0.56		9	0.63		98	6.91		109	7.69					28	1.97		650	45.84		1418
	THIRD			0	0.00		1	12.50		0	0.00			Excluded		0	0.00		2	25.00		3	37.50					0	0.00		2	25.00		8
		TOTAL		30	2.12		474	33.43		13	0.92					9	0.63		100	7.05		112	7.90					28	1.97		652	45.98		1418
	FOURTH			0	0.00		1	11.11		1	11.11						Excluded		2	22.22		2	22.22					1	11.11		2	22.22		9
		TOTAL		30	2.12		475	33.50		14	0.99								102	7.19		114	8.04					29	2.05		654	46.12		1418
	FIFTH			3	21.43		5	35.71			Excluded								2	14.29		0	0.00					1	7.14		3	21.43		14
		TOTAL		33	2.33		480	33.85											104	7.33		114	8.04					30	2.12		657	46.33		1418
	SIXTH			0	0.00		17	56.67											2	6.67		7	23.33						Excluded		4	13.33		30
		TOTAL		33	2.33		497	35.05											106	7.48		121	8.53								661	46.61		1418
	SEVENTH				Excluded		17	51.52											7	21.21		3	9.09								6	18.18		33
		TOTAL					514	36.25											113	7.97		124	8.74								667	47.04		1418
	EIGHTH						23	20.35												Excluded		78	69.03								12	10.62		113
		TOTAL					537	37.87														202	14.25								679	47.88		1418
	NINTH						150	74.26															Excluded								52	25.74		202
		TOTAL					687	48.45																							731	51.55		1418
																															Elected			
																																		
Marsfield                                                      																																		
	FIRST			43	2.16		624	31.28		17	0.85		4	0.20		7	0.35		55	2.76		100	5.01		2	0.10		49	2.46		1094	54.84		1995
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		2
		TOTAL		43	2.16		625	31.33		17	0.85		4	0.20		7	0.35		55	2.76		101	5.06					49	2.46		1094	54.84		1995
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		0	0.00					0	0.00		1	25.00		4
		TOTAL		43	2.16		625	31.33		17	0.85					7	0.35		58	2.91		101	5.06					49	2.46		1095	54.89		1995
	FOURTH			0	0.00		2	28.57		0	0.00						Excluded		0	0.00		2	28.57					1	14.29		2	28.57		7
		TOTAL		43	2.16		627	31.43		17	0.85								58	2.91		103	5.16					50	2.51		1097	54.99		1995
	FIFTH			1	5.88		9	52.94			Excluded								1	5.88		0	0.00					4	23.53		2	11.76		17
		TOTAL		44	2.21		636	31.88											59	2.96		103	5.16					54	2.71		1099	55.09		1995
	SIXTH			0	0.00		20	37.04											7	12.96		16	29.63						Excluded		11	20.37		54
		TOTAL		44	2.21		656	32.88											66	3.31		119	5.96								1110	55.64		1995
	SEVENTH				Excluded		17	38.64											2	4.55		5	11.36								20	45.45		44
		TOTAL					673	33.73											68	3.41		124	6.22								1130	56.64		1995
	EIGHTH						24	35.29												Excluded		32	47.06								12	17.65		68
		TOTAL					697	34.94														156	7.82								1142	57.24		1995
	NINTH						103	66.03															Excluded								53	33.97		156
		TOTAL					800	40.10																							1195	59.90		1995
																															Elected			
																																		
Meadowbank                                                     																																		
	FIRST			31	3.49		320	36.00		9	1.01		3	0.34		4	0.45		44	4.95		60	6.75		1	0.11		31	3.49		386	43.42		889
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		32	3.60		320	36.00		9	1.01		3	0.34		4	0.45		44	4.95		60	6.75					31	3.49		386	43.42		889
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	100.00		0	0.00					0	0.00		0	0.00		3
		TOTAL		32	3.60		320	36.00		9	1.01					4	0.45		47	5.29		60	6.75					31	3.49		386	43.42		889
	FOURTH			1	25.00		0	0.00		1	25.00						Excluded		0	0.00		1	25.00					0	0.00		1	25.00		4
		TOTAL		33	3.71		320	36.00		10	1.12								47	5.29		61	6.86					31	3.49		387	43.53		889
	FIFTH			1	10.00		4	40.00			Excluded								2	20.00		1	10.00					1	10.00		1	10.00		10
		TOTAL		34	3.82		324	36.45											49	5.51		62	6.97					32	3.60		388	43.64		889
	SIXTH			0	0.00		20	62.50											3	9.38		5	15.63						Excluded		4	12.50		32
		TOTAL		34	3.82		344	38.70											52	5.85		67	7.54								392	44.09		889
	SEVENTH				Excluded		17	50.00											6	17.65		2	5.88								9	26.47		34
		TOTAL					361	40.61											58	6.52		69	7.76								401	45.11		889
	EIGHTH						20	34.48												Excluded		33	56.90								5	8.62		58
		TOTAL					381	42.86														102	11.47								406	45.67		889
	NINTH						78	76.47															Excluded								24	23.53		102
		TOTAL					459	51.63																							430	48.37		889
																															Elected			
																																		
Melrose Park                                                   																																		
	FIRST			31	3.95		258	32.87		2	0.25		2	0.25		5	0.64		22	2.80		45	5.73		0	0.00		7	0.89		413	52.61		785
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		31	3.95		258	32.87		2	0.25		2	0.25		5	0.64		22	2.80		45	5.73					7	0.89		413	52.61		785
	THIRD			1	50.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		32	4.08		258	32.87		2	0.25					5	0.64		23	2.93		45	5.73					7	0.89		413	52.61		785
	FOURTH			1	20.00		0	0.00		1	20.00						Excluded		1	20.00		1	20.00					0	0.00		1	20.00		5
		TOTAL		33	4.20		258	32.87		3	0.38								24	3.06		46	5.86					7	0.89		414	52.74		785
	FIFTH			1	33.33		0	0.00			Excluded								1	33.33		1	33.33					0	0.00		0	0.00		3
		TOTAL		34	4.33		258	32.87											25	3.18		47	5.99					7	0.89		414	52.74		785
	SIXTH			0	0.00		1	14.29											0	0.00		2	28.57						Excluded		4	57.14		7
		TOTAL		34	4.33		259	32.99											25	3.18		49	6.24								418	53.25		785
	SEVENTH				Excluded		10	29.41											8	23.53		2	5.88								14	41.18		34
		TOTAL					269	34.27											33	4.20		51	6.50								432	55.03		785
	EIGHTH						11	33.33												Excluded		15	45.45								7	21.21		33
		TOTAL					280	35.67														66	8.41								439	55.92		785
	NINTH						49	74.24															Excluded								17	25.76		66
		TOTAL					329	41.91																							456	58.09		785
																															Elected			
																																		
Parkes Street                                                  																																		
	FIRST			53	3.79		504	36.05		4	0.29		1	0.07		9	0.64		44	3.15		56	4.01		1	0.07		16	1.14		710	50.79		1398
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		1
		TOTAL		53	3.79		504	36.05		4	0.29		1	0.07		9	0.64		44	3.15		56	4.01					16	1.14		711	50.86		1398
	THIRD			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		53	3.79		505	36.12		4	0.29					9	0.64		44	3.15		56	4.01					16	1.14		711	50.86		1398
	FOURTH			0	0.00		2	22.22		1	11.11						Excluded		3	33.33		0	0.00					1	11.11		2	22.22		9
		TOTAL		53	3.79		507	36.27		5	0.36								47	3.36		56	4.01					17	1.22		713	51.00		1398
	FIFTH			0	0.00		2	40.00			Excluded								1	20.00		0	0.00					0	0.00		2	40.00		5
		TOTAL		53	3.79		509	36.41											48	3.43		56	4.01					17	1.22		715	51.14		1398
	SIXTH			1	5.88		10	58.82											1	5.88		1	5.88						Excluded		4	23.53		17
		TOTAL		54	3.86		519	37.12											49	3.51		57	4.08								719	51.43		1398
	SEVENTH				Excluded		28	51.85											11	20.37		2	3.70								13	24.07		54
		TOTAL					547	39.13											60	4.29		59	4.22								732	52.36		1398
	EIGHTH						17	28.33												Excluded		33	55.00								10	16.67		60
		TOTAL					564	40.34														92	6.58								742	53.08		1398
	NINTH						73	79.35															Excluded								19	20.65		92
		TOTAL					637	45.57																							761	54.43		1398
																															Elected			
																																		
Putney                                                         																																		
	FIRST			92	3.00		861	28.05		26	0.85		6	0.20		17	0.55		112	3.65		128	4.17		5	0.16		23	0.75		1799	58.62		3069
	SECOND			2	40.00		1	20.00		0	0.00		0	0.00		0	0.00		1	20.00		1	20.00			Excluded		0	0.00		0	0.00		5
		TOTAL		94	3.06		862	28.09		26	0.85		6	0.20		17	0.55		113	3.68		129	4.20					23	0.75		1799	58.62		3069
	THIRD			0	0.00		4	66.67		0	0.00			Excluded		1	16.67		1	16.67		0	0.00					0	0.00		0	0.00		6
		TOTAL		94	3.06		866	28.22		26	0.85					18	0.59		114	3.71		129	4.20					23	0.75		1799	58.62		3069
	FOURTH			1	5.56		1	5.56		2	11.11						Excluded		4	22.22		5	27.78					0	0.00		5	27.78		18
		TOTAL		95	3.10		867	28.25		28	0.91								118	3.84		134	4.37					23	0.75		1804	58.78		3069
	FIFTH			2	7.14		15	53.57			Excluded								4	14.29		0	0.00					3	10.71		4	14.29		28
		TOTAL		97	3.16		882	28.74											122	3.98		134	4.37					26	0.85		1808	58.91		3069
	SIXTH			2	7.69		6	23.08											7	26.92		8	30.77						Excluded		3	11.54		26
		TOTAL		99	3.23		888	28.93											129	4.20		142	4.63								1811	59.01		3069
	SEVENTH				Excluded		43	43.43											11	11.11		6	6.06								39	39.39		99
		TOTAL					931	30.34											140	4.56		148	4.82								1850	60.28		3069
	EIGHTH						39	27.86												Excluded		87	62.14								14	10.00		140
		TOTAL					970	31.61														235	7.66								1864	60.74		3069
	NINTH						179	76.17															Excluded								56	23.83		235
		TOTAL					1149	37.44																							1920	62.56		3069
																															Elected			
																																		
Roselea (Bennelong)                                            																																		
	FIRST			33	2.52		373	28.45		7	0.53		1	0.08		8	0.61		41	3.13		69	5.26		3	0.23		54	4.12		722	55.07		1311
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		3
		TOTAL		33	2.52		373	28.45		8	0.61		2	0.15		8	0.61		41	3.13		70	5.34					54	4.12		722	55.07		1311
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		33	2.52		373	28.45		8	0.61					8	0.61		43	3.28		70	5.34					54	4.12		722	55.07		1311
	FOURTH			1	12.50		0	0.00		2	25.00						Excluded		3	37.50		0	0.00					2	25.00		0	0.00		8
		TOTAL		34	2.59		373	28.45		10	0.76								46	3.51		70	5.34					56	4.27		722	55.07		1311
	FIFTH			0	0.00		7	70.00			Excluded								0	0.00		0	0.00					1	10.00		2	20.00		10
		TOTAL		34	2.59		380	28.99											46	3.51		70	5.34					57	4.35		724	55.23		1311
	SIXTH			1	1.75		22	38.60											3	5.26		27	47.37						Excluded		4	7.02		57
		TOTAL		35	2.67		402	30.66											49	3.74		97	7.40								728	55.53		1311
	SEVENTH				Excluded		18	51.43											5	14.29		1	2.86								11	31.43		35
		TOTAL					420	32.04											54	4.12		98	7.48								739	56.37		1311
	EIGHTH						18	33.33												Excluded		28	51.85								8	14.81		54
		TOTAL					438	33.41														126	9.61								747	56.98		1311
	NINTH						91	72.22															Excluded								35	27.78		126
		TOTAL					529	40.35																							782	59.65		1311
																															Elected			
																																		
Royal Ryde Homes                                               																																		
	FIRST			2	1.94		34	33.01		1	0.97		1	0.97		1	0.97		6	5.83		3	2.91		0	0.00		0	0.00		55	53.40		103
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		2	1.94		34	33.01		1	0.97		1	0.97		1	0.97		6	5.83		3	2.91					0	0.00		55	53.40		103
	THIRD			0	0.00		0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		2	1.94		34	33.01		1	0.97					2	1.94		6	5.83		3	2.91					0	0.00		55	53.40		103
	FOURTH			0	0.00		0	0.00		0	0.00						Excluded		2	100.00		0	0.00					0	0.00		0	0.00		2
		TOTAL		2	1.94		34	33.01		1	0.97								8	7.77		3	2.91					0	0.00		55	53.40		103
	FIFTH			0	0.00		0	0.00			Excluded								1	100.00		0	0.00					0	0.00		0	0.00		1
		TOTAL		2	1.94		34	33.01											9	8.74		3	2.91					0	0.00		55	53.40		103
	SIXTH			0	0.00		0	0.00											0	0.00		0	0.00						Excluded		0	0.00		0
		TOTAL		2	1.94		34	33.01											9	8.74		3	2.91								55	53.40		103
	SEVENTH				Excluded		0	0.00											0	0.00		0	0.00								2	100.00		2
		TOTAL					34	33.01											9	8.74		3	2.91								57	55.34		103
	EIGHTH						3	33.33												Excluded		6	66.67								0	0.00		9
		TOTAL					37	35.92														9	8.74								57	55.34		103
	NINTH						7	77.78															Excluded								2	22.22		9
		TOTAL					44	42.72																							59	57.28		103
																															Elected			
																																		
Ryde                                                           																																		
	FIRST			83	3.33		1053	42.19		26	1.04		4	0.16		12	0.48		104	4.17		131	5.25		2	0.08		48	1.92		1033	41.39		2496
	SECOND			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2
		TOTAL		85	3.41		1053	42.19		26	1.04		4	0.16		12	0.48		104	4.17		131	5.25					48	1.92		1033	41.39		2496
	THIRD			0	0.00		3	75.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		4
		TOTAL		85	3.41		1056	42.31		27	1.08					12	0.48		104	4.17		131	5.25					48	1.92		1033	41.39		2496
	FOURTH			2	16.67		0	0.00		0	0.00						Excluded		6	50.00		1	8.33					1	8.33		2	16.67		12
		TOTAL		87	3.49		1056	42.31		27	1.08								110	4.41		132	5.29					49	1.96		1035	41.47		2496
	FIFTH			2	7.41		13	48.15			Excluded								4	14.81		6	22.22					0	0.00		2	7.41		27
		TOTAL		89	3.57		1069	42.83											114	4.57		138	5.53					49	1.96		1037	41.55		2496
	SIXTH			2	4.08		29	59.18											3	6.12		8	16.33						Excluded		7	14.29		49
		TOTAL		91	3.65		1098	43.99											117	4.69		146	5.85								1044	41.83		2496
	SEVENTH				Excluded		48	52.75											14	15.38		6	6.59								23	25.27		91
		TOTAL					1146	45.91											131	5.25		152	6.09								1067	42.75		2496
	EIGHTH						29	22.14												Excluded		88	67.18								14	10.69		131
		TOTAL					1175	47.08														240	9.62								1081	43.31		2496
	NINTH						178	74.17															Excluded								62	25.83		240
		TOTAL					1353	54.21																							1143	45.79		2496
																															Elected			
																																		
Ryde Central                                                   																																		
	FIRST			39	3.82		325	31.83		10	0.98		2	0.20		8	0.78		22	2.15		29	2.84		0	0.00		3	0.29		583	57.10		1021
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0
		TOTAL		39	3.82		325	31.83		10	0.98		2	0.20		8	0.78		22	2.15		29	2.84					3	0.29		583	57.10		1021
	THIRD			0	0.00		1	50.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00		2
		TOTAL		39	3.82		326	31.93		10	0.98					8	0.78		22	2.15		29	2.84					3	0.29		584	57.20		1021
	FOURTH			1	12.50		0	0.00		1	12.50						Excluded		1	12.50		4	50.00					0	0.00		1	12.50		8
		TOTAL		40	3.92		326	31.93		11	1.08								23	2.25		33	3.23					3	0.29		585	57.30		1021
	FIFTH			2	18.18		5	45.45			Excluded								2	18.18		1	9.09					1	9.09		0	0.00		11
		TOTAL		42	4.11		331	32.42											25	2.45		34	3.33					4	0.39		585	57.30		1021
	SIXTH			0	0.00		2	50.00											0	0.00		1	25.00						Excluded		1	25.00		4
		TOTAL		42	4.11		333	32.62											25	2.45		35	3.43								586	57.39		1021
	SEVENTH				Excluded		21	50.00											4	9.52		5	11.90								12	28.57		42
		TOTAL					354	34.67											29	2.84		40	3.92								598	58.57		1021
	EIGHTH						8	27.59												Excluded		19	65.52								2	6.90		29
		TOTAL					362	35.46														59	5.78								600	58.77		1021
	NINTH						43	72.88															Excluded								16	27.12		59
		TOTAL					405	39.67																							616	60.33		1021
																															Elected			
																																		
Ryde East                                                      																																		
	FIRST			77	2.53		888	29.23		10	0.33		10	0.33		15	0.49		103	3.39		163	5.37		1	0.03		15	0.49		1756	57.80		3038
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1
		TOTAL		78	2.57		888	29.23		10	0.33		10	0.33		15	0.49		103	3.39		163	5.37					15	0.49		1756	57.80		3038
	THIRD			2	20.00		0	0.00		0	0.00			Excluded		2	20.00		4	40.00		1	10.00					0	0.00		1	10.00		10
		TOTAL		80	2.63		888	29.23		10	0.33					17	0.56		107	3.52		164	5.40					15	0.49		1757	57.83		3038
	FOURTH			0	0.00		2	11.76		3	17.65						Excluded		7	41.18		1	5.88					2	11.76		2	11.76		17
		TOTAL		80	2.63		890	29.30		13	0.43								114	3.75		165	5.43					17	0.56		1759	57.90		3038
	FIFTH			0	0.00		3	23.08			Excluded								5	38.46		4	30.77					1	7.69		0	0.00		13
		TOTAL		80	2.63		893	29.39											119	3.92		169	5.56					18	0.59		1759	57.90		3038
