House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Bennelong (86896)											
		Candidate		"CAMPBELL, Nicole"		           	"HOWARD, John Winston"		       	Total	
		"DAWSON, John (IND)"	8	4	50.00		4	50.00		8	
		"SHAW, Jimmy (GRN)"	39	30	76.92		9	23.08		39	
		"GOLDFINCH, Peter Lloyd (DEM)"	40	29	72.50		11	27.50		40	
		"MARSH, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"LAW, May (UNI)"	10	7	70.00		3	30.00		10	
		Total	147	547	42.70		734	57.30		1281	

	West Ryde										
			1st Prefs	1271	47.16		1424	52.84		2695	
		"WEBECK, Robert (HAN)"	123	76	61.79		47	38.21		123	
		"HARKNESS, Bruce (NGST)"	21	17	80.95		4	19.05		21	
		"PLUMB, Noel (SAS)"	3	2	66.67		1	33.33		3	
		"DAWSON, John (IND)"	17	10	58.82		7	41.18		17	
		"SHAW, Jimmy (GRN)"	101	80	79.21		21	20.79		101	
		"GOLDFINCH, Peter Lloyd (DEM)"	210	152	72.38		58	27.62		210	
		"MARSH, Peter (NCP)"	2	1	50.00		1	50.00		2	
		"LAW, May (UNI)"	63	59	93.65		4	6.35		63	
		Total	540	1668	51.56		1567	48.44		3235	

	Wicks										
			1st Prefs	76	30.04		177	69.96		253	
		"WEBECK, Robert (HAN)"	9	6	66.67		3	33.33		9	
		"HARKNESS, Bruce (NGST)"	1	1	100.00		0	0.00		1	
		"PLUMB, Noel (SAS)"	3	2	66.67		1	33.33		3	
		"DAWSON, John (IND)"	5	4	80.00		1	20.00		5	
		"SHAW, Jimmy (GRN)"	19	17	89.47		2	10.53		19	
		"GOLDFINCH, Peter Lloyd (DEM)"	19	12	63.16		7	36.84		19	
		"MARSH, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"LAW, May (UNI)"	2	2	100.00		0	0.00		2	
		Total	58	120	38.59		191	61.41		311	

	Special Hospitals										
			1st Prefs	61	21.11		228	78.89		289	
		"WEBECK, Robert (HAN)"	2	2	100.00		0	0.00		2	
		"HARKNESS, Bruce (NGST)"	0	0	0.00		0	0.00		0	
		"PLUMB, Noel (SAS)"	0	0	0.00		0	0.00		0	
		"DAWSON, John (IND)"	0	0	0.00		0	0.00		0	
		"SHAW, Jimmy (GRN)"	1	1	100.00		0	0.00		1	
		"GOLDFINCH, Peter Lloyd (DEM)"	3	0	0.00		3	100.00		3	
		"MARSH, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"LAW, May (UNI)"	0	0	0.00		0	0.00		0	
		Total	6	64	21.69		231	78.31		295	

	Total Ordinary										
			1st Prefs	20690	37.66		34244	62.34		54934	
		"WEBECK, Robert (HAN)"	1783	986	55.30		797	44.70		1783	
		"HARKNESS, Bruce (NGST)"	392	270	68.88		122	31.12		392	
		"PLUMB, Noel (SAS)"	152	116	76.32		36	23.68		152	
		"DAWSON, John (IND)"	353	214	60.62		139	39.38		353	
		"SHAW, Jimmy (GRN)"	2533	2018	79.67		515	20.33		2533	
		"GOLDFINCH, Peter Lloyd (DEM)"	3732	2676	71.70		1056	28.30		3732	
		"MARSH, Peter (NCP)"	62	32	51.61		30	48.39		62	
		"LAW, May (UNI)"	1282	1020	79.56		262	20.44		1282	
		Total	10289	28022	42.96		37201	57.04		65223	

	ABSENT										
			1st Prefs	1352	33.22		2718	66.78		4070	
		"WEBECK, Robert (HAN)"	168	112	66.67		56	33.33		168	
		"HARKNESS, Bruce (NGST)"	83	50	60.24		33	39.76		83	
		"PLUMB, Noel (SAS)"	23	15	65.22		8	34.78		23	
		"DAWSON, John (IND)"	57	36	63.16		21	36.84		57	
		"SHAW, Jimmy (GRN)"	379	294	77.57		85	22.43		379	
		"GOLDFINCH, Peter Lloyd (DEM)"	374	253	67.65		121	32.35		374	
		"MARSH, Peter (NCP)"	18	11	61.11		7	38.89		18	
		"LAW, May (UNI)"	60	43	71.67		17	28.33		60	
		Total	1162	2166	41.40		3066	58.60		5232	

	POSTAL										
			1st Prefs	877	26.90		2383	73.10		3260	
		"WEBECK, Robert (HAN)"	92	50	54.35		42	45.65		92	
		"HARKNESS, Bruce (NGST)"	26	19	73.08		7	26.92		26	
		"PLUMB, Noel (SAS)"	13	7	53.85		6	46.15		13	
		"DAWSON, John (IND)"	15	11	73.33		4	26.67		15	
		"SHAW, Jimmy (GRN)"	63	49	77.78		14	22.22		63	
		"GOLDFINCH, Peter Lloyd (DEM)"	119	76	63.87		43	36.13		119	
		"MARSH, Peter (NCP)"	2	0	0.00		2	100.00		2	
		"LAW, May (UNI)"	40	32	80.00		8	20.00		40	
		Total	370	1121	30.88		2509	69.12		3630	

	PRE_POLL										
			1st Prefs	1018	36.72		1754	63.28		2772	
		"WEBECK, Robert (HAN)"	74	44	59.46		30	40.54		74	
		"HARKNESS, Bruce (NGST)"	32	26	81.25		6	18.75		32	
		"PLUMB, Noel (SAS)"	12	9	75.00		3	25.00		12	
		"DAWSON, John (IND)"	30	19	63.33		11	36.67		30	
		"SHAW, Jimmy (GRN)"	146	116	79.45		30	20.55		146	
		"GOLDFINCH, Peter Lloyd (DEM)"	178	123	69.10		55	30.90		178	
		"MARSH, Peter (NCP)"	2	0	0.00		2	100.00		2	
		"LAW, May (UNI)"	89	67	75.28		22	24.72		89	
		Total	563	1422	42.64		1913	57.36		3335	

	PROVISIONAL										
			1st Prefs	116	42.65		156	57.35		272	
		"WEBECK, Robert (HAN)"	9	7	77.78		2	22.22		9	
		"HARKNESS, Bruce (NGST)"	2	2	100.00		0	0.00		2	
		"PLUMB, Noel (SAS)"	5	5	100.00		0	0.00		5	
		"DAWSON, John (IND)"	3	0	0.00		3	100.00		3	
		"SHAW, Jimmy (GRN)"	12	8	66.67		4	33.33		12	
		"GOLDFINCH, Peter Lloyd (DEM)"	12	5	41.67		7	58.33		12	
		"MARSH, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"LAW, May (UNI)"	3	3	100.00		0	0.00		3	
		Total	46	146	45.91		172	54.09		318	

	Division Summary										
			1st Prefs	24053	36.83		41255	63.17		65308	
		"WEBECK, Robert (HAN)"	2126	1199	56.40		927	43.60		2126	
		"HARKNESS, Bruce (NGST)"	535	367	68.60		168	31.40		535	
		"PLUMB, Noel (SAS)"	205	152	74.15		53	25.85		205	
		"DAWSON, John (IND)"	458	280	61.14		178	38.86		458	
		"SHAW, Jimmy (GRN)"	3133	2485	79.32		648	20.68		3133	
		"GOLDFINCH, Peter Lloyd (DEM)"	4415	3133	70.96		1282	29.04		4415	
		"MARSH, Peter (NCP)"	84	43	51.19		41	48.81		84	
		"LAW, May (UNI)"	1474	1165	79.04		309	20.96		1474	
		Total	12430	32877	42.29		44861	57.71		77738	
