Senate - 1996 Election																
First Preference Votes by Candidate																
By Vote Type by Division																


New South Wales																

Banks (78925)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		Group Total	DEM	6777	10.32	452	9.95	22	4.38	193	8.38	136	8.92	1	7581	10.18
I		TICKET VOTES		81	0.12	2	0.04	10	1.99	0	0	1	0.07	-3	91	0.12
		"SCHOLLBACH, Robert Frederick"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		Group Total		87	0.13	2	0.04	10	1.99	0	0	1	0.07	-3	97	0.13
J		TICKET VOTES	ASP	1109	1.69	100	2.2	7	1.39	46	2	12	0.79	-2	1272	1.71
		"SIMS, Richard"	ASP	73	0.11	3	0.07	1	0.2	3	0.13	4	0.26	1	85	0.11
		"BOURKE, Robyn"	ASP	6	0.01	0	0	0	0	2	0.09	0	0	-6	2	0
		"REDFERN, Daniel"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FRANICH, Rodney"	ASP	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	ASP	1190	1.81	103	2.27	8	1.59	51	2.22	16	1.05	-7	1361	1.83
K		TICKET VOTES		6	0.01	3	0.07	0	0	0	0	0	0	0	9	0.01
		"GALATI, Tony"		1	0	0	0	0	0	0	0	0	0	0	1	0
		"GALATI, Sam"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		7	0.01	3	0.07	0	0	0	0	0	0	0	10	0.01
L		TICKET VOTES	AWP	339	0.52	34	0.75	5	1	17	0.74	6	0.39	-4	397	0.53
		"DUNCAN, Darelle"	AWP	15	0.02	1	0.02	0	0	0	0	3	0.2	0	19	0.03
		"THEW, Sarah"	AWP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	AWP	354	0.54	35	0.77	5	1	17	0.74	9	0.59	-4	416	0.56
M		TICKET VOTES		11	0.02	0	0	0	0	2	0.09	0	0	0	13	0.02
		"BUTLER, Robert H"		1	0	0	0	0	0	0	0	1	0.07	-1	1	0
		"COSGROVE, Lindsay D"		0	0	0	0	0	0	0	0	0	0	1	1	0
		Group Total		12	0.02	0	0	0	0	2	0.09	1	0.07	0	15	0.02
N		TICKET VOTES	RBR	48	0.07	3	0.07	0	0	3	0.13	0	0	0	54	0.07
		"BREEN, Peter"	ABR	5	0.01	1	0.02	0	0	0	0	0	0	1	7	0.01
		"McNALLY, Kerry"	RPA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"HOUSEGO, Valerie"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RBR	53	0.08	4	0.09	0	0	3	0.13	0	0	1	61	0.08
O		TICKET VOTES	GRY	105	0.16	6	0.13	2	0.4	4	0.17	12	0.79	0	129	0.17
		"VERHEYEN, John"	GRY	15	0.02	0	0	0	0	0	0	0	0	-5	10	0.01
		"HETTERSCHEID, Theo"	GRY	1	0	0	0	0	0	0	0	0	0	0	1	0
		"SEGERSTROM, Bob"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"PICKERING, Olga"	GRY	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	GRY	123	0.19	6	0.13	2	0.4	4	0.17	12	0.79	-5	142	0.19
P		TICKET VOTES	NLP	60	0.09	6	0.13	0	0	3	0.13	1	0.07	0	70	0.09
		"KNOLES, Catherine"	NLP	4	0.01	0	0	0	0	1	0.04	0	0	-2	3	0
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	64	0.1	6	0.13	0	0	4	0.17	1	0.07	-2	73	0.1
Q		TICKET VOTES	ABF	422	0.64	61	1.34	11	2.19	19	0.83	10	0.66	-1	522	0.7
		"FINDLAY-BARNES, Teresa"	ABF	12	0.02	0	0	0	0	0	0	1	0.07	0	13	0.02
		"TRIBE, David"	ABF	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ABF	435	0.66	61	1.34	11	2.19	19	0.83	11	0.72	-1	536	0.72
R		TICKET VOTES	CTA	1308	1.99	91	2	6	1.2	46	2	40	2.62	-3	1488	2
		"WEBSTER, Alasdair"	CTA	171	0.26	16	0.35	0	0	10	0.43	3	0.2	0	200	0.27
		"WEBSTER, Elaine"	CTA	2	0	0	0	0	0	1	0.04	0	0	0	3	0
		"McLENNAN, Graham Clarke"	CTA	3	0	0	0	0	0	0	0	0	0	0	3	0
		"BIRD, Bill"	CTA	0	0	0	0	0	0	1	0.04	0	0	-1	0	0
		"COLEMAN, Bruce"	CTA	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	CTA	1486	2.26	107	2.36	6	1.2	58	2.52	43	2.82	-4	1696	2.28
UNGROUPED																
		"JONES, Morris"	IND	6	0.01	1	0.02	0	0	0	0	0	0	0	7	0.01
		"IVOR, F"	IND	17	0.03	2	0.04	0	0	1	0.04	0	0	1	21	0.03
		"BARBARA, John"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"HURLEY, Jade"	IND	124	0.19	5	0.11	0	0	1	0.04	1	0.07	0	131	0.18
		"PINNIGER, Gretel"	IND	2	0	0	0	0	0	0	0	0	0	0	2	0
		"UNDERWOOD, Dian"	IND	4	0.01	1	0.02	0	0	0	0	0	0	0	5	0.01
		"PATTERSON, Ray"	IND	8	0.01	0	0	0	0	0	0	0	0	0	8	0.01
		"PIGGIN, David"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BRADLEY, Bill"	IND	10	0.02	0	0	0	0	1	0.04	0	0	-1	10	0.01
		Ungrouped Total		172	0.26	9	0.2	0	0	3	0.13	1	0.07	0	185	0.25
			FORMAL	65664	94.93	4541	97.09	502	94.9	2302	98.38	1525	97.94	-43	74491	95.22
			INFORMAL	3504	5.07	136	2.91	27	5.1	38	1.62	32	2.06	2	3739	4.78
			TOTAL	69168	88.42	4677	5.98	529	0.68	2340	2.99	1557	1.99	-41	78230	96.4



Gwydir (73855)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	559	0.96	48	0.9	16	2.44	16	0.6	14	0.57	0	653	0.94
		"KITSON, David"	RARI	87	0.15	10	0.19	3	0.46	2	0.07	1	0.04	0	103	0.15
		"O'CALLAGHAN, Carolyn"	RARI	4	0.01	0	0	0	0	0	0	3	0.12	0	7	0.01
		Group Total	RARI	650	1.12	58	1.08	19	2.9	18	0.67	18	0.73	0	763	1.1
B		TICKET VOTES	LNP	29221	50.39	2789	52.06	218	33.23	1633	61.07	1452	59.27	0	35313	51.09
	#	"WOODS, Bob"	LP	373	0.64	39	0.73	4	0.61	28	1.05	39	1.59	0	483	0.7
	#	"BROWNHILL, David"	NP	138	0.24	17	0.32	0	0	11	0.41	26	1.06	0	192	0.28
	#	"COONAN, Helen"	LP	27	0.05	4	0.07	0	0	0	0	4	0.16	0	35	0.05
		"CONSTANTIN, Abraham"	LP	10	0.02	0	0	0	0	0	0	0	0	0	10	0.01
		Group Total	LNP	29769	51.34	2849	53.18	222	33.84	1672	62.53	1521	62.08	0	36033	52.13
C		TICKET VOTES	GRN	444	0.77	111	2.07	13	1.98	33	1.23	14	0.57	0	615	0.89
		"SPERLING, Karla"	GRN	62	0.11	7	0.13	1	0.15	4	0.15	2	0.08	0	76	0.11
		"DENTON, Peter"	GRN	2	0	0	0	0	0	0	0	0	0	0	2	0
		"ELIX, Jane"	GRN	0	0	1	0.02	0	0	2	0.07	0	0	0	3	0
		"MATSON, Murray"	GRN	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	GRN	508	0.88	119	2.22	14	2.13	39	1.46	16	0.65	0	696	1.01
D		TICKET VOTES	NAN	48	0.08	3	0.06	1	0.15	5	0.19	3	0.12	0	60	0.09
		"NASH, Chris"	NAN	3	0.01	0	0	1	0.15	0	0	0	0	0	4	0.01
		"HALE, Sylvia"	NAN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NAN	52	0.09	3	0.06	2	0.3	5	0.19	3	0.12	0	65	0.09
E		TICKET VOTES	SEN	176	0.3	5	0.09	5	0.76	5	0.19	6	0.24	0	197	0.28
		"EVANS, Beryl"	SEN	18	0.03	1	0.02	0	0	0	0	0	0	0	19	0.03
		"WELSH, Lorraine"	SEN	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	SEN	194	0.33	6	0.11	5	0.76	5	0.19	6	0.24	0	216	0.31
F		TICKET VOTES	AFI	547	0.94	61	1.14	3	0.46	37	1.38	30	1.22	0	678	0.98
		"PHILLIPS, John"	AFI	52	0.09	1	0.02	1	0.15	0	0	10	0.41	0	64	0.09
		"O'REGAN, Bevan"	AFI	46	0.08	3	0.06	0	0	5	0.19	8	0.33	0	62	0.09
		Group Total	AFI	645	1.11	65	1.21	4	0.61	42	1.57	48	1.96	0	804	1.16
G		TICKET VOTES	ALP	16945	29.22	1409	26.3	271	41.31	523	19.56	532	21.71	0	19680	28.47
	#	"WEST, Sue"	ALP	191	0.33	22	0.41	4	0.61	10	0.37	10	0.41	0	237	0.34
	#	"CHILDS, Bruce"	ALP	13	0.02	4	0.07	0	0	1	0.04	2	0.08	0	20	0.03
		"WHEELWRIGHT, Tom"	ALP	11	0.02	1	0.02	0	0	2	0.07	0	0	0	14	0.02
		"BARGHOUT, Rima"	ALP	6	0.01	0	0	1	0.15	0	0	1	0.04	0	8	0.01
		Group Total	ALP	17166	29.6	1436	26.81	276	42.07	536	20.04	545	22.24	0	19959	28.87
H		TICKET VOTES	DEM	2712	4.68	267	4.98	19	2.9	144	5.39	98	4	0	3240	4.69
	#	"BOURNE, Vicki"	DEM	271	0.47	31	0.58	1	0.15	5	0.19	18	0.73	0	326	0.47
		"CHESTERFIELD-EVANS, Arthur"	DEM	4	0.01	0	0	0	0	0	0	2	0.08	0	6	0.01
		"LARCOS, Andrew"	DEM	0	0	0	0	0	0	0	0	1	0.04	0	1	0
		"ANDERSON, Troy"	DEM	7	0.01	3	0.06	0	0	1	0.04	0	0	0	11	0.02
		Group Total	DEM	2994	5.16	301	5.62	20	3.05	150	5.61	119	4.86	0	3584	5.18
I		TICKET VOTES		63	0.11	5	0.09	0	0	31	1.16	1	0.04	0	100	0.14
		"SCHOLLBACH, Robert Frederick"		3	0.01	0	0	0	0	0	0	0	0	0	3	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		66	0.11	5	0.09	0	0	31	1.16	1	0.04	0	103	0.15
J		TICKET VOTES	ASP	3554	6.13	283	5.28	58	8.84	72	2.69	81	3.31	0	4048	5.86
		"SIMS, Richard"	ASP	160	0.28	18	0.34	1	0.15	8	0.3	10	0.41	0	197	0.28
		"BOURKE, Robyn"	ASP	15	0.03	1	0.02	0	0	1	0.04	0	0	0	17	0.02
		"REDFERN, Daniel"	ASP	3	0.01	0	0	0	0	0	0	0	0	0	3	0
		"FRANICH, Rodney"	ASP	4	0.01	1	0.02	0	0	0	0	0	0	0	5	0.01
		Group Total	ASP	3736	6.44	303	5.66	59	8.99	81	3.03	91	3.71	0	4270	6.18
K		TICKET VOTES		12	0.02	0	0	0	0	1	0.04	0	0	0	13	0.02
		"GALATI, Tony"		2	0	0	0	0	0	0	0	0	0	0	2	0
		"GALATI, Sam"		2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total		16	0.03	0	0	0	0	1	0.04	0	0	0	17	0.02
L		TICKET VOTES	AWP	320	0.55	40	0.75	12	1.83	13	0.49	7	0.29	0	392	0.57
		"DUNCAN, Darelle"	AWP	9	0.02	2	0.04	0	0	0	0	0	0	0	11	0.02
		"THEW, Sarah"	AWP	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	AWP	330	0.57	42	0.78	12	1.83	13	0.49	7	0.29	0	404	0.58
M		TICKET VOTES		14	0.02	0	0	0	0	1	0.04	2	0.08	0	17	0.02
		"BUTLER, Robert H"		0	0	0	0	0	0	1	0.04	0	0	0	1	0
		"COSGROVE, Lindsay D"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		14	0.02	0	0	0	0	2	0.07	2	0.08	0	18	0.03
N		TICKET VOTES	RBR	29	0.05	4	0.07	1	0.15	2	0.07	1	0.04	0	37	0.05
		"BREEN, Peter"	ABR	3	0.01	0	0	0	0	0	0	0	0	0	3	0
		"McNALLY, Kerry"	RPA	3	0.01	0	0	0	0	0	0	0	0	0	3	0
		"HOUSEGO, Valerie"	ABR	1	0	1	0.02	0	0	0	0	0	0	0	2	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	RBR	37	0.06	5	0.09	1	0.15	2	0.07	1	0.04	0	46	0.07
O		TICKET VOTES	GRY	82	0.14	7	0.13	0	0	1	0.04	5	0.2	0	95	0.14
		"VERHEYEN, John"	GRY	2	0	0	0	0	0	0	0	0	0	0	2	0
		"HETTERSCHEID, Theo"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"SEGERSTROM, Bob"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"PICKERING, Olga"	GRY	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	GRY	85	0.15	7	0.13	0	0	1	0.04	5	0.2	0	98	0.14
P		TICKET VOTES	NLP	44	0.08	3	0.06	1	0.15	1	0.04	0	0	0	49	0.07
		"KNOLES, Catherine"	NLP	3	0.01	1	0.02	0	0	0	0	0	0	0	4	0.01
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	47	0.08	4	0.07	1	0.15	1	0.04	0	0	0	53	0.08
Q		TICKET VOTES	ABF	436	0.75	42	0.78	15	2.29	20	0.75	9	0.37	0	522	0.76
		"FINDLAY-BARNES, Teresa"	ABF	6	0.01	0	0	0	0	0	0	1	0.04	0	7	0.01
		"TRIBE, David"	ABF	2	0	0	0	0	0	0	0	0	0	0	2	0
		Group Total	ABF	444	0.77	42	0.78	15	2.29	20	0.75	10	0.41	0	531	0.77
R		TICKET VOTES	CTA	970	1.67	90	1.68	6	0.91	39	1.46	40	1.63	0	1145	1.66
		"WEBSTER, Alasdair"	CTA	183	0.32	15	0.28	0	0	13	0.49	12	0.49	0	223	0.32
		"WEBSTER, Elaine"	CTA	3	0.01	1	0.02	0	0	1	0.04	0	0	0	5	0.01
		"McLENNAN, Graham Clarke"	CTA	1	0	0	0	0	0	0	0	2	0.08	0	3	0
		"BIRD, Bill"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"COLEMAN, Bruce"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CTA	1157	2	106	1.98	6	0.91	53	1.98	54	2.2	0	1376	1.99
UNGROUPED																
		"JONES, Morris"	IND	8	0.01	0	0	0	0	0	0	1	0.04	0	9	0.01
		"IVOR, F"	IND	0	0	1	0.02	0	0	0	0	1	0.04	0	2	0
		"BARBARA, John"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"HURLEY, Jade"	IND	55	0.09	2	0.04	0	0	0	0	0	0	0	57	0.08
		"PINNIGER, Gretel"	IND	2	0	2	0.04	0	0	0	0	1	0.04	0	5	0.01
		"UNDERWOOD, Dian"	IND	6	0.01	1	0.02	0	0	2	0.07	0	0	0	9	0.01
		"PATTERSON, Ray"	IND	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"PIGGIN, David"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BRADLEY, Bill"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		Ungrouped Total		76	0.13	6	0.11	0	0	2	0.07	3	0.12	0	87	0.13
			FORMAL	57986	96.14	5357	97.93	656	96.9	2674	98.78	2450	99.15	0	69123	96.49
			INFORMAL	2329	3.86	113	2.07	21	3.1	33	1.22	21	0.85	0	2517	3.51
			TOTAL	60315	84.19	5470	7.64	677	0.95	2707	3.78	2471	3.45	0	71640	97



Hughes (82293)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	1039	1.51	68	1.51	12	3.24	42	1.43	32	1.85	0	1193	1.52
		"KITSON, David"	RARI	164	0.24	10	0.22	3	0.81	3	0.1	6	0.35	0	186	0.24
		"O'CALLAGHAN, Carolyn"	RARI	3	0	0	0	0	0	1	0.03	1	0.06	0	5	0.01
		Group Total	RARI	1206	1.75	78	1.73	15	4.05	46	1.56	39	2.26	0	1384	1.77
B		TICKET VOTES	LNP	29116	42.31	1705	37.84	134	36.22	1273	43.27	768	44.47	0	32996	42.11
	#	"WOODS, Bob"	LP	603	0.88	38	0.84	3	0.81	23	0.78	35	2.03	0	702	0.9
	#	"BROWNHILL, David"	NP	6	0.01	1	0.02	0	0	1	0.03	2	0.12	0	10	0.01
	#	"COONAN, Helen"	LP	26	0.04	2	0.04	0	0	2	0.07	2	0.12	0	32	0.04
		"CONSTANTIN, Abraham"	LP	15	0.02	0	0	0	0	0	0	1	0.06	0	16	0.02
		Group Total	LNP	29766	43.25	1746	38.75	137	37.03	1299	44.15	808	46.79	0	33756	43.08
C		TICKET VOTES	GRN	1475	2.14	150	3.33	12	3.24	67	2.28	34	1.97	0	1738	2.22
		"SPERLING, Karla"	GRN	206	0.3	13	0.29	1	0.27	11	0.37	8	0.46	0	239	0.3
		"DENTON, Peter"	GRN	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"ELIX, Jane"	GRN	3	0	0	0	1	0.27	0	0	0	0	0	4	0.01
		"MATSON, Murray"	GRN	6	0.01	3	0.07	0	0	0	0	0	0	0	9	0.01
		Group Total	GRN	1695	2.46	166	3.68	14	3.78	78	2.65	42	2.43	0	1995	2.55
D		TICKET VOTES	NAN	79	0.11	17	0.38	1	0.27	4	0.14	2	0.12	0	103	0.13
		"NASH, Chris"	NAN	17	0.02	1	0.02	0	0	0	0	1	0.06	0	19	0.02
		"HALE, Sylvia"	NAN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NAN	97	0.14	18	0.4	1	0.27	4	0.14	3	0.17	0	123	0.16
E		TICKET VOTES	SEN	132	0.19	5	0.11	0	0	9	0.31	2	0.12	0	148	0.19
		"EVANS, Beryl"	SEN	14	0.02	0	0	0	0	1	0.03	0	0	0	15	0.02
		"WELSH, Lorraine"	SEN	1	0	0	0	0	0	0	0	0	0	0	1	0
		Group Total	SEN	147	0.21	5	0.11	0	0	10	0.34	2	0.12	0	164	0.21
F		TICKET VOTES	AFI	1513	2.2	135	3	19	5.14	72	2.45	34	1.97	0	1773	2.26
		"PHILLIPS, John"	AFI	186	0.27	7	0.16	1	0.27	10	0.34	8	0.46	0	212	0.27
		"O'REGAN, Bevan"	AFI	7	0.01	0	0	0	0	0	0	0	0	0	7	0.01
		Group Total	AFI	1706	2.48	142	3.15	20	5.41	82	2.79	42	2.43	0	1992	2.54
G		TICKET VOTES	ALP	21879	31.79	1476	32.76	116	31.35	979	33.28	509	29.47	0	24959	31.85
	#	"WEST, Sue"	ALP	421	0.61	26	0.58	0	0	15	0.51	15	0.87	0	477	0.61
	#	"CHILDS, Bruce"	ALP	33	0.05	4	0.09	0	0	1	0.03	1	0.06	0	39	0.05
		"WHEELWRIGHT, Tom"	ALP	20	0.03	1	0.02	0	0	2	0.07	1	0.06	0	24	0.03
		"BARGHOUT, Rima"	ALP	21	0.03	0	0	0	0	1	0.03	0	0	0	22	0.03
		Group Total	ALP	22374	32.51	1507	33.44	116	31.35	998	33.92	526	30.46	0	25521	32.57
H		TICKET VOTES	DEM	7212	10.48	513	11.38	37	10	244	8.29	155	8.98	0	8161	10.41
	#	"BOURNE, Vicki"	DEM	836	1.21	39	0.87	6	1.62	24	0.82	26	1.51	0	931	1.19
		"CHESTERFIELD-EVANS, Arthur"	DEM	8	0.01	0	0	0	0	1	0.03	1	0.06	0	10	0.01
		"LARCOS, Andrew"	DEM	5	0.01	1	0.02	0	0	1	0.03	0	0	0	7	0.01
		"ANDERSON, Troy"	DEM	18	0.03	0	0	0	0	1	0.03	0	0	0	19	0.02
		Group Total	DEM	8079	11.74	553	12.27	43	11.62	271	9.21	182	10.54	0	9128	11.65
I		TICKET VOTES		58	0.08	3	0.07	1	0.27	1	0.03	0	0	0	63	0.08
		"SCHOLLBACH, Robert Frederick"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		58	0.08	3	0.07	1	0.27	1	0.03	0	0	0	63	0.08
J		TICKET VOTES	ASP	954	1.39	102	2.26	9	2.43	56	1.9	11	0.64	0	1132	1.44
		"SIMS, Richard"	ASP	91	0.13	3	0.07	0	0	2	0.07	3	0.17	0	99	0.13
		"BOURKE, Robyn"	ASP	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"REDFERN, Daniel"	ASP	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FRANICH, Rodney"	ASP	0	0	1	0.02	0	0	0	0	0	0	0	1	0
		Group Total	ASP	1050	1.53	106	2.35	9	2.43	58	1.97	14	0.81	0	1237	1.58
K		TICKET VOTES		10	0.01	1	0.02	0	0	0	0	1	0.06	0	12	0.02
		"GALATI, Tony"		0	0	0	0	1	0.27	0	0	0	0	0	1	0
		"GALATI, Sam"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		10	0.01	1	0.02	1	0.27	0	0	1	0.06	0	13	0.02
L		TICKET VOTES	AWP	210	0.31	18	0.4	4	1.08	12	0.41	5	0.29	0	249	0.32
		"DUNCAN, Darelle"	AWP	17	0.02	0	0	0	0	2	0.07	0	0	0	19	0.02
		"THEW, Sarah"	AWP	0	0	0	0	0	0	1	0.03	0	0	0	1	0
		Group Total	AWP	227	0.33	18	0.4	4	1.08	15	0.51	5	0.29	0	269	0.34
M		TICKET VOTES		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"BUTLER, Robert H"		0	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay D"		0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
N		TICKET VOTES	RBR	33	0.05	3	0.07	1	0.27	2	0.07	0	0	0	39	0.05
		"BREEN, Peter"	ABR	6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"McNALLY, Kerry"	RPA	6	0.01	0	0	0	0	0	0	0	0	0	6	0.01
		"HOUSEGO, Valerie"	ABR	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BEKELE, Assefa"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		"FAHEY, Antoinette"	ABR	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RBR	46	0.07	3	0.07	1	0.27	2	0.07	0	0	0	52	0.07
O		TICKET VOTES	GRY	79	0.11	5	0.11	0	0	2	0.07	5	0.29	0	91	0.12
		"VERHEYEN, John"	GRY	11	0.02	0	0	0	0	0	0	0	0	0	11	0.01
		"HETTERSCHEID, Theo"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"SEGERSTROM, Bob"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		"PICKERING, Olga"	GRY	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	GRY	90	0.13	5	0.11	0	0	2	0.07	5	0.29	0	102	0.13
P		TICKET VOTES	NLP	33	0.05	4	0.09	0	0	2	0.07	0	0	0	39	0.05
		"KNOLES, Catherine"	NLP	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"JUDD, Ines"	NLP	0	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	38	0.06	4	0.09	0	0	2	0.07	0	0	0	44	0.06
Q		TICKET VOTES	ABF	264	0.38	26	0.58	2	0.54	19	0.65	7	0.41	0	318	0.41
		"FINDLAY-BARNES, Teresa"	ABF	17	0.02	0	0	0	0	0	0	1	0.06	0	18	0.02
		"TRIBE, David"	ABF	2	0	1	0.02	0	0	0	0	0	0	0	3	0
		Group Total	ABF	283	0.41	27	0.6	2	0.54	19	0.65	8	0.46	0	339	0.43
R		TICKET VOTES	CTA	1418	2.06	88	1.95	6	1.62	45	1.53	40	2.32	0	1597	2.04
		"WEBSTER, Alasdair"	CTA	322	0.47	18	0.4	0	0	8	0.27	9	0.52	0	357	0.46
		"WEBSTER, Elaine"	CTA	3	0	0	0	0	0	0	0	0	0	0	3	0
		"McLENNAN, Graham Clarke"	CTA	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BIRD, Bill"	CTA	1	0	1	0.02	0	0	0	0	0	0	0	2	0
		"COLEMAN, Bruce"	CTA	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		Group Total	CTA	1748	2.54	107	2.37	6	1.62	53	1.8	49	2.84	0	1963	2.51
UNGROUPED																
		"JONES, Morris"	IND	17	0.02	1	0.02	0	0	2	0.07	0	0	0	20	0.03
		"IVOR, F"	IND	1	0	0	0	0	0	0	0	0	0	0	1	0
		"BARBARA, John"	IND	0	0	1	0.02	0	0	0	0	0	0	0	1	0
		"HURLEY, Jade"	IND	157	0.23	14	0.31	0	0	0	0	1	0.06	0	172	0.22
		"PINNIGER, Gretel"	IND	4	0.01	0	0	0	0	0	0	0	0	0	4	0.01
		"UNDERWOOD, Dian"	IND	5	0.01	0	0	0	0	0	0	0	0	0	5	0.01
		"PATTERSON, Ray"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"PIGGIN, David"	IND	0	0	0	0	0	0	0	0	0	0	0	0	0
		"BRADLEY, Bill"	IND	8	0.01	1	0.02	0	0	0	0	0	0	0	9	0.01
		Ungrouped Total		192	0.28	17	0.38	0	0	2	0.07	1	0.06	0	212	0.27
			FORMAL	68817	97.29	4506	98.06	370	96.1	2942	98.07	1727	99.08	0	78362	97.4
			INFORMAL	1914	2.71	89	1.94	15	3.9	58	1.93	16	0.92	0	2092	2.6
			TOTAL	70731	87.91	4595	5.71	385	0.48	3000	3.73	1743	2.17	0	80454	97.77



Hume (75978)																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	RARI	615	1	44	0.99	3	1.48	18	0.71	17	0.76	0	697	0.98
		"KITSON, David"	RARI	71	0.12	7	0.16	0	0	6	0.24	6	0.27	0	90	0.13
		"O'CALLAGHAN, Carolyn"	RARI	1	0	0	0	0	0	1	0.04	0	0	0	2	0
		Group Total	RARI	687	1.11	51	1.15	3	1.48	25	0.98	23	1.03	0	789	1.11
B		TICKET VOTES	LNP	28838	46.72	2175	48.83	80	39.41	1163	45.66	1190	53.22	0	33446	47
	#	"WOODS, Bob"	LP	444	0.72	44	0.99	0	0	31	1.22	21	0.94	0	540	0.76
	#	"BROWNHILL, David"	NP	61	0.1	6	0.13	0	0	4	0.16	4	0.18	0	75	0.11
	#	"COONAN, Helen"	LP	29	0.05	4	0.09	0	0	2	0.08	3	0.13	0	38	0.05
		"CONSTANTIN, Abraham"	LP	17	0.03	2	0.04	0	0	0	0	3	0.13	0	22	0.03
		Group Total	LNP	29389	47.61	2231	50.09	80	39.41	1200	47.11	1221	54.61	0	34121	47.94
C		TICKET VOTES	GRN	920	1.49	124	2.78	6	2.96	61	2.39	19	0.85	0	1130	1.59
