Senate - 1996 Election: New South Wales    														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 3682283   +   1 =  526041														
6 + 1														
														
				First			Count 2			Count 3			Count 4	
	"HURLEY, Jade"	IND	0	4818		0	4818		2	4820		2	4822	
	"PINNIGER, Gretel"	IND	1	392		0	392		0	392		1	393	
	"UNDERWOOD, Dian"	IND	0	444		0	444		1	445		0	445	
	"PATTERSON, Ray"	IND	1	304		0	304		0	304		0	304	
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	396		0	396		0	396		1	397	
														
	Exhausted Votes		0	35		0	35		0	35		1	36	
	Loss by Fraction		0	94		1	95		1	96		0	96	
														
	Total Votes		73	3682283		77	3682283		79	3682283		92	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Franich, R"			"McLennan, G"			"Stirling, A"			"Tribe, D"		
														
														
														
				Count 50-52			Count 53-56			Count 57-60			Count 61-63	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	0	44473		1	44474		0	44474		0	44474	
A	"O'CALLAGHAN, Carolyn"	RARI	0	382		2	384		0	384		1	385	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	4	468388		2	468390		4	468394		1	468395	
B	"CONSTANTIN, Abraham"	LP	0	1152		0	1152		0	1152		1	1153	
														
C	"SPERLING, Karla"	GRN	3	97092		1	97093		5	97098		2	97100	
C	"DENTON, Peter"	GRN	0	381		0	381		2	383		2	385	
C	"ELIX, Jane"	GRN	0	425		0	425		0	425		0	425	
C	"MATSON, Murray"	GRN	0	321		0	321		1	322		0	322	
														
D	"NASH, Chris"	NAN	0	16940		0	16940		0	16940		0	16940	
D	"HALE, Sylvia"	NAN	0	186		0	186		0	186		2	188	
														
E	"EVANS, Beryl"	SEN	0	8310		0	8310		1	8311		1	8312	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	0	61758		3	61761		5	61766		1	61767	
F	"O'REGAN, Bevan"	AFI	0	260		0	260		2	262		2	264	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	5	316569		0	316569		6	316575		2	316577	
G	"BARGHOUT, Rima"	ALP	0	1370		1	1371		1	1372		1	1373	
														
H	"BOURNE, Vicki"	DEM	3	350528		2	350530		15	350545		4	350549	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	642		0	642		2	644		0	644	
H	"LARCOS, Andrew"	DEM	1	235		2	237		0	237		0	237	
H	"ANDERSON, Troy"	DEM	0	802		0	802		2	804		1	805	
														
I	"SCHOLLBACH, Robert Frederick"		0	3596		3	3599		1	3600		0	3600	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	0	73810		25	73835		1	73836		2	73838	
J	"BOURKE, Robyn"	ASP	0	194		78	272		0	272		1	273	
J	"REDFERN, Daniel"	ASP	0	127		-127	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1127		0	1127		0	1127		0	1127	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	0	17330		0	17330		1	17331		95	17426	
L	"THEW, Sarah"	AWP	0	136		0	136		0	136		-136	0	Excluded
														
M	"BUTLER, Robert H"		0	656		0	656		0	656		2	658	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2704		0	2704		71	2775		1	2776	
N	"McNALLY, Kerry"	RPA	0	128		0	128		-128	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	5158		0	5158		1	5159		1	5160	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	3696		0	3696		0	3696		0	3696	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	1	18969		0	18969		2	18971		5	18976	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	27	72635		0	72635		1	72636		0	72636	
R	"WEBSTER, Elaine"	CTA	11	206		0	206		0	206		0	206	
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	-99	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	41	221		0	221		0	221		0	221	
														
Ungrouped														
	"JONES, Morris"	IND	0	496		0	496		0	496		0	496	
	"IVOR, F"	IND	0	220		0	220		0	220		0	220	
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	0	4822		2	4824		2	4826		2	4828	
	"PINNIGER, Gretel"	IND	0	393		0	393		0	393		1	394	
	"UNDERWOOD, Dian"	IND	2	447		0	447		1	448		0	448	
	"PATTERSON, Ray"	IND	0	304		1	305		0	305		1	306	
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	397		0	397		0	397		1	398	
														
	Exhausted Votes		1	37		2	39		0	39		0	39	
	Loss by Fraction		0	96		2	98		1	99		3	102	
														
	Total Votes		99	3682283		127	3682283		128	3682283		136	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Bird, B"			"Redfern, D"			"McNally, K"			"Thew, S"		
														
														
														
				Count 64-68			Count 69-73			Count 74-76			Count 77-81	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	1	44475		2	44477		6	44483		1	44484	
A	"O'CALLAGHAN, Carolyn"	RARI	4	389		0	389		1	390		1	391	
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	1	468396		6	468402		18	468420		4	468424	
B	"CONSTANTIN, Abraham"	LP	1	1154		0	1154		1	1155		2	1157	
														
C	"SPERLING, Karla"	GRN	5	97105		1	97106		10	97116		3	97119	
C	"DENTON, Peter"	GRN	1	386		0	386		1	387		3	390	
C	"ELIX, Jane"	GRN	2	427		1	428		2	430		2	432	
C	"MATSON, Murray"	GRN	1	323		0	323		3	326		3	329	
														
D	"NASH, Chris"	NAN	142	17082		0	17082		1	17083		0	17083	
D	"HALE, Sylvia"	NAN	-188	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	4	8316		0	8316		1	8317		0	8317	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	2	61769		1	61770		3	61773		1	61774	
F	"O'REGAN, Bevan"	AFI	0	264		0	264		1	265		0	265	
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	4	316581		0	316581		25	316606		9	316615	
G	"BARGHOUT, Rima"	ALP	1	1374		0	1374		1	1375		0	1375	
														
H	"BOURNE, Vicki"	DEM	3	350552		2	350554		42	350596		68	350664	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	2	646		0	646		0	646		54	700	
H	"LARCOS, Andrew"	DEM	0	237		0	237		0	237		-237	0	Excluded
H	"ANDERSON, Troy"	DEM	1	806		0	806		1	807		73	880	
														
I	"SCHOLLBACH, Robert Frederick"		0	3600		0	3600		0	3600		1	3601	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	1	73839		0	73839		4	73843		0	73843	
J	"BOURKE, Robyn"	ASP	2	275		0	275		0	275		1	276	
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1127		0	1127		1	1128		1	1129	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	0	17426		2	17428		3	17431		1	17432	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	658		0	658		0	658		0	658	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	2	2778		1	2779		7	2786		0	2786	
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	5160		1	5161		2	5163		1	5164	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	3696		1	3697		4	3701		1	3702	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	18976		3	18979		2	18981		1	18982	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	0	72636		147	72783		2	72785		2	72787	
R	"WEBSTER, Elaine"	CTA	0	206		-206	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	221		34	255		2	257		0	257	
														
Ungrouped														
	"JONES, Morris"	IND	0	496		1	497		18	515		0	515	
	"IVOR, F"	IND	0	220		0	220		-220	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	0	4828		2	4830		33	4863		0	4863	
	"PINNIGER, Gretel"	IND	1	395		0	395		12	407		0	407	
	"UNDERWOOD, Dian"	IND	0	448		1	449		5	454		0	454	
	"PATTERSON, Ray"	IND	0	306		0	306		3	309		0	309	
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	398		0	398		4	402		0	402	
															
	Exhausted Votes		0	39		0	39		1	40		0	40		
	Loss by Fraction		7	109		0	109		0	109		4	113		
															
	Total Votes		188	3682283		206	3682283		220	3682283		237	3682283		
															
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded			
			"Hale, S"			"Webster, E"			"Ivor, F"			"Larcos, A"			
															
															
															
				Count 82-86			Count 87-91			Count 92-96			Count 97		
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress		
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	
A	"KITSON, David"	RARI	0	44484		3	44487		7	44494		14	44508		
A	"O'CALLAGHAN, Carolyn"	RARI	0	391		8	399		0	399		0	399		
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	5	468429		5	468434		3	468437		119	468556	
B	"CONSTANTIN, Abraham"	LP	2	1159		0	1159		0	1159		0	1159	
														
C	"SPERLING, Karla"	GRN	0	97119		1	97120		2	97122		0	97122	
C	"DENTON, Peter"	GRN	0	390		1	391		2	393		1	394	
C	"ELIX, Jane"	GRN	0	432		1	433		0	433		0	433	
C	"MATSON, Murray"	GRN	0	329		2	331		0	331		0	331	
														
D	"NASH, Chris"	NAN	2	17085		3	17088		2	17090		1	17091	
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	0	8317		2	8319		2	8321		0	8321	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	0	61774		211	61985		6	61991		3	61994	
F	"O'REGAN, Bevan"	AFI	2	267		-267	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	3	316618		1	316619		3	316622		13	316635	
G	"BARGHOUT, Rima"	ALP	0	1375		2	1377		0	1377		0	1377	
														
H	"BOURNE, Vicki"	DEM	4	350668		7	350675		16	350691		11	350702	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	0	700		1	701		2	703		0	703	
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	2	882		0	882		0	882		0	882	
														
I	"SCHOLLBACH, Robert Frederick"		0	3601		0	3601		2	3603		1	3604	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	3	73846		1	73847		217	74064		27	74091	
J	"BOURKE, Robyn"	ASP	0	276		0	276		-276	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1129		1	1130		2	1132		0	1132	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	1	17433		1	17434		3	17437		2	17439	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		1	659		0	659		1	660		0	660	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2786		0	2786		0	2786		1	2787	
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	5164		1	5165		0	5165		1	5166	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	0	3702		0	3702		0	3702		1	3703	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	4	18986		2	18988		0	18988		2	18990	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	221	73008		5	73013		1	73014		0	73014	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	-257	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	0	515		0	515		0	515		11	526	
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	2	4865		0	4865		0	4865		12	4877	
	"PINNIGER, Gretel"	IND	5	412		0	412		0	412		2	414	
	"UNDERWOOD, Dian"	IND	0	454		1	455		0	455		52	507	
	"PATTERSON, Ray"	IND	0	309		0	309		0	309		-309	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	402		0	402		0	402		32	434	
														
	Exhausted Votes		0	40		1	41		2	43		3	46	
	Loss by Fraction		0	113		6	119		3	122		0	122	
														
	Total Votes		257	3682283		267	3682283		276	3682283		309	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Coleman, B"			"O'Regan, B"			"Bourke, R"			"Patterson, R"		
														
														
														
				Count 98-101			Count 102-106			Count 107-109			Count 110-114	
			Votes	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	5	44513		282	44795		5	44800		10	44810	
A	"O'CALLAGHAN, Carolyn"	RARI	2	401		-401	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	2	468558		22	468580		25	468605		10	468615	
B	"CONSTANTIN, Abraham"	LP	3	1162		1	1163		8	1171		6	1177	
														
C	"SPERLING, Karla"	GRN	32	97154		14	97168		39	97207		185	97392	
C	"DENTON, Peter"	GRN	27	421		11	432		0	432		-432	0	Excluded
C	"ELIX, Jane"	GRN	223	656		5	661		2	663		127	790	
C	"MATSON, Murray"	GRN	-331	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	2	17093		3	17096		11	17107		13	17120	
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	0	8321		5	8326		4	8330		8	8338	
E	"WELSH, Lorraine"	SEN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"PHILLIPS, John"	AFI	1	61995		13	62008		9	62017		9	62026	
F	"O'REGAN, Bevan"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
G	"WEST, Sue"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"CHILDS, Bruce"	ALP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
G	"WHEELWRIGHT, Tom"	ALP	8	316643		5	316648		38	316686		11	316697	
G	"BARGHOUT, Rima"	ALP	1	1378		4	1382		3	1385		1	1386	
														
H	"BOURNE, Vicki"	DEM	7	350709		4	350713		60	350773		16	350789	
H	"CHESTERFIELD-EVANS, Arthur"	DEM	2	705		0	705		0	705		10	715	
H	"LARCOS, Andrew"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"ANDERSON, Troy"	DEM	8	890		4	894		1	895		2	897	
														
I	"SCHOLLBACH, Robert Frederick"		0	3604		0	3604		0	3604		1	3605	
I	"STIRLING, Amanda Jane"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"SIMS, Richard"	ASP	0	74091		2	74093		5	74098		3	74101	
J	"BOURKE, Robyn"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"REDFERN, Daniel"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"FRANICH, Rodney"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"GALATI, Tony"		0	1132		0	1132		1	1133		0	1133	
K	"GALATI, Sam"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"DUNCAN, Darelle"	AWP	1	17440		2	17442		14	17456		4	17460	
L	"THEW, Sarah"	AWP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
M	"BUTLER, Robert H"		0	660		0	660		1	661		0	661	
M	"COSGROVE, Lindsay D"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
N	"BREEN, Peter"	ABR	0	2787		0	2787		10	2797		1	2798	
N	"McNALLY, Kerry"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"HOUSEGO, Valerie"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"BEKELE, Assefa"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
N	"FAHEY, Antoinette"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
O	"VERHEYEN, John"	GRY	0	5166		0	5166		2	5168		0	5168	
O	"HETTERSCHEID, Theo"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"SEGERSTROM, Bob"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
O	"PICKERING, Olga"	GRY	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
P	"KNOLES, Catherine"	NLP	2	3705		0	3705		10	3715		2	3717	
P	"JUDD, Ines"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Q	"FINDLAY-BARNES, Teresa"	ABF	0	18990		4	18994		6	19000		2	19002	
Q	"TRIBE, David"	ABF	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
R	"WEBSTER, Alasdair"	CTA	0	73014		1	73015		1	73016		0	73016	
R	"WEBSTER, Elaine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"McLENNAN, Graham Clarke"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"BIRD, Bill"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
R	"COLEMAN, Bruce"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"JONES, Morris"	IND	1	527		0	527		8	535		0	535	
	"IVOR, F"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BARBARA, John"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"HURLEY, Jade"	IND	1	4878		2	4880		114	4994		1	4995	
	"PINNIGER, Gretel"	IND	1	415		1	416		-416	0	Excluded	0	0	Excluded
	"UNDERWOOD, Dian"	IND	0	507		1	508		15	523		0	523	
	"PATTERSON, Ray"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"PIGGIN, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"BRADLEY, Bill"	IND	0	434		0	434		20	454		0	454	
														
	Exhausted Votes		0	46		8	54		3	57		0	57	
	Loss by Fraction		2	124		7	131		1	132		10	142	
														
	Total Votes		331	3682283		401	3682283		416	3682283		432	3682283	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Matson, M"			"O'Callaghan, C"			"Pinniger, G"			"Denton, P"		
														
														
														
				Count 115-119			Count 120-122			Count 123-125			Count 126-130	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"KITSON, David"	RARI	10	44820		5	44825		1	44826		5	44831	
A	"O'CALLAGHAN, Carolyn"	RARI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"WOODS, Bob"	LP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"BROWNHILL, David"	NP	0	526041	Elected	0	526041	Elected	0	526041	Elected	0	526041	Elected
B	"COONAN, Helen"	LP	56	468671		23	468694		7	468701		15	468716	
B	"CONSTANTIN, Abraham"	LP	3	1180		1	1181		0	1181		1	1182	
														
C	"SPERLING, Karla"	GRN	7	97399		18	97417		3	97420		22	97442	
C	"DENTON, Peter"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ELIX, Jane"	GRN	0	790		1	791		1	792		6	798	
C	"MATSON, Murray"	GRN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"NASH, Chris"	NAN	2	17122		4	17126		2	17128		2	17130	
D	"HALE, Sylvia"	NAN	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
E	"EVANS, Beryl"	SEN	7	8345		3	8348		3	8351		1	8352	
