Senate - 1996 Election: New South Wales																																																																			
First Preference Votes by Group																																																																			
By Polling Place																																																																			


Banks (78925)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Sefton		                                     	33	1.47	 	703	31.31	 	22	0.98	 	4	0.18	 	9	0.4	 	64	2.85	 	1115	49.67	 	192	8.55	 	2	0.09	 	37	1.65	 	2	0.09	 	8	0.36	 	0	0	 	2	0.09	 	3	0.13	 	3	0.13	 	9	0.4	 	33	1.47	 	4	0.18	 	2245	93.11	 	166	6.89	 	2411	3.17
Sydney (Blaxland)		                          	2	2.94	 	22	32.35	 	1	1.47	 	0	0	 	0	0	 	1	1.47	 	35	51.47	 	3	4.41	 	0	0	 	0	0	 	0	0	 	1	1.47	 	1	1.47	 	0	0	 	0	0	 	0	0	 	0	0	 	2	2.94	 	0	0	 	68	91.89	 	6	8.11	 	74	0.1
Villawood Central		                          	6	1.36	 	65	14.74	 	6	1.36	 	1	0.23	 	1	0.23	 	8	1.81	 	316	71.66	 	24	5.44	 	0	0	 	3	0.68	 	3	0.68	 	4	0.91	 	0	0	 	0	0	 	2	0.45	 	0	0	 	0	0	 	2	0.45	 	0	0	 	441	91.3	 	42	8.7	 	483	0.64
Villawood East		                             	44	3.36	 	223	17.04	 	13	0.99	 	3	0.23	 	5	0.38	 	33	2.52	 	870	66.46	 	68	5.19	 	4	0.31	 	16	1.22	 	0	0	 	9	0.69	 	0	0	 	0	0	 	3	0.23	 	2	0.15	 	3	0.23	 	10	0.76	 	3	0.23	 	1309	92.57	 	105	7.43	 	1414	1.86
Wattawa Heights		                            	38	2.01	 	532	28.12	 	21	1.11	 	2	0.11	 	3	0.16	 	42	2.22	 	1012	53.49	 	139	7.35	 	4	0.21	 	30	1.59	 	2	0.11	 	8	0.42	 	0	0	 	0	0	 	2	0.11	 	3	0.16	 	10	0.53	 	38	2.01	 	6	0.32	 	1892	92.7	 	149	7.3	 	2041	2.69
Wiley Park West		                            	29	0.93	 	596	19.18	 	28	0.9	 	6	0.19	 	8	0.26	 	28	0.9	 	2150	69.18	 	145	4.67	 	7	0.23	 	35	1.13	 	1	0.03	 	7	0.23	 	1	0.03	 	2	0.06	 	3	0.1	 	5	0.16	 	20	0.64	 	36	1.16	 	1	0.03	 	3108	93.03	 	233	6.97	 	3341	4.4
Yagoona		                                    	48	1.51	 	791	24.91	 	32	1.01	 	10	0.31	 	7	0.22	 	87	2.74	 	1878	59.15	 	215	6.77	 	8	0.25	 	29	0.91	 	2	0.06	 	7	0.22	 	0	0	 	3	0.09	 	6	0.19	 	1	0.03	 	11	0.35	 	31	0.98	 	9	0.28	 	3175	92.84	 	245	7.16	 	3420	4.5
Yagoona West		                               	22	1.73	 	337	26.43	 	9	0.71	 	4	0.31	 	8	0.63	 	28	2.2	 	696	54.59	 	102	8	 	5	0.39	 	18	1.41	 	0	0	 	4	0.31	 	0	0	 	0	0	 	3	0.24	 	2	0.16	 	7	0.55	 	23	1.8	 	7	0.55	 	1275	96.23	 	50	3.77	 	1325	1.74
Special Hospitals		                          	4	1.49	 	110	40.89	 	0	0	 	0	0	 	1	0.37	 	3	1.12	 	133	49.44	 	7	2.6	 	0	0	 	1	0.37	 	0	0	 	1	0.37	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.37	 	8	2.97	 	0	0	 	269	95.73	 	12	4.27	 	281	0.37
Total Ordinary		                             	1106	1.76	 	17518	27.84	 	722	1.15	 	124	0.2	 	163	0.26	 	1433	2.28	 	34623	55.03	 	4319	6.86	 	100	0.16	 	885	1.41	 	31	0.05	 	240	0.38	 	14	0.02	 	31	0.05	 	79	0.13	 	63	0.1	 	336	0.53	 	1014	1.61	 	120	0.19	 	62921	93.44	 	4417	6.56	 	67338	88.65
ABSENT		                                     	67	1.79	 	1069	28.61	 	91	2.44	 	16	0.43	 	8	0.21	 	109	2.92	 	1894	50.7	 	272	7.28	 	4	0.11	 	61	1.63	 	0	0	 	23	0.62	 	1	0.03	 	4	0.11	 	6	0.16	 	4	0.11	 	29	0.78	 	76	2.03	 	2	0.05	 	3736	95.94	 	158	4.06	 	3894	5.13
POSTAL		                                     	27	1.51	 	565	31.55	 	20	1.12	 	9	0.5	 	12	0.67	 	71	3.96	 	866	48.35	 	134	7.48	 	1	0.06	 	19	1.06	 	0	0	 	5	0.28	 	0	0	 	3	0.17	 	10	0.56	 	0	0	 	6	0.34	 	43	2.4	 	0	0	 	1791	97.23	 	51	2.77	 	1842	2.43
PRE_POLL		                                   	39	2.16	 	556	30.84	 	27	1.5	 	4	0.22	 	8	0.44	 	45	2.5	 	897	49.75	 	119	6.6	 	3	0.17	 	19	1.05	 	1	0.06	 	19	1.05	 	0	0	 	3	0.17	 	3	0.17	 	2	0.11	 	18	1	 	37	2.05	 	3	0.17	 	1803	97.56	 	45	2.44	 	1848	2.43
PROVISIONAL		                                	8	0.83	 	167	17.32	 	11	1.14	 	1	0.1	 	1	0.1	 	11	1.14	 	674	69.92	 	34	3.53	 	1	0.1	 	18	1.87	 	2	0.21	 	11	1.14	 	0	0	 	0	0	 	1	0.1	 	2	0.21	 	11	1.14	 	11	1.14	 	0	0	 	964	93.14	 	71	6.86	 	1035	1.36
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1247	1.75	 	19875	27.91	 	871	1.22	 	154	0.22	 	192	0.27	 	1669	2.34	 	38954	54.7	 	4878	6.85	 	109	0.15	 	1002	1.41	 	34	0.05	 	298	0.42	 	15	0.02	 	41	0.06	 	99	0.14	 	71	0.1	 	400	0.56	 	1181	1.66	 	125	0.18	 	71215	93.76	 	4742	6.24	 	75957	96.52
 																																																																			


Bradfield (79617)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Belrose (Bradfield)		                        	16	1.32	 	732	60.2	 	23	1.89	 	4	0.33	 	0	0	 	31	2.55	 	224	18.42	 	134	11.02	 	2	0.16	 	13	1.07	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.08	 	1	0.08	 	2	0.16	 	30	2.47	 	3	0.25	 	1216	97.28	 	34	2.72	 	1250	1.62
Belrose North (Bradfield)		                  	15	1.18	 	817	64.28	 	30	2.36	 	2	0.16	 	7	0.55	 	41	3.23	 	188	14.79	 	128	10.07	 	0	0	 	10	0.79	 	0	0	 	1	0.08	 	0	0	 	0	0	 	1	0.08	 	2	0.16	 	6	0.47	 	22	1.73	 	1	0.08	 	1271	97.25	 	36	2.75	 	1307	1.7
Castle Cove		                                	18	1.23	 	986	67.53	 	32	2.19	 	3	0.21	 	0	0	 	18	1.23	 	233	15.96	 	127	8.7	 	1	0.07	 	5	0.34	 	1	0.07	 	1	0.07	 	0	0	 	1	0.07	 	2	0.14	 	2	0.14	 	4	0.27	 	24	1.64	 	2	0.14	 	1460	97.2	 	42	2.8	 	1502	1.95
Chatswood (Bradfield)		                      	0	0	 	152	47.35	 	20	6.23	 	2	0.62	 	2	0.62	 	3	0.93	 	86	26.79	 	51	15.89	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	5	1.56	 	0	0	 	321	97.27	 	9	2.73	 	330	0.43
Chatswood North		                            	15	1.38	 	573	52.86	 	30	2.77	 	10	0.92	 	1	0.09	 	13	1.2	 	234	21.59	 	153	14.11	 	1	0.09	 	6	0.55	 	0	0	 	6	0.55	 	0	0	 	0	0	 	3	0.28	 	3	0.28	 	1	0.09	 	33	3.04	 	2	0.18	 	1084	97.75	 	25	2.25	 	1109	1.44
Chatswood West (Bradfield)		                 	3	0.4	 	376	50.07	 	31	4.13	 	9	1.2	 	1	0.13	 	10	1.33	 	161	21.44	 	125	16.64	 	0	0	 	6	0.8	 	0	0	 	5	0.67	 	0	0	 	2	0.27	 	1	0.13	 	1	0.13	 	2	0.27	 	18	2.4	 	0	0	 	751	97.41	 	20	2.59	 	771	1
Frenchs Forest (Bradfield)		                 	5	1.23	 	242	59.75	 	6	1.48	 	0	0	 	0	0	 	7	1.73	 	80	19.75	 	44	10.86	 	0	0	 	2	0.49	 	0	0	 	1	0.25	 	1	0.25	 	0	0	 	0	0	 	1	0.25	 	3	0.74	 	12	2.96	 	1	0.25	 	405	98.3	 	7	1.7	 	412	0.54
Gordon		                                     	20	0.72	 	1690	60.75	 	85	3.06	 	36	1.29	 	5	0.18	 	65	2.34	 	445	16	 	350	12.58	 	3	0.11	 	14	0.5	 	0	0	 	11	0.4	 	0	0	 	3	0.11	 	3	0.11	 	2	0.07	 	12	0.43	 	35	1.26	 	3	0.11	 	2782	97.58	 	69	2.42	 	2851	3.7
Gordon East		                                	31	1.55	 	1317	65.88	 	54	2.7	 	23	1.15	 	5	0.25	 	32	1.6	 	245	12.26	 	226	11.31	 	0	0	 	7	0.35	 	1	0.05	 	4	0.2	 	0	0	 	2	0.1	 	6	0.3	 	3	0.15	 	6	0.3	 	35	1.75	 	2	0.1	 	1999	98.67	 	27	1.33	 	2026	2.63
Gordon West		                                	14	0.87	 	917	56.67	 	42	2.6	 	42	2.6	 	2	0.12	 	16	0.99	 	283	17.49	 	243	15.02	 	3	0.19	 	11	0.68	 	0	0	 	2	0.12	 	0	0	 	1	0.06	 	5	0.31	 	2	0.12	 	5	0.31	 	27	1.67	 	3	0.19	 	1618	97.65	 	39	2.35	 	1657	2.15
Kambora		                                    	7	0.86	 	508	62.1	 	24	2.93	 	1	0.12	 	1	0.12	 	16	1.96	 	120	14.67	 	106	12.96	 	0	0	 	6	0.73	 	0	0	 	3	0.37	 	0	0	 	2	0.24	 	0	0	 	1	0.12	 	3	0.37	 	19	2.32	 	1	0.12	 	818	98.32	 	14	1.68	 	832	1.08
Killara		                                    	17	0.94	 	1322	72.8	 	51	2.81	 	12	0.66	 	3	0.17	 	33	1.82	 	161	8.87	 	153	8.43	 	4	0.22	 	4	0.22	 	0	0	 	5	0.28	 	0	0	 	0	0	 	1	0.06	 	4	0.22	 	2	0.11	 	39	2.15	 	5	0.28	 	1816	97.48	 	47	2.52	 	1863	2.42
Killara East		                               	14	0.67	 	1255	60.37	 	69	3.32	 	15	0.72	 	4	0.19	 	28	1.35	 	358	17.22	 	244	11.74	 	2	0.1	 	14	0.67	 	0	0	 	11	0.53	 	1	0.05	 	4	0.19	 	4	0.19	 	6	0.29	 	11	0.53	 	33	1.59	 	6	0.29	 	2079	97.06	 	63	2.94	 	2142	2.78
Kissing Point		                              	11	1	 	608	55.53	 	23	2.1	 	7	0.64	 	2	0.18	 	20	1.83	 	188	17.17	 	198	18.08	 	1	0.09	 	3	0.27	 	0	0	 	2	0.18	 	0	0	 	0	0	 	3	0.27	 	0	0	 	3	0.27	 	23	2.1	 	3	0.27	 	1095	96.99	 	34	3.01	 	1129	1.47
Lady Davidson Hospital		                     	0	0	 	44	66.67	 	1	1.52	 	0	0	 	0	0	 	2	3.03	 	11	16.67	 	7	10.61	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.52	 	0	0	 	66	95.65	 	3	4.35	 	69	0.09
Lindfield		                                  	18	0.86	 	1291	61.65	 	88	4.2	 	16	0.76	 	5	0.24	 	36	1.72	 	330	15.76	 	261	12.46	 	1	0.05	 	5	0.24	 	1	0.05	 	1	0.05	 	0	0	 	0	0	 	7	0.33	 	1	0.05	 	1	0.05	 	29	1.38	 	3	0.14	 	2094	97.49	 	54	2.51	 	2148	2.79
Lindfield East		                             	17	0.89	 	1174	61.66	 	52	2.73	 	22	1.16	 	2	0.11	 	44	2.31	 	264	13.87	 	243	12.76	 	2	0.11	 	14	0.74	 	0	0	 	6	0.32	 	0	0	 	0	0	 	3	0.16	 	7	0.37	 	5	0.26	 	40	2.1	 	9	0.47	 	1904	97.89	 	41	2.11	 	1945	2.53
Lindfield North		                            	19	0.64	 	1692	57.1	 	91	3.07	 	56	1.89	 	6	0.2	 	32	1.08	 	496	16.74	 	463	15.63	 	2	0.07	 	12	0.4	 	0	0	 	11	0.37	 	0	0	 	6	0.2	 	6	0.2	 	6	0.2	 	5	0.17	 	55	1.86	 	5	0.17	 	2963	97.69	 	70	2.31	 	3033	3.94
Lindfield West		                             	22	0.9	 	1427	58.58	 	71	2.91	 	67	2.75	 	16	0.66	 	44	1.81	 	369	15.15	 	338	13.88	 	0	0	 	16	0.66	 	0	0	 	6	0.25	 	0	0	 	1	0.04	 	3	0.12	 	3	0.12	 	6	0.25	 	43	1.77	 	4	0.16	 	2436	97.28	 	68	2.72	 	2504	3.25
Mimosa		                                     	28	1.09	 	1544	59.91	 	61	2.37	 	5	0.19	 	7	0.27	 	97	3.76	 	395	15.33	 	327	12.69	 	3	0.12	 	24	0.93	 	0	0	 	10	0.39	 	0	0	 	1	0.04	 	2	0.08	 	7	0.27	 	8	0.31	 	54	2.1	 	4	0.16	 	2577	97.54	 	65	2.46	 	2642	3.43
Pymble		                                     	14	0.71	 	1359	68.84	 	49	2.48	 	48	2.43	 	6	0.3	 	25	1.27	 	203	10.28	 	206	10.44	 	0	0	 	10	0.51	 	0	0	 	5	0.25	 	1	0.05	 	3	0.15	 	3	0.15	 	1	0.05	 	4	0.2	 	37	1.87	 	0	0	 	1974	98.45	 	31	1.55	 	2005	2.61
Pymble North		                               	12	0.61	 	1299	66.01	 	40	2.03	 	25	1.27	 	5	0.25	 	25	1.27	 	247	12.55	 	241	12.25	 	0	0	 	18	0.91	 	0	0	 	5	0.25	 	0	0	 	0	0	 	2	0.1	 	4	0.2	 	2	0.1	 	39	1.98	 	4	0.2	 	1968	97.81	 	44	2.19	 	2012	2.61
Pymble West		                                	20	1	 	1140	57.17	 	37	1.86	 	80	4.01	 	8	0.4	 	34	1.71	 	290	14.54	 	306	15.35	 	1	0.05	 	7	0.35	 	1	0.05	 	4	0.2	 	0	0	 	2	0.1	 	1	0.05	 	2	0.1	 	2	0.1	 	49	2.46	 	10	0.5	 	1994	98.47	 	31	1.53	 	2025	2.63
Roseville		                                  	9	0.69	 	853	65.51	 	46	3.53	 	12	0.92	 	3	0.23	 	17	1.31	 	164	12.6	 	164	12.6	 	1	0.08	 	3	0.23	 	0	0	 	4	0.31	 	0	0	 	0	0	 	0	0	 	3	0.23	 	1	0.08	 	18	1.38	 	4	0.31	 	1302	97.38	 	35	2.62	 	1337	1.74
Roseville Chase		                            	9	0.91	 	627	63.08	 	32	3.22	 	4	0.4	 	2	0.2	 	11	1.11	 	155	15.59	 	115	11.57	 	1	0.1	 	7	0.7	 	0	0	 	5	0.5	 	1	0.1	 	1	0.1	 	4	0.4	 	4	0.4	 	1	0.1	 	14	1.41	 	1	0.1	 	994	97.45	 	26	2.55	 	1020	1.33
Roseville East		                             	11	0.96	 	688	60.14	 	38	3.32	 	3	0.26	 	4	0.35	 	23	2.01	 	187	16.35	 	145	12.67	 	0	0	 	7	0.61	 	1	0.09	 	8	0.7	 	0	0	 	2	0.17	 	4	0.35	 	1	0.09	 	1	0.09	 	19	1.66	 	2	0.17	 	1144	98.71	 	15	1.29	 	1159	1.51
Roseville South (Bradfield)		                	7	0.93	 	407	54.27	 	11	1.47	 	3	0.4	 	1	0.13	 	21	2.8	 	172	22.93	 	103	13.73	 	0	0	 	2	0.27	 	0	0	 	1	0.13	 	0	0	 	3	0.4	 	1	0.13	 	0	0	 	0	0	 	17	2.27	 	1	0.13	 	750	97.91	 	16	2.09	 	766	1
St Ives		                                    	8	0.53	 	1077	71.66	 	18	1.2	 	4	0.27	 	3	0.2	 	14	0.93	 	213	14.17	 	128	8.52	 	0	0	 	5	0.33	 	0	0	 	5	0.33	 	0	0	 	1	0.07	 	1	0.07	 	4	0.27	 	1	0.07	 	20	1.33	 	1	0.07	 	1503	98.49	 	23	1.51	 	1526	1.98
St Ives Chase		                              	5	0.7	 	484	67.32	 	22	3.06	 	6	0.83	 	1	0.14	 	9	1.25	 	82	11.4	 	93	12.93	 	0	0	 	3	0.42	 	2	0.28	 	1	0.14	 	0	0	 	0	0	 	1	0.14	 	1	0.14	 	0	0	 	8	1.11	 	1	0.14	 	719	97.69	 	17	2.31	 	736	0.96
St Ives North		                              	17	0.6	 	1831	64.68	 	65	2.3	 	12	0.42	 	6	0.21	 	55	1.94	 	387	13.67	 	359	12.68	 	2	0.07	 	23	0.81	 	0	0	 	0	0	 	0	0	 	2	0.07	 	5	0.18	 	9	0.32	 	6	0.21	 	45	1.59	 	7	0.25	 	2831	98.26	 	50	1.74	 	2881	3.74
St Ives Park		                               	16	0.92	 	1208	69.23	 	37	2.12	 	11	0.63	 	3	0.17	 	20	1.15	 	216	12.38	 	173	9.91	 	2	0.11	 	8	0.46	 	0	0	 	7	0.4	 	1	0.06	 	1	0.06	 	3	0.17	 	3	0.17	 	3	0.17	 	30	1.72	 	3	0.17	 	1745	98.92	 	19	1.08	 	1764	2.29
St Ives South		                              	31	1.07	 	1925	66.31	 	105	3.62	 	17	0.59	 	8	0.28	 	39	1.34	 	373	12.85	 	318	10.95	 	1	0.03	 	16	0.55	 	0	0	 	3	0.1	 	0	0	 	3	0.1	 	3	0.1	 	3	0.1	 	9	0.31	 	43	1.48	 	6	0.21	 	2903	97.48	 	75	2.52	 	2978	3.87
Sydney (Bradfield)		                         	0	0	 	67	59.29	 	5	4.42	 	0	0	 	0	0	 	1	0.88	 	21	18.58	 	11	9.73	 	0	0	 	4	3.54	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.88	 	2	1.77	 	1	0.88	 	113	96.58	 	4	3.42	 	117	0.15
Turramurra		                                 	5	0.66	 	589	78.12	 	9	1.19	 	6	0.8	 	0	0	 	13	1.72	 	55	7.29	 	60	7.96	 	1	0.13	 	0	0	 	0	0	 	1	0.13	 	0	0	 	0	0	 	1	0.13	 	0	0	 	0	0	 	14	1.86	 	0	0	 	754	96.92	 	24	3.08	 	778	1.01
Turramurra Central		                         	14	0.81	 	1159	66.96	 	38	2.2	 	14	0.81	 	0	0	 	30	1.73	 	214	12.36	 	203	11.73	 	0	0	 	9	0.52	 	0	0	 	4	0.23	 	0	0	 	2	0.12	 	5	0.29	 	1	0.06	 	4	0.23	 	30	1.73	 	4	0.23	 	1731	97.3	 	48	2.7	 	1779	2.31
Turramurra North		                           	24	1	 	1477	61.36	 	70	2.91	 	21	0.87	 	8	0.33	 	52	2.16	 	345	14.33	 	317	13.17	 	2	0.08	 	21	0.87	 	0	0	 	10	0.42	 	1	0.04	 	2	0.08	 	4	0.17	 	2	0.08	 	5	0.21	 	41	1.7	 	5	0.21	 	2407	98	 	49	2	 	2456	3.19
Turramurra South (Bradfield)		               	25	1.15	 	1146	52.84	 	72	3.32	 	59	2.72	 	2	0.09	 	54	2.49	 	415	19.13	 	326	15.03	 	0	0	 	19	0.88	 	0	0	 	7	0.32	 	1	0.05	 	3	0.14	 	0	0	 	2	0.09	 	6	0.28	 	31	1.43	 	1	0.05	 	2169	98.01	 	44	1.99	 	2213	2.88
Wahroonga		                                  	29	0.97	 	2054	68.88	 	66	2.21	 	18	0.6	 	11	0.37	 	51	1.71	 	348	11.67	 	301	10.09	 	3	0.1	 	14	0.47	 	0	0	 	7	0.23	 	1	0.03	 	1	0.03	 	5	0.17	 	1	0.03	 	3	0.1	 	58	1.95	 	11	0.37	 	2982	98.09	 	58	1.91	 	3040	3.95
Wahroonga East		                             	14	0.77	 	1200	66.15	 	37	2.04	 	18	0.99	 	1	0.06	 	29	1.6	 	243	13.4	 	212	11.69	 	1	0.06	 	8	0.44	 	0	0	 	7	0.39	 	0	0	 	1	0.06	 	1	0.06	 	2	0.11	 	4	0.22	 	26	1.43	 	10	0.55	 	1814	98.64	 	25	1.36	 	1839	2.39
Warrawee (Bradfield)		                       	14	0.98	 	871	61.04	 	50	3.5	 	35	2.45	 	3	0.21	 	16	1.12	 	199	13.95	 	180	12.61	 	0	0	 	9	0.63	 	0	0	 	3	0.21	 	0	0	 	2	0.14	 	1	0.07	 	4	0.28	 	2	0.14	 	31	2.17	 	7	0.49	 	1427	98.21	 	26	1.79	 	1453	1.89
Special Hospitals		                          	13	1.31	 	837	84.63	 	7	0.71	 	0	0	 	5	0.51	 	1	0.1	 	69	6.98	 	48	4.85	 	2	0.2	 	0	0	 	0	0	 	1	0.1	 	0	0	 	1	0.1	 	1	0.1	 	0	0	 	0	0	 	4	0.4	 	0	0	 	989	95.28	 	49	4.72	 	1038	1.35
Total Ordinary		                             	587	0.9	 	40965	63.05	 	1738	2.68	 	728	1.12	 	149	0.23	 	1128	1.74	 	9469	14.57	 	7930	12.21	 	42	0.06	 	365	0.56	 	7	0.01	 	174	0.27	 	8	0.01	 	53	0.08	 	97	0.15	 	99	0.15	 	140	0.22	 	1153	1.77	 	136	0.21	 	64968	97.78	 	1476	2.22	 	66444	86.34
ABSENT		                                     	41	0.99	 	2427	58.33	 	256	6.15	 	32	0.77	 	5	0.12	 	81	1.95	 	639	15.36	 	499	11.99	 	4	0.1	 	34	0.82	 	2	0.05	 	18	0.43	 	0	0	 	5	0.12	 	4	0.1	 	6	0.14	 	20	0.48	 	81	1.95	 	7	0.17	 	4161	98.42	 	67	1.58	 	4228	5.49
POSTAL		                                     	17	0.76	 	1524	68.46	 	47	2.11	 	20	0.9	 	7	0.31	 	33	1.48	 	299	13.43	 	199	8.94	 	1	0.04	 	15	0.67	 	0	0	 	10	0.45	 	0	0	 	3	0.13	 	7	0.31	 	2	0.09	 	4	0.18	 	35	1.57	 	3	0.13	 	2226	98.98	 	23	1.02	 	2249	2.92
PRE_POLL		                                   	27	0.73	 	2286	62.02	 	163	4.42	 	33	0.9	 	8	0.22	 	58	1.57	 	664	18.01	 	333	9.03	 	3	0.08	 	27	0.73	 	0	0	 	12	0.33	 	1	0.03	 	6	0.16	 	1	0.03	 	4	0.11	 	15	0.41	 	42	1.14	 	3	0.08	 	3686	98.64	 	51	1.36	 	3737	4.86
PROVISIONAL		                                	7	2.39	 	170	58.02	 	19	6.48	 	2	0.68	 	0	0	 	5	1.71	 	57	19.45	 	23	7.85	 	0	0	 	4	1.37	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.34	 	1	0.34	 	3	1.02	 	1	0.34	 	293	97.34	 	8	2.66	 	301	0.39
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	679	0.9	 	47372	62.88	 	2223	2.95	 	815	1.08	 	169	0.22	 	1305	1.73	 	11128	14.77	 	8984	11.93	 	50	0.07	 	445	0.59	 	9	0.01	 	214	0.28	 	9	0.01	 	67	0.09	 	109	0.14	 	112	0.15	 	180	0.24	 	1314	1.74	 	150	0.2	 	75334	97.89	 	1625	2.11	 	76959	96.66
 																																																																			


Calare (78088)																																																																			
	   		Group Total RARI			Group Total LNP			Group Total GRN			Group Total NAN			Group Total SEN			Group Total AFI			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group I			Group Total ASP			Group Total - Unendorsed Group K			Group Total AWP			Group Total - Unendorsed Group M			Group Total RBR			Group Total GRY			Group Total NLP			Group Total ABF			Group Total CTA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Barry		                                      	1	0.93	 	63	58.33	 	2	1.85	 	0	0	 	0	0	 	1	0.93	 	28	25.93	 	7	6.48	 	0	0	 	5	4.63	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.93	 	0	0	 	108	99.08	 	1	0.92	 	109	0.14
Bathurst		                                   	40	1.49	 	1011	37.71	 	77	2.87	 	4	0.15	 	10	0.37	 	40	1.49	 	1054	39.31	 	258	9.62	 	1	0.04	 	81	3.02	 	0	0	 	22	0.82	 	2	0.07	 	1	0.04	 	7	0.26	 	4	0.15	 	16	0.6	 	45	1.68	 	8	0.3	 	2681	97.17	 	78	2.83	 	2759	3.64
Bathurst Central		                           	9	0.92	 	373	38.1	 	42	4.29	 	0	0	 	2	0.2	 	9	0.92	 	378	38.61	 	93	9.5	 	0	0	 	23	2.35	 	0	0	 	12	1.23	 	0	0	 	2	0.2	 	3	0.31	 	2	0.2	 	8	0.82	 	22	2.25	 	1	0.1	 	979	96.93	 	31	3.07	 	1010	1.33
Bathurst City		                              	24	1.5	 	562	35.04	 	60	3.74	 	2	0.12	 	9	0.56	 	20	1.25	 	646	40.27	 	156	9.73	 	2	0.12	 	47	2.93	 	0	0	 	16	1	 	3	0.19	 	1	0.06	 	0	0	 	3	0.19	 	13	0.81	 	36	2.24	 	4	0.25	 	1604	96.74	 	54	3.26	 	1658	2.19
Bathurst High		                              	17	1.5	 	429	37.8	 	27	2.38	 	1	0.09	 	8	0.7	 	7	0.62	 	429	37.8	 	108	9.52	 	0	0	 	41	3.61	 	0	0	 	10	0.88	 	0	0	 	4	0.35	 	3	0.26	 	2	0.18	 	7	0.62	 	34	3	 	8	0.7	 	1135	97.68	 	27	2.32	 	1162	1.53
Bathurst Hospital		                          	9	1.12	 	323	40.12	 	15	1.86	 	3	0.37	 	4	0.5	 	7	0.87	 	318	39.5	 	75	9.32	 	1	0.12	 	23	2.86	 	0	0	 	6	0.75	 	0	0	 	0	0	 	1	0.12	 	2	0.25	 	6	0.75	 	12	1.49	 	0	0	 	805	97.81	 	18	2.19	 	823	1.09
Bathurst St Vincents		                       	5	1.54	 	89	27.47	 	7	2.16	 	0	0	 	3	0.93	 	3	0.93	 	166	51.23	 	27	8.33	 	1	0.31	 	7	2.16	 	0	0	 	4	1.23	 	0	0	 	0	0	 	1	0.31	 	0	0	 	2	0.62	 	8	2.47	 	1	0.31	 	324	96.14	 	13	3.86	 	337	0.44
Bathurst South		                             	14	1.1	 	394	31.1	 	31	2.45	 	2	0.16	 	3	0.24	 	17	1.34	 	579	45.7	 	117	9.23	 	1	0.08	 	54	4.26	 	1	0.08	 	5	0.39	 	0	0	 	1	0.08	 	5	0.39	 	1	0.08	 	10	0.79	 	25	1.97	 	7	0.55	 	1267	97.01	 	39	2.99	 	1306	1.72
