Senate - 1996 Election: Victoria														
Result of the Transfer and Distribution of Preferences														
Election of 6 Senators														
														
Quota = 2767485  +  1 =  395356														
6+1														
														
				First			Count 2			Count 3			Count 4	
E	"COONEY, Barney"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"GILLARD, Julia"	ALP	7	308336		6	308342		7	308349		8	308357	
E	"RAYMOND, Melanie"	ALP	4	1578		8	1586		12	1598		1	1599	
														
F	"McCORMACK, Denis"	AFI	0	40739		3	40742		6	40748		7	40755	
F	"SPENCER, Robyn Marion"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 														
G	"ALLISON, Lyn"	DEM	13	300101		5	300106		249	300355		14	300369	
G	"McLAREN, John"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"LEVY, Laurie"	DEM	1	784		3	787		318	1105		2	1107	
G	"WHITE, Marj"	DEM	2	625		5	630		-630	0	Excluded	0	0	Excluded
														
H	"GRIFFITH, Stephen"	NLP	3	6706		1	6707		1	6708		2	6710	
H	"MASON, Ngaire"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"DAHAN, Paul"	RPA	0	2249		0	2249		1	2250		3	2253	
I	"BERGEN, Des"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"TOSCANO, Joe"		2	2048		1	2049		1	2050		12	2062	
J	"ROPER, Steve"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"WOOD, Colin F"	ASP	0	19617		2	19619		2	19621		8	19629	
K	"SAYERS, Neville"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"FLIEGNER, Gary"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"COOK, Ken"	CTA	0	16520		0	16520		0	16520		15	16535	
L	"CHAPMAN, Christine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"RASKOVY, Steve"	IND	0	734		2	736		1	737		-737	0	Excluded
 	"SMITH, Maurie"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"GOOD, Michael"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"GREEN, Neil"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ABBOTTO, John M"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ARMSTRONG, David"	IND	2	3509		0	3509		5	3514		630	4144	
														
	Exhausted Votes		2	51		2	53		1	54		4	58	
	Loss by Fraction		1	106		9	115		2	117		1	118	
														
	Total Votes		514	2767485		545	2767485		630	2767485		737	2767485	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Lucas, H"			"Fernandez, A"			"White, M"			"Raskovy, S"		
														
														
														
				Count 95-99			Count 100-104			Count 105-109			Count 110-114	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"BORZATTI, Will"	CIR	2	9158		2	9160		17	9177		8	9185	
A	"McKAY, Neil"	CIR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"SINGER, Peter"	AGV	83	80373		11	80384		1017	81401		24	81425	
B	"ALEXANDER, Karen"	AGV	16	1347		2	1349		-1349	0	Excluded	0	0	Excluded
B	"LUCAS, Helen"	AGV	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"MULHOLLAND, John"	DLP	4	36189		15	36204		20	36224		10	36234	
C	"CAHILL, Paul"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ROWE, Michael"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CREA, Pat"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CODY, Matthew"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"DODD, Christine"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"ALSTON, Richard K R"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"KEMP, Rod"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"PATTERSON, Kay"	LP	16	354233		1016	355249		43	355292		13	355305	
D	"ETTERY, Robert John"	NP	3	1189		-1189	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HEAD, Robyne L"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"FERNANDEZ, Anthony G"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	 													
E	"RAY, Robert Francis"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"COONEY, Barney"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"GILLARD, Julia"	ALP	37	308394		7	308401		48	308449		1472	309921	
E	"RAYMOND, Melanie"	ALP	7	1606		3	1609		10	1619		-1619	0	Excluded
														
F	"McCORMACK, Denis"	AFI	7	40762		36	40798		13	40811		11	40822	
F	"SPENCER, Robyn Marion"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 														
G	"ALLISON, Lyn"	DEM	896	301265		39	301304		144	301448		45	301493	
G	"McLAREN, John"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"LEVY, Laurie"	DEM	-1107	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"WHITE, Marj"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"GRIFFITH, Stephen"	NLP	10	6720		3	6723		9	6732		6	6738	
H	"MASON, Ngaire"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"DAHAN, Paul"	RPA	2	2255		1	2256		4	2260		10	2270	
I	"BERGEN, Des"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"TOSCANO, Joe"		3	2065		3	2068		2	2070		2	2072	
J	"ROPER, Steve"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"WOOD, Colin F"	ASP	4	19633		12	19645		3	19648		6	19654	
K	"SAYERS, Neville"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"FLIEGNER, Gary"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"COOK, Ken"	CTA	3	16538		18	16556		3	16559		3	16562	
L	"CHAPMAN, Christine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"RASKOVY, Steve"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"SMITH, Maurie"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"GOOD, Michael"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"GREEN, Neil"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ABBOTTO, John M"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ARMSTRONG, David"	IND	6	4150		6	4156		7	4163		4	4167	
														
	Exhausted Votes		2	60		5	65		6	71		1	72	
	Loss by Fraction		6	124		10	134		3	137		4	141	
														
	Total Votes		1107	2767485		1189	2767485		1349	2767485		1619	2767485	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Levy, L"			"Ettery, R"			"Alexander, K"			"Raymond, M"		
														
														
														
				Count 115-119			Count 120-124			Count 125-129			Count 130-134	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"BORZATTI, Will"	CIR	11	9196		7	9203		94	9297		-9297	0	Excluded
A	"McKAY, Neil"	CIR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"SINGER, Peter"	AGV	932	82357		1977	84334		372	84706		2484	87190	
B	"ALEXANDER, Karen"	AGV	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
B	"LUCAS, Helen"	AGV	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"MULHOLLAND, John"	DLP	3	36237		14	36251		126	36377		141	36518	
C	"CAHILL, Paul"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ROWE, Michael"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CREA, Pat"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CODY, Matthew"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"DODD, Christine"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"ALSTON, Richard K R"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"KEMP, Rod"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"PATTERSON, Kay"	LP	19	355324		33	355357		744	356101		187	356288	
D	"ETTERY, Robert John"	NP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HEAD, Robyne L"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"FERNANDEZ, Anthony G"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	 													
E	"RAY, Robert Francis"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"COONEY, Barney"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"GILLARD, Julia"	ALP	17	309938		66	310004		739	310743		141	310884	
E	"RAYMOND, Melanie"	ALP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"McCORMACK, Denis"	AFI	21	40843		29	40872		238	41110		6853	47963	
F	"SPENCER, Robyn Marion"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 														
G	"ALLISON, Lyn"	DEM	936	302429		73	302502		954	303456		6155	309611	
G	"McLAREN, John"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"LEVY, Laurie"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"WHITE, Marj"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"GRIFFITH, Stephen"	NLP	20	6758		28	6786		141	6927		-6927	0	Excluded
H	"MASON, Ngaire"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"DAHAN, Paul"	RPA	20	2290		-2290	0	Excluded	0	0	Excluded	0	0	Excluded
I	"BERGEN, Des"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"TOSCANO, Joe"		-2072	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"ROPER, Steve"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"WOOD, Colin F"	ASP	23	19677		29	19706		265	19971		105	20076	
K	"SAYERS, Neville"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"FLIEGNER, Gary"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"COOK, Ken"	CTA	10	16572		9	16581		544	17125		88	17213	
L	"CHAPMAN, Christine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"RASKOVY, Steve"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"SMITH, Maurie"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"GOOD, Michael"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"GREEN, Neil"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ABBOTTO, John M"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ARMSTRONG, David"	IND	55	4222		18	4240		-4240	0	Excluded	0	0	Excluded
														
	Exhausted Votes		3	75		6	81		22	103		79	182	
	Loss by Fraction		2	143		1	144		1	145		-9	136	
														
	Total Votes		2072	2767485		2290	2767485		4240	2767485		16224	2767485	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidates Excluded		
			"Toscano, J"			"Dahan, P"			"Armstrong, D"			"Borzatti, W"		
												"Griffith, S"		
									 					
														
														
				Count 135-139			Count 140-144			Count 145-149			Count 150-154	
			Votes 	Progress		Votes	Progress		Votes	Progress		Votes	Progress	
	Candidates		Transfd	Total	Status	Transfd	Totals	Status	Transfd	Totals	Status	Transfd	Totals	Status
A	"BORZATTI, Will"	CIR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
A	"McKAY, Neil"	CIR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
B	"SINGER, Peter"	AGV	273	87463		179	87642		813	88455		-88455	0	Excluded
B	"ALEXANDER, Karen"	AGV	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
B	"LUCAS, Helen"	AGV	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
C	"MULHOLLAND, John"	DLP	13190	49708		105	49813		-49813	0	Excluded	0	0	Excluded
C	"CAHILL, Paul"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"ROWE, Michael"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CREA, Pat"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"CODY, Matthew"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
C	"DODD, Christine"	DLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
D	"ALSTON, Richard K R"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"KEMP, Rod"	LP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
D	"PATTERSON, Kay"	LP	1859	358147		1038	359185		14029	373214		3647	376861	
D	"ETTERY, Robert John"	NP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"HEAD, Robyne L"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
D	"FERNANDEZ, Anthony G"	LP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	 													
E	"RAY, Robert Francis"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"COONEY, Barney"	ALP	0	395356	Elected	0	395356	Elected	0	395356	Elected	0	395356	Elected
E	"GILLARD, Julia"	ALP	279	311163		368	311531		636	312167		4052	316219	
E	"RAYMOND, Melanie"	ALP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
F	"McCORMACK, Denis"	AFI	391	48354		18072	66426		33685	100111		3047	103158	
F	"SPENCER, Robyn Marion"	AFI	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 														
G	"ALLISON, Lyn"	DEM	613	310224		856	311080		581	311661		77518	389179	
G	"McLAREN, John"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"LEVY, Laurie"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
G	"WHITE, Marj"	DEM	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
H	"GRIFFITH, Stephen"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
H	"MASON, Ngaire"	NLP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
I	"DAHAN, Paul"	RPA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
I	"BERGEN, Des"	ABR	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
J	"TOSCANO, Joe"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
J	"ROPER, Steve"		0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
K	"WOOD, Colin F"	ASP	593	20669		-20669	0	Excluded	0	0	Excluded	0	0	Excluded
K	"SAYERS, Neville"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
K	"FLIEGNER, Gary"	ASP	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
L	"COOK, Ken"	CTA	-17213	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
L	"CHAPMAN, Christine"	CTA	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
Ungrouped														
	"RASKOVY, Steve"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"SMITH, Maurie"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"GOOD, Michael"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
	"GREEN, Neil"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ABBOTTO, John M"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
 	"ARMSTRONG, David"	IND	0	0	Excluded	0	0	Excluded	0	0	Excluded	0	0	Excluded
														
	Exhausted Votes		10	192		48	240		80	320		207	527	
	Loss by Fraction		5	141		3	144		-11	133		-16	117	
														
	Total Votes		17213	2767485		20669	2767485		49813	2767485		88455	2767485	
														
	Notes		Candidate Excluded			Candidate Excluded			Candidate Excluded			Candidate Excluded		
			"Cook, K"			"Wood, C"			"Mulholland, J"			"Singer, P"		
												 		
														
														
				Count 155										
			Votes 	Progress										
	Candidates		Transfd	Total	Status									
A	"BORZATTI, Will"	CIR	0	0	Excluded									
A	"McKAY, Neil"	CIR	0	0	Excluded									
														
B	"SINGER, Peter"	AGV	0	0	Excluded									
B	"ALEXANDER, Karen"	AGV	0	0	Excluded									
B	"LUCAS, Helen"	AGV	0	0	Excluded									
														
C	"MULHOLLAND, John"	DLP	0	0	Excluded									
C	"CAHILL, Paul"	DLP	0	0	Excluded									
C	"ROWE, Michael"	DLP	0	0	Excluded									
C	"CREA, Pat"	DLP	0	0	Excluded									
C	"CODY, Matthew"	DLP	0	0	Excluded									
C	"DODD, Christine"	DLP	0	0	Excluded									
														
D	"ALSTON, Richard K R"	LP	0	395356	Elected									
D	"KEMP, Rod"	LP	0	395356	Elected									
D	"PATTERSON, Kay"	LP	61076	437937	Elected									
D	"ETTERY, Robert John"	NP	0	0	Excluded									
D	"HEAD, Robyne L"	LP	0	0	Excluded									
D	"FERNANDEZ, Anthony G"	LP	0	0	Excluded									
 	 													
E	"RAY, Robert Francis"	ALP	0	395356	Elected									
E	"COONEY, Barney"	ALP	0	395356	Elected									
E	"GILLARD, Julia"	ALP	1367	317586										
E	"RAYMOND, Melanie"	ALP	0	0	Excluded									
														
F	"McCORMACK, Denis"	AFI	-102888	270	Excluded									
F	"SPENCER, Robyn Marion"	AFI	0	0	Excluded									
 														
G	"ALLISON, Lyn"	DEM	40372	429551	Elected									
G	"McLAREN, John"	DEM	0	0	Excluded									
G	"LEVY, Laurie"	DEM	0	0	Excluded									
G	"WHITE, Marj"	DEM	0	0	Excluded									
														
H	"GRIFFITH, Stephen"	NLP	0	0	Excluded									
H	"MASON, Ngaire"	NLP	0	0	Excluded									
														
I	"DAHAN, Paul"	RPA	0	0	Excluded									
I	"BERGEN, Des"	ABR	0	0	Excluded									
														
J	"TOSCANO, Joe"		0	0	Excluded									
J	"ROPER, Steve"		0	0	Excluded									
														
K	"WOOD, Colin F"	ASP	0	0	Excluded									
K	"SAYERS, Neville"	ASP	0	0	Excluded									
K	"FLIEGNER, Gary"	ASP	0	0	Excluded									
														
L	"COOK, Ken"	CTA	0	0	Excluded									
L	"CHAPMAN, Christine"	CTA	0	0	Excluded									
														
Ungrouped														
	"RASKOVY, Steve"	IND	0	0	Excluded									
 	"SMITH, Maurie"	IND	0	0	Excluded									
 	"GOOD, Michael"	IND	0	0	Excluded									
	"GREEN, Neil"	IND	0	0	Excluded									
 	"ABBOTTO, John M"	IND	0	0	Excluded									
 	"ARMSTRONG, David"	IND	0	0	Excluded									
														
	Exhausted Votes		73	600										
	Loss by Fraction		0	117										
														
	Total Votes		102888	2767485										
														
	Notes		Candidate Partially Excluded											
			"McCormack, D"											
														
			Candidates Elected											
			"5. Patterson, K"											
			"6. Allison, L"											
														
