Senate - 1996 Election 																
First Preference Votes by Candidate																
By Vote Type by State																
																
New South Wales																
																
Enrolment 3955782																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
		Group Total	OAP	3096	0.19	280	0.22	39	0.30	121	0.16	103	0.13	-1	3638	0.19
Q		TICKET VOTES	NP	241032	14.81	15162	11.78	1356	10.29	8158	10.75	15333	19.47	3	281044	14.60
	#	"BOSWELL, Ron"	NP	4731	0.29	438	0.34	25	0.19	237	0.31	835	1.06	-8	6258	0.33
		"COBB, Teresa M."	NP	337	0.02	27	0.02	3	0.02	14	0.02	113	0.14	2	496	0.03
		"CRANWELL, Terry Ann"	NP	310	0.02	24	0.02	3	0.02	16	0.02	38	0.05	10	401	0.02
		Group Total	NP	246410	15.14	15651	12.16	1387	10.53	8425	11.10	16319	20.73	7	288199	14.98
R		TICKET VOTES	AIP	1989	0.12	194	0.15	42	0.32	59	0.08	65	0.08	0	2349	0.12
		"WATSON, Sam"	AIP	299	0.02	44	0.03	2	0.02	17	0.02	6	0.01	-4	364	0.02
		"TYSON, Netta"	AIP	45	0.00	5	0.00	1	0.01	3	0.00	5	0.01	0	59	0.00
		Group Total	AIP	2333	0.14	243	0.19	45	0.34	79	0.10	76	0.10	-4	2772	0.14
UNGROUPED																
		"Mac NEVIN, Michelle"	IND	483	0.03	44	0.03	6	0.05	35	0.05	31	0.04	-5	594	0.03
		"LETH, Chris"	IND	57	0.00	5	0.00	1	0.01	2	0.00	3	0.00	-1	67	0.00
		"HOWSE, David Gordon"	IND	80	0.00	6	0.00	1	0.01	2	0.00	3	0.00	-1	91	0.00
		"McKAY, Ross"	IND	120	0.01	12	0.01	1	0.01	9	0.01	11	0.01	1	154	0.01
		Ungrouped Total		740	0.05	67	0.05	9	0.07	48	0.06	48	0.06	-6	906	0.05
			FORMAL	1627987	96.47	128756	98.31	13178	96.71	75869	98.60	78736	98.03	-64	1924462	96.73
			INFORMAL	59577	3.53	2217	1.69	449	3.29	1075	1.40	1585	1.97	76	64979	3.27
			TOTAL	1687564	84.83	130973	6.58	13627	0.68	76944	3.87	80321	4.04	12	1989441	95.13



Western Australia																
Enrolment 1088487																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	AWP	7636	0.90	803	1.02	161	1.27	363	0.93	232	0.90	53	9248	0.92
		"TURNBULL, Mattie"	AWP	1418	0.17	161	0.20	36	0.28	57	0.15	47	0.18	0	1719	0.17
		"MUDFORD, Kate"	AWP	152	0.02	29	0.04	5	0.04	12	0.03	6	0.02	-2	202	0.02
		Group Total	AWP	9206	1.09	993	1.26	202	1.59	432	1.11	285	1.10	51	11169	1.11
B		TICKET VOTES	LP	376158	44.39	33909	42.98	4470	35.26	18398	47.22	12329	47.76	195	445459	44.36
	#	"CRANE, Winston"	LP	6567	0.77	704	0.89	77	0.61	467	1.20	601	2.33	-111	8305	0.83
	#	"PANIZZA, John H"	LP	626	0.07	96	0.12	11	0.09	44	0.11	62	0.24	5	844	0.08
	#	"EGGLESTON, Alan"	LP	360	0.04	46	0.06	0	0.00	30	0.08	44	0.17	6	486	0.05
		"HUSTON, Michael"	LP	219	0.03	47	0.06	5	0.04	25	0.06	20	0.08	4	320	0.03
		"SIRNA, Enzo"	LP	138	0.02	13	0.02	1	0.01	2	0.01	3	0.01	0	157	0.02
		"THOMPSON, Clare Helen"	LP	617	0.07	85	0.11	8	0.06	49	0.13	37	0.14	12	808	0.08
		Group Total	LP	384685	45.40	34900	44.23	4572	36.07	19015	48.80	13096	50.73	111	456379	45.44
C		TICKET VOTES		1058	0.12	138	0.17	20	0.16	58	0.15	30	0.12	31	1335	0.13
		"DRAKE, Tony"		119	0.01	13	0.02	4	0.03	2	0.01	3	0.01	1	142	0.01
		"ROBINSON, Jean H"		34	0.00	5	0.01	1	0.01	0	0.00	1	0.00	0	41	0.00
		Group Total		1211	0.14	156	0.20	25	0.20	60	0.15	34	0.13	32	1518	0.15
D		TICKET VOTES	CTA	4508	0.53	436	0.55	48	0.38	165	0.42	98	0.38	10	5265	0.52
		"JACKSON, Don"	CTA	1440	0.17	138	0.17	10	0.08	37	0.09	54	0.21	8	1687	0.17
		"LAURIE, Marj"	CTA	63	0.01	7	0.01	1	0.01	4	0.01	4	0.02	-3	76	0.01
		Group Total	CTA	6011	0.71	581	0.74	59	0.47	206	0.53	156	0.60	15	7028	0.70
E		TICKET VOTES	NP	15286	1.80	1995	2.53	177	1.40	604	1.55	612	2.37	11	18685	1.86
		"McANUFF, Kevin"	NP	1479	0.17	181	0.23	7	0.06	69	0.18	83	0.32	8	1827	0.18
		"ANDERSON, Lynley"	NP	270	0.03	52	0.07	3	0.02	17	0.04	20	0.08	3	365	0.04
		Group Total	NP	17035	2.01	2228	2.82	187	1.48	690	1.77	715	2.77	22	20877	2.08
F		TICKET VOTES	AFI	8210	0.97	1027	1.30	190	1.50	439	1.13	424	1.64	10	10300	1.03
		"HAYE, Richard T"	AFI	1820	0.21	191	0.24	18	0.14	87	0.22	117	0.45	4	2237	0.22
		"HAMMOND, Robert K"	AFI	82	0.01	9	0.01	4	0.03	6	0.02	7	0.03	0	108	0.01
		Group Total	AFI	10112	1.19	1227	1.56	212	1.67	532	1.37	548	2.12	14	12645	1.26
G		TICKET VOTES	ALP	281784	33.25	24270	30.76	5149	40.62	11363	29.16	7203	27.90	192	329961	32.85
	#	"McKIERNAN, Jim"	ALP	7167	0.85	758	0.96	145	1.14	419	1.08	342	1.32	60	8891	0.89
	#	"BISHOP, Mark"	ALP	309	0.04	53	0.07	11	0.09	25	0.06	15	0.06	5	418	0.04
		"BEAHAN, Michael"	ALP	841	0.10	86	0.11	8	0.06	69	0.18	39	0.15	8	1051	0.10
		"CRAWFORD, Catherine"	ALP	973	0.11	126	0.16	18	0.14	80	0.21	54	0.21	8	1259	0.13
		Group Total	ALP	291074	34.35	25293	32.06	5331	42.05	11956	30.68	7653	29.64	273	341580	34.01
H		TICKET VOTES	GWA	37284	4.40	5150	6.53	972	7.67	1925	4.94	874	3.39	14	46219	4.60
		"CHAMARETTE, Christabel"	GWA	8452	1.00	880	1.12	112	0.88	515	1.32	280	1.08	9	10248	1.02
		"CHAPPLE, Robin"	GWA	402	0.05	71	0.09	6	0.05	33	0.08	21	0.08	6	539	0.05
		Group Total	GWA	46138	5.44	6101	7.73	1090	8.60	2473	6.35	1175	4.55	29	57006	5.68
I		TICKET VOTES	DEM	68079	8.03	6243	7.91	876	6.91	2948	7.57	1655	6.41	42	79843	7.95
	#	"MURRAY, Andrew J M"	DEM	9733	1.15	736	0.93	78	0.62	420	1.08	290	1.12	0	11257	1.12
		"MILLAR, Don"	DEM	165	0.02	19	0.02	3	0.02	7	0.02	7	0.03	1	202	0.02
		"de la HUNTY, Shirley"	DEM	2156	0.25	219	0.28	23	0.18	122	0.31	117	0.45	-1	2636	0.26
		Group Total	DEM	80133	9.46	7217	9.15	980	7.73	3497	8.97	2069	8.01	42	93938	9.35
UNGROUPED																
		"BRADSHAW, Craig"	IND	819	0.10	101	0.13	7	0.06	53	0.14	44	0.17	-1	1023	0.10
		"MACKINTOSH, Craig Alan"	IND	295	0.03	27	0.03	5	0.04	12	0.03	9	0.03	-2	346	0.03
		"COOPER, Vin"	IND	322	0.04	28	0.04	1	0.01	13	0.03	14	0.05	-2	376	0.04
		"WHITE, Ros"	NLP	316	0.04	45	0.06	6	0.05	26	0.07	19	0.07	2	414	0.04
		Ungrouped Total		1752	0.21	201	0.25	19	0.15	104	0.27	86	0.33	-3	2159	0.21
			FORMAL	847357	96.18	78897	97.81	12677	96.96	38965	98.47	25817	98.47	586	1004299	96.51
			INFORMAL	33679	3.82	1764	2.19	398	3.04	605	1.53	401	1.53	-478	36369	3.49
			TOTAL	881036	84.66	80661	7.75	13075	1.26	39570	3.80	26218	2.52	108	1040668	95.61



South Australia																
Enrolment 1001006																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	ASP	6306	0.78	534	1.00	146	1.23	237	0.89	149	0.51	0	7372	0.79
		"ALDERSEY, Haydon"	ASP	1304	0.16	106	0.20	24	0.20	44	0.17	40	0.14	-2	1516	0.16
		"LOW, Robert"	ASP	67	0.01	9	0.02	3	0.03	3	0.01	3	0.01	0	85	0.01
		Group Total	ASP	7677	0.94	649	1.21	173	1.46	284	1.07	192	0.66	-2	8973	0.96
B		TICKET VOTES	GRY	6213	0.76	316	0.59	52	0.44	197	0.74	463	1.58	0	7241	0.78
		"GILBEY-RILEY, Emily"	GRY	821	0.10	34	0.06	3	0.03	18	0.07	56	0.19	1	933	0.10
		"DARBISHIRE, Gratton"	GRY	44	0.01	5	0.01	0	0.00	2	0.01	4	0.01	-1	54	0.01
		Group Total	GRY	7078	0.87	355	0.66	55	0.46	217	0.81	523	1.79	0	8228	0.88
C		TICKET VOTES	GRN	12809	1.58	1661	3.11	464	3.91	795	2.99	372	1.27	0	16101	1.72
		"SPENCE, Stephen"	GRN	2436	0.30	250	0.47	53	0.45	133	0.50	83	0.28	-2	2953	0.32
		"McDOUGALL, Meryl"	GRN	297	0.04	51	0.10	5	0.04	16	0.06	16	0.05	2	387	0.04
		Group Total	GRN	15542	1.91	1962	3.67	522	4.39	944	3.55	471	1.61	0	19441	2.08
D		TICKET VOTES	ALP	252480	31.07	16486	30.84	4798	40.39	7910	29.71	7985	27.32	1	289660	31.02
	#	"CROWLEY, Rosemary"	ALP	8184	1.01	662	1.24	154	1.30	317	1.19	342	1.17	-2	9657	1.03
	#	"SCHACHT, Chris"	ALP	993	0.12	84	0.16	19	0.16	59	0.22	67	0.23	-2	1220	0.13
		"TEDMANSON, Deirdre"	ALP	452	0.06	47	0.09	4	0.03	25	0.09	29	0.10	0	557	0.06
		Group Total	ALP	262109	32.26	17279	32.32	4975	41.88	8311	31.21	8423	28.82	-3	301094	32.24
E		TICKET VOTES	CTA	4394	0.54	323	0.60	51	0.43	173	0.65	152	0.52	0	5093	0.55
		"RODWAY, David"	CTA	1457	0.18	108	0.20	15	0.13	36	0.14	67	0.23	3	1686	0.18
		"RODWAY, Brett"	CTA	35	0.00	2	0.00	0	0.00	4	0.02	0	0.00	-3	38	0.00
		Group Total	CTA	5886	0.72	433	0.81	66	0.56	213	0.80	219	0.75	0	6817	0.73
F		TICKET VOTES		728	0.09	47	0.09	19	0.16	28	0.11	14	0.05	0	836	0.09
		"WOHLTMANN, Michael"		201	0.02	12	0.02	0	0.00	2	0.01	3	0.01	-1	217	0.02
		"WOHLTMANN, Jeanette"		21	0.00	1	0.00	1	0.01	0	0.00	4	0.01	1	28	0.00
		Group Total		950	0.12	60	0.11	20	0.17	30	0.11	21	0.07	0	1081	0.12
G		TICKET VOTES	AFI	6521	0.80	653	1.22	189	1.59	252	0.95	254	0.87	0	7869	0.84
		"JOY, Bert"	AFI	1230	0.15	94	0.18	20	0.17	39	0.15	49	0.17	-1	1431	0.15
		"WIKBLOM, Stephen"	AFI	110	0.01	7	0.01	3	0.03	2	0.01	3	0.01	-1	124	0.01
		Group Total	AFI	7861	0.97	754	1.41	212	1.78	293	1.10	306	1.05	-2	9424	1.01
H		TICKET VOTES	EFF	1801	0.22	136	0.25	41	0.35	66	0.25	92	0.31	2	2138	0.23
		"DWYER, David"	EFF	213	0.03	11	0.02	2	0.02	11	0.04	10	0.03	1	248	0.03
		"WALKER, Alfred"	EFF	36	0.00	4	0.01	1	0.01	1	0.00	2	0.01	0	44	0.00
		Group Total	EFF	2050	0.25	151	0.28	44	0.37	78	0.29	104	0.36	3	2430	0.26
I		TICKET VOTES	AWP	3840	0.47	386	0.72	127	1.07	215	0.81	203	0.69	0	4771	0.51
		"McCULLOCH, Deborah"	AWP	663	0.08	48	0.09	11	0.09	25	0.09	37	0.13	2	786	0.08
		"McHUGH, Marg"	AWP	45	0.01	8	0.01	0	0.00	5	0.02	4	0.01	0	62	0.01
		"TZUMLI, Denise"	AWP	29	0.00	2	0.00	2	0.02	3	0.01	2	0.01	1	39	0.00
		Group Total	AWP	4577	0.56	444	0.83	140	1.18	248	0.93	246	0.84	3	5658	0.61
J		TICKET VOTES		4227	0.52	162	0.30	26	0.22	64	0.24	113	0.39	0	4592	0.49
		"NICHOLSON, Kenneth S"		1434	0.18	57	0.11	9	0.08	37	0.14	64	0.22	-1	1600	0.17
		"SHEARING, Colin"		80	0.01	7	0.01	0	0.00	1	0.00	6	0.02	0	94	0.01
		Group Total		5741	0.71	226	0.42	35	0.29	102	0.38	183	0.63	-1	6286	0.67
K		TICKET VOTES	LP	363975	44.79	21972	41.10	3908	32.90	11901	44.70	14612	50.00	3	416371	44.59
	#	"HILL, Robert"	LP	8427	1.04	544	1.02	67	0.56	367	1.38	586	2.01	-1	9990	1.07
	#	"CHAPMAN, Grant"	LP	619	0.08	54	0.10	4	0.03	33	0.12	67	0.23	1	778	0.08
	#	"FERRIS, Jeannie"	LP	436	0.05	41	0.08	4	0.03	13	0.05	38	0.13	0	532	0.06
		"KOURTESIS, Maria"	LP	331	0.04	27	0.05	2	0.02	13	0.05	10	0.03	-1	382	0.04
		Group Total	LP	373788	46.00	22638	42.34	3985	33.55	12327	46.30	15313	52.40	2	428053	45.84
L		TICKET VOTES	DEM	100528	12.37	7217	13.50	1473	12.40	2991	11.23	2684	9.18	1	114894	12.30
	#	"STOTT DESPOJA, Natasha"	DEM	16753	2.06	1087	2.03	150	1.26	481	1.81	419	1.43	-2	18888	2.02
		"GILFILLAN, Ian"	DEM	1173	0.14	113	0.21	18	0.15	63	0.24	80	0.27	1	1448	0.16
		"SMITH, Judy"	DEM	297	0.04	39	0.07	2	0.02	20	0.08	14	0.05	-1	371	0.04
		"TSAGATOS, Desea"	DEM	99	0.01	14	0.03	2	0.02	8	0.03	6	0.02	0	129	0.01
		Group Total	DEM	118850	14.63	8470	15.84	1645	13.85	3563	13.38	3203	10.96	-1	135730	14.54
UNGROUPED																
		"WELLS, Geoffrey A"	NLP	475	0.06	42	0.08	7	0.06	17	0.06	22	0.08	-2	561	0.06
		Ungrouped Total		475	0.06	42	0.08	7	0.06	17	0.06	22	0.08	-2	561	0.06
			FORMAL	812584	96.51	53463	98.01	11879	97.09	26627	98.55	29226	98.80	-3	933776	96.73
			INFORMAL	29360	3.49	1086	1.99	356	2.91	392	1.45	356	1.20	2	31552	3.27
			TOTAL	841944	87.22	54549	5.65	12235	1.27	27019	2.80	29582	3.06	-1	965328	96.44



Tasmania																
Enrolment 329304																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	NLP	947	0.37	59	0.28	31	0.91	27	0.22	22	0.17	0	1086	0.35
		"BROSZCZYK, Gregory"	NLP	544	0.21	35	0.17	21	0.62	26	0.21	8	0.06	0	634	0.21
		"HARLOW, James"	NLP	76	0.03	6	0.03	1	0.03	5	0.04	3	0.02	0	91	0.03
		Group Total	NLP	1567	0.61	100	0.47	53	1.56	58	0.47	33	0.25	0	1811	0.59
B		TICKET VOTES	NP	1665	0.64	131	0.62	28	0.82	103	0.83	114	0.86	0	2041	0.66
		"JACKSON, Mary"	NP	1286	0.50	99	0.47	13	0.38	50	0.40	65	0.49	0	1513	0.49
		"CLAYTON, Jeff"	NP	104	0.04	14	0.07	3	0.09	8	0.06	10	0.08	0	139	0.04
		Group Total	NP	3055	1.18	244	1.16	44	1.29	161	1.30	189	1.42	0	3693	1.20
C		TICKET VOTES	LP	83141	32.13	6470	30.71	839	24.68	3947	31.82	4562	34.25	0	98959	32.03
	#	"NEWMAN, Jocelyn"	LP	18980	7.33	1413	6.71	104	3.06	796	6.42	1036	7.78	0	22329	7.23
	#	"CALVERT, Paul"	LP	3656	1.41	361	1.71	18	0.53	200	1.61	220	1.65	0	4455	1.44
	#	"WATSON, John"	LP	4077	1.58	300	1.42	24	0.71	183	1.48	225	1.69	0	4809	1.56
		Group Total	LP	109854	42.45	8544	40.55	985	28.97	5126	41.32	6043	45.36	0	130552	42.25
D		TICKET VOTES	DEM	9417	3.64	835	3.96	119	3.50	527	4.25	497	3.73	0	11395	3.69
		"BELL, Robert"	DEM	8384	3.24	796	3.78	55	1.62	385	3.10	331	2.48	0	9951	3.22
		"ONSMAN, Julia"	DEM	427	0.17	40	0.19	7	0.21	28	0.23	26	0.20	0	528	0.17
		"TATTERSALL, Philip J"	DEM	113	0.04	7	0.03	4	0.12	4	0.03	4	0.03	0	132	0.04
		Group Total	DEM	18341	7.09	1678	7.96	185	5.44	944	7.61	858	6.44	0	22006	7.12
E		TICKET VOTES	AWP	1108	0.43	102	0.48	38	1.12	74	0.60	67	0.50	0	1389	0.45
		"ANDERSEN, Clair"	AWP	356	0.14	28	0.13	5	0.15	17	0.14	18	0.14	0	424	0.14
		"MacQUEEN, Lin"	AWP	52	0.02	5	0.02	1	0.03	3	0.02	7	0.05	0	68	0.02
		Group Total	AWP	1516	0.59	135	0.64	44	1.29	94	0.76	92	0.69	0	1881	0.61
F		TICKET VOTES	TG	11007	4.25	1257	5.97	215	6.32	987	7.96	675	5.07	0	14141	4.58
	#	"BROWN, Bob"	TG	9880	3.82	1106	5.25	120	3.53	775	6.25	486	3.65	0	12367	4.00
		"DALE, Janet"	TG	242	0.09	29	0.14	4	0.12	27	0.22	20	0.15	0	322	0.10
		Group Total	TG	21129	8.17	2392	11.35	339	9.97	1789	14.42	1181	8.87	0	26830	8.68
G		TICKET VOTES	CTA	592	0.23	58	0.28	13	0.38	35	0.28	51	0.38	0	749	0.24
		"ROGERS, Don"	CTA	615	0.24	45	0.21	5	0.15	34	0.27	36	0.27	0	735	0.24
		"ROGERS, Beryl"	CTA	29	0.01	3	0.01	1	0.03	0	0.00	2	0.02	0	35	0.01
		Group Total	CTA	1236	0.48	106	0.50	19	0.56	69	0.56	89	0.67	0	1519	0.49
H		TICKET VOTES	ALP	79901	30.88	6034	28.64	1491	43.85	3367	27.14	3886	29.17	0	94679	30.64
	#	"MACKAY, Sue"	ALP	9444	3.65	836	3.97	127	3.74	370	2.98	337	2.53	0	11114	3.60
	#	"SHERRY, Nick"	ALP	11913	4.60	910	4.32	103	3.03	392	3.16	579	4.35	0	13897	4.50
		"TOUBER, Charles"	ALP	819	0.32	90	0.43	10	0.29	35	0.28	34	0.26	0	988	0.32
		Group Total	ALP	102077	39.45	7870	37.35	1731	50.91	4164	33.57	4836	36.30	0	120678	39.06
UNGROUPED																
		Ungrouped Total		0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0	0.00
			FORMAL	258775	96.63	21069	97.93	3400	97.17	12405	97.97	13321	98.11	0	308970	96.84
			INFORMAL	9026	3.37	445	2.07	99	2.83	257	2.03	256	1.89	0	10083	3.16
			TOTAL	267801	83.94	21514	6.74	3499	1.10	12662	3.97	13577	4.26	0	319053	96.89



Australian Capital Territory																
Enrolment 203170																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CTA	1404	0.91	59	1.15	15	0.77	201	0.81	51	0.95	0	1730	0.90
		"MILLER, John Richard"	CTA	854	0.55	30	0.58	9	0.46	97	0.39	27	0.50	0	1017	0.53
		"LIAW, James"	CTA	138	0.09	5	0.10	2	0.10	6	0.02	3	0.06	0	154	0.08
		Group Total	CTA	2396	1.55	94	1.83	26	1.34	304	1.22	81	1.50	0	2901	1.51
B		TICKET VOTES	GRN	5074	3.28	285	5.55	122	6.30	1052	4.22	169	3.13	0	6702	3.49
		"FOSKEY, Deborah"	GRN	3174	2.05	136	2.65	58	2.99	691	2.77	90	1.67	0	4149	2.16
		"MILLAR, Jonathan"	GRN	319	0.21	19	0.37	1	0.05	88	0.35	19	0.35	0	446	0.23
		Group Total	GRN	8567	5.54	440	8.57	181	9.34	1831	7.35	278	5.15	0	11297	5.88
C		TICKET VOTES	LP	54005	34.91	1506	29.33	525	27.09	8227	33.03	2114	39.18	0	66377	34.56
	#	"REID, Margaret"	LP	6422	4.15	166	3.23	44	2.27	1097	4.40	307	5.69	0	8036	4.18
		"JITTS, Stephe"	LP	409	0.26	20	0.39	4	0.21	69	0.28	34	0.63	0	536	0.28
		Group Total	LP	60836	39.33	1692	32.96	573	29.57	9393	37.71	2455	45.51	0	74949	39.02
D		TICKET VOTES	DEM	10079	6.52	288	5.61	104	5.37	1706	6.85	403	7.47	0	12580	6.55
		"MAIN, Peter"	DEM	5438	3.52	112	2.18	41	2.12	837	3.36	159	2.95	0	6587	3.43
		"BLACKBURN, Brent"	DEM	342	0.22	7	0.14	3	0.15	56	0.22	15	0.28	0	423	0.22
		Group Total	DEM	15859	10.25	407	7.93	148	7.64	2599	10.43	577	10.70	0	19590	10.20
E		TICKET VOTES	ALP	58788	38.01	2192	42.70	897	46.28	9328	37.45	1717	31.83	0	72922	37.97
	#	"LUNDY, Kate"	ALP	6052	3.91	228	4.44	76	3.92	1105	4.44	199	3.69	0	7660	3.99
		"CONWAY, Peter"	ALP	977	0.63	39	0.76	20	1.03	198	0.79	50	0.93	0	1284	0.67
		Group Total	ALP	65817	42.55	2459	47.90	993	51.24	10631	42.68	1966	36.44	0	81866	42.63
UNGROUPED																
		"CLARKE, Joanne"	IND	348	0.22	19	0.37	7	0.36	63	0.25	17	0.32	0	454	0.24
		"MONAGHAN, Bill"	IND	526	0.34	13	0.25	2	0.10	45	0.18	11	0.20	0	597	0.31
		"SEATON, David"	NLP	214	0.14	4	0.08	5	0.26	28	0.11	6	0.11	0	257	0.13
		"SKERBIC, Fred"	IND	119	0.08	6	0.12	3	0.15	14	0.06	4	0.07	0	146	0.08
		Ungrouped Total		1207	0.78	42	0.82	17	0.88	150	0.60	38	0.70	0	1454	0.76
			FORMAL	154682	97.34	5134	97.57	1938	98.03	24908	98.42	5395	98.76	0	192057	97.53
			INFORMAL	4225	2.66	128	2.43	39	1.97	400	1.58	68	1.24	0	4860	2.47
			TOTAL	158907	80.70	5262	2.67	1977	1.00	25308	12.85	5463	2.77	0	196917	96.92



Northern Territory																
Enrolment 98800																

				Ordinary		Absent		Provisional		Pre Poll		Postal		Adj	Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		Votes	%
A		TICKET VOTES	CLP	29042	38.41	0	0.00	366	30.91	2722	43.30	1316	50.13	0	33446	39.02
	#	"TAMBLING, Grant"	CLP	5415	7.16	0	0.00	54	4.56	411	6.54	253	9.64	0	6133	7.16
		"COOK, Kym"	CLP	392	0.52	0	0.00	7	0.59	36	0.57	36	1.37	0	471	0.55
		Group Total	CLP	34849	46.09	0	0.00	427	36.06	3169	50.41	1605	61.14	0	40050	46.73
B		TICKET VOTES	GRN	3677	4.86	0	0.00	64	5.41	380	6.05	117	4.46	0	4238	4.94
		"FRIEL, Margie"	GRN	865	1.14	0	0.00	11	0.93	87	1.38	28	1.07	0	991	1.16
		"ELDRIDGE, Ilana"	GRN	195	0.26	0	0.00	2	0.17	23	0.37	4	0.15	0	224	0.26
		Group Total	GRN	4737	6.27	0	0.00	77	6.50	490	7.80	149	5.68	0	5453	6.36
C		TICKET VOTES	ALP	28920	38.25	0	0.00	560	47.30	1986	31.59	599	22.82	0	32065	37.41
	#	"COLLINS, Bob"	ALP	5494	7.27	0	0.00	95	8.02	421	6.70	168	6.40	0	6178	7.21
		"BRADLEY, Susan"	ALP	346	0.46	0	0.00	7	0.59	49	0.78	22	0.84	0	424	0.49
		Group Total	ALP	34760	45.97	0	0.00	662	55.91	2456	39.07	789	30.06	0	38667	45.12
UNGROUPED																
		"CARR, Geoff"	DEM	1264	1.67	0	0.00	18	1.52	171	2.72	82	3.12	0	1535	1.79
		Ungrouped Total		1264	1.67	0	0.00	18	1.52	171	2.72	82	3.12	0	1535	1.79
			FORMAL	75610	97.09	0	0.00	1184	95.95	6286	98.59	2625	99.32	0	85705	97.25
			INFORMAL	2264	2.91	0	0.00	50	4.05	90	1.41	18	0.68	0	2422	2.75
			TOTAL	77874	88.37	0	0.00	1234	1.40	6376	7.24	2643	3.00	0	88127	89.20
