House of Representatives - 2001 Election: Northern Territory																							
Distribution of Preferences																							
By Polling Place																							
																							
Lingiari																							
					KELLY			CHELLEW			NORRIS			SNOWDON			HOAD			WRIGHT			
		TOTAL		40	9.85		14	3.45					352	86.70								406	
	FIFTH			3	21.43			Excluded					11	78.57								14	
		TOTAL		43	10.59								363	89.41								406	
													Elected										
																							
Remote Mobile Team 21                                          																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00								0	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		0	0.00					0	0.00								0	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		0	0.00								0	0.00								0	
													Elected										
																							
Remote Mobile Team 22                                          																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00								0	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		0	0.00					0	0.00								0	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		0	0.00								0	0.00								0	
													Elected										
																							
Remote Mobile Team 23                                          																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00								0	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		0	0.00					0	0.00								0	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		0	0.00								0	0.00								0	
													Elected										
																							
Remote Mobile Team 24                                          																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00								0	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		0	0.00					0	0.00								0	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		0	0.00								0	0.00								0	
													Elected										
																							
Remote Mobile Team 25                                          																							
	FIRST			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		0	0.00		0	0.00		0	0.00		0	0.00								0	
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		0	0.00		0	0.00					0	0.00								0	
	FIFTH			0	0.00			Excluded					0	0.00								0	
		TOTAL		0	0.00								0	0.00								0	
													Elected										
																							
Remote Mobile Team 3                                           																							
	FIRST			84	27.10		9	2.90		10	3.23		196	63.23		5	1.61		6	1.94		310	
	SECOND			2	33.33		0	0.00		0	0.00		2	33.33		2	33.33			Excluded		6	
		TOTAL		86	27.74		9	2.90		10	3.23		198	63.87		7	2.26					310	
	THIRD			2	28.57		1	14.29		0	0.00		4	57.14			Excluded					7	
		TOTAL		88	28.39		10	3.23		10	3.23		202	65.16								310	
	FOURTH			3	30.00		4	40.00			Excluded		3	30.00								10	
		TOTAL		91	29.35		14	4.52					205	66.13								310	
	FIFTH			4	28.57			Excluded					10	71.43								14	
		TOTAL		95	30.65								215	69.35								310	
													Elected										
																							
Remote Mobile Team 4                                           																							
	FIRST			141	21.36		15	2.27		14	2.12		456	69.09		6	0.91		28	4.24		660	
	SECOND			7	25.00		2	7.14		3	10.71		13	46.43		3	10.71			Excluded		28	
		TOTAL		148	22.42		17	2.58		17	2.58		469	71.06		9	1.36					660	
	THIRD			0	0.00		2	22.22		1	11.11		6	66.67			Excluded					9	
		TOTAL		148	22.42		19	2.88		18	2.73		475	71.97								660	
	FOURTH			5	27.78		4	22.22			Excluded		9	50.00								18	
		TOTAL		153	23.18		23	3.48					484	73.33								660	
	FIFTH			9	39.13			Excluded					14	60.87								23	
		TOTAL		162	24.55								498	75.45								660	
													Elected										
																							
Remote Mobile Team 5                                           																							
	FIRST			310	28.36		11	1.01		16	1.46		740	67.70		10	0.91		6	0.55		1093	
	SECOND			2	33.33		0	0.00		2	33.33		1	16.67		1	16.67			Excluded		6	
		TOTAL		312	28.55		11	1.01		18	1.65		741	67.80		11	1.01					1093	
	THIRD			2	18.18		1	9.09		0	0.00		8	72.73			Excluded					11	
		TOTAL		314	28.73		12	1.10		18	1.65		749	68.53								1093	
	FOURTH			7	38.89		5	27.78			Excluded		6	33.33								18	
		TOTAL		321	29.37		17	1.56					755	69.08								1093	
	FIFTH			6	35.29			Excluded					11	64.71								17	
		TOTAL		327	29.92								766	70.08								1093	
													Elected										
																							
Remote Mobile Team 6                                           																							
	FIRST			260	18.91		17	1.24		22	1.60		1039	75.56		28	2.04		9	0.65		1375	
	SECOND			1	11.11		1	11.11		2	22.22		1	11.11		4	44.44			Excluded		9	
		TOTAL		261	18.98		18	1.31		24	1.75		1040	75.64		32	2.33					1375	
	THIRD			3	9.38		8	25.00		2	6.25		19	59.38			Excluded					32	
		TOTAL		264	19.20		26	1.89		26	1.89		1059	77.02								1375	
	FOURTH			11	42.31		4	15.38			Excluded		11	42.31								26	
		TOTAL		275	20.00		30	2.18					1070	77.82								1375	
	FIFTH			11	36.67			Excluded					19	63.33								30	
		TOTAL		286	20.80								1089	79.20								1375	
													Elected										
																							
Remote Mobile Team 7                                           																							
	FIRST			89	37.71		2	0.85		2	0.85		141	59.75		0	0.00		2	0.85		236	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00			Excluded		2	
		TOTAL		89	37.71		2	0.85		2	0.85		141	59.75		2	0.85					236	
	THIRD			0	0.00		0	0.00		0	0.00		2	100.00			Excluded					2	
		TOTAL		89	37.71		2	0.85		2	0.85		143	60.59								236	
	FOURTH			2	100.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		91	38.56		2	0.85					143	60.59								236	
	FIFTH			1	50.00			Excluded					1	50.00								2	
		TOTAL		92	38.98								144	61.02								236	
													Elected										
																							
Remote Mobile Team 8                                           																							
	FIRST			206	47.80		5	1.16		11	2.55		205	47.56		2	0.46		2	0.46		431	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		2	
		TOTAL		206	47.80		5	1.16		12	2.78		206	47.80		2	0.46					431	
	THIRD			1	50.00		0	0.00		0	0.00		1	50.00			Excluded					2	
		TOTAL		207	48.03		5	1.16		12	2.78		207	48.03								431	
	FOURTH			6	50.00		1	8.33			Excluded		5	41.67								12	
		TOTAL		213	49.42		6	1.39					212	49.19								431	
	FIFTH			2	33.33			Excluded					4	66.67								6	
		TOTAL		215	49.88								216	50.12								431	
													Elected										
																							
Remote Mobile Team 9                                           																							
	FIRST			328	37.66		21	2.41		21	2.41		470	53.96		11	1.26		20	2.30		871	
	SECOND			6	30.00		0	0.00		1	5.00		6	30.00		7	35.00			Excluded		20	
		TOTAL		334	38.35		21	2.41		22	2.53		476	54.65		18	2.07					871	
	THIRD			1	5.56		4	22.22		1	5.56		12	66.67			Excluded					18	
		TOTAL		335	38.46		25	2.87		23	2.64		488	56.03								871	
	FOURTH			6	26.09		9	39.13			Excluded		8	34.78								23	
		TOTAL		341	39.15		34	3.90					496	56.95								871	
	FIFTH			14	41.18			Excluded					20	58.82								34	
		TOTAL		355	40.76								516	59.24								871	
													Elected										
																							
Prison Mobile Team 1                                           																							
	FIRST			6	6.90		3	3.45		2	2.30		75	86.21		0	0.00		1	1.15		87	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	
		TOTAL		7	8.05		3	3.45		2	2.30		75	86.21		0	0.00					87	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	
		TOTAL		7	8.05		3	3.45		2	2.30		75	86.21								87	
	FOURTH			2	100.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		9	10.34		3	3.45					75	86.21								87	
	FIFTH			1	33.33			Excluded					2	66.67								3	
		TOTAL		10	11.49								77	88.51								87	
													Elected										
																							
ABSENT																							
	FIRST			393	35.12		75	6.70		59	5.27		525	46.92		52	4.65		15	1.34		1119	
	SECOND			1	6.67		2	13.33		5	33.33		2	13.33		5	33.33			Excluded		15	
		TOTAL		394	35.21		77	6.88		64	5.72		527	47.10		57	5.09					1119	
	THIRD			6	10.53		21	36.84		5	8.77		25	43.86			Excluded					57	
		TOTAL		400	35.75		98	8.76		69	6.17		552	49.33								1119	
	FOURTH			39	56.52		12	17.39			Excluded		18	26.09								69	
		TOTAL		439	39.23		110	9.83					570	50.94								1119	
	FIFTH			37	33.64			Excluded					73	66.36								110	
		TOTAL		476	42.54								643	57.46								1119	
													Elected										
																							
POSTAL																							
	FIRST			765	62.14		51	4.14		92	7.47		289	23.48		29	2.36		5	0.41		1231	
	SECOND			1	20.00		2	40.00		0	0.00		0	0.00		2	40.00			Excluded		5	
		TOTAL		766	62.23		53	4.31		92	7.47		289	23.48		31	2.52					1231	
	THIRD			4	12.90		14	45.16		3	9.68		10	32.26			Excluded					31	
		TOTAL		770	62.55		67	5.44		95	7.72		299	24.29								1231	
	FOURTH			58	61.05		22	23.16			Excluded		15	15.79								95	
		TOTAL		828	67.26		89	7.23					314	25.51								1231	
	FIFTH			41	46.07			Excluded					48	53.93								89	
		TOTAL		869	70.59								362	29.41								1231	
													Elected										
																							
PRE POLL																							
	FIRST			1605	43.69		262	7.13		193	5.25		1419	38.62		150	4.08		45	1.22		3674	
	SECOND			8	17.78		12	26.67		5	11.11		8	17.78		12	26.67			Excluded		45	
		TOTAL		1613	43.90		274	7.46		198	5.39		1427	38.84		162	4.41					3674	
	THIRD			19	11.73		77	47.53		11	6.79		55	33.95			Excluded					162	
		TOTAL		1632	44.42		351	9.55		209	5.69		1482	40.34								3674	
	FOURTH			113	54.07		47	22.49			Excluded		49	23.44								209	
		TOTAL		1745	47.50		398	10.83					1531	41.67								3674	
	FIFTH			157	39.45			Excluded					241	60.55								398	
		TOTAL		1902	51.77								1772	48.23								3674	
													Elected										
																							
PROVISIONAL																							
	FIRST			116	29.44		14	3.55		10	2.54		235	59.64		14	3.55		5	1.27		394	
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		4	80.00			Excluded		5	
		TOTAL		117	29.70		14	3.55		10	2.54		235	59.64		18	4.57					394	
	THIRD			2	11.11		4	22.22		1	5.56		11	61.11			Excluded					18	
		TOTAL		119	30.20		18	4.57		11	2.79		246	62.44								394	
	FOURTH			3	27.27		3	27.27			Excluded		5	45.45								11	
		TOTAL		122	30.96		21	5.33					251	63.71								394	
	FIFTH			8	38.10			Excluded					13	61.90								21	
		TOTAL		130	32.99								264	67.01								394	
													Elected										
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
