Senate -1998 Election															
First Preference Votes by Candidate															
By Vote Type by Division															


New South Wales															

Banks (80108)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		Group Total	CEC	84	0.15	5	0.1	0	0	3	0.05	5	0.12	97	0.13
J		TICKET VOTES		342	0.6	2	0.04	1	0.16	1	0.02	2	0.05	348	0.48
		"MOULDFIELD, David"		1	0	0	0	0	0	0	0	0	0	1	0
		"HANDSOME HANDPUPPET, Paul-Ian"		0	0	0	0	0	0	1	0.02	0	0	1	0
		Group Total		343	0.6	2	0.04	1	0.16	2	0.03	2	0.05	350	0.48
K		TICKET VOTES	HAN	9366	16.49	652	12.6	123	19.62	910	14.27	612	14.72	11663	15.95
		"OLDFIELD, David"	HAN	312	0.55	25	0.48	3	0.48	35	0.55	69	1.66	444	0.61
		"BURSTON, Brian"	HAN	11	0.02	0	0	1	0.16	5	0.08	3	0.07	20	0.03
		"O'REGAN, Bevan"	HAN	12	0.02	2	0.04	0	0	2	0.03	6	0.14	22	0.03
		Group Total	HAN	9701	17.08	679	13.12	127	20.26	952	14.93	690	16.6	12149	16.62
L		TICKET VOTES	LNP	20021	35.26	2108	40.73	161	25.68	2241	35.14	1841	44.29	26372	36.07
	#	"HEFFERNAN, Bill"	LP	316	0.56	44	0.85	1	0.16	16	0.25	39	0.94	416	0.57
	#	"TIERNEY, John"	LP	16	0.03	1	0.02	0	0	0	0	1	0.02	18	0.02
		"MACDONALD, Sandy"	NP	63	0.11	7	0.14	0	0	12	0.19	17	0.41	99	0.14
		"FIERRAVANTI-WELLS, Concetta"	LP	8	0.01	0	0	0	0	0	0	2	0.05	10	0.01
		Group Total	LNP	20424	35.97	2160	41.74	162	25.84	2269	35.58	1900	45.71	26915	36.81
M		TICKET VOTES	DEM	1900	3.35	260	5.02	10	1.59	288	4.52	147	3.54	2605	3.56
	#	"RIDGEWAY, Aden"	DEM	224	0.39	33	0.64	2	0.32	18	0.28	15	0.36	292	0.4
		"BAIRD, Matthew"	DEM	2	0	0	0	1	0.16	1	0.02	1	0.02	5	0.01
		"REDDY, Suzanne"	DEM	11	0.02	1	0.02	2	0.32	2	0.03	4	0.1	20	0.03
		"MENDELSSOHN, David"	DEM	3	0.01	1	0.02	0	0	2	0.03	1	0.02	7	0.01
		Group Total	DEM	2140	3.77	295	5.7	15	2.39	311	4.88	168	4.04	2929	4.01
N		TICKET VOTES	DSL	99	0.17	11	0.21	0	0	12	0.19	2	0.05	124	0.17
		"CARMAN, Marina"	DSL	2	0	1	0.02	0	0	1	0.02	0	0	4	0.01
		"BOYLE, Peter"	DSL	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	DSL	101	0.18	12	0.23	0	0	13	0.2	2	0.05	128	0.18
O		TICKET VOTES	RAR	121	0.21	16	0.31	2	0.32	17	0.27	8	0.19	164	0.22
		"SMITH, Rodney"	RARI	2	0	0	0	0	0	0	0	2	0.05	4	0.01
		"WOODGER, Edwin"	RARI	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	RAR	123	0.22	16	0.31	2	0.32	17	0.27	10	0.24	168	0.23
P		TICKET VOTES		8	0.01	3	0.06	0	0	1	0.02	0	0	12	0.02
		"POULOS, Patricia"		0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		8	0.01	3	0.06	0	0	1	0.02	0	0	12	0.02
Q		TICKET VOTES	SEP	24	0.04	0	0	0	0	5	0.08	1	0.02	30	0.04
		"BEAMS, Nick"	SEP	0	0	0	0	0	0	1	0.02	0	0	1	0
		"DIVJAK, Carol"	SEP	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	SEP	25	0.04	0	0	0	0	6	0.09	1	0.02	32	0.04
R		TICKET VOTES		5	0.01	1	0.02	0	0	2	0.03	0	0	8	0.01
		"SCHOLLBACH, Robert F"		0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		5	0.01	1	0.02	0	0	2	0.03	0	0	8	0.01
S		TICKET VOTES		4	0.01	1	0.02	0	0	0	0	0	0	5	0.01
		"MELVILLE, Graeme"		1	0	0	0	0	0	0	0	0	0	1	0
		"BROADBRIDGE, Philip"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		5	0.01	1	0.02	0	0	0	0	0	0	6	0.01
T		TICKET VOTES	CTA	917	1.61	119	2.3	9	1.44	118	1.85	101	2.43	1264	1.73
		"McLENNAN, Graham Clarke"	CTA	112	0.2	18	0.35	1	0.16	11	0.17	16	0.38	158	0.22
		"PETERSON, Janne"	CTA	2	0	0	0	0	0	0	0	1	0.02	3	0
		"ALLANSON, Tom"	CTA	0	0	0	0	0	0	0	0	1	0.02	1	0
		"MORGAN, Rex L"	CTA	0	0	0	0	1	0.16	0	0	0	0	1	0
		"McLENNAN, Michael Stewart"	CTA	1	0	1	0.02	0	0	0	0	0	0	2	0
		Group Total	CTA	1032	1.82	138	2.67	11	1.75	129	2.02	119	2.86	1429	1.95
U		TICKET VOTES	GRN	384	0.68	82	1.58	9	1.44	87	1.36	26	0.63	588	0.8
		"SUTTON, John"	GRN	30	0.05	7	0.14	0	0	3	0.05	5	0.12	45	0.06
		"MOORE, Catherine"	GRN	5	0.01	0	0	0	0	0	0	1	0.02	6	0.01
		"RHIANNON, Lee"	GRN	0	0	0	0	0	0	0	0	0	0	0	0
		"RUSSELL, Susie"	GRN	0	0	0	0	0	0	1	0.02	2	0.05	3	0
		Group Total	GRN	419	0.74	89	1.72	9	1.44	91	1.43	34	0.82	642	0.88
V		TICKET VOTES		186	0.33	18	0.35	5	0.8	19	0.3	16	0.38	244	0.33
		"LI, Jason Yat-Sen"	UNI	10	0.02	2	0.04	0	0	1	0.02	3	0.07	16	0.02
		"STOCKREITER, Sonja"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"McGUID, Sam"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"GINGES, Kieran Daniel"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"HASSAPIS, Nicholas Victor"	UNI	1	0	0	0	0	0	0	0	1	0.02	2	0
		Group Total		197	0.35	20	0.39	5	0.8	20	0.31	20	0.48	262	0.36
UNGROUPED															
		"YAGLIPINAR, Mehmet"	IND	5	0.01	0	0	0	0	1	0.02	0	0	6	0.01
		"SARKS, Paul Anthony"	IND	6	0.01	0	0	0	0	1	0.02	0	0	7	0.01
		"VAUGHAN, Adrian"	IND	2	0	0	0	0	0	0	0	0	0	2	0
		"PANTSDOWN, Pauline"	IND	11	0.02	2	0.04	0	0	4	0.06	2	0.05	19	0.03
		"KUMAR, Tom"	IND	1	0	0	0	0	0	0	0	0	0	1	0
		"ROSS, Richard"	IND	4	0.01	0	0	0	0	0	0	0	0	4	0.01
		"JOSEPH, Stani R"	IND	0	0	0	0	0	0	0	0	0	0	0	0
		"PARSLOW, Party"	IND	2	0	0	0	0	0	0	0	0	0	2	0
		"POULSEN, Ron"		1	0	1	0.02	0	0	0	0	0	0	2	0
		Ungrouped Total		32	0.06	3	0.06	0	0	6	0.09	2	0.05	43	0.06
			FORMAL	56782	96.07	5175	98.67	627	96.17	6377	98.38	4157	99.07	73118	96.62
			INFORMAL	2320	3.93	70	1.33	25	3.83	105	1.62	39	0.93	2559	3.38
			TOTAL	59102	78.1	5245	6.93	652	0.86	6482	8.57	4196	5.54	75677	95.08



Parramatta (78800)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	400	0.71	40	0.56	6	0.69	9	0.23	20	0.41	475	0.65
		"SHEN, Victor"	FST	32	0.06	3	0.04	0	0	1	0.03	0	0	36	0.05
		"WILLSON, Greg"	FST	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	FST	433	0.77	43	0.6	6	0.69	10	0.26	20	0.41	512	0.7
B		TICKET VOTES	NAN	39	0.07	3	0.04	1	0.12	2	0.05	3	0.06	48	0.07
		"NASH, Chris"	NAN	9	0.02	0	0	0	0	0	0	0	0	9	0.01
		"WADDELL, Jane"	NAN	0	0	0	0	0	0	0	0	1	0.02	1	0
		Group Total	NAN	48	0.09	3	0.04	1	0.12	2	0.05	4	0.08	58	0.08
C		TICKET VOTES	NDP	46	0.08	13	0.18	3	0.35	6	0.16	6	0.12	74	0.1
		"DENBOROUGH, Michael"	NDP	3	0.01	0	0	0	0	1	0.03	0	0	4	0.01
		"FRANCIS, Yvonne"	NDP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NDP	49	0.09	13	0.18	3	0.35	7	0.18	6	0.12	78	0.11
D		TICKET VOTES		13	0.02	3	0.04	1	0.12	3	0.08	2	0.04	22	0.03
		"GALLAGHER, Mick"		8	0.01	1	0.01	0	0	1	0.03	0	0	10	0.01
		"MAWSON, John A"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		21	0.04	4	0.06	1	0.12	4	0.1	2	0.04	32	0.04
E		TICKET VOTES	NLP	31	0.06	13	0.18	0	0	1	0.03	1	0.02	46	0.06
		"NOLAN, Richard"	NLP	3	0.01	0	0	0	0	1	0.03	0	0	4	0.01
		"SEYMOUR, Bev"	NLP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	NLP	34	0.06	13	0.18	0	0	2	0.05	1	0.02	50	0.07
F		TICKET VOTES	ACS	51	0.09	11	0.15	2	0.23	6	0.16	2	0.04	72	0.1
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	7	0.01	1	0.01	0	0	0	0	1	0.02	9	0.01
		"MEZINEC, Richard"	ACS	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	ACS	59	0.1	12	0.17	2	0.23	6	0.16	3	0.06	82	0.11
G		TICKET VOTES		87	0.15	19	0.27	0	0	6	0.16	7	0.14	119	0.16
		"LEES, Malcolm"		24	0.04	9	0.13	0	0	1	0.03	2	0.04	36	0.05
		"RANKIN, Warwick"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		112	0.2	28	0.39	0	0	7	0.18	9	0.19	156	0.21
H		TICKET VOTES	ALP	20472	36.37	2360	33.03	430	49.65	1465	38.08	1596	32.83	26323	36.05
	#	"HUTCHINS, Steve"	ALP	318	0.56	42	0.59	4	0.46	36	0.94	31	0.64	431	0.59
	#	"FAULKNER, John"	ALP	40	0.07	6	0.08	1	0.12	4	0.1	9	0.19	60	0.08
	#	"FORSHAW, Michael"	ALP	11	0.02	1	0.01	0	0	4	0.1	1	0.02	17	0.02
		"STEPHENS, Ursula"	ALP	35	0.06	5	0.07	0	0	4	0.1	7	0.14	51	0.07
		Group Total	ALP	20876	37.09	2414	33.79	435	50.23	1513	39.33	1644	33.81	26882	36.82
I		TICKET VOTES	CEC	85	0.15	8	0.11	0	0	7	0.18	1	0.02	101	0.14
		"BUTLER, Robert H"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		"COLLINS, Glenys"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		"COSGROVE, Lindsay David"	CEC	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CEC	85	0.15	8	0.11	0	0	7	0.18	1	0.02	101	0.14
J		TICKET VOTES		37	0.07	2	0.03	0	0	2	0.05	1	0.02	42	0.06
		"MOULDFIELD, David"		1	0	0	0	0	0	0	0	0	0	1	0
		"HANDSOME HANDPUPPET, Paul-Ian"		2	0	0	0	0	0	0	0	0	0	2	0
		Group Total		40	0.07	2	0.03	0	0	2	0.05	1	0.02	45	0.06
K		TICKET VOTES	HAN	3837	6.82	513	7.18	61	7.04	242	6.29	301	6.19	4954	6.79
		"OLDFIELD, David"	HAN	376	0.67	34	0.48	4	0.46	27	0.7	40	0.82	481	0.66
		"BURSTON, Brian"	HAN	6	0.01	2	0.03	0	0	0	0	1	0.02	9	0.01
		"O'REGAN, Bevan"	HAN	8	0.01	1	0.01	0	0	0	0	3	0.06	12	0.02
		Group Total	HAN	4227	7.51	550	7.7	65	7.51	269	6.99	345	7.1	5456	7.47
L		TICKET VOTES	LNP	21883	38.87	2883	40.36	241	27.83	1377	35.79	2153	44.28	28537	39.09
	#	"HEFFERNAN, Bill"	LP	351	0.62	40	0.56	2	0.23	36	0.94	53	1.09	482	0.66
	#	"TIERNEY, John"	LP	15	0.03	1	0.01	0	0	1	0.03	4	0.08	21	0.03
		"MACDONALD, Sandy"	NP	14	0.02	2	0.03	0	0	3	0.08	2	0.04	21	0.03
		"FIERRAVANTI-WELLS, Concetta"	LP	16	0.03	1	0.01	0	0	0	0	0	0	17	0.02
		Group Total	LNP	22279	39.58	2927	40.97	243	28.06	1417	36.83	2212	45.5	29078	39.83
M		TICKET VOTES	DEM	3328	5.91	522	7.31	33	3.81	237	6.16	258	5.31	4378	6
	#	"RIDGEWAY, Aden"	DEM	464	0.82	56	0.78	1	0.12	28	0.73	43	0.88	592	0.81
		"BAIRD, Matthew"	DEM	6	0.01	1	0.01	1	0.12	0	0	2	0.04	10	0.01
		"REDDY, Suzanne"	DEM	36	0.06	4	0.06	0	0	5	0.13	6	0.12	51	0.07
		"MENDELSSOHN, David"	DEM	11	0.02	2	0.03	0	0	1	0.03	2	0.04	16	0.02
		Group Total	DEM	3845	6.83	585	8.19	35	4.04	271	7.04	311	6.4	5047	6.91
N		TICKET VOTES	DSL	109	0.19	12	0.17	2	0.23	6	0.16	2	0.04	131	0.18
		"CARMAN, Marina"	DSL	2	0	1	0.01	0	0	0	0	0	0	3	0
		"BOYLE, Peter"	DSL	0	0	1	0.01	0	0	0	0	0	0	1	0
		Group Total	DSL	111	0.2	14	0.2	2	0.23	6	0.16	2	0.04	135	0.18
O		TICKET VOTES	RAR	100	0.18	26	0.36	4	0.46	14	0.36	14	0.29	158	0.22
		"SMITH, Rodney"	RARI	8	0.01	0	0	0	0	1	0.03	3	0.06	12	0.02
		"WOODGER, Edwin"	RARI	1	0	0	0	0	0	0	0	1	0.02	2	0
		Group Total	RAR	109	0.19	26	0.36	4	0.46	15	0.39	18	0.37	172	0.24
P		TICKET VOTES		5	0.01	2	0.03	0	0	0	0	0	0	7	0.01
		"POULOS, Patricia"		3	0.01	0	0	0	0	0	0	0	0	3	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		8	0.01	2	0.03	0	0	0	0	0	0	10	0.01
Q		TICKET VOTES	SEP	30	0.05	3	0.04	1	0.12	3	0.08	3	0.06	40	0.05
		"BEAMS, Nick"	SEP	5	0.01	0	0	0	0	0	0	0	0	5	0.01
		"DIVJAK, Carol"	SEP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	SEP	35	0.06	3	0.04	1	0.12	3	0.08	3	0.06	45	0.06
R		TICKET VOTES		9	0.02	1	0.01	0	0	1	0.03	0	0	11	0.02
		"SCHOLLBACH, Robert F"		0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		9	0.02	1	0.01	0	0	1	0.03	0	0	11	0.02
S		TICKET VOTES		5	0.01	1	0.01	0	0	0	0	0	0	6	0.01
		"MELVILLE, Graeme"		3	0.01	1	0.01	0	0	0	0	0	0	4	0.01
		"BROADBRIDGE, Philip"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		9	0.02	2	0.03	0	0	0	0	0	0	11	0.02
T		TICKET VOTES	CTA	758	1.35	137	1.92	11	1.27	77	2	83	1.71	1066	1.46
		"McLENNAN, Graham Clarke"	CTA	111	0.2	24	0.34	0	0	8	0.21	17	0.35	160	0.22
		"PETERSON, Janne"	CTA	3	0.01	0	0	0	0	0	0	0	0	3	0
		"ALLANSON, Tom"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		"MORGAN, Rex L"	CTA	1	0	0	0	0	0	0	0	0	0	1	0
		"McLENNAN, Michael Stewart"	CTA	4	0.01	1	0.01	0	0	0	0	0	0	5	0.01
		Group Total	CTA	877	1.56	162	2.27	11	1.27	85	2.21	100	2.06	1235	1.69
U		TICKET VOTES	GRN	689	1.22	173	2.42	12	1.39	70	1.82	51	1.05	995	1.36
		"SUTTON, John"	GRN	105	0.19	16	0.22	1	0.12	10	0.26	13	0.27	145	0.2
		"MOORE, Catherine"	GRN	6	0.01	0	0	0	0	0	0	1	0.02	7	0.01
		"RHIANNON, Lee"	GRN	1	0	0	0	0	0	0	0	0	0	1	0
		"RUSSELL, Susie"	GRN	5	0.01	1	0.01	0	0	0	0	0	0	6	0.01
		Group Total	GRN	806	1.43	190	2.66	13	1.5	80	2.08	65	1.34	1154	1.58
V		TICKET VOTES		2112	3.75	123	1.72	42	4.85	130	3.38	98	2.02	2505	3.43
		"LI, Jason Yat-Sen"	UNI	58	0.1	7	0.1	2	0.23	9	0.23	9	0.19	85	0.12
		"STOCKREITER, Sonja"	UNI	2	0	0	0	0	0	0	0	0	0	2	0
		"McGUID, Sam"	UNI	0	0	0	0	0	0	0	0	0	0	0	0
		"GINGES, Kieran Daniel"	UNI	3	0.01	0	0	0	0	0	0	0	0	3	0
		"HASSAPIS, Nicholas Victor"	UNI	0	0	1	0.01	0	0	0	0	0	0	1	0
		Group Total		2175	3.86	131	1.83	44	5.08	139	3.61	107	2.2	2596	3.56
UNGROUPED															
		"YAGLIPINAR, Mehmet"	IND	2	0	2	0.03	0	0	0	0	0	0	4	0.01
		"SARKS, Paul Anthony"	IND	2	0	0	0	0	0	0	0	0	0	2	0
		"VAUGHAN, Adrian"	IND	0	0	0	0	0	0	0	0	1	0.02	1	0
		"PANTSDOWN, Pauline"	IND	36	0.06	5	0.07	0	0	1	0.03	5	0.1	47	0.06
		"KUMAR, Tom"	IND	1	0	0	0	0	0	0	0	0	0	1	0
		"ROSS, Richard"	IND	3	0.01	2	0.03	0	0	0	0	1	0.02	6	0.01
		"JOSEPH, Stani R"	IND	0	0	0	0	0	0	0	0	1	0.02	1	0
		"PARSLOW, Party"	IND	1	0	2	0.03	0	0	0	0	0	0	3	0
		"POULSEN, Ron"		0	0	0	0	0	0	0	0	0	0	0	0
		Ungrouped Total		45	0.08	11	0.15	0	0	1	0.03	8	0.16	65	0.09
			FORMAL	56292	96.58	7144	97.94	866	97.52	3847	98.82	4862	99.14	73011	97.01
			INFORMAL	1991	3.42	150	2.06	22	2.48	46	1.18	42	0.86	2251	2.99
			TOTAL	58283	77.44	7294	9.69	888	1.18	3893	5.17	4904	6.52	75262	95.51



Paterson (82019)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	FST	423	0.67	28	0.55	6	0.8	19	0.39	11	0.29	487	0.63
		"SHEN, Victor"	FST	31	0.05	5	0.1	1	0.13	1	0.02	1	0.03	39	0.05
		"WILLSON, Greg"	FST	0	0	1	0.02	0	0	1	0.02	0	0	2	0
		Group Total	FST	454	0.72	34	0.67	7	0.94	21	0.44	12	0.32	528	0.68
B		TICKET VOTES	NAN	59	0.09	4	0.08	0	0	3	0.06	3	0.08	69	0.09
		"NASH, Chris"	NAN	3	0	1	0.02	0	0	0	0	0	0	4	0.01
		"WADDELL, Jane"	NAN	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NAN	63	0.1	5	0.1	0	0	3	0.06	3	0.08	74	0.1
C		TICKET VOTES	NDP	106	0.17	11	0.22	2	0.27	9	0.19	1	0.03	129	0.17
		"DENBOROUGH, Michael"	NDP	8	0.01	1	0.02	0	0	4	0.08	2	0.05	15	0.02
		"FRANCIS, Yvonne"	NDP	1	0	1	0.02	0	0	0	0	1	0.03	3	0
		Group Total	NDP	115	0.18	13	0.26	2	0.27	13	0.27	4	0.11	147	0.19
D		TICKET VOTES		23	0.04	0	0	0	0	1	0.02	0	0	24	0.03
		"GALLAGHER, Mick"		1	0	0	0	0	0	0	0	0	0	1	0
		"MAWSON, John A"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		25	0.04	0	0	0	0	1	0.02	0	0	26	0.03
E		TICKET VOTES	NLP	66	0.1	12	0.24	2	0.27	8	0.17	0	0	88	0.11
		"NOLAN, Richard"	NLP	2	0	0	0	0	0	0	0	0	0	2	0
		"SEYMOUR, Bev"	NLP	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	NLP	69	0.11	12	0.24	2	0.27	8	0.17	0	0	91	0.12
F		TICKET VOTES	ACS	99	0.16	15	0.3	3	0.4	3	0.06	5	0.13	125	0.16
		"ABOLISH CHILD SUPPORT AND FAMILY COURT, Justice"	ACS	6	0.01	0	0	0	0	1	0.02	2	0.05	9	0.01
		"MEZINEC, Richard"	ACS	1	0	0	0	0	0	1	0.02	0	0	2	0
		Group Total	ACS	106	0.17	15	0.3	3	0.4	5	0.1	7	0.19	136	0.18
G		TICKET VOTES		22	0.03	3	0.06	0	0	0	0	0	0	25	0.03
		"LEES, Malcolm"		2	0	1	0.02	0	0	0	0	0	0	3	0
		"RANKIN, Warwick"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		24	0.04	4	0.08	0	0	0	0	0	0	28	0.04
H		TICKET VOTES	ALP	25140	39.93	1914	37.65	328	43.97	1771	36.78	1355	36.31	30508	39.45
	#	"HUTCHINS, Steve"	ALP	273	0.43	24	0.47	3	0.4	24	0.5	26	0.7	350	0.45
	#	"FAULKNER, John"	ALP	27	0.04	2	0.04	0	0	1	0.02	4	0.11	34	0.04
	#	"FORSHAW, Michael"	ALP	8	0.01	1	0.02	0	0	0	0	0	0	9	0.01
		"STEPHENS, Ursula"	ALP	19	0.03	2	0.04	0	0	1	0.02	2	0.05	24	0.03
		Group Total	ALP	25467	40.45	1943	38.23	331	44.37	1797	37.32	1387	37.17	30925	39.98
I		TICKET VOTES	CEC	118	0.19	6	0.12	1	0.13	5	0.1	2	0.05	132	0.17
		"BUTLER, Robert H"	CEC	4	0.01	1	0.02	0	0	0	0	1	0.03	6	0.01
		"COLLINS, Glenys"	CEC	1	0	0	0	0	0	0	0	0	0	1	0
		"COSGROVE, Lindsay David"	CEC	1	0	0	0	0	0	0	0	0	0	1	0
		Group Total	CEC	124	0.2	7	0.14	1	0.13	5	0.1	3	0.08	140	0.18
J		TICKET VOTES		48	0.08	3	0.06	0	0	2	0.04	0	0	53	0.07
		"MOULDFIELD, David"		0	0	0	0	0	0	0	0	0	0	0	0
		"HANDSOME HANDPUPPET, Paul-Ian"		2	0	0	0	0	0	0	0	0	0	2	0
		Group Total		50	0.08	3	0.06	0	0	2	0.04	0	0	55	0.07
K		TICKET VOTES	HAN	6103	9.69	495	9.74	97	13	541	11.24	401	10.74	7637	9.87
		"OLDFIELD, David"	HAN	330	0.52	32	0.63	2	0.27	33	0.69	26	0.7	423	0.55
		"BURSTON, Brian"	HAN	11	0.02	1	0.02	0	0	0	0	1	0.03	13	0.02
		"O'REGAN, Bevan"	HAN	8	0.01	0	0	0	0	2	0.04	1	0.03	11	0.01
		Group Total	HAN	6452	10.25	528	10.39	99	13.27	576	11.96	429	11.5	8084	10.45
L		TICKET VOTES	LNP	23773	37.76	1842	36.24	225	30.16	1787	37.11	1455	38.99	29082	37.6
	#	"HEFFERNAN, Bill"	LP	240	0.38	15	0.3	1	0.13	21	0.44	40	1.07	317	0.41
	#	"TIERNEY, John"	LP	32	0.05	2	0.04	0	0	4	0.08	6	0.16	44	0.06
		"MACDONALD, Sandy"	NP	14	0.02	2	0.04	0	0	1	0.02	2	0.05	19	0.02
		"FIERRAVANTI-WELLS, Concetta"	LP	5	0.01	0	0	0	0	0	0	2	0.05	7	0.01
		Group Total	LNP	24064	38.22	1861	36.61	226	30.29	1813	37.65	1505	40.33	29469	38.1
M		TICKET VOTES	DEM	3008	4.78	298	5.86	33	4.42	286	5.94	195	5.23	3820	4.94
	#	"RIDGEWAY, Aden"	DEM	293	0.47	36	0.71	1	0.13	14	0.29	18	0.48	362	0.47
		"BAIRD, Matthew"	DEM	4	0.01	2	0.04	0	0	1	0.02	2	0.05	9	0.01
		"REDDY, Suzanne"	DEM	25	0.04	2	0.04	0	0	3	0.06	4	0.11	34	0.04
		"MENDELSSOHN, David"	DEM	12	0.02	1	0.02	0	0	1	0.02	1	0.03	15	0.02
		Group Total	DEM	3342	5.31	339	6.67	34	4.56	305	6.33	220	5.89	4240	5.48
N		TICKET VOTES	DSL	110	0.17	12	0.24	3	0.4	6	0.12	3	0.08	134	0.17
		"CARMAN, Marina"	DSL	7	0.01	2	0.04	0	0	2	0.04	0	0	11	0.01
		"BOYLE, Peter"	DSL	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	DSL	117	0.19	14	0.28	3	0.4	8	0.17	3	0.08	145	0.19
O		TICKET VOTES	RAR	88	0.14	14	0.28	2	0.27	15	0.31	15	0.4	134	0.17
		"SMITH, Rodney"	RARI	3	0	1	0.02	0	0	0	0	1	0.03	5	0.01
		"WOODGER, Edwin"	RARI	0	0	0	0	0	0	0	0	1	0.03	1	0
		Group Total	RAR	91	0.14	15	0.3	2	0.27	15	0.31	17	0.46	140	0.18
P		TICKET VOTES		6	0.01	1	0.02	0	0	2	0.04	0	0	9	0.01
		"POULOS, Patricia"		0	0	0	0	0	0	0	0	0	0	0	0
		"HOLLEY, John"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		6	0.01	1	0.02	0	0	2	0.04	0	0	9	0.01
Q		TICKET VOTES	SEP	22	0.03	3	0.06	0	0	3	0.06	0	0	28	0.04
		"BEAMS, Nick"	SEP	0	0	1	0.02	0	0	0	0	0	0	1	0
		"DIVJAK, Carol"	SEP	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	SEP	22	0.03	4	0.08	0	0	3	0.06	0	0	29	0.04
R		TICKET VOTES		4	0.01	0	0	0	0	1	0.02	0	0	5	0.01
		"SCHOLLBACH, Robert F"		0	0	0	0	0	0	0	0	0	0	0	0
		"STIRLING, Amanda Jane"		1	0	0	0	0	0	0	0	0	0	1	0
		Group Total		5	0.01	0	0	0	0	1	0.02	0	0	6	0.01
S		TICKET VOTES		7	0.01	1	0.02	0	0	0	0	0	0	8	0.01
		"MELVILLE, Graeme"		2	0	0	0	0	0	0	0	1	0.03	3	0
		"BROADBRIDGE, Philip"		0	0	0	0	0	0	0	0	0	0	0	0
		Group Total		9	0.01	1	0.02	0	0	0	0	1	0.03	11	0.01
T		TICKET VOTES	CTA	805	1.28	104	2.05	9	1.21	87	1.81	64	1.71	1069	1.38
		"McLENNAN, Graham Clarke"	CTA	94	0.15	8	0.16	1	0.13	8	0.17	12	0.32	123	0.16
		"PETERSON, Janne"	CTA	3	0	0	0	0	0	0	0	0	0	3	0
		"ALLANSON, Tom"	CTA	4	0.01	1	0.02	0	0	0	0	0	0	5	0.01
		"MORGAN, Rex L"	CTA	5	0.01	0	0	0	0	1	0.02	0	0	6	0.01
		"McLENNAN, Michael Stewart"	CTA	0	0	0	0	0	0	0	0	0	0	0	0
		Group Total	CTA	911	1.45	113	2.22	10	1.34	96	1.99	76	2.04	1206	1.56
U		TICKET VOTES	GRN	1094	1.74	130	2.56	20	2.68	93	1.93	48	1.29	1385	1.79
		"SUTTON, John"	GRN	118	0.19	11	0.22	2	0.27	11	0.23	4	0.11	146	0.19
		"MOORE, Catherine"	GRN	6	0.01	2	0.04	1	0.13	2	0.04	1	0.03	12	0.02
		"RHIANNON, Lee"	GRN	2	0	0	0	0	0	0	0	0	0	2	0
		"RUSSELL, Susie"	GRN	7	0.01	1	0.02	0	0	1	0.02	1	0.03	10	0.01
		Group Total	GRN	1227	1.95	144	2.83	23	3.08	107	2.22	54	1.45	1555	2.01
