Senate - 1998 Election						
First Preference Votes by Candidate						
By State						

New South Wales						
Enrolment 4076081						
State Quota 536533						

Candidates			Party	Votes	%	Quota
		"CONWAY, Peter Michael"	ALP	777	0.39	0.01
		Group Total	ALP	83867	42.56	1.28
G		TICKET VOTES	GRN	4121	2.09	0.06
		"FOSKEY, Deb"	GRN	2041	1.04	0.03
		"CHRISTIAN, Lesley Anne"	GRN	223	0.11	0
		Group Total	GRN	6385	3.24	0.1
UNGROUPED						
		"HARRIS, Cec"	IND	170	0.09	0
		"EDGAR, Andrew"	IND	107	0.05	0
		"MILLER, John"	CDP	923	0.47	0.01
		Ungrouped Total		1200	0.61	0.02
			FORMAL	197035	98.03	
			INFORMAL	3952	1.97	
			TOTAL	200987	95.92	


Northern Territory						
Enrolment 105048						
Territory Quota 31001						

Candidates			Party	Votes	%	Quota
A		TICKET VOTES	GRN	3058	3.29	0.1
		"MARTIN, Lex"	GRN	1038	1.12	0.03
		"GOUGH, Andy"	GRN	136	0.15	0
		Group Total	GRN	4232	4.55	0.14
B		TICKET VOTES	CLP	31892	34.29	1.03
	#	"TAMBLING, Grant"	CLP	3520	3.78	0.11
		"AUSTIN, Maisie Pauline"	CLP	651	0.7	0.02
		Group Total	CLP	36063	38.78	1.16
C		TICKET VOTES	DEM	3676	3.95	0.12
		"EDWARDS, Victor"	DEM	1252	1.35	0.04
		"CLEMENTS, Peter"	DEM	191	0.21	0.01
		Group Total	DEM	5119	5.5	0.17
D		TICKET VOTES	HAN	6978	7.5	0.23
		"HAGGER, Ted"	HAN	1341	1.44	0.04
		"MILLS, Dee"	HAN	338	0.36	0.01
		Group Total	HAN	8657	9.31	0.28
E		TICKET VOTES	ALP	34024	36.58	1.1
	#	"CROSSIN, Trish"	ALP	3698	3.98	0.12
		"PHILLIPS, Charlie"	ALP	537	0.58	0.02
		Group Total	ALP	38259	41.14	1.23
UNGROUPED						
		"POLKE, Jonathan"	IND	672	0.72	0.02
		Ungrouped Total		672	0.72	0.02
			FORMAL	93002	98.01	
			INFORMAL	1887	1.99	
			TOTAL	94889	90.33	
