Senate - 1998 Election															
First Preference Votes by Candidate															
By Vote Type by State															


New South Wales															
Enrolment 4076081															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"BUCKLEY, Ray"	OAP	30	0	2	0	0	0	4	0	0	0	36	0
		Group Total	OAP	6305	0.38	604	0.43	84	0.63	451	0.44	128	0.14	7572	0.38
L		TICKET VOTES	NLP	1314	0.08	176	0.13	27	0.2	114	0.11	44	0.05	1675	0.08
		"WILSON, Geoff"	NLP	64	0	10	0.01	1	0.01	7	0.01	8	0.01	90	0
		"McKENZIE, Dorothy"	NLP	12	0	5	0	0	0	0	0	0	0	17	0
		Group Total	NLP	1390	0.08	191	0.14	28	0.21	121	0.12	52	0.06	1782	0.09
M		TICKET VOTES	ARP	1461	0.09	117	0.08	26	0.19	97	0.1	69	0.08	1770	0.09
		"MOLONEY, Brenda Mary"	ARP	123	0.01	14	0.01	0	0	8	0.01	5	0.01	150	0.01
		"FLEMING, Terry"	ARP	78	0	4	0	0	0	4	0	5	0.01	91	0
		Group Total	ARP	1662	0.1	135	0.1	26	0.19	109	0.11	79	0.09	2011	0.1
N		TICKET VOTES	DEM	119385	7.21	10485	7.47	591	4.41	6511	6.4	4189	4.58	141161	7.04
	#	"WOODLEY, John"	DEM	11293	0.68	956	0.68	39	0.29	653	0.64	537	0.59	13478	0.67
		"CHERRY, John Clifford"	DEM	181	0.01	16	0.01	0	0	17	0.02	12	0.01	226	0.01
		"BATHURST, Megan Jane"	DEM	1217	0.07	158	0.11	4	0.03	99	0.1	108	0.12	1586	0.08
		Group Total	DEM	132076	7.97	11615	8.28	634	4.73	7280	7.15	4846	5.3	156451	7.81
O		TICKET VOTES	ACS	3819	0.23	286	0.2	76	0.57	174	0.17	174	0.19	4529	0.23
		"THE FAMILY COURT REFUSES MY DAUR, Bruce"	ACS	271	0.02	30	0.02	2	0.01	16	0.02	35	0.04	354	0.02
		"SOUTHALL, Steve"	ACS	13	0	2	0	1	0.01	1	0	5	0.01	22	0
		Group Total	ACS	4103	0.25	318	0.23	79	0.59	191	0.19	214	0.23	4905	0.24
P		TICKET VOTES	ALP	532986	32.17	43275	30.84	5331	39.78	30699	30.16	27383	29.95	639674	31.92
	#	"McLUCAS, Jan"	ALP	10856	0.66	1042	0.74	87	0.65	724	0.71	800	0.88	13509	0.67
	#	"LUDWIG, Joe"	ALP	542	0.03	55	0.04	14	0.1	43	0.04	55	0.06	709	0.04
		"PIASECKI, Jann"	ALP	556	0.03	65	0.05	3	0.02	46	0.05	61	0.07	731	0.04
		Group Total	ALP	544940	32.89	44437	31.67	5435	40.55	31512	30.96	28299	30.96	654623	32.67
Q		TICKET VOTES	LP	456521	27.55	40366	28.77	3058	22.82	32739	32.16	24766	27.09	557450	27.82
	#	"PARER, Warwick"	LP	8524	0.51	936	0.67	37	0.28	678	0.67	781	0.85	10956	0.55
	#	"MASON, Brett"	LP	357	0.02	47	0.03	1	0.01	27	0.03	33	0.04	465	0.02
		"MacGIBBON, David"	LP	558	0.03	70	0.05	1	0.01	48	0.05	78	0.09	755	0.04
		"KEMBER, Deborah"	LP	762	0.05	112	0.08	4	0.03	77	0.08	111	0.12	1066	0.05
		Group Total	LP	466722	28.17	41531	29.6	3101	23.14	33569	32.98	25769	28.19	570692	28.48
R		TICKET VOTES	AWP	6504	0.39	889	0.63	76	0.57	423	0.42	382	0.42	8274	0.41
		"KELLY, Mary"	AWP	629	0.04	62	0.04	1	0.01	50	0.05	40	0.04	782	0.04
		"HUGHEY, Jenny"	AWP	36	0	4	0	1	0.01	3	0	3	0	47	0
		Group Total	AWP	7169	0.43	955	0.68	78	0.58	476	0.47	425	0.46	9103	0.45
S		TICKET VOTES		512	0.03	53	0.04	9	0.07	19	0.02	13	0.01	606	0.03
		"JOHNSTON, Selwyn N. L."		43	0	4	0	0	0	1	0	2	0	50	0
		"JOHNSTON, Aaron M."		5	0	0	0	0	0	0	0	0	0	5	0
		Group Total		560	0.03	57	0.04	9	0.07	20	0.02	15	0.02	661	0.03
T		TICKET VOTES	DSL	3287	0.2	391	0.28	32	0.24	194	0.19	84	0.09	3988	0.2
		"GIANNIOTIS, Andy"	DSL	276	0.02	29	0.02	2	0.01	19	0.02	9	0.01	335	0.02
		"WYNTER, Coral"	DSL	52	0	8	0.01	2	0.01	6	0.01	3	0	71	0
		Group Total	DSL	3615	0.22	428	0.31	36	0.27	219	0.22	96	0.11	4394	0.22
U		TICKET VOTES	GRN	28855	1.74	4188	2.98	506	3.78	2398	2.36	1101	1.2	37048	1.85
		"HUTTON, Drew"	GRN	3835	0.23	420	0.3	37	0.28	290	0.28	211	0.23	4793	0.24
		"MAHONEY, Desiree"	GRN	216	0.01	25	0.02	2	0.01	20	0.02	15	0.02	278	0.01
		"GWIN, Chris"	GRN	110	0.01	14	0.01	4	0.03	8	0.01	9	0.01	145	0.01
		Group Total	GRN	33016	1.99	4647	3.31	549	4.1	2716	2.67	1336	1.46	42264	2.11
UNGROUPED															
		"MacNEVIN, Michelle J."	IND	390	0.02	33	0.02	4	0.03	23	0.02	34	0.04	484	0.02
		"SHARPLES, Terry"	IND	31	0	6	0	1	0.01	6	0.01	7	0.01	51	0
		"DALTON, Kenny"	IND	128	0.01	9	0.01	0	0	5	0	5	0.01	147	0.01
		"HODGETTS, Doug"	IND	15	0	3	0	1	0.01	0	0	2	0	21	0
		"PEACH, Bryan"	IND	106	0.01	15	0.01	0	0	10	0.01	10	0.01	141	0.01
		Ungrouped Total		670	0.04	66	0.05	6	0.04	44	0.04	58	0.06	844	0.04
			FORMAL	1656791	96.64	140315	98.43	13402	97.07	101788	98.77	91414	98.54	2003710	96.96
			INFORMAL	57594	3.36	2242	1.57	405	2.93	1266	1.23	1352	1.46	62859	3.04
			TOTAL	1714385	82.96	142557	6.9	13807	0.67	103054	4.99	92766	4.49	2066569	94.45



Western Australia															
Enrolment 1149619															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	HAN	82867	9.28	7752	9.37	1162	11.15	4074	8.46	3221	10.88	99076	9.31
		"FISCHER, John"	HAN	8747	0.98	757	0.91	82	0.79	480	1	516	1.74	10582	0.99
		"TINCKNELL, Colin"	HAN	327	0.04	30	0.04	11	0.11	18	0.04	27	0.09	413	0.04
		"SUTER, Martin"	HAN	166	0.02	16	0.02	1	0.01	16	0.03	24	0.08	223	0.02
		Group Total	HAN	92107	10.31	8555	10.34	1256	12.05	4588	9.52	3788	12.8	110294	10.37
B		TICKET VOTES	ASP	2461	0.28	398	0.48	62	0.59	194	0.4	105	0.35	3220	0.3
		"MOTTERAM, Raymond William"	ASP	381	0.04	42	0.05	7	0.07	44	0.09	33	0.11	507	0.05
		"TAYLOR, Ken"	ASP	21	0	5	0.01	0	0	0	0	1	0	27	0
		Group Total	ASP	2863	0.32	445	0.54	69	0.66	238	0.49	139	0.47	3754	0.35
C		TICKET VOTES	NP	9939	1.11	1271	1.54	87	0.83	533	1.11	565	1.91	12395	1.16
		"MORGAN, Beryle"	NP	721	0.08	80	0.1	3	0.03	41	0.09	65	0.22	910	0.09
		"MASLEN, Dudley"	NP	88	0.01	16	0.02	0	0	4	0.01	16	0.05	124	0.01
		Group Total	NP	10748	1.2	1367	1.65	90	0.86	578	1.2	646	2.18	13429	1.26
D		TICKET VOTES	NLP	1536	0.17	163	0.2	36	0.35	108	0.22	43	0.15	1886	0.18
		"KAILIS, George"	NLP	182	0.02	31	0.04	3	0.03	15	0.03	4	0.01	235	0.02
		"D'CRUZ, Cathryn"	NLP	31	0	4	0	0	0	3	0.01	2	0.01	40	0
		Group Total	NLP	1749	0.2	198	0.24	39	0.37	126	0.26	49	0.17	2161	0.2
E		TICKET VOTES	LP	331712	37.14	31375	37.92	3077	29.52	19376	40.22	11876	40.12	397416	37.35
	#	"ELLISON, Christopher"	LP	6618	0.74	652	0.79	55	0.53	492	1.02	422	1.43	8239	0.77
	#	"CAMPBELL, Ian Gordon"	LP	679	0.08	85	0.1	3	0.03	58	0.12	55	0.19	880	0.08
	#	"KNOWLES, Sue"	LP	1464	0.16	197	0.24	8	0.08	113	0.23	129	0.44	1911	0.18
		"IVANKOVIC, Ivan"	LP	219	0.02	31	0.04	0	0	28	0.06	24	0.08	302	0.03
		Group Total	LP	340692	38.15	32340	39.08	3143	30.15	20067	41.65	12506	42.25	408748	38.41
F		TICKET VOTES	TPS	425	0.05	34	0.04	6	0.06	14	0.03	8	0.03	487	0.05
		"BATESON, Alan"	TPS	41	0	6	0.01	0	0	3	0.01	4	0.01	54	0.01
		"FINNEY, Rick"	TPS	6	0	2	0	0	0	0	0	0	0	8	0
		Group Total	TPS	472	0.05	42	0.05	6	0.06	17	0.04	12	0.04	549	0.05
G		TICKET VOTES		1612	0.18	129	0.16	32	0.31	94	0.2	28	0.09	1895	0.18
		"WILKES, Ted"	UNI	248	0.03	36	0.04	4	0.04	17	0.04	12	0.04	317	0.03
		"LEUNG, Mai-Yie"	UNI	39	0	3	0	0	0	1	0	1	0	44	0
		"CAREY, Michael John"	UNI	12	0	1	0	0	0	1	0	1	0	15	0
		Group Total		1911	0.21	169	0.2	36	0.35	113	0.23	42	0.14	2271	0.21
H		TICKET VOTES	ACS	1230	0.14	202	0.24	43	0.41	86	0.18	41	0.14	1602	0.15
		"GRIFFIN, Brendan"	ACS	255	0.03	29	0.04	5	0.05	20	0.04	22	0.07	331	0.03
		"JOHNSON, Sam"	ACS	8	0	2	0	0	0	0	0	0	0	10	0
		Group Total	ACS	1493	0.17	233	0.28	48	0.46	106	0.22	63	0.21	1943	0.18
I		TICKET VOTES	CEC	1180	0.13	108	0.13	16	0.15	36	0.07	29	0.1	1369	0.13
		"DRAKE, Tony"	CEC	86	0.01	9	0.01	2	0.02	5	0.01	6	0.02	108	0.01
		"ROBINSON, Jean"	CEC	13	0	3	0	0	0	1	0	2	0.01	19	0
		Group Total	CEC	1279	0.14	120	0.15	18	0.17	42	0.09	37	0.12	1496	0.14
J		TICKET VOTES	ALP	305276	34.18	25092	30.32	4188	40.18	14891	30.91	8402	28.38	357849	33.63
	#	"COOK, Peter"	ALP	7376	0.83	721	0.87	97	0.93	540	1.12	339	1.15	9073	0.85
	#	"EVANS, Chris"	ALP	423	0.05	61	0.07	14	0.13	29	0.06	20	0.07	547	0.05
		"GRIFFITHS, Rhonda"	ALP	459	0.05	58	0.07	5	0.05	25	0.05	29	0.1	576	0.05
		"ELLERY, Sue"	ALP	259	0.03	39	0.05	5	0.05	28	0.06	13	0.04	344	0.03
		"ANDERSON, Lois"	ALP	102	0.01	19	0.02	2	0.02	10	0.02	5	0.02	138	0.01
		"FOO, Chilip"	ALP	266	0.03	36	0.04	3	0.03	26	0.05	20	0.07	351	0.03
		Group Total	ALP	314161	35.18	26026	31.45	4314	41.39	15549	32.27	8828	29.82	368878	34.67
K		TICKET VOTES	DSL	3235	0.36	360	0.44	41	0.39	143	0.3	62	0.21	3841	0.36
		"STEPHEN, Sarah"	DSL	311	0.03	41	0.05	3	0.03	15	0.03	7	0.02	377	0.04
		"JORQUERA, Roberto"	DSL	21	0	0	0	0	0	0	0	0	0	21	0
		Group Total	DSL	3567	0.4	401	0.48	44	0.42	158	0.33	69	0.23	4239	0.4
L		TICKET VOTES	CTA	7032	0.79	796	0.96	64	0.61	378	0.78	270	0.91	8540	0.8
		"MOSELEY, Justin"	CTA	1342	0.15	138	0.17	4	0.04	78	0.16	68	0.23	1630	0.15
		"JOHNSON, Peter"	CTA	69	0.01	12	0.01	0	0	8	0.02	5	0.02	94	0.01
		Group Total	CTA	8443	0.95	946	1.14	68	0.65	464	0.96	343	1.16	10264	0.96
M		TICKET VOTES	GWA	40375	4.52	5272	6.37	697	6.69	2351	4.88	1035	3.5	49730	4.67
		"MARGETTS, Dee"	GWA	9056	1.01	1021	1.23	78	0.75	490	1.02	301	1.02	10946	1.03
		"DAVIES, Kayt"	GWA	129	0.01	14	0.02	0	0	8	0.02	4	0.01	155	0.01
		"XAMON, Alison"	GWA	167	0.02	38	0.05	3	0.03	16	0.03	8	0.03	232	0.02
		Group Total	GWA	49727	5.57	6345	7.67	778	7.46	2865	5.95	1348	4.55	61063	5.74
N		TICKET VOTES		3471	0.39	129	0.16	33	0.32	67	0.14	64	0.22	3764	0.35
		"HOBBS, Kate"		443	0.05	32	0.04	1	0.01	11	0.02	4	0.01	491	0.05
		"BESSANT, Morris"		13	0	3	0	0	0	2	0	1	0	19	0
		Group Total		3927	0.44	164	0.2	34	0.33	80	0.17	69	0.23	4274	0.4
O		TICKET VOTES		569	0.06	30	0.04	8	0.08	19	0.04	34	0.11	660	0.06
		"TORR, Joan"		445	0.05	19	0.02	3	0.03	14	0.03	30	0.1	511	0.05
		"PRATT, C Roger"		31	0	3	0	0	0	2	0	2	0.01	38	0
		Group Total		1045	0.12	52	0.06	11	0.11	35	0.07	66	0.22	1209	0.11
P		TICKET VOTES	DEM	48712	5.45	4391	5.31	394	3.78	2554	5.3	1257	4.25	57308	5.39
	#	"GREIG, Brian"	DEM	8024	0.9	671	0.81	48	0.46	398	0.83	203	0.69	9344	0.88
		"CRABBE, Stephen G"	DEM	166	0.02	23	0.03	3	0.03	4	0.01	6	0.02	202	0.02
		"CLIFFORD, Margot"	DEM	965	0.11	134	0.16	7	0.07	78	0.16	57	0.19	1241	0.12
		Group Total	DEM	57867	6.48	5219	6.31	452	4.34	3034	6.3	1523	5.14	68095	6.4
Q		TICKET VOTES	RPA	643	0.07	72	0.09	11	0.11	82	0.17	47	0.16	855	0.08
		"O'DONNELL, Michael"	RPA	104	0.01	13	0.02	4	0.04	15	0.03	12	0.04	148	0.01
		"McNALLY, Kerry"	RPA	14	0	4	0	0	0	0	0	3	0.01	21	0
		Group Total	RPA	761	0.09	89	0.11	15	0.14	97	0.2	62	0.21	1024	0.1
UNGROUPED															
		"GARCIA, Rod"	IND	314	0.04	38	0.05	3	0.03	20	0.04	12	0.04	387	0.04
		Ungrouped Total		314	0.04	38	0.05	3	0.03	20	0.04	12	0.04	387	0.04
			FORMAL	893126	97.06	82749	98.46	10424	97.41	48177	98.94	29602	99.14	1064078	97.32
			INFORMAL	27008	2.94	1293	1.54	277	2.59	518	1.06	258	0.86	29354	2.68
			TOTAL	920134	84.15	84042	7.69	10701	0.98	48695	4.45	29860	2.73	1093432	95.11



South Australia															
Enrolment 1013989															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	CTA	5748	0.75	580	0.84	78	0.87	471	1	456	0.82	7333	0.77
		"RANDALL, Bob"	CTA	1683	0.22	172	0.25	16	0.18	122	0.26	146	0.26	2139	0.23
		"SINCLAIR, Colin"	CTA	97	0.01	13	0.02	0	0	8	0.02	8	0.01	126	0.01
		Group Total	CTA	7528	0.98	765	1.11	94	1.04	601	1.27	610	1.1	9598	1.01
B		TICKET VOTES	FST	4192	0.55	288	0.42	51	0.57	211	0.45	262	0.47	5004	0.53
		"DAVIS, Peter"	FST	845	0.11	60	0.09	6	0.07	32	0.07	141	0.25	1084	0.11
		"FRADD, Bill"	FST	33	0	2	0	1	0.01	2	0	1	0	39	0
		Group Total	FST	5070	0.66	350	0.51	58	0.64	245	0.52	404	0.73	6127	0.65
C		TICKET VOTES	DEM	78372	10.23	8109	11.75	828	9.2	4773	10.11	4886	8.8	96968	10.24
	#	"LEES, Meg"	DEM	15605	2.04	1518	2.2	114	1.27	1131	2.4	1226	2.21	19594	2.07
		"PILLING, Michael"	DEM	266	0.03	44	0.06	1	0.01	24	0.05	29	0.05	364	0.04
		"BOWIE, Alex"	DEM	72	0.01	12	0.02	1	0.01	9	0.02	13	0.02	107	0.01
		"APPONYI, Natalija Ruta"	DEM	443	0.06	54	0.08	10	0.11	40	0.08	39	0.07	586	0.06
		Group Total	DEM	94758	12.37	9737	14.11	954	10.6	5977	12.66	6193	11.15	117619	12.42
D		TICKET VOTES		401	0.05	36	0.05	13	0.14	18	0.04	24	0.04	492	0.05
		"SIMMONS, Lindsay"		93	0.01	8	0.01	0	0	2	0	7	0.01	110	0.01
		"BROWN, Pat"		15	0	3	0	0	0	1	0	4	0.01	23	0
		Group Total		509	0.07	47	0.07	13	0.14	21	0.04	35	0.06	625	0.07
E		TICKET VOTES		851	0.11	56	0.08	10	0.11	44	0.09	47	0.08	1008	0.11
		"HARMS, Chris"		328	0.04	39	0.06	2	0.02	13	0.03	28	0.05	410	0.04
		"HARMS, Kirsti"		57	0.01	9	0.01	0	0	1	0	2	0	69	0.01
		Group Total		1236	0.16	104	0.15	12	0.13	58	0.12	77	0.14	1487	0.16
F		TICKET VOTES	LP	298270	38.93	26863	38.94	2510	27.9	18919	40.07	24078	43.36	370640	39.15
	#	"VANSTONE, Amanda"	LP	8318	1.09	773	1.12	46	0.51	600	1.27	984	1.77	10721	1.13
	#	"MINCHIN, Nick"	LP	912	0.12	90	0.13	5	0.06	93	0.2	139	0.25	1239	0.13
	#	"FERGUSON, Alan"	LP	421	0.05	52	0.08	2	0.02	40	0.08	57	0.1	572	0.06
		"de LEO, Joy"	LP	348	0.05	38	0.06	1	0.01	29	0.06	49	0.09	465	0.05
		Group Total	LP	308269	40.24	27816	40.32	2564	28.5	19681	41.69	25307	45.57	383637	40.52
G		TICKET VOTES	CEC	599	0.08	173	0.25	11	0.12	30	0.06	32	0.06	845	0.09
		"TONKIN, Tommy"	CEC	32	0	6	0.01	0	0	5	0.01	5	0.01	48	0.01
		"FELEPPA, Pompeo"	CEC	4	0	1	0	0	0	0	0	0	0	5	0
		Group Total	CEC	635	0.08	180	0.26	11	0.12	35	0.07	37	0.07	898	0.09
H		TICKET VOTES	DSL	3111	0.41	323	0.47	39	0.43	192	0.41	123	0.22	3788	0.4
		"SJOBERG, Melanie"	DSL	330	0.04	50	0.07	9	0.1	15	0.03	17	0.03	421	0.04
		"NEWNAM, Kathy"	DSL	36	0	4	0.01	2	0.02	1	0	4	0.01	47	0
		Group Total	DSL	3477	0.45	377	0.55	50	0.56	208	0.44	144	0.26	4256	0.45
I		TICKET VOTES	GRN	12719	1.66	1955	2.83	386	4.29	1046	2.22	695	1.25	16801	1.77
		"WILKINS, Craig"	GRN	2672	0.35	362	0.52	47	0.52	264	0.56	200	0.36	3545	0.37
		"DRUMMOND, Michelle"	GRN	381	0.05	79	0.11	11	0.12	42	0.09	36	0.06	549	0.06
		Group Total	GRN	15772	2.06	2396	3.47	444	4.93	1352	2.86	931	1.68	20895	2.21
J		TICKET VOTES	HAN	67173	8.77	5519	8	870	9.67	3997	8.47	4842	8.72	82401	8.7
		"SPENCER, Len"	HAN	7139	0.93	479	0.69	54	0.6	390	0.83	720	1.3	8782	0.93
		"RUMBELOW, Malcolm John"	HAN	257	0.03	19	0.03	2	0.02	5	0.01	45	0.08	328	0.03
		"REIMANN, Monica"	HAN	301	0.04	30	0.04	3	0.03	15	0.03	50	0.09	399	0.04
		Group Total	HAN	74870	9.77	6047	8.77	929	10.33	4407	9.33	5657	10.19	91910	9.71
K		TICKET VOTES	ALP	237876	31.05	19621	28.44	3683	40.94	13495	28.58	14640	26.36	289315	30.56
	#	"BOLKUS, Nick"	ALP	9635	1.26	992	1.44	109	1.21	732	1.55	835	1.5	12303	1.3
	#	"QUIRKE, John"	ALP	605	0.08	57	0.08	9	0.1	39	0.08	97	0.17	807	0.09
		"HENDER, Bill"	ALP	672	0.09	68	0.1	14	0.16	50	0.11	70	0.13	874	0.09
		Group Total	ALP	248788	32.47	20738	30.06	3815	42.4	14316	30.32	15642	28.17	303299	32.03
L		TICKET VOTES		789	0.1	47	0.07	9	0.1	34	0.07	50	0.09	929	0.1
		"PFITZNER-EU, Bernice"		353	0.05	21	0.03	1	0.01	39	0.08	45	0.08	459	0.05
		"ERIKSEN, Erik"		25	0	2	0	0	0	1	0	2	0	30	0
		"HEYLEN, Sean"		34	0	7	0.01	1	0.01	1	0	5	0.01	48	0.01
		Group Total		1201	0.16	77	0.11	11	0.12	75	0.16	102	0.18	1466	0.15
M		TICKET VOTES	NP	3183	0.42	285	0.41	38	0.42	187	0.4	289	0.52	3982	0.42
		"WAYLAND, Ellis"	NP	305	0.04	23	0.03	2	0.02	14	0.03	51	0.09	395	0.04
		"DIXON-THOMPSON, Robin"	NP	46	0.01	10	0.01	0	0	4	0.01	8	0.01	68	0.01
		Group Total	NP	3534	0.46	318	0.46	40	0.44	205	0.43	348	0.63	4445	0.47
UNGROUPED															
		"RUSSELL-TAYLOR, Neil"	IND	243	0.03	18	0.03	1	0.01	20	0.04	27	0.05	309	0.03
		"NEAVE, Graham"	IND	201	0.03	18	0.03	1	0.01	10	0.02	15	0.03	245	0.03
		Ungrouped Total		444	0.06	36	0.05	2	0.02	30	0.06	42	0.08	554	0.06
			FORMAL	766091	96.84	68988	98.31	8997	97.15	47211	98.75	55529	99.27	946816	97.19
			INFORMAL	24966	3.16	1185	1.69	264	2.85	598	1.25	411	0.73	27424	2.81
			TOTAL	791057	81.2	70173	7.2	9261	0.95	47809	4.91	55940	5.74	974240	96.08



Tasmania															
Enrolment 330121															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ACS	1018	0.38	37	0.25	5	0.6	23	0.19	28	0.21	1111	0.36
		"HICKMAN, Ian"	ACS	523	0.2	36	0.25	8	0.97	24	0.19	15	0.11	606	0.2
		"LOMBARDI, Fred"	ACS	29	0.01	1	0.01	0	0	0	0	3	0.02	33	0.01
		Group Total	ACS	1570	0.59	74	0.51	13	1.57	47	0.38	46	0.35	1750	0.57
B		TICKET VOTES	GRN	8418	3.15	831	5.68	51	6.16	651	5.26	341	2.61	10292	3.34
		"CROSSLEY, Louise"	GRN	6276	2.35	490	3.35	13	1.57	396	3.2	245	1.88	7420	2.41
		"BAPTIST, Simon"	GRN	150	0.06	18	0.12	1	0.12	12	0.1	12	0.09	193	0.06
		Group Total	GRN	14844	5.55	1339	9.15	65	7.85	1059	8.55	598	4.58	17905	5.81
C		TICKET VOTES	LP	73769	27.58	3983	27.22	158	19.08	3859	31.17	3698	28.34	85467	27.72
	#	"ABETZ, Eric"	LP	11318	4.23	541	3.7	9	1.09	367	2.96	476	3.65	12711	4.12
	#	"GIBSON, Brian"	LP	2877	1.08	147	1	6	0.72	128	1.03	175	1.34	3333	1.08
		"BARNETT, Guy"	LP	1445	0.54	102	0.7	0	0	68	0.55	71	0.54	1686	0.55
		"COLLENETTE, Peter"	LP	947	0.35	49	0.33	1	0.12	38	0.31	36	0.28	1071	0.35
		Group Total	LP	90356	33.78	4822	32.96	174	21.01	4460	36.03	4456	34.15	104268	33.81
D		TICKET VOTES	DSL	506	0.19	25	0.17	1	0.12	29	0.23	12	0.09	573	0.19
		"EMANUEL, Kamala"	DSL	117	0.04	5	0.03	0	0	2	0.02	5	0.04	129	0.04
		"JAMIESON, Ian"	DSL	45	0.02	6	0.04	0	0	0	0	1	0.01	52	0.02
		Group Total	DSL	668	0.25	36	0.25	1	0.12	31	0.25	18	0.14	754	0.24
E		TICKET VOTES	TFP	2611	0.98	158	1.08	12	1.45	142	1.15	155	1.19	3078	1
		"PICKFORD, David"	TFP	1021	0.38	64	0.44	0	0	57	0.46	75	0.57	1217	0.39
		"JACKSON, David"	TFP	135	0.05	10	0.07	1	0.12	5	0.04	10	0.08	161	0.05
		"ABBLITT, Petita"	TFP	77	0.03	8	0.05	0	0	1	0.01	6	0.05	92	0.03
		Group Total	TFP	3844	1.44	240	1.64	13	1.57	205	1.66	246	1.89	4548	1.47
F		TICKET VOTES	CTA	494	0.18	39	0.27	3	0.36	52	0.42	45	0.34	633	0.21
		"ROGERS, Don"	CTA	252	0.09	13	0.09	0	0	11	0.09	13	0.1	289	0.09
		"ROGERS, Beryl"	CTA	22	0.01	0	0	0	0	0	0	1	0.01	23	0.01
		Group Total	CTA	768	0.29	52	0.36	3	0.36	63	0.51	59	0.45	945	0.31
G		TICKET VOTES	DEM	5863	2.19	366	2.5	10	1.21	371	3	231	1.77	6841	2.22
		"BELL, Robert"	DEM	4144	1.55	207	1.41	10	1.21	199	1.61	121	0.93	4681	1.52
		"BUTLER, Debbie"	DEM	431	0.16	40	0.27	3	0.36	22	0.18	17	0.13	513	0.17
		"IVORY, Chris"	DEM	64	0.02	6	0.04	0	0	0	0	2	0.02	72	0.02
		Group Total	DEM	10502	3.93	619	4.23	23	2.78	592	4.78	371	2.84	12107	3.93
H		TICKET VOTES	HAR	12601	4.71	652	4.46	15	1.81	483	3.9	822	6.3	14573	4.73
	#	"HARRADINE, Brian"	HAR	8486	3.17	450	3.08	7	0.85	328	2.65	410	3.14	9681	3.14
		Group Total	HAR	21087	7.88	1102	7.53	22	2.66	811	6.55	1232	9.44	24254	7.87
I		TICKET VOTES	ALP	95612	35.74	4910	33.56	418	50.48	3806	30.75	4407	33.78	109153	35.4
	#	"O'BRIEN, Kerry"	ALP	11142	4.17	579	3.96	40	4.83	411	3.32	606	4.64	12778	4.14
	#	"MURPHY, Shayne"	ALP	2664	1	119	0.81	2	0.24	94	0.76	143	1.1	3022	0.98
	#	"DENMAN, Kay"	ALP	2906	1.09	194	1.33	4	0.48	153	1.24	167	1.28	3424	1.11
		Group Total	ALP	112324	41.99	5802	39.65	464	56.04	4464	36.06	5323	40.8	128377	41.63
J		TICKET VOTES	RPA	164	0.06	3	0.02	1	0.12	10	0.08	10	0.08	188	0.06
		"SHERIDAN, Jenny"	RPA	39	0.01	3	0.02	0	0	5	0.04	1	0.01	48	0.02
		"DARE, Rena"	RPA	10	0	1	0.01	0	0	2	0.02	0	0	13	0
		Group Total	RPA	213	0.08	7	0.05	1	0.12	17	0.14	11	0.08	249	0.08
K		TICKET VOTES	HAN	7403	2.77	370	2.53	35	4.23	456	3.68	409	3.13	8673	2.81
		"STOKES, Peter"	HAN	2165	0.81	87	0.59	10	1.21	106	0.86	158	1.21	2526	0.82
		"CARTWRIGHT, Michael"	HAN	247	0.09	8	0.05	0	0	16	0.13	32	0.25	303	0.1
		"SPICER, Leigh"	HAN	122	0.05	8	0.05	0	0	4	0.03	19	0.15	153	0.05
		Group Total	HAN	9937	3.71	473	3.23	45	5.43	582	4.7	618	4.74	11655	3.78
L		TICKET VOTES	AWP	601	0.22	31	0.21	4	0.48	20	0.16	26	0.2	682	0.22
		"MacQUEEN, Lin"	AWP	90	0.03	4	0.03	0	0	7	0.06	3	0.02	104	0.03
		"BINDON, Carolyn"	AWP	14	0.01	2	0.01	0	0	1	0.01	1	0.01	18	0.01
		Group Total	AWP	705	0.26	37	0.25	4	0.48	28	0.23	30	0.23	804	0.26
UNGROUPED															
		"JAMIESON, Norma"	IND	583	0.22	24	0.16	0	0	17	0.14	35	0.27	659	0.21
		"HEATHORN, Laurie"	IND	67	0.03	3	0.02	0	0	2	0.02	3	0.02	75	0.02
		"SULI, Steven"	IND	23	0.01	2	0.01	0	0	1	0.01	1	0.01	27	0.01
		Ungrouped Total		673	0.25	29	0.2	0	0	20	0.16	39	0.3	761	0.25
			FORMAL	267491	96.74	14632	98.27	828	96.5	12379	98.65	13047	98.33	308377	96.95
			INFORMAL	9025	3.26	257	1.73	30	3.5	170	1.35	222	1.67	9704	3.05
			TOTAL	276516	86.93	14889	4.68	858	0.27	12549	3.95	13269	4.17	318081	96.35



Australian Capital Territory															
Enrolment 209536															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
