Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Goomboorian		                                	6	1.13	 	2	0.38	 	1	0.19	 	3	0.56	 	88	16.51	 	0	0	 	3	0.56	 	0	0	 	171	32.08	 	0	0	 	3	0.56	 	0	0	 	0	0	 	28	5.25	 	0	0	 	100	18.76	 	112	21.01	 	0	0	 	0	0	 	2	0.38	 	14	2.63	 	0	0	 	533	95.52	 	25	4.48	 	558	0.78
Gympie City		                                	13	0.66	 	1	0.05	 	0	0	 	18	0.92	 	245	12.47	 	4	0.2	 	23	1.17	 	6	0.31	 	398	20.25	 	0	0	 	8	0.41	 	5	0.25	 	1	0.05	 	131	6.67	 	5	0.25	 	526	26.77	 	536	27.28	 	8	0.41	 	0	0	 	3	0.15	 	34	1.73	 	0	0	 	1965	95.85	 	85	4.15	 	2050	2.87
Gympie High School		                         	4	0.25	 	0	0	 	0	0	 	3	0.19	 	172	10.64	 	2	0.12	 	16	0.99	 	4	0.25	 	369	22.83	 	1	0.06	 	14	0.87	 	4	0.25	 	0	0	 	86	5.32	 	3	0.19	 	518	32.05	 	395	24.44	 	5	0.31	 	1	0.06	 	3	0.19	 	15	0.93	 	1	0.06	 	1616	97.23	 	46	2.77	 	1662	2.32
Gympie North		                               	6	0.35	 	0	0	 	2	0.12	 	5	0.29	 	212	12.25	 	5	0.29	 	31	1.79	 	4	0.23	 	429	24.78	 	1	0.06	 	9	0.52	 	0	0	 	1	0.06	 	86	4.97	 	4	0.23	 	452	26.11	 	447	25.82	 	9	0.52	 	0	0	 	7	0.4	 	21	1.21	 	0	0	 	1731	96.17	 	69	3.83	 	1800	2.52
Gympie South Side		                          	14	0.66	 	2	0.09	 	0	0	 	4	0.19	 	281	13.24	 	7	0.33	 	24	1.13	 	1	0.05	 	569	26.8	 	0	0	 	12	0.57	 	0	0	 	2	0.09	 	150	7.07	 	3	0.14	 	480	22.61	 	540	25.44	 	12	0.57	 	1	0.05	 	5	0.24	 	16	0.75	 	0	0	 	2123	97.03	 	65	2.97	 	2188	3.06
Gympie West		                                	3	0.32	 	0	0	 	0	0	 	2	0.21	 	136	14.45	 	1	0.11	 	7	0.74	 	1	0.11	 	205	21.79	 	0	0	 	3	0.32	 	0	0	 	0	0	 	40	4.25	 	1	0.11	 	278	29.54	 	253	26.89	 	5	0.53	 	0	0	 	0	0	 	6	0.64	 	0	0	 	941	94.48	 	55	5.52	 	996	1.39
Imbil		                                      	2	0.26	 	0	0	 	0	0	 	3	0.39	 	121	15.55	 	3	0.39	 	12	1.54	 	2	0.26	 	238	30.59	 	2	0.26	 	4	0.51	 	3	0.39	 	1	0.13	 	53	6.81	 	4	0.51	 	178	22.88	 	129	16.58	 	5	0.64	 	1	0.13	 	1	0.13	 	16	2.06	 	0	0	 	778	97.62	 	19	2.38	 	797	1.11
Jones Hill		                                 	1	0.12	 	0	0	 	0	0	 	1	0.12	 	158	18.31	 	0	0	 	1	0.12	 	1	0.12	 	219	25.38	 	0	0	 	2	0.23	 	1	0.12	 	1	0.12	 	51	5.91	 	1	0.12	 	161	18.66	 	252	29.2	 	5	0.58	 	0	0	 	0	0	 	8	0.93	 	0	0	 	863	95.78	 	38	4.22	 	901	1.26
Kandanga		                                   	1	0.23	 	0	0	 	0	0	 	0	0	 	79	18.33	 	1	0.23	 	0	0	 	0	0	 	159	36.89	 	0	0	 	0	0	 	1	0.23	 	1	0.23	 	23	5.34	 	1	0.23	 	81	18.79	 	73	16.94	 	2	0.46	 	0	0	 	1	0.23	 	7	1.62	 	1	0.23	 	431	96.42	 	16	3.58	 	447	0.62
Kenilworth		                                 	4	0.77	 	0	0	 	0	0	 	3	0.58	 	75	14.45	 	0	0	 	20	3.85	 	1	0.19	 	137	26.4	 	0	0	 	1	0.19	 	1	0.19	 	0	0	 	38	7.32	 	1	0.19	 	116	22.35	 	103	19.85	 	1	0.19	 	0	0	 	0	0	 	18	3.47	 	0	0	 	519	93.68	 	35	6.32	 	554	0.77
Kin Kin		                                    	2	0.62	 	0	0	 	0	0	 	0	0	 	24	7.45	 	1	0.31	 	1	0.31	 	0	0	 	83	25.78	 	0	0	 	0	0	 	0	0	 	0	0	 	34	10.56	 	0	0	 	82	25.47	 	83	25.78	 	1	0.31	 	0	0	 	0	0	 	11	3.42	 	0	0	 	322	96.12	 	13	3.88	 	335	0.47
Kureelpa		                                   	1	0.24	 	0	0	 	0	0	 	1	0.24	 	40	9.69	 	1	0.24	 	6	1.45	 	0	0	 	73	17.68	 	1	0.24	 	0	0	 	0	0	 	0	0	 	38	9.2	 	0	0	 	79	19.13	 	160	38.74	 	1	0.24	 	0	0	 	2	0.48	 	10	2.42	 	0	0	 	413	97.87	 	9	2.13	 	422	0.59
Kybong		                                     	1	0.29	 	1	0.29	 	0	0	 	1	0.29	 	94	27.57	 	1	0.29	 	4	1.17	 	0	0	 	101	29.62	 	0	0	 	3	0.88	 	1	0.29	 	0	0	 	19	5.57	 	1	0.29	 	59	17.3	 	49	14.37	 	1	0.29	 	0	0	 	0	0	 	5	1.47	 	0	0	 	341	95.25	 	17	4.75	 	358	0.5
Mapleton		                                   	3	0.28	 	1	0.09	 	0	0	 	3	0.28	 	65	6.17	 	0	0	 	30	2.85	 	0	0	 	185	17.55	 	0	0	 	3	0.28	 	3	0.28	 	2	0.19	 	119	11.29	 	0	0	 	227	21.54	 	350	33.21	 	5	0.47	 	0	0	 	1	0.09	 	57	5.41	 	0	0	 	1054	96.43	 	39	3.57	 	1093	1.53
Monkland		                                   	4	0.6	 	1	0.15	 	0	0	 	1	0.15	 	91	13.6	 	2	0.3	 	13	1.94	 	2	0.3	 	151	22.57	 	1	0.15	 	3	0.45	 	1	0.15	 	1	0.15	 	39	5.83	 	0	0	 	172	25.71	 	181	27.06	 	3	0.45	 	0	0	 	0	0	 	2	0.3	 	1	0.15	 	669	98.24	 	12	1.76	 	681	0.95
Montville (Fairfax)		                        	1	0.18	 	0	0	 	0	0	 	1	0.18	 	48	8.47	 	0	0	 	14	2.47	 	1	0.18	 	58	10.23	 	0	0	 	0	0	 	1	0.18	 	2	0.35	 	85	14.99	 	0	0	 	108	19.05	 	219	38.62	 	1	0.18	 	0	0	 	3	0.53	 	24	4.23	 	1	0.18	 	567	97.42	 	15	2.58	 	582	0.81
Mothar Mountain		                            	1	0.44	 	0	0	 	0	0	 	0	0	 	24	10.53	 	0	0	 	4	1.75	 	0	0	 	87	38.16	 	0	0	 	1	0.44	 	0	0	 	0	0	 	15	6.58	 	0	0	 	44	19.3	 	43	18.86	 	1	0.44	 	0	0	 	0	0	 	8	3.51	 	0	0	 	228	97.85	 	5	2.15	 	233	0.33
Mudjimba		                                   	5	0.5	 	0	0	 	0	0	 	6	0.6	 	32	3.22	 	2	0.2	 	15	1.51	 	0	0	 	204	20.54	 	0	0	 	4	0.4	 	0	0	 	1	0.1	 	75	7.55	 	0	0	 	313	31.52	 	284	28.6	 	5	0.5	 	0	0	 	1	0.1	 	46	4.63	 	0	0	 	993	96.13	 	40	3.87	 	1033	1.44
Nambour		                                    	8	0.37	 	0	0	 	9	0.42	 	6	0.28	 	133	6.2	 	4	0.19	 	59	2.75	 	2	0.09	 	416	19.39	 	0	0	 	10	0.47	 	4	0.19	 	0	0	 	185	8.62	 	7	0.33	 	573	26.71	 	634	29.56	 	15	0.7	 	0	0	 	4	0.19	 	73	3.4	 	3	0.14	 	2145	96.88	 	69	3.12	 	2214	3.1
Nambour Hospital		                           	11	0.76	 	0	0	 	5	0.34	 	10	0.69	 	113	7.76	 	1	0.07	 	65	4.46	 	0	0	 	264	18.13	 	2	0.14	 	8	0.55	 	2	0.14	 	3	0.21	 	112	7.69	 	3	0.21	 	391	26.85	 	421	28.91	 	5	0.34	 	1	0.07	 	1	0.07	 	38	2.61	 	0	0	 	1456	95.54	 	68	4.46	 	1524	2.13
Nambour South		                              	11	0.9	 	1	0.08	 	0	0	 	7	0.57	 	108	8.84	 	4	0.33	 	73	5.97	 	1	0.08	 	188	15.38	 	1	0.08	 	7	0.57	 	0	0	 	0	0	 	144	11.78	 	1	0.08	 	318	26.02	 	311	25.45	 	5	0.41	 	0	0	 	1	0.08	 	41	3.36	 	0	0	 	1222	96.98	 	38	3.02	 	1260	1.76
Noosa Heads		                                	16	0.47	 	1	0.03	 	0	0	 	14	0.41	 	77	2.25	 	5	0.15	 	49	1.43	 	1	0.03	 	278	8.11	 	2	0.06	 	4	0.12	 	6	0.17	 	2	0.06	 	317	9.24	 	5	0.15	 	981	28.61	 	1491	43.48	 	10	0.29	 	0	0	 	9	0.26	 	161	4.7	 	0	0	 	3429	96.56	 	122	3.44	 	3551	4.96
Noosaville		                                 	18	0.61	 	1	0.03	 	0	0	 	12	0.41	 	90	3.05	 	9	0.3	 	88	2.98	 	1	0.03	 	313	10.6	 	0	0	 	8	0.27	 	1	0.03	 	2	0.07	 	222	7.52	 	3	0.1	 	605	20.49	 	1496	50.68	 	6	0.2	 	0	0	 	4	0.14	 	73	2.47	 	0	0	 	2952	96.19	 	117	3.81	 	3069	4.29
Noosaville West		                            	4	0.28	 	0	0	 	0	0	 	5	0.35	 	55	3.8	 	1	0.07	 	38	2.63	 	0	0	 	170	11.75	 	0	0	 	6	0.41	 	0	0	 	1	0.07	 	111	7.67	 	1	0.07	 	355	24.53	 	664	45.89	 	2	0.14	 	0	0	 	2	0.14	 	31	2.14	 	1	0.07	 	1447	97.9	 	31	2.1	 	1478	2.07
North Arm		                                  	0	0	 	0	0	 	0	0	 	0	0	 	25	12.25	 	0	0	 	11	5.39	 	0	0	 	71	34.8	 	0	0	 	0	0	 	18	8.82	 	0	0	 	37	18.14	 	38	18.63	 	1	0.49	 	1	0.49	 	0	0	 	0	0	 	0	0	 	2	0.98	 	0	0	 	204	96.68	 	7	3.32	 	211	0.29
Pacific Paradise		                           	8	0.53	 	0	0	 	0	0	 	5	0.33	 	59	3.94	 	4	0.27	 	16	1.07	 	1	0.07	 	283	18.92	 	0	0	 	4	0.27	 	3	0.2	 	2	0.13	 	148	9.89	 	2	0.13	 	499	33.36	 	406	27.14	 	9	0.6	 	0	0	 	1	0.07	 	46	3.07	 	0	0	 	1496	97.02	 	46	2.98	 	1542	2.16
Peregian Beach		                             	8	0.46	 	0	0	 	1	0.06	 	3	0.17	 	47	2.72	 	1	0.06	 	22	1.27	 	2	0.12	 	172	9.94	 	0	0	 	4	0.23	 	1	0.06	 	0	0	 	177	10.23	 	1	0.06	 	488	28.19	 	680	39.28	 	7	0.4	 	0	0	 	5	0.29	 	112	6.47	 	0	0	 	1731	97.19	 	50	2.81	 	1781	2.49
Pie Creek		                                  	1	0.27	 	0	0	 	0	0	 	2	0.55	 	103	28.22	 	2	0.55	 	1	0.27	 	0	0	 	103	28.22	 	0	0	 	0	0	 	0	0	 	1	0.27	 	21	5.75	 	0	0	 	57	15.62	 	64	17.53	 	5	1.37	 	0	0	 	0	0	 	5	1.37	 	0	0	 	365	98.38	 	6	1.62	 	371	0.52
Pomona		                                     	6	0.46	 	0	0	 	3	0.23	 	6	0.46	 	102	7.85	 	5	0.38	 	31	2.39	 	2	0.15	 	279	21.48	 	0	0	 	7	0.54	 	2	0.15	 	1	0.08	 	108	8.31	 	1	0.08	 	378	29.1	 	314	24.17	 	11	0.85	 	0	0	 	3	0.23	 	38	2.93	 	2	0.15	 	1299	96.15	 	52	3.85	 	1351	1.89
Tewantin		                                   	29	0.61	 	0	0	 	0	0	 	12	0.25	 	156	3.26	 	10	0.21	 	95	1.99	 	7	0.15	 	738	15.44	 	2	0.04	 	19	0.4	 	2	0.04	 	3	0.06	 	357	7.47	 	5	0.1	 	1350	28.25	 	1859	38.9	 	14	0.29	 	0	0	 	10	0.21	 	111	2.32	 	0	0	 	4779	96.82	 	157	3.18	 	4936	6.9
Veteran		                                    	1	0.36	 	0	0	 	0	0	 	1	0.36	 	39	14.13	 	0	0	 	3	1.09	 	0	0	 	83	30.07	 	0	0	 	2	0.72	 	0	0	 	0	0	 	13	4.71	 	1	0.36	 	67	24.28	 	62	22.46	 	1	0.36	 	0	0	 	0	0	 	3	1.09	 	0	0	 	276	95.17	 	14	4.83	 	290	0.41
Wolvi		                                      	0	0	 	0	0	 	0	0	 	0	0	 	40	14.04	 	1	0.35	 	2	0.7	 	0	0	 	88	30.88	 	0	0	 	1	0.35	 	0	0	 	0	0	 	19	6.67	 	0	0	 	56	19.65	 	70	24.56	 	1	0.35	 	0	0	 	0	0	 	5	1.75	 	2	0.7	 	285	97.94	 	6	2.06	 	291	0.41
Yandina		                                    	12	0.48	 	1	0.04	 	1	0.04	 	10	0.4	 	204	8.2	 	2	0.08	 	47	1.89	 	3	0.12	 	518	20.82	 	2	0.08	 	14	0.56	 	1	0.04	 	1	0.04	 	222	8.92	 	0	0	 	612	24.6	 	704	28.3	 	8	0.32	 	0	0	 	2	0.08	 	123	4.94	 	1	0.04	 	2488	96.73	 	84	3.27	 	2572	3.6
Special Hospitals		                          	5	0.86	 	1	0.17	 	1	0.17	 	2	0.34	 	126	21.58	 	3	0.51	 	11	1.88	 	3	0.51	 	52	8.9	 	1	0.17	 	2	0.34	 	2	0.34	 	0	0	 	11	1.88	 	1	0.17	 	143	24.49	 	209	35.79	 	4	0.68	 	0	0	 	3	0.51	 	4	0.68	 	0	0	 	584	94.04	 	37	5.96	 	621	0.87
Total Ordinary		                             	287	0.49	 	20	0.03	 	25	0.04	 	205	0.35	 	4475	7.66	 	111	0.19	 	1213	2.08	 	60	0.1	 	10759	18.41	 	21	0.04	 	226	0.39	 	78	0.13	 	43	0.07	 	4692	8.03	 	114	0.2	 	15383	26.32	 	18473	31.61	 	244	0.42	 	9	0.02	 	106	0.18	 	1887	3.23	 	13	0.02	 	58444	96.65	 	2028	3.35	 	60472	84.54
ABSENT		                                     	19	0.41	 	0	0	 	2	0.04	 	32	0.69	 	388	8.42	 	8	0.17	 	115	2.49	 	5	0.11	 	787	17.07	 	1	0.02	 	10	0.22	 	9	0.2	 	1	0.02	 	382	8.29	 	5	0.11	 	1186	25.73	 	1371	29.74	 	32	0.69	 	2	0.04	 	18	0.39	 	233	5.05	 	4	0.09	 	4610	98.84	 	54	1.16	 	4664	6.52
POSTAL		                                     	9	0.4	 	1	0.04	 	0	0	 	5	0.22	 	255	11.31	 	2	0.09	 	47	2.09	 	1	0.04	 	376	16.68	 	1	0.04	 	6	0.27	 	0	0	 	1	0.04	 	138	6.12	 	3	0.13	 	570	25.29	 	775	34.38	 	13	0.58	 	0	0	 	1	0.04	 	50	2.22	 	0	0	 	2254	98.77	 	28	1.23	 	2282	3.19
PRE_POLL		                                   	16	0.45	 	1	0.03	 	2	0.06	 	15	0.42	 	294	8.19	 	3	0.08	 	84	2.34	 	7	0.2	 	605	16.86	 	3	0.08	 	22	0.61	 	2	0.06	 	0	0	 	259	7.22	 	7	0.2	 	875	24.38	 	1252	34.88	 	9	0.25	 	2	0.06	 	10	0.28	 	120	3.34	 	1	0.03	 	3589	98.87	 	41	1.13	 	3630	5.07
PROVISIONAL		                                	0	0	 	0	0	 	0	0	 	5	1.07	 	18	3.84	 	1	0.21	 	7	1.49	 	0	0	 	95	20.26	 	0	0	 	6	1.28	 	1	0.21	 	0	0	 	27	5.76	 	2	0.43	 	142	30.28	 	127	27.08	 	2	0.43	 	0	0	 	2	0.43	 	34	7.25	 	0	0	 	469	97.51	 	12	2.49	 	481	0.67
Division Summary		                           	331	0.48	 	22	0.03	 	29	0.04	 	262	0.38	 	5430	7.83	 	125	0.18	 	1466	2.11	 	73	0.11	 	12622	18.2	 	26	0.04	 	270	0.39	 	90	0.13	 	45	0.06	 	5498	7.93	 	131	0.19	 	18156	26.17	 	21998	31.71	 	300	0.43	 	13	0.02	 	137	0.2	 	2324	3.35	 	18	0.03	 	69366	96.98	 	2163	3.02	 	71529	94.05
 																																																																												

Fisher (75815)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexandra Headland		                         	2	0.27	 	0	0	 	1	0.13	 	1	0.13	 	45	6.06	 	1	0.13	 	15	2.02	 	2	0.27	 	85	11.44	 	0	0	 	5	0.67	 	0	0	 	0	0	 	60	8.08	 	0	0	 	179	24.09	 	322	43.34	 	2	0.27	 	0	0	 	1	0.13	 	22	2.96	 	0	0	 	743	98.54	 	11	1.46	 	754	1.05
Aroona		                                     	7	0.54	 	0	0	 	0	0	 	8	0.62	 	33	2.55	 	4	0.31	 	34	2.62	 	1	0.08	 	224	17.28	 	2	0.15	 	5	0.39	 	0	0	 	0	0	 	91	7.02	 	4	0.31	 	324	25	 	531	40.97	 	6	0.46	 	0	0	 	3	0.23	 	18	1.39	 	1	0.08	 	1296	97.3	 	36	2.7	 	1332	1.86
Brisbane City (Fisher)		                     	1	0.91	 	0	0	 	0	0	 	0	0	 	4	3.64	 	3	2.73	 	1	0.91	 	0	0	 	6	5.45	 	0	0	 	0	0	 	0	0	 	0	0	 	15	13.64	 	0	0	 	24	21.82	 	45	40.91	 	1	0.91	 	0	0	 	0	0	 	10	9.09	 	0	0	 	110	100	 	0	0	 	110	0.15
Buddina		                                    	26	0.56	 	0	0	 	1	0.02	 	19	0.41	 	81	1.73	 	6	0.13	 	66	1.41	 	4	0.09	 	764	16.31	 	2	0.04	 	13	0.28	 	2	0.04	 	3	0.06	 	357	7.62	 	6	0.13	 	1196	25.53	 	1969	42.04	 	20	0.43	 	0	0	 	6	0.13	 	139	2.97	 	4	0.09	 	4684	97.04	 	143	2.96	 	4827	6.75
Buderim		                                    	10	0.21	 	0	0	 	1	0.02	 	10	0.21	 	368	7.81	 	4	0.08	 	135	2.87	 	5	0.11	 	547	11.61	 	3	0.06	 	11	0.23	 	3	0.06	 	1	0.02	 	389	8.26	 	4	0.08	 	837	17.76	 	2239	47.52	 	14	0.3	 	0	0	 	5	0.11	 	126	2.67	 	0	0	 	4712	96.48	 	172	3.52	 	4884	6.83
Buderim Garden Village		                     	6	0.44	 	0	0	 	1	0.07	 	4	0.29	 	127	9.33	 	1	0.07	 	39	2.87	 	0	0	 	162	11.9	 	0	0	 	4	0.29	 	1	0.07	 	0	0	 	107	7.86	 	1	0.07	 	267	19.62	 	612	44.97	 	5	0.37	 	0	0	 	3	0.22	 	20	1.47	 	1	0.07	 	1361	95.44	 	65	4.56	 	1426	1.99
Buderim North		                              	1	0.44	 	1	0.44	 	0	0	 	0	0	 	28	12.33	 	0	0	 	6	2.64	 	0	0	 	21	9.25	 	1	0.44	 	0	0	 	0	0	 	0	0	 	29	12.78	 	0	0	 	32	14.1	 	103	45.37	 	1	0.44	 	0	0	 	0	0	 	4	1.76	 	0	0	 	227	97.01	 	7	2.99	 	234	0.33
Buderim Pines		                              	5	0.58	 	0	0	 	0	0	 	2	0.23	 	48	5.53	 	0	0	 	32	3.69	 	1	0.12	 	110	12.67	 	0	0	 	2	0.23	 	0	0	 	1	0.12	 	92	10.6	 	1	0.12	 	185	21.31	 	367	42.28	 	4	0.46	 	0	0	 	2	0.23	 	16	1.84	 	0	0	 	868	97.2	 	25	2.8	 	893	1.25
Buderim South		                              	1	0.13	 	0	0	 	0	0	 	0	0	 	54	7.14	 	2	0.26	 	27	3.57	 	0	0	 	72	9.52	 	0	0	 	1	0.13	 	0	0	 	1	0.13	 	73	9.66	 	0	0	 	118	15.61	 	387	51.19	 	2	0.26	 	0	0	 	0	0	 	18	2.38	 	0	0	 	756	97.3	 	21	2.7	 	777	1.09
Caloundra		                                  	21	0.63	 	1	0.03	 	2	0.06	 	11	0.33	 	80	2.41	 	6	0.18	 	74	2.22	 	3	0.09	 	559	16.81	 	2	0.06	 	13	0.39	 	1	0.03	 	1	0.03	 	258	7.76	 	5	0.15	 	930	27.96	 	1252	37.64	 	11	0.33	 	1	0.03	 	7	0.21	 	84	2.53	 	4	0.12	 	3326	96.02	 	138	3.98	 	3464	4.84
Caloundra West		                             	4	0.58	 	0	0	 	0	0	 	2	0.29	 	27	3.92	 	2	0.29	 	27	3.92	 	0	0	 	90	13.08	 	0	0	 	4	0.58	 	0	0	 	0	0	 	54	7.85	 	1	0.15	 	178	25.87	 	274	39.83	 	6	0.87	 	0	0	 	3	0.44	 	16	2.33	 	0	0	 	688	97.73	 	16	2.27	 	704	0.98
Cotton Tree		                                	8	0.44	 	1	0.06	 	0	0	 	6	0.33	 	120	6.62	 	1	0.06	 	19	1.05	 	2	0.11	 	284	15.66	 	0	0	 	4	0.22	 	0	0	 	1	0.06	 	159	8.77	 	4	0.22	 	553	30.5	 	594	32.76	 	8	0.44	 	0	0	 	4	0.22	 	44	2.43	 	1	0.06	 	1813	95.62	 	83	4.38	 	1896	2.65
Currimundi		                                 	17	0.49	 	0	0	 	2	0.06	 	16	0.46	 	179	5.18	 	9	0.26	 	71	2.05	 	1	0.03	 	532	15.4	 	1	0.03	 	13	0.38	 	6	0.17	 	1	0.03	 	235	6.8	 	6	0.17	 	1074	31.09	 	1182	34.21	 	19	0.55	 	0	0	 	5	0.14	 	86	2.49	 	0	0	 	3455	96.97	 	108	3.03	 	3563	4.98
Currimundi West		                            	10	0.63	 	0	0	 	0	0	 	5	0.31	 	20	1.25	 	7	0.44	 	46	2.88	 	0	0	 	231	14.48	 	1	0.06	 	9	0.56	 	0	0	 	1	0.06	 	103	6.46	 	2	0.13	 	465	29.15	 	671	42.07	 	3	0.19	 	0	0	 	1	0.06	 	20	1.25	 	0	0	 	1595	97.49	 	41	2.51	 	1636	2.29
Diddillibah		                                	3	0.39	 	0	0	 	1	0.13	 	4	0.52	 	33	4.31	 	1	0.13	 	15	1.96	 	1	0.13	 	137	17.89	 	0	0	 	1	0.13	 	1	0.13	 	1	0.13	 	80	10.44	 	3	0.39	 	163	21.28	 	295	38.51	 	0	0	 	0	0	 	0	0	 	27	3.52	 	0	0	 	766	96.84	 	25	3.16	 	791	1.11
Eudlo		                                      	1	0.15	 	0	0	 	0	0	 	3	0.45	 	14	2.12	 	1	0.15	 	4	0.61	 	0	0	 	139	21.06	 	0	0	 	3	0.45	 	0	0	 	0	0	 	78	11.82	 	0	0	 	143	21.67	 	216	32.73	 	4	0.61	 	0	0	 	2	0.3	 	52	7.88	 	0	0	 	660	97.49	 	17	2.51	 	677	0.95
Forest Glen		                                	4	0.44	 	0	0	 	0	0	 	3	0.33	 	80	8.74	 	0	0	 	21	2.3	 	0	0	 	178	19.45	 	1	0.11	 	2	0.22	 	0	0	 	0	0	 	84	9.18	 	3	0.33	 	168	18.36	 	332	36.28	 	3	0.33	 	0	0	 	2	0.22	 	34	3.72	 	0	0	 	915	98.39	 	15	1.61	 	930	1.3
Glenview		                                   	8	1.25	 	1	0.16	 	0	0	 	4	0.62	 	25	3.89	 	0	0	 	9	1.4	 	0	0	 	123	19.16	 	0	0	 	4	0.62	 	0	0	 	0	0	 	42	6.54	 	1	0.16	 	126	19.63	 	277	43.15	 	5	0.78	 	0	0	 	0	0	 	17	2.65	 	0	0	 	642	97.42	 	17	2.58	 	659	0.92
Golden Beach		                               	6	0.2	 	1	0.03	 	3	0.1	 	8	0.26	 	56	1.84	 	10	0.33	 	48	1.57	 	0	0	 	570	18.7	 	2	0.07	 	9	0.3	 	0	0	 	1	0.03	 	230	7.55	 	4	0.13	 	811	26.61	 	1224	40.16	 	5	0.16	 	0	0	 	6	0.2	 	48	1.57	 	6	0.2	 	3048	95.46	 	145	4.54	 	3193	4.47
Kawana Waters		                              	25	0.73	 	1	0.03	 	2	0.06	 	5	0.15	 	57	1.67	 	6	0.18	 	50	1.47	 	2	0.06	 	558	16.35	 	3	0.09	 	12	0.35	 	3	0.09	 	2	0.06	 	273	8	 	3	0.09	 	1045	30.63	 	1262	36.99	 	16	0.47	 	1	0.03	 	5	0.15	 	80	2.34	 	1	0.03	 	3412	96.28	 	132	3.72	 	3544	4.96
Kuluin		                                     	10	0.42	 	0	0	 	1	0.04	 	11	0.46	 	148	6.17	 	4	0.17	 	58	2.42	 	4	0.17	 	353	14.72	 	0	0	 	9	0.38	 	3	0.13	 	3	0.13	 	196	8.17	 	6	0.25	 	652	27.19	 	876	36.53	 	9	0.38	 	0	0	 	2	0.08	 	51	2.13	 	2	0.08	 	2398	97.05	 	73	2.95	 	2471	3.46
Little Mountain		                            	8	0.79	 	2	0.2	 	0	0	 	3	0.3	 	16	1.58	 	4	0.4	 	6	0.59	 	0	0	 	177	17.51	 	0	0	 	5	0.49	 	2	0.2	 	0	0	 	61	6.03	 	0	0	 	238	23.54	 	467	46.19	 	2	0.2	 	1	0.1	 	3	0.3	 	15	1.48	 	1	0.1	 	1011	97.59	 	25	2.41	 	1036	1.45
Maroochydore		                               	10	0.44	 	0	0	 	6	0.26	 	8	0.35	 	124	5.43	 	4	0.18	 	53	2.32	 	3	0.13	 	367	16.08	 	1	0.04	 	5	0.22	 	1	0.04	 	0	0	 	155	6.79	 	5	0.22	 	624	27.33	 	817	35.79	 	10	0.44	 	2	0.09	 	3	0.13	 	85	3.72	 	0	0	 	2283	96.61	 	80	3.39	 	2363	3.3
Maroochydore East		                          	20	0.97	 	0	0	 	0	0	 	12	0.58	 	109	5.28	 	7	0.34	 	36	1.74	 	2	0.1	 	349	16.89	 	1	0.05	 	8	0.39	 	3	0.15	 	1	0.05	 	146	7.07	 	1	0.05	 	642	31.07	 	652	31.56	 	1	0.05	 	13	0.63	 	6	0.29	 	56	2.71	 	1	0.05	 	2066	97.09	 	62	2.91	 	2128	2.98
Montville (Fisher)		                         	1	1.11	 	0	0	 	0	0	 	2	2.22	 	4	4.44	 	0	0	 	0	0	 	0	0	 	10	11.11	 	0	0	 	0	0	 	0	0	 	0	0	 	11	12.22	 	0	0	 	13	14.44	 	47	52.22	 	0	0	 	0	0	 	0	0	 	2	2.22	 	0	0	 	90	100	 	0	0	 	90	0.13
Mooloolaba		                                 	19	0.5	 	0	0	 	0	0	 	17	0.44	 	300	7.84	 	3	0.08	 	58	1.52	 	3	0.08	 	516	13.49	 	0	0	 	9	0.24	 	5	0.13	 	2	0.05	 	323	8.44	 	0	0	 	881	23.03	 	1548	40.47	 	19	0.5	 	0	0	 	5	0.13	 	116	3.03	 	1	0.03	 	3825	97.33	 	105	2.67	 	3930	5.5
