House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Wannon																												
				MCDONALD			PACKER			O'BRIEN			BLAIR			WITNEY			SCHMIDT			HAWKER			MORROW			
	SECOND			9	31.03		6	20.69			Excluded		1	3.45		1	3.45		4	13.79		5	17.24		3	10.34		29
		TOTAL		155	4.84		98	3.06					87	2.71		46	1.44		81	2.53		1574	49.11		1164	36.32		3205
	THIRD			8	17.39		6	13.04					5	10.87			Excluded		11	23.91		10	21.74		6	13.04		46
		TOTAL		163	5.09		104	3.24					92	2.87					92	2.87		1584	49.42		1170	36.51		3205
	FOURTH				Excluded		63	38.65					23	14.11					16	9.82		41	25.15		20	12.27		163
		TOTAL					167	5.21					115	3.59					108	3.37		1625	50.70		1190	37.13		3205
	FIFTH						27	25.00					22	20.37						Excluded		41	37.96		18	16.67		108
		TOTAL					194	6.05					137	4.27								1666	51.98		1208	37.69		3205
	SIXTH							Excluded					139	71.65								29	14.95		26	13.40		194
		TOTAL											276	8.61								1695	52.89		1234	38.50		3205
	SEVENTH													Excluded								142	51.45		134	48.55		276
		TOTAL																				1837	57.32		1368	42.68		3205
																						Elected						
																												
Hamilton Central                                               																												
	FIRST			6	2.01		10	3.34		2	0.67		12	4.01		0	0.00		4	1.34		180	60.20		85	28.43		299
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		7	2.34		10	3.34					13	4.35		0	0.00		4	1.34		180	60.20		85	28.43		299
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		7	2.34		10	3.34					13	4.35					4	1.34		180	60.20		85	28.43		299
	FOURTH				Excluded		5	71.43					1	14.29					0	0.00		1	14.29		0	0.00		7
		TOTAL					15	5.02					14	4.68					4	1.34		181	60.54		85	28.43		299
	FIFTH						0	0.00					0	0.00						Excluded		3	75.00		1	25.00		4
		TOTAL					15	5.02					14	4.68								184	61.54		86	28.76		299
	SIXTH							Excluded					12	80.00								2	13.33		1	6.67		15
		TOTAL											26	8.70								186	62.21		87	29.10		299
	SEVENTH													Excluded								13	50.00		13	50.00		26
		TOTAL																				199	66.56		100	33.44		299
																						Elected						
																												
Hamilton East                                                  																												
	FIRST			33	5.18		14	2.20		3	0.47		12	1.88		3	0.47		17	2.67		309	48.51		246	38.62		637
	SECOND			0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33		3
		TOTAL		33	5.18		15	2.35					12	1.88		3	0.47		17	2.67		310	48.67		247	38.78		637
	THIRD			0	0.00		0	0.00					1	33.33			Excluded		1	33.33		1	33.33		0	0.00		3
		TOTAL		33	5.18		15	2.35					13	2.04					18	2.83		311	48.82		247	38.78		637
	FOURTH				Excluded		7	21.21					3	9.09					5	15.15		11	33.33		7	21.21		33
		TOTAL					22	3.45					16	2.51					23	3.61		322	50.55		254	39.87		637
	FIFTH						8	34.78					8	34.78						Excluded		4	17.39		3	13.04		23
		TOTAL					30	4.71					24	3.77								326	51.18		257	40.35		637
	SIXTH							Excluded					18	60.00								0	0.00		12	40.00		30
		TOTAL											42	6.59								326	51.18		269	42.23		637
	SEVENTH													Excluded								25	59.52		17	40.48		42
		TOTAL																				351	55.10		286	44.90		637
																						Elected						
																												
Hamilton North                                                 																												
	FIRST			40	8.40		20	4.20		5	1.05		7	1.47		6	1.26		12	2.52		207	43.49		179	37.61		476
	SECOND			3	60.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		43	9.03		21	4.41					7	1.47		7	1.47		12	2.52		207	43.49		179	37.61		476
	THIRD			3	42.86		0	0.00					0	0.00			Excluded		1	14.29		3	42.86		0	0.00		7
		TOTAL		46	9.66		21	4.41					7	1.47					13	2.73		210	44.12		179	37.61		476
	FOURTH				Excluded		14	30.43					4	8.70					6	13.04		12	26.09		10	21.74		46
		TOTAL					35	7.35					11	2.31					19	3.99		222	46.64		189	39.71		476
	FIFTH						4	21.05					5	26.32						Excluded		7	36.84		3	15.79		19
		TOTAL					39	8.19					16	3.36								229	48.11		192	40.34		476
	SIXTH							Excluded					27	69.23								8	20.51		4	10.26		39
		TOTAL											43	9.03								237	49.79		196	41.18		476
	SEVENTH													Excluded								23	53.49		20	46.51		43
		TOTAL																				260	54.62		216	45.38		476
																						Elected						
																												
Hawkesdale                                                     																												
	FIRST			7	2.15		4	1.23		4	1.23		10	3.08		11	3.38		13	4.00		210	64.62		66	20.31		325
	SECOND			0	0.00		1	25.00			Excluded		2	50.00		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		7	2.15		5	1.54					12	3.69		11	3.38		13	4.00		211	64.92		66	20.31		325
	THIRD			3	27.27		1	9.09					2	18.18			Excluded		0	0.00		4	36.36		1	9.09		11
		TOTAL		10	3.08		6	1.85					14	4.31					13	4.00		215	66.15		67	20.62		325
	FOURTH				Excluded		4	40.00					1	10.00					1	10.00		3	30.00		1	10.00		10
		TOTAL					10	3.08					15	4.62					14	4.31		218	67.08		68	20.92		325
	FIFTH						0	0.00					2	14.29						Excluded		7	50.00		5	35.71		14
		TOTAL					10	3.08					17	5.23								225	69.23		73	22.46		325
	SIXTH							Excluded					7	70.00								1	10.00		2	20.00		10
		TOTAL											24	7.38								226	69.54		75	23.08		325
	SEVENTH													Excluded								7	29.17		17	70.83		24
		TOTAL																				233	71.69		92	28.31		325
																						Elected						
																												
Heywood                                                        																												
	FIRST			57	4.60		19	1.53		8	0.65		16	1.29		20	1.61		36	2.91		654	52.78		429	34.62		1239
	SECOND			3	37.50		4	50.00			Excluded		1	12.50		0	0.00		0	0.00		0	0.00		0	0.00		8
		TOTAL		60	4.84		23	1.86					17	1.37		20	1.61		36	2.91		654	52.78		429	34.62		1239
	THIRD			4	20.00		2	10.00					1	5.00			Excluded		3	15.00		7	35.00		3	15.00		20
		TOTAL		64	5.17		25	2.02					18	1.45					39	3.15		661	53.35		432	34.87		1239
	FOURTH				Excluded		20	31.25					9	14.06					7	10.94		17	26.56		11	17.19		64
		TOTAL					45	3.63					27	2.18					46	3.71		678	54.72		443	35.75		1239
	FIFTH						12	26.09					8	17.39						Excluded		15	32.61		11	23.91		46
		TOTAL					57	4.60					35	2.82								693	55.93		454	36.64		1239
	SIXTH							Excluded					37	64.91								10	17.54		10	17.54		57
		TOTAL											72	5.81								703	56.74		464	37.45		1239
	SEVENTH													Excluded								33	45.83		39	54.17		72
		TOTAL																				736	59.40		503	40.60		1239
																						Elected						
																												
Kennedy Street                                                 																												
	FIRST			34	2.28		40	2.68		9	0.60		55	3.69		16	1.07		46	3.08		602	40.35		690	46.25		1492
	SECOND			3	33.33		2	22.22			Excluded		1	11.11		1	11.11		0	0.00		1	11.11		1	11.11		9
		TOTAL		37	2.48		42	2.82					56	3.75		17	1.14		46	3.08		603	40.42		691	46.31		1492
	THIRD			2	11.76		3	17.65					3	17.65			Excluded		3	17.65		3	17.65		3	17.65		17
		TOTAL		39	2.61		45	3.02					59	3.95					49	3.28		606	40.62		694	46.51		1492
	FOURTH				Excluded		19	48.72					6	15.38					3	7.69		7	17.95		4	10.26		39
		TOTAL					64	4.29					65	4.36					52	3.49		613	41.09		698	46.78		1492
	FIFTH						11	21.15					13	25.00						Excluded		18	34.62		10	19.23		52
		TOTAL					75	5.03					78	5.23								631	42.29		708	47.45		1492
	SIXTH							Excluded					51	68.00								8	10.67		16	21.33		75
		TOTAL											129	8.65								639	42.83		724	48.53		1492
	SEVENTH													Excluded								60	46.51		69	53.49		129
		TOTAL																				699	46.85		793	53.15		1492
																						Elected						
																												
Kings College                                                  																												
	FIRST			17	1.26		30	2.22		22	1.63		56	4.15		18	1.33		26	1.92		809	59.88		373	27.61		1351
	SECOND			5	22.73		1	4.55			Excluded		2	9.09		1	4.55		1	4.55		9	40.91		3	13.64		22
		TOTAL		22	1.63		31	2.29					58	4.29		19	1.41		27	2.00		818	60.55		376	27.83		1351
	THIRD			2	10.53		2	10.53					4	21.05			Excluded		2	10.53		6	31.58		3	15.79		19
		TOTAL		24	1.78		33	2.44					62	4.59					29	2.15		824	60.99		379	28.05		1351
	FOURTH				Excluded		12	50.00					4	16.67					4	16.67		2	8.33		2	8.33		24
		TOTAL					45	3.33					66	4.89					33	2.44		826	61.14		381	28.20		1351
	FIFTH						4	12.12					12	36.36						Excluded		8	24.24		9	27.27		33
		TOTAL					49	3.63					78	5.77								834	61.73		390	28.87		1351
	SIXTH							Excluded					27	55.10								9	18.37		13	26.53		49
		TOTAL											105	7.77								843	62.40		403	29.83		1351
	SEVENTH													Excluded								51	48.57		54	51.43		105
		TOTAL																				894	66.17		457	33.83		1351
																						Elected						
																												
Koroit                                                         																												
	FIRST			23	1.57		50	3.41		18	1.23		66	4.50		51	3.48		40	2.73		760	51.84		458	31.24		1466
	SECOND			1	5.56		2	11.11			Excluded		4	22.22		3	16.67		1	5.56		2	11.11		5	27.78		18
		TOTAL		24	1.64		52	3.55					70	4.77		54	3.68		41	2.80		762	51.98		463	31.58		1466
	THIRD			15	27.78		5	9.26					9	16.67			Excluded		4	7.41		13	24.07		8	14.81		54
		TOTAL		39	2.66		57	3.89					79	5.39					45	3.07		775	52.86		471	32.13		1466
	FOURTH				Excluded		19	48.72					8	20.51					6	15.38		4	10.26		2	5.13		39
		TOTAL					76	5.18					87	5.93					51	3.48		779	53.14		473	32.26		1466
	FIFTH						15	29.41					11	21.57						Excluded		15	29.41		10	19.61		51
		TOTAL					91	6.21					98	6.68								794	54.16		483	32.95		1466
	SIXTH							Excluded					58	63.74								16	17.58		17	18.68		91
		TOTAL											156	10.64								810	55.25		500	34.11		1466
	SEVENTH													Excluded								57	36.54		99	63.46		156
		TOTAL																				867	59.14		599	40.86		1466
																						Elected						
																												
Lake Bolac                                                     																												
	FIRST			9	2.79		3	0.93		1	0.31		4	1.24		2	0.62		10	3.10		221	68.42		73	22.60		323
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL		9	2.79		3	0.93					4	1.24		2	0.62		10	3.10		221	68.42		74	22.91		323
	THIRD			0	0.00		1	50.00					0	0.00			Excluded		0	0.00		0	0.00		1	50.00		2
		TOTAL		9	2.79		4	1.24					4	1.24					10	3.10		221	68.42		75	23.22		323
	FOURTH				Excluded		4	44.44					2	22.22					1	11.11		1	11.11		1	11.11		9
		TOTAL					8	2.48					6	1.86					11	3.41		222	68.73		76	23.53		323
	FIFTH						4	36.36					0	0.00						Excluded		6	54.55		1	9.09		11
		TOTAL					12	3.72					6	1.86								228	70.59		77	23.84		323
	SIXTH							Excluded					9	75.00								1	8.33		2	16.67		12
		TOTAL											15	4.64								229	70.90		79	24.46		323
	SEVENTH													Excluded								7	46.67		8	53.33		15
		TOTAL																				236	73.07		87	26.93		323
																						Elected						
																												
Linton                                                         																												
	FIRST			7	1.94		11	3.06		2	0.56		10	2.78		6	1.67		12	3.33		138	38.33		174	48.33		360
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		9	2.50		11	3.06					10	2.78		6	1.67		12	3.33		138	38.33		174	48.33		360
	THIRD			1	16.67		0	0.00					1	16.67			Excluded		0	0.00		1	16.67		3	50.00		6
		TOTAL		10	2.78		11	3.06					11	3.06					12	3.33		139	38.61		177	49.17		360
	FOURTH				Excluded		4	40.00					3	30.00					0	0.00		0	0.00		3	30.00		10
		TOTAL					15	4.17					14	3.89					12	3.33		139	38.61		180	50.00		360
	FIFTH						1	8.33					3	25.00						Excluded		3	25.00		5	41.67		12
		TOTAL					16	4.44					17	4.72								142	39.44		185	51.39		360
	SIXTH							Excluded					10	62.50								2	12.50		4	25.00		16
		TOTAL											27	7.50								144	40.00		189	52.50		360
	SEVENTH													Excluded								10	37.04		17	62.96		27
		TOTAL																				154	42.78		206	57.22		360
																						Elected						
																												
Lismore                                                        																												
	FIRST			7	1.69		7	1.69		2	0.48		9	2.17		9	2.17		16	3.86		280	67.47		85	20.48		415
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL		7	1.69		7	1.69					9	2.17		10	2.41		16	3.86		281	67.71		85	20.48		415
	THIRD			3	30.00		0	0.00					0	0.00			Excluded		4	40.00		3	30.00		0	0.00		10
		TOTAL		10	2.41		7	1.69					9	2.17					20	4.82		284	68.43		85	20.48		415
	FOURTH				Excluded		7	70.00					0	0.00					3	30.00		0	0.00		0	0.00		10
		TOTAL					14	3.37					9	2.17					23	5.54		284	68.43		85	20.48		415
	FIFTH						3	13.04					4	17.39						Excluded		12	52.17		4	17.39		23
		TOTAL					17	4.10					13	3.13								296	71.33		89	21.45		415
	SIXTH							Excluded					10	58.82								4	23.53		3	17.65		17
		TOTAL											23	5.54								300	72.29		92	22.17		415
	SEVENTH													Excluded								13	56.52		10	43.48		23
		TOTAL																				313	75.42		102	24.58		415
																						Elected						
																												
Macarthur                                                      																												
	FIRST			21	4.75		7	1.58		6	1.36		6	1.36		16	3.62		16	3.62		255	57.69		115	26.02		442
	SECOND			3	50.00		0	0.00			Excluded		1	16.67		0	0.00		0	0.00		2	33.33		0	0.00		6
		TOTAL		24	5.43		7	1.58					7	1.58		16	3.62		16	3.62		257	58.14		115	26.02		442
	THIRD			5	31.25		3	18.75					2	12.50			Excluded		1	6.25		4	25.00		1	6.25		16
		TOTAL		29	6.56		10	2.26					9	2.04					17	3.85		261	59.05		116	26.24		442
	FOURTH				Excluded		11	37.93					7	24.14					3	10.34		6	20.69		2	6.90		29
		TOTAL					21	4.75					16	3.62					20	4.52		267	60.41		118	26.70		442
	FIFTH						8	40.00					0	0.00						Excluded		11	55.00		1	5.00		20
		TOTAL					29	6.56					16	3.62								278	62.90		119	26.92		442
	SIXTH							Excluded					14	48.28								9	31.03		6	20.69		29
		TOTAL											30	6.79								287	64.93		125	28.28		442
	SEVENTH													Excluded								17	56.67		13	43.33		30
		TOTAL																				304	68.78		138	31.22		442
																						Elected						
																												
Mailors Flat                                                   																												
	FIRST			9	1.99		11	2.43		6	1.32		11	2.43		8	1.77		10	2.21		303	66.89		95	20.97		453
	SECOND			1	16.67		2	33.33			Excluded		1	16.67		0	0.00		2	33.33		0	0.00		0	0.00		6
		TOTAL		10	2.21		13	2.87					12	2.65		8	1.77		12	2.65		303	66.89		95	20.97		453
	THIRD			2	25.00		0	0.00					1	12.50			Excluded		2	25.00		2	25.00		1	12.50		8
		TOTAL		12	2.65		13	2.87					13	2.87					14	3.09		305	67.33		96	21.19		453
	FOURTH				Excluded		3	25.00					2	16.67					2	16.67		4	33.33		1	8.33		12
		TOTAL					16	3.53					15	3.31					16	3.53		309	68.21		97	21.41		453
	FIFTH						3	18.75					2	12.50						Excluded		9	56.25		2	12.50		16
		TOTAL					19	4.19					17	3.75								318	70.20		99	21.85		453
	SIXTH							Excluded					13	68.42								3	15.79		3	15.79		19
		TOTAL											30	6.62								321	70.86		102	22.52		453
	SEVENTH													Excluded								16	53.33		14	46.67		30
		TOTAL																				337	74.39		116	25.61		453
																						Elected						
																												
Melbourne (Wannon)                                             																												
	FIRST			0	0.00		7	9.21		1	1.32		3	3.95		2	2.63		0	0.00		39	51.32		24	31.58		76
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		1	1.32		7	9.21					3	3.95		2	2.63		0	0.00		39	51.32		24	31.58		76
	THIRD			0	0.00		1	50.00					0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2
		TOTAL		1	1.32		8	10.53					3	3.95					0	0.00		40	52.63		24	31.58		76
	FOURTH				Excluded		1	100.00					0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL					9	11.84					3	3.95					0	0.00		40	52.63		24	31.58		76
	FIFTH						0	0.00					0	0.00						Excluded		0	0.00		0	0.00		0
		TOTAL					9	11.84					3	3.95								40	52.63		24	31.58		76
	SIXTH							Excluded					7	77.78								1	11.11		1	11.11		9
		TOTAL											10	13.16								41	53.95		25	32.89		76
	SEVENTH													Excluded								6	60.00		4	40.00		10
		TOTAL																				47	61.84		29	38.16		76
																						Elected						
																												
Merino                                                         																												
	FIRST			39	13.49		6	2.08		3	1.04		5	1.73		2	0.69		9	3.11		135	46.71		90	31.14		289
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		40	13.84		6	2.08					6	2.08		2	0.69		10	3.46		135	46.71		90	31.14		289
	THIRD			0	0.00		0	0.00					1	50.00			Excluded		1	50.00		0	0.00		0	0.00		2
		TOTAL		40	13.84		6	2.08					7	2.42					11	3.81		135	46.71		90	31.14		289
	FOURTH				Excluded		4	10.00					6	15.00					4	10.00		14	35.00		12	30.00		40
		TOTAL					10	3.46					13	4.50					15	5.19		149	51.56		102	35.29		289
	FIFTH						7	46.67					0	0.00						Excluded		7	46.67		1	6.67		15
		TOTAL					17	5.88					13	4.50								156	53.98		103	35.64		289
	SIXTH							Excluded					9	52.94								3	17.65		5	29.41		17
		TOTAL											22	7.61								159	55.02		108	37.37		289
	SEVENTH													Excluded								7	31.82		15	68.18		22
		TOTAL																				166	57.44		123	42.56		289
																						Elected						
																												
Merrivale                                                      																												
	FIRST			11	1.49		22	2.99		15	2.04		35	4.76		19	2.58		22	2.99		333	45.24		279	37.91		736
	SECOND			3	20.00		1	6.67			Excluded		4	26.67		0	0.00		0	0.00		1	6.67		6	40.00		15
		TOTAL		14	1.90		23	3.13					39	5.30		19	2.58		22	2.99		334	45.38		285	38.72		736
	THIRD			5	26.32		2	10.53					4	21.05			Excluded		3	15.79		2	10.53		3	15.79		19
		TOTAL		19	2.58		25	3.40					43	5.84					25	3.40		336	45.65		288	39.13		736
	FOURTH				Excluded		10	52.63					3	15.79					2	10.53		2	10.53		2	10.53		19
		TOTAL					35	4.76					46	6.25					27	3.67		338	45.92		290	39.40		736
	FIFTH						2	7.41					8	29.63						Excluded		12	44.44		5	18.52		27
		TOTAL					37	5.03					54	7.34								350	47.55		295	40.08		736
	SIXTH							Excluded					22	59.46								8	21.62		7	18.92		37
		TOTAL											76	10.33								358	48.64		302	41.03		736
	SEVENTH													Excluded								31	40.79		45	59.21		76
		TOTAL																				389	52.85		347	47.15		736
																						Elected						
																												
Mortlake                                                       																												
	FIRST			12	1.21		22	2.22		15	1.51		19	1.92		23	2.32		14	1.41		583	58.77		304	30.65		992
	SECOND			4	26.67		1	6.67			Excluded		6	40.00		3	20.00		0	0.00		0	0.00		1	6.67		15
		TOTAL		16	1.61		23	2.32					25	2.52		26	2.62		14	1.41		583	58.77		305	30.75		992
	THIRD			4	15.38		1	3.85					4	15.38			Excluded		5	19.23		6	23.08		6	23.08		26
		TOTAL		20	2.02		24	2.42					29	2.92					19	1.92		589	59.38		311	31.35		992
	FOURTH				Excluded		7	35.00					3	15.00					2	10.00		2	10.00		6	30.00		20
		TOTAL					31	3.13					32	3.23					21	2.12		591	59.58		317	31.96		992
	FIFTH						6	28.57					4	19.05						Excluded		6	28.57		5	23.81		21
		TOTAL					37	3.73					36	3.63								597	60.18		322	32.46		992
	SIXTH							Excluded					24	64.86								6	16.22		7	18.92		37
		TOTAL											60	6.05								603	60.79		329	33.17		992
	SEVENTH													Excluded								29	48.33		31	51.67		60
		TOTAL																				632	63.71		360	36.29		992
																						Elected						
																												
Moyston                                                        																												
	FIRST			4	1.83		3	1.38		2	0.92		13	5.96		8	3.67		10	4.59		104	47.71		74	33.94		218
	SECOND			0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	1.83		4	1.83					14	6.42		8	3.67		10	4.59		104	47.71		74	33.94		218
	THIRD			2	25.00		0	0.00					1	12.50			Excluded		1	12.50		1	12.50		3	37.50		8
		TOTAL		6	2.75		4	1.83					15	6.88					11	5.05		105	48.17		77	35.32		218
	FOURTH				Excluded		1	16.67					1	16.67					1	16.67		1	16.67		2	33.33		6
		TOTAL					5	2.29					16	7.34					12	5.50		106	48.62		79	36.24		218
	FIFTH						0	0.00					2	16.67						Excluded		9	75.00		1	8.33		12
		TOTAL					5	2.29					18	8.26								115	52.75		80	36.70		218
	SIXTH							Excluded					4	80.00								0	0.00		1	20.00		5
		TOTAL											22	10.09								115	52.75		81	37.16		218
	SEVENTH													Excluded								11	50.00		11	50.00		22
		TOTAL																				126	57.80		92	42.20		218
																						Elected						
																												
Naringal                                                       																												
	FIRST			4	2.11		1	0.53		4	2.11		4	2.11		2	1.05		6	3.16		141	74.21		28	14.74		190
	SECOND			0	0.00		1	25.00			Excluded		0	0.00		1	25.00		0	0.00		1	25.00		1	25.00		4
		TOTAL		4	2.11		2	1.05					4	2.11		3	1.58		6	3.16		142	74.74		29	15.26		190
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		1	33.33		1	33.33		1	33.33		3
		TOTAL		4	2.11		2	1.05					4	2.11					7	3.68		143	75.26		30	15.79		190
	FOURTH				Excluded		1	25.00					0	0.00					1	25.00		1	25.00		1	25.00		4
		TOTAL					3	1.58					4	2.11					8	4.21		144	75.79		31	16.32		190
	FIFTH						1	12.50					4	50.00						Excluded		3	37.50		0	0.00		8
		TOTAL					4	2.11					8	4.21								147	77.37		31	16.32		190
	SIXTH							Excluded					1	25.00								3	75.00		0	0.00		4
		TOTAL											9	4.74								150	78.95		31	16.32		190
	SEVENTH													Excluded								4	44.44		5	55.56		9
		TOTAL																				154	81.05		36	18.95		190
																						Elected						
																												
Narrawong                                                      																												
	FIRST			4	1.59		5	1.99		5	1.99		13	5.18		0	0.00		10	3.98		124	49.40		90	35.86		251
	SECOND			1	20.00		1	20.00			Excluded		0	0.00		0	0.00		1	20.00		0	0.00		2	40.00		5
		TOTAL		5	1.99		6	2.39					13	5.18		0	0.00		11	4.38		124	49.40		92	36.65		251
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		5	1.99		6	2.39					13	5.18					11	4.38		124	49.40		92	36.65		251
	FOURTH				Excluded		2	40.00					2	40.00					0	0.00		1	20.00		0	0.00		5
		TOTAL					8	3.19					15	5.98					11	4.38		125	49.80		92	36.65		251
	FIFTH						2	18.18					1	9.09						Excluded		6	54.55		2	18.18		11
		TOTAL					10	3.98					16	6.37								131	52.19		94	37.45		251
	SIXTH							Excluded					6	60.00								3	30.00		1	10.00		10
		TOTAL											22	8.76								134	53.39		95	37.85		251
	SEVENTH													Excluded								7	31.82		15	68.18		22
		TOTAL																				141	56.18		110	43.82		251
																						Elected						
																												
Nelson                                                         																												
	FIRST			2	1.21		7	4.24		0	0.00		5	3.03		1	0.61		18	10.91		85	51.52		47	28.48		165
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		2	1.21		7	4.24					5	3.03		1	0.61		18	10.91		85	51.52		47	28.48		165
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		2	1.21		7	4.24					5	3.03					18	10.91		86	52.12		47	28.48		165
	FOURTH				Excluded		2	100.00					0	0.00					0	0.00		0	0.00		0	0.00		2
		TOTAL					9	5.45					5	3.03					18	10.91		86	52.12		47	28.48		165
	FIFTH						3	16.67					1	5.56						Excluded		7	38.89		7	38.89		18
		TOTAL					12	7.27					6	3.64								93	56.36		54	32.73		165
	SIXTH							Excluded					8	66.67								1	8.33		3	25.00		12
		TOTAL											14	8.48								94	56.97		57	34.55		165
	SEVENTH													Excluded								7	50.00		7	50.00		14
		TOTAL																				101	61.21		64	38.79		165
																						Elected						
																												
Noorat                                                         																												
	FIRST			3	0.68		8	1.81		4	0.91		14	3.17		4	0.91		6	1.36		316	71.66		86	19.50		441
	SECOND			1	25.00		1	25.00			Excluded		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		4
		TOTAL		4	0.91		9	2.04					14	3.17		4	0.91		6	1.36		318	72.11		86	19.50		441
	THIRD			1	25.00		0	0.00					1	25.00			Excluded		0	0.00		1	25.00		1	25.00		4
		TOTAL		5	1.13		9	2.04					15	3.40					6	1.36		319	72.34		87	19.73		441
	FOURTH				Excluded		2	40.00					0	0.00					0	0.00		2	40.00		1	20.00		5
		TOTAL					11	2.49					15	3.40					6	1.36		321	72.79		88	19.95		441
	FIFTH						1	16.67					2	33.33						Excluded		2	33.33		1	16.67		6
		TOTAL					12	2.72					17	3.85								323	73.24		89	20.18		441
	SIXTH							Excluded					7	58.33								1	8.33		4	33.33		12
		TOTAL											24	5.44								324	73.47		93	21.09		441
	SEVENTH													Excluded								10	41.67		14	58.33		24
		TOTAL																				334	75.74		107	24.26		441
																						Elected						
																												
Nullawarre                                                     																												
	FIRST			6	1.54		4	1.03		5	1.29		12	3.08		8	2.06		11	2.83		296	76.09		47	12.08		389
	SECOND			0	0.00		0	0.00			Excluded		2	40.00		1	20.00		0	0.00		2	40.00		0	0.00		5
		TOTAL		6	1.54		4	1.03					14	3.60		9	2.31		11	2.83		298	76.61		47	12.08		389
	THIRD			0	0.00		0	0.00					3	33.33			Excluded		2	22.22		3	33.33		1	11.11		9
		TOTAL		6	1.54		4	1.03					17	4.37					13	3.34		301	77.38		48	12.34		389
	FOURTH				Excluded		4	66.67					1	16.67					1	16.67		0	0.00		0	0.00		6
		TOTAL					8	2.06					18	4.63					14	3.60		301	77.38		48	12.34		389
	FIFTH						3	21.43					0	0.00						Excluded		8	57.14		3	21.43		14
		TOTAL					11	2.83					18	4.63								309	79.43		51	13.11		389
	SIXTH							Excluded					8	72.73								2	18.18		1	9.09		11
		TOTAL											26	6.68								311	79.95		52	13.37		389
	SEVENTH													Excluded								9	34.62		17	65.38		26
		TOTAL																				320	82.26		69	17.74		389
																						Elected						
																												
Orford                                                         																												
	FIRST			2	1.82		4	3.64		2	1.82		1	0.91		2	1.82		7	6.36		72	65.45		20	18.18		110
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		3	2.73		4	3.64					2	1.82		2	1.82		7	6.36		72	65.45		20	18.18		110
	THIRD			0	0.00		0	0.00					0	0.00			Excluded		1	50.00		0	0.00		1	50.00		2
		TOTAL		3	2.73		4	3.64					2	1.82					8	7.27		72	65.45		21	19.09		110
	FOURTH				Excluded		0	0.00					1	33.33					0	0.00		2	66.67		0	0.00		3
		TOTAL					4	3.64					3	2.73					8	7.27		74	67.27		21	19.09		110
	FIFTH						2	25.00					2	25.00						Excluded		0	0.00		4	50.00		8
		TOTAL					6	5.45					5	4.55								74	67.27		25	22.73		110
	SIXTH							Excluded					3	50.00								0	0.00		3	50.00		6
		TOTAL											8	7.27								74	67.27		28	25.45		110
	SEVENTH													Excluded								5	62.50		3	37.50		8
		TOTAL																				79	71.82		31	28.18		110
																						Elected						
																												
Panmure                                                        																												
	FIRST			7	1.83		7	1.83		8	2.09		12	3.13		12	3.13		8	2.09		262	68.41		67	17.49		383
	SECOND			0	0.00		0	0.00			Excluded		4	50.00		1	12.50		0	0.00		3	37.50		0	0.00		8
		TOTAL		7	1.83		7	1.83					16	4.18		13	3.39		8	2.09		265	69.19		67	17.49		383
	THIRD			6	46.15		0	0.00					1	7.69			Excluded		1	7.69		4	30.77		1	7.69		13
		TOTAL		13	3.39		7	1.83					17	4.44					9	2.35		269	70.23		68	17.75		383
	FOURTH				Excluded		3	23.08					1	7.69					3	23.08		4	30.77		2	15.38		13
		TOTAL					10	2.61					18	4.70					12	3.13		273	71.28		70	18.28		383
	FIFTH						5	41.67					1	8.33						Excluded		5	41.67		1	8.33		12
