House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Maranoa																							
				WILSON			BOWDEN			ROLLS			MCNICHOL			SCOTT			NEMETH				
	FIRST			8	3.74		38	17.76		5	2.34		39	18.22		123	57.48		1	0.47		214	
	SECOND			0	0.00		1	20.00			Excluded		3	60.00		1	20.00		0	0.00		5	
		TOTAL		8	3.74		39	18.22					42	19.63		124	57.94		1	0.47		214	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		8	3.74		39	18.22					42	19.63		125	58.41					214	
	FOURTH				Excluded		3	37.50					1	12.50		4	50.00					8	
		TOTAL					42	19.63					43	20.09		129	60.28					214	
	FIFTH						19	44.19						Excluded		24	55.81					43	
		TOTAL					61	28.50								153	71.50					214	
																Elected							
																							
Dulacca                                                        																							
	FIRST			3	2.05		2	1.37		4	2.74		33	22.60		104	71.23		0	0.00		146	
	SECOND			1	25.00		0	0.00			Excluded		2	50.00		1	25.00		0	0.00		4	
		TOTAL		4	2.74		2	1.37					35	23.97		105	71.92		0	0.00		146	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		4	2.74		2	1.37					35	23.97		105	71.92					146	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					5	3.42					35	23.97		106	72.60					146	
	FIFTH						15	42.86						Excluded		20	57.14					35	
		TOTAL					20	13.70								126	86.30					146	
																Elected							
																							
Emerald                                                        																							
	FIRST			99	4.09		721	29.81		20	0.83		326	13.48		1219	50.39		34	1.41		2419	
	SECOND			6	30.00		3	15.00			Excluded		6	30.00		3	15.00		2	10.00		20	
		TOTAL		105	4.34		724	29.93					332	13.72		1222	50.52		36	1.49		2419	
	THIRD			15	41.67		7	19.44					2	5.56		12	33.33			Excluded		36	
		TOTAL		120	4.96		731	30.22					334	13.81		1234	51.01					2419	
	FOURTH				Excluded		70	58.33					14	11.67		36	30.00					120	
		TOTAL					801	33.11					348	14.39		1270	52.50					2419	
	FIFTH						160	45.98						Excluded		188	54.02					348	
		TOTAL					961	39.73								1458	60.27					2419	
																Elected							
																							
Emerald North                                                  																							
	FIRST			47	3.40		511	36.98		7	0.51		148	10.71		637	46.09		32	2.32		1382	
	SECOND			2	28.57		2	28.57			Excluded		1	14.29		2	28.57		0	0.00		7	
		TOTAL		49	3.55		513	37.12					149	10.78		639	46.24		32	2.32		1382	
	THIRD			9	28.13		10	31.25					5	15.63		8	25.00			Excluded		32	
		TOTAL		58	4.20		523	37.84					154	11.14		647	46.82					1382	
	FOURTH				Excluded		30	51.72					12	20.69		16	27.59					58	
		TOTAL					553	40.01					166	12.01		663	47.97					1382	
	FIFTH						54	32.53						Excluded		112	67.47					166	
		TOTAL					607	43.92								775	56.08					1382	
																Elected							
																							
Emerald South                                                  																							
	FIRST			30	4.22		229	32.21		3	0.42		84	11.81		355	49.93		10	1.41		711	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		2	66.67		1	33.33		3	
		TOTAL		30	4.22		229	32.21					84	11.81		357	50.21		11	1.55		711	
	THIRD			3	27.27		4	36.36					2	18.18		2	18.18			Excluded		11	
		TOTAL		33	4.64		233	32.77					86	12.10		359	50.49					711	
	FOURTH				Excluded		22	66.67					4	12.12		7	21.21					33	
		TOTAL					255	35.86					90	12.66		366	51.48					711	
	FIFTH						50	55.56						Excluded		40	44.44					90	
		TOTAL					305	42.90								406	57.10					711	
																Elected							
																							
Eukey                                                          																							
	FIRST			11	7.59		26	17.93		0	0.00		23	15.86		74	51.03		11	7.59		145	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		11	7.59		26	17.93					23	15.86		74	51.03		11	7.59		145	
	THIRD			6	54.55		3	27.27					1	9.09		1	9.09			Excluded		11	
		TOTAL		17	11.72		29	20.00					24	16.55		75	51.72					145	
	FOURTH				Excluded		10	58.82					5	29.41		2	11.76					17	
		TOTAL					39	26.90					29	20.00		77	53.10					145	
	FIFTH						8	27.59						Excluded		21	72.41					29	
		TOTAL					47	32.41								98	67.59					145	
																Elected							
																							
Eulo                                                           																							
	FIRST			1	1.43		13	18.57		0	0.00		10	14.29		46	65.71		0	0.00		70	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.43		13	18.57					10	14.29		46	65.71		0	0.00		70	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		1	1.43		13	18.57					10	14.29		46	65.71					70	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00					1	
		TOTAL					14	20.00					10	14.29		46	65.71					70	
	FIFTH						3	30.00						Excluded		7	70.00					10	
		TOTAL					17	24.29								53	75.71					70	
																Elected							
																							
Eumamurrin                                                     																							
	FIRST			0	0.00		2	3.23		0	0.00		3	4.84		57	91.94		0	0.00		62	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		2	3.23					3	4.84		57	91.94		0	0.00		62	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		2	3.23					3	4.84		57	91.94					62	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					2	3.23					3	4.84		57	91.94					62	
	FIFTH						1	33.33						Excluded		2	66.67					3	
		TOTAL					3	4.84								59	95.16					62	
																Elected							
																							
Gindie                                                         																							
	FIRST			1	1.08		9	9.68		1	1.08		6	6.45		76	81.72		0	0.00		93	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	1.08		9	9.68					6	6.45		77	82.80		0	0.00		93	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		1	1.08		9	9.68					6	6.45		77	82.80					93	
	FOURTH				Excluded		0	0.00					0	0.00		1	100.00					1	
		TOTAL					9	9.68					6	6.45		78	83.87					93	
	FIFTH						1	16.67						Excluded		5	83.33					6	
		TOTAL					10	10.75								83	89.25					93	
																Elected							
																							
Glen Aplin                                                     																							
	FIRST			27	8.21		71	21.58		0	0.00		73	22.19		142	43.16		16	4.86		329	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		27	8.21		71	21.58					73	22.19		142	43.16		16	4.86		329	
	THIRD			9	56.25		4	25.00					3	18.75		0	0.00			Excluded		16	
		TOTAL		36	10.94		75	22.80					76	23.10		142	43.16					329	
	FOURTH				Excluded		26	72.22					1	2.78		9	25.00					36	
		TOTAL					101	30.70					77	23.40		151	45.90					329	
	FIFTH						35	45.45						Excluded		42	54.55					77	
		TOTAL					136	41.34								193	58.66					329	
																Elected							
																							
Goomburra                                                      																							
	FIRST			3	1.99		12	7.95		0	0.00		36	23.84		97	64.24		3	1.99		151	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.99		12	7.95					36	23.84		97	64.24		3	1.99		151	
	THIRD			1	33.33		2	66.67					0	0.00		0	0.00			Excluded		3	
		TOTAL		4	2.65		14	9.27					36	23.84		97	64.24					151	
	FOURTH				Excluded		1	25.00					1	25.00		2	50.00					4	
		TOTAL					15	9.93					37	24.50		99	65.56					151	
	FIFTH						19	51.35						Excluded		18	48.65					37	
		TOTAL					34	22.52								117	77.48					151	
																Elected							
																							
Goondiwindi                                                    																							
	FIRST			54	6.54		190	23.00		2	0.24		119	14.41		448	54.24		13	1.57		826	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		55	6.66		190	23.00					120	14.53		448	54.24		13	1.57		826	
	THIRD			4	30.77		2	15.38					1	7.69		6	46.15			Excluded		13	
		TOTAL		59	7.14		192	23.24					121	14.65		454	54.96					826	
	FOURTH				Excluded		35	59.32					5	8.47		19	32.20					59	
		TOTAL					227	27.48					126	15.25		473	57.26					826	
	FIFTH						47	37.30						Excluded		79	62.70					126	
		TOTAL					274	33.17								552	66.83					826	
																Elected							
																							
Goondiwindi West                                               																							
	FIRST			108	5.05		416	19.46		19	0.89		403	18.85		1156	54.07		36	1.68		2138	
	SECOND			5	26.32		6	31.58			Excluded		2	10.53		4	21.05		2	10.53		19	
		TOTAL		113	5.29		422	19.74					405	18.94		1160	54.26		38	1.78		2138	
	THIRD			13	34.21		7	18.42					8	21.05		10	26.32			Excluded		38	
		TOTAL		126	5.89		429	20.07					413	19.32		1170	54.72					2138	
	FOURTH				Excluded		61	48.41					19	15.08		46	36.51					126	
		TOTAL					490	22.92					432	20.21		1216	56.88					2138	
	FIFTH						220	50.93						Excluded		212	49.07					432	
		TOTAL					710	33.21								1428	66.79					2138	
																Elected							
																							
Guluguba                                                       																							
	FIRST			1	1.79		0	0.00		3	5.36		15	26.79		37	66.07		0	0.00		56	
	SECOND			1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		3	
		TOTAL		2	3.57		1	1.79					15	26.79		38	67.86		0	0.00		56	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		2	3.57		1	1.79					15	26.79		38	67.86					56	
	FOURTH				Excluded		0	0.00					1	50.00		1	50.00					2	
		TOTAL					1	1.79					16	28.57		39	69.64					56	
	FIFTH						5	31.25						Excluded		11	68.75					16	
		TOTAL					6	10.71								50	89.29					56	
																Elected							
																							
Hannaford                                                      																							
	FIRST			0	0.00		1	1.89		0	0.00		8	15.09		44	83.02		0	0.00		53	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	1.89					8	15.09		44	83.02		0	0.00		53	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		0	0.00		1	1.89					8	15.09		44	83.02					53	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					1	1.89					8	15.09		44	83.02					53	
	FIFTH						5	62.50						Excluded		3	37.50					8	
		TOTAL					6	11.32								47	88.68					53	
																Elected							
																							
Hebel                                                          																							
	FIRST			0	0.00		11	18.33		0	0.00		4	6.67		44	73.33		1	1.67		60	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		11	18.33					4	6.67		44	73.33		1	1.67		60	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		0	0.00		11	18.33					4	6.67		45	75.00					60	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					11	18.33					4	6.67		45	75.00					60	
	FIFTH						1	25.00						Excluded		3	75.00					4	
		TOTAL					12	20.00								48	80.00					60	
																Elected							
																							
Inglestone                                                     																							
	FIRST			0	0.00		6	6.67		0	0.00		22	24.44		61	67.78		1	1.11		90	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		6	6.67					22	24.44		61	67.78		1	1.11		90	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		0	0.00		6	6.67					23	25.56		61	67.78					90	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					6	6.67					23	25.56		61	67.78					90	
	FIFTH						6	26.09						Excluded		17	73.91					23	
		TOTAL					12	13.33								78	86.67					90	
																Elected							
																							
Inglewood                                                      																							
	FIRST			29	3.88		294	39.36		1	0.13		105	14.06		313	41.90		5	0.67		747	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		29	3.88		294	39.36					105	14.06		314	42.03		5	0.67		747	
	THIRD			2	40.00		1	20.00					0	0.00		2	40.00			Excluded		5	
		TOTAL		31	4.15		295	39.49					105	14.06		316	42.30					747	
	FOURTH				Excluded		19	61.29					5	16.13		7	22.58					31	
		TOTAL					314	42.03					110	14.73		323	43.24					747	
	FIFTH						72	65.45						Excluded		38	34.55					110	
		TOTAL					386	51.67								361	48.33					747	
																Elected							
																							
Injune                                                         																							
	FIRST			7	2.36		27	9.12		1	0.34		51	17.23		207	69.93		3	1.01		296	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		7	2.36		27	9.12					51	17.23		208	70.27		3	1.01		296	
	THIRD			0	0.00		1	33.33					0	0.00		2	66.67			Excluded		3	
		TOTAL		7	2.36		28	9.46					51	17.23		210	70.95					296	
	FOURTH				Excluded		4	57.14					1	14.29		2	28.57					7	
		TOTAL					32	10.81					52	17.57		212	71.62					296	
	FIFTH						23	44.23						Excluded		29	55.77					52	
		TOTAL					55	18.58								241	81.42					296	
																Elected							
																							
Isisford                                                       																							
	FIRST			6	6.67		21	23.33		0	0.00		16	17.78		47	52.22		0	0.00		90	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	6.67		21	23.33					16	17.78		47	52.22		0	0.00		90	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		6	6.67		21	23.33					16	17.78		47	52.22					90	
	FOURTH				Excluded		3	50.00					3	50.00		0	0.00					6	
		TOTAL					24	26.67					19	21.11		47	52.22					90	
	FIFTH						9	47.37						Excluded		10	52.63					19	
		TOTAL					33	36.67								57	63.33					90	
																Elected							
																							
Jandowae                                                       																							
	FIRST			15	2.18		96	13.95		2	0.29		141	20.49		426	61.92		8	1.16		688	
	SECOND			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2	
		TOTAL		16	2.33		96	13.95					141	20.49		427	62.06		8	1.16		688	
	THIRD			0	0.00		0	0.00					1	12.50		7	87.50			Excluded		8	
		TOTAL		16	2.33		96	13.95					142	20.64		434	63.08					688	
	FOURTH				Excluded		5	31.25					5	31.25		6	37.50					16	
		TOTAL					101	14.68					147	21.37		440	63.95					688	
	FIFTH						71	48.30						Excluded		76	51.70					147	
		TOTAL					172	25.00								516	75.00					688	
																Elected							
																							
Jimbour                                                        																							
	FIRST			1	0.80		8	6.40		1	0.80		24	19.20		90	72.00		1	0.80		125	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	0.80		8	6.40					24	19.20		91	72.80		1	0.80		125	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		1	0.80		8	6.40					24	19.20		92	73.60					125	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00					1	
		TOTAL					9	7.20					24	19.20		92	73.60					125	
	FIFTH						8	33.33						Excluded		16	66.67					24	
		TOTAL					17	13.60								108	86.40					125	
																Elected							
																							
Jundah                                                         																							
	FIRST			1	1.56		7	10.94		1	1.56		16	25.00		39	60.94		0	0.00		64	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	1.56		7	10.94					16	25.00		40	62.50		0	0.00		64	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		1	1.56		7	10.94					16	25.00		40	62.50					64	
	FOURTH				Excluded		0	0.00					0	0.00		1	100.00					1	
		TOTAL					7	10.94					16	25.00		41	64.06					64	
	FIFTH						4	25.00						Excluded		12	75.00					16	
		TOTAL					11	17.19								53	82.81					64	
																Elected							
																							
Kaimkillenbun                                                  																							
	FIRST			8	3.45		19	8.19		4	1.72		52	22.41		145	62.50		4	1.72		232	
	SECOND			0	0.00		1	25.00			Excluded		0	0.00		2	50.00		1	25.00		4	
		TOTAL		8	3.45		20	8.62					52	22.41		147	63.36		5	2.16		232	
	THIRD			1	20.00		1	20.00					1	20.00		2	40.00			Excluded		5	
		TOTAL		9	3.88		21	9.05					53	22.84		149	64.22					232	
	FOURTH				Excluded		4	44.44					1	11.11		4	44.44					9	
		TOTAL					25	10.78					54	23.28		153	65.95					232	
	FIFTH						30	55.56						Excluded		24	44.44					54	
		TOTAL					55	23.71								177	76.29					232	
																Elected							
																							
Karara                                                         																							
	FIRST			3	3.23		12	12.90		0	0.00		17	18.28		61	65.59		0	0.00		93	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	3.23		12	12.90					17	18.28		61	65.59		0	0.00		93	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		3	3.23		12	12.90					17	18.28		61	65.59					93	
	FOURTH				Excluded		2	66.67					0	0.00		1	33.33					3	
		TOTAL					14	15.05					17	18.28		62	66.67					93	
	FIFTH						5	29.41						Excluded		12	70.59					17	
		TOTAL					19	20.43								74	79.57					93	
																Elected							
																							
Killarney                                                      																							
	FIRST			26	3.22		132	16.36		2	0.25		135	16.73		502	62.21		10	1.24		807	
	SECOND			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2	
		TOTAL		27	3.35		132	16.36					135	16.73		503	62.33		10	1.24		807	
	THIRD			4	40.00		1	10.00					3	30.00		2	20.00			Excluded		10	
		TOTAL		31	3.84		133	16.48					138	17.10		505	62.58					807	
	FOURTH				Excluded		17	54.84					5	16.13		9	29.03					31	
		TOTAL					150	18.59					143	17.72		514	63.69					807	
	FIFTH						73	51.05						Excluded		70	48.95					143	
		TOTAL					223	27.63								584	72.37					807	
																Elected							
																							
Kindon                                                         																							
	FIRST			1	1.85		4	7.41		0	0.00		14	25.93		35	64.81		0	0.00		54	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.85		4	7.41					14	25.93		35	64.81		0	0.00		54	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		1	1.85		4	7.41					14	25.93		35	64.81					54	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00					1	
		TOTAL					5	9.26					14	25.93		35	64.81					54	
	FIFTH						8	57.14						Excluded		6	42.86					14	
		TOTAL					13	24.07								41	75.93					54	
																Elected							
																							
Kogan                                                          																							
	FIRST			4	5.06		10	12.66		2	2.53		25	31.65		33	41.77		5	6.33		79	
	SECOND			0	0.00		2	100.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		4	5.06		12	15.19					25	31.65		33	41.77		5	6.33		79	
	THIRD			1	20.00		0	0.00					3	60.00		1	20.00			Excluded		5	
		TOTAL		5	6.33		12	15.19					28	35.44		34	43.04					79	
	FOURTH				Excluded		2	40.00					1	20.00		2	40.00					5	
		TOTAL					14	17.72					29	36.71		36	45.57					79	
	FIFTH						8	27.59						Excluded		21	72.41					29	
		TOTAL					22	27.85								57	72.15					79	
																Elected							
																							
Kupunn                                                         																							
	FIRST			0	0.00		14	11.86		1	0.85		22	18.64		80	67.80		1	0.85		118	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		0	0.00		14	11.86					22	18.64		81	68.64		1	0.85		118	
	THIRD			1	100.00		0	0.00					0	0.00		0	0.00			Excluded		1	
		TOTAL		1	0.85		14	11.86					22	18.64		81	68.64					118	
	FOURTH				Excluded		0	0.00					0	0.00		1	100.00					1	
		TOTAL					14	11.86					22	18.64		82	69.49					118	
	FIFTH						2	9.09						Excluded		20	90.91					22	
		TOTAL					16	13.56								102	86.44					118	
																Elected							
																							
Leyburn                                                        																							
	FIRST			8	4.49		58	32.58		3	1.69		42	23.60		67	37.64		0	0.00		178	
	SECOND			0	0.00		1	33.33			Excluded		2	66.67		0	0.00		0	0.00		3	
		TOTAL		8	4.49		59	33.15					44	24.72		67	37.64		0	0.00		178	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		8	4.49		59	33.15					44	24.72		67	37.64					178	
	FOURTH				Excluded		6	75.00					1	12.50		1	12.50					8	
		TOTAL					65	36.52					45	25.28		68	38.20					178	
	FIFTH						27	60.00						Excluded		18	40.00					45	
		TOTAL					92	51.69								86	48.31					178	
																Elected							
																							
Macalister                                                     																							
	FIRST			2	1.85		7	6.48		0	0.00		12	11.11		86	79.63		1	0.93		108	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.85		7	6.48					12	11.11		86	79.63		1	0.93		108	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		2	1.85		7	6.48					12	11.11		87	80.56					108	
	FOURTH				Excluded		1	50.00					1	50.00		0	0.00					2	
		TOTAL					8	7.41					13	12.04		87	80.56					108	
	FIFTH						4	30.77						Excluded		9	69.23					13	
		TOTAL					12	11.11								96	88.89					108	
																Elected							
																							
Maryvale                                                       																							
	FIRST			8	4.12		52	26.80		0	0.00		37	19.07		83	42.78		14	7.22		194	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		8	4.12		52	26.80					37	19.07		83	42.78		14	7.22		194	
	THIRD			11	78.57		3	21.43					0	0.00		0	0.00			Excluded		14	
		TOTAL		19	9.79		55	28.35					37	19.07		83	42.78					194	
	FOURTH				Excluded		12	63.16					4	21.05		3	15.79					19	
		TOTAL					67	34.54					41	21.13		86	44.33					194	
	FIFTH						17	41.46						Excluded		24	58.54					41	
		TOTAL					84	43.30								110	56.70					194	
																Elected							
																							
Massie                                                         																							
	FIRST			10	5.21		27	14.06		1	0.52		45	23.44		103	53.65		6	3.13		192	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		10	5.21		27	14.06					46	23.96		103	53.65		6	3.13		192	
	THIRD			1	16.67		2	33.33					2	33.33		1	16.67			Excluded		6	
		TOTAL		11	5.73		29	15.10					48	25.00		104	54.17					192	
	FOURTH				Excluded		7	63.64					2	18.18		2	18.18					11	
		TOTAL					36	18.75					50	26.04		106	55.21					192	
	FIFTH						25	50.00						Excluded		25	50.00					50	
		TOTAL					61	31.77								131	68.23					192	
																Elected							
																							
Meandarra                                                      																							
	FIRST			5	2.49		19	9.45		1	0.50		22	10.95		152	75.62		2	1.00		201	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		5	2.49		19	9.45					22	10.95		153	76.12		2	1.00		201	
	THIRD			1	50.00		0	0.00					0	0.00		1	50.00			Excluded		2	
		TOTAL		6	2.99		19	9.45					22	10.95		154	76.62					201	
	FOURTH				Excluded		3	50.00					2	33.33		1	16.67					6	
		TOTAL					22	10.95					24	11.94		155	77.11					201	
	FIFTH						11	45.83						Excluded		13	54.17					24	
		TOTAL					33	16.42								168	83.58					201	
																Elected							
																							
Miles                                                          																							
	FIRST			24	2.85		141	16.75		5	0.59		150	17.81		510	60.57		12	1.43		842	
	SECOND			1	20.00		3	60.00			Excluded		0	0.00		1	20.00		0	0.00		5	
		TOTAL		25	2.97		144	17.10					150	17.81		511	60.69		12	1.43		842	
	THIRD			6	50.00		4	33.33					0	0.00		2	16.67			Excluded		12	
		TOTAL		31	3.68		148	17.58					150	17.81		513	60.93					842	
	FOURTH				Excluded		13	41.94					6	19.35		12	38.71					31	
		TOTAL					161	19.12					156	18.53		525	62.35					842	
	FIFTH						76	48.72						Excluded		80	51.28					156	
		TOTAL					237	28.15								605	71.85					842	
																Elected							
																							
Millmerran                                                     																							
	FIRST			42	4.02		200	19.14		10	0.96		201	19.23		578	55.31		14	1.34		1045	
	SECOND			2	20.00		3	30.00			Excluded		3	30.00		1	10.00		1	10.00		10	
		TOTAL		44	4.21		203	19.43					204	19.52		579	55.41		15	1.44		1045	
	THIRD			3	20.00		2	13.33					8	53.33		2	13.33			Excluded		15	
		TOTAL		47	4.50		205	19.62					212	20.29		581	55.60					1045	
	FOURTH				Excluded		24	51.06					10	21.28		13	27.66					47	
		TOTAL					229	21.91					222	21.24		594	56.84					1045	
	FIFTH						122	54.95						Excluded		100	45.05					222	
		TOTAL					351	33.59								694	66.41					1045	
																Elected							
																							
Mitchell                                                       																							
	FIRST			15	2.50		190	31.72		1	0.17		71	11.85		316	52.75		6	1.00		599	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		15	2.50		191	31.89					71	11.85		316	52.75		6	1.00		599	
	THIRD			3	50.00		2	33.33					0	0.00		1	16.67			Excluded		6	
		TOTAL		18	3.01		193	32.22					71	11.85		317	52.92					599	
	FOURTH				Excluded		9	50.00					1	5.56		8	44.44					18	
		TOTAL					202	33.72					72	12.02		325	54.26					599	
	FIFTH						38	52.78						Excluded		34	47.22					72	
		TOTAL					240	40.07								359	59.93					599	
																Elected							
																							
Moonie                                                         																							
	FIRST			0	0.00		15	9.87		3	1.97		30	19.74		104	68.42		0	0.00		152	
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		3	
		TOTAL		1	0.66		15	9.87					31	20.39		105	69.08		0	0.00		152	
	THIRD			0	0.00		0	0.00					0	0.00		0	0.00			Excluded		0	
		TOTAL		1	0.66		15	9.87					31	20.39		105	69.08					152	
	FOURTH				Excluded		0	0.00					0	0.00		1	100.00					1	
		TOTAL					15	9.87					31	20.39		106	69.74					152	
	FIFTH						11	35.48						Excluded		20	64.52					31	
		TOTAL					26	17.11								126	82.89					152	
																Elected							
																							
Morven                                                         																							
	FIRST			3	2.01		39	26.17		2	1.34		22	14.77		79	53.02		4	2.68		149	
	SECOND			1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		2	
		TOTAL		4	2.68		39	26.17					23	15.44		79	53.02		4	2.68		149	
	THIRD			3	75.00		0	0.00					0	0.00		1	25.00			Excluded		4	
		TOTAL		7	4.70		39	26.17					23	15.44		80	53.69					149	
	FOURTH				Excluded		5	71.43					0	0.00		2	28.57					7	
		TOTAL					44	29.53					23	15.44		82	55.03					149	
	FIFTH						9	39.13						Excluded		14	60.87					23	
		TOTAL					53	35.57								96	64.43					149	
																Elected							
																							
Muckadilla                                                     																							
	FIRST			0	0.00		1	2.00		0	0.00		8	16.00		40	80.00		1	2.00		50	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	2.00					8	16.00		40	80.00		1	2.00		50	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		0	0.00		1	2.00					9	18.00		40	80.00					50	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					1	2.00					9	18.00		40	80.00					50	
	FIFTH						4	44.44						Excluded		5	55.56					9	
		TOTAL					5	10.00								45	90.00					50	
																Elected							
																							
Mungallala                                                     																							
	FIRST			3	3.70		10	12.35		1	1.23		16	19.75		50	61.73		1	1.23		81	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		3	3.70		10	12.35					16	19.75		51	62.96		1	1.23		81	
	THIRD			0	0.00		0	0.00					0	0.00		1	100.00			Excluded		1	
		TOTAL		3	3.70		10	12.35					16	19.75		52	64.20					81	
	FOURTH				Excluded		0	0.00					1	33.33		2	66.67					3	
		TOTAL					10	12.35					17	20.99		54	66.67					81	
	FIFTH						6	35.29						Excluded		11	64.71					17	
		TOTAL					16	19.75								65	80.25					81	
																Elected							
																							
Mungindi                                                       																							
	FIRST			3	2.31		13	10.00		2	1.54		32	24.62		77	59.23		3	2.31		130	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		4	3.08		14	10.77					32	24.62		77	59.23		3	2.31		130	
	THIRD			0	0.00		1	33.33					1	33.33		1	33.33			Excluded		3	
		TOTAL		4	3.08		15	11.54					33	25.38		78	60.00					130	
	FOURTH				Excluded		2	50.00					0	0.00		2	50.00					4	
		TOTAL					17	13.08					33	25.38		80	61.54					130	
