House of Representatives - 2001 Election: Victoria																																
Distribution of Preferences																																
By Polling Place																																
Indi																																
				ADAMS			MURDOCH			BENNETTS			CHUCK			SEYMOUR			WARDLE			CHAMBERS			PANOPOULOS			MCINTOSH				
	EIGHTH						5	8.62															Excluded		53	91.38					58	
		TOTAL					46	20.35																	180	79.65					226	
																									Elected							
																																
Dederang                                                       																																
	FIRST			0	0.00		32	13.39		7	2.93		5	2.09		14	5.86		1	0.42		39	16.32		103	43.10		38	15.90		239	
	SECOND			0	0.00		0	0.00		2	14.29		0	0.00			Excluded		0	0.00		2	14.29		2	14.29		8	57.14		14	
		TOTAL		0	0.00		32	13.39		9	3.77		5	2.09					1	0.42		41	17.15		105	43.93		46	19.25		239	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					32	13.39		9	3.77		5	2.09					1	0.42		41	17.15		105	43.93		46	19.25		239	
	FOURTH						1	20.00		0	0.00			Excluded					0	0.00		1	20.00		1	20.00		2	40.00		5	
		TOTAL					33	13.81		9	3.77								1	0.42		42	17.57		106	44.35		48	20.08		239	
	FIFTH						2	22.22			Excluded								0	0.00		1	11.11		2	22.22		4	44.44		9	
		TOTAL					35	14.64											1	0.42		43	17.99		108	45.19		52	21.76		239	
	SIXTH						0	0.00												Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL					35	14.64														43	17.99		108	45.19		53	22.18		239	
	SEVENTH						11	20.75														28	52.83		14	26.42			Excluded		53	
		TOTAL					46	19.25														71	29.71		122	51.05					239	
	EIGHTH						8	11.27															Excluded		63	88.73					71	
		TOTAL					54	22.59																	185	77.41					239	
																									Elected							
																																
Devenish                                                       																																
	FIRST			0	0.00		35	24.65		8	5.63		2	1.41		3	2.11		2	1.41		34	23.94		51	35.92		7	4.93		142	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	66.67		1	33.33		3	
		TOTAL		0	0.00		35	24.65		8	5.63		2	1.41					2	1.41		34	23.94		53	37.32		8	5.63		142	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					35	24.65		8	5.63		2	1.41					2	1.41		34	23.94		53	37.32		8	5.63		142	
	FOURTH						0	0.00		0	0.00			Excluded					1	50.00		0	0.00		1	50.00		0	0.00		2	
		TOTAL					35	24.65		8	5.63								3	2.11		34	23.94		54	38.03		8	5.63		142	
	FIFTH						1	12.50			Excluded								0	0.00		0	0.00		4	50.00		3	37.50		8	
		TOTAL					36	25.35											3	2.11		34	23.94		58	40.85		11	7.75		142	
	SIXTH						0	0.00												Excluded		1	33.33		2	66.67		0	0.00		3	
		TOTAL					36	25.35														35	24.65		60	42.25		11	7.75		142	
	SEVENTH						3	27.27														5	45.45		3	27.27			Excluded		11	
		TOTAL					39	27.46														40	28.17		63	44.37					142	
	EIGHTH						2	5.00															Excluded		38	95.00					40	
		TOTAL					41	28.87																	101	71.13					142	
																									Elected							
																																
Eldorado                                                       																																
	FIRST			2	0.90		50	22.52		14	6.31		11	4.95		2	0.90		14	6.31		29	13.06		82	36.94		18	8.11		222	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	50.00		1	50.00		2	
		TOTAL		2	0.90		50	22.52		14	6.31		11	4.95					14	6.31		29	13.06		83	37.39		19	8.56		222	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					51	22.97		15	6.76		11	4.95					14	6.31		29	13.06		83	37.39		19	8.56		222	
	FOURTH						5	45.45		0	0.00			Excluded					3	27.27		3	27.27		0	0.00		0	0.00		11	
		TOTAL					56	25.23		15	6.76								17	7.66		32	14.41		83	37.39		19	8.56		222	
	FIFTH						3	20.00			Excluded								1	6.67		3	20.00		3	20.00		5	33.33		15	
		TOTAL					59	26.58											18	8.11		35	15.77		86	38.74		24	10.81		222	
	SIXTH						9	50.00												Excluded		1	5.56		1	5.56		7	38.89		18	
		TOTAL					68	30.63														36	16.22		87	39.19		31	13.96		222	
	SEVENTH						8	25.81														22	70.97		1	3.23			Excluded		31	
		TOTAL					76	34.23														58	26.13		88	39.64					222	
	EIGHTH						15	25.86															Excluded		43	74.14					58	
		TOTAL					91	40.99																	131	59.01					222	
																									Elected							
																																
Eskdale                                                        																																
	FIRST			0	0.00		38	15.70		12	4.96		5	2.07		0	0.00		4	1.65		45	18.60		101	41.74		37	15.29		242	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		38	15.70		12	4.96		5	2.07					4	1.65		45	18.60		101	41.74		37	15.29		242	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					38	15.70		12	4.96		5	2.07					4	1.65		45	18.60		101	41.74		37	15.29		242	
	FOURTH						0	0.00		1	20.00			Excluded					3	60.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL					38	15.70		13	5.37								7	2.89		45	18.60		102	42.15		37	15.29		242	
	FIFTH						0	0.00			Excluded								1	7.69		1	7.69		2	15.38		9	69.23		13	
		TOTAL					38	15.70											8	3.31		46	19.01		104	42.98		46	19.01		242	
	SIXTH						0	0.00												Excluded		2	25.00		4	50.00		2	25.00		8	
		TOTAL					38	15.70														48	19.83		108	44.63		48	19.83		242	
	SEVENTH						7	14.58														18	37.50		23	47.92			Excluded		48	
		TOTAL					45	18.60														66	27.27		131	54.13					242	
	EIGHTH						9	13.64															Excluded		57	86.36					66	
		TOTAL					54	22.31																	188	77.69					242	
																									Elected							
																																
Euroa                                                          																																
	FIRST			113	4.93		656	28.62		111	4.84		35	1.53		15	0.65		81	3.53		246	10.73		975	42.54		60	2.62		2292	
	SECOND			0	0.00		1	6.67		0	0.00		3	20.00			Excluded		2	13.33		1	6.67		3	20.00		5	33.33		15	
		TOTAL		113	4.93		657	28.66		111	4.84		38	1.66					83	3.62		247	10.78		978	42.67		65	2.84		2292	
	THIRD				Excluded		50	44.25		20	17.70		9	7.96					4	3.54		8	7.08		9	7.96		13	11.50		113	
		TOTAL					707	30.85		131	5.72		47	2.05					87	3.80		255	11.13		987	43.06		78	3.40		2292	
	FOURTH						14	29.79		4	8.51			Excluded					16	34.04		6	12.77		3	6.38		4	8.51		47	
		TOTAL					721	31.46		135	5.89								103	4.49		261	11.39		990	43.19		82	3.58		2292	
	FIFTH						23	17.04			Excluded								19	14.07		16	11.85		11	8.15		66	48.89		135	
		TOTAL					744	32.46											122	5.32		277	12.09		1001	43.67		148	6.46		2292	
	SIXTH						66	54.10												Excluded		16	13.11		18	14.75		22	18.03		122	
		TOTAL					810	35.34														293	12.78		1019	44.46		170	7.42		2292	
	SEVENTH						47	27.65														49	28.82		74	43.53			Excluded		170	
		TOTAL					857	37.39														342	14.92		1093	47.69					2292	
	EIGHTH						49	14.33															Excluded		293	85.67					342	
		TOTAL					906	39.53																	1386	60.47					2292	
																									Elected							
																																
Everton                                                        																																
	FIRST			0	0.00		35	20.11		6	3.45		7	4.02		0	0.00		14	8.05		40	22.99		50	28.74		22	12.64		174	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		35	20.11		6	3.45		7	4.02					14	8.05		40	22.99		50	28.74		22	12.64		174	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					35	20.11		6	3.45		7	4.02					14	8.05		40	22.99		50	28.74		22	12.64		174	
	FOURTH						1	14.29		0	0.00			Excluded					4	57.14		0	0.00		1	14.29		1	14.29		7	
		TOTAL					36	20.69		6	3.45								18	10.34		40	22.99		51	29.31		23	13.22		174	
	FIFTH						1	16.67			Excluded								0	0.00		4	66.67		1	16.67		0	0.00		6	
		TOTAL					37	21.26											18	10.34		44	25.29		52	29.89		23	13.22		174	
	SIXTH						14	77.78												Excluded		2	11.11		0	0.00		2	11.11		18	
		TOTAL					51	29.31														46	26.44		52	29.89		25	14.37		174	
	SEVENTH						2	8.00														17	68.00		6	24.00			Excluded		25	
		TOTAL					53	30.46														63	36.21		58	33.33					174	
	EIGHTH						11	17.46															Excluded		52	82.54					63	
		TOTAL					64	36.78																	110	63.22					174	
																									Elected							
																																
Falls Creek                                                    																																
	FIRST			0	0.00		10	18.87		0	0.00		5	9.43		0	0.00		4	7.55		3	5.66		24	45.28		7	13.21		53	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		10	18.87		0	0.00		5	9.43					4	7.55		3	5.66		24	45.28		7	13.21		53	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					10	18.87		0	0.00		5	9.43					4	7.55		3	5.66		24	45.28		7	13.21		53	
	FOURTH						1	20.00		0	0.00			Excluded					4	80.00		0	0.00		0	0.00		0	0.00		5	
		TOTAL					11	20.75		0	0.00								8	15.09		3	5.66		24	45.28		7	13.21		53	
	FIFTH						0	0.00			Excluded								0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					11	20.75											8	15.09		3	5.66		24	45.28		7	13.21		53	
	SIXTH						5	62.50												Excluded		2	25.00		1	12.50		0	0.00		8	
		TOTAL					16	30.19														5	9.43		25	47.17		7	13.21		53	
	SEVENTH						2	28.57														4	57.14		1	14.29			Excluded		7	
		TOTAL					18	33.96														9	16.98		26	49.06					53	
	EIGHTH						0	0.00															Excluded		9	100.00					9	
		TOTAL					18	33.96																	35	66.04					53	
																									Elected							
																																
Gapsted                                                        																																
	FIRST			2	1.29		39	25.16		4	2.58		1	0.65		1	0.65		7	4.52		28	18.06		59	38.06		14	9.03		155	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.29		39	25.16		4	2.58		2	1.29					7	4.52		28	18.06		59	38.06		14	9.03		155	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					40	25.81		5	3.23		2	1.29					7	4.52		28	18.06		59	38.06		14	9.03		155	
	FOURTH						0	0.00		1	50.00			Excluded					1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					40	25.81		6	3.87								8	5.16		28	18.06		59	38.06		14	9.03		155	
	FIFTH						5	83.33			Excluded								0	0.00		1	16.67		0	0.00		0	0.00		6	
		TOTAL					45	29.03											8	5.16		29	18.71		59	38.06		14	9.03		155	
	SIXTH						6	75.00												Excluded		0	0.00		1	12.50		1	12.50		8	
		TOTAL					51	32.90														29	18.71		60	38.71		15	9.68		155	
	SEVENTH						4	26.67														9	60.00		2	13.33			Excluded		15	
		TOTAL					55	35.48														38	24.52		62	40.00					155	
	EIGHTH						5	13.16															Excluded		33	86.84					38	
		TOTAL					60	38.71																	95	61.29					155	
																									Elected							
																																
Glenrowan                                                      																																
	FIRST			10	1.41		169	23.80		25	3.52		40	5.63		17	2.39		27	3.80		109	15.35		283	39.86		30	4.23		710	
	SECOND			0	0.00		1	5.88		1	5.88		4	23.53			Excluded		0	0.00		4	23.53		6	35.29		1	5.88		17	
		TOTAL		10	1.41		170	23.94		26	3.66		44	6.20					27	3.80		113	15.92		289	40.70		31	4.37		710	
	THIRD				Excluded		7	70.00		0	0.00		0	0.00					1	10.00		2	20.00		0	0.00		0	0.00		10	
		TOTAL					177	24.93		26	3.66		44	6.20					28	3.94		115	16.20		289	40.70		31	4.37		710	
	FOURTH						8	18.18		1	2.27			Excluded					19	43.18		3	6.82		8	18.18		5	11.36		44	
		TOTAL					185	26.06		27	3.80								47	6.62		118	16.62		297	41.83		36	5.07		710	
	FIFTH						4	14.81			Excluded								1	3.70		3	11.11		10	37.04		9	33.33		27	
		TOTAL					189	26.62											48	6.76		121	17.04		307	43.24		45	6.34		710	
	SIXTH						13	27.08												Excluded		5	10.42		2	4.17		28	58.33		48	
		TOTAL					202	28.45														126	17.75		309	43.52		73	10.28		710	
	SEVENTH						24	32.88														40	54.79		9	12.33			Excluded		73	
		TOTAL					226	31.83														166	23.38		318	44.79					710	
	EIGHTH						24	14.46															Excluded		142	85.54					166	
		TOTAL					250	35.21																	460	64.79					710	
																									Elected							
																																
Goorambat                                                      																																
	FIRST			1	0.56		30	16.95		9	5.08		4	2.26		2	1.13		3	1.69		52	29.38		73	41.24		3	1.69		177	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		0	0.00		2	
		TOTAL		1	0.56		30	16.95		9	5.08		4	2.26					3	1.69		52	29.38		75	42.37		3	1.69		177	
	THIRD				Excluded		0	0.00		1	100.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					30	16.95		10	5.65		4	2.26					3	1.69		52	29.38		75	42.37		3	1.69		177	
	FOURTH						0	0.00		0	0.00			Excluded					3	75.00		0	0.00		0	0.00		1	25.00		4	
		TOTAL					30	16.95		10	5.65								6	3.39		52	29.38		75	42.37		4	2.26		177	
	FIFTH						2	20.00			Excluded								1	10.00		1	10.00		2	20.00		4	40.00		10	
		TOTAL					32	18.08											7	3.95		53	29.94		77	43.50		8	4.52		177	
	SIXTH						3	42.86												Excluded		1	14.29		2	28.57		1	14.29		7	
		TOTAL					35	19.77														54	30.51		79	44.63		9	5.08		177	
	SEVENTH						3	33.33														2	22.22		4	44.44			Excluded		9	
		TOTAL					38	21.47														56	31.64		83	46.89					177	
	EIGHTH						7	12.50															Excluded		49	87.50					56	
		TOTAL					45	25.42																	132	74.58					177	
																									Elected							
																																
Greta Valley                                                   																																
	FIRST			1	0.66		29	19.21		2	1.32		7	4.64		3	1.99		3	1.99		45	29.80		51	33.77		10	6.62		151	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL		1	0.66		30	19.87		2	1.32		8	5.30					3	1.99		45	29.80		51	33.77		11	7.28		151	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					31	20.53		2	1.32		8	5.30					3	1.99		45	29.80		51	33.77		11	7.28		151	
	FOURTH						5	62.50		0	0.00			Excluded					1	12.50		0	0.00		2	25.00		0	0.00		8	
		TOTAL					36	23.84		2	1.32								4	2.65		45	29.80		53	35.10		11	7.28		151	
	FIFTH						0	0.00			Excluded								0	0.00		0	0.00		2	100.00		0	0.00		2	
		TOTAL					36	23.84											4	2.65		45	29.80		55	36.42		11	7.28		151	
	SIXTH						3	75.00												Excluded		0	0.00		0	0.00		1	25.00		4	
		TOTAL					39	25.83														45	29.80		55	36.42		12	7.95		151	
	SEVENTH						6	50.00														3	25.00		3	25.00			Excluded		12	
		TOTAL					45	29.80														48	31.79		58	38.41					151	
	EIGHTH						2	4.17															Excluded		46	95.83					48	
		TOTAL					47	31.13																	104	68.87					151	
																									Elected							
																																
Harrietville                                                   																																
	FIRST			0	0.00		54	30.34		7	3.93		2	1.12		2	1.12		15	8.43		10	5.62		75	42.13		13	7.30		178	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	50.00		1	50.00		0	0.00		2	
		TOTAL		0	0.00		54	30.34		7	3.93		2	1.12					15	8.43		11	6.18		76	42.70		13	7.30		178	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					54	30.34		7	3.93		2	1.12					15	8.43		11	6.18		76	42.70		13	7.30		178	
	FOURTH						0	0.00		0	0.00			Excluded					1	50.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					54	30.34		7	3.93								16	8.99		11	6.18		76	42.70		14	7.87		178	
	FIFTH						0	0.00			Excluded								1	14.29		2	28.57		3	42.86		1	14.29		7	
		TOTAL					54	30.34											17	9.55		13	7.30		79	44.38		15	8.43		178	
	SIXTH						12	70.59												Excluded		0	0.00		0	0.00		5	29.41		17	
		TOTAL					66	37.08														13	7.30		79	44.38		20	11.24		178	
	SEVENTH						9	45.00														6	30.00		5	25.00			Excluded		20	
		TOTAL					75	42.13														19	10.67		84	47.19					178	
	EIGHTH						3	15.79															Excluded		16	84.21					19	
		TOTAL					78	43.82																	100	56.18					178	
																									Elected							
																																
Invergordon                                                    																																
	FIRST			4	1.09		52	14.21		20	5.46		9	2.46		7	1.91		3	0.82		87	23.77		172	46.99		12	3.28		366	
	SECOND			0	0.00		0	0.00		1	14.29		0	0.00			Excluded		0	0.00		2	28.57		1	14.29		3	42.86		7	
		TOTAL		4	1.09		52	14.21		21	5.74		9	2.46					3	0.82		89	24.32		173	47.27		15	4.10		366	
	THIRD				Excluded		2	50.00		1	25.00		1	25.00					0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					54	14.75		22	6.01		10	2.73					3	0.82		89	24.32		173	47.27		15	4.10		366	
	FOURTH						3	30.00		3	30.00			Excluded					4	40.00		0	0.00		0	0.00		0	0.00		10	
		TOTAL					57	15.57		25	6.83								7	1.91		89	24.32		173	47.27		15	4.10		366	
	FIFTH						6	24.00			Excluded								4	16.00		5	20.00		3	12.00		7	28.00		25	
		TOTAL					63	17.21											11	3.01		94	25.68		176	48.09		22	6.01		366	
	SIXTH						5	45.45												Excluded		3	27.27		1	9.09		2	18.18		11	
		TOTAL					68	18.58														97	26.50		177	48.36		24	6.56		366	
	SEVENTH						2	8.33														11	45.83		11	45.83			Excluded		24	
		TOTAL					70	19.13														108	29.51		188	51.37					366	
	EIGHTH						0	0.00															Excluded		108	100.00					108	
		TOTAL					70	19.13																	296	80.87					366	
																									Elected							
																																
Katandra West                                                  																																
	FIRST			3	0.58		82	15.92		26	5.05		17	3.30		1	0.19		11	2.14		123	23.88		222	43.11		30	5.83		515	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		3	0.58		82	15.92		26	5.05		17	3.30					11	2.14		124	24.08		222	43.11		30	5.83		515	
	THIRD				Excluded		2	66.67		0	0.00		0	0.00					0	0.00		0	0.00		1	33.33		0	0.00		3	
		TOTAL					84	16.31		26	5.05		17	3.30					11	2.14		124	24.08		223	43.30		30	5.83		515	
	FOURTH						7	41.18		1	5.88			Excluded					3	17.65		6	35.29		0	0.00		0	0.00		17	
		TOTAL					91	17.67		27	5.24								14	2.72		130	25.24		223	43.30		30	5.83		515	
	FIFTH						2	7.41			Excluded								2	7.41		6	22.22		2	7.41		15	55.56		27	
		TOTAL					93	18.06											16	3.11		136	26.41		225	43.69		45	8.74		515	
	SIXTH						7	43.75												Excluded		4	25.00		2	12.50		3	18.75		16	
		TOTAL					100	19.42														140	27.18		227	44.08		48	9.32		515	
	SEVENTH						11	22.92														33	68.75		4	8.33			Excluded		48	
		TOTAL					111	21.55														173	33.59		231	44.85					515	
	EIGHTH						13	7.51															Excluded		160	92.49					173	
		TOTAL					124	24.08																	391	75.92					515	
																									Elected							
																																
Kergunyah                                                      																																
	FIRST			1	0.45		26	11.71		3	1.35		6	2.70		2	0.90		5	2.25		37	16.67		96	43.24		46	20.72		222	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		0	0.00		0	0.00		2	
		TOTAL		1	0.45		26	11.71		3	1.35		7	3.15					5	2.25		38	17.12		96	43.24		46	20.72		222	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					26	11.71		3	1.35		7	3.15					5	2.25		38	17.12		96	43.24		47	21.17		222	
	FOURTH						3	42.86		1	14.29			Excluded					2	28.57		0	0.00		0	0.00		1	14.29		7	
		TOTAL					29	13.06		4	1.80								7	3.15		38	17.12		96	43.24		48	21.62		222	
	FIFTH						0	0.00			Excluded								1	25.00		1	25.00		0	0.00		2	50.00		4	
		TOTAL					29	13.06											8	3.60		39	17.57		96	43.24		50	22.52		222	
	SIXTH						6	75.00												Excluded		0	0.00		0	0.00		2	25.00		8	
		TOTAL					35	15.77														39	17.57		96	43.24		52	23.42		222	
	SEVENTH						17	32.69														21	40.38		14	26.92			Excluded		52	
		TOTAL					52	23.42														60	27.03		110	49.55					222	
	EIGHTH						8	13.33															Excluded		52	86.67					60	
		TOTAL					60	27.03																	162	72.97					222	
																									Elected							
																																
Kiewa                                                          																																
	FIRST			1	0.18		84	15.53		16	2.96		9	1.66		8	1.48		13	2.40		71	13.12		227	41.96		112	20.70		541	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	12.50		2	25.00		5	62.50		8	
		TOTAL		1	0.18		84	15.53		16	2.96		9	1.66					13	2.40		72	13.31		229	42.33		117	21.63		541	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					85	15.71		16	2.96		9	1.66					13	2.40		72	13.31		229	42.33		117	21.63		541	
	FOURTH						2	22.22		0	0.00			Excluded					2	22.22		0	0.00		2	22.22		3	33.33		9	
		TOTAL					87	16.08		16	2.96								15	2.77		72	13.31		231	42.70		120	22.18		541	
	FIFTH						2	12.50			Excluded								0	0.00		0	0.00		7	43.75		7	43.75		16	
		TOTAL					89	16.45											15	2.77		72	13.31		238	43.99		127	23.48		541	
	SIXTH						9	60.00												Excluded		0	0.00		1	6.67		5	33.33		15	
		TOTAL					98	18.11														72	13.31		239	44.18		132	24.40		541	
	SEVENTH						36	27.27														42	31.82		54	40.91			Excluded		132	
		TOTAL					134	24.77														114	21.07		293	54.16					541	
	EIGHTH						8	7.02															Excluded		106	92.98					114	
		TOTAL					142	26.25																	399	73.75					541	
																									Elected							
																																
Londrigan                                                      																																
	FIRST			0	0.00		35	21.88		5	3.13		9	5.63		3	1.88		7	4.38		41	25.63		50	31.25		10	6.25		160	
	SECOND			2	66.67		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	33.33		0	0.00		3	
		TOTAL		2	1.25		35	21.88		5	3.13		9	5.63					7	4.38		41	25.63		51	31.88		10	6.25		160	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					2	100.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					35	21.88		5	3.13		9	5.63					9	5.63		41	25.63		51	31.88		10	6.25		160	
	FOURTH						1	11.11		0	0.00			Excluded					6	66.67		1	11.11		1	11.11		0	0.00		9	
		TOTAL					36	22.50		5	3.13								15	9.38		42	26.25		52	32.50		10	6.25		160	
	FIFTH						1	20.00			Excluded								0	0.00		0	0.00		2	40.00		2	40.00		5	
		TOTAL					37	23.13											15	9.38		42	26.25		54	33.75		12	7.50		160	
	SIXTH						8	53.33												Excluded		3	20.00		0	0.00		4	26.67		15	
		TOTAL					45	28.13														45	28.13		54	33.75		16	10.00		160	
	SEVENTH						9	56.25														5	31.25		2	12.50			Excluded		16	
		TOTAL					54	33.75														50	31.25		56	35.00					160	
	EIGHTH						9	18.00															Excluded		41	82.00					50	
		TOTAL					63	39.38																	97	60.63					160	
																									Elected							
																																
Lurg                                                           																																
	FIRST			1	0.56		65	36.31		7	3.91		8	4.47		4	2.23		6	3.35		23	12.85		62	34.64		3	1.68		179	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		3	75.00		0	0.00		1	25.00		4	
		TOTAL		1	0.56		65	36.31		7	3.91		8	4.47					6	3.35		26	14.53		62	34.64		4	2.23		179	
	THIRD				Excluded		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					66	36.87		7	3.91		8	4.47					6	3.35		26	14.53		62	34.64		4	2.23		179	
	FOURTH						0	0.00		0	0.00			Excluded					4	50.00		1	12.50		1	12.50		2	25.00		8	
		TOTAL					66	36.87		7	3.91								10	5.59		27	15.08		63	35.20		6	3.35		179	
	FIFTH						0	0.00			Excluded								1	14.29		3	42.86		1	14.29		2	28.57		7	
		TOTAL					66	36.87											11	6.15		30	16.76		64	35.75		8	4.47		179	
	SIXTH						1	9.09												Excluded		4	36.36		1	9.09		5	45.45		11	
		TOTAL					67	37.43														34	18.99		65	36.31		13	7.26		179	
	SEVENTH						5	38.46														7	53.85		1	7.69			Excluded		13	
		TOTAL					72	40.22														41	22.91		66	36.87					179	
	EIGHTH						5	12.20															Excluded		36	87.80					41	
		TOTAL					77	43.02																	102	56.98					179	
																									Elected							
																																
Markwood                                                       																																
	FIRST			1	0.44		55	24.12		9	3.95		12	5.26		2	0.88		9	3.95		46	20.18		82	35.96		12	5.26		228	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		1	0.44		55	24.12		10	4.39		13	5.70					9	3.95		46	20.18		82	35.96		12	5.26		228	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					55	24.12		10	4.39		13	5.70					9	3.95		46	20.18		82	35.96		13	5.70		228	
	FOURTH						4	30.77		0	0.00			Excluded					7	53.85		1	7.69		0	0.00		1	7.69		13	
		TOTAL					59	25.88		10	4.39								16	7.02		47	20.61		82	35.96		14	6.14		228	
	FIFTH						1	10.00			Excluded								0	0.00		3	30.00		1	10.00		5	50.00		10	
		TOTAL					60	26.32											16	7.02		50	21.93		83	36.40		19	8.33		228	
	SIXTH						10	62.50												Excluded		0	0.00		1	6.25		5	31.25		16	
		TOTAL					70	30.70														50	21.93		84	36.84		24	10.53		228	
	SEVENTH						5	20.83														12	50.00		7	29.17			Excluded		24	
		TOTAL					75	32.89														62	27.19		91	39.91					228	
	EIGHTH						3	4.84															Excluded		59	95.16					62	
		TOTAL					78	34.21																	150	65.79					228	
																									Elected							
																																
Melbourne (Indi)                                               																																
	FIRST			2	2.99		24	35.82		1	1.49		7	10.45		1	1.49		8	11.94		4	5.97		19	28.36		1	1.49		67	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	2.99		25	37.31		1	1.49		7	10.45					8	11.94		4	5.97		19	28.36		1	1.49		67	
	THIRD				Excluded		1	50.00		0	0.00		1	50.00					0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					26	38.81		1	1.49		8	11.94					8	11.94		4	5.97		19	28.36		1	1.49		67	
	FOURTH						2	25.00		1	12.50			Excluded					3	37.50		1	12.50		1	12.50		0	0.00		8	
		TOTAL					28	41.79		2	2.99								11	16.42		5	7.46		20	29.85		1	1.49		67	
	FIFTH						1	50.00			Excluded								0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					29	43.28											11	16.42		5	7.46		20	29.85		2	2.99		67	
	SIXTH						7	63.64												Excluded		0	0.00		3	27.27		1	9.09		11	
		TOTAL					36	53.73														5	7.46		23	34.33		3	4.48		67	
	SEVENTH						1	33.33														1	33.33		1	33.33			Excluded		3	
		TOTAL					37	55.22														6	8.96		24	35.82					67	
	EIGHTH						2	33.33															Excluded		4	66.67					6	
		TOTAL					39	58.21																	28	41.79					67	
																									Elected							
																																
Milawa                                                         																																
	FIRST			1	0.30		55	16.32		12	3.56		18	5.34		2	0.59		12	3.56		99	29.38		119	35.31		19	5.64		337	
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
