House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Murray																							
				BUSH			STONE			JONES			HELLEMONS			CALDER			TAYLOR				
	FIRST			27	1.80		1082	72.18		35	2.33		53	3.54		268	17.88		34	2.27		1499	
	SECOND			8	22.86		11	31.43			Excluded		5	14.29		5	14.29		6	17.14		35	
		TOTAL		35	2.33		1093	72.92					58	3.87		273	18.21		40	2.67		1499	
	THIRD				Excluded		9	25.71					7	20.00		5	14.29		14	40.00		35	
		TOTAL					1102	73.52					65	4.34		278	18.55		54	3.60		1499	
	FOURTH						33	50.77						Excluded		13	20.00		19	29.23		65	
		TOTAL					1135	75.72								291	19.41		73	4.87		1499	
	FIFTH						34	46.58								39	53.42			Excluded		73	
		TOTAL					1169	77.99								330	22.01					1499	
							Elected																
																							
Lake Charm                                                     																							
	FIRST			5	1.98		165	65.22		8	3.16		25	9.88		47	18.58		3	1.19		253	
	SECOND			1	12.50		2	25.00			Excluded		0	0.00		3	37.50		2	25.00		8	
		TOTAL		6	2.37		167	66.01					25	9.88		50	19.76		5	1.98		253	
	THIRD				Excluded		0	0.00					0	0.00		5	83.33		1	16.67		6	
		TOTAL					167	66.01					25	9.88		55	21.74		6	2.37		253	
	FOURTH						15	60.00						Excluded		4	16.00		6	24.00		25	
		TOTAL					182	71.94								59	23.32		12	4.74		253	
	FIFTH						4	33.33								8	66.67			Excluded		12	
		TOTAL					186	73.52								67	26.48					253	
							Elected																
																							
Lalbert                                                        																							
	FIRST			4	3.17		105	83.33		1	0.79		6	4.76		9	7.14		1	0.79		126	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	3.17		106	84.13					6	4.76		9	7.14		1	0.79		126	
	THIRD				Excluded		2	50.00					1	25.00		0	0.00		1	25.00		4	
		TOTAL					108	85.71					7	5.56		9	7.14		2	1.59		126	
	FOURTH						4	57.14						Excluded		2	28.57		1	14.29		7	
		TOTAL					112	88.89								11	8.73		3	2.38		126	
	FIFTH						2	66.67								1	33.33			Excluded		3	
		TOTAL					114	90.48								12	9.52					126	
							Elected																
																							
Lancaster                                                      																							
	FIRST			7	2.11		259	78.25		9	2.72		18	5.44		33	9.97		5	1.51		331	
	SECOND			3	33.33		0	0.00			Excluded		1	11.11		1	11.11		4	44.44		9	
		TOTAL		10	3.02		259	78.25					19	5.74		34	10.27		9	2.72		331	
	THIRD				Excluded		5	50.00					0	0.00		1	10.00		4	40.00		10	
		TOTAL					264	79.76					19	5.74		35	10.57		13	3.93		331	
	FOURTH						14	73.68						Excluded		2	10.53		3	15.79		19	
		TOTAL					278	83.99								37	11.18		16	4.83		331	
	FIFTH						6	37.50								10	62.50			Excluded		16	
		TOTAL					284	85.80								47	14.20					331	
							Elected																
																							
Leitchville                                                    																							
	FIRST			10	2.00		410	82.16		6	1.20		26	5.21		44	8.82		3	0.60		499	
	SECOND			1	16.67		1	16.67			Excluded		1	16.67		1	16.67		2	33.33		6	
		TOTAL		11	2.20		411	82.36					27	5.41		45	9.02		5	1.00		499	
	THIRD				Excluded		4	36.36					1	9.09		3	27.27		3	27.27		11	
		TOTAL					415	83.17					28	5.61		48	9.62		8	1.60		499	
	FOURTH						15	53.57						Excluded		9	32.14		4	14.29		28	
		TOTAL					430	86.17								57	11.42		12	2.40		499	
	FIFTH						8	66.67								4	33.33			Excluded		12	
		TOTAL					438	87.78								61	12.22					499	
							Elected																
																							
Lemnos                                                         																							
	FIRST			15	3.94		295	77.43		2	0.52		10	2.62		52	13.65		7	1.84		381	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		16	4.20		296	77.69					10	2.62		52	13.65		7	1.84		381	
	THIRD				Excluded		11	68.75					1	6.25		2	12.50		2	12.50		16	
		TOTAL					307	80.58					11	2.89		54	14.17		9	2.36		381	
	FOURTH						7	63.64						Excluded		1	9.09		3	27.27		11	
		TOTAL					314	82.41								55	14.44		12	3.15		381	
	FIFTH						5	41.67								7	58.33			Excluded		12	
		TOTAL					319	83.73								62	16.27					381	
							Elected																
																							
Lockington                                                     																							
	FIRST			9	1.51		453	75.88		6	1.01		31	5.19		85	14.24		13	2.18		597	
	SECOND			1	16.67		1	16.67			Excluded		0	0.00		2	33.33		2	33.33		6	
		TOTAL		10	1.68		454	76.05					31	5.19		87	14.57		15	2.51		597	
	THIRD				Excluded		5	50.00					1	10.00		0	0.00		4	40.00		10	
		TOTAL					459	76.88					32	5.36		87	14.57		19	3.18		597	
	FOURTH						15	46.88						Excluded		8	25.00		9	28.13		32	
		TOTAL					474	79.40								95	15.91		28	4.69		597	
	FIFTH						18	64.29								10	35.71			Excluded		28	
		TOTAL					492	82.41								105	17.59					597	
							Elected																
																							
Macorna                                                        																							
	FIRST			1	0.85		103	88.03		1	0.85		3	2.56		6	5.13		3	2.56		117	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	0.85		104	88.89					3	2.56		6	5.13		3	2.56		117	
	THIRD				Excluded		0	0.00					1	100.00		0	0.00		0	0.00		1	
		TOTAL					104	88.89					4	3.42		6	5.13		3	2.56		117	
	FOURTH						2	50.00						Excluded		1	25.00		1	25.00		4	
		TOTAL					106	90.60								7	5.98		4	3.42		117	
	FIFTH						4	100.00								0	0.00			Excluded		4	
		TOTAL					110	94.02								7	5.98					117	
							Elected																
																							
Melbourne (Murray)                                             																							
	FIRST			2	2.82		43	60.56		9	12.68		0	0.00		12	16.90		5	7.04		71	
	SECOND			2	22.22		1	11.11			Excluded		0	0.00		1	11.11		5	55.56		9	
		TOTAL		4	5.63		44	61.97					0	0.00		13	18.31		10	14.08		71	
	THIRD				Excluded		1	25.00					0	0.00		1	25.00		2	50.00		4	
		TOTAL					45	63.38					0	0.00		14	19.72		12	16.90		71	
	FOURTH						0	0.00						Excluded		0	0.00		0	0.00		0	
		TOTAL					45	63.38								14	19.72		12	16.90		71	
	FIFTH						6	50.00								6	50.00			Excluded		12	
		TOTAL					51	71.83								20	28.17					71	
							Elected																
																							
Merrigum                                                       																							
	FIRST			19	4.10		317	68.47		14	3.02		10	2.16		89	19.22		14	3.02		463	
	SECOND			3	21.43		2	14.29			Excluded		3	21.43		4	28.57		2	14.29		14	
		TOTAL		22	4.75		319	68.90					13	2.81		93	20.09		16	3.46		463	
	THIRD				Excluded		12	54.55					2	9.09		3	13.64		5	22.73		22	
		TOTAL					331	71.49					15	3.24		96	20.73		21	4.54		463	
	FOURTH						8	53.33						Excluded		5	33.33		2	13.33		15	
		TOTAL					339	73.22								101	21.81		23	4.97		463	
	FIFTH						10	43.48								13	56.52			Excluded		23	
		TOTAL					349	75.38								114	24.62					463	
							Elected																
																							
Mitiamo                                                        																							
	FIRST			3	2.70		74	66.67		0	0.00		8	7.21		25	22.52		1	0.90		111	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	2.70		74	66.67					8	7.21		25	22.52		1	0.90		111	
	THIRD				Excluded		0	0.00					1	33.33		0	0.00		2	66.67		3	
		TOTAL					74	66.67					9	8.11		25	22.52		3	2.70		111	
	FOURTH						5	55.56						Excluded		2	22.22		2	22.22		9	
		TOTAL					79	71.17								27	24.32		5	4.50		111	
	FIFTH						2	40.00								3	60.00			Excluded		5	
		TOTAL					81	72.97								30	27.03					111	
							Elected																
																							
Mooroopna                                                      																							
	FIRST			53	3.62		842	57.55		24	1.64		59	4.03		436	29.80		49	3.35		1463	
	SECOND			1	4.17		7	29.17			Excluded		3	12.50		5	20.83		8	33.33		24	
		TOTAL		54	3.69		849	58.03					62	4.24		441	30.14		57	3.90		1463	
	THIRD				Excluded		20	37.04					6	11.11		12	22.22		16	29.63		54	
		TOTAL					869	59.40					68	4.65		453	30.96		73	4.99		1463	
	FOURTH						21	30.88						Excluded		31	45.59		16	23.53		68	
		TOTAL					890	60.83								484	33.08		89	6.08		1463	
	FIFTH						41	46.07								48	53.93			Excluded		89	
		TOTAL					931	63.64								532	36.36					1463	
							Elected																
																							
Mooroopna Park                                                 																							
	FIRST			85	3.20		1553	58.47		97	3.65		136	5.12		693	26.09		92	3.46		2656	
	SECOND			12	12.37		17	17.53			Excluded		5	5.15		13	13.40		50	51.55		97	
		TOTAL		97	3.65		1570	59.11					141	5.31		706	26.58		142	5.35		2656	
	THIRD				Excluded		40	41.24					8	8.25		25	25.77		24	24.74		97	
		TOTAL					1610	60.62					149	5.61		731	27.52		166	6.25		2656	
	FOURTH						67	44.97						Excluded		70	46.98		12	8.05		149	
		TOTAL					1677	63.14								801	30.16		178	6.70		2656	
	FIFTH						57	32.02								121	67.98			Excluded		178	
		TOTAL					1734	65.29								922	34.71					2656	
							Elected																
																							
Murchison                                                      																							
	FIRST			13	2.31		360	63.94		10	1.78		13	2.31		153	27.18		14	2.49		563	
	SECOND			2	20.00		1	10.00			Excluded		0	0.00		3	30.00		4	40.00		10	
		TOTAL		15	2.66		361	64.12					13	2.31		156	27.71		18	3.20		563	
	THIRD				Excluded		6	40.00					1	6.67		2	13.33		6	40.00		15	
		TOTAL					367	65.19					14	2.49		158	28.06		24	4.26		563	
	FOURTH						9	64.29						Excluded		5	35.71		0	0.00		14	
		TOTAL					376	66.79								163	28.95		24	4.26		563	
	FIFTH						12	50.00								12	50.00			Excluded		24	
		TOTAL					388	68.92								175	31.08					563	
							Elected																
																							
Murrabit                                                       																							
	FIRST			11	3.47		264	83.28		4	1.26		16	5.05		15	4.73		7	2.21		317	
	SECOND			0	0.00		2	50.00			Excluded		1	25.00		1	25.00		0	0.00		4	
		TOTAL		11	3.47		266	83.91					17	5.36		16	5.05		7	2.21		317	
	THIRD				Excluded		5	45.45					3	27.27		1	9.09		2	18.18		11	
		TOTAL					271	85.49					20	6.31		17	5.36		9	2.84		317	
	FOURTH						14	70.00						Excluded		6	30.00		0	0.00		20	
		TOTAL					285	89.91								23	7.26		9	2.84		317	
	FIFTH						5	55.56								4	44.44			Excluded		9	
		TOTAL					290	91.48								27	8.52					317	
							Elected																
																							
Nanneella                                                      																							
	FIRST			4	1.49		210	78.07		1	0.37		16	5.95		25	9.29		13	4.83		269	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		4	1.49		210	78.07					16	5.95		25	9.29		14	5.20		269	
	THIRD				Excluded		2	50.00					1	25.00		0	0.00		1	25.00		4	
		TOTAL					212	78.81					17	6.32		25	9.29		15	5.58		269	
	FOURTH						16	94.12						Excluded		1	5.88		0	0.00		17	
		TOTAL					228	84.76								26	9.67		15	5.58		269	
	FIFTH						10	66.67								5	33.33			Excluded		15	
		TOTAL					238	88.48								31	11.52					269	
							Elected																
																							
Nathalia                                                       																							
	FIRST			26	2.15		872	72.13		7	0.58		36	2.98		227	18.78		41	3.39		1209	
	SECOND			2	28.57		0	0.00			Excluded		1	14.29		0	0.00		4	57.14		7	
		TOTAL		28	2.32		872	72.13					37	3.06		227	18.78		45	3.72		1209	
	THIRD				Excluded		12	42.86					5	17.86		4	14.29		7	25.00		28	
		TOTAL					884	73.12					42	3.47		231	19.11		52	4.30		1209	
	FOURTH						25	59.52						Excluded		9	21.43		8	19.05		42	
		TOTAL					909	75.19								240	19.85		60	4.96		1209	
	FIFTH						25	41.67								35	58.33			Excluded		60	
		TOTAL					934	77.25								275	22.75					1209	
							Elected																
																							
Numurkah                                                       																							
	FIRST			104	4.29		1715	70.81		35	1.45		83	3.43		412	17.01		73	3.01		2422	
	SECOND			11	31.43		6	17.14			Excluded		0	0.00		8	22.86		10	28.57		35	
		TOTAL		115	4.75		1721	71.06					83	3.43		420	17.34		83	3.43		2422	
	THIRD				Excluded		53	46.09					14	12.17		20	17.39		28	24.35		115	
		TOTAL					1774	73.25					97	4.00		440	18.17		111	4.58		2422	
	FOURTH						61	62.89						Excluded		28	28.87		8	8.25		97	
		TOTAL					1835	75.76								468	19.32		119	4.91		2422	
	FIFTH						57	47.90								62	52.10			Excluded		119	
		TOTAL					1892	78.12								530	21.88					2422	
							Elected																
																							
Orrvale                                                        																							
	FIRST			11	2.76		295	74.12		5	1.26		12	3.02		68	17.09		7	1.76		398	
	SECOND			0	0.00		1	20.00			Excluded		1	20.00		1	20.00		2	40.00		5	
		TOTAL		11	2.76		296	74.37					13	3.27		69	17.34		9	2.26		398	
	THIRD				Excluded		10	90.91					1	9.09		0	0.00		0	0.00		11	
		TOTAL					306	76.88					14	3.52		69	17.34		9	2.26		398	
	FOURTH						6	42.86						Excluded		4	28.57		4	28.57		14	
		TOTAL					312	78.39								73	18.34		13	3.27		398	
	FIFTH						3	23.08								10	76.92			Excluded		13	
		TOTAL					315	79.15								83	20.85					398	
							Elected																
																							
Picola                                                         																							
	FIRST			10	5.62		131	73.60		0	0.00		13	7.30		22	12.36		2	1.12		178	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		10	5.62		131	73.60					13	7.30		22	12.36		2	1.12		178	
	THIRD				Excluded		3	30.00					4	40.00		3	30.00		0	0.00		10	
		TOTAL					134	75.28					17	9.55		25	14.04		2	1.12		178	
	FOURTH						10	58.82						Excluded		4	23.53		3	17.65		17	
		TOTAL					144	80.90								29	16.29		5	2.81		178	
	FIFTH						3	60.00								2	40.00			Excluded		5	
		TOTAL					147	82.58								31	17.42					178	
							Elected																
																							
Pine Lodge                                                     																							
	FIRST			4	3.81		77	73.33		2	1.90		6	5.71		9	8.57		7	6.67		105	
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		6	5.71		77	73.33					6	5.71		9	8.57		7	6.67		105	
	THIRD				Excluded		3	50.00					0	0.00		1	16.67		2	33.33		6	
		TOTAL					80	76.19					6	5.71		10	9.52		9	8.57		105	
	FOURTH						4	66.67						Excluded		0	0.00		2	33.33		6	
		TOTAL					84	80.00								10	9.52		11	10.48		105	
	FIFTH						6	54.55								5	45.45			Excluded		11	
		TOTAL					90	85.71								15	14.29					105	
							Elected																
																							
Pyramid Hill                                                   																							
	FIRST			11	2.58		321	75.35		2	0.47		14	3.29		72	16.90		6	1.41		426	
	SECOND			1	50.00		0	0.00			Excluded		0	0.00		1	50.00		0	0.00		2	
		TOTAL		12	2.82		321	75.35					14	3.29		73	17.14		6	1.41		426	
	THIRD				Excluded		7	58.33					4	33.33		1	8.33		0	0.00		12	
		TOTAL					328	77.00					18	4.23		74	17.37		6	1.41		426	
	FOURTH						9	50.00						Excluded		5	27.78		4	22.22		18	
		TOTAL					337	79.11								79	18.54		10	2.35		426	
	FIFTH						4	40.00								6	60.00			Excluded		10	
		TOTAL					341	80.05								85	19.95					426	
							Elected																
																							
Quambatook                                                     																							
	FIRST			7	2.72		209	81.32		3	1.17		9	3.50		27	10.51		2	0.78		257	
	SECOND			2	66.67		0	0.00			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		9	3.50		209	81.32					10	3.89		27	10.51		2	0.78		257	
	THIRD				Excluded		2	22.22					5	55.56		2	22.22		0	0.00		9	
		TOTAL					211	82.10					15	5.84		29	11.28		2	0.78		257	
	FOURTH						8	53.33						Excluded		4	26.67		3	20.00		15	
		TOTAL					219	85.21								33	12.84		5	1.95		257	
	FIFTH						3	60.00								2	40.00			Excluded		5	
		TOTAL					222	86.38								35	13.62					257	
							Elected																
																							
Rochester                                                      																							
	FIRST			66	3.13		1437	68.04		40	1.89		136	6.44		374	17.71		59	2.79		2112	
	SECOND			6	15.00		12	30.00			Excluded		1	2.50		10	25.00		11	27.50		40	
		TOTAL		72	3.41		1449	68.61					137	6.49		384	18.18		70	3.31		2112	
	THIRD				Excluded		28	38.89					5	6.94		10	13.89		29	40.28		72	
		TOTAL					1477	69.93					142	6.72		394	18.66		99	4.69		2112	
	FOURTH						85	59.86						Excluded		45	31.69		12	8.45		142	
		TOTAL					1562	73.96								439	20.79		111	5.26		2112	
	FIFTH						50	45.05								61	54.95			Excluded		111	
		TOTAL					1612	76.33								500	23.67					2112	
							Elected																
																							
Rushworth                                                      																							
	FIRST			13	1.31		579	58.13		30	3.01		38	3.82		314	31.53		22	2.21		996	
	SECOND			3	10.00		3	10.00			Excluded		4	13.33		5	16.67		15	50.00		30	
		TOTAL		16	1.61		582	58.43					42	4.22		319	32.03		37	3.71		996	
	THIRD				Excluded		10	62.50					2	12.50		2	12.50		2	12.50		16	
		TOTAL					592	59.44					44	4.42		321	32.23		39	3.92		996	
	FOURTH						22	50.00						Excluded		12	27.27		10	22.73		44	
		TOTAL					614	61.65								333	33.43		49	4.92		996	
	FIFTH						10	20.41								39	79.59			Excluded		49	
		TOTAL					624	62.65								372	37.35					996	
							Elected																
																							
Serpentine                                                     																							
	FIRST			2	1.06		148	78.31		1	0.53		6	3.17		27	14.29		5	2.65		189	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	1.59		148	78.31					6	3.17		27	14.29		5	2.65		189	
	THIRD				Excluded		2	66.67					0	0.00		0	0.00		1	33.33		3	
		TOTAL					150	79.37					6	3.17		27	14.29		6	3.17		189	
	FOURTH						2	33.33						Excluded		4	66.67		0	0.00		6	
		TOTAL					152	80.42								31	16.40		6	3.17		189	
	FIFTH						1	16.67								5	83.33			Excluded		6	
		TOTAL					153	80.95								36	19.05					189	
							Elected																
																							
Shepparton                                                     																							
	FIRST			13	3.10		255	60.86		5	1.19		18	4.30		113	26.97		15	3.58		419	
	SECOND			1	20.00		2	40.00			Excluded		0	0.00		1	20.00		1	20.00		5	
		TOTAL		14	3.34		257	61.34					18	4.30		114	27.21		16	3.82		419	
	THIRD				Excluded		7	50.00					1	7.14		0	0.00		6	42.86		14	
		TOTAL					264	63.01					19	4.53		114	27.21		22	5.25		419	
	FOURTH						14	73.68						Excluded		4	21.05		1	5.26		19	
		TOTAL					278	66.35								118	28.16		23	5.49		419	
	FIFTH						6	26.09								17	73.91			Excluded		23	
		TOTAL					284	67.78								135	32.22					419	
							Elected																
																							
Shepparton Central                                             																							
	FIRST			16	2.86		368	65.71		17	3.04		10	1.79		115	20.54		34	6.07		560	
	SECOND			4	23.53		3	17.65			Excluded		0	0.00		4	23.53		6	35.29		17	
		TOTAL		20	3.57		371	66.25					10	1.79		119	21.25		40	7.14		560	
	THIRD				Excluded		6	30.00					1	5.00		7	35.00		6	30.00		20	
		TOTAL					377	67.32					11	1.96		126	22.50		46	8.21		560	
	FOURTH						7	63.64						Excluded		3	27.27		1	9.09		11	
		TOTAL					384	68.57								129	23.04		47	8.39		560	
	FIFTH						16	34.04								31	65.96			Excluded		47	
		TOTAL					400	71.43								160	28.57					560	
							Elected																
																							
Shepparton East                                                																							
	FIRST			16	2.60		422	68.62		21	3.41		15	2.44		125	20.33		16	2.60		615	
	SECOND			8	38.10		1	4.76			Excluded		4	19.05		3	14.29		5	23.81		21	
		TOTAL		24	3.90		423	68.78					19	3.09		128	20.81		21	3.41		615	
	THIRD				Excluded		7	29.17					4	16.67		4	16.67		9	37.50		24	
		TOTAL					430	69.92					23	3.74		132	21.46		30	4.88		615	
	FOURTH						10	43.48						Excluded		8	34.78		5	21.74		23	
		TOTAL					440	71.54								140	22.76		35	5.69		615	
	FIFTH						8	22.86								27	77.14			Excluded		35	
		TOTAL					448	72.85								167	27.15					615	
							Elected																
																							
Shepparton North                                               																							
	FIRST			119	5.06		1574	66.98		66	2.81		48	2.04		459	19.53		84	3.57		2350	
	SECOND			16	24.24		5	7.58			Excluded		2	3.03		17	25.76		26	39.39		66	
		TOTAL		135	5.74		1579	67.19					50	2.13		476	20.26		110	4.68		2350	
	THIRD				Excluded		39	28.89					15	11.11		21	15.56		60	44.44		135	
		TOTAL					1618	68.85					65	2.77		497	21.15		170	7.23		2350	
	FOURTH						29	44.62						Excluded		23	35.38		13	20.00		65	
		TOTAL					1647	70.09								520	22.13		183	7.79		2350	
	FIFTH						62	33.88								121	66.12			Excluded		183	
		TOTAL					1709	72.72								641	27.28					2350	
							Elected																
																							
Shepparton South                                               																							
	FIRST			90	3.84		1403	59.80		76	3.24		66	2.81		615	26.21		96	4.09		2346	
	SECOND			19	25.00		10	13.16			Excluded		3	3.95		20	26.32		24	31.58		76	
		TOTAL		109	4.65		1413	60.23					69	2.94		635	27.07		120	5.12		2346	
	THIRD				Excluded		44	40.37					10	9.17		13	11.93		42	38.53		109	
		TOTAL					1457	62.11					79	3.37		648	27.62		162	6.91		2346	
	FOURTH						41	51.90						Excluded		27	34.18		11	13.92		79	
		TOTAL					1498	63.85								675	28.77		173	7.37		2346	
	FIFTH						62	35.84								111	64.16			Excluded		173	
		TOTAL					1560	66.50								786	33.50					2346	
							Elected																
																							
Stanhope                                                       																							
	FIRST			22	3.02		545	74.86		10	1.37		21	2.88		107	14.70		23	3.16		728	
	SECOND			4	40.00		1	10.00			Excluded		0	0.00		3	30.00		2	20.00		10	
		TOTAL		26	3.57		546	75.00					21	2.88		110	15.11		25	3.43		728	
	THIRD				Excluded		10	38.46					4	15.38		3	11.54		9	34.62		26	
		TOTAL					556	76.37					25	3.43		113	15.52		34	4.67		728	
	FOURTH						13	52.00						Excluded		8	32.00		4	16.00		25	
		TOTAL					569	78.16								121	16.62		38	5.22		728	
	FIFTH						17	44.74								21	55.26			Excluded		38	
		TOTAL					586	80.49								142	19.51					728	
							Elected																
																							
Strathmerton                                                   																							
	FIRST			20	2.90		451	65.36		10	1.45		56	8.12		128	18.55		25	3.62		690	
	SECOND			5	50.00		2	20.00			Excluded		0	0.00		0	0.00		3	30.00		10	
		TOTAL		25	3.62		453	65.65					56	8.12		128	18.55		28	4.06		690	
	THIRD				Excluded		6	24.00					2	8.00		7	28.00		10	40.00		25	
		TOTAL					459	66.52					58	8.41		135	19.57		38	5.51		690	
	FOURTH						30	51.72						Excluded		16	27.59		12	20.69		58	
		TOTAL					489	70.87								151	21.88		50	7.25		690	
	FIFTH						15	30.00								35	70.00			Excluded		50	
		TOTAL					504	73.04								186	26.96					690	
							Elected																
																							
Tallygaroopna                                                  																							
	FIRST			20	5.56		252	70.00		3	0.83		16	4.44		57	15.83		12	3.33		360	
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL		21	5.83		252	70.00					16	4.44		58	16.11		13	3.61		360	
	THIRD				Excluded		6	28.57					3	14.29		4	19.05		8	38.10		21	
		TOTAL					258	71.67					19	5.28		62	17.22		21	5.83		360	
	FOURTH						14	73.68						Excluded		3	15.79		2	10.53		19	
		TOTAL					272	75.56								65	18.06		23	6.39		360	
	FIFTH						6	26.09								17	73.91			Excluded		23	
		TOTAL					278	77.22								82	22.78					360	
							Elected																
																							
Tatura                                                         																							
	FIRST			59	2.45		1609	66.71		67	2.78		104	4.31		480	19.90		93	3.86		2412	
	SECOND			11	16.42		17	25.37			Excluded		2	2.99		9	13.43		28	41.79		67	
		TOTAL		70	2.90		1626	67.41					106	4.39		489	20.27		121	5.02		2412	
	THIRD				Excluded		26	37.14					9	12.86		7	10.00		28	40.00		70	
		TOTAL					1652	68.49					115	4.77		496	20.56		149	6.18		2412	
	FOURTH						64	55.65						Excluded		34	29.57		17	14.78		115	
		TOTAL					1716	71.14								530	21.97		166	6.88		2412	
	FIFTH						71	42.77								95	57.23			Excluded		166	
		TOTAL					1787	74.09								625	25.91					2412	
							Elected																
																							
Tennyson                                                       																							
	FIRST			3	2.29		113	86.26		3	2.29		8	6.11		3	2.29		1	0.76		131	
	SECOND			1	33.33		1	33.33			Excluded		0	0.00		0	0.00		1	33.33		3	
		TOTAL		4	3.05		114	87.02					8	6.11		3	2.29		2	1.53		131	
	THIRD				Excluded		2	50.00					1	25.00		0	0.00		1	25.00		4	
		TOTAL					116	88.55					9	6.87		3	2.29		3	2.29		131	
	FOURTH						7	77.78						Excluded		0	0.00		2	22.22		9	
		TOTAL					123	93.89								3	2.29		5	3.82		131	
	FIFTH						3	60.00								2	40.00			Excluded		5	
		TOTAL					126	96.18								5	3.82					131	
							Elected																
																							
Tongala                                                        																							
	FIRST			37	3.34		789	71.27		24	2.17		37	3.34		199	17.98		21	1.90		1107	
	SECOND			6	25.00		4	16.67			Excluded		1	4.17		6	25.00		7	29.17		24	
		TOTAL		43	3.88		793	71.64					38	3.43		205	18.52		28	2.53		1107	
	THIRD				Excluded		15	34.88					7	16.28		6	13.95		15	34.88		43	
		TOTAL					808	72.99					45	4.07		211	19.06		43	3.88		1107	
	FOURTH						21	46.67						Excluded		9	20.00		15	33.33		45	
		TOTAL					829	74.89								220	19.87		58	5.24		1107	
	FIFTH						25	43.10								33	56.90			Excluded		58	
		TOTAL					854	77.15								253	22.85					1107	
							Elected																
																							
Toolamba                                                       																							
	FIRST			31	7.65		254	62.72		20	4.94		13	3.21		79	19.51		8	1.98		405	
	SECOND			7	35.00		2	10.00			Excluded		1	5.00		4	20.00		6	30.00		20	
		TOTAL		38	9.38		256	63.21					14	3.46		83	20.49		14	3.46		405	
	THIRD				Excluded		11	28.95					6	15.79		7	18.42		14	36.84		38	
		TOTAL					267	65.93					20	4.94		90	22.22		28	6.91		405	
	FOURTH						9	45.00						Excluded		8	40.00		3	15.00		20	
		TOTAL					276	68.15								98	24.20		31	7.65		405	
	FIFTH						9	29.03								22	70.97			Excluded		31	
		TOTAL					285	70.37								120	29.63					405	
							Elected																
																							
Toolleen                                                       																							
	FIRST			3	2.11		87	61.27		1	0.70		6	4.23		39	27.46		6	4.23		142	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		3	2.11		87	61.27					6	4.23		40	28.17		6	4.23		142	
	THIRD				Excluded		0	0.00					0	0.00		1	33.33		2	66.67		3	
		TOTAL					87	61.27					6	4.23		41	28.87		8	5.63		142	
	FOURTH						5	83.33						Excluded		1	16.67		0	0.00		6	
		TOTAL					92	64.79								42	29.58		8	5.63		142	
	FIFTH						1	12.50								7	87.50			Excluded		8	
		TOTAL					93	65.49								49	34.51					142	
							Elected																
																							
Torrumbarry                                                    																							
	FIRST			2	0.93		151	69.91		8	3.70		16	7.41		35	16.20		4	1.85		216	
	SECOND			1	12.50		1	12.50			Excluded		0	0.00		2	25.00		4	50.00		8	
		TOTAL		3	1.39		152	70.37					16	7.41		37	17.13		8	3.70		216	
	THIRD				Excluded		0	0.00					2	66.67		0	0.00		1	33.33		3	
		TOTAL					152	70.37					18	8.33		37	17.13		9	4.17		216	
	FOURTH						8	44.44						Excluded		2	11.11		8	44.44		18	
		TOTAL					160	74.07								39	18.06		17	7.87		216	
	FIFTH						6	35.29								11	64.71			Excluded		17	
		TOTAL					166	76.85								50	23.15					216	
							Elected																
																							
Undera                                                         																							
	FIRST			8	2.55		247	78.66		3	0.96		12	3.82		41	13.06		3	0.96		314	
	SECOND			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		3	
		TOTAL		8	2.55		249	79.30					13	4.14		41	13.06		3	0.96		314	
	THIRD				Excluded		5	62.50					0	0.00		1	12.50		2	25.00		8	
		TOTAL					254	80.89					13	4.14		42	13.38		5	1.59		314	
	FOURTH						12	92.31						Excluded		0	0.00		1	7.69		13	
		TOTAL					266	84.71								42	13.38		6	1.91		314	
	FIFTH						4	66.67								2	33.33			Excluded		6	
		TOTAL					270	85.99								44	14.01					314	
							Elected																
																							
Waaia                                                          																							
	FIRST			6	2.03		243	82.09		0	0.00		20	6.76		21	7.09		6	2.03		296	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		6	2.03		243	82.09					20	6.76		21	7.09		6	2.03		296	
	THIRD				Excluded		1	16.67					1	16.67		1	16.67		3	50.00		6	
		TOTAL					244	82.43					21	7.09		22	7.43		9	3.04		296	
