House of Representatives - 2001 Election: Victoria																												
Distribution of Preferences																												
By Polling Place																												
Corio																												
				MENHEERE-THOMPSON			O'CONNOR			GOODEN			MALESIC			HILL			TIRKOT			FAIRBROTHER			JOHNSON			
		TOTAL		13	22.81		13	22.81					31	54.39														57
	SEVENTH				Excluded		6	46.15					7	53.85														13
		TOTAL					19	33.33					38	66.67														57
							Elected																					
																												
Moolap                                                         																												
	FIRST			35	5.05		294	42.42		2	0.29		316	45.60		2	0.29		21	3.03		2	0.29		21	3.03		693
	SECOND			0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2
		TOTAL		35	5.05		295	42.57		2	0.29		317	45.74					21	3.03		2	0.29		21	3.03		693
	THIRD			1	50.00		0	0.00		1	50.00		0	0.00					0	0.00			Excluded		0	0.00		2
		TOTAL		36	5.19		295	42.57		3	0.43		317	45.74					21	3.03					21	3.03		693
	FOURTH			1	33.33		0	0.00			Excluded		1	33.33					1	33.33					0	0.00		3
		TOTAL		37	5.34		295	42.57					318	45.89					22	3.17					21	3.03		693
	FIFTH			1	4.55		10	45.45					4	18.18						Excluded					7	31.82		22
		TOTAL		38	5.48		305	44.01					322	46.46											28	4.04		693
	SIXTH			13	46.43		9	32.14					6	21.43												Excluded		28
		TOTAL		51	7.36		314	45.31					328	47.33														693
	SEVENTH				Excluded		37	72.55					14	27.45														51
		TOTAL					351	50.65					342	49.35														693
							Elected																					
																												
Newcomb                                                        																												
	FIRST			107	4.87		1160	52.80		34	1.55		761	34.64		6	0.27		43	1.96		8	0.36		78	3.55		2197
	SECOND			0	0.00		0	0.00		0	0.00		1	16.67			Excluded		2	33.33		1	16.67		2	33.33		6
		TOTAL		107	4.87		1160	52.80		34	1.55		762	34.68					45	2.05		9	0.41		80	3.64		2197
	THIRD			1	11.11		3	33.33		1	11.11		0	0.00					1	11.11			Excluded		3	33.33		9
		TOTAL		108	4.92		1163	52.94		35	1.59		762	34.68					46	2.09					83	3.78		2197
	FOURTH			2	5.71		8	22.86			Excluded		1	2.86					0	0.00					24	68.57		35
		TOTAL		110	5.01		1171	53.30					763	34.73					46	2.09					107	4.87		2197
	FIFTH			8	17.39		10	21.74					12	26.09						Excluded					16	34.78		46
		TOTAL		118	5.37		1181	53.76					775	35.28											123	5.60		2197
	SIXTH			47	38.21		56	45.53					20	16.26												Excluded		123
		TOTAL		165	7.51		1237	56.30					795	36.19														2197
	SEVENTH				Excluded		123	74.55					42	25.45														165
		TOTAL					1360	61.90					837	38.10														2197
							Elected																					
																												
Newcomb South                                                  																												
	FIRST			82	6.67		613	49.88		24	1.95		451	36.70		1	0.08		23	1.87		4	0.33		31	2.52		1229
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		83	6.75		613	49.88		24	1.95		451	36.70					23	1.87		4	0.33		31	2.52		1229
	THIRD			0	0.00		1	25.00		1	25.00		0	0.00					1	25.00			Excluded		1	25.00		4
		TOTAL		83	6.75		614	49.96		25	2.03		451	36.70					24	1.95					32	2.60		1229
	FOURTH			3	12.00		4	16.00			Excluded		1	4.00					2	8.00					15	60.00		25
		TOTAL		86	7.00		618	50.28					452	36.78					26	2.12					47	3.82		1229
	FIFTH			5	19.23		9	34.62					5	19.23						Excluded					7	26.92		26
		TOTAL		91	7.40		627	51.02					457	37.18											54	4.39		1229
	SIXTH			21	38.89		24	44.44					9	16.67												Excluded		54
		TOTAL		112	9.11		651	52.97					466	37.92														1229
	SEVENTH				Excluded		82	73.21					30	26.79														112
		TOTAL					733	59.64					496	40.36														1229
							Elected																					
																												
Norlane                                                        																												
	FIRST			295	6.19		3201	67.16		60	1.26		915	19.20		9	0.19		76	1.59		108	2.27		102	2.14		4766
	SECOND			2	22.22		1	11.11		1	11.11		1	11.11			Excluded		1	11.11		2	22.22		1	11.11		9
		TOTAL		297	6.23		3202	67.18		61	1.28		916	19.22					77	1.62		110	2.31		103	2.16		4766
	THIRD			7	6.36		19	17.27		4	3.64		61	55.45					11	10.00			Excluded		8	7.27		110
		TOTAL		304	6.38		3221	67.58		65	1.36		977	20.50					88	1.85					111	2.33		4766
	FOURTH			10	15.38		20	30.77			Excluded		5	7.69					3	4.62					27	41.54		65
		TOTAL		314	6.59		3241	68.00					982	20.60					91	1.91					138	2.90		4766
	FIFTH			22	24.18		24	26.37					29	31.87						Excluded					16	17.58		91
		TOTAL		336	7.05		3265	68.51					1011	21.21											154	3.23		4766
	SIXTH			52	33.77		62	40.26					40	25.97												Excluded		154
		TOTAL		388	8.14		3327	69.81					1051	22.05														4766
	SEVENTH				Excluded		303	78.09					85	21.91														388
		TOTAL					3630	76.16					1136	23.84														4766
							Elected																					
																												
North Shore                                                    																												
	FIRST			86	4.18		1432	69.55		51	2.48		341	16.56		7	0.34		53	2.57		37	1.80		52	2.53		2059
	SECOND			1	14.29		0	0.00		1	14.29		2	28.57			Excluded		2	28.57		0	0.00		1	14.29		7
		TOTAL		87	4.23		1432	69.55		52	2.53		343	16.66					55	2.67		37	1.80		53	2.57		2059
	THIRD			2	5.41		7	18.92		1	2.70		22	59.46					4	10.81			Excluded		1	2.70		37
		TOTAL		89	4.32		1439	69.89		53	2.57		365	17.73					59	2.87					54	2.62		2059
	FOURTH			11	20.75		9	16.98			Excluded		7	13.21					2	3.77					24	45.28		53
		TOTAL		100	4.86		1448	70.33					372	18.07					61	2.96					78	3.79		2059
	FIFTH			8	13.11		12	19.67					14	22.95						Excluded					27	44.26		61
		TOTAL		108	5.25		1460	70.91					386	18.75											105	5.10		2059
	SIXTH			34	32.38		49	46.67					22	20.95												Excluded		105
		TOTAL		142	6.90		1509	73.29					408	19.82														2059
	SEVENTH				Excluded		116	81.69					26	18.31														142
		TOTAL					1625	78.92					434	21.08														2059
							Elected																					
																												
Rollins                                                        																												
	FIRST			85	6.58		705	54.61		11	0.85		426	33.00		5	0.39		15	1.16		5	0.39		39	3.02		1291
	SECOND			0	0.00		0	0.00		0	0.00		2	40.00			Excluded		2	40.00		1	20.00		0	0.00		5
		TOTAL		85	6.58		705	54.61		11	0.85		428	33.15					17	1.32		6	0.46		39	3.02		1291
	THIRD			0	0.00		1	16.67		0	0.00		1	16.67					1	16.67			Excluded		3	50.00		6
		TOTAL		85	6.58		706	54.69		11	0.85		429	33.23					18	1.39					42	3.25		1291
	FOURTH			2	18.18		2	18.18			Excluded		1	9.09					0	0.00					6	54.55		11
		TOTAL		87	6.74		708	54.84					430	33.31					18	1.39					48	3.72		1291
	FIFTH			2	11.11		5	27.78					2	11.11						Excluded					9	50.00		18
		TOTAL		89	6.89		713	55.23					432	33.46											57	4.42		1291
	SIXTH			28	49.12		19	33.33					10	17.54												Excluded		57
		TOTAL		117	9.06		732	56.70					442	34.24														1291
	SEVENTH				Excluded		84	71.79					33	28.21														117
		TOTAL					816	63.21					475	36.79														1291
							Elected																					
																												
Shannon                                                        																												
	FIRST			66	5.44		511	42.13		3	0.25		526	43.36		1	0.08		14	1.15		5	0.41		87	7.17		1213
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		66	5.44		511	42.13		3	0.25		527	43.45					14	1.15		5	0.41		87	7.17		1213
	THIRD			1	20.00		0	0.00		3	60.00		0	0.00					1	20.00			Excluded		0	0.00		5
		TOTAL		67	5.52		511	42.13		6	0.49		527	43.45					15	1.24					87	7.17		1213
	FOURTH			0	0.00		2	33.33			Excluded		2	33.33					0	0.00					2	33.33		6
		TOTAL		67	5.52		513	42.29					529	43.61					15	1.24					89	7.34		1213
	FIFTH			1	6.67		3	20.00					5	33.33						Excluded					6	40.00		15
		TOTAL		68	5.61		516	42.54					534	44.02											95	7.83		1213
	SIXTH			50	52.63		32	33.68					13	13.68												Excluded		95
		TOTAL		118	9.73		548	45.18					547	45.09														1213
	SEVENTH				Excluded		94	79.66					24	20.34														118
		TOTAL					642	52.93					571	47.07														1213
							Elected																					
																												
St Helens                                                      																												
	FIRST			38	4.53		400	47.73		2	0.24		345	41.17		1	0.12		9	1.07		4	0.48		39	4.65		838
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		38	4.53		400	47.73		2	0.24		346	41.29					9	1.07		4	0.48		39	4.65		838
	THIRD			1	25.00		0	0.00		0	0.00		0	0.00					1	25.00			Excluded		2	50.00		4
		TOTAL		39	4.65		400	47.73		2	0.24		346	41.29					10	1.19					41	4.89		838
	FOURTH			0	0.00		0	0.00			Excluded		1	50.00					1	50.00					0	0.00		2
		TOTAL		39	4.65		400	47.73					347	41.41					11	1.31					41	4.89		838
	FIFTH			2	18.18		2	18.18					3	27.27						Excluded					4	36.36		11
		TOTAL		41	4.89		402	47.97					350	41.77											45	5.37		838
	SIXTH			22	48.89		19	42.22					4	8.89												Excluded		45
		TOTAL		63	7.52		421	50.24					354	42.24														838
	SEVENTH				Excluded		51	80.95					12	19.05														63
		TOTAL					472	56.32					366	43.68														838
							Elected																					
																												
Thomson                                                        																												
	FIRST			73	4.86		847	56.39		31	2.06		463	30.83		0	0.00		21	1.40		10	0.67		57	3.79		1502
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		73	4.86		847	56.39		31	2.06		463	30.83					21	1.40		10	0.67		57	3.79		1502
	THIRD			0	0.00		3	30.00		2	20.00		0	0.00					3	30.00			Excluded		2	20.00		10
		TOTAL		73	4.86		850	56.59		33	2.20		463	30.83					24	1.60					59	3.93		1502
	FOURTH			4	12.12		2	6.06			Excluded		1	3.03					4	12.12					22	66.67		33
		TOTAL		77	5.13		852	56.72					464	30.89					28	1.86					81	5.39		1502
	FIFTH			4	14.29		6	21.43					10	35.71						Excluded					8	28.57		28
		TOTAL		81	5.39		858	57.12					474	31.56											89	5.93		1502
	SIXTH			44	49.44		32	35.96					13	14.61												Excluded		89
		TOTAL		125	8.32		890	59.25					487	32.42														1502
	SEVENTH				Excluded		94	75.20					31	24.80														125
		TOTAL					984	65.51					518	34.49														1502
							Elected																					
																												
Whittington                                                    																												
	FIRST			216	6.09		1965	55.38		47	1.32		1035	29.17		6	0.17		110	3.10		32	0.90		137	3.86		3548
	SECOND			1	16.67		3	50.00		0	0.00		1	16.67			Excluded		1	16.67		0	0.00		0	0.00		6
		TOTAL		217	6.12		1968	55.47		47	1.32		1036	29.20					111	3.13		32	0.90		137	3.86		3548
	THIRD			3	9.38		3	9.38		5	15.63		13	40.63					3	9.38			Excluded		5	15.63		32
		TOTAL		220	6.20		1971	55.55		52	1.47		1049	29.57					114	3.21					142	4.00		3548
	FOURTH			11	21.15		5	9.62			Excluded		4	7.69					4	7.69					28	53.85		52
		TOTAL		231	6.51		1976	55.69					1053	29.68					118	3.33					170	4.79		3548
	FIFTH			10	8.47		25	21.19					46	38.98						Excluded					37	31.36		118
		TOTAL		241	6.79		2001	56.40					1099	30.98											207	5.83		3548
	SIXTH			70	33.82		77	37.20					60	28.99												Excluded		207
		TOTAL		311	8.77		2078	58.57					1159	32.67														3548
	SEVENTH				Excluded		219	70.42					92	29.58														311
		TOTAL					2297	64.74					1251	35.26														3548
							Elected																					
																												
Special Hospital Team 1                                        																												
	FIRST			4	3.48		60	52.17		1	0.87		48	41.74		1	0.87		1	0.87		0	0.00		0	0.00		115
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1
		TOTAL		4	3.48		60	52.17		1	0.87		48	41.74					1	0.87		0	0.00		1	0.87		115
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00					0	0.00			Excluded		0	0.00		0
		TOTAL		4	3.48		60	52.17		1	0.87		48	41.74					1	0.87					1	0.87		115
	FOURTH			0	0.00		0	0.00			Excluded		0	0.00					0	0.00					1	100.00		1
		TOTAL		4	3.48		60	52.17					48	41.74					1	0.87					2	1.74		115
	FIFTH			1	100.00		0	0.00					0	0.00						Excluded					0	0.00		1
		TOTAL		5	4.35		60	52.17					48	41.74											2	1.74		115
	SIXTH			1	50.00		1	50.00					0	0.00												Excluded		2
		TOTAL		6	5.22		61	53.04					48	41.74														115
	SEVENTH				Excluded		5	83.33					1	16.67														6
		TOTAL					66	57.39					49	42.61														115
							Elected																					
																												
Special Hospital Team 2                                        																												
	FIRST			9	9.18		45	45.92		1	1.02		40	40.82		0	0.00		0	0.00		3	3.06		0	0.00		98
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0
		TOTAL		9	9.18		45	45.92		1	1.02		40	40.82					0	0.00		3	3.06		0	0.00		98
	THIRD			1	33.33		0	0.00		1	33.33		0	0.00					0	0.00			Excluded		1	33.33		3
		TOTAL		10	10.20		45	45.92		2	2.04		40	40.82					0	0.00					1	1.02		98
	FOURTH			0	0.00		1	50.00			Excluded		1	50.00					0	0.00					0	0.00		2
		TOTAL		10	10.20		46	46.94					41	41.84					0	0.00					1	1.02		98
	FIFTH			0	0.00		0	0.00					0	0.00						Excluded					0	0.00		0
		TOTAL		10	10.20		46	46.94					41	41.84											1	1.02		98
	SIXTH			0	0.00		0	0.00					1	100.00												Excluded		1
		TOTAL		10	10.20		46	46.94					42	42.86														98
	SEVENTH				Excluded		8	80.00					2	20.00														10
		TOTAL					54	55.10					44	44.90														98
							Elected																					
																												
ABSENT																												
	FIRST			356	10.57		1314	39.03		35	1.04		1227	36.44		17	0.50		71	2.11		45	1.34		302	8.97		3367
	SECOND			2	11.76		3	17.65		3	17.65		1	5.88			Excluded		5	29.41		2	11.76		1	5.88		17
		TOTAL		358	10.63		1317	39.11		38	1.13		1228	36.47					76	2.26		47	1.40		303	9.00		3367
	THIRD			7	14.89		1	2.13		25	53.19		3	6.38					5	10.64			Excluded		6	12.77		47
		TOTAL		365	10.84		1318	39.14		63	1.87		1231	36.56					81	2.41					309	9.18		3367
	FOURTH			9	14.29		33	52.38			Excluded		4	6.35					10	15.87					7	11.11		63
		TOTAL		374	11.11		1351	40.12					1235	36.68					91	2.70					316	9.39		3367
	FIFTH			14	15.38		19	20.88					41	45.05						Excluded					17	18.68		91
		TOTAL		388	11.52		1370	40.69					1276	37.90											333	9.89		3367
	SIXTH			177	53.15		86	25.83					70	21.02												Excluded		333
		TOTAL		565	16.78		1456	43.24					1346	39.98														3367
	SEVENTH				Excluded		387	68.50					178	31.50														565
		TOTAL					1843	54.74					1524	45.26														3367
							Elected																					
																												
POSTAL																												
	FIRST			154	4.24		1598	43.97		17	0.47		1644	45.24		10	0.28		91	2.50		18	0.50		102	2.81		3634
	SECOND			1	10.00		3	30.00		0	0.00		0	0.00			Excluded		1	10.00		3	30.00		2	20.00		10
		TOTAL		155	4.27		1601	44.06		17	0.47		1644	45.24					92	2.53		21	0.58		104	2.86		3634
	THIRD			1	4.76		3	14.29		4	19.05		6	28.57					1	4.76			Excluded		6	28.57		21
		TOTAL		156	4.29		1604	44.14		21	0.58		1650	45.40					93	2.56					110	3.03		3634
	FOURTH			3	14.29		5	23.81			Excluded		3	14.29					2	9.52					8	38.10		21
		TOTAL		159	4.38		1609	44.28					1653	45.49					95	2.61					118	3.25		3634
	FIFTH			12	12.63		22	23.16					36	37.89						Excluded					25	26.32		95
		TOTAL		171	4.71		1631	44.88					1689	46.48											143	3.94		3634
	SIXTH			72	50.35		44	30.77					27	18.88												Excluded		143
		TOTAL		243	6.69		1675	46.09					1716	47.22														3634
	SEVENTH				Excluded		166	68.31					77	31.69														243
		TOTAL					1841	50.66					1793	49.34														3634
							Elected																					
																												
PRE POLL																												
	FIRST			250	6.60		1825	48.18		23	0.61		1435	37.88		10	0.26		81	2.14		19	0.50		145	3.83		3788
	SECOND			3	30.00		1	10.00		0	0.00		3	30.00			Excluded		2	20.00		1	10.00		0	0.00		10
		TOTAL		253	6.68		1826	48.20		23	0.61		1438	37.96					83	2.19		20	0.53		145	3.83		3788
	THIRD			3	15.00		4	20.00		9	45.00		1	5.00					2	10.00			Excluded		1	5.00		20
		TOTAL		256	6.76		1830	48.31		32	0.84		1439	37.99					85	2.24					146	3.85		3788
	FOURTH			6	18.75		11	34.38			Excluded		4	12.50					2	6.25					9	28.13		32
		TOTAL		262	6.92		1841	48.60					1443	38.09					87	2.30					155	4.09		3788
	FIFTH			24	27.59		18	20.69					24	27.59						Excluded					21	24.14		87
		TOTAL		286	7.55		1859	49.08					1467	38.73											176	4.65		3788
	SIXTH			88	50.00		54	30.68					34	19.32												Excluded		176
		TOTAL		374	9.87		1913	50.50					1501	39.63														3788
	SEVENTH				Excluded		272	72.73					102	27.27														374
		TOTAL					2185	57.68					1603	42.32														3788
							Elected																					
																												
PROVISIONAL																												
	FIRST			66	10.33		342	53.52		10	1.56		171	26.76		1	0.16		11	1.72		7	1.10		31	4.85		639
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1
		TOTAL		66	10.33		342	53.52		11	1.72		171	26.76					11	1.72		7	1.10		31	4.85		639
	THIRD			0	0.00		3	42.86		2	28.57		1	14.29					0	0.00			Excluded		1	14.29		7
		TOTAL		66	10.33		345	53.99		13	2.03		172	26.92					11	1.72					32	5.01		639
	FOURTH			1	7.69		4	30.77			Excluded		2	15.38					0	0.00					6	46.15		13
		TOTAL		67	10.49		349	54.62					174	27.23					11	1.72					38	5.95		639
	FIFTH			2	18.18		2	18.18					1	9.09						Excluded					6	54.55		11
		TOTAL		69	10.80		351	54.93					175	27.39											44	6.89		639
	SIXTH			20	45.45		16	36.36					8	18.18												Excluded		44
		TOTAL		89	13.93		367	57.43					183	28.64														639
	SEVENTH				Excluded		68	76.40					21	23.60														89
		TOTAL					435	68.08					204	31.92														639
							Elected																					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
