House of Representatives - 2001 Election: Victoria																										
Distribution of Preferences																										
By Polling Place																										
McMillan																										
				HOWELL			ROBERTS			FORBES			WALL			FARRAR			ZAHRA			HOLTMAN				
	SECOND				Excluded		1	20.00		1	20.00		0	0.00		0	0.00		2	40.00		1	20.00		5	
		TOTAL					18	3.10		311	53.53		22	3.79		12	2.07		199	34.25		19	3.27		581	
	THIRD							Excluded		18	100.00		0	0.00		0	0.00		0	0.00		0	0.00		18	
		TOTAL								329	56.63		22	3.79		12	2.07		199	34.25		19	3.27		581	
	FOURTH									10	52.63		3	15.79		2	10.53		4	21.05			Excluded		19	
		TOTAL								339	58.35		25	4.30		14	2.41		203	34.94					581	
	FIFTH									5	20.00			Excluded		5	20.00		15	60.00					25	
		TOTAL								344	59.21					19	3.27		218	37.52					581	
	SIXTH									3	15.79						Excluded		16	84.21					19	
		TOTAL								347	59.72								234	40.28					581	
																			Elected							
																										
Nar Nar Goon North                                             																										
	FIRST			1	0.38		1	0.38		156	59.32		5	1.90		11	4.18		80	30.42		9	3.42		263	
	SECOND				Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL					1	0.38		157	59.70		5	1.90		11	4.18		80	30.42		9	3.42		263	
	THIRD							Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL								158	60.08		5	1.90		11	4.18		80	30.42		9	3.42		263	
	FOURTH									4	44.44		2	22.22		1	11.11		2	22.22			Excluded		9	
		TOTAL								162	61.60		7	2.66		12	4.56		82	31.18					263	
	FIFTH									0	0.00			Excluded		6	85.71		1	14.29					7	
		TOTAL								162	61.60					18	6.84		83	31.56					263	
	SIXTH									6	33.33						Excluded		12	66.67					18	
		TOTAL								168	63.88								95	36.12					263	
																			Elected							
																										
Narracan                                                       																										
	FIRST			4	2.09		23	12.04		69	36.13		6	3.14		11	5.76		62	32.46		16	8.38		191	
	SECOND				Excluded		1	25.00		0	0.00		0	0.00		1	25.00		0	0.00		2	50.00		4	
		TOTAL					24	12.57		69	36.13		6	3.14		12	6.28		62	32.46		18	9.42		191	
	THIRD							Excluded		23	95.83		0	0.00		0	0.00		0	0.00		1	4.17		24	
		TOTAL								92	48.17		6	3.14		12	6.28		62	32.46		19	9.95		191	
	FOURTH									11	57.89		2	10.53		2	10.53		4	21.05			Excluded		19	
		TOTAL								103	53.93		8	4.19		14	7.33		66	34.55					191	
	FIFTH									2	25.00			Excluded		3	37.50		3	37.50					8	
		TOTAL								105	54.97					17	8.90		69	36.13					191	
	SIXTH									3	17.65						Excluded		14	82.35					17	
		TOTAL								108	56.54								83	43.46					191	
																			Elected							
																										
Neerim Junction                                                																										
	FIRST			5	2.29		5	2.29		118	54.13		7	3.21		13	5.96		63	28.90		7	3.21		218	
	SECOND				Excluded		1	20.00		0	0.00		0	0.00		1	20.00		2	40.00		1	20.00		5	
		TOTAL					6	2.75		118	54.13		7	3.21		14	6.42		65	29.82		8	3.67		218	
	THIRD							Excluded		4	66.67		0	0.00		0	0.00		2	33.33		0	0.00		6	
		TOTAL								122	55.96		7	3.21		14	6.42		67	30.73		8	3.67		218	
	FOURTH									3	37.50		1	12.50		2	25.00		2	25.00			Excluded		8	
		TOTAL								125	57.34		8	3.67		16	7.34		69	31.65					218	
	FIFTH									3	37.50			Excluded		4	50.00		1	12.50					8	
		TOTAL								128	58.72					20	9.17		70	32.11					218	
	SIXTH									5	25.00						Excluded		15	75.00					20	
		TOTAL								133	61.01								85	38.99					218	
																			Elected							
																										
Neerim South                                                   																										
	FIRST			8	1.06		24	3.17		405	53.57		26	3.44		31	4.10		236	31.22		26	3.44		756	
	SECOND				Excluded		5	62.50		1	12.50		0	0.00		1	12.50		0	0.00		1	12.50		8	
		TOTAL					29	3.84		406	53.70		26	3.44		32	4.23		236	31.22		27	3.57		756	
	THIRD							Excluded		21	72.41		4	13.79		0	0.00		2	6.90		2	6.90		29	
		TOTAL								427	56.48		30	3.97		32	4.23		238	31.48		29	3.84		756	
	FOURTH									12	41.38		9	31.03		3	10.34		5	17.24			Excluded		29	
		TOTAL								439	58.07		39	5.16		35	4.63		243	32.14					756	
	FIFTH									9	23.08			Excluded		15	38.46		15	38.46					39	
		TOTAL								448	59.26					50	6.61		258	34.13					756	
	SIXTH									24	48.00						Excluded		26	52.00					50	
		TOTAL								472	62.43								284	37.57					756	
																			Elected							
																										
Newborough                                                     																										
	FIRST			32	1.40		24	1.05		596	26.08		105	4.60		64	2.80		1405	61.49		59	2.58		2285	
	SECOND				Excluded		8	25.00		4	12.50		5	15.63		4	12.50		3	9.38		8	25.00		32	
		TOTAL					32	1.40		600	26.26		110	4.81		68	2.98		1408	61.62		67	2.93		2285	
	THIRD							Excluded		22	68.75		5	15.63		2	6.25		2	6.25		1	3.13		32	
		TOTAL								622	27.22		115	5.03		70	3.06		1410	61.71		68	2.98		2285	
	FOURTH									21	30.88		12	17.65		14	20.59		21	30.88			Excluded		68	
		TOTAL								643	28.14		127	5.56		84	3.68		1431	62.63					2285	
	FIFTH									19	14.96			Excluded		76	59.84		32	25.20					127	
		TOTAL								662	28.97					160	7.00		1463	64.03					2285	
	SIXTH									37	23.13						Excluded		123	76.88					160	
		TOTAL								699	30.59								1586	69.41					2285	
																			Elected							
																										
Newborough East                                                																										
	FIRST			20	1.49		9	0.67		270	20.18		46	3.44		29	2.17		927	69.28		37	2.77		1338	
	SECOND				Excluded		6	30.00		3	15.00		2	10.00		0	0.00		6	30.00		3	15.00		20	
		TOTAL					15	1.12		273	20.40		48	3.59		29	2.17		933	69.73		40	2.99		1338	
	THIRD							Excluded		11	73.33		0	0.00		2	13.33		0	0.00		2	13.33		15	
		TOTAL								284	21.23		48	3.59		31	2.32		933	69.73		42	3.14		1338	
	FOURTH									12	28.57		6	14.29		9	21.43		15	35.71			Excluded		42	
		TOTAL								296	22.12		54	4.04		40	2.99		948	70.85					1338	
	FIFTH									5	9.26			Excluded		36	66.67		13	24.07					54	
		TOTAL								301	22.50					76	5.68		961	71.82					1338	
	SIXTH									12	15.79						Excluded		64	84.21					76	
		TOTAL								313	23.39								1025	76.61					1338	
																			Elected							
																										
Nilma                                                          																										
	FIRST			0	0.00		13	5.70		122	53.51		8	3.51		10	4.39		64	28.07		11	4.82		228	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					13	5.70		122	53.51		8	3.51		10	4.39		64	28.07		11	4.82		228	
	THIRD							Excluded		11	84.62		0	0.00		0	0.00		1	7.69		1	7.69		13	
		TOTAL								133	58.33		8	3.51		10	4.39		65	28.51		12	5.26		228	
	FOURTH									6	50.00		0	0.00		3	25.00		3	25.00			Excluded		12	
		TOTAL								139	60.96		8	3.51		13	5.70		68	29.82					228	
	FIFTH									0	0.00			Excluded		4	50.00		4	50.00					8	
		TOTAL								139	60.96					17	7.46		72	31.58					228	
	SIXTH									4	23.53						Excluded		13	76.47					17	
		TOTAL								143	62.72								85	37.28					228	
																			Elected							
																										
Noojee                                                         																										
	FIRST			2	1.41		3	2.11		55	38.73		5	3.52		13	9.15		52	36.62		12	8.45		142	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00		2	
		TOTAL					3	2.11		55	38.73		5	3.52		14	9.86		52	36.62		13	9.15		142	
	THIRD							Excluded		2	66.67		0	0.00		0	0.00		0	0.00		1	33.33		3	
		TOTAL								57	40.14		5	3.52		14	9.86		52	36.62		14	9.86		142	
	FOURTH									5	35.71		3	21.43		2	14.29		4	28.57			Excluded		14	
		TOTAL								62	43.66		8	5.63		16	11.27		56	39.44					142	
	FIFTH									2	25.00			Excluded		4	50.00		2	25.00					8	
		TOTAL								64	45.07					20	14.08		58	40.85					142	
	SIXTH									1	5.00						Excluded		19	95.00					20	
		TOTAL								65	45.77								77	54.23					142	
																			Elected							
																										
Pakenham                                                       																										
	FIRST			34	1.28		32	1.21		1215	45.85		111	4.19		134	5.06		1024	38.64		100	3.77		2650	
	SECOND				Excluded		14	41.18		6	17.65		6	17.65		3	8.82		2	5.88		3	8.82		34	
		TOTAL					46	1.74		1221	46.08		117	4.42		137	5.17		1026	38.72		103	3.89		2650	
	THIRD							Excluded		36	78.26		4	8.70		2	4.35		4	8.70		0	0.00		46	
		TOTAL								1257	47.43		121	4.57		139	5.25		1030	38.87		103	3.89		2650	
	FOURTH									27	26.21		9	8.74		53	51.46		14	13.59			Excluded		103	
		TOTAL								1284	48.45		130	4.91		192	7.25		1044	39.40					2650	
	FIFTH									35	26.92			Excluded		47	36.15		48	36.92					130	
		TOTAL								1319	49.77					239	9.02		1092	41.21					2650	
	SIXTH									93	38.91						Excluded		146	61.09					239	
		TOTAL								1412	53.28								1238	46.72					2650	
																			Elected							
																										
Pakenham Central                                               																										
	FIRST			30	1.36		39	1.76		1146	51.81		58	2.62		82	3.71		795	35.94		62	2.80		2212	
	SECOND				Excluded		9	30.00		7	23.33		3	10.00		2	6.67		6	20.00		3	10.00		30	
		TOTAL					48	2.17		1153	52.12		61	2.76		84	3.80		801	36.21		65	2.94		2212	
	THIRD							Excluded		35	72.92		5	10.42		1	2.08		6	12.50		1	2.08		48	
		TOTAL								1188	53.71		66	2.98		85	3.84		807	36.48		66	2.98		2212	
	FOURTH									21	31.82		9	13.64		22	33.33		14	21.21			Excluded		66	
		TOTAL								1209	54.66		75	3.39		107	4.84		821	37.12					2212	
	FIFTH									22	29.33			Excluded		30	40.00		23	30.67					75	
		TOTAL								1231	55.65					137	6.19		844	38.16					2212	
	SIXTH									44	32.12						Excluded		93	67.88					137	
		TOTAL								1275	57.64								937	42.36					2212	
																			Elected							
																										
Pakenham North                                                 																										
	FIRST			13	1.24		19	1.82		517	49.47		39	3.73		21	2.01		405	38.76		31	2.97		1045	
	SECOND				Excluded		3	23.08		2	15.38		0	0.00		1	7.69		4	30.77		3	23.08		13	
		TOTAL					22	2.11		519	49.67		39	3.73		22	2.11		409	39.14		34	3.25		1045	
	THIRD							Excluded		16	72.73		4	18.18		0	0.00		1	4.55		1	4.55		22	
		TOTAL								535	51.20		43	4.11		22	2.11		410	39.23		35	3.35		1045	
	FOURTH									11	31.43		2	5.71		17	48.57		5	14.29			Excluded		35	
		TOTAL								546	52.25		45	4.31		39	3.73		415	39.71					1045	
	FIFTH									11	24.44			Excluded		17	37.78		17	37.78					45	
		TOTAL								557	53.30					56	5.36		432	41.34					1045	
	SIXTH									31	55.36						Excluded		25	44.64					56	
		TOTAL								588	56.27								457	43.73					1045	
																			Elected							
																										
Pakenham South                                                 																										
	FIRST			1	0.76		4	3.03		66	50.00		6	4.55		9	6.82		39	29.55		7	5.30		132	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL					4	3.03		66	50.00		6	4.55		9	6.82		39	29.55		8	6.06		132	
	THIRD							Excluded		4	100.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL								70	53.03		6	4.55		9	6.82		39	29.55		8	6.06		132	
	FOURTH									4	50.00		0	0.00		4	50.00		0	0.00			Excluded		8	
		TOTAL								74	56.06		6	4.55		13	9.85		39	29.55					132	
	FIFTH									2	33.33			Excluded		4	66.67		0	0.00					6	
		TOTAL								76	57.58					17	12.88		39	29.55					132	
	SIXTH									9	52.94						Excluded		8	47.06					17	
		TOTAL								85	64.39								47	35.61					132	
																			Elected							
																										
Pakenham Upper (McMillan)                                      																										
	FIRST			3	0.87		8	2.31		194	56.07		13	3.76		23	6.65		100	28.90		5	1.45		346	
	SECOND				Excluded		1	33.33		1	33.33		0	0.00		1	33.33		0	0.00		0	0.00		3	
		TOTAL					9	2.60		195	56.36		13	3.76		24	6.94		100	28.90		5	1.45		346	
	THIRD							Excluded		8	88.89		0	0.00		1	11.11		0	0.00		0	0.00		9	
		TOTAL								203	58.67		13	3.76		25	7.23		100	28.90		5	1.45		346	
	FOURTH									1	20.00		0	0.00		1	20.00		3	60.00			Excluded		5	
		TOTAL								204	58.96		13	3.76		26	7.51		103	29.77					346	
	FIFTH									3	23.08			Excluded		5	38.46		5	38.46					13	
		TOTAL								207	59.83					31	8.96		108	31.21					346	
	SIXTH									6	19.35						Excluded		25	80.65					31	
		TOTAL								213	61.56								133	38.44					346	
																			Elected							
																										
Rawson                                                         																										
	FIRST			3	1.94		6	3.87		59	38.06		4	2.58		9	5.81		69	44.52		5	3.23		155	
	SECOND				Excluded		1	33.33		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		3	
		TOTAL					7	4.52		59	38.06		5	3.23		10	6.45		69	44.52		5	3.23		155	
	THIRD							Excluded		6	85.71		0	0.00		1	14.29		0	0.00		0	0.00		7	
		TOTAL								65	41.94		5	3.23		11	7.10		69	44.52		5	3.23		155	
	FOURTH									2	40.00		1	20.00		1	20.00		1	20.00			Excluded		5	
		TOTAL								67	43.23		6	3.87		12	7.74		70	45.16					155	
	FIFTH									2	33.33			Excluded		1	16.67		3	50.00					6	
		TOTAL								69	44.52					13	8.39		73	47.10					155	
	SIXTH									3	23.08						Excluded		10	76.92					13	
		TOTAL								72	46.45								83	53.55					155	
																			Elected							
																										
Ripplebrook                                                    																										
	FIRST			0	0.00		4	3.74		74	69.16		4	3.74		6	5.61		14	13.08		5	4.67		107	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					4	3.74		74	69.16		4	3.74		6	5.61		14	13.08		5	4.67		107	
	THIRD							Excluded		4	100.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL								78	72.90		4	3.74		6	5.61		14	13.08		5	4.67		107	
	FOURTH									3	60.00		0	0.00		0	0.00		2	40.00			Excluded		5	
		TOTAL								81	75.70		4	3.74		6	5.61		16	14.95					107	
	FIFTH									1	25.00			Excluded		3	75.00		0	0.00					4	
		TOTAL								82	76.64					9	8.41		16	14.95					107	
	SIXTH									1	11.11						Excluded		8	88.89					9	
		TOTAL								83	77.57								24	22.43					107	
																			Elected							
																										
Rokeby                                                         																										
	FIRST			2	1.02		2	1.02		102	51.78		11	5.58		9	4.57		61	30.96		10	5.08		197	
	SECOND				Excluded		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		2	
		TOTAL					3	1.52		102	51.78		11	5.58		9	4.57		61	30.96		11	5.58		197	
	THIRD							Excluded		1	33.33		1	33.33		0	0.00		0	0.00		1	33.33		3	
		TOTAL								103	52.28		12	6.09		9	4.57		61	30.96		12	6.09		197	
	FOURTH									3	25.00		2	16.67		3	25.00		4	33.33			Excluded		12	
		TOTAL								106	53.81		14	7.11		12	6.09		65	32.99					197	
	FIFTH									4	28.57			Excluded		5	35.71		5	35.71					14	
		TOTAL								110	55.84					17	8.63		70	35.53					197	
	SIXTH									5	29.41						Excluded		12	70.59					17	
		TOTAL								115	58.38								82	41.62					197	
																			Elected							
																										
Tanjil South                                                   																										
	FIRST			2	0.70		16	5.61		138	48.42		4	1.40		5	1.75		106	37.19		14	4.91		285	
	SECOND				Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL					17	5.96		139	48.77		4	1.40		5	1.75		106	37.19		14	4.91		285	
	THIRD							Excluded		16	94.12		1	5.88		0	0.00		0	0.00		0	0.00		17	
		TOTAL								155	54.39		5	1.75		5	1.75		106	37.19		14	4.91		285	
	FOURTH									8	57.14		2	14.29		1	7.14		3	21.43			Excluded		14	
		TOTAL								163	57.19		7	2.46		6	2.11		109	38.25					285	
	FIFTH									2	28.57			Excluded		1	14.29		4	57.14					7	
		TOTAL								165	57.89					7	2.46		113	39.65					285	
	SIXTH									5	71.43						Excluded		2	28.57					7	
		TOTAL								170	59.65								115	40.35					285	
																			Elected							
																										
Tetoora Road                                                   																										
	FIRST			3	2.22		6	4.44		67	49.63		3	2.22		10	7.41		38	28.15		8	5.93		135	
	SECOND				Excluded		2	66.67		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL					8	5.93		68	50.37		3	2.22		10	7.41		38	28.15		8	5.93		135	
	THIRD							Excluded		6	75.00		1	12.50		1	12.50		0	0.00		0	0.00		8	
		TOTAL								74	54.81		4	2.96		11	8.15		38	28.15		8	5.93		135	
	FOURTH									2	25.00		0	0.00		6	75.00		0	0.00			Excluded		8	
		TOTAL								76	56.30		4	2.96		17	12.59		38	28.15					135	
	FIFTH									0	0.00			Excluded		3	75.00		1	25.00					4	
		TOTAL								76	56.30					20	14.81		39	28.89					135	
	SIXTH									3	15.00						Excluded		17	85.00					20	
		TOTAL								79	58.52								56	41.48					135	
																			Elected							
																										
Thorpdale                                                      																										
	FIRST			3	0.70		29	6.81		220	51.64		15	3.52		13	3.05		114	26.76		32	7.51		426	
	SECOND				Excluded		1	33.33		0	0.00		1	33.33		1	33.33		0	0.00		0	0.00		3	
		TOTAL					30	7.04		220	51.64		16	3.76		14	3.29		114	26.76		32	7.51		426	
	THIRD							Excluded		26	86.67		2	6.67		1	3.33		1	3.33		0	0.00		30	
		TOTAL								246	57.75		18	4.23		15	3.52		115	27.00		32	7.51		426	
	FOURTH									16	50.00		2	6.25		7	21.88		7	21.88			Excluded		32	
		TOTAL								262	61.50		20	4.69		22	5.16		122	28.64					426	
	FIFTH									3	15.00			Excluded		6	30.00		11	55.00					20	
		TOTAL								265	62.21					28	6.57		133	31.22					426	
	SIXTH									17	60.71						Excluded		11	39.29					28	
		TOTAL								282	66.20								144	33.80					426	
																			Elected							
																										
Toomuc Valley                                                  																										
	FIRST			0	0.00		1	0.94		67	63.21		4	3.77		3	2.83		28	26.42		3	2.83		106	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					1	0.94		67	63.21		4	3.77		3	2.83		28	26.42		3	2.83		106	
	THIRD							Excluded		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL								68	64.15		4	3.77		3	2.83		28	26.42		3	2.83		106	
	FOURTH									2	66.67		0	0.00		1	33.33		0	0.00			Excluded		3	
		TOTAL								70	66.04		4	3.77		4	3.77		28	26.42					106	
	FIFTH									0	0.00			Excluded		3	75.00		1	25.00					4	
		TOTAL								70	66.04					7	6.60		29	27.36					106	
	SIXTH									3	42.86						Excluded		4	57.14					7	
		TOTAL								73	68.87								33	31.13					106	
																			Elected							
																										
Trafalgar                                                      																										
	FIRST			30	1.53		51	2.59		901	45.83		87	4.43		63	3.20		765	38.91		69	3.51		1966	
	SECOND				Excluded		9	30.00		5	16.67		3	10.00		6	20.00		7	23.33		0	0.00		30	
		TOTAL					60	3.05		906	46.08		90	4.58		69	3.51		772	39.27		69	3.51		1966	
	THIRD							Excluded		48	80.00		5	8.33		2	3.33		3	5.00		2	3.33		60	
		TOTAL								954	48.52		95	4.83		71	3.61		775	39.42		71	3.61		1966	
	FOURTH									21	29.58		7	9.86		31	43.66		12	16.90			Excluded		71	
		TOTAL								975	49.59		102	5.19		102	5.19		787	40.03					1966	
	FIFTH									21	20.59			Excluded		56	54.90		25	24.51					102	
		TOTAL								996	50.66					158	8.04		812	41.30					1966	
	SIXTH									48	30.38						Excluded		110	69.62					158	
		TOTAL								1044	53.10								922	46.90					1966	
																			Elected							
																										
Traralgon                                                      																										
	FIRST			53	1.38		151	3.92		1643	42.66		170	4.41		148	3.84		1581	41.05		105	2.73		3851	
	SECOND				Excluded		25	47.17		11	20.75		8	15.09		0	0.00		6	11.32		3	5.66		53	
		TOTAL					176	4.57		1654	42.95		178	4.62		148	3.84		1587	41.21		108	2.80		3851	
	THIRD							Excluded		139	78.98		16	9.09		5	2.84		12	6.82		4	2.27		176	
		TOTAL								1793	46.56		194	5.04		153	3.97		1599	41.52		112	2.91		3851	
	FOURTH									29	25.89		9	8.04		36	32.14		38	33.93			Excluded		112	
		TOTAL								1822	47.31		203	5.27		189	4.91		1637	42.51					3851	
	FIFTH									42	20.69			Excluded		101	49.75		60	29.56					203	
		TOTAL								1864	48.40					290	7.53		1697	44.07					3851	
	SIXTH									91	31.38						Excluded		199	68.62					290	
		TOTAL								1955	50.77								1896	49.23					3851	
																			Elected							
																										
Traralgon East                                                 																										
	FIRST			39	1.22		97	3.04		1106	34.71		132	4.14		96	3.01		1591	49.94		125	3.92		3186	
	SECOND				Excluded		19	48.72		6	15.38		2	5.13		5	12.82		1	2.56		6	15.38		39	
		TOTAL					116	3.64		1112	34.90		134	4.21		101	3.17		1592	49.97		131	4.11		3186	
	THIRD							Excluded		90	77.59		9	7.76		2	1.72		11	9.48		4	3.45		116	
		TOTAL								1202	37.73		143	4.49		103	3.23		1603	50.31		135	4.24		3186	
	FOURTH									38	28.15		10	7.41		53	39.26		34	25.19			Excluded		135	
		TOTAL								1240	38.92		153	4.80		156	4.90		1637	51.38					3186	
	FIFTH									18	11.76			Excluded		100	65.36		35	22.88					153	
		TOTAL								1258	39.49					256	8.04		1672	52.48					3186	
	SIXTH									83	32.42						Excluded		173	67.58					256	
		TOTAL								1341	42.09								1845	57.91					3186	
																			Elected							
																										
Traralgon North                                                																										
	FIRST			53	1.32		198	4.94		1484	37.05		139	3.47		128	3.20		1875	46.82		128	3.20		4005	
	SECOND				Excluded		21	39.62		4	7.55		5	9.43		8	15.09		5	9.43		10	18.87		53	
		TOTAL					219	5.47		1488	37.15		144	3.60		136	3.40		1880	46.94		138	3.45		4005	
	THIRD							Excluded		176	80.37		16	7.31		4	1.83		16	7.31		7	3.20		219	
		TOTAL								1664	41.55		160	4.00		140	3.50		1896	47.34		145	3.62		4005	
	FOURTH									50	34.48		17	11.72		42	28.97		36	24.83			Excluded		145	
		TOTAL								1714	42.80		177	4.42		182	4.54		1932	48.24					4005	
	FIFTH									26	14.69			Excluded		104	58.76		47	26.55					177	
		TOTAL								1740	43.45					286	7.14		1979	49.41					4005	
	SIXTH									94	32.87						Excluded		192	67.13					286	
		TOTAL								1834	45.79								2171	54.21					4005	
																			Elected							
																										
Traralgon South                                                																										
	FIRST			6	1.31		30	6.55		155	33.84		23	5.02		38	8.30		186	40.61		20	4.37		458	
	SECOND				Excluded		2	33.33		0	0.00		1	16.67		0	0.00		0	0.00		3	50.00		6	
		TOTAL					32	6.99		155	33.84		24	5.24		38	8.30		186	40.61		23	5.02		458	
	THIRD							Excluded		27	84.38		1	3.13		1	3.13		3	9.38		0	0.00		32	
		TOTAL								182	39.74		25	5.46		39	8.52		189	41.27		23	5.02		458	
	FOURTH									9	39.13		1	4.35		6	26.09		7	30.43			Excluded		23	
		TOTAL								191	41.70		26	5.68		45	9.83		196	42.79					458	
	FIFTH									8	30.77			Excluded		13	50.00		5	19.23					26	
		TOTAL								199	43.45					58	12.66		201	43.89					458	
	SIXTH									13	22.41						Excluded		45	77.59					58	
		TOTAL								212	46.29								246	53.71					458	
																			Elected							
																										
Traralgon West                                                 																										
	FIRST			12	1.16		55	5.33		429	41.61		56	5.43		38	3.69		400	38.80		41	3.98		1031	
	SECOND				Excluded		6	50.00		3	25.00		1	8.33		0	0.00		1	8.33		1	8.33		12	
		TOTAL					61	5.92		432	41.90		57	5.53		38	3.69		401	38.89		42	4.07		1031	
	THIRD							Excluded		46	75.41		4	6.56		1	1.64		4	6.56		6	9.84		61	
		TOTAL								478	46.36		61	5.92		39	3.78		405	39.28		48	4.66		1031	
	FOURTH									14	29.17		8	16.67		17	35.42		9	18.75			Excluded		48	
		TOTAL								492	47.72		69	6.69		56	5.43		414	40.16					1031	
	FIFTH									13	18.84			Excluded		44	63.77		12	17.39					69	
		TOTAL								505	48.98					100	9.70		426	41.32					1031	
	SIXTH									34	34.00						Excluded		66	66.00					100	
		TOTAL								539	52.28								492	47.72					1031	
																			Elected							
																										
Tyers                                                          																										
	FIRST			5	0.92		19	3.51		212	39.19		21	3.88		18	3.33		242	44.73		24	4.44		541	
	SECOND				Excluded		1	20.00		0	0.00		0	0.00		1	20.00		1	20.00		2	40.00		5	
		TOTAL					20	3.70		212	39.19		21	3.88		19	3.51		243	44.92		26	4.81		541	
	THIRD							Excluded		16	80.00		0	0.00		0	0.00		2	10.00		2	10.00		20	
		TOTAL								228	42.14		21	3.88		19	3.51		245	45.29		28	5.18		541	
	FOURTH									11	39.29		1	3.57		9	32.14		7	25.00			Excluded		28	
		TOTAL								239	44.18		22	4.07		28	5.18		252	46.58					541	
	FIFTH									3	13.64			Excluded		9	40.91		10	45.45					22	
		TOTAL								242	44.73					37	6.84		262	48.43					541	
	SIXTH									9	24.32						Excluded		28	75.68					37	
		TOTAL								251	46.40								290	53.60					541	
																			Elected							
																										
Tynong                                                         																										
	FIRST			4	1.20		9	2.71		162	48.80		8	2.41		17	5.12		119	35.84		13	3.92		332	
	SECOND				Excluded		1	25.00		3	75.00		0	0.00		0	0.00		0	0.00		0	0.00		4	
		TOTAL					10	3.01		165	49.70		8	2.41		17	5.12		119	35.84		13	3.92		332	
	THIRD							Excluded		8	80.00		1	10.00		0	0.00		0	0.00		1	10.00		10	
		TOTAL								173	52.11		9	2.71		17	5.12		119	35.84		14	4.22		332	
	FOURTH									6	42.86		4	28.57		0	0.00		4	28.57			Excluded		14	
		TOTAL								179	53.92		13	3.92		17	5.12		123	37.05					332	
	FIFTH									2	15.38			Excluded		7	53.85		4	30.77					13	
		TOTAL								181	54.52					24	7.23		127	38.25					332	
	SIXTH									9	37.50						Excluded		15	62.50					24	
		TOTAL								190	57.23								142	42.77					332	
																			Elected							
																										
Tynong North                                                   																										
	FIRST			0	0.00		2	1.63		78	63.41		3	2.44		8	6.50		29	23.58		3	2.44		123	
	SECOND				Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL					2	1.63		78	63.41		3	2.44		8	6.50		29	23.58		3	2.44		123	
	THIRD							Excluded		2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL								80	65.04		3	2.44		8	6.50		29	23.58		3	2.44		123	
	FOURTH									1	33.33		0	0.00		2	66.67		0	0.00			Excluded		3	
		TOTAL								81	65.85		3	2.44		10	8.13		29	23.58					123	
	FIFTH									1	33.33			Excluded		0	0.00		2	66.67					3	
		TOTAL								82	66.67					10	8.13		31	25.20					123	
	SIXTH									5	50.00						Excluded		5	50.00					10	
		TOTAL								87	70.73								36	29.27					123	
																			Elected							
																										
Warragul                                                       																										
	FIRST			26	0.94		54	1.95		1386	49.95		119	4.29		139	5.01		972	35.03		79	2.85		2775	
	SECOND				Excluded		9	34.62		7	26.92		4	15.38		4	15.38		1	3.85		1	3.85		26	
		TOTAL					63	2.27		1393	50.20		123	4.43		143	5.15		973	35.06		80	2.88		2775	
	THIRD							Excluded		56	88.89		3	4.76		0	0.00		3	4.76		1	1.59		63	
		TOTAL								1449	52.22		126	4.54		143	5.15		976	35.17		81	2.92		2775	
	FOURTH									24	29.63		9	11.11		27	33.33		21	25.93			Excluded		81	
		TOTAL								1473	53.08		135	4.86		170	6.13		997	35.93					2775	
	FIFTH									36	26.67			Excluded		65	48.15		34	25.19					135	
		TOTAL								1509	54.38					235	8.47		1031	37.15					2775	
	SIXTH									62	26.38						Excluded		173	73.62					235	
		TOTAL								1571	56.61								1204	43.39					2775	
																			Elected							
																										
Warragul East                                                  																										
	FIRST			14	1.39		20	1.99		516	51.34		23	2.29		37	3.68		348	34.63		47	4.68		1005	
	SECOND				Excluded		5	35.71		2	14.29		3	21.43		2	14.29		1	7.14		1	7.14		14	
		TOTAL					25	2.49		518	51.54		26	2.59		39	3.88		349	34.73		48	4.78		1005	
	THIRD							Excluded		18	72.00		2	8.00		3	12.00		1	4.00		1	4.00		25	
		TOTAL								536	53.33		28	2.79		42	4.18		350	34.83		49	4.88		1005	
	FOURTH									7	14.29		4	8.16		24	48.98		14	28.57			Excluded		49	
