House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Flinders																									
				WILSON			DOWEY			BLADE			HUNT			FINCH			ARMSTRONG			DE RANGO			
	FIRST			6	1.14		5	0.95		3	0.57		358	68.06		104	19.77		25	4.75		25	4.75		526
	SECOND			1	33.33		0	0.00			Excluded		0	0.00		1	33.33		1	33.33		0	0.00		3
		TOTAL		7	1.33		5	0.95					358	68.06		105	19.96		26	4.94		25	4.75		526
	THIRD				Excluded		2	28.57					0	0.00		1	14.29		1	14.29		3	42.86		7
		TOTAL					7	1.33					358	68.06		106	20.15		27	5.13		28	5.32		526
	FOURTH							Excluded					4	57.14		1	14.29		1	14.29		1	14.29		7
		TOTAL											362	68.82		107	20.34		28	5.32		29	5.51		526
	FIFTH												8	28.57		6	21.43			Excluded		14	50.00		28
		TOTAL											370	70.34		113	21.48					43	8.17		526
	SIXTH												16	37.21		27	62.79						Excluded		43
		TOTAL											386	73.38		140	26.62								526
													Elected												
																									
Mt Erin (Flinders)                                             																									
	FIRST			9	0.91		12	1.21		3	0.30		578	58.50		305	30.87		48	4.86		33	3.34		988
	SECOND			0	0.00		2	66.67			Excluded		1	33.33		0	0.00		0	0.00		0	0.00		3
		TOTAL		9	0.91		14	1.42					579	58.60		305	30.87		48	4.86		33	3.34		988
	THIRD				Excluded		5	55.56					1	11.11		1	11.11		1	11.11		1	11.11		9
		TOTAL					19	1.92					580	58.70		306	30.97		49	4.96		34	3.44		988
	FOURTH							Excluded					11	57.89		3	15.79		2	10.53		3	15.79		19
		TOTAL											591	59.82		309	31.28		51	5.16		37	3.74		988
	FIFTH												10	19.61		23	45.10			Excluded		18	35.29		51
		TOTAL											601	60.83		332	33.60					55	5.57		988
	SIXTH												17	30.91		38	69.09						Excluded		55
		TOTAL											618	62.55		370	37.45								988
													Elected												
																									
Mt Martha                                                      																									
	FIRST			19	0.54		26	0.74		16	0.45		2074	58.97		876	24.91		232	6.60		274	7.79		3517
	SECOND			7	43.75		0	0.00			Excluded		4	25.00		3	18.75		1	6.25		1	6.25		16
		TOTAL		26	0.74		26	0.74					2078	59.08		879	24.99		233	6.62		275	7.82		3517
	THIRD				Excluded		7	26.92					6	23.08		4	15.38		5	19.23		4	15.38		26
		TOTAL					33	0.94					2084	59.26		883	25.11		238	6.77		279	7.93		3517
	FOURTH							Excluded					16	48.48		7	21.21		4	12.12		6	18.18		33
		TOTAL											2100	59.71		890	25.31		242	6.88		285	8.10		3517
	FIFTH												34	14.05		31	12.81			Excluded		177	73.14		242
		TOTAL											2134	60.68		921	26.19					462	13.14		3517
	SIXTH												113	24.46		349	75.54						Excluded		462
		TOTAL											2247	63.89		1270	36.11								3517
													Elected												
																									
Mt Martha North (Flinders)                                     																									
	FIRST			30	1.13		44	1.65		11	0.41		1469	55.23		757	28.46		182	6.84		167	6.28		2660
	SECOND			1	9.09		1	9.09			Excluded		6	54.55		0	0.00		1	9.09		2	18.18		11
		TOTAL		31	1.17		45	1.69					1475	55.45		757	28.46		183	6.88		169	6.35		2660
	THIRD				Excluded		8	25.81					5	16.13		1	3.23		9	29.03		8	25.81		31
		TOTAL					53	1.99					1480	55.64		758	28.50		192	7.22		177	6.65		2660
	FOURTH							Excluded					23	43.40		15	28.30		4	7.55		11	20.75		53
		TOTAL											1503	56.50		773	29.06		196	7.37		188	7.07		2660
	FIFTH												31	15.82		36	18.37			Excluded		129	65.82		196
		TOTAL											1534	57.67		809	30.41					317	11.92		2660
	SIXTH												109	34.38		208	65.62						Excluded		317
		TOTAL											1643	61.77		1017	38.23								2660
													Elected												
																									
Newhaven                                                       																									
	FIRST			9	1.05		24	2.79		2	0.23		378	43.90		335	38.91		28	3.25		85	9.87		861
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		10	1.16		25	2.90					378	43.90		335	38.91		28	3.25		85	9.87		861
	THIRD				Excluded		3	30.00					1	10.00		0	0.00		3	30.00		3	30.00		10
		TOTAL					28	3.25					379	44.02		335	38.91		31	3.60		88	10.22		861
	FOURTH							Excluded					7	25.00		2	7.14		3	10.71		16	57.14		28
		TOTAL											386	44.83		337	39.14		34	3.95		104	12.08		861
	FIFTH												4	11.76		12	35.29			Excluded		18	52.94		34
		TOTAL											390	45.30		349	40.53					122	14.17		861
	SIXTH												23	18.85		99	81.15						Excluded		122
		TOTAL											413	47.97		448	52.03								861
													Elected												
																									
Nyora                                                          																									
	FIRST			7	1.20		21	3.60		5	0.86		299	51.20		202	34.59		23	3.94		27	4.62		584
	SECOND			3	60.00		0	0.00			Excluded		0	0.00		1	20.00		0	0.00		1	20.00		5
		TOTAL		10	1.71		21	3.60					299	51.20		203	34.76		23	3.94		28	4.79		584
	THIRD				Excluded		4	40.00					2	20.00		0	0.00		3	30.00		1	10.00		10
		TOTAL					25	4.28					301	51.54		203	34.76		26	4.45		29	4.97		584
	FOURTH							Excluded					9	36.00		8	32.00		3	12.00		5	20.00		25
		TOTAL											310	53.08		211	36.13		29	4.97		34	5.82		584
	FIFTH												7	24.14		10	34.48			Excluded		12	41.38		29
		TOTAL											317	54.28		221	37.84					46	7.88		584
	SIXTH												16	34.78		30	65.22						Excluded		46
		TOTAL											333	57.02		251	42.98								584
													Elected												
																									
Pearcedale                                                     																									
	FIRST			17	0.87		48	2.45		16	0.82		996	50.82		657	33.52		128	6.53		98	5.00		1960
	SECOND			8	50.00		1	6.25			Excluded		4	25.00		1	6.25		1	6.25		1	6.25		16
		TOTAL		25	1.28		49	2.50					1000	51.02		658	33.57		129	6.58		99	5.05		1960
	THIRD				Excluded		11	44.00					3	12.00		5	20.00		5	20.00		1	4.00		25
		TOTAL					60	3.06					1003	51.17		663	33.83		134	6.84		100	5.10		1960
	FOURTH							Excluded					34	56.67		12	20.00		9	15.00		5	8.33		60
		TOTAL											1037	52.91		675	34.44		143	7.30		105	5.36		1960
	FIFTH												19	13.29		39	27.27			Excluded		85	59.44		143
		TOTAL											1056	53.88		714	36.43					190	9.69		1960
	SIXTH												62	32.63		128	67.37						Excluded		190
		TOTAL											1118	57.04		842	42.96								1960
													Elected												
																									
Portsea                                                        																									
	FIRST			0	0.00		3	1.19		0	0.00		186	73.52		46	18.18		5	1.98		13	5.14		253
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		0	0.00		3	1.19					186	73.52		46	18.18		5	1.98		13	5.14		253
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL					3	1.19					186	73.52		46	18.18		5	1.98		13	5.14		253
	FOURTH							Excluded					1	33.33		1	33.33		0	0.00		1	33.33		3
		TOTAL											187	73.91		47	18.58		5	1.98		14	5.53		253
	FIFTH												0	0.00		0	0.00			Excluded		5	100.00		5
		TOTAL											187	73.91		47	18.58					19	7.51		253
	SIXTH												5	26.32		14	73.68						Excluded		19
		TOTAL											192	75.89		61	24.11								253
													Elected												
																									
Red Hill                                                       																									
	FIRST			6	0.50		13	1.08		1	0.08		613	50.87		317	26.31		103	8.55		152	12.61		1205
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		1
		TOTAL		6	0.50		13	1.08					613	50.87		317	26.31		104	8.63		152	12.61		1205
	THIRD				Excluded		1	16.67					4	66.67		1	16.67		0	0.00		0	0.00		6
		TOTAL					14	1.16					617	51.20		318	26.39		104	8.63		152	12.61		1205
	FOURTH							Excluded					5	35.71		1	7.14		4	28.57		4	28.57		14
		TOTAL											622	51.62		319	26.47		108	8.96		156	12.95		1205
	FIFTH												11	10.19		17	15.74			Excluded		80	74.07		108
		TOTAL											633	52.53		336	27.88					236	19.59		1205
	SIXTH												66	27.97		170	72.03						Excluded		236
		TOTAL											699	58.01		506	41.99								1205
													Elected												
																									
Rhyll                                                          																									
	FIRST			2	0.37		11	2.04		2	0.37		329	61.04		140	25.97		15	2.78		40	7.42		539
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		4	0.74		11	2.04					329	61.04		140	25.97		15	2.78		40	7.42		539
	THIRD				Excluded		1	25.00					1	25.00		1	25.00		1	25.00		0	0.00		4
		TOTAL					12	2.23					330	61.22		141	26.16		16	2.97		40	7.42		539
	FOURTH							Excluded					2	16.67		6	50.00		0	0.00		4	33.33		12
		TOTAL											332	61.60		147	27.27		16	2.97		44	8.16		539
	FIFTH												2	12.50		5	31.25			Excluded		9	56.25		16
		TOTAL											334	61.97		152	28.20					53	9.83		539
	SIXTH												10	18.87		43	81.13						Excluded		53
		TOTAL											344	63.82		195	36.18								539
													Elected												
																									
Rosebud                                                        																									
	FIRST			17	1.34		27	2.14		10	0.79		585	46.28		499	39.48		69	5.46		57	4.51		1264
	SECOND			3	30.00		1	10.00			Excluded		4	40.00		0	0.00		1	10.00		1	10.00		10
		TOTAL		20	1.58		28	2.22					589	46.60		499	39.48		70	5.54		58	4.59		1264
	THIRD				Excluded		10	50.00					2	10.00		4	20.00		3	15.00		1	5.00		20
		TOTAL					38	3.01					591	46.76		503	39.79		73	5.78		59	4.67		1264
	FOURTH							Excluded					20	52.63		5	13.16		4	10.53		9	23.68		38
		TOTAL											611	48.34		508	40.19		77	6.09		68	5.38		1264
	FIFTH												11	14.29		15	19.48			Excluded		51	66.23		77
		TOTAL											622	49.21		523	41.38					119	9.41		1264
	SIXTH												40	33.61		79	66.39						Excluded		119
		TOTAL											662	52.37		602	47.63								1264
													Elected												
																									
Rosebud East                                                   																									
	FIRST			25	1.28		39	2.00		17	0.87		810	41.62		785	40.34		139	7.14		131	6.73		1946
	SECOND			12	70.59		0	0.00			Excluded		2	11.76		2	11.76		0	0.00		1	5.88		17
		TOTAL		37	1.90		39	2.00					812	41.73		787	40.44		139	7.14		132	6.78		1946
	THIRD				Excluded		13	35.14					7	18.92		4	10.81		8	21.62		5	13.51		37
		TOTAL					52	2.67					819	42.09		791	40.65		147	7.55		137	7.04		1946
	FOURTH							Excluded					26	50.00		14	26.92		2	3.85		10	19.23		52
		TOTAL											845	43.42		805	41.37		149	7.66		147	7.55		1946
	FIFTH												18	12.08		30	20.13			Excluded		101	67.79		149
		TOTAL											863	44.35		835	42.91					248	12.74		1946
	SIXTH												72	29.03		176	70.97						Excluded		248
		TOTAL											935	48.05		1011	51.95								1946
													Elected												
																									
Rosebud South                                                  																									
	FIRST			13	0.63		39	1.89		15	0.73		1093	52.90		648	31.36		127	6.15		131	6.34		2066
	SECOND			8	53.33		3	20.00			Excluded		1	6.67		2	13.33		0	0.00		1	6.67		15
		TOTAL		21	1.02		42	2.03					1094	52.95		650	31.46		127	6.15		132	6.39		2066
	THIRD				Excluded		7	33.33					7	33.33		2	9.52		4	19.05		1	4.76		21
		TOTAL					49	2.37					1101	53.29		652	31.56		131	6.34		133	6.44		2066
	FOURTH							Excluded					25	51.02		8	16.33		6	12.24		10	20.41		49
		TOTAL											1126	54.50		660	31.95		137	6.63		143	6.92		2066
	FIFTH												21	15.33		32	23.36			Excluded		84	61.31		137
		TOTAL											1147	55.52		692	33.49					227	10.99		2066
	SIXTH												61	26.87		166	73.13						Excluded		227
		TOTAL											1208	58.47		858	41.53								2066
													Elected												
																									
Rosebud West                                                   																									
	FIRST			30	1.28		52	2.22		7	0.30		1015	43.39		975	41.68		151	6.46		109	4.66		2339
	SECOND			5	71.43		1	14.29			Excluded		0	0.00		0	0.00		0	0.00		1	14.29		7
		TOTAL		35	1.50		53	2.27					1015	43.39		975	41.68		151	6.46		110	4.70		2339
	THIRD				Excluded		10	28.57					5	14.29		5	14.29		6	17.14		9	25.71		35
		TOTAL					63	2.69					1020	43.61		980	41.90		157	6.71		119	5.09		2339
	FOURTH							Excluded					24	38.10		14	22.22		7	11.11		18	28.57		63
		TOTAL											1044	44.63		994	42.50		164	7.01		137	5.86		2339
	FIFTH												20	12.20		30	18.29			Excluded		114	69.51		164
		TOTAL											1064	45.49		1024	43.78					251	10.73		2339
	SIXTH												98	39.04		153	60.96						Excluded		251
		TOTAL											1162	49.68		1177	50.32								2339
													Elected												
																									
Rye                                                            																									
	FIRST			33	0.89		82	2.20		19	0.51		1698	45.57		1486	39.88		178	4.78		230	6.17		3726
	SECOND			10	52.63		1	5.26			Excluded		4	21.05		3	15.79		0	0.00		1	5.26		19
		TOTAL		43	1.15		83	2.23					1702	45.68		1489	39.96		178	4.78		231	6.20		3726
	THIRD				Excluded		15	34.88					10	23.26		5	11.63		6	13.95		7	16.28		43
		TOTAL					98	2.63					1712	45.95		1494	40.10		184	4.94		238	6.39		3726
	FOURTH							Excluded					41	41.84		14	14.29		4	4.08		39	39.80		98
		TOTAL											1753	47.05		1508	40.47		188	5.05		277	7.43		3726
	FIFTH												27	14.36		42	22.34			Excluded		119	63.30		188
		TOTAL											1780	47.77		1550	41.60					396	10.63		3726
	SIXTH												94	23.74		302	76.26						Excluded		396
		TOTAL											1874	50.30		1852	49.70								3726
													Elected												
																									
Safety Beach                                                   																									
	FIRST			9	0.66		30	2.18		6	0.44		733	53.39		482	35.11		65	4.73		48	3.50		1373
	SECOND			3	50.00		2	33.33			Excluded		0	0.00		0	0.00		0	0.00		1	16.67		6
		TOTAL		12	0.87		32	2.33					733	53.39		482	35.11		65	4.73		49	3.57		1373
	THIRD				Excluded		4	33.33					1	8.33		1	8.33		3	25.00		3	25.00		12
		TOTAL					36	2.62					734	53.46		483	35.18		68	4.95		52	3.79		1373
	FOURTH							Excluded					15	41.67		7	19.44		5	13.89		9	25.00		36
		TOTAL											749	54.55		490	35.69		73	5.32		61	4.44		1373
	FIFTH												12	16.44		17	23.29			Excluded		44	60.27		73
		TOTAL											761	55.43		507	36.93					105	7.65		1373
	SIXTH												37	35.24		68	64.76						Excluded		105
		TOTAL											798	58.12		575	41.88								1373
													Elected												
																									
San Remo                                                       																									
	FIRST			8	1.04		12	1.56		1	0.13		404	52.40		244	31.65		29	3.76		73	9.47		771
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		9	1.17		12	1.56					404	52.40		244	31.65		29	3.76		73	9.47		771
	THIRD				Excluded		4	44.44					1	11.11		1	11.11		1	11.11		2	22.22		9
		TOTAL					16	2.08					405	52.53		245	31.78		30	3.89		75	9.73		771
	FOURTH							Excluded					7	43.75		4	25.00		2	12.50		3	18.75		16
		TOTAL											412	53.44		249	32.30		32	4.15		78	10.12		771
	FIFTH												3	9.38		11	34.38			Excluded		18	56.25		32
		TOTAL											415	53.83		260	33.72					96	12.45		771
	SIXTH												16	16.67		80	83.33						Excluded		96
		TOTAL											431	55.90		340	44.10								771
													Elected												
																									
Shoreham                                                       																									
	FIRST			1	0.29		2	0.58		0	0.00		161	46.67		110	31.88		16	4.64		55	15.94		345
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		1	0.29		2	0.58					161	46.67		110	31.88		16	4.64		55	15.94		345
	THIRD				Excluded		0	0.00					0	0.00		0	0.00		0	0.00		1	100.00		1
		TOTAL					2	0.58					161	46.67		110	31.88		16	4.64		56	16.23		345
	FOURTH							Excluded					1	50.00		0	0.00		1	50.00		0	0.00		2
		TOTAL											162	46.96		110	31.88		17	4.93		56	16.23		345
	FIFTH												1	5.88		4	23.53			Excluded		12	70.59		17
		TOTAL											163	47.25		114	33.04					68	19.71		345
	SIXTH												18	26.47		50	73.53						Excluded		68
		TOTAL											181	52.46		164	47.54								345
													Elected												
																									
Somers                                                         																									
	FIRST			7	0.90		10	1.29		1	0.13		387	49.87		223	28.74		82	10.57		66	8.51		776
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		8	1.03		10	1.29					387	49.87		223	28.74		82	10.57		66	8.51		776
	THIRD				Excluded		4	50.00					0	0.00		1	12.50		2	25.00		1	12.50		8
		TOTAL					14	1.80					387	49.87		224	28.87		84	10.82		67	8.63		776
	FOURTH							Excluded					6	42.86		2	14.29		0	0.00		6	42.86		14
		TOTAL											393	50.64		226	29.12		84	10.82		73	9.41		776
	FIFTH												13	15.48		11	13.10			Excluded		60	71.43		84
		TOTAL											406	52.32		237	30.54					133	17.14		776
	SIXTH												42	31.58		91	68.42						Excluded		133
		TOTAL											448	57.73		328	42.27								776
													Elected												
																									
Somerville East                                                																									
	FIRST			22	0.89		47	1.90		23	0.93		1326	53.49		773	31.18		197	7.95		91	3.67		2479
	SECOND			9	39.13		4	17.39			Excluded		5	21.74		4	17.39		0	0.00		1	4.35		23
		TOTAL		31	1.25		51	2.06					1331	53.69		777	31.34		197	7.95		92	3.71		2479
	THIRD				Excluded		12	38.71					6	19.35		4	12.90		5	16.13		4	12.90		31
		TOTAL					63	2.54					1337	53.93		781	31.50		202	8.15		96	3.87		2479
	FOURTH							Excluded					31	49.21		8	12.70		6	9.52		18	28.57		63
		TOTAL											1368	55.18		789	31.83		208	8.39		114	4.60		2479
	FIFTH												30	14.42		33	15.87			Excluded		145	69.71		208
		TOTAL											1398	56.39		822	33.16					259	10.45		2479
	SIXTH												86	33.20		173	66.80						Excluded		259
		TOTAL											1484	59.86		995	40.14								2479
													Elected												
																									
Somerville West                                                																									
	FIRST			16	0.60		60	2.26		14	0.53		1504	56.54		768	28.87		187	7.03		111	4.17		2660
	SECOND			9	64.29		1	7.14			Excluded		1	7.14		2	14.29		1	7.14		0	0.00		14
		TOTAL		25	0.94		61	2.29					1505	56.58		770	28.95		188	7.07		111	4.17		2660
	THIRD				Excluded		6	24.00					9	36.00		3	12.00		3	12.00		4	16.00		25
		TOTAL					67	2.52					1514	56.92		773	29.06		191	7.18		115	4.32		2660
	FOURTH							Excluded					27	40.30		17	25.37		7	10.45		16	23.88		67
		TOTAL											1541	57.93		790	29.70		198	7.44		131	4.92		2660
	FIFTH												34	17.17		38	19.19			Excluded		126	63.64		198
		TOTAL											1575	59.21		828	31.13					257	9.66		2660
	SIXTH												106	41.25		151	58.75						Excluded		257
		TOTAL											1681	63.20		979	36.80								2660
													Elected												
																									
Sorrento                                                       																									
	FIRST			12	0.98		13	1.06		6	0.49		737	60.31		283	23.16		64	5.24		107	8.76		1222
	SECOND			4	66.67		0	0.00			Excluded		0	0.00		0	0.00		1	16.67		1	16.67		6
		TOTAL		16	1.31		13	1.06					737	60.31		283	23.16		65	5.32		108	8.84		1222
	THIRD				Excluded		8	50.00					2	12.50		0	0.00		4	25.00		2	12.50		16
		TOTAL					21	1.72					739	60.47		283	23.16		69	5.65		110	9.00		1222
	FOURTH							Excluded					11	52.38		4	19.05		1	4.76		5	23.81		21
		TOTAL											750	61.37		287	23.49		70	5.73		115	9.41		1222
	FIFTH												7	10.00		15	21.43			Excluded		48	68.57		70
		TOTAL											757	61.95		302	24.71					163	13.34		1222
	SIXTH												44	26.99		119	73.01						Excluded		163
		TOTAL											801	65.55		421	34.45								1222
													Elected												
																									
St Andrews Beach                                               																									
	FIRST			3	0.70		9	2.11		0	0.00		189	44.37		148	34.74		31	7.28		46	10.80		426
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		3	0.70		9	2.11					189	44.37		148	34.74		31	7.28		46	10.80		426
	THIRD				Excluded		2	66.67					0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL					11	2.58					189	44.37		149	34.98		31	7.28		46	10.80		426
	FOURTH							Excluded					8	72.73		1	9.09		0	0.00		2	18.18		11
		TOTAL											197	46.24		150	35.21		31	7.28		48	11.27		426
	FIFTH												2	6.45		6	19.35			Excluded		23	74.19		31
		TOTAL											199	46.71		156	36.62					71	16.67		426
	SIXTH												16	22.54		55	77.46						Excluded		71
		TOTAL											215	50.47		211	49.53								426
													Elected												
																									
Tooradin                                                       																									
	FIRST			14	2.16		20	3.09		3	0.46		371	57.25		188	29.01		24	3.70		28	4.32		648
	SECOND			1	33.33		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		3
		TOTAL		15	2.31		20	3.09					372	57.41		189	29.17		24	3.70		28	4.32		648
	THIRD				Excluded		6	40.00					1	6.67		2	13.33		3	20.00		3	20.00		15
		TOTAL					26	4.01					373	57.56		191	29.48		27	4.17		31	4.78		648
	FOURTH							Excluded					16	61.54		7	26.92		1	3.85		2	7.69		26
		TOTAL											389	60.03		198	30.56		28	4.32		33	5.09		648
	FIFTH												7	25.00		12	42.86			Excluded		9	32.14		28
		TOTAL											396	61.11		210	32.41					42	6.48		648
	SIXTH												15	35.71		27	64.29						Excluded		42
		TOTAL											411	63.43		237	36.57								648
													Elected												
																									
Tootgarook                                                     																									
	FIRST			16	1.14		29	2.06		10	0.71		606	43.01		600	42.58		77	5.46		71	5.04		1409
	SECOND			5	50.00		1	10.00			Excluded		3	30.00		1	10.00		0	0.00		0	0.00		10
		TOTAL		21	1.49		30	2.13					609	43.22		601	42.65		77	5.46		71	5.04		1409
	THIRD				Excluded		10	47.62					3	14.29		3	14.29		3	14.29		2	9.52		21
		TOTAL					40	2.84					612	43.44		604	42.87		80	5.68		73	5.18		1409
	FOURTH							Excluded					17	42.50		9	22.50		5	12.50		9	22.50		40
		TOTAL											629	44.64		613	43.51		85	6.03		82	5.82		1409
	FIFTH												10	11.76		14	16.47			Excluded		61	71.76		85
		TOTAL											639	45.35		627	44.50					143	10.15		1409
	SIXTH												35	24.48		108	75.52						Excluded		143
		TOTAL											674	47.84		735	52.16								1409
													Elected												
																									
Tyabb                                                          																									
	FIRST			9	0.64		38	2.71		7	0.50		764	54.42		435	30.98		106	7.55		45	3.21		1404
	SECOND			2	28.57		1	14.29			Excluded		2	28.57		0	0.00		1	14.29		1	14.29		7
		TOTAL		11	0.78		39	2.78					766	54.56		435	30.98		107	7.62		46	3.28		1404
	THIRD				Excluded		3	27.27					3	27.27		1	9.09		4	36.36		0	0.00		11
		TOTAL					42	2.99					769	54.77		436	31.05		111	7.91		46	3.28		1404
	FOURTH							Excluded					24	57.14		4	9.52		4	9.52		10	23.81		42
		TOTAL											793	56.48		440	31.34		115	8.19		56	3.99		1404
	FIFTH												12	10.43		17	14.78			Excluded		86	74.78		115
		TOTAL											805	57.34		457	32.55					142	10.11		1404
	SIXTH												69	48.59		73	51.41						Excluded		142
		TOTAL											874	62.25		530	37.75								1404
													Elected												
																									
West Park                                                      																									
	FIRST			16	2.00		22	2.74		10	1.25		257	32.04		425	52.99		34	4.24		38	4.74		802
	SECOND			4	40.00		1	10.00			Excluded		4	40.00		1	10.00		0	0.00		0	0.00		10
		TOTAL		20	2.49		23	2.87					261	32.54		426	53.12		34	4.24		38	4.74		802
	THIRD				Excluded		8	40.00					5	25.00		1	5.00		3	15.00		3	15.00		20
		TOTAL					31	3.87					266	33.17		427	53.24		37	4.61		41	5.11		802
	FOURTH							Excluded					10	32.26		6	19.35		8	25.81		7	22.58		31
		TOTAL											276	34.41		433	53.99		45	5.61		48	5.99		802
	FIFTH												4	8.89		17	37.78			Excluded		24	53.33		45
		TOTAL											280	34.91		450	56.11					72	8.98		802
	SIXTH												29	40.28		43	59.72						Excluded		72
		TOTAL											309	38.53		493	61.47								802
													Elected												
																									
Special Hospital Team 1                                        																									
	FIRST			13	0.98		8	0.60		6	0.45		884	66.82		365	27.59		33	2.49		14	1.06		1323
	SECOND			1	16.67		3	50.00			Excluded		2	33.33		0	0.00		0	0.00		0	0.00		6
		TOTAL		14	1.06		11	0.83					886	66.97		365	27.59		33	2.49		14	1.06		1323
	THIRD				Excluded		7	50.00					4	28.57		2	14.29		0	0.00		1	7.14		14
		TOTAL					18	1.36					890	67.27		367	27.74		33	2.49		15	1.13		1323
	FOURTH							Excluded					9	50.00		3	16.67		3	16.67		3	16.67		18
		TOTAL											899	67.95		370	27.97		36	2.72		18	1.36		1323
	FIFTH												10	27.78		13	36.11			Excluded		13	36.11		36
		TOTAL											909	68.71		383	28.95					31	2.34		1323
	SIXTH												11	35.48		20	64.52						Excluded		31
		TOTAL											920	69.54		403	30.46								1323
													Elected												
																									
Special Hospital Team 2                                        																									
	FIRST			8	1.83		5	1.15		3	0.69		248	56.88		163	37.39		4	0.92		5	1.15		436
	SECOND			1	33.33		1	33.33			Excluded		0	0.00		1	33.33		0	0.00		0	0.00		3
		TOTAL		9	2.06		6	1.38					248	56.88		164	37.61		4	0.92		5	1.15		436
	THIRD				Excluded		7	77.78					0	0.00		1	11.11		1	11.11		0	0.00		9
		TOTAL					13	2.98					248	56.88		165	37.84		5	1.15		5	1.15		436
	FOURTH							Excluded					6	46.15		4	30.77		1	7.69		2	15.38		13
		TOTAL											254	58.26		169	38.76		6	1.38		7	1.61		436
	FIFTH												1	16.67		1	16.67			Excluded		4	66.67		6
		TOTAL											255	58.49		170	38.99					11	2.52		436
	SIXTH												2	18.18		9	81.82						Excluded		11
		TOTAL											257	58.94		179	41.06								436
													Elected												
																									
ABSENT																									
	FIRST			133	2.88		127	2.75		78	1.69		2212	47.88		1301	28.16		369	7.99		400	8.66		4620
	SECOND			27	34.62		7	8.97			Excluded		24	30.77		6	7.69		5	6.41		9	11.54		78
		TOTAL		160	3.46		134	2.90					2236	48.40		1307	28.29		374	8.10		409	8.85		4620
	THIRD				Excluded		55	34.38					30	18.75		20	12.50		25	15.63		30	18.75		160
		TOTAL					189	4.09					2266	49.05		1327	28.72		399	8.64		439	9.50		4620
	FOURTH							Excluded					111	58.73		37	19.58		18	9.52		23	12.17		189
		TOTAL											2377	51.45		1364	29.52		417	9.03		462	10.00		4620
	FIFTH												108	25.90		130	31.18			Excluded		179	42.93		417
		TOTAL											2485	53.79		1494	32.34					641	13.87		4620
	SIXTH												208	32.45		433	67.55						Excluded		641
		TOTAL											2693	58.29		1927	41.71								4620
													Elected												
																									
POSTAL																									
	FIRST			39	0.94		108	2.60		20	0.48		2407	57.86		1271	30.55		151	3.63		164	3.94		4160
	SECOND			13	65.00		3	15.00			Excluded		1	5.00		1	5.00		2	10.00		0	0.00		20
		TOTAL		52	1.25		111	2.67					2408	57.88		1272	30.58		153	3.68		164	3.94		4160
	THIRD				Excluded		14	26.92					6	11.54		13	25.00		9	17.31		10	19.23		52
		TOTAL					125	3.00					2414	58.03		1285	30.89		162	3.89		174	4.18		4160
	FOURTH							Excluded					47	37.60		31	24.80		19	15.20		28	22.40		125
		TOTAL											2461	59.16		1316	31.63		181	4.35		202	4.86		4160
	FIFTH												41	22.65		65	35.91			Excluded		75	41.44		181
		TOTAL											2502	60.14		1381	33.20					277	6.66		4160
	SIXTH												75	27.08		202	72.92						Excluded		277
		TOTAL											2577	61.95		1583	38.05								4160
													Elected												
																									
PRE POLL																									
	FIRST			88	1.34		169	2.57		41	0.62		3395	51.66		2364	35.97		282	4.29		233	3.55		6572
	SECOND			18	43.90		7	17.07			Excluded		6	14.63		5	12.20		1	2.44		4	9.76		41
		TOTAL		106	1.61		176	2.68					3401	51.75		2369	36.05		283	4.31		237	3.61		6572
	THIRD				Excluded		28	26.42					18	16.98		26	24.53		22	20.75		12	11.32		106
		TOTAL					204	3.10					3419	52.02		2395	36.44		305	4.64		249	3.79		6572
	FOURTH							Excluded					96	47.06		46	22.55		22	10.78		40	19.61		204
		TOTAL											3515	53.48		2441	37.14		327	4.98		289	4.40		6572
	FIFTH												77	23.55		107	32.72			Excluded		143	43.73		327
		TOTAL											3592	54.66		2548	38.77					432	6.57		6572
	SIXTH												151	34.95		281	65.05						Excluded		432
		TOTAL											3743	56.95		2829	43.05								6572
													Elected												
																									
PROVISIONAL																									
	FIRST			15	2.51		14	2.35		8	1.34		274	45.90		187	31.32		40	6.70		59	9.88		597
	SECOND			3	37.50		0	0.00			Excluded		4	50.00		1	12.50		0	0.00		0	0.00		8
