House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
Isaacs																													
				OAKLEY			BROOK			CORCORAN			STANTON			GROVES			SHEPHERDSON			BUJEYA			FLETCHER				
	FIRST			28	1.41		8	0.40		877	44.07		3	0.15		23	1.16		753	37.84		136	6.83		162	8.14		1990	
	SECOND			2	66.67		0	0.00		1	33.33			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		3	
		TOTAL		30	1.51		8	0.40		878	44.12					23	1.16		753	37.84		136	6.83		162	8.14		1990	
	THIRD			6	75.00			Excluded		1	12.50					0	0.00		1	12.50		0	0.00		0	0.00		8	
		TOTAL		36	1.81					879	44.17					23	1.16		754	37.89		136	6.83		162	8.14		1990	
	FOURTH			9	39.13					5	21.74						Excluded		7	30.43		1	4.35		1	4.35		23	
		TOTAL		45	2.26					884	44.42								761	38.24		137	6.88		163	8.19		1990	
	FIFTH				Excluded					22	48.89								8	17.78		10	22.22		5	11.11		45	
		TOTAL								906	45.53								769	38.64		147	7.39		168	8.44		1990	
	SIXTH									85	57.82								9	6.12			Excluded		53	36.05		147	
		TOTAL								991	49.80								778	39.10					221	11.11		1990	
	SEVENTH									151	68.33								70	31.67						Excluded		221	
		TOTAL								1142	57.39								848	42.61								1990	
										Elected																			
																													
Parkdale                                                       																													
	FIRST			25	0.90		6	0.21		982	35.18		8	0.29		31	1.11		1304	46.72		177	6.34		258	9.24		2791	
	SECOND			2	25.00		1	12.50		3	37.50			Excluded		1	12.50		0	0.00		1	12.50		0	0.00		8	
		TOTAL		27	0.97		7	0.25		985	35.29					32	1.15		1304	46.72		178	6.38		258	9.24		2791	
	THIRD			4	57.14			Excluded		2	28.57					0	0.00		1	14.29		0	0.00		0	0.00		7	
		TOTAL		31	1.11					987	35.36					32	1.15		1305	46.76		178	6.38		258	9.24		2791	
	FOURTH			8	25.00					4	12.50						Excluded		15	46.88		4	12.50		1	3.13		32	
		TOTAL		39	1.40					991	35.51								1320	47.29		182	6.52		259	9.28		2791	
	FIFTH				Excluded					18	46.15								5	12.82		7	17.95		9	23.08		39	
		TOTAL								1009	36.15								1325	47.47		189	6.77		268	9.60		2791	
	SIXTH									103	54.50								17	8.99			Excluded		69	36.51		189	
		TOTAL								1112	39.84								1342	48.08					337	12.07		2791	
	SEVENTH									220	65.28								117	34.72						Excluded		337	
		TOTAL								1332	47.72								1459	52.28								2791	
										Elected																			
																													
Parkdale Central                                               																													
	FIRST			12	0.88		9	0.66		541	39.81		2	0.15		27	1.99		585	43.05		58	4.27		125	9.20		1359	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		12	0.88		10	0.74		541	39.81					28	2.06		585	43.05		58	4.27		125	9.20		1359	
	THIRD			6	60.00			Excluded		1	10.00					1	10.00		0	0.00		1	10.00		1	10.00		10	
		TOTAL		18	1.32					542	39.88					29	2.13		585	43.05		59	4.34		126	9.27		1359	
	FOURTH			16	55.17					2	6.90						Excluded		7	24.14		3	10.34		1	3.45		29	
		TOTAL		34	2.50					544	40.03								592	43.56		62	4.56		127	9.35		1359	
	FIFTH				Excluded					14	41.18								9	26.47		8	23.53		3	8.82		34	
		TOTAL								558	41.06								601	44.22		70	5.15		130	9.57		1359	
	SIXTH									17	24.29								8	11.43			Excluded		45	64.29		70	
		TOTAL								575	42.31								609	44.81					175	12.88		1359	
	SEVENTH									121	69.14								54	30.86						Excluded		175	
		TOTAL								696	51.21								663	48.79								1359	
										Elected																			
																													
Parkdale East                                                  																													
	FIRST			37	1.48		11	0.44		980	39.11		2	0.08		29	1.16		1093	43.62		120	4.79		234	9.34		2506	
	SECOND			0	0.00		0	0.00		1	50.00			Excluded		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		37	1.48		11	0.44		981	39.15					30	1.20		1093	43.62		120	4.79		234	9.34		2506	
	THIRD			8	72.73			Excluded		0	0.00					0	0.00		2	18.18		0	0.00		1	9.09		11	
		TOTAL		45	1.80					981	39.15					30	1.20		1095	43.70		120	4.79		235	9.38		2506	
	FOURTH			6	20.00					6	20.00						Excluded		9	30.00		7	23.33		2	6.67		30	
		TOTAL		51	2.04					987	39.39								1104	44.05		127	5.07		237	9.46		2506	
	FIFTH				Excluded					26	50.98								8	15.69		8	15.69		9	17.65		51	
		TOTAL								1013	40.42								1112	44.37		135	5.39		246	9.82		2506	
	SIXTH									59	43.70								10	7.41			Excluded		66	48.89		135	
		TOTAL								1072	42.78								1122	44.77					312	12.45		2506	
	SEVENTH									188	60.26								124	39.74						Excluded		312	
		TOTAL								1260	50.28								1246	49.72								2506	
										Elected																			
																													
Patterson Lakes                                                																													
	FIRST			35	1.05		42	1.25		972	29.03		8	0.24		41	1.22		1919	57.32		108	3.23		223	6.66		3348	
	SECOND			3	37.50		0	0.00		3	37.50			Excluded		1	12.50		0	0.00		0	0.00		1	12.50		8	
		TOTAL		38	1.14		42	1.25		975	29.12					42	1.25		1919	57.32		108	3.23		224	6.69		3348	
	THIRD			21	50.00			Excluded		5	11.90					4	9.52		11	26.19		1	2.38		0	0.00		42	
		TOTAL		59	1.76					980	29.27					46	1.37		1930	57.65		109	3.26		224	6.69		3348	
	FOURTH			10	21.74					11	23.91						Excluded		16	34.78		5	10.87		4	8.70		46	
		TOTAL		69	2.06					991	29.60								1946	58.12		114	3.41		228	6.81		3348	
	FIFTH				Excluded					25	36.23								18	26.09		12	17.39		14	20.29		69	
		TOTAL								1016	30.35								1964	58.66		126	3.76		242	7.23		3348	
	SIXTH									39	30.95								30	23.81			Excluded		57	45.24		126	
		TOTAL								1055	31.51								1994	59.56					299	8.93		3348	
	SEVENTH									184	61.54								115	38.46						Excluded		299	
		TOTAL								1239	37.01								2109	62.99								3348	
										Elected																			
																													
Rowellyn Park                                                  																													
	FIRST			35	1.27		21	0.76		1334	48.53		8	0.29		42	1.53		984	35.79		80	2.91		245	8.91		2749	
	SECOND			0	0.00		1	12.50		4	50.00			Excluded		1	12.50		2	25.00		0	0.00		0	0.00		8	
		TOTAL		35	1.27		22	0.80		1338	48.67					43	1.56		986	35.87		80	2.91		245	8.91		2749	
	THIRD			13	59.09			Excluded		3	13.64					1	4.55		5	22.73		0	0.00		0	0.00		22	
		TOTAL		48	1.75					1341	48.78					44	1.60		991	36.05		80	2.91		245	8.91		2749	
	FOURTH			9	20.45					13	29.55						Excluded		10	22.73		8	18.18		4	9.09		44	
		TOTAL		57	2.07					1354	49.25								1001	36.41		88	3.20		249	9.06		2749	
	FIFTH				Excluded					31	54.39								9	15.79		9	15.79		8	14.04		57	
		TOTAL								1385	50.38								1010	36.74		97	3.53		257	9.35		2749	
	SIXTH									49	50.52								8	8.25			Excluded		40	41.24		97	
		TOTAL								1434	52.16								1018	37.03					297	10.80		2749	
	SEVENTH									172	57.91								125	42.09						Excluded		297	
		TOTAL								1606	58.42								1143	41.58								2749	
										Elected																			
																													
Skye (Isaacs)                                                  																													
	FIRST			17	2.53		5	0.74		296	43.98		5	0.74		20	2.97		263	39.08		19	2.82		48	7.13		673	
	SECOND			2	40.00		0	0.00		1	20.00			Excluded		0	0.00		2	40.00		0	0.00		0	0.00		5	
		TOTAL		19	2.82		5	0.74		297	44.13					20	2.97		265	39.38		19	2.82		48	7.13		673	
	THIRD			3	60.00			Excluded		1	20.00					0	0.00		0	0.00		1	20.00		0	0.00		5	
		TOTAL		22	3.27					298	44.28					20	2.97		265	39.38		20	2.97		48	7.13		673	
	FOURTH			7	35.00					7	35.00						Excluded		3	15.00		1	5.00		2	10.00		20	
		TOTAL		29	4.31					305	45.32								268	39.82		21	3.12		50	7.43		673	
	FIFTH				Excluded					18	62.07								6	20.69		5	17.24		0	0.00		29	
		TOTAL								323	47.99								274	40.71		26	3.86		50	7.43		673	
	SIXTH									11	42.31								4	15.38			Excluded		11	42.31		26	
		TOTAL								334	49.63								278	41.31					61	9.06		673	
	SEVENTH									30	49.18								31	50.82						Excluded		61	
		TOTAL								364	54.09								309	45.91								673	
										Elected																			
																													
Special Hospital Team 1                                        																													
	FIRST			4	2.76		1	0.69		67	46.21		2	1.38		1	0.69		69	47.59		0	0.00		1	0.69		145	
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		5	3.45		1	0.69		68	46.90					1	0.69		69	47.59		0	0.00		1	0.69		145	
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		6	4.14					68	46.90					1	0.69		69	47.59		0	0.00		1	0.69		145	
	FOURTH			0	0.00					0	0.00						Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		6	4.14					68	46.90								70	48.28		0	0.00		1	0.69		145	
	FIFTH				Excluded					5	83.33								0	0.00		0	0.00		1	16.67		6	
		TOTAL								73	50.34								70	48.28		0	0.00		2	1.38		145	
	SIXTH									0	0.00								0	0.00			Excluded		0	0.00		0	
		TOTAL								73	50.34								70	48.28					2	1.38		145	
	SEVENTH									1	50.00								1	50.00						Excluded		2	
		TOTAL								74	51.03								71	48.97								145	
										Elected																			
																													
Special Hospital Team 2                                        																													
	FIRST			5	1.75		5	1.75		121	42.31		1	0.35		0	0.00		142	49.65		3	1.05		9	3.15		286	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		5	1.75		6	2.10		121	42.31					0	0.00		142	49.65		3	1.05		9	3.15		286	
	THIRD			2	33.33			Excluded		2	33.33					0	0.00		1	16.67		0	0.00		1	16.67		6	
		TOTAL		7	2.45					123	43.01					0	0.00		143	50.00		3	1.05		10	3.50		286	
	FOURTH			0	0.00					0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		7	2.45					123	43.01								143	50.00		3	1.05		10	3.50		286	
	FIFTH				Excluded					5	71.43								1	14.29		0	0.00		1	14.29		7	
		TOTAL								128	44.76								144	50.35		3	1.05		11	3.85		286	
	SIXTH									0	0.00								1	33.33			Excluded		2	66.67		3	
		TOTAL								128	44.76								145	50.70					13	4.55		286	
	SEVENTH									9	69.23								4	30.77						Excluded		13	
		TOTAL								137	47.90								149	52.10								286	
										Elected																			
																													
ABSENT																													
	FIRST			138	3.34		67	1.62		1545	37.43		32	0.78		133	3.22		1544	37.40		269	6.52		400	9.69		4128	
	SECOND			5	15.63		2	6.25		14	43.75			Excluded		4	12.50		2	6.25		1	3.13		4	12.50		32	
		TOTAL		143	3.46		69	1.67		1559	37.77					137	3.32		1546	37.45		270	6.54		404	9.79		4128	
	THIRD			34	49.28			Excluded		10	14.49					6	8.70		14	20.29		5	7.25		0	0.00		69	
		TOTAL		177	4.29					1569	38.01					143	3.46		1560	37.79		275	6.66		404	9.79		4128	
	FOURTH			37	25.87					39	27.27						Excluded		37	25.87		21	14.69		9	6.29		143	
		TOTAL		214	5.18					1608	38.95								1597	38.69		296	7.17		413	10.00		4128	
	FIFTH				Excluded					105	49.07								34	15.89		43	20.09		32	14.95		214	
		TOTAL								1713	41.50								1631	39.51		339	8.21		445	10.78		4128	
	SIXTH									88	25.96								54	15.93			Excluded		197	58.11		339	
		TOTAL								1801	43.63								1685	40.82					642	15.55		4128	
	SEVENTH									384	59.81								258	40.19						Excluded		642	
		TOTAL								2185	52.93								1943	47.07								4128	
										Elected																			
																													
POSTAL																													
	FIRST			52	1.51		25	0.73		1331	38.65		9	0.26		86	2.50		1721	49.97		79	2.29		141	4.09		3444	
	SECOND			2	22.22		0	0.00		2	22.22			Excluded		2	22.22		1	11.11		1	11.11		1	11.11		9	
		TOTAL		54	1.57		25	0.73		1333	38.70					88	2.56		1722	50.00		80	2.32		142	4.12		3444	
	THIRD			15	60.00			Excluded		4	16.00					2	8.00		1	4.00		2	8.00		1	4.00		25	
		TOTAL		69	2.00					1337	38.82					90	2.61		1723	50.03		82	2.38		143	4.15		3444	
	FOURTH			30	33.33					22	24.44						Excluded		28	31.11		5	5.56		5	5.56		90	
		TOTAL		99	2.87					1359	39.46								1751	50.84		87	2.53		148	4.30		3444	
	FIFTH				Excluded					34	34.34								20	20.20		28	28.28		17	17.17		99	
		TOTAL								1393	40.45								1771	51.42		115	3.34		165	4.79		3444	
	SIXTH									27	23.48								15	13.04			Excluded		73	63.48		115	
		TOTAL								1420	41.23								1786	51.86					238	6.91		3444	
	SEVENTH									138	57.98								100	42.02						Excluded		238	
		TOTAL								1558	45.24								1886	54.76								3444	
										Elected																			
																													
PRE POLL																													
	FIRST			58	2.26		23	0.90		1031	40.26		8	0.31		63	2.46		1116	43.58		100	3.90		162	6.33		2561	
	SECOND			1	12.50		1	12.50		0	0.00			Excluded		4	50.00		1	12.50		0	0.00		1	12.50		8	
		TOTAL		59	2.30		24	0.94		1031	40.26					67	2.62		1117	43.62		100	3.90		163	6.36		2561	
	THIRD			13	54.17			Excluded		3	12.50					3	12.50		4	16.67		1	4.17		0	0.00		24	
		TOTAL		72	2.81					1034	40.37					70	2.73		1121	43.77		101	3.94		163	6.36		2561	
	FOURTH			14	20.00					17	24.29						Excluded		21	30.00		13	18.57		5	7.14		70	
		TOTAL		86	3.36					1051	41.04								1142	44.59		114	4.45		168	6.56		2561	
	FIFTH				Excluded					43	50.00								17	19.77		17	19.77		9	10.47		86	
		TOTAL								1094	42.72								1159	45.26		131	5.12		177	6.91		2561	
	SIXTH									38	29.01								22	16.79			Excluded		71	54.20		131	
		TOTAL								1132	44.20								1181	46.11					248	9.68		2561	
	SEVENTH									163	65.73								85	34.27						Excluded		248	
		TOTAL								1295	50.57								1266	49.43								2561	
										Elected																			
																													
PROVISIONAL																													
	FIRST			27	3.67		10	1.36		318	43.27		8	1.09		20	2.72		258	35.10		35	4.76		59	8.03		735	
	SECOND			1	12.50		0	0.00		4	50.00			Excluded		1	12.50		0	0.00		1	12.50		1	12.50		8	
		TOTAL		28	3.81		10	1.36		322	43.81					21	2.86		258	35.10		36	4.90		60	8.16		735	
	THIRD			7	70.00			Excluded		1	10.00					0	0.00		2	20.00		0	0.00		0	0.00		10	
		TOTAL		35	4.76					323	43.95					21	2.86		260	35.37		36	4.90		60	8.16		735	
	FOURTH			4	19.05					6	28.57						Excluded		5	23.81		3	14.29		3	14.29		21	
		TOTAL		39	5.31					329	44.76								265	36.05		39	5.31		63	8.57		735	
	FIFTH				Excluded					25	64.10								6	15.38		5	12.82		3	7.69		39	
		TOTAL								354	48.16								271	36.87		44	5.99		66	8.98		735	
	SIXTH									18	40.91								5	11.36			Excluded		21	47.73		44	
		TOTAL								372	50.61								276	37.55					87	11.84		735	
	SEVENTH									55	63.22								32	36.78						Excluded		87	
		TOTAL								427	58.10								308	41.90								735	
										Elected																			
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
