House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Mallee																							
				KELLY			ZIGOURAS			RIVENDELL			MACKLEY			FORREST			DOUGLASS				
	SECOND			40	35.09		33	28.95			Excluded		13	11.40		16	14.04		12	10.53		114	
		TOTAL		275	6.11		1358	30.18					454	10.09		2086	46.36		327	7.27		4500	
	THIRD			43	13.15		57	17.43					109	33.33		118	36.09			Excluded		327	
		TOTAL		318	7.07		1415	31.44					563	12.51		2204	48.98					4500	
	FOURTH				Excluded		161	50.63					44	13.84		113	35.53					318	
		TOTAL					1576	35.02					607	13.49		2317	51.49					4500	
	FIFTH						276	45.47						Excluded		331	54.53					607	
		TOTAL					1852	41.16								2648	58.84					4500	
																Elected							
																							
Mildura City Central                                           																							
	FIRST			65	5.50		284	24.03		38	3.21		117	9.90		592	50.08		86	7.28		1182	
	SECOND			12	31.58		12	31.58			Excluded		2	5.26		6	15.79		6	15.79		38	
		TOTAL		77	6.51		296	25.04					119	10.07		598	50.59		92	7.78		1182	
	THIRD			10	10.87		23	25.00					28	30.43		31	33.70			Excluded		92	
		TOTAL		87	7.36		319	26.99					147	12.44		629	53.21					1182	
	FOURTH				Excluded		43	49.43					15	17.24		29	33.33					87	
		TOTAL					362	30.63					162	13.71		658	55.67					1182	
	FIFTH						81	50.00						Excluded		81	50.00					162	
		TOTAL					443	37.48								739	62.52					1182	
																Elected							
																							
Mildura Deakin                                                 																							
	FIRST			185	6.11		756	24.98		81	2.68		254	8.39		1555	51.39		195	6.44		3026	
	SECOND			32	39.51		20	24.69			Excluded		11	13.58		10	12.35		8	9.88		81	
		TOTAL		217	7.17		776	25.64					265	8.76		1565	51.72		203	6.71		3026	
	THIRD			29	14.29		30	14.78					68	33.50		76	37.44			Excluded		203	
		TOTAL		246	8.13		806	26.64					333	11.00		1641	54.23					3026	
	FOURTH				Excluded		139	56.50					20	8.13		87	35.37					246	
		TOTAL					945	31.23					353	11.67		1728	57.11					3026	
	FIFTH						167	47.31						Excluded		186	52.69					353	
		TOTAL					1112	36.75								1914	63.25					3026	
																Elected							
																							
Mildura South                                                  																							
	FIRST			97	4.41		446	20.25		50	2.27		195	8.86		1306	59.31		108	4.90		2202	
	SECOND			13	26.00		13	26.00			Excluded		4	8.00		11	22.00		9	18.00		50	
		TOTAL		110	5.00		459	20.84					199	9.04		1317	59.81		117	5.31		2202	
	THIRD			21	17.95		17	14.53					32	27.35		47	40.17			Excluded		117	
		TOTAL		131	5.95		476	21.62					231	10.49		1364	61.94					2202	
	FOURTH				Excluded		69	52.67					12	9.16		50	38.17					131	
		TOTAL					545	24.75					243	11.04		1414	64.21					2202	
	FIFTH						114	46.91						Excluded		129	53.09					243	
		TOTAL					659	29.93								1543	70.07					2202	
																Elected							
																							
Mildura West                                                   																							
	FIRST			163	5.42		684	22.74		68	2.26		257	8.54		1666	55.39		170	5.65		3008	
	SECOND			24	35.29		17	25.00			Excluded		5	7.35		12	17.65		10	14.71		68	
		TOTAL		187	6.22		701	23.30					262	8.71		1678	55.78		180	5.98		3008	
	THIRD			14	7.78		32	17.78					63	35.00		71	39.44			Excluded		180	
		TOTAL		201	6.68		733	24.37					325	10.80		1749	58.14					3008	
	FOURTH				Excluded		108	53.73					14	6.97		79	39.30					201	
		TOTAL					841	27.96					339	11.27		1828	60.77					3008	
	FIFTH						148	43.66						Excluded		191	56.34					339	
		TOTAL					989	32.88								2019	67.12					3008	
																Elected							
																							
Minimay                                                        																							
	FIRST			0	0.00		13	13.00		3	3.00		13	13.00		70	70.00		1	1.00		100	
	SECOND			0	0.00		2	66.67			Excluded		0	0.00		1	33.33		0	0.00		3	
		TOTAL		0	0.00		15	15.00					13	13.00		71	71.00		1	1.00		100	
	THIRD			0	0.00		0	0.00					1	100.00		0	0.00			Excluded		1	
		TOTAL		0	0.00		15	15.00					14	14.00		71	71.00					100	
	FOURTH				Excluded		0	0.00					0	0.00		0	0.00					0	
		TOTAL					15	15.00					14	14.00		71	71.00					100	
	FIFTH						1	7.14						Excluded		13	92.86					14	
		TOTAL					16	16.00								84	84.00					100	
																Elected							
																							
Minyip                                                         																							
	FIRST			12	2.64		92	20.26		7	1.54		49	10.79		277	61.01		17	3.74		454	
	SECOND			5	71.43		0	0.00			Excluded		0	0.00		1	14.29		1	14.29		7	
		TOTAL		17	3.74		92	20.26					49	10.79		278	61.23		18	3.96		454	
	THIRD			2	11.11		2	11.11					4	22.22		10	55.56			Excluded		18	
		TOTAL		19	4.19		94	20.70					53	11.67		288	63.44					454	
	FOURTH				Excluded		13	68.42					2	10.53		4	21.05					19	
		TOTAL					107	23.57					55	12.11		292	64.32					454	
	FIFTH						24	43.64						Excluded		31	56.36					55	
		TOTAL					131	28.85								323	71.15					454	
																Elected							
																							
Murra Warra                                                    																							
	FIRST			0	0.00		3	2.88		1	0.96		9	8.65		87	83.65		4	3.85		104	
	SECOND			0	0.00		0	0.00			Excluded		1	100.00		0	0.00		0	0.00		1	
		TOTAL		0	0.00		3	2.88					10	9.62		87	83.65		4	3.85		104	
	THIRD			1	25.00		0	0.00					0	0.00		3	75.00			Excluded		4	
		TOTAL		1	0.96		3	2.88					10	9.62		90	86.54					104	
	FOURTH				Excluded		1	100.00					0	0.00		0	0.00					1	
		TOTAL					4	3.85					10	9.62		90	86.54					104	
	FIFTH						2	20.00						Excluded		8	80.00					10	
		TOTAL					6	5.77								98	94.23					104	
																Elected							
																							
Murrayville                                                    																							
	FIRST			11	3.19		25	7.25		9	2.61		24	6.96		252	73.04		24	6.96		345	
	SECOND			2	22.22		2	22.22			Excluded		1	11.11		2	22.22		2	22.22		9	
		TOTAL		13	3.77		27	7.83					25	7.25		254	73.62		26	7.54		345	
	THIRD			3	11.54		1	3.85					12	46.15		10	38.46			Excluded		26	
		TOTAL		16	4.64		28	8.12					37	10.72		264	76.52					345	
	FOURTH				Excluded		8	50.00					2	12.50		6	37.50					16	
		TOTAL					36	10.43					39	11.30		270	78.26					345	
	FIFTH						13	33.33						Excluded		26	66.67					39	
		TOTAL					49	14.20								296	85.80					345	
																Elected							
																							
Murtoa                                                         																							
	FIRST			21	3.17		225	33.99		16	2.42		49	7.40		337	50.91		14	2.11		662	
	SECOND			6	37.50		5	31.25			Excluded		2	12.50		1	6.25		2	12.50		16	
		TOTAL		27	4.08		230	34.74					51	7.70		338	51.06		16	2.42		662	
	THIRD			1	6.25		3	18.75					5	31.25		7	43.75			Excluded		16	
		TOTAL		28	4.23		233	35.20					56	8.46		345	52.11					662	
	FOURTH				Excluded		15	53.57					0	0.00		13	46.43					28	
		TOTAL					248	37.46					56	8.46		358	54.08					662	
	FIFTH						29	51.79						Excluded		27	48.21					56	
		TOTAL					277	41.84								385	58.16					662	
																Elected							
																							
Nandaly                                                        																							
	FIRST			1	1.15		15	17.24		1	1.15		3	3.45		64	73.56		3	3.45		87	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		1	
		TOTAL		1	1.15		15	17.24					3	3.45		64	73.56		4	4.60		87	
	THIRD			2	50.00		2	50.00					0	0.00		0	0.00			Excluded		4	
		TOTAL		3	3.45		17	19.54					3	3.45		64	73.56					87	
	FOURTH				Excluded		2	66.67					1	33.33		0	0.00					3	
		TOTAL					19	21.84					4	4.60		64	73.56					87	
	FIFTH						2	50.00						Excluded		2	50.00					4	
		TOTAL					21	24.14								66	75.86					87	
																Elected							
																							
Nangiloc                                                       																							
	FIRST			9	2.96		66	21.71		5	1.64		37	12.17		166	54.61		21	6.91		304	
	SECOND			3	60.00		1	20.00			Excluded		0	0.00		1	20.00		0	0.00		5	
		TOTAL		12	3.95		67	22.04					37	12.17		167	54.93		21	6.91		304	
	THIRD			2	9.52		2	9.52					7	33.33		10	47.62			Excluded		21	
		TOTAL		14	4.61		69	22.70					44	14.47		177	58.22					304	
	FOURTH				Excluded		8	57.14					3	21.43		3	21.43					14	
		TOTAL					77	25.33					47	15.46		180	59.21					304	
	FIFTH						26	55.32						Excluded		21	44.68					47	
		TOTAL					103	33.88								201	66.12					304	
																Elected							
																							
Natimuk                                                        																							
	FIRST			17	3.53		61	12.68		47	9.77		105	21.83		238	49.48		13	2.70		481	
	SECOND			28	59.57		10	21.28			Excluded		4	8.51		1	2.13		4	8.51		47	
		TOTAL		45	9.36		71	14.76					109	22.66		239	49.69		17	3.53		481	
	THIRD			3	17.65		3	17.65					5	29.41		6	35.29			Excluded		17	
		TOTAL		48	9.98		74	15.38					114	23.70		245	50.94					481	
	FOURTH				Excluded		36	75.00					4	8.33		8	16.67					48	
		TOTAL					110	22.87					118	24.53		253	52.60					481	
	FIFTH						55	46.61						Excluded		63	53.39					118	
		TOTAL					165	34.30								316	65.70					481	
																Elected							
																							
Netherby                                                       																							
	FIRST			2	1.98		8	7.92		2	1.98		20	19.80		65	64.36		4	3.96		101	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		2	100.00		2	
		TOTAL		2	1.98		8	7.92					20	19.80		65	64.36		6	5.94		101	
	THIRD			0	0.00		0	0.00					3	50.00		3	50.00			Excluded		6	
		TOTAL		2	1.98		8	7.92					23	22.77		68	67.33					101	
	FOURTH				Excluded		0	0.00					0	0.00		2	100.00					2	
		TOTAL					8	7.92					23	22.77		70	69.31					101	
	FIFTH						7	30.43						Excluded		16	69.57					23	
		TOTAL					15	14.85								86	85.15					101	
																Elected							
																							
Nhill                                                          																							
	FIRST			55	3.73		207	14.02		45	3.05		163	11.04		932	63.14		74	5.01		1476	
	SECOND			14	31.11		10	22.22			Excluded		4	8.89		10	22.22		7	15.56		45	
		TOTAL		69	4.67		217	14.70					167	11.31		942	63.82		81	5.49		1476	
	THIRD			12	14.81		10	12.35					22	27.16		37	45.68			Excluded		81	
		TOTAL		81	5.49		227	15.38					189	12.80		979	66.33					1476	
	FOURTH				Excluded		44	54.32					11	13.58		26	32.10					81	
		TOTAL					271	18.36					200	13.55		1005	68.09					1476	
	FIFTH						94	47.00						Excluded		106	53.00					200	
		TOTAL					365	24.73								1111	75.27					1476	
																Elected							
																							
Nichols Point                                                  																							
	FIRST			35	4.37		123	15.36		18	2.25		75	9.36		482	60.17		68	8.49		801	
	SECOND			4	22.22		8	44.44			Excluded		1	5.56		3	16.67		2	11.11		18	
		TOTAL		39	4.87		131	16.35					76	9.49		485	60.55		70	8.74		801	
	THIRD			3	4.29		11	15.71					29	41.43		27	38.57			Excluded		70	
		TOTAL		42	5.24		142	17.73					105	13.11		512	63.92					801	
	FOURTH				Excluded		19	45.24					4	9.52		19	45.24					42	
		TOTAL					161	20.10					109	13.61		531	66.29					801	
	FIFTH						49	44.95						Excluded		60	55.05					109	
		TOTAL					210	26.22								591	73.78					801	
																Elected							
																							
Noradjuha                                                      																							
	FIRST			1	0.92		15	13.76		1	0.92		23	21.10		67	61.47		2	1.83		109	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1	
		TOTAL		1	0.92		15	13.76					23	21.10		68	62.39		2	1.83		109	
	THIRD			2	100.00		0	0.00					0	0.00		0	0.00			Excluded		2	
		TOTAL		3	2.75		15	13.76					23	21.10		68	62.39					109	
	FOURTH				Excluded		0	0.00					2	66.67		1	33.33					3	
		TOTAL					15	13.76					25	22.94		69	63.30					109	
	FIFTH						15	60.00						Excluded		10	40.00					25	
		TOTAL					30	27.52								79	72.48					109	
																Elected							
																							
Nullawil                                                       																							
	FIRST			1	0.91		16	14.55		2	1.82		4	3.64		81	73.64		6	5.45		110	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		2	1.82		17	15.45					4	3.64		81	73.64		6	5.45		110	
	THIRD			2	33.33		0	0.00					2	33.33		2	33.33			Excluded		6	
		TOTAL		4	3.64		17	15.45					6	5.45		83	75.45					110	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					20	18.18					6	5.45		84	76.36					110	
	FIFTH						1	16.67						Excluded		5	83.33					6	
		TOTAL					21	19.09								89	80.91					110	
																Elected							
																							
Nyah                                                           																							
	FIRST			17	3.82		78	17.53		4	0.90		65	14.61		271	60.90		10	2.25		445	
	SECOND			1	25.00		0	0.00			Excluded		1	25.00		1	25.00		1	25.00		4	
		TOTAL		18	4.04		78	17.53					66	14.83		272	61.12		11	2.47		445	
	THIRD			3	27.27		2	18.18					3	27.27		3	27.27			Excluded		11	
		TOTAL		21	4.72		80	17.98					69	15.51		275	61.80					445	
	FOURTH				Excluded		14	66.67					2	9.52		5	23.81					21	
		TOTAL					94	21.12					71	15.96		280	62.92					445	
	FIFTH						39	54.93						Excluded		32	45.07					71	
		TOTAL					133	29.89								312	70.11					445	
																Elected							
																							
Nyah West                                                      																							
	FIRST			20	4.32		105	22.68		10	2.16		47	10.15		265	57.24		16	3.46		463	
	SECOND			3	30.00		3	30.00			Excluded		1	10.00		2	20.00		1	10.00		10	
		TOTAL		23	4.97		108	23.33					48	10.37		267	57.67		17	3.67		463	
	THIRD			2	11.76		3	17.65					6	35.29		6	35.29			Excluded		17	
		TOTAL		25	5.40		111	23.97					54	11.66		273	58.96					463	
	FOURTH				Excluded		13	52.00					3	12.00		9	36.00					25	
		TOTAL					124	26.78					57	12.31		282	60.91					463	
	FIFTH						28	49.12						Excluded		29	50.88					57	
		TOTAL					152	32.83								311	67.17					463	
																Elected							
																							
Ouyen                                                          																							
	FIRST			24	2.83		128	15.08		8	0.94		58	6.83		562	66.20		69	8.13		849	
	SECOND			2	25.00		2	25.00			Excluded		0	0.00		3	37.50		1	12.50		8	
		TOTAL		26	3.06		130	15.31					58	6.83		565	66.55		70	8.24		849	
	THIRD			10	14.29		9	12.86					28	40.00		23	32.86			Excluded		70	
		TOTAL		36	4.24		139	16.37					86	10.13		588	69.26					849	
	FOURTH				Excluded		13	36.11					6	16.67		17	47.22					36	
		TOTAL					152	17.90					92	10.84		605	71.26					849	
	FIFTH						38	41.30						Excluded		54	58.70					92	
		TOTAL					190	22.38								659	77.62					849	
																Elected							
																							
Patchewollock                                                  																							
	FIRST			4	3.17		13	10.32		4	3.17		9	7.14		84	66.67		12	9.52		126	
	SECOND			3	75.00		0	0.00			Excluded		0	0.00		0	0.00		1	25.00		4	
		TOTAL		7	5.56		13	10.32					9	7.14		84	66.67		13	10.32		126	
	THIRD			1	7.69		4	30.77					4	30.77		4	30.77			Excluded		13	
		TOTAL		8	6.35		17	13.49					13	10.32		88	69.84					126	
	FOURTH				Excluded		4	50.00					1	12.50		3	37.50					8	
		TOTAL					21	16.67					14	11.11		91	72.22					126	
	FIFTH						4	28.57						Excluded		10	71.43					14	
		TOTAL					25	19.84								101	80.16					126	
																Elected							
																							
Piangil                                                        																							
	FIRST			9	3.16		40	14.04		2	0.70		26	9.12		192	67.37		16	5.61		285	
	SECOND			2	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		11	3.86		40	14.04					26	9.12		192	67.37		16	5.61		285	
	THIRD			2	12.50		1	6.25					6	37.50		7	43.75			Excluded		16	
		TOTAL		13	4.56		41	14.39					32	11.23		199	69.82					285	
	FOURTH				Excluded		5	38.46					2	15.38		6	46.15					13	
		TOTAL					46	16.14					34	11.93		205	71.93					285	
	FIFTH						13	38.24						Excluded		21	61.76					34	
		TOTAL					59	20.70								226	79.30					285	
																Elected							
																							
Pimpinio                                                       																							
	FIRST			4	3.08		12	9.23		0	0.00		15	11.54		97	74.62		2	1.54		130	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	3.08		12	9.23					15	11.54		97	74.62		2	1.54		130	
	THIRD			0	0.00		0	0.00					1	50.00		1	50.00			Excluded		2	
		TOTAL		4	3.08		12	9.23					16	12.31		98	75.38					130	
	FOURTH				Excluded		1	25.00					1	25.00		2	50.00					4	
		TOTAL					13	10.00					17	13.08		100	76.92					130	
	FIFTH						8	47.06						Excluded		9	52.94					17	
		TOTAL					21	16.15								109	83.85					130	
																Elected							
																							
Quantong                                                       																							
	FIRST			7	3.45		29	14.29		8	3.94		33	16.26		118	58.13		8	3.94		203	
	SECOND			3	37.50		4	50.00			Excluded		0	0.00		1	12.50		0	0.00		8	
		TOTAL		10	4.93		33	16.26					33	16.26		119	58.62		8	3.94		203	
	THIRD			2	25.00		1	12.50					2	25.00		3	37.50			Excluded		8	
		TOTAL		12	5.91		34	16.75					35	17.24		122	60.10					203	
	FOURTH				Excluded		4	33.33					3	25.00		5	41.67					12	
		TOTAL					38	18.72					38	18.72		127	62.56					203	
	FIFTH						23	60.53						Excluded		15	39.47					38	
		TOTAL					61	30.05								142	69.95					203	
																Elected							
																							
Rainbow                                                        																							
	FIRST			8	1.58		84	16.63		7	1.39		25	4.95		369	73.07		12	2.38		505	
	SECOND			1	14.29		1	14.29			Excluded		0	0.00		2	28.57		3	42.86		7	
		TOTAL		9	1.78		85	16.83					25	4.95		371	73.47		15	2.97		505	
	THIRD			2	13.33		1	6.67					7	46.67		5	33.33			Excluded		15	
		TOTAL		11	2.18		86	17.03					32	6.34		376	74.46					505	
	FOURTH				Excluded		4	36.36					1	9.09		6	54.55					11	
		TOTAL					90	17.82					33	6.53		382	75.64					505	
	FIFTH						14	42.42						Excluded		19	57.58					33	
		TOTAL					104	20.59								401	79.41					505	
																Elected							
																							
Red Cliffs                                                     																							
	FIRST			99	4.01		675	27.34		50	2.03		263	10.65		1217	49.29		165	6.68		2469	
	SECOND			14	28.00		11	22.00			Excluded		10	20.00		7	14.00		8	16.00		50	
		TOTAL		113	4.58		686	27.78					273	11.06		1224	49.57		173	7.01		2469	
	THIRD			19	10.98		25	14.45					69	39.88		60	34.68			Excluded		173	
		TOTAL		132	5.35		711	28.80					342	13.85		1284	52.00					2469	
	FOURTH				Excluded		80	60.61					20	15.15		32	24.24					132	
		TOTAL					791	32.04					362	14.66		1316	53.30					2469	
	FIFTH						170	46.96						Excluded		192	53.04					362	
		TOTAL					961	38.92								1508	61.08					2469	
																Elected							
																							
Riverside                                                      																							
	FIRST			7	3.37		31	14.90		3	1.44		23	11.06		138	66.35		6	2.88		208	
	SECOND			3	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	
		TOTAL		10	4.81		31	14.90					23	11.06		138	66.35		6	2.88		208	
	THIRD			1	16.67		1	16.67					0	0.00		4	66.67			Excluded		6	
		TOTAL		11	5.29		32	15.38					23	11.06		142	68.27					208	
	FOURTH				Excluded		4	36.36					1	9.09		6	54.55					11	
		TOTAL					36	17.31					24	11.54		148	71.15					208	
	FIFTH						12	50.00						Excluded		12	50.00					24	
		TOTAL					48	23.08								160	76.92					208	
																Elected							
																							
Robinvale                                                      																							
	FIRST			54	3.48		346	22.28		24	1.55		177	11.40		856	55.12		96	6.18		1553	
	SECOND			11	45.83		6	25.00			Excluded		3	12.50		2	8.33		2	8.33		24	
		TOTAL		65	4.19		352	22.67					180	11.59		858	55.25		98	6.31		1553	
	THIRD			8	8.16		10	10.20					45	45.92		35	35.71			Excluded		98	
		TOTAL		73	4.70		362	23.31					225	14.49		893	57.50					1553	
	FOURTH				Excluded		35	47.95					7	9.59		31	42.47					73	
		TOTAL					397	25.56					232	14.94		924	59.50					1553	
	FIFTH						105	45.26						Excluded		127	54.74					232	
		TOTAL					502	32.32								1051	67.68					1553	
																Elected							
																							
Rupanyup                                                       																							
	FIRST			10	2.64		67	17.68		4	1.06		21	5.54		269	70.98		8	2.11		379	
	SECOND			1	25.00		0	0.00			Excluded		1	25.00		1	25.00		1	25.00		4	
		TOTAL		11	2.90		67	17.68					22	5.80		270	71.24		9	2.37		379	
	THIRD			4	44.44		1	11.11					2	22.22		2	22.22			Excluded		9	
		TOTAL		15	3.96		68	17.94					24	6.33		272	71.77					379	
	FOURTH				Excluded		4	26.67					2	13.33		9	60.00					15	
		TOTAL					72	19.00					26	6.86		281	74.14					379	
	FIFTH						8	30.77						Excluded		18	69.23					26	
		TOTAL					80	21.11								299	78.89					379	
																Elected							
																							
Sea Lake                                                       																							
	FIRST			12	2.58		100	21.46		15	3.22		30	6.44		281	60.30		28	6.01		466	
	SECOND			4	26.67		2	13.33			Excluded		0	0.00		3	20.00		6	40.00		15	
		TOTAL		16	3.43		102	21.89					30	6.44		284	60.94		34	7.30		466	
	THIRD			5	14.71		4	11.76					15	44.12		10	29.41			Excluded		34	
		TOTAL		21	4.51		106	22.75					45	9.66		294	63.09					466	
	FOURTH				Excluded		16	76.19					0	0.00		5	23.81					21	
		TOTAL					122	26.18					45	9.66		299	64.16					466	
	FIFTH						12	26.67						Excluded		33	73.33					45	
		TOTAL					134	28.76								332	71.24					466	
																Elected							
																							
Serviceton                                                     																							
	FIRST			2	1.89		9	8.49		0	0.00		10	9.43		83	78.30		2	1.89		106	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		2	1.89		9	8.49					10	9.43		83	78.30		2	1.89		106	
	THIRD			0	0.00		1	50.00					1	50.00		0	0.00			Excluded		2	
		TOTAL		2	1.89		10	9.43					11	10.38		83	78.30					106	
	FOURTH				Excluded		0	0.00					0	0.00		2	100.00					2	
		TOTAL					10	9.43					11	10.38		85	80.19					106	
	FIFTH						4	36.36						Excluded		7	63.64					11	
		TOTAL					14	13.21								92	86.79					106	
																Elected							
																							
Speed                                                          																							
	FIRST			3	1.99		12	7.95		0	0.00		11	7.28		114	75.50		11	7.28		151	
	SECOND			0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		3	1.99		12	7.95					11	7.28		114	75.50		11	7.28		151	
	THIRD			1	9.09		0	0.00					1	9.09		9	81.82			Excluded		11	
		TOTAL		4	2.65		12	7.95					12	7.95		123	81.46					151	
	FOURTH				Excluded		3	75.00					0	0.00		1	25.00					4	
		TOTAL					15	9.93					12	7.95		124	82.12					151	
	FIFTH						4	33.33						Excluded		8	66.67					12	
		TOTAL					19	12.58								132	87.42					151	
																Elected							
																							
St Arnaud                                                      																							
	FIRST			66	3.53		504	26.95		35	1.87		148	7.91		1063	56.84		54	2.89		1870	
	SECOND			10	28.57		7	20.00			Excluded		3	8.57		6	17.14		9	25.71		35	
		TOTAL		76	4.06		511	27.33					151	8.07		1069	57.17		63	3.37		1870	
	THIRD			11	17.46		9	14.29					10	15.87		33	52.38			Excluded		63	
		TOTAL		87	4.65		520	27.81					161	8.61		1102	58.93					1870	
	FOURTH				Excluded		55	63.22					7	8.05		25	28.74					87	
		TOTAL					575	30.75					168	8.98		1127	60.27					1870	
	FIFTH						101	60.12						Excluded		67	39.88					168	
		TOTAL					676	36.15								1194	63.85					1870	
																Elected							
																							
Stuart Mill                                                    																							
	FIRST			1	1.04		31	32.29		2	2.08		3	3.13		55	57.29		4	4.17		96	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		2	2.08		32	33.33					3	3.13		55	57.29		4	4.17		96	
	THIRD			0	0.00		0	0.00					1	25.00		3	75.00			Excluded		4	
		TOTAL		2	2.08		32	33.33					4	4.17		58	60.42					96	
	FOURTH				Excluded		2	100.00					0	0.00		0	0.00					2	
		TOTAL					34	35.42					4	4.17		58	60.42					96	
	FIFTH						4	100.00						Excluded		0	0.00					4	
		TOTAL					38	39.58								58	60.42					96	
																Elected							
																							
Sunnycliffs                                                    																							
	FIRST			9	4.50		32	16.00		1	0.50		18	9.00		115	57.50		25	12.50		200	
	SECOND			1	100.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		10	5.00		32	16.00					18	9.00		115	57.50		25	12.50		200	
	THIRD			3	12.00		1	4.00					12	48.00		9	36.00			Excluded		25	
		TOTAL		13	6.50		33	16.50					30	15.00		124	62.00					200	
	FOURTH				Excluded		6	46.15					1	7.69		6	46.15					13	
		TOTAL					39	19.50					31	15.50		130	65.00					200	
	FIFTH						12	38.71						Excluded		19	61.29					31	
		TOTAL					51	25.50								149	74.50					200	
																Elected							
																							
Swan Hill                                                      																							
	FIRST			216	7.02		582	18.90		53	1.72		190	6.17		1924	62.49		114	3.70		3079	
	SECOND			15	28.30		12	22.64			Excluded		1	1.89		10	18.87		15	28.30		53	
		TOTAL		231	7.50		594	19.29					191	6.20		1934	62.81		129	4.19		3079	
	THIRD			29	22.48		10	7.75					38	29.46		52	40.31			Excluded		129	
		TOTAL		260	8.44		604	19.62					229	7.44		1986	64.50					3079	
	FOURTH				Excluded		125	48.08					20	7.69		115	44.23					260	
		TOTAL					729	23.68					249	8.09		2101	68.24					3079	
	FIFTH						87	34.94						Excluded		162	65.06					249	
		TOTAL					816	26.50								2263	73.50					3079	
																Elected							
																							
Swan Hill South                                                																							
	FIRST			89	8.03		166	14.97		30	2.71		35	3.16		760	68.53		29	2.61		1109	
	SECOND			13	43.33		8	26.67			Excluded		3	10.00		1	3.33		5	16.67		30	
		TOTAL		102	9.20		174	15.69					38	3.43		761	68.62		34	3.07		1109	
	THIRD			8	23.53		6	17.65					6	17.65		14	41.18			Excluded		34	
		TOTAL		110	9.92		180	16.23					44	3.97		775	69.88					1109	
	FOURTH				Excluded		52	47.27					11	10.00		47	42.73					110	
		TOTAL					232	20.92					55	4.96		822	74.12					1109	
	FIFTH						20	36.36						Excluded		35	63.64					55	
		TOTAL					252	22.72								857	77.28					1109	
																Elected							
																							
Swan Hill West                                                 																							
	FIRST			126	8.32		263	17.37		27	1.78		71	4.69		959	63.34		68	4.49		1514	
	SECOND			11	40.74		7	25.93			Excluded		2	7.41		4	14.81		3	11.11		27	
		TOTAL		137	9.05		270	17.83					73	4.82		963	63.61		71	4.69		1514	
	THIRD			11	15.49		10	14.08					24	33.80		26	36.62			Excluded		71	
		TOTAL		148	9.78		280	18.49					97	6.41		989	65.32					1514	
	FOURTH				Excluded		63	42.57					18	12.16		67	45.27					148	
		TOTAL					343	22.66					115	7.60		1056	69.75					1514	
	FIFTH						36	31.30						Excluded		79	68.70					115	
		TOTAL					379	25.03								1135	74.97					1514	
																Elected							
																							
Toolondo                                                       																							
	FIRST			3	2.17		10	7.25		2	1.45		20	14.49		98	71.01		5	3.62		138	
	SECOND			1	50.00		1	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	
		TOTAL		4	2.90		11	7.97					20	14.49		98	71.01		5	3.62		138	
	THIRD			1	20.00		0	0.00					2	40.00		2	40.00			Excluded		5	
		TOTAL		5	3.62		11	7.97					22	15.94		100	72.46					138	
	FOURTH				Excluded		3	60.00					0	0.00		2	40.00					5	
		TOTAL					14	10.14					22	15.94		102	73.91					138	
	FIFTH						11	50.00						Excluded		11	50.00					22	
		TOTAL					25	18.12								113	81.88					138	
																Elected							
																							
Ultima                                                         																							
	FIRST			2	1.35		21	14.19		1	0.68		9	6.08		110	74.32		5	3.38		148	
	SECOND			0	0.00		1	100.00			Excluded		0	0.00		0	0.00		0	0.00		1	
		TOTAL		2	1.35		22	14.86					9	6.08		110	74.32		5	3.38		148	
	THIRD			0	0.00		0	0.00					1	20.00		4	80.00			Excluded		5	
		TOTAL		2	1.35		22	14.86					10	6.76		114	77.03					148	
	FOURTH				Excluded		1	50.00					0	0.00		1	50.00					2	
		TOTAL					23	15.54					10	6.76		115	77.70					148	
	FIFTH						2	20.00						Excluded		8	80.00					10	
		TOTAL					25	16.89								123	83.11					148	
																Elected							
																							
Underbool                                                      																							
	FIRST			0	0.00		20	8.97		3	1.35		23	10.31		163	73.09		14	6.28		223	
	SECOND			0	0.00		1	33.33			Excluded		0	0.00		1	33.33		1	33.33		3	
		TOTAL		0	0.00		21	9.42					23	10.31		164	73.54		15	6.73		223	
	THIRD			0	0.00		2	13.33					5	33.33		8	53.33			Excluded		15	
		TOTAL		0	0.00		23	10.31					28	12.56		172	77.13					223	
