House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Melbourne																							
				TANNER			FERRARI			JOLLY			CURR			FRANTZESKOS			MCKENNA				
		TOTAL		22	78.57					0	0.00		0	0.00		6	21.43		0	0.00		28	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		22	78.57								0	0.00		6	21.43		0	0.00		28	
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	
		TOTAL		22	78.57								0	0.00		6	21.43					28	
	FIFTH			0	0.00									Excluded		0	0.00					0	
		TOTAL		22	78.57											6	21.43					28	
				Elected																			
																							
Special Hospital Team 4                                        																							
	FIRST			60	43.80		0	0.00		0	0.00		13	9.49		55	40.15		9	6.57		137	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		60	43.80					0	0.00		13	9.49		55	40.15		9	6.57		137	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		60	43.80								13	9.49		55	40.15		9	6.57		137	
	FOURTH			4	44.44								3	33.33		2	22.22			Excluded		9	
		TOTAL		64	46.72								16	11.68		57	41.61					137	
	FIFTH			12	75.00									Excluded		4	25.00					16	
		TOTAL		76	55.47											61	44.53					137	
				Elected																			
																							
Special Hospital Team 5                                        																							
	FIRST			35	43.21		0	0.00		2	2.47		8	9.88		28	34.57		8	9.88		81	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		35	43.21					2	2.47		8	9.88		28	34.57		8	9.88		81	
	THIRD			0	0.00						Excluded		1	50.00		1	50.00		0	0.00		2	
		TOTAL		35	43.21								9	11.11		29	35.80		8	9.88		81	
	FOURTH			3	37.50								3	37.50		2	25.00			Excluded		8	
		TOTAL		38	46.91								12	14.81		31	38.27					81	
	FIFTH			7	58.33									Excluded		5	41.67					12	
		TOTAL		45	55.56											36	44.44					81	
				Elected																			
																							
Special Hospital Team 6                                        																							
	FIRST			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		2	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00					0	0.00		0	0.00		1	50.00		0	0.00		2	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	50.00								0	0.00		1	50.00		0	0.00		2	
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	
		TOTAL		1	50.00								0	0.00		1	50.00					2	
	FIFTH			0	0.00									Excluded		0	0.00					0	
		TOTAL		1	50.00											1	50.00					2	
				Elected																			
																							
Special Hospital Team 7                                        																							
	FIRST			28	80.00		1	2.86		0	0.00		1	2.86		4	11.43		1	2.86		35	
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		29	82.86					0	0.00		1	2.86		4	11.43		1	2.86		35	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		29	82.86								1	2.86		4	11.43		1	2.86		35	
	FOURTH			0	0.00								0	0.00		1	100.00			Excluded		1	
		TOTAL		29	82.86								1	2.86		5	14.29					35	
	FIFTH			1	100.00									Excluded		0	0.00					1	
		TOTAL		30	85.71											5	14.29					35	
				Elected																			
																							
Prison Mobile Team 1                                           																							
	FIRST			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	100.00					0	0.00		0	0.00		0	0.00		0	0.00		1	
	THIRD			0	0.00						Excluded		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	100.00								0	0.00		0	0.00		0	0.00		1	
	FOURTH			0	0.00								0	0.00		0	0.00			Excluded		0	
		TOTAL		1	100.00								0	0.00		0	0.00					1	
	FIFTH			0	0.00									Excluded		0	0.00					0	
		TOTAL		1	100.00											0	0.00					1	
				Elected																			
																							
ABSENT																							
	FIRST			3219	38.48		91	1.09		123	1.47		1477	17.65		2387	28.53		1069	12.78		8366	
	SECOND			29	31.87			Excluded		38	41.76		10	10.99		8	8.79		6	6.59		91	
		TOTAL		3248	38.82					161	1.92		1487	17.77		2395	28.63		1075	12.85		8366	
	THIRD			35	21.74						Excluded		76	47.20		26	16.15		24	14.91		161	
		TOTAL		3283	39.24								1563	18.68		2421	28.94		1099	13.14		8366	
	FOURTH			313	28.48								574	52.23		212	19.29			Excluded		1099	
		TOTAL		3596	42.98								2137	25.54		2633	31.47					8366	
	FIFTH			1674	78.33									Excluded		463	21.67					2137	
		TOTAL		5270	62.99											3096	37.01					8366	
				Elected																			
																							
POSTAL																							
	FIRST			1235	45.96		18	0.67		26	0.97		230	8.56		971	36.14		207	7.70		2687	
	SECOND			6	33.33			Excluded		9	50.00		1	5.56		2	11.11		0	0.00		18	
		TOTAL		1241	46.19					35	1.30		231	8.60		973	36.21		207	7.70		2687	
	THIRD			6	17.14						Excluded		19	54.29		5	14.29		5	14.29		35	
		TOTAL		1247	46.41								250	9.30		978	36.40		212	7.89		2687	
	FOURTH			89	41.98								83	39.15		40	18.87			Excluded		212	
		TOTAL		1336	49.72								333	12.39		1018	37.89					2687	
	FIFTH			259	77.78									Excluded		74	22.22					333	
		TOTAL		1595	59.36											1092	40.64					2687	
				Elected																			
																							
PRE POLL																							
	FIRST			2120	43.37		38	0.78		59	1.21		707	14.46		1370	28.03		594	12.15		4888	
	SECOND			15	39.47			Excluded		14	36.84		6	15.79		0	0.00		3	7.89		38	
		TOTAL		2135	43.68					73	1.49		713	14.59		1370	28.03		597	12.21		4888	
	THIRD			12	16.44						Excluded		43	58.90		9	12.33		9	12.33		73	
		TOTAL		2147	43.92								756	15.47		1379	28.21		606	12.40		4888	
	FOURTH			199	32.84								292	48.18		115	18.98			Excluded		606	
		TOTAL		2346	48.00								1048	21.44		1494	30.56					4888	
	FIFTH			860	82.06									Excluded		188	17.94					1048	
		TOTAL		3206	65.59											1682	34.41					4888	
				Elected																			
																							
PROVISIONAL																							
	FIRST			439	49.16		7	0.78		11	1.23		168	18.81		165	18.48		103	11.53		893	
	SECOND			2	28.57			Excluded		2	28.57		1	14.29		2	28.57		0	0.00		7	
		TOTAL		441	49.38					13	1.46		169	18.92		167	18.70		103	11.53		893	
	THIRD			6	46.15						Excluded		6	46.15		0	0.00		1	7.69		13	
		TOTAL		447	50.06								175	19.60		167	18.70		104	11.65		893	
	FOURTH			22	21.15								64	61.54		18	17.31			Excluded		104	
		TOTAL		469	52.52								239	26.76		185	20.72					893	
	FIFTH			206	86.19									Excluded		33	13.81					239	
		TOTAL		675	75.59											218	24.41					893	
				Elected																			
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
