House of Representatives - 2001 Election: Victoria																						
Distribution of Preferences																						
By Polling Place																						
Aston																						
				LEVICK			PEARCE			KENDALL			BOLAND			MITCHELL			KIR			
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
