House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
McEwen																							
				SALTER			ROMAGNESI			MACLEOD			BAILEY			LODWICK			CARDEN				
		TOTAL								221	59.89		148	40.11								369	
													Elected										
																							
Millgrove                                                      																							
	FIRST			17	2.37		43	6.01		352	49.16		268	37.43		10	1.40		26	3.63		716	
	SECOND			2	20.00		2	20.00		1	10.00		1	10.00			Excluded		4	40.00		10	
		TOTAL		19	2.65		45	6.28		353	49.30		269	37.57					30	4.19		716	
	THIRD				Excluded		7	36.84		4	21.05		4	21.05					4	21.05		19	
		TOTAL					52	7.26		357	49.86		273	38.13					34	4.75		716	
	FOURTH						16	47.06		10	29.41		8	23.53						Excluded		34	
		TOTAL					68	9.50		367	51.26		281	39.25								716	
	FIFTH							Excluded		58	85.29		10	14.71								68	
		TOTAL								425	59.36		291	40.64								716	
													Elected										
																							
Molesworth                                                     																							
	FIRST			4	4.00		5	5.00		20	20.00		66	66.00		1	1.00		4	4.00		100	
	SECOND			0	0.00		0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		4	4.00		5	5.00		20	20.00		67	67.00					4	4.00		100	
	THIRD				Excluded		2	50.00		0	0.00		2	50.00					0	0.00		4	
		TOTAL					7	7.00		20	20.00		69	69.00					4	4.00		100	
	FOURTH						2	50.00		1	25.00		1	25.00						Excluded		4	
		TOTAL					9	9.00		21	21.00		70	70.00								100	
	FIFTH							Excluded		5	55.56		4	44.44								9	
		TOTAL								26	26.00		74	74.00								100	
													Elected										
																							
Mount Buller                                                   																							
	FIRST			0	0.00		1	4.55		5	22.73		13	59.09		0	0.00		3	13.64		22	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	4.55		5	22.73		13	59.09					3	13.64		22	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	4.55		5	22.73		13	59.09					3	13.64		22	
	FOURTH						2	66.67		1	33.33		0	0.00						Excluded		3	
		TOTAL					3	13.64		6	27.27		13	59.09								22	
	FIFTH							Excluded		1	33.33		2	66.67								3	
		TOTAL								7	31.82		15	68.18								22	
													Elected										
																							
Nagambie                                                       																							
	FIRST			45	3.52		30	2.34		487	38.05		678	52.97		20	1.56		20	1.56		1280	
	SECOND			3	15.00		2	10.00		4	20.00		6	30.00			Excluded		5	25.00		20	
		TOTAL		48	3.75		32	2.50		491	38.36		684	53.44					25	1.95		1280	
	THIRD				Excluded		17	35.42		10	20.83		13	27.08					8	16.67		48	
		TOTAL					49	3.83		501	39.14		697	54.45					33	2.58		1280	
	FOURTH						17	51.52		12	36.36		4	12.12						Excluded		33	
		TOTAL					66	5.16		513	40.08		701	54.77								1280	
	FIFTH							Excluded		45	68.18		21	31.82								66	
		TOTAL								558	43.59		722	56.41								1280	
													Elected										
																							
Narbethong                                                     																							
	FIRST			5	3.88		4	3.10		43	33.33		75	58.14		1	0.78		1	0.78		129	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	3.88		5	3.88		43	33.33		75	58.14					1	0.78		129	
	THIRD				Excluded		1	20.00		1	20.00		2	40.00					1	20.00		5	
		TOTAL					6	4.65		44	34.11		77	59.69					2	1.55		129	
	FOURTH						1	50.00		0	0.00		1	50.00						Excluded		2	
		TOTAL					7	5.43		44	34.11		78	60.47								129	
	FIFTH							Excluded		6	85.71		1	14.29								7	
		TOTAL								50	38.76		79	61.24								129	
													Elected										
																							
Panton Hill                                                    																							
	FIRST			13	1.86		128	18.29		226	32.29		300	42.86		3	0.43		30	4.29		700	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		13	1.86		129	18.43		226	32.29		301	43.00					31	4.43		700	
	THIRD				Excluded		5	38.46		3	23.08		4	30.77					1	7.69		13	
		TOTAL					134	19.14		229	32.71		305	43.57					32	4.57		700	
	FOURTH						14	43.75		11	34.38		7	21.88						Excluded		32	
		TOTAL					148	21.14		240	34.29		312	44.57								700	
	FIFTH							Excluded		130	87.84		18	12.16								148	
		TOTAL								370	52.86		330	47.14								700	
													Elected										
																							
Piries-Goughs Bay                                              																							
	FIRST			2	2.25		1	1.12		31	34.83		50	56.18		1	1.12		4	4.49		89	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		2	2.25		1	1.12		31	34.83		50	56.18					5	5.62		89	
	THIRD				Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2	
		TOTAL					2	2.25		32	35.96		50	56.18					5	5.62		89	
	FOURTH						4	80.00		0	0.00		1	20.00						Excluded		5	
		TOTAL					6	6.74		32	35.96		51	57.30								89	
	FIFTH							Excluded		4	66.67		2	33.33								6	
		TOTAL								36	40.45		53	59.55								89	
													Elected										
																							
Powelltown                                                     																							
	FIRST			3	3.03		5	5.05		46	46.46		38	38.38		3	3.03		4	4.04		99	
	SECOND			1	33.33		0	0.00		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		4	4.04		5	5.05		47	47.47		39	39.39					4	4.04		99	
	THIRD				Excluded		2	50.00		1	25.00		0	0.00					1	25.00		4	
		TOTAL					7	7.07		48	48.48		39	39.39					5	5.05		99	
	FOURTH						2	40.00		0	0.00		3	60.00						Excluded		5	
		TOTAL					9	9.09		48	48.48		42	42.42								99	
	FIFTH							Excluded		8	88.89		1	11.11								9	
		TOTAL								56	56.57		43	43.43								99	
													Elected										
																							
Puckapunyal                                                    																							
	FIRST			19	4.30		10	2.26		111	25.11		276	62.44		15	3.39		11	2.49		442	
	SECOND			2	13.33		1	6.67		2	13.33		5	33.33			Excluded		5	33.33		15	
		TOTAL		21	4.75		11	2.49		113	25.57		281	63.57					16	3.62		442	
	THIRD				Excluded		6	28.57		8	38.10		4	19.05					3	14.29		21	
		TOTAL					17	3.85		121	27.38		285	64.48					19	4.30		442	
	FOURTH						8	42.11		3	15.79		8	42.11						Excluded		19	
		TOTAL					25	5.66		124	28.05		293	66.29								442	
	FIFTH							Excluded		12	48.00		13	52.00								25	
		TOTAL								136	30.77		306	69.23								442	
													Elected										
																							
Pyalong                                                        																							
	FIRST			22	6.55		11	3.27		109	32.44		182	54.17		3	0.89		9	2.68		336	
	SECOND			0	0.00		1	33.33		0	0.00		1	33.33			Excluded		1	33.33		3	
		TOTAL		22	6.55		12	3.57		109	32.44		183	54.46					10	2.98		336	
	THIRD				Excluded		5	22.73		6	27.27		7	31.82					4	18.18		22	
		TOTAL					17	5.06		115	34.23		190	56.55					14	4.17		336	
	FOURTH						5	35.71		4	28.57		5	35.71						Excluded		14	
		TOTAL					22	6.55		119	35.42		195	58.04								336	
	FIFTH							Excluded		15	68.18		7	31.82								22	
		TOTAL								134	39.88		202	60.12								336	
													Elected										
																							
Research (McEwen)                                              																							
	FIRST			13	0.64		122	6.00		673	33.10		1079	53.07		22	1.08		124	6.10		2033	
	SECOND			2	9.09		3	13.64		3	13.64		6	27.27			Excluded		8	36.36		22	
		TOTAL		15	0.74		125	6.15		676	33.25		1085	53.37					132	6.49		2033	
	THIRD				Excluded		7	46.67		1	6.67		6	40.00					1	6.67		15	
		TOTAL					132	6.49		677	33.30		1091	53.66					133	6.54		2033	
	FOURTH						58	43.61		41	30.83		34	25.56						Excluded		133	
		TOTAL					190	9.35		718	35.32		1125	55.34								2033	
	FIFTH							Excluded		144	75.79		46	24.21								190	
		TOTAL								862	42.40		1171	57.60								2033	
													Elected										
																							
Roxburgh Park (McEwen)                                         																							
	FIRST			17	1.45		22	1.88		749	63.96		313	26.73		21	1.79		49	4.18		1171	
	SECOND			0	0.00		2	9.52		2	9.52		6	28.57			Excluded		11	52.38		21	
		TOTAL		17	1.45		24	2.05		751	64.13		319	27.24					60	5.12		1171	
	THIRD				Excluded		7	41.18		7	41.18		1	5.88					2	11.76		17	
		TOTAL					31	2.65		758	64.73		320	27.33					62	5.29		1171	
	FOURTH						19	30.65		27	43.55		16	25.81						Excluded		62	
		TOTAL					50	4.27		785	67.04		336	28.69								1171	
	FIFTH							Excluded		34	68.00		16	32.00								50	
		TOTAL								819	69.94		352	30.06								1171	
													Elected										
																							
Ruffy                                                          																							
	FIRST			4	4.82		4	4.82		10	12.05		58	69.88		1	1.20		6	7.23		83	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	6.02		4	4.82		10	12.05		58	69.88					6	7.23		83	
	THIRD				Excluded		2	40.00		1	20.00		2	40.00					0	0.00		5	
		TOTAL					6	7.23		11	13.25		60	72.29					6	7.23		83	
	FOURTH						4	66.67		1	16.67		1	16.67						Excluded		6	
		TOTAL					10	12.05		12	14.46		61	73.49								83	
	FIFTH							Excluded		6	60.00		4	40.00								10	
		TOTAL								18	21.69		65	78.31								83	
													Elected										
																							
Seymour                                                        																							
	FIRST			70	4.75		48	3.26		549	37.27		736	49.97		25	1.70		45	3.05		1473	
	SECOND			4	16.00		4	16.00		3	12.00		4	16.00			Excluded		10	40.00		25	
		TOTAL		74	5.02		52	3.53		552	37.47		740	50.24					55	3.73		1473	
	THIRD				Excluded		22	29.73		13	17.57		32	43.24					7	9.46		74	
		TOTAL					74	5.02		565	38.36		772	52.41					62	4.21		1473	
	FOURTH						19	30.65		23	37.10		20	32.26						Excluded		62	
		TOTAL					93	6.31		588	39.92		792	53.77								1473	
	FIFTH							Excluded		79	84.95		14	15.05								93	
		TOTAL								667	45.28		806	54.72								1473	
													Elected										
																							
Seymour East                                                   																							
	FIRST			105	3.80		91	3.29		1221	44.16		1207	43.65		49	1.77		92	3.33		2765	
	SECOND			9	18.37		9	18.37		12	24.49		8	16.33			Excluded		11	22.45		49	
		TOTAL		114	4.12		100	3.62		1233	44.59		1215	43.94					103	3.73		2765	
	THIRD				Excluded		40	35.09		21	18.42		37	32.46					16	14.04		114	
		TOTAL					140	5.06		1254	45.35		1252	45.28					119	4.30		2765	
	FOURTH						56	47.06		31	26.05		32	26.89						Excluded		119	
		TOTAL					196	7.09		1285	46.47		1284	46.44								2765	
	FIFTH							Excluded		139	70.92		57	29.08								196	
		TOTAL								1424	51.50		1341	48.50								2765	
													Elected										
																							
St Andrews                                                     																							
	FIRST			15	1.90		184	23.35		279	35.41		273	34.64		5	0.63		32	4.06		788	
	SECOND			0	0.00		1	20.00		2	40.00		1	20.00			Excluded		1	20.00		5	
		TOTAL		15	1.90		185	23.48		281	35.66		274	34.77					33	4.19		788	
	THIRD				Excluded		5	33.33		3	20.00		6	40.00					1	6.67		15	
		TOTAL					190	24.11		284	36.04		280	35.53					34	4.31		788	
	FOURTH						20	58.82		7	20.59		7	20.59						Excluded		34	
		TOTAL					210	26.65		291	36.93		287	36.42								788	
	FIFTH							Excluded		190	90.48		20	9.52								210	
		TOTAL								481	61.04		307	38.96								788	
													Elected										
																							
Strath Creek                                                   																							
	FIRST			4	4.65		9	10.47		34	39.53		36	41.86		2	2.33		1	1.16		86	
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		4	4.65		9	10.47		35	40.70		36	41.86					2	2.33		86	
	THIRD				Excluded		1	25.00		2	50.00		0	0.00					1	25.00		4	
		TOTAL					10	11.63		37	43.02		36	41.86					3	3.49		86	
	FOURTH						1	33.33		1	33.33		1	33.33						Excluded		3	
		TOTAL					11	12.79		38	44.19		37	43.02								86	
	FIFTH							Excluded		11	100.00		0	0.00								11	
		TOTAL								49	56.98		37	43.02								86	
													Elected										
																							
Taggerty                                                       																							
	FIRST			7	3.14		7	3.14		63	28.25		128	57.40		4	1.79		14	6.28		223	
	SECOND			0	0.00		1	25.00		2	50.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		7	3.14		8	3.59		65	29.15		128	57.40					15	6.73		223	
	THIRD				Excluded		0	0.00		1	14.29		5	71.43					1	14.29		7	
		TOTAL					8	3.59		66	29.60		133	59.64					16	7.17		223	
	FOURTH						5	31.25		6	37.50		5	31.25						Excluded		16	
		TOTAL					13	5.83		72	32.29		138	61.88								223	
	FIFTH							Excluded		10	76.92		3	23.08								13	
		TOTAL								82	36.77		141	63.23								223	
													Elected										
																							
Tallarook                                                      																							
	FIRST			15	4.16		13	3.60		155	42.94		159	44.04		10	2.77		9	2.49		361	
	SECOND			2	20.00		4	40.00		1	10.00		2	20.00			Excluded		1	10.00		10	
		TOTAL		17	4.71		17	4.71		156	43.21		161	44.60					10	2.77		361	
	THIRD				Excluded		4	23.53		2	11.76		7	41.18					4	23.53		17	
		TOTAL					21	5.82		158	43.77		168	46.54					14	3.88		361	
	FOURTH						4	28.57		6	42.86		4	28.57						Excluded		14	
		TOTAL					25	6.93		164	45.43		172	47.65								361	
	FIFTH							Excluded		20	80.00		5	20.00								25	
		TOTAL								184	50.97		177	49.03								361	
													Elected										
																							
Thornton                                                       																							
	FIRST			5	1.83		3	1.10		92	33.70		154	56.41		1	0.37		18	6.59		273	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	1.83		4	1.47		92	33.70		154	56.41					18	6.59		273	
	THIRD				Excluded		1	20.00		1	20.00		2	40.00					1	20.00		5	
		TOTAL					5	1.83		93	34.07		156	57.14					19	6.96		273	
	FOURTH						10	52.63		2	10.53		7	36.84						Excluded		19	
		TOTAL					15	5.49		95	34.80		163	59.71								273	
	FIFTH							Excluded		14	93.33		1	6.67								15	
		TOTAL								109	39.93		164	60.07								273	
													Elected										
																							
Tolmie                                                         																							
	FIRST			9	8.18		8	7.27		45	40.91		40	36.36		1	0.91		7	6.36		110	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1	
		TOTAL		9	8.18		8	7.27		45	40.91		40	36.36					8	7.27		110	
	THIRD				Excluded		6	66.67		1	11.11		0	0.00					2	22.22		9	
		TOTAL					14	12.73		46	41.82		40	36.36					10	9.09		110	
	FOURTH						6	60.00		4	40.00		0	0.00						Excluded		10	
		TOTAL					20	18.18		50	45.45		40	36.36								110	
	FIFTH							Excluded		13	65.00		7	35.00								20	
		TOTAL								63	57.27		47	42.73								110	
													Elected										
																							
Toolangi                                                       																							
	FIRST			10	3.85		17	6.54		73	28.08		145	55.77		2	0.77		13	5.00		260	
	SECOND			0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		10	3.85		18	6.92		74	28.46		145	55.77					13	5.00		260	
	THIRD				Excluded		3	30.00		4	40.00		3	30.00					0	0.00		10	
		TOTAL					21	8.08		78	30.00		148	56.92					13	5.00		260	
	FOURTH						7	53.85		4	30.77		2	15.38						Excluded		13	
		TOTAL					28	10.77		82	31.54		150	57.69								260	
	FIFTH							Excluded		23	82.14		5	17.86								28	
		TOTAL								105	40.38		155	59.62								260	
													Elected										
																							
Wallan East                                                    																							
	FIRST			12	5.04		9	3.78		109	45.80		99	41.60		3	1.26		6	2.52		238	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		12	5.04		10	4.20		109	45.80		99	41.60					8	3.36		238	
	THIRD				Excluded		4	33.33		1	8.33		5	41.67					2	16.67		12	
		TOTAL					14	5.88		110	46.22		104	43.70					10	4.20		238	
	FOURTH						4	40.00		2	20.00		4	40.00						Excluded		10	
		TOTAL					18	7.56		112	47.06		108	45.38								238	
	FIFTH							Excluded		12	66.67		6	33.33								18	
		TOTAL								124	52.10		114	47.90								238	
													Elected										
																							
Wallan Wallan                                                  																							
	FIRST			64	2.97		89	4.14		1046	48.61		841	39.08		27	1.25		85	3.95		2152	
	SECOND			1	3.70		4	14.81		5	18.52		5	18.52			Excluded		12	44.44		27	
		TOTAL		65	3.02		93	4.32		1051	48.84		846	39.31					97	4.51		2152	
	THIRD				Excluded		22	33.85		15	23.08		25	38.46					3	4.62		65	
		TOTAL					115	5.34		1066	49.54		871	40.47					100	4.65		2152	
	FOURTH						40	40.00		32	32.00		28	28.00						Excluded		100	
		TOTAL					155	7.20		1098	51.02		899	41.78								2152	
	FIFTH							Excluded		119	76.77		36	23.23								155	
		TOTAL								1217	56.55		935	43.45								2152	
													Elected										
																							
Wandong                                                        																							
	FIRST			37	4.08		53	5.84		398	43.88		379	41.79		9	0.99		31	3.42		907	
	SECOND			0	0.00		1	11.11		3	33.33		3	33.33			Excluded		2	22.22		9	
		TOTAL		37	4.08		54	5.95		401	44.21		382	42.12					33	3.64		907	
	THIRD				Excluded		11	29.73		8	21.62		14	37.84					4	10.81		37	
		TOTAL					65	7.17		409	45.09		396	43.66					37	4.08		907	
	FOURTH						23	62.16		4	10.81		10	27.03						Excluded		37	
		TOTAL					88	9.70		413	45.53		406	44.76								907	
	FIFTH							Excluded		67	76.14		21	23.86								88	
		TOTAL								480	52.92		427	47.08								907	
													Elected										
																							
Warburton                                                      																							
	FIRST			23	2.60		117	13.22		318	35.93		359	40.56		6	0.68		62	7.01		885	
	SECOND			0	0.00		2	33.33		0	0.00		1	16.67			Excluded		3	50.00		6	
		TOTAL		23	2.60		119	13.45		318	35.93		360	40.68					65	7.34		885	
	THIRD				Excluded		12	52.17		5	21.74		6	26.09					0	0.00		23	
		TOTAL					131	14.80		323	36.50		366	41.36					65	7.34		885	
	FOURTH						37	56.92		16	24.62		12	18.46						Excluded		65	
		TOTAL					168	18.98		339	38.31		378	42.71								885	
	FIFTH							Excluded		129	76.79		39	23.21								168	
		TOTAL								468	52.88		417	47.12								885	
													Elected										
																							
Warburton East                                                 																							
	FIRST			19	4.03		31	6.57		223	47.25		182	38.56		5	1.06		12	2.54		472	
	SECOND			2	40.00		0	0.00		1	20.00		0	0.00			Excluded		2	40.00		5	
		TOTAL		21	4.45		31	6.57		224	47.46		182	38.56					14	2.97		472	
	THIRD				Excluded		6	28.57		8	38.10		6	28.57					1	4.76		21	
		TOTAL					37	7.84		232	49.15		188	39.83					15	3.18		472	
	FOURTH						8	53.33		2	13.33		5	33.33						Excluded		15	
		TOTAL					45	9.53		234	49.58		193	40.89								472	
	FIFTH							Excluded		35	77.78		10	22.22								45	
		TOTAL								269	56.99		203	43.01								472	
													Elected										
																							
Warrandyte North                                               																							
	FIRST			10	0.82		258	21.08		353	28.84		524	42.81		14	1.14		65	5.31		1224	
	SECOND			0	0.00		8	57.14		2	14.29		2	14.29			Excluded		2	14.29		14	
		TOTAL		10	0.82		266	21.73		355	29.00		526	42.97					67	5.47		1224	
	THIRD				Excluded		5	50.00		2	20.00		2	20.00					1	10.00		10	
		TOTAL					271	22.14		357	29.17		528	43.14					68	5.56		1224	
	FOURTH						32	47.06		22	32.35		14	20.59						Excluded		68	
		TOTAL					303	24.75		379	30.96		542	44.28								1224	
	FIFTH							Excluded		248	81.85		55	18.15								303	
		TOTAL								627	51.23		597	48.77								1224	
													Elected										
																							
Wattle Glen                                                    																							
	FIRST			11	1.71		64	9.95		246	38.26		284	44.17		10	1.56		28	4.35		643	
	SECOND			2	20.00		2	20.00		4	40.00		2	20.00			Excluded		0	0.00		10	
		TOTAL		13	2.02		66	10.26		250	38.88		286	44.48					28	4.35		643	
	THIRD				Excluded		4	30.77		1	7.69		4	30.77					4	30.77		13	
		TOTAL					70	10.89		251	39.04		290	45.10					32	4.98		643	
	FOURTH						11	34.38		9	28.13		12	37.50						Excluded		32	
		TOTAL					81	12.60		260	40.44		302	46.97								643	
	FIFTH							Excluded		68	83.95		13	16.05								81	
		TOTAL								328	51.01		315	48.99								643	
													Elected										
																							
Wesburn                                                        																							
	FIRST			33	5.00		58	8.79		214	32.42		315	47.73		6	0.91		34	5.15		660	
	SECOND			2	33.33		1	16.67		0	0.00		2	33.33			Excluded		1	16.67		6	
		TOTAL		35	5.30		59	8.94		214	32.42		317	48.03					35	5.30		660	
	THIRD				Excluded		8	22.86		10	28.57		13	37.14					4	11.43		35	
		TOTAL					67	10.15		224	33.94		330	50.00					39	5.91		660	
	FOURTH						15	38.46		17	43.59		7	17.95						Excluded		39	
		TOTAL					82	12.42		241	36.52		337	51.06								660	
	FIFTH							Excluded		75	91.46		7	8.54								82	
		TOTAL								316	47.88		344	52.12								660	
													Elected										
																							
Whittlesea                                                     																							
	FIRST			54	2.46		105	4.79		747	34.08		1130	51.55		19	0.87		137	6.25		2192	
	SECOND			1	5.26		4	21.05		1	5.26		7	36.84			Excluded		6	31.58		19	
		TOTAL		55	2.51		109	4.97		748	34.12		1137	51.87					143	6.52		2192	
	THIRD				Excluded		16	29.09		12	21.82		19	34.55					8	14.55		55	
		TOTAL					125	5.70		760	34.67		1156	52.74					151	6.89		2192	
	FOURTH						104	68.87		28	18.54		19	12.58						Excluded		151	
		TOTAL					229	10.45		788	35.95		1175	53.60								2192	
	FIFTH							Excluded		158	69.00		71	31.00								229	
		TOTAL								946	43.16		1246	56.84								2192	
													Elected										
																							
Wollert                                                        																							
	FIRST			13	4.58		7	2.46		108	38.03		149	52.46		0	0.00		7	2.46		284	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		13	4.58		7	2.46		108	38.03		149	52.46					7	2.46		284	
	THIRD				Excluded		7	53.85		0	0.00		6	46.15					0	0.00		13	
		TOTAL					14	4.93		108	38.03		155	54.58					7	2.46		284	
	FOURTH						1	14.29		1	14.29		5	71.43						Excluded		7	
		TOTAL					15	5.28		109	38.38		160	56.34								284	
	FIFTH							Excluded		10	66.67		5	33.33								15	
		TOTAL								119	41.90		165	58.10								284	
													Elected										
																							
Woori Yallock                                                  																							
	FIRST			47	2.61		91	5.05		605	33.57		940	52.16		14	0.78		105	5.83		1802	
	SECOND			3	21.43		0	0.00		3	21.43		2	14.29			Excluded		6	42.86		14	
		TOTAL		50	2.77		91	5.05		608	33.74		942	52.28					111	6.16		1802	
	THIRD				Excluded		15	30.00		13	26.00		18	36.00					4	8.00		50	
		TOTAL					106	5.88		621	34.46		960	53.27					115	6.38		1802	
	FOURTH						67	58.26		21	18.26		27	23.48						Excluded		115	
		TOTAL					173	9.60		642	35.63		987	54.77								1802	
	FIFTH							Excluded		117	67.63		56	32.37								173	
		TOTAL								759	42.12		1043	57.88								1802	
													Elected										
																							
Yan Yean                                                       																							
	FIRST			3	1.60		13	6.95		55	29.41		112	59.89		3	1.60		1	0.53		187	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		3	100.00		3	
		TOTAL		3	1.60		13	6.95		55	29.41		112	59.89					4	2.14		187	
	THIRD				Excluded		0	0.00		0	0.00		2	66.67					1	33.33		3	
		TOTAL					13	6.95		55	29.41		114	60.96					5	2.67		187	
	FOURTH						4	80.00		0	0.00		1	20.00						Excluded		5	
		TOTAL					17	9.09		55	29.41		115	61.50								187	
	FIFTH							Excluded		14	82.35		3	17.65								17	
		TOTAL								69	36.90		118	63.10								187	
													Elected										
																							
Yarck                                                          																							
	FIRST			3	1.94		2	1.29		37	23.87		104	67.10		0	0.00		9	5.81		155	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	1.94		2	1.29		37	23.87		104	67.10					9	5.81		155	
	THIRD				Excluded		1	33.33		0	0.00		1	33.33					1	33.33		3	
		TOTAL					3	1.94		37	23.87		105	67.74					10	6.45		155	
	FOURTH						4	40.00		4	40.00		2	20.00						Excluded		10	
		TOTAL					7	4.52		41	26.45		107	69.03								155	
	FIFTH							Excluded		5	71.43		2	28.57								7	
		TOTAL								46	29.68		109	70.32								155	
													Elected										
																							
Yarra Glen                                                     																							
	FIRST			35	2.67		137	10.43		330	25.13		738	56.21		15	1.14		58	4.42		1313	
	SECOND			0	0.00		3	20.00		2	13.33		2	13.33			Excluded		8	53.33		15	
		TOTAL		35	2.67		140	10.66		332	25.29		740	56.36					66	5.03		1313	
	THIRD				Excluded		7	20.00		10	28.57		15	42.86					3	8.57		35	
		TOTAL					147	11.20		342	26.05		755	57.50					69	5.26		1313	
	FOURTH						39	56.52		21	30.43		9	13.04						Excluded		69	
		TOTAL					186	14.17		363	27.65		764	58.19								1313	
	FIFTH							Excluded		152	81.72		34	18.28								186	
		TOTAL								515	39.22		798	60.78								1313	
													Elected										
																							
Yarra Junction                                                 																							
	FIRST			29	2.75		87	8.25		382	36.24		493	46.77		13	1.23		50	4.74		1054	
	SECOND			1	7.69		1	7.69		2	15.38		6	46.15			Excluded		3	23.08		13	
		TOTAL		30	2.85		88	8.35		384	36.43		499	47.34					53	5.03		1054	
	THIRD				Excluded		12	40.00		8	26.67		7	23.33					3	10.00		30	
		TOTAL					100	9.49		392	37.19		506	48.01					56	5.31		1054	
	FOURTH						35	62.50		12	21.43		9	16.07						Excluded		56	
		TOTAL					135	12.81		404	38.33		515	48.86								1054	
	FIFTH							Excluded		99	73.33		36	26.67								135	
		TOTAL								503	47.72		551	52.28								1054	
													Elected										
																							
Yarrambat                                                      																							
	FIRST			12	1.60		35	4.68		224	29.95		435	58.16		8	1.07		34	4.55		748	
	SECOND			1	12.50		1	12.50		0	0.00		1	12.50			Excluded		5	62.50		8	
		TOTAL		13	1.74		36	4.81		224	29.95		436	58.29					39	5.21		748	
	THIRD				Excluded		5	38.46		3	23.08		5	38.46					0	0.00		13	
		TOTAL					41	5.48		227	30.35		441	58.96					39	5.21		748	
	FOURTH						16	41.03		12	30.77		11	28.21						Excluded		39	
		TOTAL					57	7.62		239	31.95		452	60.43								748	
	FIFTH							Excluded		46	80.70		11	19.30								57	
		TOTAL								285	38.10		463	61.90								748	
													Elected										
																							
Yea                                                            																							
	FIRST			34	3.11		38	3.48		338	30.92		632	57.82		6	0.55		45	4.12		1093	
	SECOND			2	33.33		1	16.67		2	33.33		1	16.67			Excluded		0	0.00		6	
		TOTAL		36	3.29		39	3.57		340	31.11		633	57.91					45	4.12		1093	
	THIRD				Excluded		12	33.33		5	13.89		14	38.89					5	13.89		36	
		TOTAL					51	4.67		345	31.56		647	59.19					50	4.57		1093	
	FOURTH						29	58.00		10	20.00		11	22.00						Excluded		50	
		TOTAL					80	7.32		355	32.48		658	60.20								1093	
	FIFTH							Excluded		59	73.75		21	26.25								80	
		TOTAL								414	37.88		679	62.12								1093	
													Elected										
																							
Special Hospital Team 1                                        																							
	FIRST			2	7.69		0	0.00		9	34.62		15	57.69		0	0.00		0	0.00		26	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		2	7.69		0	0.00		9	34.62		15	57.69					0	0.00		26	
	THIRD				Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL					2	7.69		9	34.62		15	57.69					0	0.00		26	
	FOURTH						0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL					2	7.69		9	34.62		15	57.69								26	
	FIFTH							Excluded		1	50.00		1	50.00								2	
		TOTAL								10	38.46		16	61.54								26	
													Elected										
																							
Special Hospital Team 2                                        																							
	FIRST			0	0.00		1	1.67		34	56.67		24	40.00		0	0.00		1	1.67		60	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		0	0.00		1	1.67		34	56.67		24	40.00					1	1.67		60	
	THIRD				Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					1	1.67		34	56.67		24	40.00					1	1.67		60	
	FOURTH						1	100.00		0	0.00		0	0.00						Excluded		1	
		TOTAL					2	3.33		34	56.67		24	40.00								60	
	FIFTH							Excluded		1	50.00		1	50.00								2	
		TOTAL								35	58.33		25	41.67								60	
													Elected										
																							
ABSENT																							
	FIRST			214	3.78		454	8.02		1964	34.68		2455	43.34		151	2.67		426	7.52		5664	
	SECOND			18	11.92		23	15.23		25	16.56		36	23.84			Excluded		49	32.45		151	
		TOTAL		232	4.10		477	8.42		1989	35.12		2491	43.98					475	8.39		5664	
