House of Representatives - 2001 Election: Victoria 																						
Distribution of Preferences																						
By Polling Place																						
Wills																						
				ISHERWOOD			GLANZ			DI NATALE			THOMSON			VALASINAVICIUS			STONE			
	THIRD				Excluded					55	62.50		12	13.64		8	9.09		13	14.77		88
		TOTAL								324	9.27		1790	51.19		1127	32.23		256	7.32		3497
	FOURTH									103	40.23		92	35.94		61	23.83			Excluded		256
		TOTAL								427	12.21		1882	53.82		1188	33.97					3497
	FIFTH										Excluded		344	80.56		83	19.44					427
		TOTAL											2226	63.65		1271	36.35					3497
													Elected									
																						
PROVISIONAL																						
	FIRST			15	2.96		9	1.78		46	9.09		309	61.07		103	20.36		24	4.74		506
	SECOND			1	11.11			Excluded		6	66.67		0	0.00		1	11.11		1	11.11		9
		TOTAL		16	3.16					52	10.28		309	61.07		104	20.55		25	4.94		506
	THIRD				Excluded					12	75.00		1	6.25		1	6.25		2	12.50		16
		TOTAL								64	12.65		310	61.26		105	20.75		27	5.34		506
	FOURTH									10	37.04		10	37.04		7	25.93			Excluded		27
		TOTAL								74	14.62		320	63.24		112	22.13					506
	FIFTH										Excluded		61	82.43		13	17.57					74
		TOTAL											381	75.30		125	24.70					506
													Elected									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
