House of Representatives - 2001 Election: Victoria																							
Distribution of Preferences																							
By Polling Place																							
Jagajaga																							
				WIGG			GALLAGHER			JONES			ROBERTS			MACKLIN			SCHOREL-HLAVKA				
	SECOND			0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		19	7.12					94	35.21		18	6.74		130	48.69		6	2.25		267	
	THIRD			2	33.33					0	0.00		1	16.67		3	50.00			Excluded		6	
		TOTAL		21	7.87					94	35.21		19	7.12		133	49.81					267	
	FOURTH			11	57.89					1	5.26			Excluded		7	36.84					19	
		TOTAL		32	11.99					95	35.58					140	52.43					267	
	FIFTH				Excluded					15	46.88					17	53.13					32	
		TOTAL								110	41.20					157	58.80					267	
																Elected							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
