House of Representatives - 2001 Election: Victoria																													
Distribution of Preferences																													
By Polling Place																													
La Trobe																													
				CHARLES			SMITH			HOLLAND			STAINDL			VOIGT			SCOTT			DEAN			ALLEN				
		TOTAL		102	48.34		42	19.91		13	6.16		54	25.59		0	0.00		0	0.00					0	0.00		211	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		102	48.34		42	19.91		13	6.16		54	25.59		0	0.00		0	0.00								211	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		102	48.34		42	19.91		13	6.16		54	25.59					0	0.00								211	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00						Excluded								0	
		TOTAL		102	48.34		42	19.91		13	6.16		54	25.59														211	
	SIXTH			4	9.52			Excluded		32	76.19		6	14.29														42	
		TOTAL		106	50.24					45	21.33		60	28.44														211	
	SEVENTH			7	15.56						Excluded		38	84.44														45	
		TOTAL		113	53.55								98	46.45														211	
				Elected																									
																													
Macclesfield                                                   																													
	FIRST			317	48.10		46	6.98		76	11.53		200	30.35		6	0.91		11	1.67		2	0.30		1	0.15		659	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		317	48.10		46	6.98		76	11.53		201	30.50		6	0.91		12	1.82					1	0.15		659	
	THIRD			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		317	48.10		46	6.98		77	11.68		201	30.50		6	0.91		12	1.82								659	
	FOURTH			5	83.33		0	0.00		1	16.67		0	0.00			Excluded		0	0.00								6	
		TOTAL		322	48.86		46	6.98		78	11.84		201	30.50					12	1.82								659	
	FIFTH			6	50.00		1	8.33		2	16.67		3	25.00						Excluded								12	
		TOTAL		328	49.77		47	7.13		80	12.14		204	30.96														659	
	SIXTH			2	4.26			Excluded		33	70.21		12	25.53														47	
		TOTAL		330	50.08					113	17.15		216	32.78														659	
	SEVENTH			35	30.97						Excluded		78	69.03														113	
		TOTAL		365	55.39								294	44.61														659	
				Elected																									
																													
Melbourne (La Trobe)                                           																													
	FIRST			18	37.50		6	12.50		9	18.75		14	29.17		0	0.00		0	0.00		1	2.08		0	0.00		48	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		18	37.50		6	12.50		10	20.83		14	29.17		0	0.00		0	0.00					0	0.00		48	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		0	
		TOTAL		18	37.50		6	12.50		10	20.83		14	29.17		0	0.00		0	0.00								48	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								0	
		TOTAL		18	37.50		6	12.50		10	20.83		14	29.17					0	0.00								48	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00						Excluded								0	
		TOTAL		18	37.50		6	12.50		10	20.83		14	29.17														48	
	SIXTH			2	33.33			Excluded		2	33.33		2	33.33														6	
		TOTAL		20	41.67					12	25.00		16	33.33														48	
	SEVENTH			3	25.00						Excluded		9	75.00														12	
		TOTAL		23	47.92								25	52.08														48	
				Elected																									
																													
Menzies Creek                                                  																													
	FIRST			216	45.19		58	12.13		38	7.95		154	32.22		4	0.84		3	0.63		3	0.63		2	0.42		478	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		217	45.40		58	12.13		38	7.95		154	32.22		4	0.84		3	0.63					4	0.84		478	
	THIRD			1	25.00		1	25.00		0	0.00		1	25.00		0	0.00		1	25.00						Excluded		4	
		TOTAL		218	45.61		59	12.34		38	7.95		155	32.43		4	0.84		4	0.84								478	
	FOURTH			2	50.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00								4	
		TOTAL		220	46.03		60	12.55		39	8.16		155	32.43					4	0.84								478	
	FIFTH			1	25.00		2	50.00		0	0.00		1	25.00						Excluded								4	
		TOTAL		221	46.23		62	12.97		39	8.16		156	32.64														478	
	SIXTH			7	11.29			Excluded		35	56.45		20	32.26														62	
		TOTAL		228	47.70					74	15.48		176	36.82														478	
	SEVENTH			24	32.43						Excluded		50	67.57														74	
		TOTAL		252	52.72								226	47.28														478	
				Elected																									
																													
Mount Dandenong (La Trobe)                                     																													
	FIRST			200	41.75		100	20.88		28	5.85		139	29.02		2	0.42		8	1.67		0	0.00		2	0.42		479	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		200	41.75		100	20.88		28	5.85		139	29.02		2	0.42		8	1.67					2	0.42		479	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		1	50.00						Excluded		2	
		TOTAL		201	41.96		100	20.88		28	5.85		139	29.02		2	0.42		9	1.88								479	
	FOURTH			1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00								2	
		TOTAL		202	42.17		100	20.88		28	5.85		140	29.23					9	1.88								479	
	FIFTH			1	11.11		1	11.11		5	55.56		2	22.22						Excluded								9	
		TOTAL		203	42.38		101	21.09		33	6.89		142	29.65														479	
	SIXTH			6	5.94			Excluded		69	68.32		26	25.74														101	
		TOTAL		209	43.63					102	21.29		168	35.07														479	
	SEVENTH			18	17.65						Excluded		84	82.35														102	
		TOTAL		227	47.39								252	52.61														479	
				Elected																									
																													
Narre Warren (La Trobe)                                        																													
	FIRST			1062	46.01		78	3.38		130	5.63		951	41.20		26	1.13		34	1.47		11	0.48		16	0.69		2308	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	9.09		1	9.09			Excluded		9	81.82		11	
		TOTAL		1062	46.01		78	3.38		130	5.63		951	41.20		27	1.17		35	1.52					25	1.08		2308	
	THIRD			3	12.00		2	8.00		3	12.00		2	8.00		9	36.00		6	24.00						Excluded		25	
		TOTAL		1065	46.14		80	3.47		133	5.76		953	41.29		36	1.56		41	1.78								2308	
	FOURTH			18	50.00		2	5.56		6	16.67		6	16.67			Excluded		4	11.11								36	
		TOTAL		1083	46.92		82	3.55		139	6.02		959	41.55					45	1.95								2308	
	FIFTH			15	33.33		6	13.33		9	20.00		15	33.33						Excluded								45	
		TOTAL		1098	47.57		88	3.81		148	6.41		974	42.20														2308	
	SIXTH			11	12.50			Excluded		58	65.91		19	21.59														88	
		TOTAL		1109	48.05					206	8.93		993	43.02														2308	
	SEVENTH			70	33.98						Excluded		136	66.02														206	
		TOTAL		1179	51.08								1129	48.92														2308	
				Elected																									
																													
Narre Warren East                                              																													
	FIRST			242	68.56		16	4.53		15	4.25		72	20.40		1	0.28		5	1.42		0	0.00		2	0.57		353	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		242	68.56		16	4.53		15	4.25		72	20.40		1	0.28		5	1.42					2	0.57		353	
	THIRD			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		1	50.00						Excluded		2	
		TOTAL		242	68.56		16	4.53		15	4.25		73	20.68		1	0.28		6	1.70								353	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								1	
		TOTAL		243	68.84		16	4.53		15	4.25		73	20.68					6	1.70								353	
	FIFTH			3	50.00		2	33.33		0	0.00		1	16.67						Excluded								6	
		TOTAL		246	69.69		18	5.10		15	4.25		74	20.96														353	
	SIXTH			3	16.67			Excluded		8	44.44		7	38.89														18	
		TOTAL		249	70.54					23	6.52		81	22.95														353	
	SEVENTH			10	43.48						Excluded		13	56.52														23	
		TOTAL		259	73.37								94	26.63														353	
				Elected																									
																													
Narre Warren North                                             																													
	FIRST			577	56.46		31	3.03		90	8.81		288	28.18		15	1.47		13	1.27		7	0.68		1	0.10		1022	
	SECOND			0	0.00		0	0.00		1	14.29		0	0.00		0	0.00		1	14.29			Excluded		5	71.43		7	
		TOTAL		577	56.46		31	3.03		91	8.90		288	28.18		15	1.47		14	1.37					6	0.59		1022	
	THIRD			3	50.00		0	0.00		2	33.33		0	0.00		0	0.00		1	16.67						Excluded		6	
		TOTAL		580	56.75		31	3.03		93	9.10		288	28.18		15	1.47		15	1.47								1022	
	FOURTH			12	80.00		2	13.33		1	6.67		0	0.00			Excluded		0	0.00								15	
		TOTAL		592	57.93		33	3.23		94	9.20		288	28.18					15	1.47								1022	
	FIFTH			8	53.33		3	20.00		1	6.67		3	20.00						Excluded								15	
		TOTAL		600	58.71		36	3.52		95	9.30		291	28.47														1022	
	SIXTH			7	19.44			Excluded		21	58.33		8	22.22														36	
		TOTAL		607	59.39					116	11.35		299	29.26														1022	
	SEVENTH			56	48.28						Excluded		60	51.72														116	
		TOTAL		663	64.87								359	35.13														1022	
				Elected																									
																													
Oatlands                                                       																													
	FIRST			956	43.99		61	2.81		169	7.78		910	41.88		26	1.20		32	1.47		11	0.51		8	0.37		2173	
	SECOND			1	9.09		0	0.00		0	0.00		2	18.18		0	0.00		2	18.18			Excluded		6	54.55		11	
		TOTAL		957	44.04		61	2.81		169	7.78		912	41.97		26	1.20		34	1.56					14	0.64		2173	
	THIRD			0	0.00		1	7.14		2	14.29		3	21.43		0	0.00		8	57.14						Excluded		14	
		TOTAL		957	44.04		62	2.85		171	7.87		915	42.11		26	1.20		42	1.93								2173	
	FOURTH			13	50.00		1	3.85		4	15.38		4	15.38			Excluded		4	15.38								26	
		TOTAL		970	44.64		63	2.90		175	8.05		919	42.29					46	2.12								2173	
	FIFTH			14	30.43		6	13.04		4	8.70		22	47.83						Excluded								46	
		TOTAL		984	45.28		69	3.18		179	8.24		941	43.30														2173	
	SIXTH			17	24.64			Excluded		40	57.97		12	17.39														69	
		TOTAL		1001	46.07					219	10.08		953	43.86														2173	
	SEVENTH			88	40.18						Excluded		131	59.82														219	
		TOTAL		1089	50.12								1084	49.88														2173	
				Elected																									
																													
Officer                                                        																													
	FIRST			413	64.73		25	3.92		34	5.33		134	21.00		3	0.47		17	2.66		5	0.78		7	1.10		638	
	SECOND			1	20.00		0	0.00		0	0.00		0	0.00		0	0.00		1	20.00			Excluded		3	60.00		5	
		TOTAL		414	64.89		25	3.92		34	5.33		134	21.00		3	0.47		18	2.82					10	1.57		638	
	THIRD			2	20.00		1	10.00		1	10.00		3	30.00		0	0.00		3	30.00						Excluded		10	
		TOTAL		416	65.20		26	4.08		35	5.49		137	21.47		3	0.47		21	3.29								638	
	FOURTH			2	66.67		1	33.33		0	0.00		0	0.00			Excluded		0	0.00								3	
		TOTAL		418	65.52		27	4.23		35	5.49		137	21.47					21	3.29								638	
	FIFTH			9	42.86		3	14.29		4	19.05		5	23.81						Excluded								21	
		TOTAL		427	66.93		30	4.70		39	6.11		142	22.26														638	
	SIXTH			4	13.33			Excluded		19	63.33		7	23.33														30	
		TOTAL		431	67.55					58	9.09		149	23.35														638	
	SEVENTH			23	39.66						Excluded		35	60.34														58	
		TOTAL		454	71.16								184	28.84														638	
				Elected																									
																													
Olinda                                                         																													
	FIRST			240	44.78		96	17.91		39	7.28		151	28.17		2	0.37		3	0.56		0	0.00		5	0.93		536	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		240	44.78		96	17.91		39	7.28		151	28.17		2	0.37		3	0.56					5	0.93		536	
	THIRD			2	40.00		0	0.00		3	60.00		0	0.00		0	0.00		0	0.00						Excluded		5	
		TOTAL		242	45.15		96	17.91		42	7.84		151	28.17		2	0.37		3	0.56								536	
	FOURTH			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		244	45.52		96	17.91		42	7.84		151	28.17					3	0.56								536	
	FIFTH			1	33.33		0	0.00		0	0.00		2	66.67						Excluded								3	
		TOTAL		245	45.71		96	17.91		42	7.84		153	28.54														536	
	SIXTH			4	4.17			Excluded		65	67.71		27	28.13														96	
		TOTAL		249	46.46					107	19.96		180	33.58														536	
	SEVENTH			26	24.30						Excluded		81	75.70														107	
		TOTAL		275	51.31								261	48.69														536	
				Elected																									
																													
Pakenham Upper (La Trobe)                                      																													
	FIRST			97	56.07		8	4.62		9	5.20		40	23.12		3	1.73		9	5.20		3	1.73		4	2.31		173	
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3	
		TOTAL		98	56.65		8	4.62		9	5.20		40	23.12		3	1.73		9	5.20					6	3.47		173	
	THIRD			4	66.67		0	0.00		2	33.33		0	0.00		0	0.00		0	0.00						Excluded		6	
		TOTAL		102	58.96		8	4.62		11	6.36		40	23.12		3	1.73		9	5.20								173	
	FOURTH			2	66.67		0	0.00		0	0.00		0	0.00			Excluded		1	33.33								3	
		TOTAL		104	60.12		8	4.62		11	6.36		40	23.12					10	5.78								173	
	FIFTH			3	30.00		5	50.00		1	10.00		1	10.00						Excluded								10	
		TOTAL		107	61.85		13	7.51		12	6.94		41	23.70														173	
	SIXTH			4	30.77			Excluded		7	53.85		2	15.38														13	
		TOTAL		111	64.16					19	10.98		43	24.86														173	
	SEVENTH			9	47.37						Excluded		10	52.63														19	
		TOTAL		120	69.36								53	30.64														173	
				Elected																									
																													
Sassafras                                                      																													
	FIRST			317	40.75		120	15.42		68	8.74		251	32.26		2	0.26		9	1.16		6	0.77		5	0.64		778	
	SECOND			0	0.00		0	0.00		0	0.00		1	16.67		1	16.67		0	0.00			Excluded		4	66.67		6	
		TOTAL		317	40.75		120	15.42		68	8.74		252	32.39		3	0.39		9	1.16					9	1.16		778	
	THIRD			2	22.22		2	22.22		1	11.11		4	44.44		0	0.00		0	0.00						Excluded		9	
		TOTAL		319	41.00		122	15.68		69	8.87		256	32.90		3	0.39		9	1.16								778	
	FOURTH			2	66.67		1	33.33		0	0.00		0	0.00			Excluded		0	0.00								3	
		TOTAL		321	41.26		123	15.81		69	8.87		256	32.90					9	1.16								778	
	FIFTH			5	55.56		3	33.33		0	0.00		1	11.11						Excluded								9	
		TOTAL		326	41.90		126	16.20		69	8.87		257	33.03														778	
	SIXTH			13	10.32			Excluded		81	64.29		32	25.40														126	
		TOTAL		339	43.57					150	19.28		289	37.15														778	
	SEVENTH			36	24.00						Excluded		114	76.00														150	
		TOTAL		375	48.20								403	51.80														778	
				Elected																									
																													
Selby                                                          																													
	FIRST			260	29.48		141	15.99		69	7.82		393	44.56		5	0.57		8	0.91		2	0.23		4	0.45		882	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		260	29.48		141	15.99		69	7.82		394	44.67		5	0.57		8	0.91					5	0.57		882	
	THIRD			0	0.00		1	20.00		2	40.00		0	0.00		1	20.00		1	20.00						Excluded		5	
		TOTAL		260	29.48		142	16.10		71	8.05		394	44.67		6	0.68		9	1.02								882	
	FOURTH			3	50.00		0	0.00		1	16.67		1	16.67			Excluded		1	16.67								6	
		TOTAL		263	29.82		142	16.10		72	8.16		395	44.78					10	1.13								882	
	FIFTH			4	40.00		2	20.00		2	20.00		2	20.00						Excluded								10	
		TOTAL		267	30.27		144	16.33		74	8.39		397	45.01														882	
	SIXTH			11	7.64			Excluded		91	63.19		42	29.17														144	
		TOTAL		278	31.52					165	18.71		439	49.77														882	
	SEVENTH			48	29.09						Excluded		117	70.91														165	
		TOTAL		326	36.96								556	63.04														882	
				Elected																									
																													
Tecoma                                                         																													
	FIRST			646	34.45		257	13.71		188	10.03		725	38.67		10	0.53		21	1.12		6	0.32		22	1.17		1875	
	SECOND			1	16.67		1	16.67		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	66.67		6	
		TOTAL		647	34.51		258	13.76		188	10.03		725	38.67		10	0.53		21	1.12					26	1.39		1875	
	THIRD			6	23.08		3	11.54		2	7.69		6	23.08		2	7.69		7	26.92						Excluded		26	
		TOTAL		653	34.83		261	13.92		190	10.13		731	38.99		12	0.64		28	1.49								1875	
	FOURTH			4	33.33		1	8.33		3	25.00		1	8.33			Excluded		3	25.00								12	
		TOTAL		657	35.04		262	13.97		193	10.29		732	39.04					31	1.65								1875	
	FIFTH			13	41.94		4	12.90		2	6.45		12	38.71						Excluded								31	
		TOTAL		670	35.73		266	14.19		195	10.40		744	39.68														1875	
	SIXTH			32	12.03			Excluded		171	64.29		63	23.68														266	
		TOTAL		702	37.44					366	19.52		807	43.04														1875	
	SEVENTH			93	25.41						Excluded		273	74.59														366	
		TOTAL		795	42.40								1080	57.60														1875	
				Elected																									
																													
The Basin                                                      																													
	FIRST			1157	44.33		200	7.66		259	9.92		917	35.13		13	0.50		37	1.42		9	0.34		18	0.69		2610	
	SECOND			1	11.11		0	0.00		1	11.11		0	0.00		0	0.00		0	0.00			Excluded		7	77.78		9	
		TOTAL		1158	44.37		200	7.66		260	9.96		917	35.13		13	0.50		37	1.42					25	0.96		2610	
	THIRD			5	20.00		6	24.00		2	8.00		6	24.00		1	4.00		5	20.00						Excluded		25	
		TOTAL		1163	44.56		206	7.89		262	10.04		923	35.36		14	0.54		42	1.61								2610	
	FOURTH			4	28.57		3	21.43		4	28.57		0	0.00			Excluded		3	21.43								14	
		TOTAL		1167	44.71		209	8.01		266	10.19		923	35.36					45	1.72								2610	
	FIFTH			14	31.11		11	24.44		9	20.00		11	24.44						Excluded								45	
		TOTAL		1181	45.25		220	8.43		275	10.54		934	35.79														2610	
	SIXTH			29	13.18			Excluded		146	66.36		45	20.45														220	
		TOTAL		1210	46.36					421	16.13		979	37.51														2610	
	SEVENTH			137	32.54						Excluded		284	67.46														421	
		TOTAL		1347	51.61								1263	48.39														2610	
				Elected																									
																													
Timbarra                                                       																													
	FIRST			1062	49.98		70	3.29		169	7.95		740	34.82		33	1.55		30	1.41		13	0.61		8	0.38		2125	
	SECOND			2	15.38		0	0.00		0	0.00		2	15.38		1	7.69		2	15.38			Excluded		6	46.15		13	
		TOTAL		1064	50.07		70	3.29		169	7.95		742	34.92		34	1.60		32	1.51					14	0.66		2125	
	THIRD			3	21.43		5	35.71		1	7.14		3	21.43		1	7.14		1	7.14						Excluded		14	
		TOTAL		1067	50.21		75	3.53		170	8.00		745	35.06		35	1.65		33	1.55								2125	
	FOURTH			18	51.43		2	5.71		6	17.14		6	17.14			Excluded		3	8.57								35	
		TOTAL		1085	51.06		77	3.62		176	8.28		751	35.34					36	1.69								2125	
	FIFTH			15	41.67		7	19.44		6	16.67		8	22.22						Excluded								36	
		TOTAL		1100	51.76		84	3.95		182	8.56		759	35.72														2125	
	SIXTH			15	17.86			Excluded		49	58.33		20	23.81														84	
		TOTAL		1115	52.47					231	10.87		779	36.66														2125	
	SEVENTH			83	35.93						Excluded		148	64.07														231	
		TOTAL		1198	56.38								927	43.62														2125	
				Elected																									
																													
Upwey                                                          																													
	FIRST			1369	38.42		431	12.10		351	9.85		1280	35.92		36	1.01		55	1.54		19	0.53		22	0.62		3563	
	SECOND			0	0.00		2	10.53		1	5.26		2	10.53		1	5.26		0	0.00			Excluded		13	68.42		19	
		TOTAL		1369	38.42		433	12.15		352	9.88		1282	35.98		37	1.04		55	1.54					35	0.98		3563	
	THIRD			6	17.14		5	14.29		8	22.86		6	17.14		3	8.57		7	20.00						Excluded		35	
		TOTAL		1375	38.59		438	12.29		360	10.10		1288	36.15		40	1.12		62	1.74								3563	
	FOURTH			22	55.00		2	5.00		6	15.00		7	17.50			Excluded		3	7.50								40	
		TOTAL		1397	39.21		440	12.35		366	10.27		1295	36.35					65	1.82								3563	
	FIFTH			17	26.15		15	23.08		7	10.77		26	40.00						Excluded								65	
		TOTAL		1414	39.69		455	12.77		373	10.47		1321	37.08														3563	
	SIXTH			47	10.33			Excluded		304	66.81		104	22.86														455	
		TOTAL		1461	41.00					677	19.00		1425	39.99														3563	
	SEVENTH			190	28.06						Excluded		487	71.94														677	
		TOTAL		1651	46.34								1912	53.66														3563	
				Elected																									
																													
Special Hospital Team 1                                        																													
	FIRST			217	70.92		3	0.98		7	2.29		75	24.51		0	0.00		1	0.33		3	0.98		0	0.00		306	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		217	70.92		3	0.98		7	2.29		75	24.51		1	0.33		2	0.65					1	0.33		306	
	THIRD			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		1	
		TOTAL		218	71.24		3	0.98		7	2.29		75	24.51		1	0.33		2	0.65								306	
	FOURTH			1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								1	
		TOTAL		219	71.57		3	0.98		7	2.29		75	24.51					2	0.65								306	
	FIFTH			2	100.00		0	0.00		0	0.00		0	0.00						Excluded								2	
		TOTAL		221	72.22		3	0.98		7	2.29		75	24.51														306	
	SIXTH			1	33.33			Excluded		1	33.33		1	33.33														3	
		TOTAL		222	72.55					8	2.61		76	24.84														306	
	SEVENTH			2	25.00						Excluded		6	75.00														8	
		TOTAL		224	73.20								82	26.80														306	
				Elected																									
																													
Special Hospital Team 2                                        																													
	FIRST			114	51.35		0	0.00		7	3.15		96	43.24		2	0.90		1	0.45		2	0.90		0	0.00		222	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	100.00		2	
		TOTAL		114	51.35		0	0.00		7	3.15		96	43.24		2	0.90		1	0.45					2	0.90		222	
	THIRD			2	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00						Excluded		2	
		TOTAL		116	52.25		0	0.00		7	3.15		96	43.24		2	0.90		1	0.45								222	
	FOURTH			2	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		118	53.15		0	0.00		7	3.15		96	43.24					1	0.45								222	
	FIFTH			1	100.00		0	0.00		0	0.00		0	0.00						Excluded								1	
		TOTAL		119	53.60		0	0.00		7	3.15		96	43.24														222	
	SIXTH			0	0.00			Excluded		0	0.00		0	0.00														0	
		TOTAL		119	53.60					7	3.15		96	43.24														222	
	SEVENTH			4	57.14						Excluded		3	42.86														7	
		TOTAL		123	55.41								99	44.59														222	
				Elected																									
																													
ABSENT																													
	FIRST			2437	44.55		493	9.01		509	9.31		1717	31.39		90	1.65		116	2.12		50	0.91		58	1.06		5470	
	SECOND			1	2.00		2	4.00		3	6.00		4	8.00		4	8.00		3	6.00			Excluded		33	66.00		50	
		TOTAL		2438	44.57		495	9.05		512	9.36		1721	31.46		94	1.72		119	2.18					91	1.66		5470	
	THIRD			18	19.78		18	19.78		13	14.29		13	14.29		2	2.20		27	29.67						Excluded		91	
		TOTAL		2456	44.90		513	9.38		525	9.60		1734	31.70		96	1.76		146	2.67								5470	
	FOURTH			47	48.96		9	9.38		16	16.67		15	15.63			Excluded		9	9.38								96	
		TOTAL		2503	45.76		522	9.54		541	9.89		1749	31.97					155	2.83								5470	
	FIFTH			51	32.90		22	14.19		29	18.71		53	34.19						Excluded								155	
		TOTAL		2554	46.69		544	9.95		570	10.42		1802	32.94														5470	
	SIXTH			98	18.01			Excluded		292	53.68		154	28.31														544	
		TOTAL		2652	48.48					862	15.76		1956	35.76														5470	
	SEVENTH			298	34.57						Excluded		564	65.43														862	
		TOTAL		2950	53.93								2520	46.07														5470	
				Elected																									
																													
POSTAL																													
	FIRST			2054	53.10		156	4.03		208	5.38		1312	33.92		29	0.75		72	1.86		21	0.54		16	0.41		3868	
	SECOND			3	14.29		1	4.76		0	0.00		1	4.76		0	0.00		0	0.00			Excluded		16	76.19		21	
		TOTAL		2057	53.18		157	4.06		208	5.38		1313	33.95		29	0.75		72	1.86					32	0.83		3868	
	THIRD			3	9.38		6	18.75		7	21.88		7	21.88		5	15.63		4	12.50						Excluded		32	
		TOTAL		2060	53.26		163	4.21		215	5.56		1320	34.13		34	0.88		76	1.96								3868	
	FOURTH			12	35.29		5	14.71		7	20.59		4	11.76			Excluded		6	17.65								34	
		TOTAL		2072	53.57		168	4.34		222	5.74		1324	34.23					82	2.12								3868	
	FIFTH			22	26.83		27	32.93		11	13.41		22	26.83						Excluded								82	
		TOTAL		2094	54.14		195	5.04		233	6.02		1346	34.80														3868	
	SIXTH			29	14.87			Excluded		106	54.36		60	30.77														195	
		TOTAL		2123	54.89					339	8.76		1406	36.35														3868	
	SEVENTH			121	35.69						Excluded		218	64.31														339	
		TOTAL		2244	58.01								1624	41.99														3868	
				Elected																									
																													
PRE POLL																													
	FIRST			1503	51.12		177	6.02		203	6.90		905	30.78		42	1.43		82	2.79		15	0.51		13	0.44		2940	
	SECOND			2	13.33		0	0.00		2	13.33		1	6.67		0	0.00		0	0.00			Excluded		10	66.67		15	
		TOTAL		1505	51.19		177	6.02		205	6.97		906	30.82		42	1.43		82	2.79					23	0.78		2940	
	THIRD			3	13.04		3	13.04		3	13.04		1	4.35		2	8.70		11	47.83						Excluded		23	
		TOTAL		1508	51.29		180	6.12		208	7.07		907	30.85		44	1.50		93	3.16								2940	
	FOURTH			19	43.18		5	11.36		7	15.91		7	15.91			Excluded		6	13.64								44	
		TOTAL		1527	51.94		185	6.29		215	7.31		914	31.09					99	3.37								2940	
	FIFTH			33	33.33		25	25.25		13	13.13		28	28.28						Excluded								99	
		TOTAL		1560	53.06		210	7.14		228	7.76		942	32.04														2940	
	SIXTH			51	24.29			Excluded		97	46.19		62	29.52														210	
		TOTAL		1611	54.80					325	11.05		1004	34.15														2940	
	SEVENTH			112	34.46						Excluded		213	65.54														325	
		TOTAL		1723	58.61								1217	41.39														2940	
				Elected																									
																													
PROVISIONAL																													
	FIRST			191	49.48		23	5.96		35	9.07		122	31.61		1	0.26		9	2.33		2	0.52		3	0.78		386	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		192	49.74		23	5.96		35	9.07		122	31.61		1	0.26		9	2.33					4	1.04		386	
	THIRD			1	25.00		0	0.00		2	50.00		0	0.00		1	25.00		0	0.00						Excluded		4	
		TOTAL		193	50.00		23	5.96		37	9.59		122	31.61		2	0.52		9	2.33								386	
	FOURTH			1	50.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00								2	
		TOTAL		194	50.26		23	5.96		38	9.84		122	31.61					9	2.33								386	
	FIFTH			4	44.44		2	22.22		1	11.11		2	22.22						Excluded								9	
		TOTAL		198	51.30		25	6.48		39	10.10		124	32.12														386	
	SIXTH			7	28.00			Excluded		12	48.00		6	24.00														25	
		TOTAL		205	53.11					51	13.21		130	33.68														386	
	SEVENTH			19	37.25						Excluded		32	62.75														51	
		TOTAL		224	58.03								162	41.97														386	
				Elected																									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
