House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences																															
By Polling Place																															
Bendigo																															
				GIBBONS			BARROW			ZEGERS			PASQUARELLI			LILLEY			SHARKEY			SMITH			RIVENDELL			ARNOLD			
		TOTAL		185	33.21					6	1.08					6	1.08		335	60.14		9	1.62		6	1.08		10	1.80		557
	FOURTH			1	10.00					0	0.00					1	10.00		7	70.00		0	0.00		1	10.00			Excluded		10
		TOTAL		186	33.39					6	1.08					7	1.26		342	61.40		9	1.62		7	1.26					557
	FIFTH			3	50.00						Excluded					1	16.67		2	33.33		0	0.00		0	0.00					6
		TOTAL		189	33.93											8	1.44		344	61.76		9	1.62		7	1.26					557
	SIXTH			2	22.22											1	11.11		6	66.67			Excluded		0	0.00					9
		TOTAL		191	34.29											9	1.62		350	62.84					7	1.26					557
	SEVENTH			4	44.44												Excluded		2	22.22					3	33.33					9
		TOTAL		195	35.01														352	63.20					10	1.80					557
	EIGHTH			6	60.00														4	40.00						Excluded					10
		TOTAL		201	36.09														356	63.91											557
				Elected																											
																															
Elphinstone                                                    																															
	FIRST			118	38.31		3	0.97		8	2.60		1	0.32		10	3.25		119	38.64		6	1.95		35	11.36		8	2.60		308
	SECOND			1	33.33			Excluded		2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3
		TOTAL		119	38.64					10	3.25		1	0.32		10	3.25		119	38.64		6	1.95		35	11.36		8	2.60		308
	THIRD			1	100.00					0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		120	38.96					10	3.25					10	3.25		119	38.64		6	1.95		35	11.36		8	2.60		308
	FOURTH			2	25.00					0	0.00					0	0.00		6	75.00		0	0.00		0	0.00			Excluded		8
		TOTAL		122	39.61					10	3.25					10	3.25		125	40.58		6	1.95		35	11.36					308
	FIFTH			2	20.00						Excluded					0	0.00		4	40.00		4	40.00		0	0.00					10
		TOTAL		124	40.26											10	3.25		129	41.88		10	3.25		35	11.36					308
	SIXTH			5	50.00											1	10.00		4	40.00			Excluded		0	0.00					10
		TOTAL		129	41.88											11	3.57		133	43.18					35	11.36					308
	SEVENTH			4	36.36												Excluded		1	9.09					6	54.55					11
		TOTAL		133	43.18														134	43.51					41	13.31					308
	EIGHTH			33	80.49														8	19.51						Excluded					41
		TOTAL		166	53.90														142	46.10											308
				Elected																											
																															
Eppalock                                                       																															
	FIRST			111	35.02		4	1.26		5	1.58		7	2.21		17	5.36		138	43.53		4	1.26		28	8.83		3	0.95		317
	SECOND			0	0.00			Excluded		2	50.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		111	35.02					7	2.21		7	2.21		17	5.36		140	44.16		4	1.26		28	8.83		3	0.95		317
	THIRD			0	0.00					6	85.71			Excluded		1	14.29		0	0.00		0	0.00		0	0.00		0	0.00		7
		TOTAL		111	35.02					13	4.10					18	5.68		140	44.16		4	1.26		28	8.83		3	0.95		317
	FOURTH			1	33.33					1	33.33					0	0.00		1	33.33		0	0.00		0	0.00			Excluded		3
		TOTAL		112	35.33					14	4.42					18	5.68		141	44.48		4	1.26		28	8.83					317
	FIFTH			2	14.29						Excluded					3	21.43		4	28.57		5	35.71		0	0.00					14
		TOTAL		114	35.96											21	6.62		145	45.74		9	2.84		28	8.83					317
	SIXTH			1	11.11											4	44.44		1	11.11			Excluded		3	33.33					9
		TOTAL		115	36.28											25	7.89		146	46.06					31	9.78					317
	SEVENTH			7	28.00												Excluded		5	20.00					13	52.00					25
		TOTAL		122	38.49														151	47.63					44	13.88					317
	EIGHTH			37	84.09														7	15.91						Excluded					44
		TOTAL		159	50.16														158	49.84											317
				Elected																											
																															
Epsom                                                          																															
	FIRST			455	40.16		9	0.79		28	2.47		16	1.41		18	1.59		530	46.78		27	2.38		32	2.82		18	1.59		1133
	SECOND			1	11.11			Excluded		5	55.56		2	22.22		0	0.00		0	0.00		1	11.11		0	0.00		0	0.00		9
		TOTAL		456	40.25					33	2.91		18	1.59		18	1.59		530	46.78		28	2.47		32	2.82		18	1.59		1133
	THIRD			3	16.67					6	33.33			Excluded		1	5.56		4	22.22		3	16.67		0	0.00		1	5.56		18
		TOTAL		459	40.51					39	3.44					19	1.68		534	47.13		31	2.74		32	2.82		19	1.68		1133
	FOURTH			2	10.53					3	15.79					0	0.00		13	68.42		1	5.26		0	0.00			Excluded		19
		TOTAL		461	40.69					42	3.71					19	1.68		547	48.28		32	2.82		32	2.82					1133
	FIFTH			2	4.76						Excluded					8	19.05		8	19.05		17	40.48		7	16.67					42
		TOTAL		463	40.86											27	2.38		555	48.98		49	4.32		39	3.44					1133
	SIXTH			15	30.61											2	4.08		19	38.78			Excluded		13	26.53					49
		TOTAL		478	42.19											29	2.56		574	50.66					52	4.59					1133
	SEVENTH			14	48.28												Excluded		5	17.24					10	34.48					29
		TOTAL		492	43.42														579	51.10					62	5.47					1133
	EIGHTH			42	67.74														20	32.26						Excluded					62
		TOTAL		534	47.13														599	52.87											1133
				Elected																											
																															
Flora Hill                                                     																															
	FIRST			838	37.15		18	0.80		39	1.73		17	0.75		110	4.88		994	44.06		20	0.89		140	6.21		80	3.55		2256
	SECOND			4	22.22			Excluded		2	11.11		1	5.56		1	5.56		9	50.00		0	0.00		1	5.56		0	0.00		18
		TOTAL		842	37.32					41	1.82		18	0.80		111	4.92		1003	44.46		20	0.89		141	6.25		80	3.55		2256
	THIRD			3	16.67					7	38.89			Excluded		1	5.56		3	16.67		2	11.11		0	0.00		2	11.11		18
		TOTAL		845	37.46					48	2.13					112	4.96		1006	44.59		22	0.98		141	6.25		82	3.63		2256
	FOURTH			4	4.88					2	2.44					1	1.22		64	78.05		2	2.44		9	10.98			Excluded		82
		TOTAL		849	37.63					50	2.22					113	5.01		1070	47.43		24	1.06		150	6.65					2256
	FIFTH			11	22.00						Excluded					12	24.00		6	12.00		14	28.00		7	14.00					50
		TOTAL		860	38.12											125	5.54		1076	47.70		38	1.68		157	6.96					2256
	SIXTH			12	31.58											6	15.79		15	39.47			Excluded		5	13.16					38
		TOTAL		872	38.65											131	5.81		1091	48.36					162	7.18					2256
	SEVENTH			32	24.43												Excluded		14	10.69					85	64.89					131
		TOTAL		904	40.07														1105	48.98					247	10.95					2256
	EIGHTH			204	82.59														43	17.41						Excluded					247
		TOTAL		1108	49.11														1148	50.89											2256
				Elected																											
																															
Golden Square                                                  																															
	FIRST			1471	45.90		33	1.03		68	2.12		38	1.19		118	3.68		1158	36.13		75	2.34		158	4.93		86	2.68		3205
	SECOND			13	39.39			Excluded		4	12.12		2	6.06		2	6.06		10	30.30		2	6.06		0	0.00		0	0.00		33
		TOTAL		1484	46.30					72	2.25		40	1.25		120	3.74		1168	36.44		77	2.40		158	4.93		86	2.68		3205
	THIRD			6	15.00					21	52.50			Excluded		1	2.50		8	20.00		2	5.00		1	2.50		1	2.50		40
		TOTAL		1490	46.49					93	2.90					121	3.78		1176	36.69		79	2.46		159	4.96		87	2.71		3205
	FOURTH			9	10.34					6	6.90					3	3.45		62	71.26		2	2.30		5	5.75			Excluded		87
		TOTAL		1499	46.77					99	3.09					124	3.87		1238	38.63		81	2.53		164	5.12					3205
	FIFTH			17	17.17						Excluded					16	16.16		31	31.31		32	32.32		3	3.03					99
		TOTAL		1516	47.30											140	4.37		1269	39.59		113	3.53		167	5.21					3205
	SIXTH			26	23.01											10	8.85		58	51.33			Excluded		19	16.81					113
		TOTAL		1542	48.11											150	4.68		1327	41.40					186	5.80					3205
	SEVENTH			31	20.67												Excluded		23	15.33					96	64.00					150
		TOTAL		1573	49.08														1350	42.12					282	8.80					3205
	EIGHTH			232	82.27														50	17.73						Excluded					282
		TOTAL		1805	56.32														1400	43.68											3205
				Elected																											
																															
Golden Square South                                            																															
	FIRST			528	41.97		10	0.79		23	1.83		11	0.87		19	1.51		572	45.47		21	1.67		43	3.42		31	2.46		1258
	SECOND			2	20.00			Excluded		1	10.00		2	20.00		0	0.00		5	50.00		0	0.00		0	0.00		0	0.00		10
		TOTAL		530	42.13					24	1.91		13	1.03		19	1.51		577	45.87		21	1.67		43	3.42		31	2.46		1258
	THIRD			1	7.69					6	46.15			Excluded		1	7.69		2	15.38		2	15.38		1	7.69		0	0.00		13
		TOTAL		531	42.21					30	2.38					20	1.59		579	46.03		23	1.83		44	3.50		31	2.46		1258
	FOURTH			3	9.68					1	3.23					1	3.23		25	80.65		0	0.00		1	3.23			Excluded		31
		TOTAL		534	42.45					31	2.46					21	1.67		604	48.01		23	1.83		45	3.58					1258
	FIFTH			9	29.03						Excluded					3	9.68		9	29.03		8	25.81		2	6.45					31
		TOTAL		543	43.16											24	1.91		613	48.73		31	2.46		47	3.74					1258
	SIXTH			9	29.03											4	12.90		10	32.26			Excluded		8	25.81					31
		TOTAL		552	43.88											28	2.23		623	49.52					55	4.37					1258
	SEVENTH			16	57.14												Excluded		3	10.71					9	32.14					28
		TOTAL		568	45.15														626	49.76					64	5.09					1258
	EIGHTH			46	71.88														18	28.13						Excluded					64
		TOTAL		614	48.81														644	51.19											1258
				Elected																											
																															
Goornong                                                       																															
	FIRST			103	34.80		1	0.34		6	2.03		4	1.35		7	2.36		157	53.04		9	3.04		6	2.03		3	1.01		296
	SECOND			1	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		104	35.14					6	2.03		4	1.35		7	2.36		157	53.04		9	3.04		6	2.03		3	1.01		296
	THIRD			0	0.00					3	75.00			Excluded		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		104	35.14					9	3.04					7	2.36		158	53.38		9	3.04		6	2.03		3	1.01		296
	FOURTH			0	0.00					0	0.00					0	0.00		3	100.00		0	0.00		0	0.00			Excluded		3
		TOTAL		104	35.14					9	3.04					7	2.36		161	54.39		9	3.04		6	2.03					296
	FIFTH			3	33.33						Excluded					1	11.11		5	55.56		0	0.00		0	0.00					9
		TOTAL		107	36.15											8	2.70		166	56.08		9	3.04		6	2.03					296
	SIXTH			2	22.22											2	22.22		3	33.33			Excluded		2	22.22					9
		TOTAL		109	36.82											10	3.38		169	57.09					8	2.70					296
	SEVENTH			3	30.00												Excluded		3	30.00					4	40.00					10
		TOTAL		112	37.84														172	58.11					12	4.05					296
	EIGHTH			8	66.67														4	33.33						Excluded					12
		TOTAL		120	40.54														176	59.46											296
				Elected																											
																															
Guildford                                                      																															
	FIRST			82	35.96		5	2.19		0	0.00		5	2.19		5	2.19		74	32.46		5	2.19		43	18.86		9	3.95		228
	SECOND			1	20.00			Excluded		0	0.00		0	0.00		0	0.00		4	80.00		0	0.00		0	0.00		0	0.00		5
		TOTAL		83	36.40					0	0.00		5	2.19		5	2.19		78	34.21		5	2.19		43	18.86		9	3.95		228
	THIRD			1	20.00					0	0.00			Excluded		0	0.00		3	60.00		1	20.00		0	0.00		0	0.00		5
		TOTAL		84	36.84					0	0.00					5	2.19		81	35.53		6	2.63		43	18.86		9	3.95		228
	FOURTH			2	22.22					0	0.00					0	0.00		7	77.78		0	0.00		0	0.00			Excluded		9
		TOTAL		86	37.72					0	0.00					5	2.19		88	38.60		6	2.63		43	18.86					228
	FIFTH			0	0.00						Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		86	37.72											5	2.19		88	38.60		6	2.63		43	18.86					228
	SIXTH			3	50.00											0	0.00		2	33.33			Excluded		1	16.67					6
		TOTAL		89	39.04											5	2.19		90	39.47					44	19.30					228
	SEVENTH			4	80.00												Excluded		0	0.00					1	20.00					5
		TOTAL		93	40.79														90	39.47					45	19.74					228
	EIGHTH			43	95.56														2	4.44						Excluded					45
		TOTAL		136	59.65														92	40.35											228
				Elected																											
																															
Harcourt                                                       																															
	FIRST			333	41.57		2	0.25		14	1.75		8	1.00		34	4.24		295	36.83		23	2.87		62	7.74		30	3.75		801
	SECOND			0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2
		TOTAL		333	41.57					15	1.87		9	1.12		34	4.24		295	36.83		23	2.87		62	7.74		30	3.75		801
	THIRD			3	33.33					3	33.33			Excluded		0	0.00		0	0.00		2	22.22		0	0.00		1	11.11		9
		TOTAL		336	41.95					18	2.25					34	4.24		295	36.83		25	3.12		62	7.74		31	3.87		801
	FOURTH			1	3.23					5	16.13					2	6.45		21	67.74		0	0.00		2	6.45			Excluded		31
		TOTAL		337	42.07					23	2.87					36	4.49		316	39.45		25	3.12		64	7.99					801
	FIFTH			6	26.09						Excluded					2	8.70		6	26.09		6	26.09		3	13.04					23
		TOTAL		343	42.82											38	4.74		322	40.20		31	3.87		67	8.36					801
	SIXTH			2	6.45											3	9.68		16	51.61			Excluded		10	32.26					31
		TOTAL		345	43.07											41	5.12		338	42.20					77	9.61					801
	SEVENTH			19	46.34												Excluded		6	14.63					16	39.02					41
		TOTAL		364	45.44														344	42.95					93	11.61					801
	EIGHTH			71	76.34														22	23.66						Excluded					93
		TOTAL		435	54.31														366	45.69											801
				Elected																											
																															
Heathcote                                                      																															
	FIRST			809	45.20		24	1.34		22	1.23		31	1.73		24	1.34		677	37.82		87	4.86		80	4.47		36	2.01		1790
	SECOND			5	20.83			Excluded		1	4.17		0	0.00		0	0.00		13	54.17		5	20.83		0	0.00		0	0.00		24
		TOTAL		814	45.47					23	1.28		31	1.73		24	1.34		690	38.55		92	5.14		80	4.47		36	2.01		1790
	THIRD			7	22.58					11	35.48			Excluded		3	9.68		7	22.58		1	3.23		1	3.23		1	3.23		31
		TOTAL		821	45.87					34	1.90					27	1.51		697	38.94		93	5.20		81	4.53		37	2.07		1790
	FOURTH			6	16.22					0	0.00					0	0.00		28	75.68		0	0.00		3	8.11			Excluded		37
		TOTAL		827	46.20					34	1.90					27	1.51		725	40.50		93	5.20		84	4.69					1790
	FIFTH			6	17.65						Excluded					3	8.82		11	32.35		12	35.29		2	5.88					34
		TOTAL		833	46.54											30	1.68		736	41.12		105	5.87		86	4.80					1790
	SIXTH			29	27.62											6	5.71		54	51.43			Excluded		16	15.24					105
		TOTAL		862	48.16											36	2.01		790	44.13					102	5.70					1790
	SEVENTH			18	50.00												Excluded		10	27.78					8	22.22					36
		TOTAL		880	49.16														800	44.69					110	6.15					1790
	EIGHTH			87	79.09														23	20.91						Excluded					110
		TOTAL		967	54.02														823	45.98											1790
				Elected																											
																															
Huntly                                                         																															
	FIRST			398	38.83		8	0.78		20	1.95		22	2.15		30	2.93		461	44.98		38	3.71		16	1.56		32	3.12		1025
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		1	12.50		6	75.00		0	0.00		0	0.00		1	12.50		8
		TOTAL		398	38.83					20	1.95		22	2.15		31	3.02		467	45.56		38	3.71		16	1.56		33	3.22		1025
	THIRD			3	13.64					15	68.18			Excluded		0	0.00		2	9.09		1	4.55		1	4.55		0	0.00		22
		TOTAL		401	39.12					35	3.41					31	3.02		469	45.76		39	3.80		17	1.66		33	3.22		1025
	FOURTH			0	0.00					1	3.03					2	6.06		29	87.88		0	0.00		1	3.03			Excluded		33
		TOTAL		401	39.12					36	3.51					33	3.22		498	48.59		39	3.80		18	1.76					1025
	FIFTH			6	16.67						Excluded					3	8.33		11	30.56		11	30.56		5	13.89					36
		TOTAL		407	39.71											36	3.51		509	49.66		50	4.88		23	2.24					1025
	SIXTH			15	30.00											6	12.00		17	34.00			Excluded		12	24.00					50
		TOTAL		422	41.17											42	4.10		526	51.32					35	3.41					1025
	SEVENTH			15	35.71												Excluded		10	23.81					17	40.48					42
		TOTAL		437	42.63														536	52.29					52	5.07					1025
	EIGHTH			30	57.69														22	42.31						Excluded					52
		TOTAL		467	45.56														558	54.44											1025
				Elected																											
																															
Inglewood                                                      																															
	FIRST			265	38.97		5	0.74		21	3.09		17	2.50		10	1.47		323	47.50		15	2.21		9	1.32		15	2.21		680
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		3	60.00		2	40.00		0	0.00		0	0.00		5
		TOTAL		265	38.97					21	3.09		17	2.50		10	1.47		326	47.94		17	2.50		9	1.32		15	2.21		680
	THIRD			3	17.65					10	58.82			Excluded		0	0.00		1	5.88		3	17.65		0	0.00		0	0.00		17
		TOTAL		268	39.41					31	4.56					10	1.47		327	48.09		20	2.94		9	1.32		15	2.21		680
	FOURTH			0	0.00					0	0.00					1	6.67		12	80.00		2	13.33		0	0.00			Excluded		15
		TOTAL		268	39.41					31	4.56					11	1.62		339	49.85		22	3.24		9	1.32					680
	FIFTH			3	9.68						Excluded					2	6.45		9	29.03		15	48.39		2	6.45					31
		TOTAL		271	39.85											13	1.91		348	51.18		37	5.44		11	1.62					680
	SIXTH			16	43.24											2	5.41		14	37.84			Excluded		5	13.51					37
		TOTAL		287	42.21											15	2.21		362	53.24					16	2.35					680
	SEVENTH			6	40.00												Excluded		3	20.00					6	40.00					15
		TOTAL		293	43.09														365	53.68					22	3.24					680
	EIGHTH			12	54.55														10	45.45						Excluded					22
		TOTAL		305	44.85														375	55.15											680
				Elected																											
																															
Ironbark                                                       																															
	FIRST			545	50.09		4	0.37		17	1.56		9	0.83		33	3.03		347	31.89		17	1.56		93	8.55		23	2.11		1088
	SECOND			2	50.00			Excluded		0	0.00		0	0.00		0	0.00		2	50.00		0	0.00		0	0.00		0	0.00		4
		TOTAL		547	50.28					17	1.56		9	0.83		33	3.03		349	32.08		17	1.56		93	8.55		23	2.11		1088
	THIRD			3	33.33					4	44.44			Excluded		1	11.11		0	0.00		0	0.00		1	11.11		0	0.00		9
		TOTAL		550	50.55					21	1.93					34	3.13		349	32.08		17	1.56		94	8.64		23	2.11		1088
	FOURTH			4	17.39					1	4.35					0	0.00		17	73.91		0	0.00		1	4.35			Excluded		23
		TOTAL		554	50.92					22	2.02					34	3.13		366	33.64		17	1.56		95	8.73					1088
	FIFTH			1	4.55						Excluded					3	13.64		5	22.73		9	40.91		4	18.18					22
		TOTAL		555	51.01											37	3.40		371	34.10		26	2.39		99	9.10					1088
	SIXTH			6	23.08											6	23.08		9	34.62			Excluded		5	19.23					26
		TOTAL		561	51.56											43	3.95		380	34.93					104	9.56					1088
	SEVENTH			14	32.56												Excluded		7	16.28					22	51.16					43
		TOTAL		575	52.85														387	35.57					126	11.58					1088
	EIGHTH			107	84.92														19	15.08						Excluded					126
		TOTAL		682	62.68														406	37.32											1088
				Elected																											
																															
Jobs Gully                                                     																															
	FIRST			746	56.26		24	1.81		27	2.04		12	0.90		34	2.56		372	28.05		33	2.49		41	3.09		37	2.79		1326
	SECOND			2	8.33			Excluded		2	8.33		1	4.17		0	0.00		18	75.00		0	0.00		0	0.00		1	4.17		24
		TOTAL		748	56.41					29	2.19		13	0.98		34	2.56		390	29.41		33	2.49		41	3.09		38	2.87		1326
	THIRD			1	7.69					8	61.54			Excluded		0	0.00		3	23.08		0	0.00		1	7.69		0	0.00		13
		TOTAL		749	56.49					37	2.79					34	2.56		393	29.64		33	2.49		42	3.17		38	2.87		1326
	FOURTH			8	21.05					4	10.53					1	2.63		24	63.16		0	0.00		1	2.63			Excluded		38
		TOTAL		757	57.09					41	3.09					35	2.64		417	31.45		33	2.49		43	3.24					1326
	FIFTH			10	24.39						Excluded					5	12.20		7	17.07		15	36.59		4	9.76					41
		TOTAL		767	57.84											40	3.02		424	31.98		48	3.62		47	3.54					1326
	SIXTH			12	25.00											5	10.42		18	37.50			Excluded		13	27.08					48
		TOTAL		779	58.75											45	3.39		442	33.33					60	4.52					1326
	SEVENTH			17	37.78												Excluded		4	8.89					24	53.33					45
		TOTAL		796	60.03														446	33.63					84	6.33					1326
	EIGHTH			63	75.00														21	25.00						Excluded					84
		TOTAL		859	64.78														467	35.22											1326
				Elected																											
																															
Junortoun                                                      																															
	FIRST			231	40.60		0	0.00		10	1.76		6	1.05		10	1.76		287	50.44		3	0.53		19	3.34		3	0.53		569
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		231	40.60					10	1.76		6	1.05		10	1.76		287	50.44		3	0.53		19	3.34		3	0.53		569
	THIRD			2	33.33					3	50.00			Excluded		0	0.00		1	16.67		0	0.00		0	0.00		0	0.00		6
		TOTAL		233	40.95					13	2.28					10	1.76		288	50.62		3	0.53		19	3.34		3	0.53		569
	FOURTH			0	0.00					0	0.00					0	0.00		2	66.67		0	0.00		1	33.33			Excluded		3
		TOTAL		233	40.95					13	2.28					10	1.76		290	50.97		3	0.53		20	3.51					569
	FIFTH			4	30.77						Excluded					2	15.38		2	15.38		5	38.46		0	0.00					13
		TOTAL		237	41.65											12	2.11		292	51.32		8	1.41		20	3.51					569
	SIXTH			2	25.00											2	25.00		4	50.00			Excluded		0	0.00					8
		TOTAL		239	42.00											14	2.46		296	52.02					20	3.51					569
	SEVENTH			7	50.00												Excluded		2	14.29					5	35.71					14
		TOTAL		246	43.23														298	52.37					25	4.39					569
	EIGHTH			20	80.00														5	20.00						Excluded					25
		TOTAL		266	46.75														303	53.25											569
				Elected																											
																															
Kangaroo Flat                                                  																															
	FIRST			1662	46.32		29	0.81		83	2.31		45	1.25		114	3.18		1388	38.68		100	2.79		111	3.09		56	1.56		3588
	SECOND			6	20.69			Excluded		2	6.90		2	6.90		1	3.45		11	37.93		5	17.24		1	3.45		1	3.45		29
		TOTAL		1668	46.49					85	2.37		47	1.31		115	3.21		1399	38.99		105	2.93		112	3.12		57	1.59		3588
	THIRD			8	17.02					25	53.19			Excluded		5	10.64		6	12.77		3	6.38		0	0.00		0	0.00		47
		TOTAL		1676	46.71					110	3.07					120	3.34		1405	39.16		108	3.01		112	3.12		57	1.59		3588
	FOURTH			6	10.53					3	5.26					4	7.02		35	61.40		3	5.26		6	10.53			Excluded		57
		TOTAL		1682	46.88					113	3.15					124	3.46		1440	40.13		111	3.09		118	3.29					3588
	FIFTH			24	21.24						Excluded					15	13.27		23	20.35		45	39.82		6	5.31					113
		TOTAL		1706	47.55											139	3.87		1463	40.77		156	4.35		124	3.46					3588
	SIXTH			46	29.49											17	10.90		67	42.95			Excluded		26	16.67					156
		TOTAL		1752	48.83											156	4.35		1530	42.64					150	4.18					3588
	SEVENTH			43	27.56												Excluded		28	17.95					85	54.49					156
		TOTAL		1795	50.03														1558	43.42					235	6.55					3588
	EIGHTH			181	77.02														54	22.98						Excluded					235
		TOTAL		1976	55.07														1612	44.93											3588
				Elected																											
																															
Kangaroo Flat South                                            																															
	FIRST			576	45.97		7	0.56		10	0.80		16	1.28		34	2.71		488	38.95		27	2.15		55	4.39		40	3.19		1253
	SECOND			2	28.57			Excluded		2	28.57		1	14.29		0	0.00		1	14.29		1	14.29		0	0.00		0	0.00		7
		TOTAL		578	46.13					12	0.96		17	1.36		34	2.71		489	39.03		28	2.23		55	4.39		40	3.19		1253
	THIRD			5	29.41					2	11.76			Excluded		1	5.88		4	23.53		5	29.41		0	0.00		0	0.00		17
		TOTAL		583	46.53					14	1.12					35	2.79		493	39.35		33	2.63		55	4.39		40	3.19		1253
	FOURTH			7	17.50					1	2.50					1	2.50		28	70.00		0	0.00		3	7.50			Excluded		40
		TOTAL		590	47.09					15	1.20					36	2.87		521	41.58		33	2.63		58	4.63					1253
	FIFTH			3	20.00						Excluded					4	26.67		0	0.00		3	20.00		5	33.33					15
		TOTAL		593	47.33											40	3.19		521	41.58		36	2.87		63	5.03					1253
	SIXTH			11	30.56											7	19.44		12	33.33			Excluded		6	16.67					36
		TOTAL		604	48.20											47	3.75		533	42.54					69	5.51					1253
	SEVENTH			14	29.79												Excluded		14	29.79					19	40.43					47
		TOTAL		618	49.32														547	43.66					88	7.02					1253
	EIGHTH			62	70.45														26	29.55						Excluded					88
		TOTAL		680	54.27														573	45.73											1253
				Elected																											
																															
Kennington                                                     																															
	FIRST			513	40.94		13	1.04		13	1.04		8	0.64		41	3.27		556	44.37		19	1.52		67	5.35		23	1.84		1253
	SECOND			2	15.38			Excluded		0	0.00		1	7.69		0	0.00		9	69.23		0	0.00		0	0.00		1	7.69		13
		TOTAL		515	41.10					13	1.04		9	0.72		41	3.27		565	45.09		19	1.52		67	5.35		24	1.92		1253
	THIRD			2	22.22					4	44.44			Excluded		0	0.00		3	33.33		0	0.00		0	0.00		0	0.00		9
		TOTAL		517	41.26					17	1.36					41	3.27		568	45.33		19	1.52		67	5.35		24	1.92		1253
	FOURTH			4	16.67					0	0.00					1	4.17		14	58.33		3	12.50		2	8.33			Excluded		24
		TOTAL		521	41.58					17	1.36					42	3.35		582	46.45		22	1.76		69	5.51					1253
	FIFTH			1	5.88						Excluded					6	35.29		2	11.76		8	47.06		0	0.00					17
		TOTAL		522	41.66											48	3.83		584	46.61		30	2.39		69	5.51					1253
	SIXTH			10	33.33											5	16.67		12	40.00			Excluded		3	10.00					30
		TOTAL		532	42.46											53	4.23		596	47.57					72	5.75					1253
	SEVENTH			21	39.62												Excluded		10	18.87					22	41.51					53
		TOTAL		553	44.13														606	48.36					94	7.50					1253
	EIGHTH			82	87.23														12	12.77						Excluded					94
		TOTAL		635	50.68														618	49.32											1253
				Elected																											
																															
Korong Vale                                                    																															
	FIRST			78	39.20		0	0.00		1	0.50		4	2.01		1	0.50		103	51.76		7	3.52		5	2.51		0	0.00		199
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		78	39.20					1	0.50		4	2.01		1	0.50		103	51.76		7	3.52		5	2.51		0	0.00		199
	THIRD			0	0.00					3	75.00			Excluded		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00		4
		TOTAL		78	39.20					4	2.01					1	0.50		103	51.76		7	3.52		6	3.02		0	0.00		199
	FOURTH			0	0.00					0	0.00					0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		78	39.20					4	2.01					1	0.50		103	51.76		7	3.52		6	3.02					199
	FIFTH			3	75.00						Excluded					0	0.00		0	0.00		1	25.00		0	0.00					4
		TOTAL		81	40.70											1	0.50		103	51.76		8	4.02		6	3.02					199
	SIXTH			1	12.50											1	12.50		4	50.00			Excluded		2	25.00					8
		TOTAL		82	41.21											2	1.01		107	53.77					8	4.02					199
	SEVENTH			1	50.00												Excluded		0	0.00					1	50.00					2
		TOTAL		83	41.71														107	53.77					9	4.52					199
	EIGHTH			7	77.78														2	22.22						Excluded					9
		TOTAL		90	45.23														109	54.77											199
				Elected																											
																															
Laanecoorie                                                    																															
	FIRST			34	25.56		0	0.00		0	0.00		1	0.75		1	0.75		80	60.15		5	3.76		6	4.51		6	4.51		133
	SECOND			0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0
		TOTAL		34	25.56					0	0.00		1	0.75		1	0.75		80	60.15		5	3.76		6	4.51		6	4.51		133
	THIRD			0	0.00					0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1
		TOTAL		34	25.56					0	0.00					1	0.75		81	60.90		5	3.76		6	4.51		6	4.51		133
	FOURTH			0	0.00					0	0.00					0	0.00		5	83.33		0	0.00		1	16.67			Excluded		6
		TOTAL		34	25.56					0	0.00					1	0.75		86	64.66		5	3.76		7	5.26					133
	FIFTH			0	0.00						Excluded					0	0.00		0	0.00		0	0.00		0	0.00					0
		TOTAL		34	25.56											1	0.75		86	64.66		5	3.76		7	5.26					133
	SIXTH			2	40.00											1	20.00		1	20.00			Excluded		1	20.00					5
		TOTAL		36	27.07											2	1.50		87	65.41					8	6.02					133
	SEVENTH			0	0.00												Excluded		0	0.00					2	100.00					2
		TOTAL		36	27.07														87	65.41					10	7.52					133
	EIGHTH			8	80.00														2	20.00						Excluded					10
		TOTAL		44	33.08														89	66.92											133
				Elected																											
																															
Lockwood                                                       																															
