House of Representatives - 2001 Election: Victoria																															
Distribution of Preferences 																															
By Polling Place																															
Calwell																															
				ABBOTTO			THEOPHANOUS			BOCHI			LIVESAY			VAMVAKINOU			YOHANNA			BARKER			DERVISH			BULLER			
	FIRST			44	2.30		193	10.08		7	0.37		66	3.45		832	43.45		3	0.16		61	3.19		55	2.87		654	34.15		1915
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	66.67		1	33.33		3
		TOTAL		44	2.30		193	10.08		7	0.37		66	3.45		832	43.45					61	3.19		57	2.98		655	34.20		1915
	THIRD			1	14.29		2	28.57			Excluded		1	14.29		2	28.57					1	14.29		0	0.00		0	0.00		7
		TOTAL		45	2.35		195	10.18					67	3.50		834	43.55					62	3.24		57	2.98		655	34.20		1915
	FOURTH			37	64.91		2	3.51					4	7.02		2	3.51					5	8.77			Excluded		7	12.28		57
		TOTAL		82	4.28		197	10.29					71	3.71		836	43.66					67	3.50					662	34.57		1915
	FIFTH			6	8.96		7	10.45					22	32.84		30	44.78						Excluded					2	2.99		67
		TOTAL		88	4.60		204	10.65					93	4.86		866	45.22											664	34.67		1915
	SIXTH				Excluded		54	61.36					12	13.64		17	19.32											5	5.68		88
		TOTAL					258	13.47					105	5.48		883	46.11											669	34.93		1915
	SEVENTH						29	27.62						Excluded		48	45.71											28	26.67		105
		TOTAL					287	14.99								931	48.62											697	36.40		1915
	EIGHTH							Excluded								161	56.10											126	43.90		287
		TOTAL														1092	57.02											823	42.98		1915
																Elected															
																															
Roxburgh Park (Calwell)                                        																															
	FIRST			73	2.76		265	10.03		22	0.83		96	3.63		1493	56.53		18	0.68		52	1.97		77	2.92		545	20.64		2641
	SECOND			2	11.11		4	22.22		0	0.00		1	5.56		3	16.67			Excluded		3	16.67		3	16.67		2	11.11		18
		TOTAL		75	2.84		269	10.19		22	0.83		97	3.67		1496	56.65					55	2.08		80	3.03		547	20.71		2641
	THIRD			0	0.00		13	59.09			Excluded		2	9.09		2	9.09					1	4.55		3	13.64		1	4.55		22
		TOTAL		75	2.84		282	10.68					99	3.75		1498	56.72					56	2.12		83	3.14		548	20.75		2641
	FOURTH			17	20.48		10	12.05					4	4.82		17	20.48					22	26.51			Excluded		13	15.66		83
		TOTAL		92	3.48		292	11.06					103	3.90		1515	57.36					78	2.95					561	21.24		2641
	FIFTH			11	14.10		9	11.54					26	33.33		22	28.21						Excluded					10	12.82		78
		TOTAL		103	3.90		301	11.40					129	4.88		1537	58.20											571	21.62		2641
	SIXTH				Excluded		60	58.25					17	16.50		18	17.48											8	7.77		103
		TOTAL					361	13.67					146	5.53		1555	58.88											579	21.92		2641
	SEVENTH						56	38.36						Excluded		66	45.21											24	16.44		146
		TOTAL					417	15.79								1621	61.38											603	22.83		2641
	EIGHTH							Excluded								336	80.58											81	19.42		417
		TOTAL														1957	74.10											684	25.90		2641
																Elected															
																															
Sydenham                                                       																															
	FIRST			194	3.18		702	11.50		27	0.44		305	5.00		2947	48.30		11	0.18		173	2.84		64	1.05		1679	27.52		6102
	SECOND			0	0.00		3	27.27		1	9.09		1	9.09		5	45.45			Excluded		0	0.00		0	0.00		1	9.09		11
		TOTAL		194	3.18		705	11.55		28	0.46		306	5.01		2952	48.38					173	2.84		64	1.05		1680	27.53		6102
	THIRD			3	10.71		5	17.86			Excluded		6	21.43		11	39.29					2	7.14		1	3.57		0	0.00		28
		TOTAL		197	3.23		710	11.64					312	5.11		2963	48.56					175	2.87		65	1.07		1680	27.53		6102
	FOURTH			17	26.15		11	16.92					4	6.15		8	12.31					8	12.31			Excluded		17	26.15		65
		TOTAL		214	3.51		721	11.82					316	5.18		2971	48.69					183	3.00					1697	27.81		6102
	FIFTH			20	10.93		75	40.98					29	15.85		35	19.13						Excluded					24	13.11		183
		TOTAL		234	3.83		796	13.04					345	5.65		3006	49.26											1721	28.20		6102
	SIXTH				Excluded		106	45.30					29	12.39		68	29.06											31	13.25		234
		TOTAL					902	14.78					374	6.13		3074	50.38											1752	28.71		6102
	SEVENTH						151	40.37						Excluded		173	46.26											50	13.37		374
		TOTAL					1053	17.26								3247	53.21											1802	29.53		6102
	EIGHTH							Excluded								708	67.24											345	32.76		1053
		TOTAL														3955	64.81											2147	35.19		6102
																Elected															
																															
Sydenham East                                                  																															
	FIRST			30	2.80		157	14.66		1	0.09		33	3.08		550	51.35		1	0.09		11	1.03		23	2.15		265	24.74		1071
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		1
		TOTAL		30	2.80		157	14.66		1	0.09		33	3.08		550	51.35					11	1.03		24	2.24		265	24.74		1071
	THIRD			0	0.00		1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00		1
		TOTAL		30	2.80		158	14.75					33	3.08		550	51.35					11	1.03		24	2.24		265	24.74		1071
	FOURTH			9	37.50		3	12.50					2	8.33		3	12.50					3	12.50			Excluded		4	16.67		24
		TOTAL		39	3.64		161	15.03					35	3.27		553	51.63					14	1.31					269	25.12		1071
	FIFTH			2	14.29		3	21.43					5	35.71		2	14.29						Excluded					2	14.29		14
		TOTAL		41	3.83		164	15.31					40	3.73		555	51.82											271	25.30		1071
	SIXTH				Excluded		21	51.22					9	21.95		6	14.63											5	12.20		41
		TOTAL					185	17.27					49	4.58		561	52.38											276	25.77		1071
	SEVENTH						18	36.73						Excluded		26	53.06											5	10.20		49
		TOTAL					203	18.95								587	54.81											281	26.24		1071
	EIGHTH							Excluded								120	59.11											83	40.89		203
		TOTAL														707	66.01											364	33.99		1071
																Elected															
																															
Taylors Lakes                                                  																															
	FIRST			160	2.81		688	12.09		17	0.30		339	5.96		2560	45.00		11	0.19		118	2.07		45	0.79		1751	30.78		5689
	SECOND			0	0.00		3	27.27		3	27.27		0	0.00		3	27.27			Excluded		1	9.09		0	0.00		1	9.09		11
		TOTAL		160	2.81		691	12.15		20	0.35		339	5.96		2563	45.05					119	2.09		45	0.79		1752	30.80		5689
	THIRD			3	15.00		4	20.00			Excluded		4	20.00		4	20.00					3	15.00		2	10.00		0	0.00		20
		TOTAL		163	2.87		695	12.22					343	6.03		2567	45.12					122	2.14		47	0.83		1752	30.80		5689
	FOURTH			8	17.02		9	19.15					7	14.89		6	12.77					8	17.02			Excluded		9	19.15		47
		TOTAL		171	3.01		704	12.37					350	6.15		2573	45.23					130	2.29					1761	30.95		5689
	FIFTH			24	18.46		46	35.38					24	18.46		18	13.85						Excluded					18	13.85		130
		TOTAL		195	3.43		750	13.18					374	6.57		2591	45.54											1779	31.27		5689
	SIXTH				Excluded		97	49.74					0	0.00		62	31.79											36	18.46		195
		TOTAL					847	14.89					374	6.57		2653	46.63											1815	31.90		5689
	SEVENTH						113	30.21						Excluded		217	58.02											44	11.76		374
		TOTAL					960	16.87								2870	50.45											1859	32.68		5689
	EIGHTH							Excluded								602	62.71											358	37.29		960
		TOTAL														3472	61.03											2217	38.97		5689
																Elected															
																															
Taylors Lakes North                                            																															
	FIRST			46	2.52		233	12.79		7	0.38		70	3.84		875	48.02		5	0.27		28	1.54		13	0.71		545	29.91		1822
	SECOND			0	0.00		0	0.00		0	0.00		1	20.00		2	40.00			Excluded		0	0.00		2	40.00		0	0.00		5
		TOTAL		46	2.52		233	12.79		7	0.38		71	3.90		877	48.13					28	1.54		15	0.82		545	29.91		1822
	THIRD			2	28.57		1	14.29			Excluded		0	0.00		2	28.57					0	0.00		2	28.57		0	0.00		7
		TOTAL		48	2.63		234	12.84					71	3.90		879	48.24					28	1.54		17	0.93		545	29.91		1822
	FOURTH			2	11.76		4	23.53					1	5.88		0	0.00					3	17.65			Excluded		7	41.18		17
		TOTAL		50	2.74		238	13.06					72	3.95		879	48.24					31	1.70					552	30.30		1822
	FIFTH			3	9.68		5	16.13					12	38.71		7	22.58						Excluded					4	12.90		31
		TOTAL		53	2.91		243	13.34					84	4.61		886	48.63											556	30.52		1822
	SIXTH				Excluded		26	49.06					14	26.42		10	18.87											3	5.66		53
		TOTAL					269	14.76					98	5.38		896	49.18											559	30.68		1822
	SEVENTH						33	33.67						Excluded		37	37.76											28	28.57		98
		TOTAL					302	16.58								933	51.21											587	32.22		1822
	EIGHTH							Excluded								199	65.89											103	34.11		302
		TOTAL														1132	62.13											690	37.87		1822
																Elected															
																															
Tullamarine                                                    																															
	FIRST			154	4.21		322	8.81		8	0.22		123	3.37		1886	51.60		9	0.25		90	2.46		38	1.04		1025	28.04		3655
	SECOND			1	11.11		1	11.11		0	0.00		2	22.22		2	22.22			Excluded		1	11.11		2	22.22		0	0.00		9
		TOTAL		155	4.24		323	8.84		8	0.22		125	3.42		1888	51.66					91	2.49		40	1.09		1025	28.04		3655
	THIRD			1	12.50		5	62.50			Excluded		0	0.00		1	12.50					0	0.00		0	0.00		1	12.50		8
		TOTAL		156	4.27		328	8.97					125	3.42		1889	51.68					91	2.49		40	1.09		1026	28.07		3655
	FOURTH			13	32.50		8	20.00					5	12.50		4	10.00					7	17.50			Excluded		3	7.50		40
		TOTAL		169	4.62		336	9.19					130	3.56		1893	51.79					98	2.68					1029	28.15		3655
	FIFTH			11	11.22		36	36.73					17	17.35		22	22.45						Excluded					12	12.24		98
		TOTAL		180	4.92		372	10.18					147	4.02		1915	52.39											1041	28.48		3655
	SIXTH				Excluded		99	55.00					25	13.89		33	18.33											23	12.78		180
		TOTAL					471	12.89					172	4.71		1948	53.30											1064	29.11		3655
	SEVENTH						66	38.37						Excluded		70	40.70											36	20.93		172
		TOTAL					537	14.69								2018	55.21											1100	30.10		3655
	EIGHTH							Excluded								386	71.88											151	28.12		537
		TOTAL														2404	65.77											1251	34.23		3655
																Elected															
																															
Upfield                                                        																															
	FIRST			41	2.50		115	7.02		19	1.16		37	2.26		1050	64.06		6	0.37		29	1.77		152	9.27		190	11.59		1639
	SECOND			1	16.67		0	0.00		1	16.67		0	0.00		1	16.67			Excluded		1	16.67		2	33.33		0	0.00		6
		TOTAL		42	2.56		115	7.02		20	1.22		37	2.26		1051	64.12					30	1.83		154	9.40		190	11.59		1639
	THIRD			1	5.00		8	40.00			Excluded		4	20.00		5	25.00					0	0.00		2	10.00		0	0.00		20
		TOTAL		43	2.62		123	7.50					41	2.50		1056	64.43					30	1.83		156	9.52		190	11.59		1639
	FOURTH			44	28.21		17	10.90					12	7.69		40	25.64					25	16.03			Excluded		18	11.54		156
		TOTAL		87	5.31		140	8.54					53	3.23		1096	66.87					55	3.36					208	12.69		1639
	FIFTH			6	10.91		2	3.64					13	23.64		22	40.00						Excluded					12	21.82		55
		TOTAL		93	5.67		142	8.66					66	4.03		1118	68.21											220	13.42		1639
	SIXTH				Excluded		67	72.04					7	7.53		15	16.13											4	4.30		93
		TOTAL					209	12.75					73	4.45		1133	69.13											224	13.67		1639
	SEVENTH						25	34.25						Excluded		38	52.05											10	13.70		73
		TOTAL					234	14.28								1171	71.45											234	14.28		1639
	EIGHTH							Excluded								174	74.36											60	25.64		234
		TOTAL														1345	82.06											294	17.94		1639
																Elected															
																															
Westmeadows                                                    																															
	FIRST			124	3.77		285	8.66		17	0.52		114	3.46		1723	52.35		14	0.43		79	2.40		63	1.91		872	26.50		3291
	SECOND			0	0.00		3	21.43		0	0.00		0	0.00		7	50.00			Excluded		3	21.43		0	0.00		1	7.14		14
		TOTAL		124	3.77		288	8.75		17	0.52		114	3.46		1730	52.57					82	2.49		63	1.91		873	26.53		3291
	THIRD			3	17.65		4	23.53			Excluded		2	11.76		3	17.65					0	0.00		5	29.41		0	0.00		17
		TOTAL		127	3.86		292	8.87					116	3.52		1733	52.66					82	2.49		68	2.07		873	26.53		3291
	FOURTH			29	42.65		6	8.82					2	2.94		6	8.82					13	19.12			Excluded		12	17.65		68
		TOTAL		156	4.74		298	9.05					118	3.59		1739	52.84					95	2.89					885	26.89		3291
	FIFTH			20	21.05		16	16.84					26	27.37		27	28.42						Excluded					6	6.32		95
		TOTAL		176	5.35		314	9.54					144	4.38		1766	53.66											891	27.07		3291
	SIXTH				Excluded		99	56.25					22	12.50		42	23.86											13	7.39		176
		TOTAL					413	12.55					166	5.04		1808	54.94											904	27.47		3291
	SEVENTH						69	41.57						Excluded		65	39.16											32	19.28		166
		TOTAL					482	14.65								1873	56.91											936	28.44		3291
	EIGHTH							Excluded								381	79.05											101	20.95		482
		TOTAL														2254	68.49											1037	31.51		3291
																Elected															
																															
ABSENT																															
	FIRST			416	8.60		287	5.93		40	0.83		302	6.24		2218	45.84		29	0.60		200	4.13		66	1.36		1281	26.47		4839
	SECOND			3	10.34		3	10.34		3	10.34		3	10.34		6	20.69			Excluded		4	13.79		3	10.34		4	13.79		29
		TOTAL		419	8.66		290	5.99		43	0.89		305	6.30		2224	45.96					204	4.22		69	1.43		1285	26.56		4839
	THIRD			8	18.60		13	30.23			Excluded		5	11.63		6	13.95					3	6.98		2	4.65		6	13.95		43
		TOTAL		427	8.82		303	6.26					310	6.41		2230	46.08					207	4.28		71	1.47		1291	26.68		4839
	FOURTH			11	15.49		16	22.54					8	11.27		11	15.49					21	29.58			Excluded		4	5.63		71
		TOTAL		438	9.05		319	6.59					318	6.57		2241	46.31					228	4.71					1295	26.76		4839
	FIFTH			28	12.28		28	12.28					69	30.26		66	28.95						Excluded					37	16.23		228
		TOTAL		466	9.63		347	7.17					387	8.00		2307	47.68											1332	27.53		4839
	SIXTH				Excluded		224	48.07					56	12.02		123	26.39											63	13.52		466
		TOTAL					571	11.80					443	9.15		2430	50.22											1395	28.83		4839
	SEVENTH						182	41.08						Excluded		199	44.92											62	14.00		443
		TOTAL					753	15.56								2629	54.33											1457	30.11		4839
	EIGHTH							Excluded								554	73.57											199	26.43		753
		TOTAL														3183	65.78											1656	34.22		4839
																Elected															
																															
POSTAL																															
	FIRST			73	3.57		106	5.19		14	0.68		99	4.84		939	45.94		8	0.39		35	1.71		28	1.37		742	36.30		2044
	SECOND			2	25.00		0	0.00		0	0.00		1	12.50		1	12.50			Excluded		1	12.50		0	0.00		3	37.50		8
		TOTAL		75	3.67		106	5.19		14	0.68		100	4.89		940	45.99					36	1.76		28	1.37		745	36.45		2044
	THIRD			3	21.43		3	21.43			Excluded		0	0.00		5	35.71					2	14.29		0	0.00		1	7.14		14
		TOTAL		78	3.82		109	5.33					100	4.89		945	46.23					38	1.86		28	1.37		746	36.50		2044
	FOURTH			4	14.29		7	25.00					2	7.14		6	21.43					4	14.29			Excluded		5	17.86		28
		TOTAL		82	4.01		116	5.68					102	4.99		951	46.53					42	2.05					751	36.74		2044
	FIFTH			7	16.67		5	11.90					11	26.19		9	21.43						Excluded					10	23.81		42
		TOTAL		89	4.35		121	5.92					113	5.53		960	46.97											761	37.23		2044
	SIXTH				Excluded		35	39.33					14	15.73		28	31.46											12	13.48		89
		TOTAL					156	7.63					127	6.21		988	48.34											773	37.82		2044
	SEVENTH						47	37.01						Excluded		53	41.73											27	21.26		127
		TOTAL					203	9.93								1041	50.93											800	39.14		2044
	EIGHTH							Excluded								150	73.89											53	26.11		203
		TOTAL														1191	58.27											853	41.73		2044
																Elected															
																															
PRE POLL																															
	FIRST			165	4.89		253	7.50		20	0.59		141	4.18		1597	47.32		5	0.15		86	2.55		66	1.96		1042	30.87		3375
	SECOND			1	20.00		1	20.00		0	0.00		0	0.00		0	0.00			Excluded		2	40.00		0	0.00		1	20.00		5
		TOTAL		166	4.92		254	7.53		20	0.59		141	4.18		1597	47.32					88	2.61		66	1.96		1043	30.90		3375
	THIRD			2	10.00		3	15.00			Excluded		5	25.00		8	40.00					0	0.00		2	10.00		0	0.00		20
		TOTAL		168	4.98		257	7.61					146	4.33		1605	47.56					88	2.61		68	2.01		1043	30.90		3375
	FOURTH			9	13.24		11	16.18					2	2.94		17	25.00					15	22.06			Excluded		14	20.59		68
		TOTAL		177	5.24		268	7.94					148	4.39		1622	48.06					103	3.05					1057	31.32		3375
	FIFTH			6	5.83		20	19.42					28	27.18		33	32.04						Excluded					16	15.53		103
		TOTAL		183	5.42		288	8.53					176	5.21		1655	49.04											1073	31.79		3375
	SIXTH				Excluded		80	43.72					24	13.11		48	26.23											31	16.94		183
		TOTAL					368	10.90					200	5.93		1703	50.46											1104	32.71		3375
	SEVENTH						67	33.50						Excluded		84	42.00											49	24.50		200
		TOTAL					435	12.89								1787	52.95											1153	34.16		3375
	EIGHTH							Excluded								296	68.05											139	31.95		435
		TOTAL														2083	61.72											1292	38.28		3375
																Elected															
																															
PROVISIONAL																															
	FIRST			44	6.56		65	9.69		7	1.04		17	2.53		356	53.06		23	3.43		25	3.73		18	2.68		116	17.29		671
	SECOND			4	17.39		2	8.70		0	0.00		1	4.35		3	13.04			Excluded		7	30.43		2	8.70		4	17.39		23
		TOTAL		48	7.15		67	9.99		7	1.04		18	2.68		359	53.50					32	4.77		20	2.98		120	17.88		671
	THIRD			2	28.57		2	28.57			Excluded		2	28.57		1	14.29					0	0.00		0	0.00		0	0.00		7
		TOTAL		50	7.45		69	10.28					20	2.98		360	53.65					32	4.77		20	2.98		120	17.88		671
	FOURTH			4	20.00		3	15.00					1	5.00		3	15.00					5	25.00			Excluded		4	20.00		20
		TOTAL		54	8.05		72	10.73					21	3.13		363	54.10					37	5.51					124	18.48		671
	FIFTH			6	16.22		8	21.62					7	18.92		9	24.32						Excluded					7	18.92		37
		TOTAL		60	8.94		80	11.92					28	4.17		372	55.44											131	19.52		671
	SIXTH				Excluded		31	51.67					13	21.67		11	18.33											5	8.33		60
		TOTAL					111	16.54					41	6.11		383	57.08											136	20.27		671
	SEVENTH						15	36.59						Excluded		20	48.78											6	14.63		41
		TOTAL					126	18.78								403	60.06											142	21.16		671
	EIGHTH							Excluded								87	69.05											39	30.95		126
		TOTAL														490	73.03											181	26.97		671
																Elected															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
