House of Representatives - 2001 Election: Victoria																																									
Distribution of Preferences																																									
By Polling Place																																									
Gippsland																																									
				JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			MCGAURAN			ROBINSON			AITKEN				
		TOTAL		5	1.39		24	6.69		11	3.06														38	10.58		23	6.41		223	62.12					35	9.75		359	
	SEVENTH				Excluded		2	40.00		1	20.00														0	0.00		2	40.00		0	0.00					0	0.00		5	
		TOTAL					26	7.24		12	3.34														38	10.58		25	6.96		223	62.12					35	9.75		359	
	EIGHTH						1	8.33			Excluded														1	8.33		1	8.33		3	25.00					6	50.00		12	
		TOTAL					27	7.52																	39	10.86		26	7.24		226	62.95					41	11.42		359	
	NINTH							Excluded																	6	22.22		10	37.04		8	29.63					3	11.11		27	
		TOTAL																							45	12.53		36	10.03		234	65.18					44	12.26		359	
	TENTH																								27	61.36		12	27.27		5	11.36						Excluded		44	
		TOTAL																							72	20.06		48	13.37		239	66.57								359	
	ELEVENTH																								26	54.17			Excluded		22	45.83								48	
		TOTAL																							98	27.30					261	72.70								359	
																															Elected										
																																									
Eagle Point                                                    																																									
	FIRST			3	0.55		40	7.31		24	4.39		14	2.56		8	1.46		12	2.19		1	0.18		156	28.52		24	4.39		242	44.24		11	2.01		12	2.19		547	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		3	0.55		41	7.50		24	4.39		14	2.56		8	1.46		12	2.19					156	28.52		24	4.39		242	44.24		11	2.01		12	2.19		547	
	THIRD			1	9.09		1	9.09		1	9.09		0	0.00		0	0.00		1	9.09					0	0.00		3	27.27		4	36.36			Excluded		0	0.00		11	
		TOTAL		4	0.73		42	7.68		25	4.57		14	2.56		8	1.46		13	2.38					156	28.52		27	4.94		246	44.97					12	2.19		547	
	FOURTH			4	30.77		1	7.69		1	7.69		1	7.69		1	7.69			Excluded					1	7.69		1	7.69		0	0.00					3	23.08		13	
		TOTAL		8	1.46		43	7.86		26	4.75		15	2.74		9	1.65								157	28.70		28	5.12		246	44.97					15	2.74		547	
	FIFTH			2	22.22		0	0.00		1	11.11		0	0.00			Excluded								1	11.11		3	33.33		2	22.22					0	0.00		9	
		TOTAL		10	1.83		43	7.86		27	4.94		15	2.74											158	28.88		31	5.67		248	45.34					15	2.74		547	
	SIXTH			2	13.33		0	0.00		1	6.67			Excluded											2	13.33		6	40.00		3	20.00					1	6.67		15	
		TOTAL		12	2.19		43	7.86		28	5.12														160	29.25		37	6.76		251	45.89					16	2.93		547	
	SEVENTH				Excluded		3	25.00		3	25.00														0	0.00		3	25.00		2	16.67					1	8.33		12	
		TOTAL					46	8.41		31	5.67														160	29.25		40	7.31		253	46.25					17	3.11		547	
	EIGHTH						2	6.45			Excluded														10	32.26		8	25.81		4	12.90					7	22.58		31	
		TOTAL					48	8.78																	170	31.08		48	8.78		257	46.98					24	4.39		547	
	NINTH							Excluded																	4	8.33		31	64.58		9	18.75					4	8.33		48	
		TOTAL																							174	31.81		79	14.44		266	48.63					28	5.12		547	
	TENTH																								12	42.86		13	46.43		3	10.71						Excluded		28	
		TOTAL																							186	34.00		92	16.82		269	49.18								547	
	ELEVENTH																								57	61.96			Excluded		35	38.04								92	
		TOTAL																							243	44.42					304	55.58								547	
																															Elected										
																																									
Ellaswood                                                      																																									
	FIRST			4	2.56		16	10.26		4	2.56		12	7.69		4	2.56		3	1.92		1	0.64		25	16.03		10	6.41		64	41.03		0	0.00		13	8.33		156	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	100.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		4	2.56		16	10.26		4	2.56		12	7.69		4	2.56		3	1.92					25	16.03		11	7.05		64	41.03		0	0.00		13	8.33		156	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	2.56		16	10.26		4	2.56		12	7.69		4	2.56		3	1.92					25	16.03		11	7.05		64	41.03					13	8.33		156	
	FOURTH			0	0.00		0	0.00		2	66.67		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		1	33.33					0	0.00		3	
		TOTAL		4	2.56		16	10.26		6	3.85		12	7.69		4	2.56								25	16.03		11	7.05		65	41.67					13	8.33		156	
	FIFTH			1	25.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		2	50.00		1	25.00					0	0.00		4	
		TOTAL		5	3.21		16	10.26		6	3.85		12	7.69											25	16.03		13	8.33		66	42.31					13	8.33		156	
	SIXTH			1	8.33		0	0.00		1	8.33			Excluded											0	0.00		6	50.00		3	25.00					1	8.33		12	
		TOTAL		6	3.85		16	10.26		7	4.49														25	16.03		19	12.18		69	44.23					14	8.97		156	
	SEVENTH				Excluded		1	16.67		0	0.00														1	16.67		2	33.33		2	33.33					0	0.00		6	
		TOTAL					17	10.90		7	4.49														26	16.67		21	13.46		71	45.51					14	8.97		156	
	EIGHTH						1	14.29			Excluded														3	42.86		1	14.29		0	0.00					2	28.57		7	
		TOTAL					18	11.54																	29	18.59		22	14.10		71	45.51					16	10.26		156	
	NINTH							Excluded																	4	22.22		7	38.89		7	38.89					0	0.00		18	
		TOTAL																							33	21.15		29	18.59		78	50.00					16	10.26		156	
	TENTH																								8	50.00		5	31.25		3	18.75						Excluded		16	
		TOTAL																							41	26.28		34	21.79		81	51.92								156	
	ELEVENTH																								16	47.06			Excluded		18	52.94								34	
		TOTAL																							57	36.54					99	63.46								156	
																															Elected										
																																									
Ensay                                                          																																									
	FIRST			0	0.00		20	14.39		7	5.04		1	0.72		4	2.88		0	0.00		1	0.72		17	12.23		4	2.88		77	55.40		0	0.00		8	5.76		139	
	SECOND			1	100.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	
		TOTAL		1	0.72		20	14.39		7	5.04		1	0.72		4	2.88		0	0.00					17	12.23		4	2.88		77	55.40		0	0.00		8	5.76		139	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	0.72		20	14.39		7	5.04		1	0.72		4	2.88		0	0.00					17	12.23		4	2.88		77	55.40					8	5.76		139	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	0.72		20	14.39		7	5.04		1	0.72		4	2.88								17	12.23		4	2.88		77	55.40					8	5.76		139	
	FIFTH			0	0.00		1	25.00		0	0.00		0	0.00			Excluded								0	0.00		0	0.00		3	75.00					0	0.00		4	
		TOTAL		1	0.72		21	15.11		7	5.04		1	0.72											17	12.23		4	2.88		80	57.55					8	5.76		139	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL		1	0.72		21	15.11		7	5.04														17	12.23		5	3.60		80	57.55					8	5.76		139	
	SEVENTH				Excluded		0	0.00		1	100.00														0	0.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					21	15.11		8	5.76														17	12.23		5	3.60		80	57.55					8	5.76		139	
	EIGHTH						0	0.00			Excluded														2	25.00		2	25.00		0	0.00					4	50.00		8	
		TOTAL					21	15.11																	19	13.67		7	5.04		80	57.55					12	8.63		139	
	NINTH							Excluded																	5	23.81		10	47.62		5	23.81					1	4.76		21	
		TOTAL																							24	17.27		17	12.23		85	61.15					13	9.35		139	
	TENTH																								9	69.23		4	30.77		0	0.00						Excluded		13	
		TOTAL																							33	23.74		21	15.11		85	61.15								139	
	ELEVENTH																								13	61.90			Excluded		8	38.10								21	
		TOTAL																							46	33.09					93	66.91								139	
																															Elected										
																																									
Fernbank                                                       																																									
	FIRST			0	0.00		15	20.27		1	1.35		4	5.41		2	2.70		0	0.00		0	0.00		10	13.51		3	4.05		38	51.35		1	1.35		0	0.00		74	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		15	20.27		1	1.35		4	5.41		2	2.70		0	0.00					10	13.51		3	4.05		38	51.35		1	1.35		0	0.00		74	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		0	0.00		15	20.27		1	1.35		4	5.41		2	2.70		0	0.00					10	13.51		3	4.05		39	52.70					0	0.00		74	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		0	0.00		15	20.27		1	1.35		4	5.41		2	2.70								10	13.51		3	4.05		39	52.70					0	0.00		74	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		2	100.00		0	0.00					0	0.00		2	
		TOTAL		0	0.00		15	20.27		1	1.35		4	5.41											10	13.51		5	6.76		39	52.70					0	0.00		74	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											1	25.00		2	50.00		1	25.00					0	0.00		4	
		TOTAL		0	0.00		15	20.27		1	1.35														11	14.86		7	9.46		40	54.05					0	0.00		74	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL					15	20.27		1	1.35														11	14.86		7	9.46		40	54.05					0	0.00		74	
	EIGHTH						0	0.00			Excluded														1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL					15	20.27																	12	16.22		7	9.46		40	54.05					0	0.00		74	
	NINTH							Excluded																	1	6.67		8	53.33		5	33.33					1	6.67		15	
		TOTAL																							13	17.57		15	20.27		45	60.81					1	1.35		74	
	TENTH																								0	0.00		1	100.00		0	0.00						Excluded		1	
		TOTAL																							13	17.57		16	21.62		45	60.81								74	
	ELEVENTH																								6	37.50			Excluded		10	62.50								16	
		TOTAL																							19	25.68					55	74.32								74	
																															Elected										
																																									
Fish Creek                                                     																																									
	FIRST			4	0.68		36	6.09		12	2.03		4	0.68		3	0.51		3	0.51		0	0.00		90	15.23		33	5.58		321	54.31		3	0.51		82	13.87		591	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	0.68		36	6.09		12	2.03		4	0.68		3	0.51		3	0.51					90	15.23		33	5.58		321	54.31		3	0.51		82	13.87		591	
	THIRD			2	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		6	1.02		36	6.09		12	2.03		4	0.68		3	0.51		3	0.51					90	15.23		34	5.75		321	54.31					82	13.87		591	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		1	33.33		1	33.33					1	33.33		3	
		TOTAL		6	1.02		36	6.09		12	2.03		4	0.68		3	0.51								90	15.23		35	5.92		322	54.48					83	14.04		591	
	FIFTH			0	0.00		0	0.00		0	0.00		1	33.33			Excluded								0	0.00		2	66.67		0	0.00					0	0.00		3	
		TOTAL		6	1.02		36	6.09		12	2.03		5	0.85											90	15.23		37	6.26		322	54.48					83	14.04		591	
	SIXTH			1	20.00		0	0.00		0	0.00			Excluded											0	0.00		4	80.00		0	0.00					0	0.00		5	
		TOTAL		7	1.18		36	6.09		12	2.03														90	15.23		41	6.94		322	54.48					83	14.04		591	
	SEVENTH				Excluded		2	28.57		0	0.00														0	0.00		4	57.14		1	14.29					0	0.00		7	
		TOTAL					38	6.43		12	2.03														90	15.23		45	7.61		323	54.65					83	14.04		591	
	EIGHTH						2	16.67			Excluded														3	25.00		1	8.33		1	8.33					5	41.67		12	
		TOTAL					40	6.77																	93	15.74		46	7.78		324	54.82					88	14.89		591	
	NINTH							Excluded																	5	12.50		24	60.00		7	17.50					4	10.00		40	
		TOTAL																							98	16.58		70	11.84		331	56.01					92	15.57		591	
	TENTH																								57	61.96		13	14.13		22	23.91						Excluded		92	
		TOTAL																							155	26.23		83	14.04		353	59.73								591	
	ELEVENTH																								47	56.63			Excluded		36	43.37								83	
		TOTAL																							202	34.18					389	65.82								591	
																															Elected										
																																									
Foster                                                         																																									
	FIRST			10	0.77		61	4.71		42	3.24		8	0.62		14	1.08		13	1.00		3	0.23		314	24.23		43	3.32		568	43.83		2	0.15		218	16.82		1296	
	SECOND			0	0.00		1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	33.33		1	33.33		0	0.00		0	0.00		0	0.00		3	
		TOTAL		10	0.77		62	4.78		42	3.24		8	0.62		14	1.08		13	1.00					315	24.31		44	3.40		568	43.83		2	0.15		218	16.82		1296	
	THIRD			1	50.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		11	0.85		62	4.78		42	3.24		8	0.62		15	1.16		13	1.00					315	24.31		44	3.40		568	43.83					218	16.82		1296	
	FOURTH			9	69.23		1	7.69		0	0.00		0	0.00		1	7.69			Excluded					2	15.38		0	0.00		0	0.00					0	0.00		13	
		TOTAL		20	1.54		63	4.86		42	3.24		8	0.62		16	1.23								317	24.46		44	3.40		568	43.83					218	16.82		1296	
	FIFTH			2	12.50		0	0.00		1	6.25		5	31.25			Excluded								2	12.50		2	12.50		2	12.50					2	12.50		16	
		TOTAL		22	1.70		63	4.86		43	3.32		13	1.00											319	24.61		46	3.55		570	43.98					220	16.98		1296	
	SIXTH			0	0.00		0	0.00		2	15.38			Excluded											1	7.69		5	38.46		3	23.08					2	15.38		13	
		TOTAL		22	1.70		63	4.86		45	3.47														320	24.69		51	3.94		573	44.21					222	17.13		1296	
	SEVENTH				Excluded		6	27.27		1	4.55														3	13.64		2	9.09		1	4.55					9	40.91		22	
		TOTAL					69	5.32		46	3.55														323	24.92		53	4.09		574	44.29					231	17.82		1296	
	EIGHTH						6	13.04			Excluded														9	19.57		3	6.52		4	8.70					24	52.17		46	
		TOTAL					75	5.79																	332	25.62		56	4.32		578	44.60					255	19.68		1296	
	NINTH							Excluded																	19	25.33		39	52.00		11	14.67					6	8.00		75	
		TOTAL																							351	27.08		95	7.33		589	45.45					261	20.14		1296	
	TENTH																								150	57.47		51	19.54		60	22.99						Excluded		261	
		TOTAL																							501	38.66		146	11.27		649	50.08								1296	
	ELEVENTH																								71	48.63			Excluded		75	51.37								146	
		TOTAL																							572	44.14					724	55.86								1296	
																															Elected										
																																									
Genoa                                                          																																									
	FIRST			0	0.00		1	1.20		3	3.61		3	3.61		2	2.41		2	2.41		0	0.00		22	26.51		5	6.02		40	48.19		2	2.41		3	3.61		83	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		0	0.00		1	1.20		3	3.61		3	3.61		2	2.41		2	2.41					22	26.51		5	6.02		40	48.19		2	2.41		3	3.61		83	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00		0	0.00					0	0.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		0	0.00		1	1.20		3	3.61		3	3.61		3	3.61		2	2.41					22	26.51		6	7.23		40	48.19					3	3.61		83	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		1	50.00			Excluded					0	0.00		0	0.00		0	0.00					1	50.00		2	
		TOTAL		0	0.00		1	1.20		3	3.61		3	3.61		4	4.82								22	26.51		6	7.23		40	48.19					4	4.82		83	
	FIFTH			0	0.00		0	0.00		0	0.00		1	25.00			Excluded								1	25.00		2	50.00		0	0.00					0	0.00		4	
		TOTAL		0	0.00		1	1.20		3	3.61		4	4.82											23	27.71		8	9.64		40	48.19					4	4.82		83	
	SIXTH			1	25.00		0	0.00		0	0.00			Excluded											0	0.00		2	50.00		1	25.00					0	0.00		4	
		TOTAL		1	1.20		1	1.20		3	3.61														23	27.71		10	12.05		41	49.40					4	4.82		83	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					1	1.20		3	3.61														23	27.71		11	13.25		41	49.40					4	4.82		83	
	EIGHTH						0	0.00			Excluded														2	66.67		0	0.00		1	33.33					0	0.00		3	
		TOTAL					1	1.20																	25	30.12		11	13.25		42	50.60					4	4.82		83	
	NINTH							Excluded																	1	100.00		0	0.00		0	0.00					0	0.00		1	
		TOTAL																							26	31.33		11	13.25		42	50.60					4	4.82		83	
	TENTH																								3	75.00		0	0.00		1	25.00						Excluded		4	
		TOTAL																							29	34.94		11	13.25		43	51.81								83	
	ELEVENTH																								5	45.45			Excluded		6	54.55								11	
		TOTAL																							34	40.96					49	59.04								83	
																															Elected										
																																									
Glengarry                                                      																																									
	FIRST			7	1.02		82	11.94		32	4.66		7	1.02		10	1.46		2	0.29		1	0.15		187	27.22		38	5.53		298	43.38		1	0.15		22	3.20		687	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		1	100.00		1	
		TOTAL		7	1.02		82	11.94		32	4.66		7	1.02		10	1.46		2	0.29					187	27.22		38	5.53		298	43.38		1	0.15		23	3.35		687	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		7	1.02		82	11.94		32	4.66		8	1.16		10	1.46		2	0.29					187	27.22		38	5.53		298	43.38					23	3.35		687	
	FOURTH			1	50.00		0	0.00		0	0.00		1	50.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		2	
		TOTAL		8	1.16		82	11.94		32	4.66		9	1.31		10	1.46								187	27.22		38	5.53		298	43.38					23	3.35		687	
	FIFTH			0	0.00		1	10.00		1	10.00		1	10.00			Excluded								2	20.00		4	40.00		1	10.00					0	0.00		10	
		TOTAL		8	1.16		83	12.08		33	4.80		10	1.46											189	27.51		42	6.11		299	43.52					23	3.35		687	
	SIXTH			2	20.00		2	20.00		2	20.00			Excluded											1	10.00		0	0.00		3	30.00					0	0.00		10	
		TOTAL		10	1.46		85	12.37		35	5.09														190	27.66		42	6.11		302	43.96					23	3.35		687	
	SEVENTH				Excluded		4	40.00		0	0.00														0	0.00		4	40.00		0	0.00					2	20.00		10	
		TOTAL					89	12.95		35	5.09														190	27.66		46	6.70		302	43.96					25	3.64		687	
	EIGHTH						6	17.14			Excluded														12	34.29		4	11.43		2	5.71					11	31.43		35	
		TOTAL					95	13.83																	202	29.40		50	7.28		304	44.25					36	5.24		687	
	NINTH							Excluded																	19	20.00		58	61.05		16	16.84					2	2.11		95	
		TOTAL																							221	32.17		108	15.72		320	46.58					38	5.53		687	
	TENTH																								15	39.47		12	31.58		11	28.95						Excluded		38	
		TOTAL																							236	34.35		120	17.47		331	48.18								687	
	ELEVENTH																								75	62.50			Excluded		45	37.50								120	
		TOTAL																							311	45.27					376	54.73								687	
																															Elected										
																																									
Glenmaggie                                                     																																									
	FIRST			1	1.02		4	4.08		2	2.04		4	4.08		3	3.06		0	0.00		0	0.00		25	25.51		7	7.14		48	48.98		0	0.00		4	4.08		98	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		1	1.02		4	4.08		2	2.04		4	4.08		3	3.06		0	0.00					25	25.51		7	7.14		48	48.98		0	0.00		4	4.08		98	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		1	1.02		4	4.08		2	2.04		4	4.08		3	3.06		0	0.00					25	25.51		7	7.14		48	48.98					4	4.08		98	
	FOURTH			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		0	
		TOTAL		1	1.02		4	4.08		2	2.04		4	4.08		3	3.06								25	25.51		7	7.14		48	48.98					4	4.08		98	
	FIFTH			0	0.00		0	0.00		0	0.00		0	0.00			Excluded								0	0.00		2	66.67		0	0.00					1	33.33		3	
		TOTAL		1	1.02		4	4.08		2	2.04		4	4.08											25	25.51		9	9.18		48	48.98					5	5.10		98	
	SIXTH			0	0.00		0	0.00		0	0.00			Excluded											0	0.00		4	100.00		0	0.00					0	0.00		4	
		TOTAL		1	1.02		4	4.08		2	2.04														25	25.51		13	13.27		48	48.98					5	5.10		98	
	SEVENTH				Excluded		0	0.00		0	0.00														0	0.00		1	100.00		0	0.00					0	0.00		1	
		TOTAL					4	4.08		2	2.04														25	25.51		14	14.29		48	48.98					5	5.10		98	
	EIGHTH						0	0.00			Excluded														0	0.00		1	50.00		1	50.00					0	0.00		2	
		TOTAL					4	4.08																	25	25.51		15	15.31		49	50.00					5	5.10		98	
	NINTH							Excluded																	0	0.00		4	100.00		0	0.00					0	0.00		4	
		TOTAL																							25	25.51		19	19.39		49	50.00					5	5.10		98	
	TENTH																								0	0.00		3	60.00		2	40.00						Excluded		5	
		TOTAL																							25	25.51		22	22.45		51	52.04								98	
	ELEVENTH																								9	40.91			Excluded		13	59.09								22	
		TOTAL																							34	34.69					64	65.31								98	
																															Elected										
																																									
Golden Beach                                                   																																									
	FIRST			4	2.06		13	6.70		6	3.09		2	1.03		2	1.03		2	1.03		0	0.00		87	44.85		4	2.06		61	31.44		5	2.58		8	4.12		194	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	
		TOTAL		4	2.06		13	6.70		6	3.09		2	1.03		2	1.03		2	1.03					87	44.85		4	2.06		61	31.44		5	2.58		8	4.12		194	
	THIRD			0	0.00		0	0.00		1	20.00		0	0.00		0	0.00		1	20.00					2	40.00		0	0.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		4	2.06		13	6.70		7	3.61		2	1.03		2	1.03		3	1.55					89	45.88		4	2.06		61	31.44					9	4.64		194	
	FOURTH			2	66.67		0	0.00		0	0.00		0	0.00		1	33.33			Excluded					0	0.00		0	0.00		0	0.00					0	0.00		3	
		TOTAL		6	3.09		13	6.70		7	3.61		2	1.03		3	1.55								89	45.88		4	2.06		61	31.44					9	4.64		194	
	FIFTH			0	0.00		0	0.00		0	0.00		1	33.33			Excluded								2	66.67		0	0.00		0	0.00					0	0.00		3	
		TOTAL		6	3.09		13	6.70		7	3.61		3	1.55											91	46.91		4	2.06		61	31.44					9	4.64		194	
	SIXTH			0	0.00		0	0.00		2	66.67			Excluded											0	0.00		1	33.33		0	0.00					0	0.00		3	
		TOTAL		6	3.09		13	6.70		9	4.64														91	46.91		5	2.58		61	31.44					9	4.64		194	
	SEVENTH				Excluded		1	16.67		0	0.00														0	0.00		4	66.67		0	0.00					1	16.67		6	
		TOTAL					14	7.22		9	4.64														91	46.91		9	4.64		61	31.44					10	5.15		194	
	EIGHTH						5	55.56			Excluded														1	11.11		2	22.22		0	0.00					1	11.11		9	
		TOTAL					19	9.79																	92	47.42		11	5.67		61	31.44					11	5.67		194	
	NINTH							Excluded																	6	31.58		8	42.11		1	5.26					4	21.05		19	
		TOTAL																							98	50.52		19	9.79		62	31.96					15	7.73		194	
	TENTH																								6	40.00		6	40.00		3	20.00						Excluded		15	
		TOTAL																							104	53.61		25	12.89		65	33.51								194	
	ELEVENTH																								11	44.00			Excluded		14	56.00								25	
		TOTAL																							115	59.28					79	40.72								194	
																															Elected										
																																									
Gormandale                                                     																																									
	FIRST			6	1.83		22	6.71		12	3.66		8	2.44		9	2.74		6	1.83		1	0.30		54	16.46		22	6.71		149	45.43		2	0.61		37	11.28		328	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		1	100.00		0	0.00		0	0.00		1	
		TOTAL		6	1.83		22	6.71		12	3.66		8	2.44		9	2.74		6	1.83					54	16.46		22	6.71		150	45.73		2	0.61		37	11.28		328	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00					0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		6	1.83		22	6.71		12	3.66		8	2.44		9	2.74		6	1.83					54	16.46		23	7.01		151	46.04					37	11.28		328	
	FOURTH			2	33.33		0	0.00		0	0.00		1	16.67		2	33.33			Excluded					0	0.00		0	0.00		0	0.00					1	16.67		6	
		TOTAL		8	2.44		22	6.71		12	3.66		9	2.74		11	3.35								54	16.46		23	7.01		151	46.04					38	11.59		328	
	FIFTH			2	18.18		0	0.00		0	0.00		2	18.18			Excluded								1	9.09		5	45.45		1	9.09					0	0.00		11	
		TOTAL		10	3.05		22	6.71		12	3.66		11	3.35											55	16.77		28	8.54		152	46.34					38	11.59		328	
	SIXTH			3	27.27		0	0.00		0	0.00			Excluded											0	0.00		3	27.27		5	45.45					0	0.00		11	
		TOTAL		13	3.96		22	6.71		12	3.66														55	16.77		31	9.45		157	47.87					38	11.59		328	
	SEVENTH				Excluded		3	23.08		3	23.08														0	0.00		5	38.46		0	0.00					2	15.38		13	
		TOTAL					25	7.62		15	4.57														55	16.77		36	10.98		157	47.87					40	12.20		328	
	EIGHTH						0	0.00			Excluded														4	26.67		1	6.67		2	13.33					8	53.33		15	
		TOTAL					25	7.62																	59	17.99		37	11.28		159	48.48					48	14.63		328	
	NINTH							Excluded																	5	20.00		14	56.00		5	20.00					1	4.00		25	
		TOTAL																							64	19.51		51	15.55		164	50.00					49	14.94		328	
	TENTH																								32	65.31		8	16.33		9	18.37						Excluded		49	
		TOTAL																							96	29.27		59	17.99		173	52.74								328	
	ELEVENTH																								24	40.68			Excluded		35	59.32								59	
		TOTAL																							120	36.59					208	63.41								328	
																															Elected										
																																									
Heyfield                                                       																																									
	FIRST			34	2.82		67	5.55		37	3.07		16	1.33		14	1.16		4	0.33		2	0.17		357	29.58		71	5.88		585	48.47		2	0.17		18	1.49		1207	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		34	2.82		67	5.55		37	3.07		16	1.33		14	1.16		4	0.33					358	29.66		72	5.97		585	48.47		2	0.17		18	1.49		1207	
	THIRD			0	0.00		0	0.00		0	0.00		0	0.00		2	100.00		0	0.00					0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		34	2.82		67	5.55		37	3.07		16	1.33		16	1.33		4	0.33					358	29.66		72	5.97		585	48.47					18	1.49		1207	
	FOURTH			1	25.00		0	0.00		0	0.00		1	25.00		0	0.00			Excluded					1	25.00		1	25.00		0	0.00					0	0.00		4	
		TOTAL		35	2.90		67	5.55		37	3.07		17	1.41		16	1.33								359	29.74		73	6.05		585	48.47					18	1.49		1207	
	FIFTH			1	6.25		6	37.50		2	12.50		1	6.25			Excluded								1	6.25		3	18.75		1	6.25					1	6.25		16	
		TOTAL		36	2.98		73	6.05		39	3.23		18	1.49											360	29.83		76	6.30		586	48.55					19	1.57		1207	
	SIXTH			4	22.22		1	5.56		2	11.11			Excluded											1	5.56		10	55.56		0	0.00					0	0.00		18	
		TOTAL		40	3.31		74	6.13		41	3.40														361	29.91		86	7.13		586	48.55					19	1.57		1207	
	SEVENTH				Excluded		16	40.00		4	10.00														1	2.50		9	22.50		6	15.00					4	10.00		40	
