House of Representatives - 2001 Election: Victoria																			
Distribution of Preferences 																			
By Polling Place																			
Ballarat										COLLINS									
				KING			KELLY						CORIC			BLANCHARD			
	FIRST			837	43.19		72	3.72		896	46.23		63	3.25		70	3.61		1938
	SECOND			21	30.00		7	10.00		24	34.29		18	25.71			Excluded		70
		TOTAL		858	44.27		79	4.08		920	47.47		81	4.18					1938
	THIRD			21	25.93		44	54.32		16	19.75			Excluded					81
		TOTAL		879	45.36		123	6.35		936	48.30								1938
	FOURTH			81	65.85			Excluded		42	34.15								123
		TOTAL		960	49.54					978	50.46								1938
				Elected															
																			
Stawell West                                                   																			
	FIRST			763	41.51		73	3.97		847	46.08		60	3.26		95	5.17		1838
	SECOND			29	30.53		16	16.84		25	26.32		25	26.32			Excluded		95
		TOTAL		792	43.09		89	4.84		872	47.44		85	4.62					1838
	THIRD			24	28.24		38	44.71		23	27.06			Excluded					85
		TOTAL		816	44.40		127	6.91		895	48.69								1838
	FOURTH			78	61.42			Excluded		49	38.58								127
		TOTAL		894	48.64					944	51.36								1838
				Elected															
																			
Talbot                                                         																			
	FIRST			269	51.83		36	6.94		188	36.22		8	1.54		18	3.47		519
	SECOND			4	22.22		1	5.56		11	61.11		2	11.11			Excluded		18
		TOTAL		273	52.60		37	7.13		199	38.34		10	1.93					519
	THIRD			2	20.00		5	50.00		3	30.00			Excluded					10
		TOTAL		275	52.99		42	8.09		202	38.92								519
	FOURTH			30	71.43			Excluded		12	28.57								42
		TOTAL		305	58.77					214	41.23								519
				Elected															
																			
The Stockade                                                   																			
	FIRST			595	43.78		111	8.17		562	41.35		58	4.27		33	2.43		1359
	SECOND			7	21.21		7	21.21		14	42.42		5	15.15			Excluded		33
		TOTAL		602	44.30		118	8.68		576	42.38		63	4.64					1359
	THIRD			24	38.10		28	44.44		11	17.46			Excluded					63
		TOTAL		626	46.06		146	10.74		587	43.19								1359
	FOURTH			98	67.12			Excluded		48	32.88								146
		TOTAL		724	53.27					635	46.73								1359
				Elected															
																			
Warrenheip                                                     																			
	FIRST			230	33.24		47	6.79		370	53.47		21	3.03		24	3.47		692
	SECOND			2	8.33		1	4.17		14	58.33		7	29.17			Excluded		24
		TOTAL		232	33.53		48	6.94		384	55.49		28	4.05					692
	THIRD			4	14.29		13	46.43		11	39.29			Excluded					28
		TOTAL		236	34.10		61	8.82		395	57.08								692
	FOURTH			42	68.85			Excluded		19	31.15								61
		TOTAL		278	40.17					414	59.83								692
				Elected															
																			
Waubra                                                         																			
	FIRST			89	39.04		5	2.19		115	50.44		9	3.95		10	4.39		228
	SECOND			1	10.00		1	10.00		6	60.00		2	20.00			Excluded		10
		TOTAL		90	39.47		6	2.63		121	53.07		11	4.82					228
	THIRD			1	9.09		5	45.45		5	45.45			Excluded					11
		TOTAL		91	39.91		11	4.82		126	55.26								228
	FOURTH			7	63.64			Excluded		4	36.36								11
		TOTAL		98	42.98					130	57.02								228
				Elected															
																			
Wendouree                                                      																			
	FIRST			923	42.91		77	3.58		1039	48.30		70	3.25		42	1.95		2151
	SECOND			11	26.19		3	7.14		25	59.52		3	7.14			Excluded		42
		TOTAL		934	43.42		80	3.72		1064	49.47		73	3.39					2151
	THIRD			20	27.40		42	57.53		11	15.07			Excluded					73
		TOTAL		954	44.35		122	5.67		1075	49.98								2151
	FOURTH			79	64.75			Excluded		43	35.25								122
		TOTAL		1033	48.02					1118	51.98								2151
				Elected															
																			
Wendouree East                                                 																			
	FIRST			698	46.10		56	3.70		687	45.38		41	2.71		32	2.11		1514
	SECOND			8	25.00		4	12.50		12	37.50		8	25.00			Excluded		32
		TOTAL		706	46.63		60	3.96		699	46.17		49	3.24					1514
	THIRD			21	42.86		19	38.78		9	18.37			Excluded					49
		TOTAL		727	48.02		79	5.22		708	46.76								1514
	FOURTH			58	73.42			Excluded		21	26.58								79
		TOTAL		785	51.85					729	48.15								1514
				Elected															
																			
Wendouree North                                                																			
	FIRST			1307	49.62		83	3.15		1094	41.53		94	3.57		56	2.13		2634
	SECOND			9	16.07		14	25.00		21	37.50		12	21.43			Excluded		56
		TOTAL		1316	49.96		97	3.68		1115	42.33		106	4.02					2634
	THIRD			28	26.42		52	49.06		26	24.53			Excluded					106
		TOTAL		1344	51.03		149	5.66		1141	43.32								2634
	FOURTH			94	63.09			Excluded		55	36.91								149
		TOTAL		1438	54.59					1196	45.41								2634
				Elected															
																			
Wendouree West                                                 																			
	FIRST			923	70.19		45	3.42		286	21.75		33	2.51		28	2.13		1315
	SECOND			6	21.43		4	14.29		7	25.00		11	39.29			Excluded		28
		TOTAL		929	70.65		49	3.73		293	22.28		44	3.35					1315
	THIRD			10	22.73		25	56.82		9	20.45			Excluded					44
		TOTAL		939	71.41		74	5.63		302	22.97								1315
	FOURTH			50	67.57			Excluded		24	32.43								74
		TOTAL		989	75.21					326	24.79								1315
				Elected															
																			
Yandoit                                                        																			
	FIRST			45	30.41		17	11.49		75	50.68		5	3.38		6	4.05		148
	SECOND			1	16.67		1	16.67		4	66.67		0	0.00			Excluded		6
		TOTAL		46	31.08		18	12.16		79	53.38		5	3.38					148
	THIRD			0	0.00		4	80.00		1	20.00			Excluded					5
		TOTAL		46	31.08		22	14.86		80	54.05								148
	FOURTH			19	86.36			Excluded		3	13.64								22
		TOTAL		65	43.92					83	56.08								148
				Elected															
																			
Special Hospital Team 1                                        																			
	FIRST			92	50.27		2	1.09		86	46.99		2	1.09		1	0.55		183
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		92	50.27		2	1.09		87	47.54		2	1.09					183
	THIRD			1	50.00		1	50.00		0	0.00			Excluded					2
		TOTAL		93	50.82		3	1.64		87	47.54								183
	FOURTH			2	66.67			Excluded		1	33.33								3
		TOTAL		95	51.91					88	48.09								183
				Elected															
																			
Special Hospital Team 2                                        																			
	FIRST			72	40.68		5	2.82		99	55.93		1	0.56		0	0.00		177
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0
		TOTAL		72	40.68		5	2.82		99	55.93		1	0.56					177
	THIRD			1	100.00		0	0.00		0	0.00			Excluded					1
		TOTAL		73	41.24		5	2.82		99	55.93								177
	FOURTH			3	60.00			Excluded		2	40.00								5
		TOTAL		76	42.94					101	57.06								177
				Elected															
																			
Special Hospital Team 3                                        																			
	FIRST			62	59.05		2	1.90		37	35.24		3	2.86		1	0.95		105
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		1
		TOTAL		62	59.05		2	1.90		38	36.19		3	2.86					105
	THIRD			0	0.00		3	100.00		0	0.00			Excluded					3
		TOTAL		62	59.05		5	4.76		38	36.19								105
	FOURTH			5	100.00			Excluded		0	0.00								5
		TOTAL		67	63.81					38	36.19								105
				Elected															
																			
Special Hospital Team 4                                        																			
	FIRST			75	39.47		2	1.05		108	56.84		4	2.11		1	0.53		190
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00			Excluded		1
		TOTAL		75	39.47		3	1.58		108	56.84		4	2.11					190
	THIRD			1	25.00		2	50.00		1	25.00			Excluded					4
		TOTAL		76	40.00		5	2.63		109	57.37								190
	FOURTH			4	80.00			Excluded		1	20.00								5
		TOTAL		80	42.11					110	57.89								190
				Elected															
																			
ABSENT																			
	FIRST			1599	38.49		468	11.27		1691	40.71		291	7.01		105	2.53		4154
	SECOND			27	25.71		14	13.33		37	35.24		27	25.71			Excluded		105
		TOTAL		1626	39.14		482	11.60		1728	41.60		318	7.66					4154
	THIRD			100	31.45		140	44.03		78	24.53			Excluded					318
		TOTAL		1726	41.55		622	14.97		1806	43.48								4154
	FOURTH			457	73.47			Excluded		165	26.53								622
		TOTAL		2183	52.55					1971	47.45								4154
				Elected															
																			
POSTAL																			
	FIRST			1800	45.70		125	3.17		1824	46.31		99	2.51		91	2.31		3939
	SECOND			29	31.87		13	14.29		37	40.66		12	13.19			Excluded		91
		TOTAL		1829	46.43		138	3.50		1861	47.25		111	2.82					3939
	THIRD			33	29.73		51	45.95		27	24.32			Excluded					111
		TOTAL		1862	47.27		189	4.80		1888	47.93								3939
	FOURTH			140	74.07			Excluded		49	25.93								189
		TOTAL		2002	50.83					1937	49.17								3939
				Elected															
																			
PRE POLL																			
	FIRST			1860	42.36		232	5.28		1977	45.02		185	4.21		137	3.12		4391
	SECOND			32	23.36		19	13.87		52	37.96		34	24.82			Excluded		137
		TOTAL		1892	43.09		251	5.72		2029	46.21		219	4.99					4391
	THIRD			66	30.14		97	44.29		56	25.57			Excluded					219
		TOTAL		1958	44.59		348	7.93		2085	47.48								4391
	FOURTH			246	70.69			Excluded		102	29.31								348
		TOTAL		2204	50.19					2187	49.81								4391
				Elected															
																			
PROVISIONAL																			
	FIRST			408	48.63		77	9.18		284	33.85		50	5.96		20	2.38		839
	SECOND			5	25.00		3	15.00		8	40.00		4	20.00			Excluded		20
		TOTAL		413	49.23		80	9.54		292	34.80		54	6.44					839
	THIRD			12	22.22		29	53.70		13	24.07			Excluded					54
		TOTAL		425	50.66		109	12.99		305	36.35								839
	FOURTH			81	74.31			Excluded		28	25.69								109
		TOTAL		506	60.31					333	39.69								839
				Elected															
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
