House of Representatives - 2001 Election: Victoria																									
Distribution of Preferences 																									
By Polling Place																									
Corangamite																									
				HILLS			STRAUSS			HODGE			MCARTHUR			LYGO			ARUNDELL			BJORK-BILLINGS			
		TOTAL											1689	60.89								1085	39.11		2774
													Elected												
																									
Highton North                                                  																									
	FIRST			50	1.59		150	4.77		207	6.58		1641	52.19		192	6.11		38	1.21		866	27.54		3144
	SECOND			3	7.89		6	15.79		4	10.53		10	26.32		12	31.58			Excluded		3	7.89		38
		TOTAL		53	1.69		156	4.96		211	6.71		1651	52.51		204	6.49					869	27.64		3144
	THIRD			9	5.77			Excluded		11	7.05		31	19.87		103	66.03					2	1.28		156
		TOTAL		62	1.97					222	7.06		1682	53.50		307	9.76					871	27.70		3144
	FOURTH				Excluded					22	35.48		21	33.87		13	20.97					6	9.68		62
		TOTAL								244	7.76		1703	54.17		320	10.18					877	27.89		3144
	FIFTH										Excluded		60	24.59		148	60.66					36	14.75		244
		TOTAL											1763	56.08		468	14.89					913	29.04		3144
	SIXTH												187	39.96			Excluded					281	60.04		468
		TOTAL											1950	62.02								1194	37.98		3144
													Elected												
																									
Highton South                                                  																									
	FIRST			53	2.18		32	1.32		237	9.75		1132	46.58		102	4.20		25	1.03		849	34.94		2430
	SECOND			3	12.00		3	12.00		2	8.00		7	28.00		6	24.00			Excluded		4	16.00		25
		TOTAL		56	2.30		35	1.44		239	9.84		1139	46.87		108	4.44					853	35.10		2430
	THIRD			7	20.00			Excluded		5	14.29		13	37.14		6	17.14					4	11.43		35
		TOTAL		63	2.59					244	10.04		1152	47.41		114	4.69					857	35.27		2430
	FOURTH				Excluded					21	33.33		19	30.16		16	25.40					7	11.11		63
		TOTAL								265	10.91		1171	48.19		130	5.35					864	35.56		2430
	FIFTH										Excluded		59	22.26		152	57.36					54	20.38		265
		TOTAL											1230	50.62		282	11.60					918	37.78		2430
	SIXTH												117	41.49			Excluded					165	58.51		282
		TOTAL											1347	55.43								1083	44.57		2430
													Elected												
																									
Inverleigh                                                     																									
	FIRST			23	3.88		9	1.52		25	4.22		297	50.08		41	6.91		13	2.19		185	31.20		593
	SECOND			3	23.08		1	7.69		3	23.08		0	0.00		3	23.08			Excluded		3	23.08		13
		TOTAL		26	4.38		10	1.69		28	4.72		297	50.08		44	7.42					188	31.70		593
	THIRD			4	40.00			Excluded		0	0.00		5	50.00		0	0.00					1	10.00		10
		TOTAL		30	5.06					28	4.72		302	50.93		44	7.42					189	31.87		593
	FOURTH				Excluded					7	23.33		11	36.67		5	16.67					7	23.33		30
		TOTAL								35	5.90		313	52.78		49	8.26					196	33.05		593
	FIFTH										Excluded		10	28.57		14	40.00					11	31.43		35
		TOTAL											323	54.47		63	10.62					207	34.91		593
	SIXTH												14	22.22			Excluded					49	77.78		63
		TOTAL											337	56.83								256	43.17		593
													Elected												
																									
Irrewillipe                                                    																									
	FIRST			6	4.20		3	2.10		9	6.29		99	69.23		4	2.80		10	6.99		12	8.39		143
	SECOND			3	30.00		0	0.00		2	20.00		2	20.00		0	0.00			Excluded		3	30.00		10
		TOTAL		9	6.29		3	2.10		11	7.69		101	70.63		4	2.80					15	10.49		143
	THIRD			0	0.00			Excluded		0	0.00		1	33.33		1	33.33					1	33.33		3
		TOTAL		9	6.29					11	7.69		102	71.33		5	3.50					16	11.19		143
	FOURTH				Excluded					3	33.33		5	55.56		0	0.00					1	11.11		9
		TOTAL								14	9.79		107	74.83		5	3.50					17	11.89		143
	FIFTH										Excluded		5	35.71		4	28.57					5	35.71		14
		TOTAL											112	78.32		9	6.29					22	15.38		143
	SIXTH												1	11.11			Excluded					8	88.89		9
		TOTAL											113	79.02								30	20.98		143
													Elected												
																									
Lavers Hill                                                    																									
	FIRST			10	5.56		6	3.33		4	2.22		67	37.22		40	22.22		7	3.89		46	25.56		180
	SECOND			2	28.57		1	14.29		0	0.00		1	14.29		1	14.29			Excluded		2	28.57		7
		TOTAL		12	6.67		7	3.89		4	2.22		68	37.78		41	22.78					48	26.67		180
	THIRD			0	0.00			Excluded		1	14.29		2	28.57		3	42.86					1	14.29		7
		TOTAL		12	6.67					5	2.78		70	38.89		44	24.44					49	27.22		180
	FOURTH				Excluded					3	25.00		6	50.00		0	0.00					3	25.00		12
		TOTAL								8	4.44		76	42.22		44	24.44					52	28.89		180
	FIFTH										Excluded		4	50.00		4	50.00					0	0.00		8
		TOTAL											80	44.44		48	26.67					52	28.89		180
	SIXTH												11	22.92			Excluded					37	77.08		48
		TOTAL											91	50.56								89	49.44		180
													Elected												
																									
Lethbridge                                                     																									
	FIRST			21	4.98		6	1.42		17	4.03		177	41.94		19	4.50		8	1.90		174	41.23		422
	SECOND			1	12.50		0	0.00		0	0.00		2	25.00		3	37.50			Excluded		2	25.00		8
		TOTAL		22	5.21		6	1.42		17	4.03		179	42.42		22	5.21					176	41.71		422
	THIRD			0	0.00			Excluded		1	16.67		4	66.67		0	0.00					1	16.67		6
		TOTAL		22	5.21					18	4.27		183	43.36		22	5.21					177	41.94		422
	FOURTH				Excluded					13	59.09		6	27.27		0	0.00					3	13.64		22
		TOTAL								31	7.35		189	44.79		22	5.21					180	42.65		422
	FIFTH										Excluded		13	41.94		11	35.48					7	22.58		31
		TOTAL											202	47.87		33	7.82					187	44.31		422
	SIXTH												9	27.27			Excluded					24	72.73		33
		TOTAL											211	50.00								211	50.00		422
													Elected												
																									
Lorne                                                          																									
	FIRST			12	1.50		37	4.64		37	4.64		317	39.72		112	14.04		11	1.38		272	34.09		798
	SECOND			0	0.00		1	9.09		1	9.09		3	27.27		3	27.27			Excluded		3	27.27		11
		TOTAL		12	1.50		38	4.76		38	4.76		320	40.10		115	14.41					275	34.46		798
	THIRD			0	0.00			Excluded		7	18.42		7	18.42		23	60.53					1	2.63		38
		TOTAL		12	1.50					45	5.64		327	40.98		138	17.29					276	34.59		798
	FOURTH				Excluded					4	33.33		4	33.33		4	33.33					0	0.00		12
		TOTAL								49	6.14		331	41.48		142	17.79					276	34.59		798
	FIFTH										Excluded		16	32.65		20	40.82					13	26.53		49
		TOTAL											347	43.48		162	20.30					289	36.22		798
	SIXTH												42	25.93			Excluded					120	74.07		162
		TOTAL											389	48.75								409	51.25		798
													Elected												
																									
Mandama                                                        																									
	FIRST			57	2.07		55	1.99		208	7.54		1237	44.85		76	2.76		33	1.20		1092	39.59		2758
	SECOND			4	12.12		2	6.06		4	12.12		8	24.24		6	18.18			Excluded		9	27.27		33
		TOTAL		61	2.21		57	2.07		212	7.69		1245	45.14		82	2.97					1101	39.92		2758
	THIRD			1	1.75			Excluded		9	15.79		14	24.56		32	56.14					1	1.75		57
		TOTAL		62	2.25					221	8.01		1259	45.65		114	4.13					1102	39.96		2758
	FOURTH				Excluded					24	38.71		14	22.58		5	8.06					19	30.65		62
		TOTAL								245	8.88		1273	46.16		119	4.31					1121	40.65		2758
	FIFTH										Excluded		60	24.49		126	51.43					59	24.08		245
		TOTAL											1333	48.33		245	8.88					1180	42.78		2758
	SIXTH												113	46.12			Excluded					132	53.88		245
		TOTAL											1446	52.43								1312	47.57		2758
													Elected												
																									
Melbourne (Corangamite)                                        																									
	FIRST			2	3.08		1	1.54		7	10.77		29	44.62		5	7.69		2	3.08		19	29.23		65
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2
		TOTAL		2	3.08		1	1.54		8	12.31		29	44.62		6	9.23					19	29.23		65
	THIRD			0	0.00			Excluded		0	0.00		1	100.00		0	0.00					0	0.00		1
		TOTAL		2	3.08					8	12.31		30	46.15		6	9.23					19	29.23		65
	FOURTH				Excluded					0	0.00		1	50.00		0	0.00					1	50.00		2
		TOTAL								8	12.31		31	47.69		6	9.23					20	30.77		65
	FIFTH										Excluded		1	12.50		5	62.50					2	25.00		8
		TOTAL											32	49.23		11	16.92					22	33.85		65
	SIXTH												0	0.00			Excluded					11	100.00		11
		TOTAL											32	49.23								33	50.77		65
													Elected												
																									
Meredith                                                       																									
	FIRST			20	4.24		6	1.27		20	4.24		227	48.09		25	5.30		11	2.33		163	34.53		472
	SECOND			2	18.18		1	9.09		1	9.09		4	36.36		2	18.18			Excluded		1	9.09		11
		TOTAL		22	4.66		7	1.48		21	4.45		231	48.94		27	5.72					164	34.75		472
	THIRD			1	14.29			Excluded		2	28.57		0	0.00		2	28.57					2	28.57		7
		TOTAL		23	4.87					23	4.87		231	48.94		29	6.14					166	35.17		472
	FOURTH				Excluded					5	21.74		12	52.17		3	13.04					3	13.04		23
		TOTAL								28	5.93		243	51.48		32	6.78					169	35.81		472
	FIFTH										Excluded		8	28.57		12	42.86					8	28.57		28
		TOTAL											251	53.18		44	9.32					177	37.50		472
	SIXTH												16	36.36			Excluded					28	63.64		44
		TOTAL											267	56.57								205	43.43		472
													Elected												
																									
Moriac                                                         																									
	FIRST			21	2.63		9	1.13		50	6.25		458	57.25		39	4.88		13	1.63		210	26.25		800
	SECOND			2	15.38		0	0.00		4	30.77		1	7.69		2	15.38			Excluded		4	30.77		13
		TOTAL		23	2.88		9	1.13		54	6.75		459	57.38		41	5.13					214	26.75		800
	THIRD			0	0.00			Excluded		1	11.11		5	55.56		3	33.33					0	0.00		9
		TOTAL		23	2.88					55	6.88		464	58.00		44	5.50					214	26.75		800
	FOURTH				Excluded					4	17.39		10	43.48		1	4.35					8	34.78		23
		TOTAL								59	7.38		474	59.25		45	5.63					222	27.75		800
	FIFTH										Excluded		11	18.64		27	45.76					21	35.59		59
		TOTAL											485	60.63		72	9.00					243	30.38		800
	SIXTH												27	37.50			Excluded					45	62.50		72
		TOTAL											512	64.00								288	36.00		800
													Elected												
																									
Mount Duneed                                                   																									
	FIRST			16	3.52		8	1.76		20	4.41		232	51.10		22	4.85		12	2.64		144	31.72		454
	SECOND			4	33.33		1	8.33		0	0.00		2	16.67		4	33.33			Excluded		1	8.33		12
		TOTAL		20	4.41		9	1.98		20	4.41		234	51.54		26	5.73					145	31.94		454
	THIRD			1	11.11			Excluded		1	11.11		2	22.22		4	44.44					1	11.11		9
		TOTAL		21	4.63					21	4.63		236	51.98		30	6.61					146	32.16		454
	FOURTH				Excluded					6	28.57		11	52.38		0	0.00					4	19.05		21
		TOTAL								27	5.95		247	54.41		30	6.61					150	33.04		454
	FIFTH										Excluded		5	18.52		15	55.56					7	25.93		27
		TOTAL											252	55.51		45	9.91					157	34.58		454
	SIXTH												19	42.22			Excluded					26	57.78		45
		TOTAL											271	59.69								183	40.31		454
													Elected												
																									
Oberon                                                         																									
	FIRST			41	2.25		62	3.40		166	9.10		708	38.82		82	4.50		22	1.21		743	40.73		1824
	SECOND			4	18.18		2	9.09		4	18.18		1	4.55		6	27.27			Excluded		5	22.73		22
		TOTAL		45	2.47		64	3.51		170	9.32		709	38.87		88	4.82					748	41.01		1824
	THIRD			4	6.25			Excluded		6	9.38		10	15.63		42	65.63					2	3.13		64
		TOTAL		49	2.69					176	9.65		719	39.42		130	7.13					750	41.12		1824
	FOURTH				Excluded					19	38.78		13	26.53		11	22.45					6	12.24		49
		TOTAL								195	10.69		732	40.13		141	7.73					756	41.45		1824
	FIFTH										Excluded		41	21.03		114	58.46					40	20.51		195
		TOTAL											773	42.38		255	13.98					796	43.64		1824
	SIXTH												112	43.92			Excluded					143	56.08		255
		TOTAL											885	48.52								939	51.48		1824
													Elected												
																									
Oberon South                                                   																									
	FIRST			38	2.49		27	1.77		90	5.91		672	44.09		72	4.72		30	1.97		595	39.04		1524
	SECOND			4	13.33		2	6.67		10	33.33		10	33.33		3	10.00			Excluded		1	3.33		30
		TOTAL		42	2.76		29	1.90		100	6.56		682	44.75		75	4.92					596	39.11		1524
	THIRD			1	3.45			Excluded		2	6.90		6	20.69		18	62.07					2	6.90		29
		TOTAL		43	2.82					102	6.69		688	45.14		93	6.10					598	39.24		1524
	FOURTH				Excluded					14	32.56		16	37.21		7	16.28					6	13.95		43
		TOTAL								116	7.61		704	46.19		100	6.56					604	39.63		1524
	FIFTH										Excluded		33	28.45		56	48.28					27	23.28		116
		TOTAL											737	48.36		156	10.24					631	41.40		1524
	SIXTH												56	35.90			Excluded					100	64.10		156
		TOTAL											793	52.03								731	47.97		1524
													Elected												
																									
Ocean Grove                                                    																									
	FIRST			41	1.47		51	1.82		255	9.12		1224	43.78		222	7.94		21	0.75		982	35.12		2796
	SECOND			2	9.52		0	0.00		6	28.57		0	0.00		5	23.81			Excluded		8	38.10		21
		TOTAL		43	1.54		51	1.82		261	9.33		1224	43.78		227	8.12					990	35.41		2796
	THIRD			2	3.92			Excluded		9	17.65		15	29.41		22	43.14					3	5.88		51
		TOTAL		45	1.61					270	9.66		1239	44.31		249	8.91					993	35.52		2796
	FOURTH				Excluded					16	35.56		15	33.33		6	13.33					8	17.78		45
		TOTAL								286	10.23		1254	44.85		255	9.12					1001	35.80		2796
	FIFTH										Excluded		51	17.83		186	65.03					49	17.13		286
		TOTAL											1305	46.67		441	15.77					1050	37.55		2796
	SIXTH												123	27.89			Excluded					318	72.11		441
		TOTAL											1428	51.07								1368	48.93		2796
													Elected												
																									
Pirron Yallock (Corangamite)                                   																									
	FIRST			6	3.80		1	0.63		6	3.80		103	65.19		5	3.16		13	8.23		24	15.19		158
	SECOND			2	15.38		2	15.38		1	7.69		7	53.85		0	0.00			Excluded		1	7.69		13
		TOTAL		8	5.06		3	1.90		7	4.43		110	69.62		5	3.16					25	15.82		158
	THIRD			1	33.33			Excluded		2	66.67		0	0.00		0	0.00					0	0.00		3
		TOTAL		9	5.70					9	5.70		110	69.62		5	3.16					25	15.82		158
	FOURTH				Excluded					3	33.33		4	44.44		1	11.11					1	11.11		9
		TOTAL								12	7.59		114	72.15		6	3.80					26	16.46		158
	FIFTH										Excluded		5	41.67		4	33.33					3	25.00		12
		TOTAL											119	75.32		10	6.33					29	18.35		158
	SIXTH												6	60.00			Excluded					4	40.00		10
		TOTAL											125	79.11								33	20.89		158
													Elected												
																									
Point Lonsdale                                                 																									
	FIRST			30	1.77		62	3.66		88	5.20		911	53.84		125	7.39		19	1.12		457	27.01		1692
	SECOND			6	31.58		1	5.26		1	5.26		4	21.05		5	26.32			Excluded		2	10.53		19
		TOTAL		36	2.13		63	3.72		89	5.26		915	54.08		130	7.68					459	27.13		1692
	THIRD			4	6.35			Excluded		2	3.17		15	23.81		38	60.32					4	6.35		63
		TOTAL		40	2.36					91	5.38		930	54.96		168	9.93					463	27.36		1692
	FOURTH				Excluded					12	30.00		15	37.50		7	17.50					6	15.00		40
		TOTAL								103	6.09		945	55.85		175	10.34					469	27.72		1692
	FIFTH										Excluded		21	20.39		62	60.19					20	19.42		103
		TOTAL											966	57.09		237	14.01					489	28.90		1692
	SIXTH												69	29.11			Excluded					168	70.89		237
		TOTAL											1035	61.17								657	38.83		1692
													Elected												
																									
Portarlington                                                  																									
	FIRST			58	2.69		74	3.43		105	4.87		927	43.00		64	2.97		18	0.83		910	42.21		2156
	SECOND			1	5.56		1	5.56		3	16.67		1	5.56		3	16.67			Excluded		9	50.00		18
		TOTAL		59	2.74		75	3.48		108	5.01		928	43.04		67	3.11					919	42.63		2156
	THIRD			3	4.00			Excluded		3	4.00		9	12.00		55	73.33					5	6.67		75
		TOTAL		62	2.88					111	5.15		937	43.46		122	5.66					924	42.86		2156
	FOURTH				Excluded					23	37.10		19	30.65		11	17.74					9	14.52		62
		TOTAL								134	6.22		956	44.34		133	6.17					933	43.27		2156
	FIFTH										Excluded		34	25.37		75	55.97					25	18.66		134
		TOTAL											990	45.92		208	9.65					958	44.43		2156
	SIXTH												88	42.31			Excluded					120	57.69		208
		TOTAL											1078	50.00								1078	50.00		2156
													Elected												
																									
Queenscliff                                                    																									
	FIRST			15	1.86		14	1.73		49	6.06		358	44.31		87	10.77		1	0.12		284	35.15		808
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	100.00		1
		TOTAL		15	1.86		14	1.73		49	6.06		358	44.31		87	10.77					285	35.27		808
	THIRD			1	7.14			Excluded		0	0.00		3	21.43		7	50.00					3	21.43		14
		TOTAL		16	1.98					49	6.06		361	44.68		94	11.63					288	35.64		808
	FOURTH				Excluded					5	31.25		8	50.00		1	6.25					2	12.50		16
		TOTAL								54	6.68		369	45.67		95	11.76					290	35.89		808
	FIFTH										Excluded		8	14.81		37	68.52					9	16.67		54
		TOTAL											377	46.66		132	16.34					299	37.00		808
	SIXTH												24	18.18			Excluded					108	81.82		132
		TOTAL											401	49.63								407	50.37		808
													Elected												
																									
Rokewood                                                       																									
	FIRST			5	2.51		1	0.50		9	4.52		120	60.30		5	2.51		4	2.01		55	27.64		199
	SECOND			1	25.00		1	25.00		0	0.00		0	0.00		1	25.00			Excluded		1	25.00		4
		TOTAL		6	3.02		2	1.01		9	4.52		120	60.30		6	3.02					56	28.14		199
	THIRD			0	0.00			Excluded		1	50.00		1	50.00		0	0.00					0	0.00		2
		TOTAL		6	3.02					10	5.03		121	60.80		6	3.02					56	28.14		199
	FOURTH				Excluded					1	16.67		2	33.33		1	16.67					2	33.33		6
		TOTAL								11	5.53		123	61.81		7	3.52					58	29.15		199
	FIFTH										Excluded		5	45.45		5	45.45					1	9.09		11
		TOTAL											128	64.32		12	6.03					59	29.65		199
	SIXTH												5	41.67			Excluded					7	58.33		12
		TOTAL											133	66.83								66	33.17		199
													Elected												
																									
Shelford                                                       																									
	FIRST			5	2.98		3	1.79		6	3.57		106	63.10		12	7.14		4	2.38		32	19.05		168
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		0	0.00			Excluded		2	50.00		4
		TOTAL		5	2.98		4	2.38		6	3.57		107	63.69		12	7.14					34	20.24		168
	THIRD			0	0.00			Excluded		0	0.00		1	25.00		2	50.00					1	25.00		4
		TOTAL		5	2.98					6	3.57		108	64.29		14	8.33					35	20.83		168
	FOURTH				Excluded					2	40.00		1	20.00		0	0.00					2	40.00		5
		TOTAL								8	4.76		109	64.88		14	8.33					37	22.02		168
	FIFTH										Excluded		3	37.50		3	37.50					2	25.00		8
		TOTAL											112	66.67		17	10.12					39	23.21		168
	SIXTH												4	23.53			Excluded					13	76.47		17
		TOTAL											116	69.05								52	30.95		168
													Elected												
																									
Simpson (Corangamite)                                          																									
	FIRST			10	5.43		2	1.09		1	0.54		153	83.15		3	1.63		3	1.63		12	6.52		184
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		2	66.67		3
		TOTAL		11	5.98		2	1.09		1	0.54		153	83.15		3	1.63					14	7.61		184
	THIRD			0	0.00			Excluded		0	0.00		2	100.00		0	0.00					0	0.00		2
		TOTAL		11	5.98					1	0.54		155	84.24		3	1.63					14	7.61		184
	FOURTH				Excluded					6	54.55		4	36.36		0	0.00					1	9.09		11
		TOTAL								7	3.80		159	86.41		3	1.63					15	8.15		184
	FIFTH										Excluded		4	57.14		2	28.57					1	14.29		7
		TOTAL											163	88.59		5	2.72					16	8.70		184
	SIXTH												2	40.00			Excluded					3	60.00		5
		TOTAL											165	89.67								19	10.33		184
													Elected												
																									
St Leonards                                                    																									
	FIRST			45	3.59		22	1.76		32	2.55		514	41.02		34	2.71		9	0.72		597	47.65		1253
	SECOND			0	0.00		0	0.00		1	11.11		1	11.11		2	22.22			Excluded		5	55.56		9
		TOTAL		45	3.59		22	1.76		33	2.63		515	41.10		36	2.87					602	48.04		1253
	THIRD			3	13.64			Excluded		2	9.09		3	13.64		11	50.00					3	13.64		22
		TOTAL		48	3.83					35	2.79		518	41.34		47	3.75					605	48.28		1253
	FOURTH				Excluded					16	33.33		16	33.33		5	10.42					11	22.92		48
		TOTAL								51	4.07		534	42.62		52	4.15					616	49.16		1253
	FIFTH										Excluded		22	43.14		17	33.33					12	23.53		51
		TOTAL											556	44.37		69	5.51					628	50.12		1253
	SIXTH												15	21.74			Excluded					54	78.26		69
		TOTAL											571	45.57								682	54.43		1253
													Elected												
																									
Teesdale                                                       																									
	FIRST			20	3.27		7	1.15		39	6.38		212	34.70		53	8.67		8	1.31		272	44.52		611
	SECOND			2	25.00		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		3	37.50		8
		TOTAL		22	3.60		8	1.31		40	6.55		212	34.70		54	8.84					275	45.01		611
	THIRD			2	25.00			Excluded		1	12.50		4	50.00		1	12.50					0	0.00		8
		TOTAL		24	3.93					41	6.71		216	35.35		55	9.00					275	45.01		611
	FOURTH				Excluded					6	25.00		8	33.33		4	16.67					6	25.00		24
		TOTAL								47	7.69		224	36.66		59	9.66					281	45.99		611
	FIFTH										Excluded		12	25.53		17	36.17					18	38.30		47
		TOTAL											236	38.63		76	12.44					299	48.94		611
	SIXTH												18	23.68			Excluded					58	76.32		76
		TOTAL											254	41.57								357	58.43		611
													Elected												
																									
Torquay                                                        																									
	FIRST			36	1.41		71	2.78		181	7.09		1106	43.34		283	11.09		14	0.55		861	33.74		2552
	SECOND			2	14.29		1	7.14		3	21.43		2	14.29		2	14.29			Excluded		4	28.57		14
		TOTAL		38	1.49		72	2.82		184	7.21		1108	43.42		285	11.17					865	33.89		2552
	THIRD			7	9.72			Excluded		9	12.50		18	25.00		36	50.00					2	2.78		72
		TOTAL		45	1.76					193	7.56		1126	44.12		321	12.58					867	33.97		2552
	FOURTH				Excluded					22	48.89		15	33.33		2	4.44					6	13.33		45
		TOTAL								215	8.42		1141	44.71		323	12.66					873	34.21		2552
	FIFTH										Excluded		46	21.40		131	60.93					38	17.67		215
		TOTAL											1187	46.51		454	17.79					911	35.70		2552
	SIXTH												132	29.07			Excluded					322	70.93		454
		TOTAL											1319	51.68								1233	48.32		2552
													Elected												
																									
Torquay North                                                  																									
	FIRST			22	1.18		22	1.18		161	8.62		724	38.76		277	14.83		14	0.75		648	34.69		1868
	SECOND			0	0.00		1	7.14		5	35.71		2	14.29		1	7.14			Excluded		5	35.71		14
		TOTAL		22	1.18		23	1.23		166	8.89		726	38.87		278	14.88					653	34.96		1868
	THIRD			1	4.35			Excluded		5	21.74		6	26.09		10	43.48					1	4.35		23
		TOTAL		23	1.23					171	9.15		732	39.19		288	15.42					654	35.01		1868
	FOURTH				Excluded					7	30.43		9	39.13		4	17.39					3	13.04		23
		TOTAL								178	9.53		741	39.67		292	15.63					657	35.17		1868
	FIFTH										Excluded		29	16.29		119	66.85					30	16.85		178
		TOTAL											770	41.22		411	22.00					687	36.78		1868
	SIXTH												102	24.82			Excluded					309	75.18		411
		TOTAL											872	46.68								996	53.32		1868
													Elected												
																									
Wallington                                                     																									
	FIRST			14	1.92		13	1.78		45	6.16		406	55.62		34	4.66		6	0.82		212	29.04		730
	SECOND			1	16.67		0	0.00		1	16.67		1	16.67		2	33.33			Excluded		1	16.67		6
		TOTAL		15	2.05		13	1.78		46	6.30		407	55.75		36	4.93					213	29.18		730
	THIRD			1	7.69			Excluded		3	23.08		4	30.77		4	30.77					1	7.69		13
		TOTAL		16	2.19					49	6.71		411	56.30		40	5.48					214	29.32		730
	FOURTH				Excluded					4	25.00		5	31.25		5	31.25					2	12.50		16
		TOTAL								53	7.26		416	56.99		45	6.16					216	29.59		730
	FIFTH										Excluded		17	32.08		25	47.17					11	20.75		53
		TOTAL											433	59.32		70	9.59					227	31.10		730
	SIXTH												31	44.29			Excluded					39	55.71		70
		TOTAL											464	63.56								266	36.44		730
													Elected												
																									
Warrion                                                        																									
	FIRST			7	4.64		3	1.99		2	1.32		98	64.90		1	0.66		8	5.30		32	21.19		151
	SECOND			1	12.50		0	0.00		0	0.00		3	37.50		0	0.00			Excluded		4	50.00		8
		TOTAL		8	5.30		3	1.99		2	1.32		101	66.89		1	0.66					36	23.84		151
	THIRD			0	0.00			Excluded		2	66.67		1	33.33		0	0.00					0	0.00		3
		TOTAL		8	5.30					4	2.65		102	67.55		1	0.66					36	23.84		151
	FOURTH				Excluded					4	50.00		4	50.00		0	0.00					0	0.00		8
		TOTAL								8	5.30		106	70.20		1	0.66					36	23.84		151
	FIFTH										Excluded		4	50.00		1	12.50					3	37.50		8
		TOTAL											110	72.85		2	1.32					39	25.83		151
	SIXTH												1	50.00			Excluded					1	50.00		2
		TOTAL											111	73.51								40	26.49		151
													Elected												
																									
Winchelsea                                                     																									
	FIRST			49	4.46		9	0.82		39	3.55		492	44.77		53	4.82		15	1.36		442	40.22		1099
	SECOND			4	26.67		0	0.00		3	20.00		1	6.67		4	26.67			Excluded		3	20.00		15
		TOTAL		53	4.82		9	0.82		42	3.82		493	44.86		57	5.19					445	40.49		1099
	THIRD			1	11.11			Excluded		2	22.22		2	22.22		2	22.22					2	22.22		9
		TOTAL		54	4.91					44	4.00		495	45.04		59	5.37					447	40.67		1099
	FOURTH				Excluded					17	31.48		16	29.63		8	14.81					13	24.07		54
		TOTAL								61	5.55		511	46.50		67	6.10					460	41.86		1099
	FIFTH										Excluded		21	34.43		24	39.34					16	26.23		61
		TOTAL											532	48.41		91	8.28					476	43.31		1099
	SIXTH												28	30.77			Excluded					63	69.23		91
		TOTAL											560	50.96								539	49.04		1099
													Elected												
																									
Wiridjil (Corangamite)                                         																									
	FIRST			3	3.23		0	0.00		2	2.15		76	81.72		1	1.08		0	0.00		11	11.83		93
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
		TOTAL		3	3.23		0	0.00		2	2.15		76	81.72		1	1.08					11	11.83		93
	THIRD			0	0.00			Excluded		0	0.00		0	0.00		0	0.00					0	0.00		0
		TOTAL		3	3.23					2	2.15		76	81.72		1	1.08					11	11.83		93
	FOURTH				Excluded					0	0.00		2	66.67		1	33.33					0	0.00		3
		TOTAL								2	2.15		78	83.87		2	2.15					11	11.83		93
	FIFTH										Excluded		0	0.00		2	100.00					0	0.00		2
		TOTAL											78	83.87		4	4.30					11	11.83		93
	SIXTH												2	50.00			Excluded					2	50.00		4
		TOTAL											80	86.02								13	13.98		93
													Elected												
																									
Wurdi Boluc                                                    																									
	FIRST			5	3.23		1	0.65		4	2.58		76	49.03		7	4.52		5	3.23		57	36.77		155
	SECOND			0	0.00		1	20.00		0	0.00		1	20.00		1	20.00			Excluded		2	40.00		5
		TOTAL		5	3.23		2	1.29		4	2.58		77	49.68		8	5.16					59	38.06		155
	THIRD			1	50.00			Excluded		0	0.00		0	0.00		0	0.00					1	50.00		2
		TOTAL		6	3.87					4	2.58		77	49.68		8	5.16					60	38.71		155
	FOURTH				Excluded					0	0.00		5	83.33		0	0.00					1	16.67		6
		TOTAL								4	2.58		82	52.90		8	5.16					61	39.35		155
	FIFTH										Excluded		2	50.00		1	25.00					1	25.00		4
		TOTAL											84	54.19		9	5.81					62	40.00		155
	SIXTH												1	11.11			Excluded					8	88.89		9
		TOTAL											85	54.84								70	45.16		155
													Elected												
																									
Special Hospital Team 1                                        																									
	FIRST			4	3.05		2	1.53		2	1.53		84	64.12		0	0.00		2	1.53		37	28.24		131
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00		1	50.00			Excluded		0	0.00		2
		TOTAL		4	3.05		2	1.53		2	1.53		85	64.89		1	0.76					37	28.24		131
	THIRD			0	0.00			Excluded		2	100.00		0	0.00		0	0.00					0	0.00		2
		TOTAL		4	3.05					4	3.05		85	64.89		1	0.76					37	28.24		131
	FOURTH				Excluded					3	75.00		0	0.00		0	0.00					1	25.00		4
		TOTAL								7	5.34		85	64.89		1	0.76					38	29.01		131
	FIFTH										Excluded		5	71.43		2	28.57					0	0.00		7
		TOTAL											90	68.70		3	2.29					38	29.01		131
	SIXTH												1	33.33			Excluded					2	66.67		3
		TOTAL											91	69.47								40	30.53		131
													Elected												
																									
Special Hospital Team 2                                        																									
	FIRST			4	6.67		1	1.67		1	1.67		42	70.00		0	0.00		0	0.00		12	20.00		60
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0
