House of Representatives - 2001 Election: South Australia																									
Distribution of Preferences 																									
By Polling Place																									
																									
Barker																									
				DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			SECKER			
	FIRST			36	14.01		5	1.95		5	1.95		30	11.67		4	1.56		13	5.06		164	63.81		257
	SECOND			1	25.00		0	0.00		0	0.00		2	50.00			Excluded		1	25.00		0	0.00		4
		TOTAL		37	14.40		5	1.95		5	1.95		32	12.45					14	5.45		164	63.81		257
	THIRD			0	0.00			Excluded		0	0.00		1	20.00					1	20.00		3	60.00		5
		TOTAL		37	14.40					5	1.95		33	12.84					15	5.84		167	64.98		257
	FOURTH			1	20.00						Excluded		2	40.00					0	0.00		2	40.00		5
		TOTAL		38	14.79								35	13.62					15	5.84		169	65.76		257
	FIFTH			8	22.86									Excluded					5	14.29		22	62.86		35
		TOTAL		46	17.90														20	7.78		191	74.32		257
	SIXTH			11	55.00															Excluded		9	45.00		20
		TOTAL		57	22.18																	200	77.82		257
																						Elected			
																									
Kybybolite                                                     																									
	FIRST			15	18.07		1	1.20		6	7.23		10	12.05		3	3.61		0	0.00		48	57.83		83
	SECOND			0	0.00		0	0.00		3	100.00		0	0.00			Excluded		0	0.00		0	0.00		3
		TOTAL		15	18.07		1	1.20		9	10.84		10	12.05					0	0.00		48	57.83		83
	THIRD			0	0.00			Excluded		0	0.00		1	100.00					0	0.00		0	0.00		1
		TOTAL		15	18.07					9	10.84		11	13.25					0	0.00		48	57.83		83
	FOURTH			0	0.00						Excluded		4	44.44					2	22.22		3	33.33		9
		TOTAL		15	18.07								15	18.07					2	2.41		51	61.45		83
	FIFTH			3	20.00									Excluded					6	40.00		6	40.00		15
		TOTAL		18	21.69														8	9.64		57	68.67		83
	SIXTH			2	25.00															Excluded		6	75.00		8
		TOTAL		20	24.10																	63	75.90		83
																						Elected			
																									
Lameroo                                                        																									
	FIRST			58	10.98		11	2.08		20	3.79		30	5.68		9	1.70		30	5.68		370	70.08		528
	SECOND			0	0.00		0	0.00		3	33.33		2	22.22			Excluded		1	11.11		3	33.33		9
		TOTAL		58	10.98		11	2.08		23	4.36		32	6.06					31	5.87		373	70.64		528
	THIRD			3	27.27			Excluded		2	18.18		2	18.18					3	27.27		1	9.09		11
		TOTAL		61	11.55					25	4.73		34	6.44					34	6.44		374	70.83		528
	FOURTH			3	12.00						Excluded		1	4.00					3	12.00		18	72.00		25
		TOTAL		64	12.12								35	6.63					37	7.01		392	74.24		528
	FIFTH			9	25.71									Excluded					6	17.14		20	57.14		35
		TOTAL		73	13.83														43	8.14		412	78.03		528
	SIXTH			23	53.49															Excluded		20	46.51		43
		TOTAL		96	18.18																	432	81.82		528
																						Elected			
																									
Lucindale                                                      																									
	FIRST			52	10.24		10	1.97		26	5.12		41	8.07		12	2.36		14	2.76		353	69.49		508
	SECOND			2	16.67		1	8.33		1	8.33		1	8.33			Excluded		1	8.33		6	50.00		12
		TOTAL		54	10.63		11	2.17		27	5.31		42	8.27					15	2.95		359	70.67		508
	THIRD			3	27.27			Excluded		2	18.18		1	9.09					2	18.18		3	27.27		11
		TOTAL		57	11.22					29	5.71		43	8.46					17	3.35		362	71.26		508
	FOURTH			1	3.45						Excluded		2	6.90					6	20.69		20	68.97		29
		TOTAL		58	11.42								45	8.86					23	4.53		382	75.20		508
	FIFTH			8	17.78									Excluded					13	28.89		24	53.33		45
		TOTAL		66	12.99														36	7.09		406	79.92		508
	SIXTH			16	44.44															Excluded		20	55.56		36
		TOTAL		82	16.14																	426	83.86		508
																						Elected			
																									
Mannum                                                         																									
	FIRST			543	30.90		44	2.50		19	1.08		159	9.05		23	1.31		147	8.37		822	46.78		1757
	SECOND			1	4.35		0	0.00		6	26.09		6	26.09			Excluded		4	17.39		6	26.09		23
		TOTAL		544	30.96		44	2.50		25	1.42		165	9.39					151	8.59		828	47.13		1757
	THIRD			15	34.09			Excluded		6	13.64		8	18.18					9	20.45		6	13.64		44
		TOTAL		559	31.82					31	1.76		173	9.85					160	9.11		834	47.47		1757
	FOURTH			6	19.35						Excluded		5	16.13					11	35.48		9	29.03		31
		TOTAL		565	32.16								178	10.13					171	9.73		843	47.98		1757
	FIFTH			37	20.79									Excluded					32	17.98		109	61.24		178
		TOTAL		602	34.26														203	11.55		952	54.18		1757
	SIXTH			111	54.68															Excluded		92	45.32		203
		TOTAL		713	40.58																	1044	59.42		1757
																						Elected			
																									
Meningie                                                       																									
	FIRST			107	13.34		34	4.24		18	2.24		66	8.23		9	1.12		20	2.49		548	68.33		802
	SECOND			0	0.00		1	11.11		4	44.44		0	0.00			Excluded		0	0.00		4	44.44		9
		TOTAL		107	13.34		35	4.36		22	2.74		66	8.23					20	2.49		552	68.83		802
	THIRD			14	40.00			Excluded		7	20.00		2	5.71					10	28.57		2	5.71		35
		TOTAL		121	15.09					29	3.62		68	8.48					30	3.74		554	69.08		802
	FOURTH			3	10.34						Excluded		7	24.14					10	34.48		9	31.03		29
		TOTAL		124	15.46								75	9.35					40	4.99		563	70.20		802
	FIFTH			16	21.33									Excluded					12	16.00		47	62.67		75
		TOTAL		140	17.46														52	6.48		610	76.06		802
	SIXTH			28	53.85															Excluded		24	46.15		52
		TOTAL		168	20.95																	634	79.05		802
																						Elected			
																									
Middleton                                                      																									
	FIRST			161	25.97		52	8.39		11	1.77		41	6.61		3	0.48		81	13.06		271	43.71		620
	SECOND			1	33.33		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		2	66.67		3
		TOTAL		162	26.13		52	8.39		11	1.77		41	6.61					81	13.06		273	44.03		620
	THIRD			13	25.00			Excluded		2	3.85		1	1.92					35	67.31		1	1.92		52
		TOTAL		175	28.23					13	2.10		42	6.77					116	18.71		274	44.19		620
	FOURTH			0	0.00						Excluded		3	23.08					3	23.08		7	53.85		13
		TOTAL		175	28.23								45	7.26					119	19.19		281	45.32		620
	FIFTH			8	17.78									Excluded					12	26.67		25	55.56		45
		TOTAL		183	29.52														131	21.13		306	49.35		620
	SIXTH			93	70.99															Excluded		38	29.01		131
		TOTAL		276	44.52																	344	55.48		620
																						Elected			
																									
Mil Lel                                                        																									
	FIRST			23	12.30		5	2.67		9	4.81		21	11.23		2	1.07		4	2.14		123	65.78		187
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2
		TOTAL		23	12.30		5	2.67		9	4.81		22	11.76					4	2.14		124	66.31		187
	THIRD			1	20.00			Excluded		0	0.00		0	0.00					3	60.00		1	20.00		5
		TOTAL		24	12.83					9	4.81		22	11.76					7	3.74		125	66.84		187
	FOURTH			0	0.00						Excluded		2	22.22					3	33.33		4	44.44		9
		TOTAL		24	12.83								24	12.83					10	5.35		129	68.98		187
	FIFTH			2	8.33									Excluded					3	12.50		19	79.17		24
		TOTAL		26	13.90														13	6.95		148	79.14		187
	SIXTH			7	53.85															Excluded		6	46.15		13
		TOTAL		33	17.65																	154	82.35		187
																						Elected			
																									
Milang                                                         																									
	FIRST			98	17.53		33	5.90		30	5.37		37	6.62		5	0.89		35	6.26		321	57.42		559
	SECOND			0	0.00		0	0.00		2	40.00		0	0.00			Excluded		0	0.00		3	60.00		5
		TOTAL		98	17.53		33	5.90		32	5.72		37	6.62					35	6.26		324	57.96		559
	THIRD			14	42.42			Excluded		4	12.12		1	3.03					12	36.36		2	6.06		33
		TOTAL		112	20.04					36	6.44		38	6.80					47	8.41		326	58.32		559
	FOURTH			8	22.22						Excluded		7	19.44					6	16.67		15	41.67		36
		TOTAL		120	21.47								45	8.05					53	9.48		341	61.00		559
	FIFTH			10	22.22									Excluded					8	17.78		27	60.00		45
		TOTAL		130	23.26														61	10.91		368	65.83		559
	SIXTH			43	70.49															Excluded		18	29.51		61
		TOTAL		173	30.95																	386	69.05		559
																						Elected			
																									
Millicent                                                      																									
	FIRST			686	31.92		53	2.47		61	2.84		199	9.26		28	1.30		91	4.23		1031	47.98		2149
	SECOND			5	17.86		1	3.57		12	42.86		4	14.29			Excluded		1	3.57		5	17.86		28
		TOTAL		691	32.15		54	2.51		73	3.40		203	9.45					92	4.28		1036	48.21		2149
	THIRD			20	37.04			Excluded		9	16.67		5	9.26					11	20.37		9	16.67		54
		TOTAL		711	33.09					82	3.82		208	9.68					103	4.79		1045	48.63		2149
	FOURTH			17	20.73						Excluded		20	24.39					21	25.61		24	29.27		82
		TOTAL		728	33.88								228	10.61					124	5.77		1069	49.74		2149
	FIFTH			48	21.05									Excluded					64	28.07		116	50.88		228
		TOTAL		776	36.11														188	8.75		1185	55.14		2149
	SIXTH			94	50.00															Excluded		94	50.00		188
		TOTAL		870	40.48																	1279	59.52		2149
																						Elected			
																									
Millicent South                                                																									
	FIRST			338	36.38		30	3.23		21	2.26		65	7.00		12	1.29		41	4.41		422	45.43		929
	SECOND			0	0.00		1	8.33		5	41.67		3	25.00			Excluded		2	16.67		1	8.33		12
		TOTAL		338	36.38		31	3.34		26	2.80		68	7.32					43	4.63		423	45.53		929
	THIRD			11	35.48			Excluded		6	19.35		0	0.00					10	32.26		4	12.90		31
		TOTAL		349	37.57					32	3.44		68	7.32					53	5.71		427	45.96		929
	FOURTH			12	37.50						Excluded		8	25.00					5	15.63		7	21.88		32
		TOTAL		361	38.86								76	8.18					58	6.24		434	46.72		929
	FIFTH			22	28.95									Excluded					21	27.63		33	43.42		76
		TOTAL		383	41.23														79	8.50		467	50.27		929
	SIXTH			48	60.76															Excluded		31	39.24		79
		TOTAL		431	46.39																	498	53.61		929
																						Elected			
																									
Moorak                                                         																									
	FIRST			49	12.41		11	2.78		17	4.30		36	9.11		4	1.01		14	3.54		264	66.84		395
	SECOND			1	25.00		0	0.00		1	25.00		1	25.00			Excluded		0	0.00		1	25.00		4
		TOTAL		50	12.66		11	2.78		18	4.56		37	9.37					14	3.54		265	67.09		395
	THIRD			3	27.27			Excluded		6	54.55		0	0.00					0	0.00		2	18.18		11
		TOTAL		53	13.42					24	6.08		37	9.37					14	3.54		267	67.59		395
	FOURTH			3	12.50						Excluded		3	12.50					11	45.83		7	29.17		24
		TOTAL		56	14.18								40	10.13					25	6.33		274	69.37		395
	FIFTH			4	10.00									Excluded					14	35.00		22	55.00		40
		TOTAL		60	15.19														39	9.87		296	74.94		395
	SIXTH			15	38.46															Excluded		24	61.54		39
		TOTAL		75	18.99																	320	81.01		395
																						Elected			
																									
Mount Burr                                                     																									
	FIRST			113	38.05		10	3.37		13	4.38		24	8.08		4	1.35		15	5.05		118	39.73		297
	SECOND			1	25.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		0	0.00		4
		TOTAL		114	38.38		10	3.37		14	4.71		25	8.42					16	5.39		118	39.73		297
	THIRD			4	40.00			Excluded		2	20.00		1	10.00					3	30.00		0	0.00		10
		TOTAL		118	39.73					16	5.39		26	8.75					19	6.40		118	39.73		297
	FOURTH			2	12.50						Excluded		4	25.00					3	18.75		7	43.75		16
		TOTAL		120	40.40								30	10.10					22	7.41		125	42.09		297
	FIFTH			11	36.67									Excluded					5	16.67		14	46.67		30
		TOTAL		131	44.11														27	9.09		139	46.80		297
	SIXTH			14	51.85															Excluded		13	48.15		27
		TOTAL		145	48.82																	152	51.18		297
																						Elected			
																									
Mount Compass                                                  																									
	FIRST			178	20.16		49	5.55		18	2.04		63	7.13		7	0.79		111	12.57		457	51.76		883
	SECOND			0	0.00		0	0.00		2	28.57		0	0.00			Excluded		3	42.86		2	28.57		7
		TOTAL		178	20.16		49	5.55		20	2.27		63	7.13					114	12.91		459	51.98		883
	THIRD			16	32.65			Excluded		6	12.24		4	8.16					22	44.90		1	2.04		49
		TOTAL		194	21.97					26	2.94		67	7.59					136	15.40		460	52.10		883
	FOURTH			5	19.23						Excluded		2	7.69					11	42.31		8	30.77		26
		TOTAL		199	22.54								69	7.81					147	16.65		468	53.00		883
	FIFTH			9	13.04									Excluded					17	24.64		43	62.32		69
		TOTAL		208	23.56														164	18.57		511	57.87		883
	SIXTH			107	65.24															Excluded		57	34.76		164
		TOTAL		315	35.67																	568	64.33		883
																						Elected			
																									
Mount Gambier                                                  																									
	FIRST			825	26.90		92	3.00		104	3.39		164	5.35		31	1.01		206	6.72		1645	53.64		3067
	SECOND			2	6.45		2	6.45		8	25.81		4	12.90			Excluded		5	16.13		10	32.26		31
		TOTAL		827	26.96		94	3.06		112	3.65		168	5.48					211	6.88		1655	53.96		3067
	THIRD			28	29.79			Excluded		10	10.64		6	6.38					41	43.62		9	9.57		94
		TOTAL		855	27.88					122	3.98		174	5.67					252	8.22		1664	54.25		3067
	FOURTH			24	19.67						Excluded		17	13.93					38	31.15		43	35.25		122
		TOTAL		879	28.66								191	6.23					290	9.46		1707	55.66		3067
	FIFTH			52	27.23									Excluded					39	20.42		100	52.36		191
		TOTAL		931	30.36														329	10.73		1807	58.92		3067
	SIXTH			186	56.53															Excluded		143	43.47		329
		TOTAL		1117	36.42																	1950	63.58		3067
																						Elected			
																									
Mount Gambier East                                             																									
	FIRST			1130	39.35		101	3.52		78	2.72		271	9.44		36	1.25		144	5.01		1112	38.72		2872
	SECOND			3	8.33		4	11.11		9	25.00		6	16.67			Excluded		8	22.22		6	16.67		36
		TOTAL		1133	39.45		105	3.66		87	3.03		277	9.64					152	5.29		1118	38.93		2872
	THIRD			42	40.00			Excluded		18	17.14		12	11.43					24	22.86		9	8.57		105
		TOTAL		1175	40.91					105	3.66		289	10.06					176	6.13		1127	39.24		2872
	FOURTH			21	20.00						Excluded		19	18.10					38	36.19		27	25.71		105
		TOTAL		1196	41.64								308	10.72					214	7.45		1154	40.18		2872
	FIFTH			93	30.19									Excluded					77	25.00		138	44.81		308
		TOTAL		1289	44.88														291	10.13		1292	44.99		2872
	SIXTH			166	57.04															Excluded		125	42.96		291
		TOTAL		1455	50.66																	1417	49.34		2872
																						Elected			
																									
Mount Gambier North                                            																									
	FIRST			665	34.37		62	3.20		50	2.58		188	9.72		25	1.29		120	6.20		825	42.64		1935
	SECOND			6	24.00		1	4.00		11	44.00		5	20.00			Excluded		0	0.00		2	8.00		25
		TOTAL		671	34.68		63	3.26		61	3.15		193	9.97					120	6.20		827	42.74		1935
	THIRD			27	42.86			Excluded		11	17.46		8	12.70					12	19.05		5	7.94		63
		TOTAL		698	36.07					72	3.72		201	10.39					132	6.82		832	43.00		1935
	FOURTH			21	29.17						Excluded		16	22.22					17	23.61		18	25.00		72
		TOTAL		719	37.16								217	11.21					149	7.70		850	43.93		1935
	FIFTH			64	29.49									Excluded					64	29.49		89	41.01		217
		TOTAL		783	40.47														213	11.01		939	48.53		1935
	SIXTH			119	55.87															Excluded		94	44.13		213
		TOTAL		902	46.61																	1033	53.39		1935
																						Elected			
																									
Mount Gambier Park                                             																									
	FIRST			636	30.17		52	2.47		49	2.32		152	7.21		21	1.00		151	7.16		1047	49.67		2108
	SECOND			1	4.76		3	14.29		8	38.10		3	14.29			Excluded		3	14.29		3	14.29		21
		TOTAL		637	30.22		55	2.61		57	2.70		155	7.35					154	7.31		1050	49.81		2108
	THIRD			13	23.64			Excluded		12	21.82		5	9.09					19	34.55		6	10.91		55
		TOTAL		650	30.83					69	3.27		160	7.59					173	8.21		1056	50.09		2108
	FOURTH			14	20.29						Excluded		16	23.19					26	37.68		13	18.84		69
		TOTAL		664	31.50								176	8.35					199	9.44		1069	50.71		2108
	FIFTH			60	34.09									Excluded					41	23.30		75	42.61		176
		TOTAL		724	34.35														240	11.39		1144	54.27		2108
	SIXTH			151	62.92															Excluded		89	37.08		240
		TOTAL		875	41.51																	1233	58.49		2108
																						Elected			
																									
Mount Gambier West                                             																									
	FIRST			935	30.89		73	2.41		83	2.74		250	8.26		30	0.99		193	6.38		1463	48.33		3027
	SECOND			5	16.67		2	6.67		10	33.33		2	6.67			Excluded		7	23.33		4	13.33		30
		TOTAL		940	31.05		75	2.48		93	3.07		252	8.33					200	6.61		1467	48.46		3027
	THIRD			16	21.33			Excluded		26	34.67		9	12.00					17	22.67		7	9.33		75
		TOTAL		956	31.58					119	3.93		261	8.62					217	7.17		1474	48.70		3027
	FOURTH			24	20.17						Excluded		24	20.17					28	23.53		43	36.13		119
		TOTAL		980	32.38								285	9.42					245	8.09		1517	50.12		3027
	FIFTH			74	25.96									Excluded					64	22.46		147	51.58		285
		TOTAL		1054	34.82														309	10.21		1664	54.97		3027
	SIXTH			199	64.40															Excluded		110	35.60		309
		TOTAL		1253	41.39																	1774	58.61		3027
																						Elected			
																									
Mundulla                                                       																									
	FIRST			44	12.50		8	2.27		21	5.97		15	4.26		12	3.41		6	1.70		246	69.89		352
	SECOND			0	0.00		0	0.00		1	8.33		0	0.00			Excluded		1	8.33		10	83.33		12
		TOTAL		44	12.50		8	2.27		22	6.25		15	4.26					7	1.99		256	72.73		352
	THIRD			1	12.50			Excluded		2	25.00		0	0.00					4	50.00		1	12.50		8
		TOTAL		45	12.78					24	6.82		15	4.26					11	3.13		257	73.01		352
	FOURTH			2	8.33						Excluded		2	8.33					7	29.17		13	54.17		24
		TOTAL		47	13.35								17	4.83					18	5.11		270	76.70		352
	FIFTH			5	29.41									Excluded					2	11.76		10	58.82		17
		TOTAL		52	14.77														20	5.68		280	79.55		352
	SIXTH			11	55.00															Excluded		9	45.00		20
		TOTAL		63	17.90																	289	82.10		352
																						Elected			
																									
Murray Bridge                                                  																									
	FIRST			522	27.62		56	2.96		28	1.48		202	10.69		26	1.38		183	9.68		873	46.19		1890
	SECOND			0	0.00		1	3.85		7	26.92		5	19.23			Excluded		3	11.54		10	38.46		26
		TOTAL		522	27.62		57	3.02		35	1.85		207	10.95					186	9.84		883	46.72		1890
	THIRD			20	35.09			Excluded		9	15.79		5	8.77					17	29.82		6	10.53		57
		TOTAL		542	28.68					44	2.33		212	11.22					203	10.74		889	47.04		1890
	FOURTH			10	22.73						Excluded		11	25.00					14	31.82		9	20.45		44
		TOTAL		552	29.21								223	11.80					217	11.48		898	47.51		1890
	FIFTH			38	17.04									Excluded					61	27.35		124	55.61		223
		TOTAL		590	31.22														278	14.71		1022	54.07		1890
	SIXTH			145	52.16															Excluded		133	47.84		278
		TOTAL		735	38.89																	1155	61.11		1890
																						Elected			
																									
Murray Bridge East                                             																									
	FIRST			235	19.23		38	3.11		14	1.15		102	8.35		11	0.90		103	8.43		719	58.84		1222
	SECOND			0	0.00		1	9.09		3	27.27		2	18.18			Excluded		2	18.18		3	27.27		11
		TOTAL		235	19.23		39	3.19		17	1.39		104	8.51					105	8.59		722	59.08		1222
	THIRD			11	28.21			Excluded		6	15.38		2	5.13					16	41.03		4	10.26		39
		TOTAL		246	20.13					23	1.88		106	8.67					121	9.90		726	59.41		1222
	FOURTH			2	8.70						Excluded		3	13.04					9	39.13		9	39.13		23
		TOTAL		248	20.29								109	8.92					130	10.64		735	60.15		1222
	FIFTH			15	13.76									Excluded					20	18.35		74	67.89		109
		TOTAL		263	21.52														150	12.27		809	66.20		1222
	SIXTH			86	57.33															Excluded		64	42.67		150
		TOTAL		349	28.56																	873	71.44		1222
																						Elected			
																									
Murray Bridge South                                            																									
	FIRST			856	31.61		80	2.95		45	1.66		202	7.46		25	0.92		242	8.94		1258	46.45		2708
	SECOND			6	24.00		4	16.00		8	32.00		1	4.00			Excluded		1	4.00		5	20.00		25
		TOTAL		862	31.83		84	3.10		53	1.96		203	7.50					243	8.97		1263	46.64		2708
	THIRD			30	35.71			Excluded		19	22.62		8	9.52					24	28.57		3	3.57		84
		TOTAL		892	32.94					72	2.66		211	7.79					267	9.86		1266	46.75		2708
	FOURTH			12	16.67						Excluded		19	26.39					22	30.56		19	26.39		72
		TOTAL		904	33.38								230	8.49					289	10.67		1285	47.45		2708
	FIFTH			49	21.30									Excluded					62	26.96		119	51.74		230
		TOTAL		953	35.19														351	12.96		1404	51.85		2708
	SIXTH			213	60.68															Excluded		138	39.32		351
		TOTAL		1166	43.06																	1542	56.94		2708
																						Elected			
																									
Murray Bridge West                                             																									
	FIRST			532	24.79		37	1.72		23	1.07		175	8.15		25	1.16		146	6.80		1208	56.29		2146
	SECOND			1	4.00		1	4.00		6	24.00		6	24.00			Excluded		6	24.00		5	20.00		25
		TOTAL		533	24.84		38	1.77		29	1.35		181	8.43					152	7.08		1213	56.52		2146
	THIRD			11	28.95			Excluded		8	21.05		5	13.16					11	28.95		3	7.89		38
		TOTAL		544	25.35					37	1.72		186	8.67					163	7.60		1216	56.66		2146
	FOURTH			8	21.62						Excluded		9	24.32					9	24.32		11	29.73		37
		TOTAL		552	25.72								195	9.09					172	8.01		1227	57.18		2146
	FIFTH			27	13.85									Excluded					54	27.69		114	58.46		195
		TOTAL		579	26.98														226	10.53		1341	62.49		2146
	SIXTH			117	51.77															Excluded		109	48.23		226
		TOTAL		696	32.43																	1450	67.57		2146
																						Elected			
																									
Mypolonga                                                      																									
	FIRST			57	17.43		11	3.36		8	2.45		22	6.73		4	1.22		14	4.28		211	64.53		327
	SECOND			1	25.00		0	0.00		1	25.00		2	50.00			Excluded		0	0.00		0	0.00		4
		TOTAL		58	17.74		11	3.36		9	2.75		24	7.34					14	4.28		211	64.53		327
	THIRD			5	45.45			Excluded		1	9.09		0	0.00					4	36.36		1	9.09		11
		TOTAL		63	19.27					10	3.06		24	7.34					18	5.50		212	64.83		327
	FOURTH			3	30.00						Excluded		3	30.00					2	20.00		2	20.00		10
		TOTAL		66	20.18								27	8.26					20	6.12		214	65.44		327
	FIFTH			2	7.41									Excluded					9	33.33		16	59.26		27
		TOTAL		68	20.80														29	8.87		230	70.34		327
	SIXTH			13	44.83															Excluded		16	55.17		29
		TOTAL		81	24.77																	246	75.23		327
																						Elected			
																									
Myponga                                                        																									
	FIRST			67	17.63		14	3.68		9	2.37		21	5.53		4	1.05		35	9.21		230	60.53		380
	SECOND			1	25.00		0	0.00		1	25.00		0	0.00			Excluded		0	0.00		2	50.00		4
		TOTAL		68	17.89		14	3.68		10	2.63		21	5.53					35	9.21		232	61.05		380
	THIRD			6	42.86			Excluded		2	14.29		0	0.00					5	35.71		1	7.14		14
		TOTAL		74	19.47					12	3.16		21	5.53					40	10.53		233	61.32		380
	FOURTH			0	0.00						Excluded		4	33.33					8	66.67		0	0.00		12
		TOTAL		74	19.47								25	6.58					48	12.63		233	61.32		380
	FIFTH			3	12.00									Excluded					6	24.00		16	64.00		25
		TOTAL		77	20.26														54	14.21		249	65.53		380
	SIXTH			30	55.56															Excluded		24	44.44		54
		TOTAL		107	28.16																	273	71.84		380
																						Elected			
																									
Nangula                                                        																									
	FIRST			30	18.40		5	3.07		6	3.68		18	11.04		2	1.23		7	4.29		95	58.28		163
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		1	50.00		2
		TOTAL		30	18.40		5	3.07		6	3.68		18	11.04					8	4.91		96	58.90		163
	THIRD			1	20.00			Excluded		2	40.00		0	0.00					2	40.00		0	0.00		5
		TOTAL		31	19.02					8	4.91		18	11.04					10	6.13		96	58.90		163
	FOURTH			2	25.00						Excluded		3	37.50					2	25.00		1	12.50		8
		TOTAL		33	20.25								21	12.88					12	7.36		97	59.51		163
	FIFTH			5	23.81									Excluded					5	23.81		11	52.38		21
		TOTAL		38	23.31														17	10.43		108	66.26		163
	SIXTH			9	52.94															Excluded		8	47.06		17
		TOTAL		47	28.83																	116	71.17		163
																						Elected			
																									
Nangwarry                                                      																									
	FIRST			146	46.65		11	3.51		8	2.56		40	12.78		2	0.64		15	4.79		91	29.07		313
	SECOND			0	0.00		0	0.00		1	50.00		0	0.00			Excluded		0	0.00		1	50.00		2
		TOTAL		146	46.65		11	3.51		9	2.88		40	12.78					15	4.79		92	29.39		313
	THIRD			7	63.64			Excluded		1	9.09		2	18.18					0	0.00		1	9.09		11
		TOTAL		153	48.88					10	3.19		42	13.42					15	4.79		93	29.71		313
	FOURTH			3	30.00						Excluded		2	20.00					2	20.00		3	30.00		10
		TOTAL		156	49.84								44	14.06					17	5.43		96	30.67		313
	FIFTH			26	59.09									Excluded					10	22.73		8	18.18		44
		TOTAL		182	58.15														27	8.63		104	33.23		313
	SIXTH			19	70.37															Excluded		8	29.63		27
		TOTAL		201	64.22																	112	35.78		313
																						Elected			
																									
Naracoorte                                                     																									
	FIRST			371	18.45		44	2.19		101	5.02		147	7.31		31	1.54		104	5.17		1213	60.32		2011
	SECOND			2	6.45		2	6.45		6	19.35		3	9.68			Excluded		2	6.45		16	51.61		31
		TOTAL		373	18.55		46	2.29		107	5.32		150	7.46					106	5.27		1229	61.11		2011
	THIRD			12	26.09			Excluded		10	21.74		8	17.39					10	21.74		6	13.04		46
		TOTAL		385	19.14					117	5.82		158	7.86					116	5.77		1235	61.41		2011
	FOURTH			21	17.95						Excluded		31	26.50					22	18.80		43	36.75		117
		TOTAL		406	20.19								189	9.40					138	6.86		1278	63.55		2011
	FIFTH			44	23.28									Excluded					54	28.57		91	48.15		189
		TOTAL		450	22.38														192	9.55		1369	68.08		2011
	SIXTH			92	47.92															Excluded		100	52.08		192
		TOTAL		542	26.95																	1469	73.05		2011
																						Elected			
																									
Naracoorte South                                               																									
	FIRST			305	20.28		39	2.59		57	3.79		101	6.72		27	1.80		63	4.19		912	60.64		1504
	SECOND			2	7.41		1	3.70		5	18.52		2	7.41			Excluded		3	11.11		14	51.85		27
		TOTAL		307	20.41		40	2.66		62	4.12		103	6.85					66	4.39		926	61.57		1504
	THIRD			12	30.00			Excluded		8	20.00		5	12.50					8	20.00		7	17.50		40
		TOTAL		319	21.21					70	4.65		108	7.18					74	4.92		933	62.03		1504
	FOURTH			17	24.29						Excluded		11	15.71					20	28.57		22	31.43		70
		TOTAL		336	22.34								119	7.91					94	6.25		955	63.50		1504
	FIFTH			32	26.89									Excluded					37	31.09		50	42.02		119
		TOTAL		368	24.47														131	8.71		1005	66.82		1504
	SIXTH			65	49.62															Excluded		66	50.38		131
		TOTAL		433	28.79																	1071	71.21		1504
																						Elected			
																									
Narrung                                                        																									
	FIRST			17	19.77		17	19.77		1	1.16		5	5.81		2	2.33		4	4.65		40	46.51		86
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		1	50.00		2
		TOTAL		17	19.77		17	19.77		1	1.16		6	6.98					4	4.65		41	47.67		86
	THIRD			14	82.35			Excluded		1	5.88		1	5.88					0	0.00		1	5.88		17
		TOTAL		31	36.05					2	2.33		7	8.14					4	4.65		42	48.84		86
	FOURTH			1	50.00						Excluded		1	50.00					0	0.00		0	0.00		2
		TOTAL		32	37.21								8	9.30					4	4.65		42	48.84		86
	FIFTH			2	25.00									Excluded					3	37.50		3	37.50		8
		TOTAL		34	39.53														7	8.14		45	52.33		86
	SIXTH			4	57.14															Excluded		3	42.86		7
		TOTAL		38	44.19																	48	55.81		86
																						Elected			
																									
Nildottie                                                      																									
	FIRST			14	8.48		2	1.21		4	2.42		16	9.70		4	2.42		5	3.03		120	72.73		165
	SECOND			1	25.00		0	0.00		2	50.00		0	0.00			Excluded		1	25.00		0	0.00		4
		TOTAL		15	9.09		2	1.21		6	3.64		16	9.70					6	3.64		120	72.73		165
	THIRD			1	50.00			Excluded		0	0.00		0	0.00					1	50.00		0	0.00		2
		TOTAL		16	9.70					6	3.64		16	9.70					7	4.24		120	72.73		165
	FOURTH			2	33.33						Excluded		1	16.67					0	0.00		3	50.00		6
		TOTAL		18	10.91								17	10.30					7	4.24		123	74.55		165
	FIFTH			4	23.53									Excluded					7	41.18		6	35.29		17
		TOTAL		22	13.33														14	8.48		129	78.18		165
	SIXTH			8	57.14															Excluded		6	42.86		14
		TOTAL		30	18.18																	135	81.82		165
																						Elected			
																									
O B Flat                                                       																									
	FIRST			34	17.89		9	4.74		4	2.11		16	8.42		4	2.11		9	4.74		114	60.00		190
	SECOND			0	0.00		1	25.00		1	25.00		0	0.00			Excluded		0	0.00		2	50.00		4
