House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences 																				
By Polling Place																				
																				
Adelaide																				
				OSBORN			STANLEY			WORTH			PEACOCK			MANN				
Special Hospital Team 6                                        																				
	FIRST			3	2.31		37	28.46		84	64.62		4	3.08		2	1.54		130	
	SECOND			1	25.00		0	0.00		2	50.00			Excluded		1	25.00		4	
		TOTAL		4	3.08		37	28.46		86	66.15					3	2.31		130	
	THIRD				Excluded		3	75.00		1	25.00					0	0.00		4	
		TOTAL					40	30.77		87	66.92					3	2.31		130	
	FOURTH						2	66.67		1	33.33						Excluded		3	
		TOTAL					42	32.31		88	67.69								130	
										Elected										
																				
Special Hospital Team 7                                        																				
	FIRST			6	4.69		26	20.31		88	68.75		1	0.78		7	5.47		128	
	SECOND			0	0.00		0	0.00		1	100.00			Excluded		0	0.00		1	
		TOTAL		6	4.69		26	20.31		89	69.53					7	5.47		128	
	THIRD				Excluded		2	33.33		4	66.67					0	0.00		6	
		TOTAL					28	21.88		93	72.66					7	5.47		128	
	FOURTH						4	57.14		3	42.86						Excluded		7	
		TOTAL					32	25.00		96	75.00								128	
										Elected										
																				
Special Hospital Team 8                                        																				
	FIRST			6	4.48		30	22.39		92	68.66		4	2.99		2	1.49		134	
	SECOND			2	50.00		1	25.00		1	25.00			Excluded		0	0.00		4	
		TOTAL		8	5.97		31	23.13		93	69.40					2	1.49		134	
	THIRD				Excluded		5	62.50		0	0.00					3	37.50		8	
		TOTAL					36	26.87		93	69.40					5	3.73		134	
	FOURTH						4	80.00		1	20.00						Excluded		5	
		TOTAL					40	29.85		94	70.15								134	
										Elected										
																				
ABSENT																				
	FIRST			441	8.21		1696	31.56		2310	42.98		130	2.42		797	14.83		5374	
	SECOND			32	24.62		23	17.69		50	38.46			Excluded		25	19.23		130	
		TOTAL		473	8.80		1719	31.99		2360	43.92					822	15.30		5374	
	THIRD				Excluded		144	30.44		60	12.68					269	56.87		473	
		TOTAL					1863	34.67		2420	45.03					1091	20.30		5374	
	FOURTH						702	64.34		389	35.66						Excluded		1091	
		TOTAL					2565	47.73		2809	52.27								5374	
										Elected										
																				
POSTAL																				
	FIRST			141	3.76		1261	33.61		2049	54.61		85	2.27		216	5.76		3752	
	SECOND			17	20.00		28	32.94		33	38.82			Excluded		7	8.24		85	
		TOTAL		158	4.21		1289	34.36		2082	55.49					223	5.94		3752	
	THIRD				Excluded		65	41.14		15	9.49					78	49.37		158	
		TOTAL					1354	36.09		2097	55.89					301	8.02		3752	
	FOURTH						217	72.09		84	27.91						Excluded		301	
		TOTAL					1571	41.87		2181	58.13								3752	
										Elected										
																				
PRE POLL																				
	FIRST			218	7.31		886	29.69		1461	48.96		52	1.74		367	12.30		2984	
	SECOND			9	17.31		7	13.46		24	46.15			Excluded		12	23.08		52	
		TOTAL		227	7.61		893	29.93		1485	49.77					379	12.70		2984	
	THIRD				Excluded		64	28.19		27	11.89					136	59.91		227	
		TOTAL					957	32.07		1512	50.67					515	17.26		2984	
	FOURTH						368	71.46		147	28.54						Excluded		515	
		TOTAL					1325	44.40		1659	55.60								2984	
										Elected										
																				
PROVISIONAL																				
	FIRST			40	7.87		177	34.84		202	39.76		11	2.17		78	15.35		508	
	SECOND			3	27.27		4	36.36		2	18.18			Excluded		2	18.18		11	
		TOTAL		43	8.46		181	35.63		204	40.16					80	15.75		508	
	THIRD				Excluded		10	23.26		7	16.28					26	60.47		43	
		TOTAL					191	37.60		211	41.54					106	20.87		508	
	FOURTH						76	71.70		30	28.30						Excluded		106	
		TOTAL					267	52.56		241	47.44								508	
										Elected										
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
