House of Representatives - 2001 Election: South Australia																										
Distribution of Preferences																										
By Polling Place																										
																										
Mayo																										
				MCLAREN			SPRAGG			DOWNER			CLARK			THOMAS			COOMBE			BRENNAN				
	FIRST			133	17.39		28	3.66		370	48.37		67	8.76		29	3.79		3	0.39		135	17.65		765	
	SECOND			1	33.33		1	33.33		1	33.33		0	0.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		134	17.52		29	3.79		371	48.50		67	8.76		29	3.79					135	17.65		765	
	THIRD			2	6.90		7	24.14		8	27.59		7	24.14			Excluded					5	17.24		29	
		TOTAL		136	17.78		36	4.71		379	49.54		74	9.67								140	18.30		765	
	FOURTH			8	22.22			Excluded		8	22.22		16	44.44								4	11.11		36	
		TOTAL		144	18.82					387	50.59		90	11.76								144	18.82		765	
	FIFTH			64	71.11					13	14.44			Excluded								13	14.44		90	
		TOTAL		208	27.19					400	52.29											157	20.52		765	
	SIXTH				Excluded					57	27.40											151	72.60		208	
		TOTAL								457	59.74											308	40.26		765	
										Elected																
																										
Magill (Mayo)                                                  																										
	FIRST			198	14.60		30	2.21		690	50.88		70	5.16		21	1.55		3	0.22		344	25.37		1356	
	SECOND			1	33.33		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		199	14.68		30	2.21		690	50.88		71	5.24		21	1.55					345	25.44		1356	
	THIRD			1	4.76		4	19.05		11	52.38		2	9.52			Excluded					3	14.29		21	
		TOTAL		200	14.75		34	2.51		701	51.70		73	5.38								348	25.66		1356	
	FOURTH			6	17.65			Excluded		6	17.65		15	44.12								7	20.59		34	
		TOTAL		206	15.19					707	52.14		88	6.49								355	26.18		1356	
	FIFTH			59	67.05					3	3.41			Excluded								26	29.55		88	
		TOTAL		265	19.54					710	52.36											381	28.10		1356	
	SIXTH				Excluded					69	26.04											196	73.96		265	
		TOTAL								779	57.45											577	42.55		1356	
										Elected																
																										
Mclaren Flat                                                   																										
	FIRST			90	13.45		10	1.49		379	56.65		40	5.98		32	4.78		4	0.60		114	17.04		669	
	SECOND			0	0.00		2	50.00		1	25.00		0	0.00		0	0.00			Excluded		1	25.00		4	
		TOTAL		90	13.45		12	1.79		380	56.80		40	5.98		32	4.78					115	17.19		669	
	THIRD			0	0.00		5	15.63		19	59.38		3	9.38			Excluded					5	15.63		32	
		TOTAL		90	13.45		17	2.54		399	59.64		43	6.43								120	17.94		669	
	FOURTH			2	11.76			Excluded		3	17.65		9	52.94								3	17.65		17	
		TOTAL		92	13.75					402	60.09		52	7.77								123	18.39		669	
	FIFTH			28	53.85					12	23.08			Excluded								12	23.08		52	
		TOTAL		120	17.94					414	61.88											135	20.18		669	
	SIXTH				Excluded					46	38.33											74	61.67		120	
		TOTAL								460	68.76											209	31.24		669	
										Elected																
																										
Mclaren Vale                                                   																										
	FIRST			244	12.46		34	1.74		1083	55.28		102	5.21		80	4.08		6	0.31		410	20.93		1959	
	SECOND			1	16.67		1	16.67		0	0.00		1	16.67		0	0.00			Excluded		3	50.00		6	
		TOTAL		245	12.51		35	1.79		1083	55.28		103	5.26		80	4.08					413	21.08		1959	
	THIRD			7	8.75		21	26.25		43	53.75		3	3.75			Excluded					6	7.50		80	
		TOTAL		252	12.86		56	2.86		1126	57.48		106	5.41								419	21.39		1959	
	FOURTH			16	28.57			Excluded		13	23.21		21	37.50								6	10.71		56	
		TOTAL		268	13.68					1139	58.14		127	6.48								425	21.69		1959	
	FIFTH			83	65.35					21	16.54			Excluded								23	18.11		127	
		TOTAL		351	17.92					1160	59.21											448	22.87		1959	
	SIXTH				Excluded					126	35.90											225	64.10		351	
		TOTAL								1286	65.65											673	34.35		1959	
										Elected																
																										
Meadows                                                        																										
	FIRST			124	13.52		55	6.00		476	51.91		54	5.89		46	5.02		6	0.65		156	17.01		917	
	SECOND			1	16.67		1	16.67		1	16.67		1	16.67		0	0.00			Excluded		2	33.33		6	
		TOTAL		125	13.63		56	6.11		477	52.02		55	6.00		46	5.02					158	17.23		917	
	THIRD			4	8.70		2	4.35		25	54.35		10	21.74			Excluded					5	10.87		46	
		TOTAL		129	14.07		58	6.32		502	54.74		65	7.09								163	17.78		917	
	FOURTH			17	29.31			Excluded		10	17.24		22	37.93								9	15.52		58	
		TOTAL		146	15.92					512	55.83		87	9.49								172	18.76		917	
	FIFTH			54	62.07					15	17.24			Excluded								18	20.69		87	
		TOTAL		200	21.81					527	57.47											190	20.72		917	
	SIXTH				Excluded					70	35.00											130	65.00		200	
		TOTAL								597	65.10											320	34.90		917	
										Elected																
																										
Montacute                                                      																										
	FIRST			18	11.69		29	18.83		79	51.30		11	7.14		1	0.65		0	0.00		16	10.39		154	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		18	11.69		29	18.83		79	51.30		11	7.14		1	0.65					16	10.39		154	
	THIRD			0	0.00		1	100.00		0	0.00		0	0.00			Excluded					0	0.00		1	
		TOTAL		18	11.69		30	19.48		79	51.30		11	7.14								16	10.39		154	
	FOURTH			9	30.00			Excluded		4	13.33		11	36.67								6	20.00		30	
		TOTAL		27	17.53					83	53.90		22	14.29								22	14.29		154	
	FIFTH			12	54.55					2	9.09			Excluded								8	36.36		22	
		TOTAL		39	25.32					85	55.19											30	19.48		154	
	SIXTH				Excluded					4	10.26											35	89.74		39	
		TOTAL								89	57.79											65	42.21		154	
										Elected																
																										
Mount Barker                                                   																										
	FIRST			694	14.66		150	3.17		2445	51.64		321	6.78		164	3.46		26	0.55		935	19.75		4735	
	SECOND			4	15.38		7	26.92		1	3.85		6	23.08		3	11.54			Excluded		5	19.23		26	
		TOTAL		698	14.74		157	3.32		2446	51.66		327	6.91		167	3.53					940	19.85		4735	
	THIRD			14	8.38		29	17.37		90	53.89		14	8.38			Excluded					20	11.98		167	
		TOTAL		712	15.04		186	3.93		2536	53.56		341	7.20								960	20.27		4735	
	FOURTH			53	28.49			Excluded		40	21.51		66	35.48								27	14.52		186	
		TOTAL		765	16.16					2576	54.40		407	8.60								987	20.84		4735	
	FIFTH			285	70.02					42	10.32			Excluded								80	19.66		407	
		TOTAL		1050	22.18					2618	55.29											1067	22.53		4735	
	SIXTH				Excluded					353	33.62											697	66.38		1050	
		TOTAL								2971	62.75											1764	37.25		4735	
										Elected																
																										
Mylor                                                          																										
	FIRST			113	16.14		28	4.00		350	50.00		75	10.71		14	2.00		2	0.29		118	16.86		700	
	SECOND			0	0.00		0	0.00		1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		113	16.14		28	4.00		351	50.14		76	10.86		14	2.00					118	16.86		700	
	THIRD			0	0.00		4	28.57		3	21.43		3	21.43			Excluded					4	28.57		14	
		TOTAL		113	16.14		32	4.57		354	50.57		79	11.29								122	17.43		700	
	FOURTH			12	37.50			Excluded		9	28.13		10	31.25								1	3.13		32	
		TOTAL		125	17.86					363	51.86		89	12.71								123	17.57		700	
	FIFTH			62	69.66					9	10.11			Excluded								18	20.22		89	
		TOTAL		187	26.71					372	53.14											141	20.14		700	
	SIXTH				Excluded					40	21.39											147	78.61		187	
		TOTAL								412	58.86											288	41.14		700	
										Elected																
																										
Nairne                                                         																										
	FIRST			262	14.87		61	3.46		834	47.33		131	7.43		95	5.39		9	0.51		370	21.00		1762	
	SECOND			2	22.22		4	44.44		1	11.11		1	11.11		1	11.11			Excluded		0	0.00		9	
		TOTAL		264	14.98		65	3.69		835	47.39		132	7.49		96	5.45					370	21.00		1762	
	THIRD			7	7.29		21	21.88		44	45.83		8	8.33			Excluded					16	16.67		96	
		TOTAL		271	15.38		86	4.88		879	49.89		140	7.95								386	21.91		1762	
	FOURTH			27	31.40			Excluded		15	17.44		37	43.02								7	8.14		86	
		TOTAL		298	16.91					894	50.74		177	10.05								393	22.30		1762	
	FIFTH			108	61.02					25	14.12			Excluded								44	24.86		177	
		TOTAL		406	23.04					919	52.16											437	24.80		1762	
	SIXTH				Excluded					118	29.06											288	70.94		406	
		TOTAL								1037	58.85											725	41.15		1762	
										Elected																
																										
Newton                                                         																										
	FIRST			197	13.40		41	2.79		616	41.90		30	2.04		26	1.77		8	0.54		552	37.55		1470	
	SECOND			0	0.00		4	50.00		0	0.00		0	0.00		1	12.50			Excluded		3	37.50		8	
		TOTAL		197	13.40		45	3.06		616	41.90		30	2.04		27	1.84					555	37.76		1470	
	THIRD			4	14.81		3	11.11		13	48.15		2	7.41			Excluded					5	18.52		27	
		TOTAL		201	13.67		48	3.27		629	42.79		32	2.18								560	38.10		1470	
	FOURTH			13	27.08			Excluded		9	18.75		16	33.33								10	20.83		48	
		TOTAL		214	14.56					638	43.40		48	3.27								570	38.78		1470	
	FIFTH			19	39.58					14	29.17			Excluded								15	31.25		48	
		TOTAL		233	15.85					652	44.35											585	39.80		1470	
	SIXTH				Excluded					79	33.91											154	66.09		233	
		TOTAL								731	49.73											739	50.27		1470	
										Elected																
																										
Norton Summit                                                  																										
	FIRST			111	18.11		35	5.71		259	42.25		84	13.70		20	3.26		5	0.82		99	16.15		613	
	SECOND			0	0.00		3	60.00		0	0.00		1	20.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		111	18.11		38	6.20		259	42.25		85	13.87		20	3.26					100	16.31		613	
	THIRD			0	0.00		5	25.00		13	65.00		0	0.00			Excluded					2	10.00		20	
		TOTAL		111	18.11		43	7.01		272	44.37		85	13.87								102	16.64		613	
	FOURTH			8	18.60			Excluded		14	32.56		15	34.88								6	13.95		43	
		TOTAL		119	19.41					286	46.66		100	16.31								108	17.62		613	
	FIFTH			69	69.00					11	11.00			Excluded								20	20.00		100	
		TOTAL		188	30.67					297	48.45											128	20.88		613	
	SIXTH				Excluded					53	28.19											135	71.81		188	
		TOTAL								350	57.10											263	42.90		613	
										Elected																
																										
Old Noarlunga                                                  																										
	FIRST			105	18.52		8	1.41		227	40.04		24	4.23		29	5.11		1	0.18		173	30.51		567	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		105	18.52		9	1.59		227	40.04		24	4.23		29	5.11					173	30.51		567	
	THIRD			1	3.45		5	17.24		13	44.83		3	10.34			Excluded					7	24.14		29	
		TOTAL		106	18.69		14	2.47		240	42.33		27	4.76								180	31.75		567	
	FOURTH			4	28.57			Excluded		1	7.14		7	50.00								2	14.29		14	
		TOTAL		110	19.40					241	42.50		34	6.00								182	32.10		567	
	FIFTH			20	58.82					8	23.53			Excluded								6	17.65		34	
		TOTAL		130	22.93					249	43.92											188	33.16		567	
	SIXTH				Excluded					51	39.23											79	60.77		130	
		TOTAL								300	52.91											267	47.09		567	
										Elected																
																										
Paracombe                                                      																										
	FIRST			25	9.12		11	4.01		181	66.06		10	3.65		11	4.01		0	0.00		36	13.14		274	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		25	9.12		11	4.01		181	66.06		10	3.65		11	4.01					36	13.14		274	
	THIRD			1	9.09		6	54.55		2	18.18		0	0.00			Excluded					2	18.18		11	
		TOTAL		26	9.49		17	6.20		183	66.79		10	3.65								38	13.87		274	
	FOURTH			6	35.29			Excluded		8	47.06		3	17.65								0	0.00		17	
		TOTAL		32	11.68					191	69.71		13	4.74								38	13.87		274	
	FIFTH			7	53.85					1	7.69			Excluded								5	38.46		13	
		TOTAL		39	14.23					192	70.07											43	15.69		274	
	SIXTH				Excluded					17	43.59											22	56.41		39	
		TOTAL								209	76.28											65	23.72		274	
										Elected																
																										
Paradise                                                       																										
	FIRST			220	13.04		55	3.26		767	45.47		28	1.66		23	1.36		2	0.12		592	35.09		1687	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		220	13.04		56	3.32		767	45.47		28	1.66		23	1.36					593	35.15		1687	
	THIRD			2	8.70		1	4.35		10	43.48		3	13.04			Excluded					7	30.43		23	
		TOTAL		222	13.16		57	3.38		777	46.06		31	1.84								600	35.57		1687	
	FOURTH			14	24.56			Excluded		9	15.79		23	40.35								11	19.30		57	
		TOTAL		236	13.99					786	46.59		54	3.20								611	36.22		1687	
	FIFTH			21	38.89					8	14.81			Excluded								25	46.30		54	
		TOTAL		257	15.23					794	47.07											636	37.70		1687	
	SIXTH				Excluded					95	36.96											162	63.04		257	
		TOTAL								889	52.70											798	47.30		1687	
										Elected																
																										
Piccadilly                                                     																										
	FIRST			89	18.66		20	4.19		264	55.35		26	5.45		8	1.68		0	0.00		70	14.68		477	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		89	18.66		20	4.19		264	55.35		26	5.45		8	1.68					70	14.68		477	
	THIRD			0	0.00		2	25.00		2	25.00		3	37.50			Excluded					1	12.50		8	
		TOTAL		89	18.66		22	4.61		266	55.77		29	6.08								71	14.88		477	
	FOURTH			2	9.09			Excluded		6	27.27		11	50.00								3	13.64		22	
		TOTAL		91	19.08					272	57.02		40	8.39								74	15.51		477	
	FIFTH			20	50.00					3	7.50			Excluded								17	42.50		40	
		TOTAL		111	23.27					275	57.65											91	19.08		477	
	SIXTH				Excluded					29	26.13											82	73.87		111	
		TOTAL								304	63.73											173	36.27		477	
										Elected																
																										
Prospect Hill                                                  																										
	FIRST			15	11.03		6	4.41		92	67.65		8	5.88		5	3.68		0	0.00		10	7.35		136	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		15	11.03		6	4.41		92	67.65		8	5.88		5	3.68					10	7.35		136	
	THIRD			0	0.00		0	0.00		4	80.00		0	0.00			Excluded					1	20.00		5	
		TOTAL		15	11.03		6	4.41		96	70.59		8	5.88								11	8.09		136	
	FOURTH			2	33.33			Excluded		2	33.33		1	16.67								1	16.67		6	
		TOTAL		17	12.50					98	72.06		9	6.62								12	8.82		136	
	FIFTH			6	66.67					1	11.11			Excluded								2	22.22		9	
		TOTAL		23	16.91					99	72.79											14	10.29		136	
	SIXTH				Excluded					6	26.09											17	73.91		23	
		TOTAL								105	77.21											31	22.79		136	
										Elected																
																										
Rostrevor                                                      																										
	FIRST			333	11.97		101	3.63		1382	49.68		93	3.34		69	2.48		7	0.25		797	28.65		2782	
	SECOND			0	0.00		3	42.86		0	0.00		0	0.00		3	42.86			Excluded		1	14.29		7	
		TOTAL		333	11.97		104	3.74		1382	49.68		93	3.34		72	2.59					798	28.68		2782	
	THIRD			1	1.39		9	12.50		49	68.06		7	9.72			Excluded					6	8.33		72	
		TOTAL		334	12.01		113	4.06		1431	51.44		100	3.59								804	28.90		2782	
	FOURTH			42	37.17			Excluded		12	10.62		39	34.51								20	17.70		113	
		TOTAL		376	13.52					1443	51.87		139	5.00								824	29.62		2782	
	FIFTH			73	52.52					26	18.71			Excluded								40	28.78		139	
		TOTAL		449	16.14					1469	52.80											864	31.06		2782	
	SIXTH				Excluded					151	33.63											298	66.37		449	
		TOTAL								1620	58.23											1162	41.77		2782	
										Elected																
																										
Rostrevor South                                                																										
	FIRST			118	14.34		20	2.43		434	52.73		36	4.37		12	1.46		0	0.00		203	24.67		823	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		118	14.34		20	2.43		434	52.73		36	4.37		12	1.46					203	24.67		823	
	THIRD			1	8.33		3	25.00		7	58.33		0	0.00			Excluded					1	8.33		12	
		TOTAL		119	14.46		23	2.79		441	53.58		36	4.37								204	24.79		823	
	FOURTH			3	13.04			Excluded		10	43.48		7	30.43								3	13.04		23	
		TOTAL		122	14.82					451	54.80		43	5.22								207	25.15		823	
	FIFTH			26	60.47					8	18.60			Excluded								9	20.93		43	
		TOTAL		148	17.98					459	55.77											216	26.25		823	
	SIXTH				Excluded					43	29.05											105	70.95		148	
		TOTAL								502	61.00											321	39.00		823	
										Elected																
																										
Stirling East                                                  																										
	FIRST			172	15.15		35	3.08		610	53.74		104	9.16		12	1.06		6	0.53		196	17.27		1135	
	SECOND			0	0.00		0	0.00		1	16.67		1	16.67		0	0.00			Excluded		4	66.67		6	
		TOTAL		172	15.15		35	3.08		611	53.83		105	9.25		12	1.06					200	17.62		1135	
	THIRD			0	0.00		3	25.00		7	58.33		2	16.67			Excluded					0	0.00		12	
		TOTAL		172	15.15		38	3.35		618	54.45		107	9.43								200	17.62		1135	
	FOURTH			11	28.95			Excluded		8	21.05		15	39.47								4	10.53		38	
		TOTAL		183	16.12					626	55.15		122	10.75								204	17.97		1135	
	FIFTH			78	63.93					15	12.30			Excluded								29	23.77		122	
		TOTAL		261	23.00					641	56.48											233	20.53		1135	
	SIXTH				Excluded					55	21.07											206	78.93		261	
		TOTAL								696	61.32											439	38.68		1135	
										Elected																
																										
Stirling West                                                  																										
	FIRST			393	18.80		74	3.54		1065	50.96		217	10.38		31	1.48		4	0.19		306	14.64		2090	
	SECOND			0	0.00		1	25.00		0	0.00		1	25.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		393	18.80		75	3.59		1065	50.96		218	10.43		32	1.53					307	14.69		2090	
	THIRD			2	6.25		5	15.63		18	56.25		2	6.25			Excluded					5	15.63		32	
		TOTAL		395	18.90		80	3.83		1083	51.82		220	10.53								312	14.93		2090	
	FOURTH			19	23.75			Excluded		12	15.00		40	50.00								9	11.25		80	
		TOTAL		414	19.81					1095	52.39		260	12.44								321	15.36		2090	
	FIFTH			181	69.62					25	9.62			Excluded								54	20.77		260	
		TOTAL		595	28.47					1120	53.59											375	17.94		2090	
	SIXTH				Excluded					143	24.03											452	75.97		595	
		TOTAL								1263	60.43											827	39.57		2090	
										Elected																
																										
Strathalbyn                                                    																										
	FIRST			307	12.34		66	2.65		1506	60.53		101	4.06		146	5.87		9	0.36		353	14.19		2488	
	SECOND			3	33.33		2	22.22		1	11.11		1	11.11		2	22.22			Excluded		0	0.00		9	
		TOTAL		310	12.46		68	2.73		1507	60.57		102	4.10		148	5.95					353	14.19		2488	
	THIRD			11	7.43		20	13.51		76	51.35		24	16.22			Excluded					17	11.49		148	
		TOTAL		321	12.90		88	3.54		1583	63.63		126	5.06								370	14.87		2488	
	FOURTH			27	30.68			Excluded		23	26.14		29	32.95								9	10.23		88	
		TOTAL		348	13.99					1606	64.55		155	6.23								379	15.23		2488	
	FIFTH			101	65.16					22	14.19			Excluded								32	20.65		155	
		TOTAL		449	18.05					1628	65.43											411	16.52		2488	
	SIXTH				Excluded					153	34.08											296	65.92		449	
		TOTAL								1781	71.58											707	28.42		2488	
										Elected																
																										
Summertown                                                     																										
	FIRST			150	19.53		38	4.95		359	46.74		68	8.85		23	2.99		2	0.26		128	16.67		768	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		150	19.53		39	5.08		359	46.74		68	8.85		24	3.13					128	16.67		768	
	THIRD			1	4.17		6	25.00		11	45.83		4	16.67			Excluded					2	8.33		24	
		TOTAL		151	19.66		45	5.86		370	48.18		72	9.38								130	16.93		768	
	FOURTH			10	22.22			Excluded		16	35.56		13	28.89								6	13.33		45	
		TOTAL		161	20.96					386	50.26		85	11.07								136	17.71		768	
	FIFTH			67	78.82					5	5.88			Excluded								13	15.29		85	
		TOTAL		228	29.69					391	50.91											149	19.40		768	
	SIXTH				Excluded					64	28.07											164	71.93		228	
		TOTAL								455	59.24											313	40.76		768	
										Elected																
																										
Upper Sturt                                                    																										
	FIRST			112	20.51		15	2.75		267	48.90		40	7.33		13	2.38		3	0.55		96	17.58		546	
	SECOND			2	66.67		0	0.00		0	0.00		1	33.33		0	0.00			Excluded		0	0.00		3	
		TOTAL		114	20.88		15	2.75		267	48.90		41	7.51		13	2.38					96	17.58		546	
	THIRD			0	0.00		2	15.38		9	69.23		1	7.69			Excluded					1	7.69		13	
		TOTAL		114	20.88		17	3.11		276	50.55		42	7.69								97	17.77		546	
	FOURTH			7	41.18			Excluded		4	23.53		4	23.53								2	11.76		17	
		TOTAL		121	22.16					280	51.28		46	8.42								99	18.13		546	
	FIFTH			31	67.39					3	6.52			Excluded								12	26.09		46	
		TOTAL		152	27.84					283	51.83											111	20.33		546	
	SIXTH				Excluded					37	24.34											115	75.66		152	
		TOTAL								320	58.61											226	41.39		546	
										Elected																
																										
Uraidla                                                        																										
	FIRST			78	14.94		15	2.87		318	60.92		27	5.17		17	3.26		1	0.19		66	12.64		522	
	SECOND			0	0.00		1	100.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		78	14.94		16	3.07		318	60.92		27	5.17		17	3.26					66	12.64		522	
	THIRD			1	5.88		3	17.65		8	47.06		0	0.00			Excluded					5	29.41		17	
		TOTAL		79	15.13		19	3.64		326	62.45		27	5.17								71	13.60		522	
	FOURTH			7	36.84			Excluded		2	10.53		8	42.11								2	10.53		19	
		TOTAL		86	16.48					328	62.84		35	6.70								73	13.98		522	
	FIFTH			27	77.14					1	2.86			Excluded								7	20.00		35	
		TOTAL		113	21.65					329	63.03											80	15.33		522	
	SIXTH				Excluded					39	34.51											74	65.49		113	
		TOTAL								368	70.50											154	29.50		522	
										Elected																
																										
Willunga                                                       																										
	FIRST			232	13.30		42	2.41		912	52.29		138	7.91		46	2.64		5	0.29		369	21.16		1744	
	SECOND			0	0.00		1	20.00		1	20.00		0	0.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		232	13.30		43	2.47		913	52.35		138	7.91		48	2.75					370	21.22		1744	
	THIRD			6	12.50		8	16.67		24	50.00		8	16.67			Excluded					2	4.17		48	
		TOTAL		238	13.65		51	2.92		937	53.73		146	8.37								372	21.33		1744	
	FOURTH			10	19.61			Excluded		9	17.65		30	58.82								2	3.92		51	
		TOTAL		248	14.22					946	54.24		176	10.09								374	21.44		1744	
	FIFTH			112	63.64					26	14.77			Excluded								38	21.59		176	
		TOTAL		360	20.64					972	55.73											412	23.62		1744	
	SIXTH				Excluded					103	28.61											257	71.39		360	
		TOTAL								1075	61.64											669	38.36		1744	
										Elected																
																										
Woodchester                                                    																										
	FIRST			32	12.08		12	4.53		157	59.25		12	4.53		14	5.28		1	0.38		37	13.96		265	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		32	12.08		12	4.53		158	59.62		12	4.53		14	5.28					37	13.96		265	
	THIRD			0	0.00		6	42.86		6	42.86		0	0.00			Excluded					2	14.29		14	
		TOTAL		32	12.08		18	6.79		164	61.89		12	4.53								39	14.72		265	
	FOURTH			4	22.22			Excluded		2	11.11		5	27.78								7	38.89		18	
		TOTAL		36	13.58					166	62.64		17	6.42								46	17.36		265	
	FIFTH			9	52.94					3	17.65			Excluded								5	29.41		17	
		TOTAL		45	16.98					169	63.77											51	19.25		265	
	SIXTH				Excluded					11	24.44											34	75.56		45	
		TOTAL								180	67.92											85	32.08		265	
										Elected																
																										
Woodside                                                       																										
	FIRST			157	12.39		37	2.92		759	59.91		47	3.71		56	4.42		5	0.39		206	16.26		1267	
	SECOND			0	0.00		2	40.00		1	20.00		0	0.00		2	40.00			Excluded		0	0.00		5	
		TOTAL		157	12.39		39	3.08		760	59.98		47	3.71		58	4.58					206	16.26		1267	
	THIRD			7	12.07		6	10.34		30	51.72		4	6.90			Excluded					11	18.97		58	
		TOTAL		164	12.94		45	3.55		790	62.35		51	4.03								217	17.13		1267	
	FOURTH			10	22.22			Excluded		11	24.44		15	33.33								9	20.00		45	
		TOTAL		174	13.73					801	63.22		66	5.21								226	17.84		1267	
	FIFTH			33	50.00					15	22.73			Excluded								18	27.27		66	
		TOTAL		207	16.34					816	64.40											244	19.26		1267	
	SIXTH				Excluded					84	40.58											123	59.42		207	
		TOTAL								900	71.03											367	28.97		1267	
										Elected																
																										
Special Hospital Team 1                                        																										
	FIRST			13	7.93		1	0.61		115	70.12		1	0.61		1	0.61		1	0.61		32	19.51		164	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		13	7.93		1	0.61		116	70.73		1	0.61		1	0.61					32	19.51		164	
	THIRD			0	0.00		0	0.00		0	0.00		1	100.00			Excluded					0	0.00		1	
		TOTAL		13	7.93		1	0.61		116	70.73		2	1.22								32	19.51		164	
	FOURTH			1	100.00			Excluded		0	0.00		0	0.00								0	0.00		1	
		TOTAL		14	8.54					116	70.73		2	1.22								32	19.51		164	
	FIFTH			1	50.00					0	0.00			Excluded								1	50.00		2	
		TOTAL		15	9.15					116	70.73											33	20.12		164	
	SIXTH				Excluded					12	80.00											3	20.00		15	
		TOTAL								128	78.05											36	21.95		164	
										Elected																
																										
Special Hospital Team 2                                        																										
	FIRST			6	4.62		1	0.77		73	56.15		2	1.54		5	3.85		0	0.00		43	33.08		130	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		6	4.62		1	0.77		73	56.15		2	1.54		5	3.85					43	33.08		130	
	THIRD			1	20.00		1	20.00		2	40.00		0	0.00			Excluded					1	20.00		5	
		TOTAL		7	5.38		2	1.54		75	57.69		2	1.54								44	33.85		130	
	FOURTH			2	100.00			Excluded		0	0.00		0	0.00								0	0.00		2	
		TOTAL		9	6.92					75	57.69		2	1.54								44	33.85		130	
	FIFTH			1	50.00					1	50.00			Excluded								0	0.00		2	
		TOTAL		10	7.69					76	58.46											44	33.85		130	
	SIXTH				Excluded					7	70.00											3	30.00		10	
		TOTAL								83	63.85											47	36.15		130	
										Elected																
																										
ABSENT																										
	FIRST			908	17.15		138	2.61		2567	48.50		339	6.40		150	2.83		43	0.81		1148	21.69		5293	
	SECOND			3	6.98		18	41.86		5	11.63		7	16.28		3	6.98			Excluded		7	16.28		43	
		TOTAL		911	17.21		156	2.95		2572	48.59		346	6.54		153	2.89					1155	21.82		5293	
	THIRD			18	11.76		40	26.14		45	29.41		24	15.69			Excluded					26	16.99		153	
		TOTAL		929	17.55		196	3.70		2617	49.44		370	6.99								1181	22.31		5293	
	FOURTH			76	38.78			Excluded		44	22.45		54	27.55								22	11.22		196	
		TOTAL		1005	18.99					2661	50.27		424	8.01								1203	22.73		5293	
	FIFTH			252	59.43					70	16.51			Excluded								102	24.06		424	
		TOTAL		1257	23.75					2731	51.60											1305	24.66		5293	
	SIXTH				Excluded					464	36.91											793	63.09		1257	
		TOTAL								3195	60.36											2098	39.64		5293	
										Elected																
																										
POSTAL																										
	FIRST			321	11.93		42	1.56		1619	60.19		93	3.46		94	3.49		17	0.63		504	18.74		2690	
	SECOND			1	5.88		6	35.29		5	29.41		4	23.53		1	5.88			Excluded		0	0.00		17	
		TOTAL		322	11.97		48	1.78		1624	60.37		97	3.61		95	3.53					504	18.74		2690	
	THIRD			11	11.58		24	25.26		42	44.21		6	6.32			Excluded					12	12.63		95	
		TOTAL		333	12.38		72	2.68		1666	61.93		103	3.83								516	19.18		2690	
	FOURTH			15	20.83			Excluded		23	31.94		15	20.83								19	26.39		72	
		TOTAL		348	12.94					1689	62.79		118	4.39								535	19.89		2690	
	FIFTH			73	61.86					19	16.10			Excluded								26	22.03		118	
		TOTAL		421	15.65					1708	63.49											561	20.86		2690	
	SIXTH				Excluded					122	28.98											299	71.02		421	
		TOTAL								1830	68.03											860	31.97		2690	
										Elected																
																										
PRE POLL																										
	FIRST			396	16.28		42	1.73		1301	53.50		129	5.30		81	3.33		21	0.86		462	19.00		2432	
	SECOND			2	9.52		3	14.29		3	14.29		3	14.29		3	14.29			Excluded		7	33.33		21	
		TOTAL		398	16.37		45	1.85		1304	53.62		132	5.43		84	3.45					469	19.28		2432	
	THIRD			4	4.76		22	26.19		43	51.19		6	7.14			Excluded					9	10.71		84	
		TOTAL		402	16.53		67	2.75		1347	55.39		138	5.67								478	19.65		2432	
