House of Representatives - 2001 Election: South Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Port Adelaide																							
				PHILLIPS			BAWDEN			NOONE			SAWFORD			PERTH			KRIEG				
	THIRD			3	4.55		27	40.91			Excluded		31	46.97					5	7.58		66	
		TOTAL		88	5.55		194	12.24					783	49.40					520	32.81		1585	
	FOURTH				Excluded		45	51.14					17	19.32					26	29.55		88	
		TOTAL					239	15.08					800	50.47					546	34.45		1585	
	FIFTH							Excluded					164	68.62					75	31.38		239	
		TOTAL											964	60.82					621	39.18		1585	
													Elected										
																							
Woodville West                                                 																							
	FIRST			89	5.29		145	8.63		58	3.45		851	50.62		8	0.48		530	31.53		1681	
	SECOND			1	12.50		2	25.00		1	12.50		3	37.50			Excluded		1	12.50		8	
		TOTAL		90	5.35		147	8.74		59	3.51		854	50.80					531	31.59		1681	
	THIRD			2	3.39		22	37.29			Excluded		30	50.85					5	8.47		59	
		TOTAL		92	5.47		169	10.05					884	52.59					536	31.89		1681	
	FOURTH				Excluded		40	43.48					25	27.17					27	29.35		92	
		TOTAL					209	12.43					909	54.07					563	33.49		1681	
	FIFTH							Excluded					152	72.73					57	27.27		209	
		TOTAL											1061	63.12					620	36.88		1681	
													Elected										
																							
Special Hospital Team 1                                        																							
	FIRST			7	5.51		6	4.72		0	0.00		67	52.76		0	0.00		47	37.01		127	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		7	5.51		6	4.72		0	0.00		67	52.76					47	37.01		127	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		7	5.51		6	4.72					67	52.76					47	37.01		127	
	FOURTH				Excluded		3	42.86					3	42.86					1	14.29		7	
		TOTAL					9	7.09					70	55.12					48	37.80		127	
	FIFTH							Excluded					8	88.89					1	11.11		9	
		TOTAL											78	61.42					49	38.58		127	
													Elected										
																							
Special Hospital Team 2                                        																							
	FIRST			5	8.77		6	10.53		0	0.00		29	50.88		1	1.75		16	28.07		57	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		5	8.77		6	10.53		1	1.75		29	50.88					16	28.07		57	
	THIRD			0	0.00		1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		5	8.77		7	12.28					29	50.88					16	28.07		57	
	FOURTH				Excluded		4	80.00					1	20.00					0	0.00		5	
		TOTAL					11	19.30					30	52.63					16	28.07		57	
	FIFTH							Excluded					9	81.82					2	18.18		11	
		TOTAL											39	68.42					18	31.58		57	
													Elected										
																							
Special Hospital Team 3                                        																							
	FIRST			4	4.71		8	9.41		1	1.18		38	44.71		0	0.00		34	40.00		85	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	4.71		8	9.41		1	1.18		38	44.71					34	40.00		85	
	THIRD			0	0.00		0	0.00			Excluded		1	100.00					0	0.00		1	
		TOTAL		4	4.71		8	9.41					39	45.88					34	40.00		85	
	FOURTH				Excluded		3	75.00					1	25.00					0	0.00		4	
		TOTAL					11	12.94					40	47.06					34	40.00		85	
	FIFTH							Excluded					8	72.73					3	27.27		11	
		TOTAL											48	56.47					37	43.53		85	
													Elected										
																							
Special Hospital Team 4                                        																							
	FIRST			3	5.00		3	5.00		4	6.67		34	56.67		0	0.00		16	26.67		60	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	5.00		3	5.00		4	6.67		34	56.67					16	26.67		60	
	THIRD			0	0.00		2	50.00			Excluded		2	50.00					0	0.00		4	
		TOTAL		3	5.00		5	8.33					36	60.00					16	26.67		60	
	FOURTH				Excluded		2	66.67					0	0.00					1	33.33		3	
		TOTAL					7	11.67					36	60.00					17	28.33		60	
	FIFTH							Excluded					4	57.14					3	42.86		7	
		TOTAL											40	66.67					20	33.33		60	
													Elected										
																							
Special Hospital Team 5                                        																							
	FIRST			4	4.55		4	4.55		0	0.00		47	53.41		0	0.00		33	37.50		88	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	4.55		4	4.55		0	0.00		47	53.41					33	37.50		88	
	THIRD			0	0.00		0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		4	4.55		4	4.55					47	53.41					33	37.50		88	
	FOURTH				Excluded		3	75.00					1	25.00					0	0.00		4	
		TOTAL					7	7.95					48	54.55					33	37.50		88	
	FIFTH							Excluded					7	100.00					0	0.00		7	
		TOTAL											55	62.50					33	37.50		88	
													Elected										
																							
ABSENT																							
	FIRST			285	6.48		560	12.74		263	5.98		1920	43.67		64	1.46		1305	29.68		4397	
	SECOND			10	15.63		6	9.38		14	21.88		25	39.06			Excluded		9	14.06		64	
		TOTAL		295	6.71		566	12.87		277	6.30		1945	44.23					1314	29.88		4397	
	THIRD			28	10.11		134	48.38			Excluded		85	30.69					30	10.83		277	
		TOTAL		323	7.35		700	15.92					2030	46.17					1344	30.57		4397	
	FOURTH				Excluded		168	52.01					79	24.46					76	23.53		323	
		TOTAL					868	19.74					2109	47.96					1420	32.29		4397	
	FIFTH							Excluded					624	71.89					244	28.11		868	
		TOTAL											2733	62.16					1664	37.84		4397	
													Elected										
																							
POSTAL																							
	FIRST			174	5.55		152	4.85		59	1.88		1680	53.57		16	0.51		1055	33.64		3136	
	SECOND			2	12.50		0	0.00		5	31.25		9	56.25			Excluded		0	0.00		16	
		TOTAL		176	5.61		152	4.85		64	2.04		1689	53.86					1055	33.64		3136	
	THIRD			4	6.25		31	48.44			Excluded		26	40.63					3	4.69		64	
		TOTAL		180	5.74		183	5.84					1715	54.69					1058	33.74		3136	
	FOURTH				Excluded		54	30.00					58	32.22					68	37.78		180	
		TOTAL					237	7.56					1773	56.54					1126	35.91		3136	
	FIFTH							Excluded					170	71.73					67	28.27		237	
		TOTAL											1943	61.96					1193	38.04		3136	
													Elected										
																							
PRE POLL																							
	FIRST			115	4.79		235	9.78		106	4.41		1154	48.04		19	0.79		773	32.18		2402	
	SECOND			2	10.53		6	31.58		9	47.37		1	5.26			Excluded		1	5.26		19	
		TOTAL		117	4.87		241	10.03		115	4.79		1155	48.08					774	32.22		2402	
	THIRD			5	4.35		69	60.00			Excluded		36	31.30					5	4.35		115	
		TOTAL		122	5.08		310	12.91					1191	49.58					779	32.43		2402	
	FOURTH				Excluded		52	42.62					38	31.15					32	26.23		122	
		TOTAL					362	15.07					1229	51.17					811	33.76		2402	
	FIFTH							Excluded					241	66.57					121	33.43		362	
		TOTAL											1470	61.20					932	38.80		2402	
													Elected										
																							
PROVISIONAL																							
	FIRST			33	6.03		51	9.32		21	3.84		307	56.12		4	0.73		131	23.95		547	
	SECOND			0	0.00		0	0.00		2	50.00		1	25.00			Excluded		1	25.00		4	
		TOTAL		33	6.03		51	9.32		23	4.20		308	56.31					132	24.13		547	
	THIRD			2	8.70		9	39.13			Excluded		11	47.83					1	4.35		23	
		TOTAL		35	6.40		60	10.97					319	58.32					133	24.31		547	
	FOURTH				Excluded		17	48.57					8	22.86					10	28.57		35	
		TOTAL					77	14.08					327	59.78					143	26.14		547	
	FIFTH							Excluded					53	68.83					24	31.17		77	
		TOTAL											380	69.47					167	30.53		547	
													Elected										
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
