House of Representatives - 2001 South Australia								
Swing to ALP								
By Division by Polling Place								
								
Adelaide								
								
Polling Place	Formal	STANLEY		WORTH		Swing		
Modbury Central	2094	978	46.70	1116	53.30	-3.64		
Modbury Heights	3263	1489	45.63	1774	54.37	-3.25		
Modbury North	2616	1222	46.71	1394	53.29	-1.36		
Modbury West	2923	1351	46.22	1572	53.78	-3.87		
Para Hills	3558	1848	51.94	1710	48.06	-3.73		
Para Hills East	1495	770	51.51	725	48.49	-1.38		
Para Hills West	1628	911	55.96	717	44.04	-5.20		
Para Vista	3028	1573	51.95	1455	48.05	-5.37		
Pooraka	3552	2102	59.18	1450	40.82	-2.38		
Redwood Park	2269	967	42.62	1302	57.38	-1.07		
Ridgehaven	3155	1380	43.74	1775	56.26	-4.19		
Salisbury East	2601	1308	50.29	1293	49.71	-6.33		
Salisbury East Central	2130	1039	48.78	1091	51.22	-3.32		
Salisbury Heights (Makin)	337	107	31.75	230	68.25	-12.02		
Special Hospital Team 1	99	42	42.42	57	57.58	-		
Special Hospital Team 2	63	22	34.92	41	65.08	-		
St Agnes	2822	1162	41.18	1660	58.82	-2.72		
St Agnes West	1587	661	41.65	926	58.35	-1.08		
Surrey Downs	2347	998	42.52	1349	57.48	-1.90		
Tea Tree Gully	1441	561	38.93	880	61.07	0.85		
Valley View	1355	687	50.70	668	49.30	-2.89		
Wynn Vale	4442	1862	41.92	2580	58.08	-2.31		
ABSENT	4908	2258	46.01	2650	53.99	-		
POSTAL	2874	1134	39.46	1740	60.54	-		
PRE POLL	2407	1005	41.75	1402	58.25	-		
PROVISIONAL	450	216	48.00	234	52.00	-		
Division Total	80490	37219	46.24	43271	53.76	-2.98		
								
								
Mayo								
								
Polling Place	Formal	BRENNAN		DOWNER		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Aberfoyle Park	3423	1379	40.29	2044	59.71	-		
Aberfoyle Park North (Mayo)	2088	757	36.25	1331	63.75	-		
Aberfoyle Park South	916	359	39.19	557	60.81	-		
Adelaide (Mayo)	105	47	44.76	58	55.24	-		
Aldgate	1937	830	42.85	1107	57.15	-		
Athelstone	3667	1485	40.50	2182	59.50	-		
Athelstone West	3206	1386	43.23	1820	56.77	-		
Balhannah	1409	428	30.38	981	69.62	-		
Basket Range	128	54	42.19	74	57.81	-		
Bridgewater	1613	648	40.17	965	59.83	-		
Brukunga	178	68	38.20	110	61.80	-		
Callington	284	101	35.56	183	64.44	-		
Charleston	238	59	24.79	179	75.21	-		
Cherry Gardens	535	151	28.22	384	71.78	-		
Clarendon	447	153	34.23	294	65.77	-		
Coromandel Valley (Mayo)	1149	385	33.51	764	66.49	-		
Crafers	1340	529	39.48	811	60.52	-		
Cudlee Creek	165	38	23.03	127	76.97	-		
Echunga	742	204	27.49	538	72.51	-		
Flagstaff Hill (Mayo)	413	139	33.66	274	66.34	-		
Hahndorf	1576	446	28.30	1130	71.70	-		
Happy Valley (Mayo)	1426	478	33.52	948	66.48	-		
Harrogate	123	41	33.33	82	66.67	-		
Highbury South (Mayo)	2355	752	31.93	1603	68.07	-		
Houghton	592	164	27.70	428	72.30	-		
Kangarilla	506	181	35.77	325	64.23	-		
Langhorne Creek	247	39	15.79	208	84.21	-		
Lenswood	463	122	26.35	341	73.65	-		
Littlehampton	1581	556	35.17	1025	64.83	-		
Lobethal	1293	348	26.91	945	73.09	-		
Longwood	326	127	38.96	199	61.04	-		
Macclesfield	765	308	40.26	457	59.74	-		
Magill (Mayo)	1356	577	42.55	779	57.45	-		
Mclaren Flat	669	209	31.24	460	68.76	-		
Mclaren Vale	1959	673	34.35	1286	65.65	-		
Meadows	917	320	34.90	597	65.10	-		
Montacute	154	65	42.21	89	57.79	-		
Mount Barker	4735	1764	37.25	2971	62.75	-		
Mylor	700	288	41.14	412	58.86	-		
Nairne	1762	725	41.15	1037	58.85	-		
Newton	1470	739	50.27	731	49.73	-		
Norton Summit	613	263	42.90	350	57.10	-		
Old Noarlunga	567	267	47.09	300	52.91	-		
Paracombe	274	65	23.72	209	76.28	-		
Paradise	1687	798	47.30	889	52.70	-		
Piccadilly	477	173	36.27	304	63.73	-		
Prospect Hill	136	31	22.79	105	77.21	-		
Rostrevor	2782	1162	41.77	1620	58.23	-		
Rostrevor South	823	321	39.00	502	61.00	-		
Special Hospital Team 1	164	36	21.95	128	78.05	-		
Special Hospital Team 2	130	47	36.15	83	63.85	-		
Stirling East	1135	439	38.68	696	61.32	-		
Stirling West	2090	827	39.57	1263	60.43	-		
Strathalbyn	2488	707	28.42	1781	71.58	-		
Summertown	768	313	40.76	455	59.24	-		
Upper Sturt	546	226	41.39	320	58.61	-		
Uraidla	522	154	29.50	368	70.50	-		
Willunga	1744	669	38.36	1075	61.64	-		
Woodchester	265	85	32.08	180	67.92	-		
Woodside	1267	367	28.97	900	71.03	-		
ABSENT	5293	2098	39.64	3195	60.36	-		
POSTAL	2690	860	31.97	1830	68.03	-		
PRE POLL	2432	861	35.40	1571	64.60	-		
PROVISIONAL	351	149	42.45	202	57.55	-		
Division Total	78202	29040	37.13	49162	62.87			
								
								
Port Adelaide								
								
Polling Place	Formal	SAWFORD		KRIEG		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Port Adelaide)	108	65	60.19	43	39.81	-4.75		
Albert Park	910	550	60.44	360	39.56	-1.99		
Allenby Gardens	1226	838	68.35	388	31.65	-3.72		
Beverley	576	412	71.53	164	28.47	-1.48		
Birkenhead	1927	1472	76.39	455	23.61	-1.02		
Cheltenham	1386	893	64.43	493	35.57	0.53		
Croydon (Port Adelaide)	905	642	70.94	263	29.06	4.57		
Croydon Park West (Port Adelaide	332	240	72.29	92	27.71	-1.92		
Ethelton	909	608	66.89	301	33.11	-4.16		
Ferryden Park	953	759	79.64	194	20.36	-5.85		
Findon	1633	1061	64.97	572	35.03	-0.51		
Findon North	1048	649	61.93	399	38.07	-4.61		
Grange	3240	1645	50.77	1595	49.23	-1.00		
Kilkenny	1009	681	67.49	328	32.51	-1.65		
Largs Bay	3197	2140	66.94	1057	33.06	-1.32		
Largs Bay Central	824	511	62.01	313	37.99	0.13		
Mansfield Park	1663	1391	83.64	272	16.36	-0.17		
North Haven	2330	1432	61.46	898	38.54	-0.40		
Ottoway	1539	1173	76.22	366	23.78	-1.03		
Pennington	1564	1228	78.52	336	21.48	-2.43		
Port Adelaide	588	400	68.03	188	31.97	-3.91		
Queenstown	1589	1121	70.55	468	29.45	0.36		
Rosewater	2023	1441	71.23	582	28.77	-3.36		
Royal Park	1856	1158	62.39	698	37.61	-3.38		
Royal Park South	1680	1024	60.95	656	39.05	-3.81		
Seaton	2088	1258	60.25	830	39.75	-0.20		
Seaton Park	2302	1486	64.55	816	35.45	1.42		
Seaton West	1387	710	51.19	677	48.81	0.53		
Semaphore	1822	1232	67.62	590	32.38	0.36		
Semaphore Park	1348	831	61.65	517	38.35	-2.21		
Semaphore Park South	1168	832	71.23	336	28.77	-2.91		
Semaphore South	1371	891	64.99	480	35.01	0.72		
Special Hospital Team 1	127	78	61.42	49	38.58	-		
Special Hospital Team 2	57	39	68.42	18	31.58	-		
Special Hospital Team 3	85	48	56.47	37	43.53	-		
Special Hospital Team 4	60	40	66.67	20	33.33	-		
Special Hospital Team 5	88	55	62.50	33	37.50	-		
Taperoo	2536	1696	66.88	840	33.12	-4.77		
Taperoo East	1248	987	79.09	261	20.91	-3.85		
Virginia (Port Adelaide)	488	245	50.20	243	49.80	-34.43		
West Croydon	1885	1307	69.34	578	30.66	1.75		
West Lakes Shore	4354	1803	41.41	2551	58.59	0.35		
Woodville	1608	961	59.76	647	40.24	-0.97		
Woodville Gardens	2417	2003	82.87	414	17.13	-2.16		
Woodville North	1182	792	67.01	390	32.99	-1.88		
Woodville South	1585	964	60.82	621	39.18	-0.69		
Woodville West	1681	1061	63.12	620	36.88	-0.84		
ABSENT	4397	2733	62.16	1664	37.84	-		
POSTAL	3136	1943	61.96	1193	38.04	-		
PRE POLL	2402	1470	61.20	932	38.80	-		
PROVISIONAL	547	380	69.47	167	30.53	-		
Division Total	76384	49379	64.65	27005	35.35	-1.07		
								
								
Sturt								
								
Polling Place	Formal	SIMMONS		PYNE		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Adelaide (Sturt)	125	66	52.80	59	47.20	-5.26		
Beaumont	2229	541	24.27	1688	75.73	4.26		
Beulah Park	1563	724	46.32	839	53.68	-3.25		
Burnside	3490	926	26.53	2564	73.47	1.85		
Campbelltown	2867	1460	50.92	1407	49.08	-1.53		
Dernancourt	1724	691	40.08	1033	59.92	-0.04		
Felixstow	1311	639	48.74	672	51.26	-6.00		
Gilles Plains	687	319	46.43	368	53.57	-1.56		
Gilles Plains East	1336	707	52.92	629	47.08	-6.44		
Glen Osmond	823	230	27.95	593	72.05	3.25		
Glenunga	1307	376	28.77	931	71.23	1.23		
Glenunga North	1402	444	31.67	958	68.33	0.38		
Glynde	1553	799	51.45	754	48.55	2.28		
Hectorville North	2068	1100	53.19	968	46.81	-2.35		
Highbury East	1517	621	40.94	896	59.06	0.84		
Highbury South (Sturt)	1720	722	41.98	998	58.02	1.89		
Hillcrest	2395	1242	51.86	1153	48.14	-4.37		
Holden Hill	2358	1266	53.69	1092	46.31	1.45		
Kensington Gardens	1591	458	28.79	1133	71.21	-0.82		
Kensington Park	1356	514	37.91	842	62.09	2.55		
Klemzig	2344	1232	52.56	1112	47.44	-2.69		
Linden Park	1382	415	30.03	967	69.97	3.24		
Magill (Sturt)	2426	971	40.02	1455	59.98	0.71		
Magill North	1752	943	53.82	809	46.18	0.47		
Marden	399	172	43.11	227	56.89	-6.48		
Marden West (Sturt)	1619	774	47.81	845	52.19	-3.37		
Marryatville	474	164	34.60	310	65.40	-3.81		
Maylands	1515	841	55.51	674	44.49	1.30		
Norwood	1989	940	47.26	1049	52.74	-1.23		
Norwood West	1909	895	46.88	1014	53.12	0.46		
Paradise West	1064	513	48.21	551	51.79	8.12		
Rose Park	1207	443	36.70	764	63.30	2.44		
Special Hospital Team 1	405	123	30.37	282	69.63	-		
Special Hospital Team 2	230	58	25.22	172	74.78	-		
St Morris	1207	609	50.46	598	49.54	1.08		
Stonyfell	1895	479	25.28	1416	74.72	2.44		
Toorak Gardens	1681	533	31.71	1148	68.29	2.66		
Tranmere	1732	692	39.95	1040	60.05	-0.16		
Trinity Gardens	1724	869	50.41	855	49.59	-0.07		
Tusmore	1917	604	31.51	1313	68.49	4.28		
Vale Park	1751	660	37.69	1091	62.31	-1.52		
Windsor Gardens East	770	413	53.64	357	46.36	-5.44		
Windsor Gardens West	1109	596	53.74	513	46.26	-1.82		
ABSENT	5095	2277	44.69	2818	55.31	-		
POSTAL	3407	1121	32.90	2286	67.10	-		
PRE POLL	3095	1194	38.58	1901	61.42	-		
PROVISIONAL	358	192	53.63	166	46.37	-		
Division Total	77878	32568	41.82	45310	58.18	-0.46		
								
								
Wakefield								
								
Polling Place	Formal	ROWBOTTOM		ANDREW		Swing		
	Votes	(ALP)	%	(LP)	%	%		
Alford	126	27	21.43	99	78.57	4.04		
Angaston	1560	523	33.53	1037	66.47	-0.41		
Ardrossan	1082	412	38.08	670	61.92	4.42		
Arthurton	168	25	14.88	143	85.12	5.36		
Balaklava	1364	337	24.71	1027	75.29	0.55		
Barmera	2052	691	33.67	1361	66.33	3.49		
Berri	2535	846	33.37	1689	66.63	1.55		
Birdwood	736	264	35.87	472	64.13	0.51		
Blanchetown	239	80	33.47	159	66.53	4.10		
Bute	326	80	24.54	246	75.46	2.79		
Cadell	227	63	27.75	164	72.25	-1.06		
Cobdogla	354	115	32.49	239	67.51	4.46		
Coobowie	246	106	43.09	140	56.91	-0.05		
Corny Point	119	38	31.93	81	68.07	1.80		
Curramulka	237	41	17.30	196	82.70	3.90		
Dublin	452	169	37.39	283	62.61	-2.89		
Eden Valley	224	80	35.71	144	64.29	8.21		
Edithburgh	389	171	43.96	218	56.04	4.68		
Evanston	1192	561	47.06	631	52.94	-1.31		
Evanston Gardens	1243	600	48.27	643	51.73	0.14		
Forreston	206	76	36.89	130	63.11	-1.36		
Freeling	814	285	35.01	529	64.99	0.41		
Gawler	1693	706	41.70	987	58.30	1.25		
Gawler East	1883	697	37.02	1186	62.98	0.36		
Gawler River	286	91	31.82	195	68.18	-0.59		
Gawler South	2357	976	41.41	1381	58.59	2.06		
Gawler West	1405	689	49.04	716	50.96	1.38		
Glossop	364	109	29.95	255	70.05	-1.78		
Greenock	800	271	33.87	529	66.12	3.45		
Gumeracha	603	184	30.51	419	69.49	-0.66		
Hamley Bridge	403	155	38.46	248	61.54	5.46		
Hardwicke Bay	96	31	32.29	65	67.71	4.09		
Kadina	1988	661	33.25	1327	66.75	1.97		
Kapunda	1757	734	41.78	1023	58.22	5.31		
Kersbrook	620	212	34.19	408	65.81	0.75		
Loxton	2827	805	28.48	2022	71.52	2.59		
Loxton North	490	126	25.71	364	74.29	3.35		
Lyndoch	1037	370	35.68	667	64.32	3.36		
Lyrup	230	66	28.70	164	71.30	-2.18		
Maitland	852	205	24.06	647	75.94	3.35		
Mallala	726	248	34.16	478	65.84	-1.06		
Marion Bay	93	42	45.16	51	54.84	10.90		
Minlaton	740	169	22.84	571	77.16	2.50		
Moculta	142	30	21.13	112	78.87	-5.19		
Monash	526	171	32.51	355	67.49	0.53		
Moonta	1738	714	41.08	1024	58.92	0.62		
Moonta Mines	337	168	49.85	169	50.15	1.96		
Moorook	346	107	30.92	239	69.08	3.55		
Morgan	473	219	46.30	254	53.70	9.55		
Mount Pleasant	659	240	36.42	419	63.58	1.14		
Mount Torrens	339	112	33.04	227	66.96	4.42		
Nuriootpa	2993	997	33.31	1996	66.69	5.05		
One Tree Hill (Wakefield)	338	109	32.25	229	67.75	-0.86		
Owen	327	103	31.50	224	68.50	1.47		
Palmer	139	39	28.06	100	71.94	5.18		
Paringa	637	181	28.41	456	71.59	3.38		
Paskeville	176	27	15.34	149	84.66	-7.61		
Pine Point	146	34	23.29	112	76.71	-0.89		
Port Clinton	347	151	43.52	196	56.48	6.09		
Port Victoria	275	82	29.82	193	70.18	-3.08		
Port Vincent	401	114	28.43	287	71.57	0.69		
Port Wakefield	464	187	40.30	277	59.70	7.49		
Ramco	437	136	31.12	301	68.88	1.70		
Remote Mobile Team 1	146	96	65.75	50	34.25	-		
Renmark	2975	1114	37.45	1861	62.55	0.19		
Renmark North	489	159	32.52	330	67.48	2.54		
Renmark West	465	115	24.73	350	75.27	-3.67		
Roseworthy	551	208	37.75	343	62.25	3.05		
Sandy Creek	480	163	33.96	317	66.04	1.21		
Special Hospital Team 1	175	67	38.29	108	61.71	-		
Special Hospital Team 2	92	30	32.61	62	67.39	-		
Special Hospital Team 3	20	2	10.00	18	90.00	-		
Special Hospital Team 4	299	99	33.11	200	66.89	-		
Special Hospital Team 5	200	78	39.00	122	61.00	-		
Springton	309	121	39.16	188	60.84	7.26		
Stansbury	455	138	30.33	317	69.67	0.82		
Stockwell	319	81	25.39	238	74.61	7.52		
Tanunda	2779	787	28.32	1992	71.68	5.09		
Truro	379	116	30.61	263	69.39	0.39		
Two Wells	2093	929	44.39	1164	55.61	2.65		
Waikerie	1932	510	26.40	1422	73.60	-0.54		
Wallaroo	1741	876	50.32	865	49.68	-0.69		
Wallaroo Mines	594	316	53.20	278	46.80	-0.24		
Warooka	401	95	23.69	306	76.31	-1.47		
Wasleys	285	116	40.70	169	59.30	-0.57		
Willaston - Hewett	1657	684	41.28	973	58.72	1.44		
Williamstown	1208	482	39.90	726	60.10	-1.15		
Winkie	168	50	29.76	118	70.24	2.54		
Yorketown	678	183	26.99	495	73.01	-0.78		
ABSENT	4768	1750	36.70	3018	63.30	-		
POSTAL	2317	660	28.49	1657	71.51	-		
PRE POLL	1833	592	32.30	1241	67.70	-		
PROVISIONAL	436	186	42.66	250	57.34	-		
Division Total	78625	27861	35.44	50764	64.56	2.08		
								
								
