House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Grey																				
				O'NEILL			ROBERTSON			HOLLAND			MARTIN			WAKELIN				
		TOTAL		39	19.12					19	9.31					146	71.57		204	
	FOURTH			12	63.16						Excluded					7	36.84		19	
		TOTAL		51	25.00											153	75.00		204	
																Elected				
																				
Risdon Park East                                               																				
	FIRST			1127	42.71		83	3.15		120	4.55		39	1.48		1270	48.12		2639	
	SECOND			13	33.33		15	38.46		4	10.26			Excluded		7	17.95		39	
		TOTAL		1140	43.20		98	3.71		124	4.70					1277	48.39		2639	
	THIRD			59	60.20			Excluded		20	20.41					19	19.39		98	
		TOTAL		1199	45.43					144	5.46					1296	49.11		2639	
	FOURTH			79	54.86						Excluded					65	45.14		144	
		TOTAL		1278	48.43											1361	51.57		2639	
																Elected				
																				
Risdon Park South                                              																				
	FIRST			481	51.22		24	2.56		30	3.19		22	2.34		382	40.68		939	
	SECOND			3	13.64		8	36.36		4	18.18			Excluded		7	31.82		22	
		TOTAL		484	51.54		32	3.41		34	3.62					389	41.43		939	
	THIRD			17	53.13			Excluded		8	25.00					7	21.88		32	
		TOTAL		501	53.35					42	4.47					396	42.17		939	
	FOURTH			27	64.29						Excluded					15	35.71		42	
		TOTAL		528	56.23											411	43.77		939	
																Elected				
																				
Riverton                                                       																				
	FIRST			109	18.08		42	6.97		60	9.95		11	1.82		381	63.18		603	
	SECOND			4	36.36		5	45.45		1	9.09			Excluded		1	9.09		11	
		TOTAL		113	18.74		47	7.79		61	10.12					382	63.35		603	
	THIRD			23	48.94			Excluded		7	14.89					17	36.17		47	
		TOTAL		136	22.55					68	11.28					399	66.17		603	
	FOURTH			27	39.71						Excluded					41	60.29		68	
		TOTAL		163	27.03											440	72.97		603	
																Elected				
																				
Robertstown                                                    																				
	FIRST			45	18.75		11	4.58		62	25.83		4	1.67		118	49.17		240	
	SECOND			2	50.00		2	50.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		47	19.58		13	5.42		62	25.83					118	49.17		240	
	THIRD			6	46.15			Excluded		4	30.77					3	23.08		13	
		TOTAL		53	22.08					66	27.50					121	50.42		240	
	FOURTH			39	59.09						Excluded					27	40.91		66	
		TOTAL		92	38.33											148	61.67		240	
																Elected				
																				
Roxby Downs                                                    																				
	FIRST			340	24.51		72	5.19		101	7.28		30	2.16		844	60.85		1387	
	SECOND			8	26.67		11	36.67		5	16.67			Excluded		6	20.00		30	
		TOTAL		348	25.09		83	5.98		106	7.64					850	61.28		1387	
	THIRD			37	44.58			Excluded		15	18.07					31	37.35		83	
		TOTAL		385	27.76					121	8.72					881	63.52		1387	
	FOURTH			73	60.33						Excluded					48	39.67		121	
		TOTAL		458	33.02											929	66.98		1387	
																Elected				
																				
Saddleworth                                                    																				
	FIRST			64	18.82		23	6.76		42	12.35		9	2.65		202	59.41		340	
	SECOND			5	55.56		3	33.33		0	0.00			Excluded		1	11.11		9	
		TOTAL		69	20.29		26	7.65		42	12.35					203	59.71		340	
	THIRD			10	38.46			Excluded		2	7.69					14	53.85		26	
		TOTAL		79	23.24					44	12.94					217	63.82		340	
	FOURTH			20	45.45						Excluded					24	54.55		44	
		TOTAL		99	29.12											241	70.88		340	
																Elected				
																				
Smoky Bay                                                      																				
	FIRST			14	8.81		5	3.14		19	11.95		3	1.89		118	74.21		159	
	SECOND			0	0.00		0	0.00		3	100.00			Excluded		0	0.00		3	
		TOTAL		14	8.81		5	3.14		22	13.84					118	74.21		159	
	THIRD			2	40.00			Excluded		0	0.00					3	60.00		5	
		TOTAL		16	10.06					22	13.84					121	76.10		159	
	FOURTH			3	13.64						Excluded					19	86.36		22	
		TOTAL		19	11.95											140	88.05		159	
																Elected				
																				
Snowtown                                                       																				
	FIRST			80	21.33		10	2.67		21	5.60		5	1.33		259	69.07		375	
	SECOND			0	0.00		4	80.00		1	20.00			Excluded		0	0.00		5	
		TOTAL		80	21.33		14	3.73		22	5.87					259	69.07		375	
	THIRD			9	64.29			Excluded		0	0.00					5	35.71		14	
		TOTAL		89	23.73					22	5.87					264	70.40		375	
	FOURTH			13	59.09						Excluded					9	40.91		22	
		TOTAL		102	27.20											273	72.80		375	
																Elected				
																				
Solomontown                                                    																				
	FIRST			872	54.09		41	2.54		94	5.83		27	1.67		578	35.86		1612	
	SECOND			9	33.33		12	44.44		5	18.52			Excluded		1	3.70		27	
		TOTAL		881	54.65		53	3.29		99	6.14					579	35.92		1612	
	THIRD			30	56.60			Excluded		14	26.42					9	16.98		53	
		TOTAL		911	56.51					113	7.01					588	36.48		1612	
	FOURTH			60	53.10						Excluded					53	46.90		113	
		TOTAL		971	60.24											641	39.76		1612	
																Elected				
																				
Spalding                                                       																				
	FIRST			59	23.05		5	1.95		9	3.52		3	1.17		180	70.31		256	
	SECOND			1	33.33		1	33.33		0	0.00			Excluded		1	33.33		3	
		TOTAL		60	23.44		6	2.34		9	3.52					181	70.70		256	
	THIRD			3	50.00			Excluded		0	0.00					3	50.00		6	
		TOTAL		63	24.61					9	3.52					184	71.88		256	
	FOURTH			4	44.44						Excluded					5	55.56		9	
		TOTAL		67	26.17											189	73.83		256	
																Elected				
																				
Stirling North                                                 																				
	FIRST			322	35.90		41	4.57		130	14.49		16	1.78		388	43.26		897	
	SECOND			2	12.50		4	25.00		7	43.75			Excluded		3	18.75		16	
		TOTAL		324	36.12		45	5.02		137	15.27					391	43.59		897	
	THIRD			18	40.00			Excluded		16	35.56					11	24.44		45	
		TOTAL		342	38.13					153	17.06					402	44.82		897	
	FOURTH			104	67.97						Excluded					49	32.03		153	
		TOTAL		446	49.72											451	50.28		897	
																Elected				
																				
Streaky Bay                                                    																				
	FIRST			98	12.74		36	4.68		72	9.36		36	4.68		527	68.53		769	
	SECOND			8	22.22		19	52.78		6	16.67			Excluded		3	8.33		36	
		TOTAL		106	13.78		55	7.15		78	10.14					530	68.92		769	
	THIRD			31	56.36			Excluded		9	16.36					15	27.27		55	
		TOTAL		137	17.82					87	11.31					545	70.87		769	
	FOURTH			33	37.93						Excluded					54	62.07		87	
		TOTAL		170	22.11											599	77.89		769	
																Elected				
																				
Tarlee                                                         																				
	FIRST			29	11.55		25	9.96		27	10.76		4	1.59		166	66.14		251	
	SECOND			0	0.00		4	100.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		29	11.55		29	11.55		27	10.76					166	66.14		251	
	THIRD			8	27.59			Excluded		8	27.59					13	44.83		29	
		TOTAL		37	14.74					35	13.94					179	71.31		251	
	FOURTH			13	37.14						Excluded					22	62.86		35	
		TOTAL		50	19.92											201	80.08		251	
																Elected				
																				
Terowie                                                        																				
	FIRST			24	25.81		5	5.38		13	13.98		4	4.30		47	50.54		93	
	SECOND			1	25.00		3	75.00		0	0.00			Excluded		0	0.00		4	
		TOTAL		25	26.88		8	8.60		13	13.98					47	50.54		93	
	THIRD			5	62.50			Excluded		3	37.50					0	0.00		8	
		TOTAL		30	32.26					16	17.20					47	50.54		93	
	FOURTH			9	56.25						Excluded					7	43.75		16	
		TOTAL		39	41.94											54	58.06		93	
																Elected				
																				
Tumby Bay                                                      																				
	FIRST			130	12.26		25	2.36		75	7.08		19	1.79		811	76.51		1060	
	SECOND			3	15.79		4	21.05		2	10.53			Excluded		10	52.63		19	
		TOTAL		133	12.55		29	2.74		77	7.26					821	77.45		1060	
	THIRD			13	44.83			Excluded		2	6.90					14	48.28		29	
		TOTAL		146	13.77					79	7.45					835	78.77		1060	
	FOURTH			37	46.84						Excluded					42	53.16		79	
		TOTAL		183	17.26											877	82.74		1060	
																Elected				
																				
Ungarra                                                        																				
	FIRST			19	12.50		2	1.32		13	8.55		1	0.66		117	76.97		152	
	SECOND			1	100.00		0	0.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		20	13.16		2	1.32		13	8.55					117	76.97		152	
	THIRD			1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		21	13.82					13	8.55					118	77.63		152	
	FOURTH			1	7.69						Excluded					12	92.31		13	
		TOTAL		22	14.47											130	85.53		152	
																Elected				
																				
Wangary                                                        																				
	FIRST			38	15.90		10	4.18		17	7.11		14	5.86		160	66.95		239	
	SECOND			1	7.14		8	57.14		3	21.43			Excluded		2	14.29		14	
		TOTAL		39	16.32		18	7.53		20	8.37					162	67.78		239	
	THIRD			14	77.78			Excluded		3	16.67					1	5.56		18	
		TOTAL		53	22.18					23	9.62					163	68.20		239	
	FOURTH			12	52.17						Excluded					11	47.83		23	
		TOTAL		65	27.20											174	72.80		239	
																Elected				
																				
Warramboo                                                      																				
	FIRST			3	2.31		0	0.00		12	9.23		2	1.54		113	86.92		130	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		4	3.08		1	0.77		12	9.23					113	86.92		130	
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		5	3.85					12	9.23					113	86.92		130	
	FOURTH			2	16.67						Excluded					10	83.33		12	
		TOTAL		7	5.38											123	94.62		130	
																Elected				
																				
Watervale                                                      																				
	FIRST			66	24.00		24	8.73		15	5.45		11	4.00		159	57.82		275	
	SECOND			4	36.36		6	54.55		0	0.00			Excluded		1	9.09		11	
		TOTAL		70	25.45		30	10.91		15	5.45					160	58.18		275	
	THIRD			16	53.33			Excluded		5	16.67					9	30.00		30	
		TOTAL		86	31.27					20	7.27					169	61.45		275	
	FOURTH			9	45.00						Excluded					11	55.00		20	
		TOTAL		95	34.55											180	65.45		275	
																Elected				
																				
Whyalla Central East                                           																				
	FIRST			356	37.51		57	6.01		43	4.53		15	1.58		478	50.37		949	
	SECOND			3	20.00		5	33.33		5	33.33			Excluded		2	13.33		15	
		TOTAL		359	37.83		62	6.53		48	5.06					480	50.58		949	
	THIRD			29	46.77			Excluded		10	16.13					23	37.10		62	
		TOTAL		388	40.89					58	6.11					503	53.00		949	
	FOURTH			28	48.28						Excluded					30	51.72		58	
		TOTAL		416	43.84											533	56.16		949	
																Elected				
																				
Whyalla Central West                                           																				
	FIRST			714	40.73		126	7.19		82	4.68		40	2.28		791	45.12		1753	
	SECOND			9	22.50		19	47.50		7	17.50			Excluded		5	12.50		40	
		TOTAL		723	41.24		145	8.27		89	5.08					796	45.41		1753	
	THIRD			79	54.48			Excluded		21	14.48					45	31.03		145	
		TOTAL		802	45.75					110	6.27					841	47.97		1753	
	FOURTH			57	51.82						Excluded					53	48.18		110	
		TOTAL		859	49.00											894	51.00		1753	
																Elected				
																				
Whyalla Norrie East                                            																				
	FIRST			709	40.96		130	7.51		95	5.49		46	2.66		751	43.39		1731	
	SECOND			8	17.39		24	52.17		11	23.91			Excluded		3	6.52		46	
		TOTAL		717	41.42		154	8.90		106	6.12					754	43.56		1731	
	THIRD			103	66.88			Excluded		18	11.69					33	21.43		154	
		TOTAL		820	47.37					124	7.16					787	45.47		1731	
	FOURTH			68	54.84						Excluded					56	45.16		124	
		TOTAL		888	51.30											843	48.70		1731	
																Elected				
																				
Whyalla Norrie North                                           																				
	FIRST			689	48.56		85	5.99		83	5.85		36	2.54		526	37.07		1419	
	SECOND			8	22.22		17	47.22		6	16.67			Excluded		5	13.89		36	
		TOTAL		697	49.12		102	7.19		89	6.27					531	37.42		1419	
	THIRD			64	62.75			Excluded		13	12.75					25	24.51		102	
		TOTAL		761	53.63					102	7.19					556	39.18		1419	
	FOURTH			70	68.63						Excluded					32	31.37		102	
		TOTAL		831	58.56											588	41.44		1419	
																Elected				
																				
Whyalla Norrie North-West                                      																				
	FIRST			477	50.74		66	7.02		52	5.53		25	2.66		320	34.04		940	
	SECOND			6	24.00		12	48.00		3	12.00			Excluded		4	16.00		25	
		TOTAL		483	51.38		78	8.30		55	5.85					324	34.47		940	
	THIRD			54	69.23			Excluded		9	11.54					15	19.23		78	
		TOTAL		537	57.13					64	6.81					339	36.06		940	
	FOURTH			40	62.50						Excluded					24	37.50		64	
		TOTAL		577	61.38											363	38.62		940	
																Elected				
																				
Whyalla Norrie South                                           																				
	FIRST			696	49.89		112	8.03		64	4.59		30	2.15		493	35.34		1395	
	SECOND			10	33.33		14	46.67		2	6.67			Excluded		4	13.33		30	
		TOTAL		706	50.61		126	9.03		66	4.73					497	35.63		1395	
	THIRD			77	61.11			Excluded		9	7.14					40	31.75		126	
		TOTAL		783	56.13					75	5.38					537	38.49		1395	
	FOURTH			41	54.67						Excluded					34	45.33		75	
		TOTAL		824	59.07											571	40.93		1395	
																Elected				
																				
Whyalla Stuart South                                           																				
	FIRST			997	55.14		96	5.31		99	5.48		45	2.49		571	31.58		1808	
	SECOND			7	15.56		21	46.67		13	28.89			Excluded		4	8.89		45	
		TOTAL		1004	55.53		117	6.47		112	6.19					575	31.80		1808	
	THIRD			75	64.10			Excluded		22	18.80					20	17.09		117	
		TOTAL		1079	59.68					134	7.41					595	32.91		1808	
	FOURTH			93	69.40						Excluded					41	30.60		134	
		TOTAL		1172	64.82											636	35.18		1808	
																Elected				
																				
Whyalla Stuart West                                            																				
	FIRST			542	47.38		81	7.08		62	5.42		34	2.97		425	37.15		1144	
	SECOND			8	23.53		13	38.24		10	29.41			Excluded		3	8.82		34	
		TOTAL		550	48.08		94	8.22		72	6.29					428	37.41		1144	
	THIRD			64	68.09			Excluded		11	11.70					19	20.21		94	
		TOTAL		614	53.67					83	7.26					447	39.07		1144	
	FOURTH			42	50.60						Excluded					41	49.40		83	
		TOTAL		656	57.34											488	42.66		1144	
																Elected				
																				
Willsden                                                       																				
	FIRST			508	45.40		28	2.50		117	10.46		23	2.06		443	39.59		1119	
	SECOND			15	65.22		1	4.35		0	0.00			Excluded		7	30.43		23	
		TOTAL		523	46.74		29	2.59		117	10.46					450	40.21		1119	
	THIRD			19	65.52			Excluded		7	24.14					3	10.34		29	
		TOTAL		542	48.44					124	11.08					453	40.48		1119	
	FOURTH			82	66.13						Excluded					42	33.87		124	
		TOTAL		624	55.76											495	44.24		1119	
																Elected				
																				
Wilmington                                                     																				
	FIRST			77	20.10		9	2.35		31	8.09		11	2.87		255	66.58		383	
	SECOND			2	18.18		5	45.45		0	0.00			Excluded		4	36.36		11	
		TOTAL		79	20.63		14	3.66		31	8.09					259	67.62		383	
	THIRD			8	57.14			Excluded		2	14.29					4	28.57		14	
		TOTAL		87	22.72					33	8.62					263	68.67		383	
	FOURTH			14	42.42						Excluded					19	57.58		33	
		TOTAL		101	26.37											282	73.63		383	
																Elected				
																				
Wirrabara                                                      																				
	FIRST			51	13.46		10	2.64		42	11.08		9	2.37		267	70.45		379	
	SECOND			2	22.22		5	55.56		0	0.00			Excluded		2	22.22		9	
		TOTAL		53	13.98		15	3.96		42	11.08					269	70.98		379	
	THIRD			6	40.00			Excluded		4	26.67					5	33.33		15	
		TOTAL		59	15.57					46	12.14					274	72.30		379	
	FOURTH			27	58.70						Excluded					19	41.30		46	
		TOTAL		86	22.69											293	77.31		379	
																Elected				
																				
Wirrulla                                                       																				
	FIRST			5	4.27		0	0.00		2	1.71		2	1.71		108	92.31		117	
	SECOND			0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		5	4.27		2	1.71		2	1.71					108	92.31		117	
	THIRD			2	100.00			Excluded		0	0.00					0	0.00		2	
		TOTAL		7	5.98					2	1.71					108	92.31		117	
	FOURTH			1	50.00						Excluded					1	50.00		2	
		TOTAL		8	6.84											109	93.16		117	
																Elected				
																				
Woomera                                                        																				
	FIRST			70	36.65		18	9.42		10	5.24		8	4.19		85	44.50		191	
	SECOND			2	25.00		2	25.00		2	25.00			Excluded		2	25.00		8	
		TOTAL		72	37.70		20	10.47		12	6.28					87	45.55		191	
	THIRD			12	60.00			Excluded		6	30.00					2	10.00		20	
		TOTAL		84	43.98					18	9.42					89	46.60		191	
	FOURTH			10	55.56						Excluded					8	44.44		18	
		TOTAL		94	49.21											97	50.79		191	
																Elected				
																				
Wudinna                                                        																				
	FIRST			42	7.43		15	2.65		61	10.80		3	0.53		444	78.58		565	
	SECOND			1	33.33		1	33.33		1	33.33			Excluded		0	0.00		3	
		TOTAL		43	7.61		16	2.83		62	10.97					444	78.58		565	
	THIRD			8	50.00			Excluded		3	18.75					5	31.25		16	
		TOTAL		51	9.03					65	11.50					449	79.47		565	
	FOURTH			16	24.62						Excluded					49	75.38		65	
		TOTAL		67	11.86											498	88.14		565	
																Elected				
																				
Yacka                                                          																				
	FIRST			24	21.24		1	0.88		11	9.73		3	2.65		74	65.49		113	
	SECOND			0	0.00		3	100.00		0	0.00			Excluded		0	0.00		3	
		TOTAL		24	21.24		4	3.54		11	9.73					74	65.49		113	
	THIRD			2	50.00			Excluded		1	25.00					1	25.00		4	
		TOTAL		26	23.01					12	10.62					75	66.37		113	
	FOURTH			2	16.67						Excluded					10	83.33		12	
		TOTAL		28	24.78											85	75.22		113	
																Elected				
																				
Special Hospital Team 1                                        																				
	FIRST			11	25.58		0	0.00		3	6.98		0	0.00		29	67.44		43	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		11	25.58		0	0.00		3	6.98					29	67.44		43	
	THIRD			0	0.00			Excluded		0	0.00					0	0.00		0	
		TOTAL		11	25.58					3	6.98					29	67.44		43	
	FOURTH			0	0.00						Excluded					3	100.00		3	
		TOTAL		11	25.58											32	74.42		43	
																Elected				
																				
Special Hospital Team 2                                        																				
	FIRST			30	27.52		2	1.83		6	5.50		0	0.00		71	65.14		109	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		30	27.52		2	1.83		6	5.50					71	65.14		109	
	THIRD			2	100.00			Excluded		0	0.00					0	0.00		2	
		TOTAL		32	29.36					6	5.50					71	65.14		109	
	FOURTH			5	83.33						Excluded					1	16.67		6	
		TOTAL		37	33.94											72	66.06		109	
																Elected				
																				
Special Hospital Team 3                                        																				
	FIRST			4	11.11		2	5.56		0	0.00		0	0.00		30	83.33		36	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		4	11.11		2	5.56		0	0.00					30	83.33		36	
	THIRD			0	0.00			Excluded		1	50.00					1	50.00		2	
		TOTAL		4	11.11					1	2.78					31	86.11		36	
	FOURTH			1	100.00						Excluded					0	0.00		1	
		TOTAL		5	13.89											31	86.11		36	
																Elected				
																				
Special Hospital Team 4                                        																				
	FIRST			19	22.89		1	1.20		2	2.41		0	0.00		61	73.49		83	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		19	22.89		1	1.20		2	2.41					61	73.49		83	
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		20	24.10					2	2.41					61	73.49		83	
	FOURTH			1	50.00						Excluded					1	50.00		2	
		TOTAL		21	25.30											62	74.70		83	
																Elected				
																				
Special Hospital Team 5                                        																				
	FIRST			49	56.32		5	5.75		2	2.30		0	0.00		31	35.63		87	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		49	56.32		5	5.75		2	2.30					31	35.63		87	
	THIRD			3	60.00			Excluded		2	40.00					0	0.00		5	
		TOTAL		52	59.77					4	4.60					31	35.63		87	
	FOURTH			0	0.00						Excluded					4	100.00		4	
		TOTAL		52	59.77											35	40.23		87	
																Elected				
																				
Special Hospital Team 6                                        																				
	FIRST			19	17.76		3	2.80		4	3.74		1	0.93		80	74.77		107	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		19	17.76		4	3.74		4	3.74					80	74.77		107	
	THIRD			1	25.00			Excluded		2	50.00					1	25.00		4	
		TOTAL		20	18.69					6	5.61					81	75.70		107	
	FOURTH			5	83.33						Excluded					1	16.67		6	
		TOTAL		25	23.36											82	76.64		107	
																Elected				
																				
Special Hospital Team 7                                        																				
	FIRST			158	49.84		7	2.21		10	3.15		3	0.95		139	43.85		317	
	SECOND			0	0.00		2	66.67		1	33.33			Excluded		0	0.00		3	
		TOTAL		158	49.84		9	2.84		11	3.47					139	43.85		317	
	THIRD			8	88.89			Excluded		0	0.00					1	11.11		9	
		TOTAL		166	52.37					11	3.47					140	44.16		317	
	FOURTH			3	27.27						Excluded					8	72.73		11	
		TOTAL		169	53.31											148	46.69		317	
																Elected				
																				
Special Hospital Team 8                                        																				
	FIRST			65	65.00		1	1.00		4	4.00		1	1.00		29	29.00		100	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		65	65.00		2	2.00		4	4.00					29	29.00		100	
	THIRD			1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		66	66.00					4	4.00					30	30.00		100	
	FOURTH			3	75.00						Excluded					1	25.00		4	
		TOTAL		69	69.00											31	31.00		100	
																Elected				
																				
Remote Mobile Team 1                                           																				
	FIRST			555	64.61		28	3.26		21	2.44		26	3.03		229	26.66		859	
	SECOND			7	26.92		11	42.31		3	11.54			Excluded		5	19.23		26	
		TOTAL		562	65.42		39	4.54		24	2.79					234	27.24		859	
	THIRD			25	64.10			Excluded		5	12.82					9	23.08		39	
		TOTAL		587	68.34					29	3.38					243	28.29		859	
	FOURTH			13	44.83						Excluded					16	55.17		29	
		TOTAL		600	69.85											259	30.15		859	
																Elected				
																				
Remote Mobile Team 2                                           																				
	FIRST			138	47.26		3	1.03		13	4.45		9	3.08		129	44.18		292	
	SECOND			2	22.22		6	66.67		0	0.00			Excluded		1	11.11		9	
		TOTAL		140	47.95		9	3.08		13	4.45					130	44.52		292	
	THIRD			7	77.78			Excluded		1	11.11					1	11.11		9	
		TOTAL		147	50.34					14	4.79					131	44.86		292	
	FOURTH			4	28.57						Excluded					10	71.43		14	
		TOTAL		151	51.71											141	48.29		292	
																Elected				
																				
Remote Mobile Team 3                                           																				
	FIRST			10	24.39		3	7.32		3	7.32		2	4.88		23	56.10		41	
	SECOND			1	50.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		11	26.83		3	7.32		4	9.76					23	56.10		41	
	THIRD			2	66.67			Excluded		0	0.00					1	33.33		3	
		TOTAL		13	31.71					4	9.76					24	58.54		41	
	FOURTH			2	50.00						Excluded					2	50.00		4	
		TOTAL		15	36.59											26	63.41		41	
																Elected				
																				
Remote Mobile Team 4                                           																				
	FIRST			16	21.33		4	5.33		8	10.67		0	0.00		47	62.67		75	
	SECOND			0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		16	21.33		4	5.33		8	10.67					47	62.67		75	
	THIRD			1	25.00			Excluded		1	25.00					2	50.00		4	
		TOTAL		17	22.67					9	12.00					49	65.33		75	
	FOURTH			3	33.33						Excluded					6	66.67		9	
		TOTAL		20	26.67											55	73.33		75	
																Elected				
																				
Remote Mobile Team 5                                           																				
	FIRST			75	93.75		0	0.00		1	1.25		2	2.50		2	2.50		80	
	SECOND			0	0.00		1	50.00		0	0.00			Excluded		1	50.00		2	
		TOTAL		75	93.75		1	1.25		1	1.25					3	3.75		80	
	THIRD			1	100.00			Excluded		0	0.00					0	0.00		1	
		TOTAL		76	95.00					1	1.25					3	3.75		80	
	FOURTH			1	100.00						Excluded					0	0.00		1	
		TOTAL		77	96.25											3	3.75		80	
																Elected				
																				
ABSENT																				
	FIRST			1171	26.99		367	8.46		266	6.13		171	3.94		2364	54.48		4339	
	SECOND			40	23.39		74	43.27		20	11.70			Excluded		37	21.64		171	
		TOTAL		1211	27.91		441	10.16		286	6.59					2401	55.34		4339	
	THIRD			242	54.88			Excluded		66	14.97					133	30.16		441	
		TOTAL		1453	33.49					352	8.11					2534	58.40		4339	
	FOURTH			161	45.74						Excluded					191	54.26		352	
		TOTAL		1614	37.20											2725	62.80		4339	
																Elected				
																				
POSTAL																				
	FIRST			586	18.81		114	3.66		220	7.06		63	2.02		2132	68.44		3115	
	SECOND			10	15.87		25	39.68		12	19.05			Excluded		16	25.40		63	
		TOTAL		596	19.13		139	4.46		232	7.45					2148	68.96		3115	
	THIRD			64	46.04			Excluded		31	22.30					44	31.65		139	
		TOTAL		660	21.19					263	8.44					2192	70.37		3115	
	FOURTH			112	42.59						Excluded					151	57.41		263	
		TOTAL		772	24.78											2343	75.22		3115	
																Elected				
																				
PRE POLL																				
	FIRST			1019	34.72		148	5.04		263	8.96		75	2.56		1430	48.72		2935	
	SECOND			23	30.67		30	40.00		11	14.67			Excluded		11	14.67		75	
		TOTAL		1042	35.50		178	6.06		274	9.34					1441	49.10		2935	
	THIRD			103	57.87			Excluded		30	16.85					45	25.28		178	
		TOTAL		1145	39.01					304	10.36					1486	50.63		2935	
	FOURTH			158	51.97						Excluded					146	48.03		304	
		TOTAL		1303	44.40											1632	55.60		2935	
																Elected				
																				
PROVISIONAL																				
	FIRST			221	44.92		30	6.10		34	6.91		11	2.24		196	39.84		492	
	SECOND			0	0.00		6	54.55		4	36.36			Excluded		1	9.09		11	
		TOTAL		221	44.92		36	7.32		38	7.72					197	40.04		492	
	THIRD			21	58.33			Excluded		5	13.89					10	27.78		36	
		TOTAL		242	49.19					43	8.74					207	42.07		492	
	FOURTH			23	53.49						Excluded					20	46.51		43	
		TOTAL		265	53.86											227	46.14		492	
																Elected				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
