House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Grey (85745)											
		Candidate		"O'NEILL, Con"		               	"WAKELIN, Barry"		             	Total	
		"MARTIN, Felicity (GRN)"	45	31	68.89		14	31.11		45	
		Total	240	1172	64.82		636	35.18		1808	

	Whyalla Stuart West										
			1st Prefs	542	56.05		425	43.95		967	
		"ROBERTSON, Gil John (DEM)"	81	59	72.84		22	27.16		81	
		"HOLLAND, Sylvia (HAN)"	62	31	50.00		31	50.00		62	
		"MARTIN, Felicity (GRN)"	34	24	70.59		10	29.41		34	
		Total	177	656	57.34		488	42.66		1144	

	Willsden										
			1st Prefs	508	53.42		443	46.58		951	
		"ROBERTSON, Gil John (DEM)"	28	24	85.71		4	14.29		28	
		"HOLLAND, Sylvia (HAN)"	117	76	64.96		41	35.04		117	
		"MARTIN, Felicity (GRN)"	23	16	69.57		7	30.43		23	
		Total	168	624	55.76		495	44.24		1119	

	Wilmington										
			1st Prefs	77	23.19		255	76.81		332	
		"ROBERTSON, Gil John (DEM)"	9	4	44.44		5	55.56		9	
		"HOLLAND, Sylvia (HAN)"	31	13	41.94		18	58.06		31	
		"MARTIN, Felicity (GRN)"	11	7	63.64		4	36.36		11	
		Total	51	101	26.37		282	73.63		383	

	Wirrabara										
			1st Prefs	51	16.04		267	83.96		318	
		"ROBERTSON, Gil John (DEM)"	10	6	60.00		4	40.00		10	
		"HOLLAND, Sylvia (HAN)"	42	24	57.14		18	42.86		42	
		"MARTIN, Felicity (GRN)"	9	5	55.56		4	44.44		9	
		Total	61	86	22.69		293	77.31		379	

	Wirrulla										
			1st Prefs	5	4.42		108	95.58		113	
		"ROBERTSON, Gil John (DEM)"	0	0	0.00		0	0.00		0	
		"HOLLAND, Sylvia (HAN)"	2	1	50.00		1	50.00		2	
		"MARTIN, Felicity (GRN)"	2	2	100.00		0	0.00		2	
		Total	4	8	6.84		109	93.16		117	

	Woomera										
			1st Prefs	70	45.16		85	54.84		155	
		"ROBERTSON, Gil John (DEM)"	18	14	77.78		4	22.22		18	
		"HOLLAND, Sylvia (HAN)"	10	4	40.00		6	60.00		10	
		"MARTIN, Felicity (GRN)"	8	6	75.00		2	25.00		8	
		Total	36	94	49.21		97	50.79		191	

	Wudinna										
			1st Prefs	42	8.64		444	91.36		486	
		"ROBERTSON, Gil John (DEM)"	15	9	60.00		6	40.00		15	
		"HOLLAND, Sylvia (HAN)"	61	14	22.95		47	77.05		61	
		"MARTIN, Felicity (GRN)"	3	2	66.67		1	33.33		3	
		Total	79	67	11.86		498	88.14		565	

	Yacka										
			1st Prefs	24	24.49		74	75.51		98	
		"ROBERTSON, Gil John (DEM)"	1	1	100.00		0	0.00		1	
		"HOLLAND, Sylvia (HAN)"	11	2	18.18		9	81.82		11	
		"MARTIN, Felicity (GRN)"	3	1	33.33		2	66.67		3	
		Total	15	28	24.78		85	75.22		113	

	Remote Mobiles										
			1st Prefs	794	64.87		430	35.13		1224	
		"ROBERTSON, Gil John (DEM)"	38	23	60.53		15	39.47		38	
		"HOLLAND, Sylvia (HAN)"	46	18	39.13		28	60.87		46	
		"MARTIN, Felicity (GRN)"	39	28	71.79		11	28.21		39	
		Total	123	863	64.07		484	35.93		1347	

	Special Hospitals										
			1st Prefs	355	43.03		470	56.97		825	
		"ROBERTSON, Gil John (DEM)"	21	15	71.43		6	28.57		21	
		"HOLLAND, Sylvia (HAN)"	31	16	51.61		15	48.39		31	
		"MARTIN, Felicity (GRN)"	5	3	60.00		2	40.00		5	
		Total	57	389	44.10		493	55.90		882	

	Total Ordinary										
			1st Prefs	21348	37.13		36148	62.87		57496	
		"ROBERTSON, Gil John (DEM)"	3013	1931	64.09		1082	35.91		3013	
		"HOLLAND, Sylvia (HAN)"	4493	2314	51.50		2179	48.50		4493	
		"MARTIN, Felicity (GRN)"	1525	985	64.59		540	35.41		1525	
		Total	9031	26578	39.95		39949	60.05		66527	

	ABSENT										
			1st Prefs	1171	33.13		2364	66.87		3535	
		"ROBERTSON, Gil John (DEM)"	367	218	59.40		149	40.60		367	
		"HOLLAND, Sylvia (HAN)"	266	122	45.86		144	54.14		266	
		"MARTIN, Felicity (GRN)"	171	103	60.23		68	39.77		171	
		Total	804	1614	37.20		2725	62.80		4339	

	POSTAL										
			1st Prefs	586	21.56		2132	78.44		2718	
		"ROBERTSON, Gil John (DEM)"	114	62	54.39		52	45.61		114	
		"HOLLAND, Sylvia (HAN)"	220	88	40.00		132	60.00		220	
		"MARTIN, Felicity (GRN)"	63	36	57.14		27	42.86		63	
		Total	397	772	24.78		2343	75.22		3115	

	PRE_POLL										
			1st Prefs	1019	41.61		1430	58.39		2449	
		"ROBERTSON, Gil John (DEM)"	148	94	63.51		54	36.49		148	
		"HOLLAND, Sylvia (HAN)"	263	136	51.71		127	48.29		263	
		"MARTIN, Felicity (GRN)"	75	54	72.00		21	28.00		75	
		Total	486	1303	44.40		1632	55.60		2935	

	PROVISIONAL										
			1st Prefs	221	53.00		196	47.00		417	
		"ROBERTSON, Gil John (DEM)"	30	19	63.33		11	36.67		30	
		"HOLLAND, Sylvia (HAN)"	34	18	52.94		16	47.06		34	
		"MARTIN, Felicity (GRN)"	11	7	63.64		4	36.36		11	
		Total	75	265	53.86		227	46.14		492	

	Division Summary										
			1st Prefs	24345	36.55		42270	63.45		66615	
		"ROBERTSON, Gil John (DEM)"	3672	2324	63.29		1348	36.71		3672	
		"HOLLAND, Sylvia (HAN)"	5276	2678	50.76		2598	49.24		5276	
		"MARTIN, Felicity (GRN)"	1845	1185	64.23		660	35.77		1845	
		Total	10793	30532	39.44		46876	60.56		77408	
