Senate - 2001 Election															
First Preference Votes by Candidate															
By Vote Type by Division															
															

South Australia															

Adelaide (86538)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
		"CHAPMAN, Grant"	LP	74	0.11	4	0.07	0	0.00	7	0.25	2	0.05	87	0.11
		"LENSINK, Michelle"	LP	40	0.06	6	0.11	0	0.00	2	0.07	2	0.05	50	0.06
		Group Total	LP	29589	44.70	2177	40.17	227	35.97	1319	47.01	1939	53.04	35251	44.79
F		TICKET VOTES		31	0.05	1	0.02	0	0.00	5	0.18	2	0.05	39	0.05
		"ALDRIDGE, Mark"		12	0.02	2	0.04	0	0.00	1	0.04	1	0.03	16	0.02
		"ALDRIDGE, Helen"		4	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4	0.01
		Group Total		47	0.07	3	0.06	0	0.00	6	0.21	3	0.08	59	0.07
G		TICKET VOTES		16	0.02	2	0.04	0	0.00	1	0.04	2	0.05	21	0.03
		"HARTE, Kerry"		16	0.02	1	0.02	0	0.00	0	0.00	1	0.03	18	0.02
		"PHILLIPS, Colin"		3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total		35	0.05	3	0.06	0	0.00	1	0.04	3	0.08	42	0.05
H		TICKET VOTES	RPA	80	0.12	8	0.15	0	0.00	4	0.14	3	0.08	95	0.12
		"CROZIER, Patrick"	RPA	26	0.04	1	0.02	0	0.00	1	0.04	1	0.03	29	0.04
		"EASSON, Robert"	RPA	1	0.00	1	0.02	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	RPA	107	0.16	10	0.18	0	0.00	5	0.18	4	0.11	126	0.16
I		TICKET VOTES	DEM	6259	9.46	740	13.66	83	13.15	315	11.23	242	6.62	7639	9.71
		"STOTT DESPOJA, Natasha"	DEM	1409	2.13	174	3.21	17	2.69	69	2.46	64	1.75	1733	2.20
		"HEATH, Jeff"	DEM	35	0.05	3	0.06	1	0.16	1	0.04	3	0.08	43	0.05
		"PILLING, Michael"	DEM	12	0.02	1	0.02	0	0.00	1	0.04	0	0.00	14	0.02
		"HASSAN, Haroon"	DEM	14	0.02	0	0.00	1	0.16	3	0.11	1	0.03	19	0.02
		Group Total	DEM	7729	11.68	918	16.94	102	16.16	389	13.86	310	8.48	9448	12.00
UNGROUPED															
		"FISHLOCK, Kym"	IND	34	0.05	4	0.07	0	0.00	0	0.00	1	0.03	39	0.05
		"BEHN, Ervyn C"	CEC	6	0.01	2	0.04	0	0.00	0	0.00	1	0.03	9	0.01
		"McSHANE, Nicholas"	IND	12	0.02	2	0.04	0	0.00	0	0.00	2	0.05	16	0.02
		Ungrouped Total		52	0.08	8	0.15	0	0.00	0	0.00	4	0.11	64	0.08
			FORMAL	66197	96.32	5419	98.29	631	96.93	2806	98.66	3656	99.27	78709	96.67
			INFORMAL	2530	3.68	94	1.71	20	3.07	38	1.34	27	0.73	2709	3.33
			TOTAL	68727	84.41	5513	6.77	651	0.80	2844	3.49	3683	4.52	81418	96.00



Kingston (85398)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	24682	36.03	1592	32.09	320	45.13	1097	35.65	913	35.25	28604	35.82
		"WONG, Penny"	ALP	653	0.95	55	1.11	5	0.71	29	0.94	23	0.89	765	0.96
		"KIRK, Linda"	ALP	103	0.15	14	0.28	2	0.28	4	0.13	10	0.39	133	0.17
		"SCHACHT, Chris"	ALP	348	0.51	21	0.42	6	0.85	16	0.52	20	0.77	411	0.51
		Group Total	ALP	25786	37.64	1682	33.90	333	46.97	1146	37.24	966	37.30	29913	37.46
B		TICKET VOTES	GRN	1553	2.27	198	3.99	22	3.10	95	3.09	28	1.08	1896	2.37
		"FAEHRMANN, Cate"	GRN	382	0.56	37	0.75	3	0.42	16	0.52	19	0.73	457	0.57
		"DOUGLAS, Jim"	GRN	32	0.05	3	0.06	0	0.00	2	0.06	1	0.04	38	0.05
		Group Total	GRN	1967	2.87	238	4.80	25	3.53	113	3.67	48	1.85	2391	2.99
C		TICKET VOTES	HAN	2763	4.03	180	3.63	25	3.53	130	4.22	101	3.90	3199	4.01
		"RUSSELL-TAYLOR, Neil"	HAN	447	0.65	23	0.46	4	0.56	17	0.55	35	1.35	526	0.66
		"GIBSON, Colin"	HAN	34	0.05	2	0.04	2	0.28	1	0.03	2	0.08	41	0.05
		Group Total	HAN	3244	4.73	205	4.13	31	4.37	148	4.81	138	5.33	3766	4.72
D		TICKET VOTES		38	0.06	3	0.06	1	0.14	2	0.06	2	0.08	46	0.06
		"NEWNAM, Kathy"		9	0.01	0	0.00	0	0.00	1	0.03	1	0.04	11	0.01
		"LINES, Lisa"		2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total		49	0.07	3	0.06	1	0.14	3	0.10	3	0.12	59	0.07
E		TICKET VOTES	LP	26234	38.29	1890	38.10	189	26.66	1165	37.86	1079	41.66	30557	38.27
		"HILL, Robert"	LP	875	1.28	54	1.09	7	0.99	38	1.23	54	2.08	1028	1.29
		"FERRIS, Jeannie"	LP	33	0.05	3	0.06	1	0.14	0	0.00	2	0.08	39	0.05
		"CHAPMAN, Grant"	LP	81	0.12	10	0.20	0	0.00	7	0.23	5	0.19	103	0.13
		"LENSINK, Michelle"	LP	37	0.05	3	0.06	0	0.00	1	0.03	4	0.15	45	0.06
		Group Total	LP	27260	39.79	1960	39.51	197	27.79	1211	39.36	1144	44.17	31772	39.79
F		TICKET VOTES		39	0.06	1	0.02	0	0.00	1	0.03	2	0.08	43	0.05
		"ALDRIDGE, Mark"		6	0.01	4	0.08	0	0.00	0	0.00	1	0.04	11	0.01
		"ALDRIDGE, Helen"		7	0.01	0	0.00	0	0.00	0	0.00	1	0.04	8	0.01
		Group Total		52	0.08	5	0.10	0	0.00	1	0.03	4	0.15	62	0.08
G		TICKET VOTES		19	0.03	1	0.02	0	0.00	2	0.06	1	0.04	23	0.03
		"HARTE, Kerry"		6	0.01	0	0.00	0	0.00	0	0.00	1	0.04	7	0.01
		"PHILLIPS, Colin"		3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total		28	0.04	1	0.02	0	0.00	2	0.06	2	0.08	33	0.04
H		TICKET VOTES	RPA	101	0.15	7	0.14	1	0.14	5	0.16	8	0.31	122	0.15
		"CROZIER, Patrick"	RPA	18	0.03	6	0.12	1	0.14	1	0.03	0	0.00	26	0.03
		"EASSON, Robert"	RPA	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	RPA	121	0.18	13	0.26	2	0.28	6	0.19	8	0.31	150	0.19
I		TICKET VOTES	DEM	8441	12.32	729	14.69	108	15.23	393	12.77	215	8.30	9886	12.38
		"STOTT DESPOJA, Natasha"	DEM	1482	2.16	119	2.40	11	1.55	50	1.62	59	2.28	1721	2.16
		"HEATH, Jeff"	DEM	18	0.03	0	0.00	0	0.00	1	0.03	1	0.04	20	0.03
		"PILLING, Michael"	DEM	6	0.01	1	0.02	0	0.00	0	0.00	0	0.00	7	0.01
		"HASSAN, Haroon"	DEM	6	0.01	3	0.06	1	0.14	0	0.00	0	0.00	10	0.01
		Group Total	DEM	9953	14.53	852	17.17	120	16.93	444	14.43	275	10.62	11644	14.58
UNGROUPED															
		"FISHLOCK, Kym"	IND	34	0.05	0	0.00	0	0.00	1	0.03	2	0.08	37	0.05
		"BEHN, Ervyn C"	CEC	6	0.01	0	0.00	0	0.00	1	0.03	0	0.00	7	0.01
		"McSHANE, Nicholas"	IND	12	0.02	2	0.04	0	0.00	1	0.03	0	0.00	15	0.02
		Ungrouped Total		52	0.08	2	0.04	0	0.00	3	0.10	2	0.08	59	0.07
			FORMAL	68512	96.76	4961	98.67	709	97.93	3077	98.81	2590	99.04	79849	97.04
			INFORMAL	2293	3.24	67	1.33	15	2.07	37	1.19	25	0.96	2437	2.96
			TOTAL	70805	86.05	5028	6.11	724	0.88	3114	3.78	2615	3.18	82286	96.36



Makin (88248)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	24410	34.04	1775	33.53	255	37.34	735	29.79	815	28.79	27990	33.73
		"WONG, Penny"	ALP	665	0.93	52	0.98	6	0.88	22	0.89	30	1.06	775	0.93
		"KIRK, Linda"	ALP	137	0.19	14	0.26	3	0.44	7	0.28	6	0.21	167	0.20
		"SCHACHT, Chris"	ALP	375	0.52	22	0.42	2	0.29	6	0.24	16	0.57	421	0.51
		Group Total	ALP	25587	35.68	1863	35.19	266	38.95	770	31.21	867	30.63	29353	35.37
B		TICKET VOTES	GRN	1205	1.68	140	2.64	14	2.05	42	1.70	35	1.24	1436	1.73
		"FAEHRMANN, Cate"	GRN	292	0.41	33	0.62	0	0.00	15	0.61	9	0.32	349	0.42
		"DOUGLAS, Jim"	GRN	33	0.05	4	0.08	0	0.00	0	0.00	1	0.04	38	0.05
		Group Total	GRN	1530	2.13	177	3.34	14	2.05	57	2.31	45	1.59	1823	2.20
C		TICKET VOTES	HAN	2561	3.57	212	4.00	31	4.54	105	4.26	93	3.29	3002	3.62
		"RUSSELL-TAYLOR, Neil"	HAN	483	0.67	23	0.43	2	0.29	21	0.85	22	0.78	551	0.66
		"GIBSON, Colin"	HAN	24	0.03	2	0.04	1	0.15	1	0.04	2	0.07	30	0.04
		Group Total	HAN	3068	4.28	237	4.48	34	4.98	127	5.15	117	4.13	3583	4.32
D		TICKET VOTES		34	0.05	7	0.13	2	0.29	0	0.00	3	0.11	46	0.06
		"NEWNAM, Kathy"		8	0.01	2	0.04	0	0.00	0	0.00	1	0.04	11	0.01
		"LINES, Lisa"		3	0.00	1	0.02	0	0.00	1	0.04	1	0.04	6	0.01
		Group Total		45	0.06	10	0.19	2	0.29	1	0.04	5	0.18	63	0.08
E		TICKET VOTES	LP	30943	43.15	2132	40.27	256	37.48	1134	45.97	1427	50.41	35892	43.25
		"HILL, Robert"	LP	962	1.34	55	1.04	4	0.59	34	1.38	54	1.91	1109	1.34
		"FERRIS, Jeannie"	LP	39	0.05	2	0.04	0	0.00	0	0.00	2	0.07	43	0.05
		"CHAPMAN, Grant"	LP	101	0.14	6	0.11	1	0.15	4	0.16	11	0.39	123	0.15
		"LENSINK, Michelle"	LP	40	0.06	3	0.06	0	0.00	1	0.04	1	0.04	45	0.05
		Group Total	LP	32085	44.74	2198	41.52	261	38.21	1173	47.55	1495	52.81	37212	44.84
F		TICKET VOTES		38	0.05	2	0.04	1	0.15	0	0.00	0	0.00	41	0.05
		"ALDRIDGE, Mark"		24	0.03	1	0.02	2	0.29	0	0.00	1	0.04	28	0.03
		"ALDRIDGE, Helen"		5	0.01	1	0.02	0	0.00	0	0.00	0	0.00	6	0.01
		Group Total		67	0.09	4	0.08	3	0.44	0	0.00	1	0.04	75	0.09
G		TICKET VOTES		8	0.01	2	0.04	0	0.00	1	0.04	0	0.00	11	0.01
		"HARTE, Kerry"		14	0.02	1	0.02	0	0.00	0	0.00	0	0.00	15	0.02
		"PHILLIPS, Colin"		6	0.01	0	0.00	0	0.00	0	0.00	0	0.00	6	0.01
		Group Total		28	0.04	3	0.06	0	0.00	1	0.04	0	0.00	32	0.04
H		TICKET VOTES	RPA	91	0.13	5	0.09	1	0.15	0	0.00	2	0.07	99	0.12
		"CROZIER, Patrick"	RPA	11	0.02	4	0.08	1	0.15	1	0.04	1	0.04	18	0.02
		"EASSON, Robert"	RPA	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
		Group Total	RPA	102	0.14	9	0.17	2	0.29	1	0.04	3	0.11	117	0.14
I		TICKET VOTES	DEM	7690	10.72	676	12.77	89	13.03	285	11.55	241	8.51	8981	10.82
		"STOTT DESPOJA, Natasha"	DEM	1388	1.94	108	2.04	12	1.76	45	1.82	48	1.70	1601	1.93
		"HEATH, Jeff"	DEM	18	0.03	2	0.04	0	0.00	3	0.12	4	0.14	27	0.03
		"PILLING, Michael"	DEM	10	0.01	0	0.00	0	0.00	0	0.00	0	0.00	10	0.01
		"HASSAN, Haroon"	DEM	10	0.01	1	0.02	0	0.00	0	0.00	1	0.04	12	0.01
		Group Total	DEM	9116	12.71	787	14.87	101	14.79	333	13.50	294	10.39	10631	12.81
UNGROUPED															
		"FISHLOCK, Kym"	IND	50	0.07	2	0.04	0	0.00	2	0.08	3	0.11	57	0.07
		"BEHN, Ervyn C"	CEC	4	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4	0.00
		"McSHANE, Nicholas"	IND	25	0.03	4	0.08	0	0.00	2	0.08	1	0.04	32	0.04
		Ungrouped Total		79	0.11	6	0.11	0	0.00	4	0.16	4	0.14	93	0.11
			FORMAL	71707	97.05	5294	98.13	683	97.16	2467	98.72	2831	99.19	82982	97.24
			INFORMAL	2176	2.95	101	1.87	20	2.84	32	1.28	23	0.81	2352	2.76
			TOTAL	73883	86.58	5395	6.32	703	0.82	2499	2.93	2854	3.34	85334	96.70



Mayo (86319)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	14925	21.43	1364	23.79	160	29.30	466	18.60	464	17.46	17379	21.43
		"WONG, Penny"	ALP	749	1.08	59	1.03	4	0.73	36	1.44	32	1.20	880	1.09
		"KIRK, Linda"	ALP	97	0.14	10	0.17	0	0.00	2	0.08	2	0.08	111	0.14
		"SCHACHT, Chris"	ALP	489	0.70	22	0.38	1	0.18	10	0.40	20	0.75	542	0.67
		Group Total	ALP	16260	23.34	1455	25.38	165	30.22	514	20.51	518	19.50	18912	23.32
B		TICKET VOTES	GRN	2374	3.41	257	4.48	34	6.23	95	3.79	69	2.60	2829	3.49
		"FAEHRMANN, Cate"	GRN	975	1.40	79	1.38	6	1.10	36	1.44	35	1.32	1131	1.39
		"DOUGLAS, Jim"	GRN	66	0.09	10	0.17	0	0.00	2	0.08	1	0.04	79	0.10
		Group Total	GRN	3415	4.90	346	6.04	40	7.33	133	5.31	105	3.95	4039	4.98
C		TICKET VOTES	HAN	1897	2.72	156	2.72	9	1.65	69	2.75	87	3.27	2218	2.74
		"RUSSELL-TAYLOR, Neil"	HAN	417	0.60	31	0.54	1	0.18	19	0.76	25	0.94	493	0.61
		"GIBSON, Colin"	HAN	21	0.03	1	0.02	0	0.00	0	0.00	1	0.04	23	0.03
		Group Total	HAN	2335	3.35	188	3.28	10	1.83	88	3.51	113	4.25	2734	3.37
D		TICKET VOTES		51	0.07	6	0.10	0	0.00	3	0.12	1	0.04	61	0.08
		"NEWNAM, Kathy"		29	0.04	2	0.03	0	0.00	1	0.04	2	0.08	34	0.04
		"LINES, Lisa"		8	0.01	0	0.00	0	0.00	1	0.04	0	0.00	9	0.01
		Group Total		88	0.13	8	0.14	0	0.00	5	0.20	3	0.11	104	0.13
E		TICKET VOTES	LP	34508	49.54	2564	44.72	232	42.49	1225	48.88	1440	54.20	39969	49.29
		"HILL, Robert"	LP	1223	1.76	97	1.69	8	1.47	45	1.80	62	2.33	1435	1.77
		"FERRIS, Jeannie"	LP	48	0.07	5	0.09	0	0.00	5	0.20	3	0.11	61	0.08
		"CHAPMAN, Grant"	LP	93	0.13	11	0.19	0	0.00	4	0.16	4	0.15	112	0.14
		"LENSINK, Michelle"	LP	61	0.09	9	0.16	0	0.00	3	0.12	3	0.11	76	0.09
		Group Total	LP	35933	51.59	2686	46.85	240	43.96	1282	51.16	1512	56.91	41653	51.36
F		TICKET VOTES		31	0.04	1	0.02	0	0.00	1	0.04	1	0.04	34	0.04
		"ALDRIDGE, Mark"		23	0.03	1	0.02	0	0.00	1	0.04	0	0.00	25	0.03
		"ALDRIDGE, Helen"		8	0.01	0	0.00	0	0.00	0	0.00	0	0.00	8	0.01
		Group Total		62	0.09	2	0.03	0	0.00	2	0.08	1	0.04	67	0.08
G		TICKET VOTES		27	0.04	3	0.05	1	0.18	0	0.00	1	0.04	32	0.04
		"HARTE, Kerry"		20	0.03	1	0.02	0	0.00	1	0.04	2	0.08	24	0.03
		"PHILLIPS, Colin"		13	0.02	0	0.00	0	0.00	0	0.00	0	0.00	13	0.02
		Group Total		60	0.09	4	0.07	1	0.18	1	0.04	3	0.11	69	0.09
H		TICKET VOTES	RPA	96	0.14	14	0.24	5	0.92	7	0.28	3	0.11	125	0.15
		"CROZIER, Patrick"	RPA	23	0.03	2	0.03	0	0.00	1	0.04	1	0.04	27	0.03
		"EASSON, Robert"	RPA	4	0.01	1	0.02	0	0.00	0	0.00	0	0.00	5	0.01
		Group Total	RPA	123	0.18	17	0.30	5	0.92	8	0.32	4	0.15	157	0.19
I		TICKET VOTES	DEM	8929	12.82	848	14.79	67	12.27	375	14.96	298	11.22	10517	12.97
		"STOTT DESPOJA, Natasha"	DEM	2280	3.27	159	2.77	17	3.11	89	3.55	94	3.54	2639	3.25
		"HEATH, Jeff"	DEM	70	0.10	3	0.05	0	0.00	3	0.12	1	0.04	77	0.09
		"PILLING, Michael"	DEM	18	0.03	2	0.03	0	0.00	2	0.08	0	0.00	22	0.03
		"HASSAN, Haroon"	DEM	10	0.01	3	0.05	0	0.00	2	0.08	3	0.11	18	0.02
		Group Total	DEM	11307	16.23	1015	17.70	84	15.38	471	18.79	396	14.90	13273	16.37
UNGROUPED															
		"FISHLOCK, Kym"	IND	47	0.07	10	0.17	1	0.18	1	0.04	2	0.08	61	0.08
		"BEHN, Ervyn C"	CEC	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		"McSHANE, Nicholas"	IND	21	0.03	2	0.03	0	0.00	1	0.04	0	0.00	24	0.03
		Ungrouped Total		71	0.10	12	0.21	1	0.18	2	0.08	2	0.08	88	0.11
			FORMAL	69654	97.28	5733	98.49	546	97.50	2506	98.55	2657	99.33	81096	97.47
			INFORMAL	1948	2.72	88	1.51	14	2.50	37	1.45	18	0.67	2105	2.53
			TOTAL	71602	86.06	5821	7.00	560	0.67	2543	3.06	2675	3.22	83201	96.39



Port Adelaide (86297)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	31748	46.48	1976	40.97	407	51.45	1014	41.14	1438	46.84	36583	46.04
		"WONG, Penny"	ALP	815	1.19	52	1.08	5	0.63	39	1.58	33	1.07	944	1.19
		"KIRK, Linda"	ALP	143	0.21	14	0.29	3	0.38	2	0.08	4	0.13	166	0.21
		"SCHACHT, Chris"	ALP	457	0.67	19	0.39	3	0.38	15	0.61	21	0.68	515	0.65
		Group Total	ALP	33163	48.55	2061	42.73	418	52.84	1070	43.41	1496	48.73	38208	48.09
B		TICKET VOTES	GRN	1830	2.68	184	3.82	24	3.03	77	3.12	49	1.60	2164	2.72
		"FAEHRMANN, Cate"	GRN	549	0.80	45	0.93	5	0.63	27	1.10	17	0.55	643	0.81
		"DOUGLAS, Jim"	GRN	46	0.07	4	0.08	0	0.00	5	0.20	1	0.03	56	0.07
		Group Total	GRN	2425	3.55	233	4.83	29	3.67	109	4.42	67	2.18	2863	3.60
C		TICKET VOTES	HAN	2311	3.38	180	3.73	33	4.17	85	3.45	142	4.63	2751	3.46
		"RUSSELL-TAYLOR, Neil"	HAN	397	0.58	24	0.50	1	0.13	13	0.53	35	1.14	470	0.59
		"GIBSON, Colin"	HAN	23	0.03	1	0.02	1	0.13	2	0.08	3	0.10	30	0.04
		Group Total	HAN	2731	4.00	205	4.25	35	4.42	100	4.06	180	5.86	3251	4.09
D		TICKET VOTES		74	0.11	6	0.12	3	0.38	1	0.04	1	0.03	85	0.11
		"NEWNAM, Kathy"		24	0.04	4	0.08	0	0.00	0	0.00	1	0.03	29	0.04
		"LINES, Lisa"		4	0.01	0	0.00	1	0.13	0	0.00	0	0.00	5	0.01
		Group Total		102	0.15	10	0.21	4	0.51	1	0.04	2	0.07	119	0.15
E		TICKET VOTES	LP	21274	31.15	1547	32.08	206	26.04	822	33.35	1045	34.04	24894	31.33
		"HILL, Robert"	LP	742	1.09	35	0.73	4	0.51	28	1.14	35	1.14	844	1.06
		"FERRIS, Jeannie"	LP	31	0.05	5	0.10	1	0.13	1	0.04	2	0.07	40	0.05
		"CHAPMAN, Grant"	LP	25	0.04	2	0.04	0	0.00	3	0.12	4	0.13	34	0.04
		"LENSINK, Michelle"	LP	34	0.05	4	0.08	1	0.13	2	0.08	3	0.10	44	0.06
		Group Total	LP	22106	32.36	1593	33.03	212	26.80	856	34.73	1089	35.47	25856	32.54
F		TICKET VOTES		48	0.07	3	0.06	1	0.13	0	0.00	2	0.07	54	0.07
		"ALDRIDGE, Mark"		9	0.01	0	0.00	0	0.00	0	0.00	0	0.00	9	0.01
		"ALDRIDGE, Helen"		6	0.01	1	0.02	0	0.00	0	0.00	0	0.00	7	0.01
		Group Total		63	0.09	4	0.08	1	0.13	0	0.00	2	0.07	70	0.09
G		TICKET VOTES		20	0.03	0	0.00	0	0.00	0	0.00	0	0.00	20	0.03
		"HARTE, Kerry"		10	0.01	0	0.00	0	0.00	1	0.04	1	0.03	12	0.02
		"PHILLIPS, Colin"		3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total		33	0.05	0	0.00	0	0.00	1	0.04	1	0.03	35	0.04
H		TICKET VOTES	RPA	110	0.16	7	0.15	3	0.38	9	0.37	11	0.36	140	0.18
		"CROZIER, Patrick"	RPA	15	0.02	2	0.04	0	0.00	0	0.00	3	0.10	20	0.03
		"EASSON, Robert"	RPA	1	0.00	1	0.02	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total	RPA	126	0.18	10	0.21	3	0.38	9	0.37	14	0.46	162	0.20
I		TICKET VOTES	DEM	6348	9.29	595	12.34	73	9.23	261	10.59	184	5.99	7461	9.39
		"STOTT DESPOJA, Natasha"	DEM	1115	1.63	108	2.24	16	2.02	48	1.95	25	0.81	1312	1.65
		"HEATH, Jeff"	DEM	24	0.04	1	0.02	0	0.00	4	0.16	1	0.03	30	0.04
		"PILLING, Michael"	DEM	5	0.01	0	0.00	0	0.00	3	0.12	1	0.03	9	0.01
		"HASSAN, Haroon"	DEM	11	0.02	0	0.00	0	0.00	0	0.00	1	0.03	12	0.02
		Group Total	DEM	7503	10.98	704	14.60	89	11.25	316	12.82	212	6.91	8824	11.11
UNGROUPED															
		"FISHLOCK, Kym"	IND	31	0.05	2	0.04	0	0.00	2	0.08	1	0.03	36	0.05
		"BEHN, Ervyn C"	CEC	1	0.00	0	0.00	0	0.00	0	0.00	4	0.13	5	0.01
		"McSHANE, Nicholas"	IND	22	0.03	1	0.02	0	0.00	1	0.04	2	0.07	26	0.03
		Ungrouped Total		54	0.08	3	0.06	0	0.00	3	0.12	7	0.23	67	0.08
			FORMAL	68306	96.12	4823	97.97	791	96.00	2465	98.68	3070	99.13	79455	96.42
			INFORMAL	2757	3.88	100	2.03	33	4.00	33	1.32	27	0.87	2950	3.58
			TOTAL	71063	86.24	4923	5.97	824	1.00	2498	3.03	3097	3.76	82405	95.49



Sturt (86359)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	18639	27.77	1577	28.25	192	32.11	763	23.84	713	21.39	21884	27.42
		"WONG, Penny"	ALP	721	1.07	77	1.38	4	0.67	37	1.16	45	1.35	884	1.11
		"KIRK, Linda"	ALP	101	0.15	16	0.29	0	0.00	6	0.19	6	0.18	129	0.16
		"SCHACHT, Chris"	ALP	446	0.66	24	0.43	0	0.00	32	1.00	29	0.87	531	0.67
		Group Total	ALP	19907	29.66	1694	30.35	196	32.78	838	26.18	793	23.79	23428	29.35
B		TICKET VOTES	GRN	1817	2.71	226	4.05	38	6.35	83	2.59	70	2.10	2234	2.80
		"FAEHRMANN, Cate"	GRN	835	1.24	63	1.13	9	1.51	32	1.00	36	1.08	975	1.22
		"DOUGLAS, Jim"	GRN	48	0.07	8	0.14	0	0.00	1	0.03	4	0.12	61	0.08
		Group Total	GRN	2700	4.02	297	5.32	47	7.86	116	3.62	110	3.30	3270	4.10
C		TICKET VOTES	HAN	1438	2.14	140	2.51	16	2.68	49	1.53	99	2.97	1742	2.18
		"RUSSELL-TAYLOR, Neil"	HAN	358	0.53	21	0.38	2	0.33	5	0.16	36	1.08	422	0.53
		"GIBSON, Colin"	HAN	18	0.03	0	0.00	1	0.17	0	0.00	1	0.03	20	0.03
		Group Total	HAN	1814	2.70	161	2.88	19	3.18	54	1.69	136	4.08	2184	2.74
D		TICKET VOTES		71	0.11	4	0.07	2	0.33	2	0.06	0	0.00	79	0.10
		"NEWNAM, Kathy"		18	0.03	2	0.04	0	0.00	0	0.00	1	0.03	21	0.03
		"LINES, Lisa"		6	0.01	0	0.00	0	0.00	1	0.03	0	0.00	7	0.01
		Group Total		95	0.14	6	0.11	2	0.33	3	0.09	1	0.03	107	0.13
E		TICKET VOTES	LP	31379	46.76	2322	41.60	229	38.29	1130	35.30	1835	55.06	36895	46.22
		"HILL, Robert"	LP	1203	1.79	61	1.09	3	0.50	52	1.62	79	2.37	1398	1.75
		"FERRIS, Jeannie"	LP	30	0.04	4	0.07	0	0.00	8	0.25	4	0.12	46	0.06
		"CHAPMAN, Grant"	LP	105	0.16	4	0.07	0	0.00	12	0.37	6	0.18	127	0.16
		"LENSINK, Michelle"	LP	51	0.08	5	0.09	1	0.17	5	0.16	3	0.09	65	0.08
		Group Total	LP	32768	48.83	2396	42.92	233	38.96	1207	37.71	1927	57.82	38531	48.27
F		TICKET VOTES		22	0.03	1	0.02	0	0.00	1	0.03	2	0.06	26	0.03
		"ALDRIDGE, Mark"		9	0.01	0	0.00	1	0.17	0	0.00	0	0.00	10	0.01
		"ALDRIDGE, Helen"		4	0.01	0	0.00	0	0.00	0	0.00	0	0.00	4	0.01
		Group Total		35	0.05	1	0.02	1	0.17	1	0.03	2	0.06	40	0.05
G		TICKET VOTES		13	0.02	2	0.04	0	0.00	427	13.34	2	0.06	444	0.56
		"HARTE, Kerry"		19	0.03	0	0.00	0	0.00	0	0.00	0	0.00	19	0.02
		"PHILLIPS, Colin"		2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		Group Total		34	0.05	2	0.04	0	0.00	427	13.34	2	0.06	465	0.58
H		TICKET VOTES	RPA	111	0.17	9	0.16	0	0.00	7	0.22	10	0.30	137	0.17
		"CROZIER, Patrick"	RPA	34	0.05	3	0.05	0	0.00	3	0.09	3	0.09	43	0.05
		"EASSON, Robert"	RPA	3	0.00	0	0.00	0	0.00	1	0.03	0	0.00	4	0.01
		Group Total	RPA	148	0.22	12	0.21	0	0.00	11	0.34	13	0.39	184	0.23
I		TICKET VOTES	DEM	7409	11.04	822	14.73	81	13.55	451	14.09	234	7.02	8997	11.27
		"STOTT DESPOJA, Natasha"	DEM	2026	3.02	182	3.26	19	3.18	86	2.69	102	3.06	2415	3.03
		"HEATH, Jeff"	DEM	46	0.07	0	0.00	0	0.00	1	0.03	3	0.09	50	0.06
		"PILLING, Michael"	DEM	21	0.03	1	0.02	0	0.00	0	0.00	1	0.03	23	0.03
		"HASSAN, Haroon"	DEM	22	0.03	1	0.02	0	0.00	2	0.06	0	0.00	25	0.03
		Group Total	DEM	9524	14.19	1006	18.02	100	16.72	540	16.87	340	10.20	11510	14.42
UNGROUPED															
		"FISHLOCK, Kym"	IND	41	0.06	4	0.07	0	0.00	2	0.06	5	0.15	52	0.07
