General Information - 2001 Election: South Australia				
Polling Places				
				
Adelaide				
Polling Place Name	Premises	Address	Suburb	
Adelaide (Adelaide)	Millers Arcade	28-30 Hindley Street	ADELAIDE	
Adelaide East	Christian Brothers College	214 Wakefield St	ADELAIDE	
Adelaide Hospital	Royal Adelaide Hospital	North Tce	ADELAIDE	
Adelaide South	Gilles St Primary School	91 Gilles St	ADELAIDE	
Adelaide West	St Mary's College	253 Franklin St	ADELAIDE	
Black Forest East	Clarence Park Community Centre	Cnr Canterbury Tce & East Ave	BLACK FOREST	
Blair Athol North	Gepps Cross Primary School	Stanley Ave	BLAIR ATHOL	
Broadview	Broadview Baptist Church Hall	Collingrove Ave	BROADVIEW	
Brompton	Bowden Brompton Community Centre	19 Green St	BROMPTON	
Clarence Park	Church of the Trinity	318 Goodwood Rd	CLARENCE PARK	
College Park	Hackney Kindergarten	68 Richmond St	COLLEGE PARK	
Croydon (Adelaide)	St Barnabas Hall	William St	CROYDON
Morphett Vale North	Morphett Vale High School	Garema Drive	MORPHETT VALE
Morphett Vale South	Elizabeth House Community Centre	Elizabeth Rd	CHRISTIE DOWNS
Noarlunga Downs	Noarlunga Downs Primary School	Canterbury  Cres	NOARLUNGA DOWNS
O'Halloran Hill	Braeview Primary School	Montana Dr	HAPPY VALLEY
O'Sullivan Beach	O'Sullivan Beach Primary School	Galloway Rd	O'SULLIVAN BEACH
Onkaparinga Hills	Coorara Primary School	Taylors Ave	MORPHETT VALE
Pimpala	Pimpala Primary School	Vanstone Ave	MORPHETT VALE
Port Noarlunga	Port Noarlunga Primary School	10 James Ave	PORT NOARLUNGA
Reynella	Reynella Primary School	Concord Dr	OLD REYNELLA
Reynella East	Reynella East Primary School	Malbeck Dr	REYNELLA EAST
Reynella South	Reynella South Primary School	Sherriffs Rd	REYNELLA
Seaford	Seaford Primary School	39 Jane St	PORT NOARLUNGA SOUTH
Seaford Rise	Seaford Rise Primary School	Grand Blvd	SEAFORD RISE
Sellicks Beach	Sellicks Beach Community Hall	Riviera Dr	SELLICKS BEACH
Sheidow Park	Sheidow Park Primary School	Adams Rd	SHEIDOW PARK
Trott Park	Woodend Primary School	Edward Beck Dr	SHEIDOW PARK
Woodcroft	Woodcroft Primary School	Investigator Dr	WOODCROFT


Makin			
Polling Place Name	Premises	Address	Suburb
Adelaide (Makin)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Banksia Park	Banksia Park Primary School	Cottenham Road	BANKSIA PARK
Enfield North (Makin)	Enfield High School	350 Grand Junction Rd	ENFIELD
Fairview Park	Fairview Park Primary School	Nepondi Court	FAIRVIEW PARK
Golden Grove	Uniting Church Hall	Cnr One Tree Hill & Crouch Roads	GOLDEN GROVE
Golden Grove Central	Golden Grove High School	Adey Place	GOLDEN GROVE
Golden Grove East	Golden Grove Primary School	Bicentennial Drive	GOLDEN GROVE
Greenwith	Greenwith Primary School	Golden Grove Road	GREENWITH
Holden Hill North	John XXIII Catholic Community Centre	50 Reservoir Rd	HOLDEN HILL
Hope Valley	Modbury South Primary School	Dampier Avenue	HOPE VALLEY
Ingle Farm	Ingle Farm Primary School	Belalie Road	INGLE FARM
Ingle Farm North	North Ingle Primary School	Rothwell Avenue	INGLE FARM
Modbury Central	Modbury Primary School	2 Golden Grove Road	MODBURY NORTH
Modbury Heights	The Heights High School	Brunel Drive	MODBURY HEIGHTS
Modbury North	Burragah Recreation Centre	140 Kelly Road	MODBURY NORTH
Modbury West	Modbury West Primary School	Wright Road	MODBURY
Para Hills	Para Hills Junior Primary School	Wilkinson Road	PARA HILLS
Para Hills East	Para Hills East Primary School	Caroona Avenue	PARA HILLS
Para Hills West	Para Hills West Primary School	Balkara Road	PARA HILLS
Para Vista	Valley View Secondary School	Wright Road	PARA VISTA
Pooraka	Pooraka Primary School	South Terrace	POORAKA
Redwood Park	Redwood Park Primary School	Lokan Street	REDWOOD PARK
Ridgehaven	Ridgehaven Primary School	479 Milne Road	RIDGEHAVEN
St Agnes	St Agnes Primary School	Smart Road	ST AGNES
St Agnes West	Ardtornish Primary School	Saarinen Avenue	ST AGNES
Salisbury East	Keller Rd Primary School	Keller Road	SALISBURY EAST
Salisbury East Central	Madison Park Primary School	19 Lincoln Ave	SALISBURY EAST
Salisbury Heights (Makin)	Salisbury Heights Primary School	Ward Street	SALISBURY HEIGHTS
Surrey Downs	Surrey Downs Primary School	Vine Street	SURREY DOWNS
Tea Tree Gully	Tea Tree Gully Primary School	Memorial Drive	TEA TREE GULLY
Valley View	Valley View Kindergarten	Geoffrey Avenue	VALLEY VIEW
Wynn Vale	Wynn Vale Primary School	Sunnybrook Drive	WYNN VALE



Mayo			
Polling Place Name	Premises	Address	Suburb
Aberfoyle Park	Aberfoyle Park High School	The Hub Dr	ABERFOYLE PARK
Aberfoyle Park North (Mayo)	Southern Hills Baptist Church Hall	Cnr Manning Rd & Lyn St	ABERFOYLE PARK
Aberfoyle Park South	Aberfoyle Park Hub Primary School	Jeanette Cres	ABERFOYLE PARK
Adelaide (Mayo)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Aldgate	Aldgate Primary School	Fairview Rd	ALDGATE
Athelstone	Athelstone Primary School	Brookside Rd	ATHELSTONE
Athelstone West	Thorndon Park Primary School	Stradbroke Rd	ATHELSTONE
Balhannah	St Thomas Anglican Parish Hall	Junction Rd	BALHANNAH
Basket Range	Basket Range Primary School	Cramond Rd	BASKET RANGE
Bridgewater	Bridgewater Primary School	46 Morella Gr	BRIDGEWATER
Brukunga	Brukunga Community Hall	Pyrites Rd	BRUKUNGA
Callington	Callington Primary School	North Tce	CALLINGTON
Charleston	Charleston Memorial Hall	Newman Rd	CHARLESTON
Cherry Gardens	Cherry Gardens Memorial Hall	Cherry Gardens Rd	CHERRY GARDENS
Clarendon	Clarendon Community Association Hall	Grants Gully Rd	CLARENDON
Coromandel Valley (Mayo)	Coromandel Valley Primary School	Main Rd	COROMANDEL VALLEY
Crafers	Crafers Primary School	Piccadilly Rd	CRAFERS
Cudlee Creek	Cudlee Creek Soldiers Memorial Hall	Gorge Rd	CUDLEE CREEK
Echunga	Echunga Primary School	Main St	ECHUNGA
Flagstaff Hill (Mayo)	Flagstaff Hill Primary School	Black Rd	FLAGSTAFF HILL
Hahndorf	St Michaels Lutheran Church	cnr Church St & Balhannah Rd	HAHNDORF
Happy Valley (Mayo)	Happy Valley Primary School	Education Rd	HAPPY VALLEY
Harrogate	Harrogate Soldiers Memorial Hall	Harrogate Rd	HARROGATE
Highbury South (Mayo)	Turramurra Recreation Centre	1000 Lower North East Rd	HIGHBURY
Houghton	Houghton C.W.A. Room	Horn Rd	HOUGHTON
Kangarilla	Kangarilla Primary School	Main Mclaren Flat Rd	KANGARILLA
Langhorne Creek	Langhorne Creek Memorial Hall	Wellington Rd	LANGHORNE CREEK
Lenswood	Lenswood Uniting Church Hall	Main Rd	LENSWOOD
Littlehampton	Anembo Park Clubrooms	Princes Hwy	LITTLEHAMPTON
Lobethal	Onkaparinga Senior Citizens Centre	36 Main St	LOBETHAL
Longwood	Longwood Hall	Longwood Rd	LONGWOOD
Macclesfield	Macclesfield Institute	Venables Rd	MACCLESFIELD
Mclaren Flat	McLaren Flat Community Hall	Main Rd	MCLAREN FLAT
Mclaren Vale	McLaren Vale Primary School	Main Rd	MCLAREN VALE
Magill (Mayo)	Magill Primary School	Adelaide St	MAGILL
Meadows	Meadows Primary School	Mawson Rd	MEADOWS
Montacute	Montacute Institute	Institute Rd	MONTACUTE
Mount Barker	Mt Barker High School	2 Wellington Rd	MOUNT BARKER
Mylor	Mylor Senior Citizens Club	Strathalbyn Rd	MYLOR
Nairne	Nairne Primary School	Saleyard Rd	NAIRNE
Newton	St Francis of Assisi School	57 Newton Rd	NEWTON
Norton Summit	Norton Summit Primary School	Crescent Dr	NORTON SUMMIT
Old Noarlunga	Noarlunga Primary School	Patapinda Rd	OLD NOARLUNGA
Paracombe	Paracombe CFS Fire Station	Paracombe Rd	PARACOMBE
Paradise	Campbelltown Primary School	Ind St	PARADISE
Piccadilly	Piccadilly Community Hall	Piccadilly Rd	PICCADILLY
Prospect Hill	Prospect Hill Community Hall	Main Rd	PROSPECT HILL
Rostrevor	Stradbroke Primary School	Koonga Ave	ROSTREVOR
Rostrevor South	Morialta Middle School	Morialta Rd West	ROSTREVOR
Stirling East	Stirling East Primary School	51 Braeside Rd	STIRLING
Stirling West	St Catherines School	22 Ayers Hill Rd	STIRLING
Strathalbyn	Strathalbyn Town Hall	High Street	STRATHALBYN
Summertown	Summertown Uniting Church Hall	Greenhill Rd	SUMMERTOWN
Upper Sturt	Upper Sturt Primary School	Upper Sturt Rd	UPPER STURT
Uraidla	Uraidla Primary School	Kidney St	URAIDLA
Willunga	Willunga Community Hall	Main Rd	WILLUNGA
Woodchester	Richardson Hall	Callington Rd	WOODCHESTER
Woodside	Woodside Primary School	23 Moffett St	WOODSIDE


Port Adelaide			
Polling Place Name	Premises	Address	Suburb
Adelaide (Port Adelaide)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Albert Park	Lutheran Church Albert Park	Cnr Botting St & Osborne St	ALBERT PARK
Allenby Gardens	Allenby Gardens Primary School	Barham St	ALLENBY GARDENS
Beverley	Maltese Cultural Centre	6 Jeanes St	BEVERLEY
Birkenhead	Le Fevre Peninsula Primary School	Semaphore Rd	BIRKENHEAD
Cheltenham	Cheltenham Community Centre	Cnr Stroud St N & Buller Ter	CHELTENHAM
Croydon (Port Adelaide)	St Barnabas Hall	William St	CROYDON
Croydon Park West (Port Adelaide)	TAFE INSTITUTE Croydon Campus	Goodall Ave	CROYDON PARK
Ethelton	Portside Community Church	1 Causeway Rd	ETHELTON
Ferryden Park	Ferryden Park Primary School	Kinross St	FERRYDEN PARK
Findon	Uniting Church Findon	93 Crittenden Rd	FINDON
Findon North	Findon High School	Drummond Ave	FINDON
Grange	Grange Primary School	Jetty St	GRANGE
Kilkenny	Kilkenny Community Centre	Cnr Tarcowie St & Wilpena Ter	KILKENNY
Largs Bay	Largs Bay Primary School	Cnr Fletcher Rd & Centre St	LARGS BAY
Largs Bay Central	Philip Kennedy Centre	Cnr Everard St/Military Rd	LARGS BAY
Mansfield Park	Mansfield Pk Primary School	Henry St	MANSFIELD PARK
North Haven	North Haven Primary School	Tapping Cres	NORTH HAVEN
Ottoway	Junction Community Centre	Cnr Grand Junction Rd & May Ter	OTTOWAY
Pennington	Pennington Primary School	Butler Ave	PENNINGTON
Port Adelaide	Port Adelaide TAFE Campus	Cnr Mundy St & Nile St	PORT ADELAIDE
Queenstown	Alberton Primary School	Spring St	QUEENSTOWN
Rosewater	Mt Carmel College	33 Newcastle St	ROSEWATER
Royal Park	Uniting Church Royal Park	50 Tapleys Hill Rd	ROYAL PARK
Royal Park South	Hendon Primary School	Cedar Ave	ROYAL PARK
Seaton	Seaton High School	Glenburnie St	SEATON
Seaton Park	Seaton Park Primary School	Kingborn Ave	SEATON
Seaton West	Christian Family Centre	185 Frederick Rd	SEATON
Semaphore	Masonic Hall	Semaphore Road	SEMAPHORE
Semaphore Park	Baptist Church Semaphore Pk	Bray Ave	SEMAPHORE PARK
Semaphore Park South	Westport Primary School	West St	SEMAPHORE PARK
Semaphore South	Le Fevre High School	Hart St	SEMAPHORE SOUTH
Taperoo	Ocean View College	Gedville Rd	TAPEROO
Taperoo East	Ocean View College-Dimboola Campus	Dimboola St	TAPEROO
Virginia (Port Adelaide)	Virginia Primary School	Park Rd	VIRGINIA
West Croydon	West Croydon Baptist Church Hall	Cnr Rosetta St & Alfred Rd	WEST CROYDON
West Lakes Shore	West Lakes Shore Primary School	Edwin St	WEST LAKES SHORE
Woodville	Woodville Portuguese Hall	64 Woodville Rd	WOODVILLE
Woodville Gardens	Ridley Grove Primary School	Ridley Gr	WOODVILLE GARDENS
Woodville North	Baptist Church Wood North	19 Sheridan St	WOODVILLE NORTH
Woodville South	Adelaide Miethke Kindergarten	Cnr Oval Ave & Cedar Ave	WOODVILLE SOUTH
Woodville West	Woodville West Kindergarten	Cnr Elizabeth St & Lawton Cres	WOODVILLE WEST


Sturt			
Polling Place Name	Premises	Address	Suburb
Adelaide (Sturt)	Millers Arcade	28-30 Hindley Street	ADELAIDE
Beaumont	Uniting Church Hall Beaumont	98 Devereux Rd	BEAUMONT
Beulah Park	Clayton Wesley Uniting Church Hall	Portrush Rd	BEULAH PARK
Burnside	St David's Church Hall	486 Glynburn Rd	BURNSIDE
Campbelltown	Uniting Church Hall Campbelltown	607 Lower North East Rd	CAMPBELLTOWN
Dernancourt	Dernancourt Primary School	Parsons Rd	DERNANCOURT
Felixstow	Pebbles Childcare Centre	403 Payneham Road	FELIXSTOW
Gilles Plains	St Paul's College	792 Grand Junction Rd	GILLES PLAINS
Gilles Plains East	Wandana Primary School	Cowra Ave	GILLES PLAINS
Glen Osmond	St. Saviours Church Hall	2 Pridmore Rd	GLEN OSMOND
Glenunga	Glenunga Uniting Church Hall	Bevington Rd	GLENUNGA
Glenunga North	Progress Association Hall	Webb Oval Conyngham St	GLENUNGA
Glynde	Zion Lutheran Church	15 Glynburn Rd	GLYNDE
Hectorville North	East Torrens Primary School	Montacute Rd	HECTORVILLE
Highbury East	Highbury Primary School	Beckman Ave	HIGHBURY
Highbury South (Sturt)	Turramurra Recreation Centre	1000 Lower North East Rd	HIGHBURY
Hillcrest	Hillcrest Community Centre	Queensborough Ave	HILLCREST
Holden Hill	Kildare College	96 Valiant Rd	HOLDEN HILL
Kensington Gardens	St Edward's Church Hall	16 East Tce	KENSINGTON GARDENS
Kensington Park	Kensington Park RSL Hall	346 The Parade	KENSINGTON PARK
Klemzig	Klemzig Primary School	Hay St	KLEMZIG
Linden Park	Linden Park Primary School	Hay Rd	LINDEN PARK
Magill (Sturt)	Magill Primary School	Adelaide St	MAGILL
Magill North	Hectorville Community Centre	47 Reid Ave	HECTORVILLE
Marden	Mars Sporting Complex	Lower Portrush Road	MARDEN
Marden West (Sturt)	Marden Uniting Church Hall	343 Payneham Rd	MARDEN
Marryatville	Loreto Junior School	Talbot Grove	MARRYATVILLE
Maylands	Maylands Uniting Church Hall	Augusta St	MAYLANDS
Norwood	Salvation Army Hall	55 George St	NORWOOD
Norwood West	Norwood Primary School	Beulah Rd	NORWOOD
Paradise West	Lincoln Borthwick Memorial Kindergarten	21A Lincoln Rd	PARADISE
Rose Park	St Peter Claver's Church Hall	1A Stuart Road	DULWICH
St Morris	Adelaide Korean Church Hall	Third Ave	ST MORRIS
Stonyfell	St Peters Collegiate Girls School	Stonyfell Rd	STONYFELL
Toorak Gardens	Gartrell Memorial Uniting Church Hall	Prescott Tce	ROSE PARK
Tranmere	St Joseph's School	1 Birkinshaw Ave	TRANMERE
Trinity Gardens	Devitt Avenue Primary School	160 Portrush Rd	TRINITY GARDENS
Tusmore	Tusmore Memorial Uniting Church Hall	382 Portrush Rd	TUSMORE
Vale Park	Vale Park Primary School	Ascot Ave	VALE PARK
Windsor Gardens East	Windsor Gardens Vocational College	McKay Ave	WINDSOR GARDENS
Windsor Gardens West	St Pius X School	8 Windsor Gr	WINDSOR GARDENS


Wakefield			
Polling Place Name	Premises	Address	Suburb
Alford	Alford Primary School		ALFORD
Angaston	Angaston Town Hall	Washington St	ANGASTON
Ardrossan	Ardrossan Area School	7 West Tce	ARDROSSAN
Arthurton	Arthurton Hall	Main Road	ARTHURTON
Balaklava	Balaklava Primary School	Wallace St	BALAKLAVA
Barmera	Bonney Theatre	Barwell Ave	BARMERA
Berri	Berri Masonic Lodge Hall	McIntosh St	BERRI
Birdwood	Birdwood Primary School	Shannon St	BIRDWOOD
Blanchetown	Blanchetown Primary School	Godley St	BLANCHETOWN
Bute	Bute Institute	Railway Tce	BUTE
Cadell	Cadell Institute	McGuire Tce	CADELL
Cobdogla	Cobdogla Primary School	Dolan St	COBDOGLA
Coobowie	Coobowie Community Hall	Gilbert St	COOBOWIE
Corny Point	Corny Point Memorial Hall		CORNY POINT
Curramulka	Curramulka Institute		CURRAMULKA
Dublin	Dublin Institute		DUBLIN
Eden Valley	Eden Valley Institute	Murray St	EDEN VALLEY
Edithburgh	Edithburgh Institute	Blanche St	EDITHBURGH
Evanston	Evanston Preschool	Kendall St	EVANSTON
Evanston Gardens	Evanston Gardens Memorial Hall	Angle Vale Rd	EVANSTON GARDENS
Forreston	Forreston Memorial Hall	Main Rd	FORRESTON
Freeling	Freeling Institute	Clark St	FREELING
Gawler	Gawler Masonic Lodge Hall	Cnr Union St & Lyndoch Rd	GAWLER
Gawler East	Gawler East Primary School	Finch Rd	GAWLER EAST
Gawler River	Gawler River Memorial Hall	Gawler River Rd	GAWLER RIVER
Gawler South	Gawler South Immanuel Lutheran Hall	Cnr Seventh & Second Sts	GAWLER SOUTH
Gawler West	Gawler Elderly Centre	Fourteenth St	GAWLER WEST
Glossop	Glossop Primary School	Mitchell Tce	GLOSSOP
Greenock	Greenock Institute	Kapunda Rd	GREENOCK
Gumeracha	Gumeracha & District Hall	Albert St	GUMERACHA
Hamley Bridge	SA Ambulance Service Centre	Light St	HAMLEY BRIDGE
Hardwicke Bay	Hardwicke Bay Community Centre	Progress Rd	HARDWICKE BAY
Kadina	Kadina Town Hall	Taylor St	KADINA
Kapunda	Kapunda Soldiers Memorial Hall	Hill St	KAPUNDA
Kersbrook	Kersbrook Primary School	Bowden St	KERSBROOK
Loxton	Lutheran Peace Hall	Bookpurnong Tce	LOXTON
Loxton North	Loxton North Primary School	Balfour Ogilvy Ave	LOXTON NORTH
Lyndoch	Lyndoch Primary School	Margaret St	LYNDOCH
Lyrup	Lyrup Primary School		LYRUP
Maitland	Maitland Town Hall	Robert St	MAITLAND
Mallala	Mallala Council Chambers	Redbanks Rd	MALLALA
Marion Bay	Marion Bay Community Hall		MARION BAY
Minlaton	Minlaton Town Hall	Main St	MINLATON
Moculta	Moculta Primary School	Truro Rd	MOCULTA
Monash	Monash Institute		MONASH
Moonta	Moonta Town Hall	George St	MOONTA
Moonta Mines	Moonta Mines Uniting Church Hall		MOONTA MINES
Moorook	Moorook Community Hall		MOOROOK
Morgan	Morgan Institute	Ninth St	MORGAN
Mount Pleasant	Mount Pleasant Soldiers Memorial Hall	Melrose St	MOUNT PLEASANT
Mount Torrens	Mount Torrens Soldiers Memorial Hall	Townsend Rd	MOUNT TORRENS
Nuriootpa	Nuriootpa Senior Citizens Clubrooms	24 Murray St	NURIOOTPA
One Tree Hill (Wakefield)	One Tree Hill Primary School	McGilp Rd	ONE TREE HILL
Owen	Owen Hall	Railway Tce	OWEN
Palmer	Palmer Hall	Mannum Rd	PALMER
Paringa	Murtho War Memorial Hall		PARINGA
Paskeville	Paskeville Primary School	Maitland Rd	PASKEVILLE
Pine Point	Pine Point Institute	Main Rd	PINE POINT
Port Clinton	Port Clinton Hall	Cnr Emu & Cumberland Rds	PORT CLINTON
Port Victoria	Port Victoria Institute	Main St	PORT VICTORIA
Port Vincent	Port Vincent Institute	Marine Pde	PORT VINCENT
Port Wakefield	Port Wakefield Soldiers Memorial Hall	Edward St	PORT WAKEFIELD
Ramco	Ramco Primary School	Ramco Point Rd	RAMCO
Renmark	Renmark Institute	Ral Ral Ave	RENMARK
Renmark North	Renmark North Primary School	Warrego St	RENMARK NORTH
Renmark West	Renmark West Primary School	Tarcoola St	RENMARK WEST
Roseworthy	Roseworthy Primary School	Gartrel St	ROSEWORTHY
Sandy Creek	Sandy Creek Primary School	Davies Rd	SANDY CREEK
Springton	Springton Public Hall		SPRINGTON
Stansbury	Stansbury Institute	Weaver St	STANSBURY
Stockwell	Stockwell Hall	Duckponds Rd	STOCKWELL
Tanunda	Tanunda Soldiers Memorial Hall	Basedow Rd	TANUNDA
Truro	Truro Town Hall	Moorundie St	TRURO
Two Wells	Two Wells Institute	Main St	TWO WELLS
Waikerie	Lutheran Social Centre	Cates Ave	WAIKERIE
Wallaroo	Wallaroo Town Hall	Irwin St	WALLAROO
Wallaroo Mines	Wallaroo Mines Primary School	Lipson Rd	KADINA
Warooka	Warooka Institute	Main St	WAROOKA
Wasleys	Wasleys Primary School	Annie Tce	WASLEYS
Willaston - Hewett	Hewett Community Church of Christ	Kingfisher Drive	HEWETT
Williamstown	Williamstown Senior Citizens Club	Memorial Dr	WILLIAMSTOWN
Winkie	Croation Association Hall		WINKIE
Yorketown	Yorketown CWA	Edithburgh Rd	YORKETOWN
